model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,atlSICjfm,slow,866.5,2005.5,0.8,15,5,5,13.485435142830529,0.43766523396511736,418,"['7_lag_stratZ50ndj01', '6_lag_amo2', '6_lag_solFORC', '6_lag_nppc2SSTjfm', '6_lag_AMOCann', '5_lag_7_median_nppc2SSTjfm', '5_lag_7_median_atlSICjfm', '6_lag_nhSICsep', '5_lag_7_median_shSICsep', '5_lag_7_median_stratZ50ndj04', '5_lag_7_median_atlSICsep', '6_lag_eapPSLjfm', '5_lag_6_median_amo3', '6_lag_stratZ50ndj04', '5_lag_7_median_amo3', '5_lag_7_median_AMOCann', '5_lag_6_median_nhSICsep', '7_lag_solFORC', '5_lag_7_median_scpPSLjfm', '5_lag_7_median_stratZ50ndj01', '5_lag_6_median_eapPSLjfm', '5_lag_6_median_naoPSLjfm', '6_lag_naoPSLjfm', '6_lag_shSICmar', '6_lag_amo3', '5_lag_6_median_shSICmar', '6_lag_nhSICjfm', '7_lag_nhSICjfm', '5_lag_7_median_solFORC', '5_lag_7_median_nhSICjfm']","[0.003730671699251182, 0.018779041429023292, 1673948802752.5977, 0.08275074678657934, 0.08726824597823103, 0.041376163075402685, 0.12908888864700566, 12131551626587.95, 0.01973597464545874, 0.002361299514589981, 0.11393994862348227, 1138990902157.9695, 531255440184.4164, 0.004026788421599755, 0.1285823913990872, 0.19917311388582265, 12131551626587.875, 1673948802752.0806, 0.033685489657630414, 0.010660679833220249, 1138990902158.0273, 1053898246447.5447, 1053898246447.6073, 407052648282.64185, 531255440184.38983, 407052648282.63306, 116124914950.75766, 116124914950.81009, 3347897605504.721, 232249829901.54565]","7_lag_stratZ50ndj01, 6_lag_amo2, 6_lag_solFORC, 6_lag_nppc2SSTjfm, 6_lag_AMOCann, 5_lag_7_median_nppc2SSTjfm, 5_lag_7_median_atlSICjfm, 6_lag_nhSICsep, 5_lag_7_median_shSICsep, 5_lag_7_median_stratZ50ndj04, 5_lag_7_median_atlSICsep, 6_lag_eapPSLjfm, 5_lag_6_median_amo3, 6_lag_stratZ50ndj04, 5_lag_7_median_amo3, 5_lag_7_median_AMOCann, 5_lag_6_median_nhSICsep, 7_lag_solFORC, 5_lag_7_median_scpPSLjfm, 5_lag_7_median_stratZ50ndj01, 5_lag_6_median_eapPSLjfm, 5_lag_6_median_naoPSLjfm, 6_lag_naoPSLjfm, 6_lag_shSICmar, 6_lag_amo3, 5_lag_6_median_shSICmar, 6_lag_nhSICjfm, 7_lag_nhSICjfm, 5_lag_7_median_solFORC, 5_lag_7_median_nhSICjfm_418_5"
LinearRegression,1,30,atlSICjfm,slow,867.5,2005.5,0.8,16,6,6,13.829134747301373,0.2922718841776585,418,"['8_lag_stratZ50ndj01', '6_lag_8_median_nhSICsep', '7_lag_nppc2SSTjfm', '6_lag_7_median_stratZ50ndj02', '6_lag_7_median_atlSICsep', '7_lag_amo3', '7_lag_shSICsep', '7_lag_scpPSLjfm', '6_lag_8_median_scpPSLjfm', '8_lag_nppc2SSTjfm', '7_lag_eapPSLjfm', '6_lag_8_median_eapPSLjfm', '6_lag_7_median_amo3', '6_lag_7_median_AMOCann', '6_lag_7_median_nhSICsep', '6_lag_8_median_amoSSTmjjaso', '6_lag_8_median_stratZ50ndj03', '6_lag_7_median_amoSSTmjjaso', '6_lag_8_median_shSICsep', '6_lag_8_median_nhSICjfm', '6_lag_8_median_stratZ50ndj01', '6_lag_7_median_eapPSLjfm', '6_lag_7_median_solFORC', '8_lag_atlSICsep', '6_lag_8_median_nppc2SSTjfm', '8_lag_solFORC', '7_lag_atlSICjfm', '6_lag_7_median_atlSICjfm', '6_lag_8_median_atlSICsep', '6_lag_8_median_solFORC']","[0.030057737533484452, 0.08137860992702031, 1328718951154.6794, 0.016289513494124705, 652705843919.1171, 3941344152.909559, 0.05554296386189101, 0.014924426520609527, 0.04947592951608733, 1328718951154.644, 44935470393.12845, 0.1160725915657672, 3941344153.022063, 0.22877301726034788, 0.08302233703571546, 0.13475504653520753, 0.049137363838965144, 0.19294211644354273, 0.03553634928637024, 0.09572470263444262, 0.045849537477158864, 44935470393.110146, 818001131022.6959, 652705843919.1025, 2657437902309.323, 818001131023.5717, 29426653568.420166, 29426653568.357483, 1305411687838.2815, 1636002262046.2185]","8_lag_stratZ50ndj01, 6_lag_8_median_nhSICsep, 7_lag_nppc2SSTjfm, 6_lag_7_median_stratZ50ndj02, 6_lag_7_median_atlSICsep, 7_lag_amo3, 7_lag_shSICsep, 7_lag_scpPSLjfm, 6_lag_8_median_scpPSLjfm, 8_lag_nppc2SSTjfm, 7_lag_eapPSLjfm, 6_lag_8_median_eapPSLjfm, 6_lag_7_median_amo3, 6_lag_7_median_AMOCann, 6_lag_7_median_nhSICsep, 6_lag_8_median_amoSSTmjjaso, 6_lag_8_median_stratZ50ndj03, 6_lag_7_median_amoSSTmjjaso, 6_lag_8_median_shSICsep, 6_lag_8_median_nhSICjfm, 6_lag_8_median_stratZ50ndj01, 6_lag_7_median_eapPSLjfm, 6_lag_7_median_solFORC, 8_lag_atlSICsep, 6_lag_8_median_nppc2SSTjfm, 8_lag_solFORC, 7_lag_atlSICjfm, 6_lag_7_median_atlSICjfm, 6_lag_8_median_atlSICsep, 6_lag_8_median_solFORC_418_6"
LinearRegression,2,30,atlSICjfm,slow,868.5,2005.5,0.8,17,7,7,13.932248460299629,0.23921131671481335,418,"['9_lag_atlSICjfm', '7_lag_8_median_scpPSLjfm', '7_lag_8_median_amo2', '7_lag_8_median_stratZ50ndj04', '7_lag_8_median_nhSICsep', '7_lag_9_median_stratZ50ndj02', '7_lag_9_median_nppc2SSTjfm', '8_lag_amo1', '7_lag_9_median_stratZ50ndj01', '7_lag_8_median_atlSICjfm', '7_lag_8_median_amoSSTjfm', '7_lag_8_median_nppc2SSTjfm', '9_lag_atlSICsep', '7_lag_9_median_amoSSTjfm', '7_lag_8_median_shSICsep', '7_lag_8_median_stratZ50ndj01', '8_lag_eapPSLjfm', '7_lag_8_median_shSICmar', '7_lag_9_median_amo3', '7_lag_8_median_eapPSLjfm', '7_lag_9_median_solFORC', '7_lag_9_median_amo1', '7_lag_9_median_shSICsep', '7_lag_9_median_shSICmar', '7_lag_9_median_scpPSLjfm', '8_lag_amoSSTjfm', '8_lag_scpPSLjfm', '7_lag_9_median_atlSICjfm', '8_lag_atlSICjfm', '7_lag_9_median_atlSICsep']","[0.061860275677413895, 0.004955717111430627, 0.19990166609370405, 0.006577270712826939, 0.039249214458230354, 0.062281823125224574, 0.08696072436357027, 0.3197201500671774, 0.03177991545695011, 0.05925443679584922, 0.17753869980954326, 0.01974751036413022, 0.06447036673826713, 0.09546124533518432, 0.0960757806091808, 0.0612823794840563, 0.011616642795800991, 0.05632844758925017, 0.09091460626171799, 0.011616642795800882, 0.05137470800538147, 0.10496922398268561, 0.0316498180000324, 0.18093271056693763, 0.13430600840438736, 0.17753869980954298, 0.0049557171114304206, 0.06055735623663142, 0.05925443679584903, 0.02558104716444379]","9_lag_atlSICjfm, 7_lag_8_median_scpPSLjfm, 7_lag_8_median_amo2, 7_lag_8_median_stratZ50ndj04, 7_lag_8_median_nhSICsep, 7_lag_9_median_stratZ50ndj02, 7_lag_9_median_nppc2SSTjfm, 8_lag_amo1, 7_lag_9_median_stratZ50ndj01, 7_lag_8_median_atlSICjfm, 7_lag_8_median_amoSSTjfm, 7_lag_8_median_nppc2SSTjfm, 9_lag_atlSICsep, 7_lag_9_median_amoSSTjfm, 7_lag_8_median_shSICsep, 7_lag_8_median_stratZ50ndj01, 8_lag_eapPSLjfm, 7_lag_8_median_shSICmar, 7_lag_9_median_amo3, 7_lag_8_median_eapPSLjfm, 7_lag_9_median_solFORC, 7_lag_9_median_amo1, 7_lag_9_median_shSICsep, 7_lag_9_median_shSICmar, 7_lag_9_median_scpPSLjfm, 8_lag_amoSSTjfm, 8_lag_scpPSLjfm, 7_lag_9_median_atlSICjfm, 8_lag_atlSICjfm, 7_lag_9_median_atlSICsep_418_7"
LinearRegression,3,30,atlSICjfm,slow,869.5,2005.5,0.8,18,8,8,14.06938320789794,0.292340548758276,418,"['10_lag_amo1', '9_lag_amoSSTjfm', '8_lag_10_median_solFORC', '8_lag_10_median_nhSICjfm', '10_lag_shSICmar', '8_lag_9_median_amo2', '8_lag_9_median_amoSSTjfm', '9_lag_atlSICsep', '8_lag_10_median_amoSSTmjjaso', '8_lag_10_median_amo2', '8_lag_9_median_atlSICsep', '9_lag_stratZ50ndj03', '8_lag_10_median_eapPSLjfm', '8_lag_10_median_AMOCann', '9_lag_amo1', '8_lag_10_median_nppc2SSTjfm', '8_lag_9_median_amoSSTmjjaso', '8_lag_9_median_eurPSLjfm', '8_lag_10_median_nhSICsep', '8_lag_9_median_amo3', '8_lag_10_median_stratZ50ndj03', '9_lag_amo2', '9_lag_amo3', '8_lag_10_median_eurPSLjfm', '8_lag_10_median_amo1', '9_lag_eapPSLjfm', '9_lag_shSICmar', '8_lag_10_median_shSICmar', '8_lag_9_median_eapPSLjfm', '8_lag_9_median_shSICmar']","[0.07694440844103087, 0.18996598608780219, 0.0598215403092066, 0.059295414085467374, 0.026837918241762262, 0.02116270721201113, 0.18996598608780238, 0.005224688513451049, 0.03734866135627481, 0.22117246053894016, 0.005224688513450855, 0.04426921448774892, 0.009753640706958453, 0.32588333894699506, 0.2240979800312709, 0.013452412934556698, 0.037634397940822656, 0.010821828853883044, 0.03415478335913049, 0.04134907786731884, 0.05035357012781625, 0.021162707212011262, 0.04134907786731891, 0.07169751863790447, 0.07357678579512023, 0.001383793524184192, 0.024955317077648528, 0.025896617659705374, 0.0013837935241842714, 0.02495531707764846]","10_lag_amo1, 9_lag_amoSSTjfm, 8_lag_10_median_solFORC, 8_lag_10_median_nhSICjfm, 10_lag_shSICmar, 8_lag_9_median_amo2, 8_lag_9_median_amoSSTjfm, 9_lag_atlSICsep, 8_lag_10_median_amoSSTmjjaso, 8_lag_10_median_amo2, 8_lag_9_median_atlSICsep, 9_lag_stratZ50ndj03, 8_lag_10_median_eapPSLjfm, 8_lag_10_median_AMOCann, 9_lag_amo1, 8_lag_10_median_nppc2SSTjfm, 8_lag_9_median_amoSSTmjjaso, 8_lag_9_median_eurPSLjfm, 8_lag_10_median_nhSICsep, 8_lag_9_median_amo3, 8_lag_10_median_stratZ50ndj03, 9_lag_amo2, 9_lag_amo3, 8_lag_10_median_eurPSLjfm, 8_lag_10_median_amo1, 9_lag_eapPSLjfm, 9_lag_shSICmar, 8_lag_10_median_shSICmar, 8_lag_9_median_eapPSLjfm, 8_lag_9_median_shSICmar_418_8"
LinearRegression,4,30,atlSICjfm,slow,870.5,2005.5,0.8,19,9,9,14.470674407781049,0.22033382559631365,418,"['10_lag_eurPSLjfm', '9_lag_10_median_AMOCann', '9_lag_11_median_amoSSTmjjaso', '10_lag_nhSICsep', '10_lag_atlSICjfm', '9_lag_10_median_eurPSLjfm', '9_lag_11_median_AMOCann', '11_lag_nhSICjfm', '9_lag_11_median_stratZ50ndj04', '9_lag_10_median_nppc2SSTjfm', '9_lag_11_median_shSICsep', '10_lag_amoSSTjfm', '9_lag_11_median_stratZ50ndj01', '11_lag_nhSICsep', '10_lag_nppc2SSTjfm', '9_lag_11_median_stratZ50ndj03', '11_lag_atlSICsep', '9_lag_11_median_atlSICjfm', '9_lag_11_median_amoSSTjfm', '9_lag_10_median_amo3', '9_lag_10_median_atlSICsep', '11_lag_eurPSLjfm', '9_lag_11_median_nhSICjfm', '11_lag_nppc2SSTjfm', '11_lag_amo3', '9_lag_11_median_nhSICsep', '9_lag_11_median_atlSICsep', '9_lag_11_median_eurPSLjfm', '9_lag_11_median_nppc2SSTjfm', '9_lag_11_median_amo3']","[6542604336.73909, 0.09824943542480469, 0.02492983796386353, 366484721016.0596, 0.009000054585113578, 304475460267.8581, 0.21432863292218945, 0.00649919252275331, 0.11155848534662816, 764582204733.0365, 0.011951686389192914, 0.056804933274770465, 0.013551893347526345, 366484721016.03815, 2428570584495.7334, 0.1283300505576376, 330232463303.9633, 0.162296324968338, 0.18284928053617477, 801615945702.7418, 330232463304.05316, 311018064604.5659, 0.1101238876581192, 1663988379762.8079, 801615945702.9327, 732969442032.1625, 660464926608.0424, 622036129209.2244, 3327976759525.5176, 1603231891405.8235]","10_lag_eurPSLjfm, 9_lag_10_median_AMOCann, 9_lag_11_median_amoSSTmjjaso, 10_lag_nhSICsep, 10_lag_atlSICjfm, 9_lag_10_median_eurPSLjfm, 9_lag_11_median_AMOCann, 11_lag_nhSICjfm, 9_lag_11_median_stratZ50ndj04, 9_lag_10_median_nppc2SSTjfm, 9_lag_11_median_shSICsep, 10_lag_amoSSTjfm, 9_lag_11_median_stratZ50ndj01, 11_lag_nhSICsep, 10_lag_nppc2SSTjfm, 9_lag_11_median_stratZ50ndj03, 11_lag_atlSICsep, 9_lag_11_median_atlSICjfm, 9_lag_11_median_amoSSTjfm, 9_lag_10_median_amo3, 9_lag_10_median_atlSICsep, 11_lag_eurPSLjfm, 9_lag_11_median_nhSICjfm, 11_lag_nppc2SSTjfm, 11_lag_amo3, 9_lag_11_median_nhSICsep, 9_lag_11_median_atlSICsep, 9_lag_11_median_eurPSLjfm, 9_lag_11_median_nppc2SSTjfm, 9_lag_11_median_amo3_418_9"
LinearRegression,5,30,atlSICjfm,slow,871.5,2005.5,0.8,20,10,10,14.936817945466844,-0.02115186374973182,418,"['11_lag_nhSICsep', '11_lag_eurPSLjfm', '10_lag_11_median_atlSICsep', '10_lag_11_median_eurPSLjfm', '11_lag_amo3', '10_lag_12_median_amoSSTmjjaso', '10_lag_11_median_amo3', '12_lag_solFORC', '10_lag_12_median_naoPSLjfm', '10_lag_11_median_nppc2SSTjfm', '10_lag_12_median_stratZ50ndj04', '10_lag_12_median_amoSSTjfm', '10_lag_12_median_AMOCann', '10_lag_12_median_stratZ50ndj01', '10_lag_12_median_stratZ50ndj03', '11_lag_nppc2SSTjfm', '12_lag_nhSICsep', '10_lag_12_median_shSICsep', '12_lag_atlSICsep', '10_lag_12_median_atlSICjfm', '10_lag_12_median_nhSICjfm', '12_lag_eurPSLjfm', '12_lag_amo3', '10_lag_12_median_solFORC', '12_lag_nppc2SSTjfm', '10_lag_12_median_nhSICsep', '10_lag_12_median_atlSICsep', '10_lag_12_median_eurPSLjfm', '10_lag_12_median_amo3', '10_lag_12_median_nppc2SSTjfm']","[619821516833.9893, 774987350207.7725, 1489548503656.7732, 253241167875.30386, 3795962266895.7173, 0.09470009448968175, 1589744150627.9292, 0.9379113291960902, 0.054725762255242276, 18115674198851.555, 0.07953985321870244, 0.0171351723421685, 0.271235388408211, 0.004247512543136773, 0.12737304391170773, 13540830995229.08, 619821516834.021, 0.016693115234375, 1489548503656.783, 0.20977783203125, 0.20965576171875, 521746182332.4923, 2206218116267.885, 0.8828125, 4574843203622.451, 1239643033668.0828, 2979097007313.607, 1043492364664.8984, 4412436232535.747, 9149686407244.943]","11_lag_nhSICsep, 11_lag_eurPSLjfm, 10_lag_11_median_atlSICsep, 10_lag_11_median_eurPSLjfm, 11_lag_amo3, 10_lag_12_median_amoSSTmjjaso, 10_lag_11_median_amo3, 12_lag_solFORC, 10_lag_12_median_naoPSLjfm, 10_lag_11_median_nppc2SSTjfm, 10_lag_12_median_stratZ50ndj04, 10_lag_12_median_amoSSTjfm, 10_lag_12_median_AMOCann, 10_lag_12_median_stratZ50ndj01, 10_lag_12_median_stratZ50ndj03, 11_lag_nppc2SSTjfm, 12_lag_nhSICsep, 10_lag_12_median_shSICsep, 12_lag_atlSICsep, 10_lag_12_median_atlSICjfm, 10_lag_12_median_nhSICjfm, 12_lag_eurPSLjfm, 12_lag_amo3, 10_lag_12_median_solFORC, 12_lag_nppc2SSTjfm, 10_lag_12_median_nhSICsep, 10_lag_12_median_atlSICsep, 10_lag_12_median_eurPSLjfm, 10_lag_12_median_amo3, 10_lag_12_median_nppc2SSTjfm_418_10"
LinearRegression,6,30,atlSICjfm,slow,872.5,2005.5,0.8,21,11,11,15.053293031444747,-0.05017476903930315,418,"['12_lag_amoSSTmjjaso', '11_lag_13_median_amo3', '12_lag_naoPSLjfm', '11_lag_13_median_atlSICsep', '11_lag_13_median_nhSICjfm', '11_lag_12_median_atlSICsep', '11_lag_13_median_amo1', '12_lag_scpPSLjfm', '12_lag_shSICsep', '11_lag_13_median_amo2', '11_lag_13_median_shSICmar', '11_lag_13_median_scpPSLjfm', '12_lag_solFORC', '11_lag_12_median_amoSSTmjjaso', '11_lag_13_median_shSICsep', '12_lag_atlSICjfm', '12_lag_nhSICsep', '11_lag_13_median_naoPSLjfm', '11_lag_12_median_shSICmar', '11_lag_13_median_nppc2SSTjfm', '11_lag_12_median_solFORC', '12_lag_atlSICsep', '11_lag_12_median_naoPSLjfm', '11_lag_13_median_nhSICsep', '11_lag_12_median_scpPSLjfm', '11_lag_12_median_atlSICjfm', '11_lag_12_median_nhSICjfm', '13_lag_solFORC', '12_lag_nhSICjfm', '11_lag_13_median_solFORC']","[0.047551831109288324, 0.034075735006022595, 709422693227.5784, 0.0053355127583478885, 0.13261354700163003, 1670711543240.6711, 0.1804730232017329, 3134171531015.7466, 0.08800684643942096, 0.11225436559159076, 0.08779693509505557, 0.00794213748424717, 26247241657196.67, 0.06478049623526594, 0.08906308257795953, 1635000597231.347, 0.16106641790303808, 0.046799780252217864, 0.005849016978726699, 0.02039272604780774, 2129559287916.8848, 1670711543240.672, 709422693227.5405, 0.17440086274483058, 3134171531015.7314, 1635000597231.2454, 421171235756.20667, 28376800945115.375, 421171235756.18976, 56753601890228.88]","12_lag_amoSSTmjjaso, 11_lag_13_median_amo3, 12_lag_naoPSLjfm, 11_lag_13_median_atlSICsep, 11_lag_13_median_nhSICjfm, 11_lag_12_median_atlSICsep, 11_lag_13_median_amo1, 12_lag_scpPSLjfm, 12_lag_shSICsep, 11_lag_13_median_amo2, 11_lag_13_median_shSICmar, 11_lag_13_median_scpPSLjfm, 12_lag_solFORC, 11_lag_12_median_amoSSTmjjaso, 11_lag_13_median_shSICsep, 12_lag_atlSICjfm, 12_lag_nhSICsep, 11_lag_13_median_naoPSLjfm, 11_lag_12_median_shSICmar, 11_lag_13_median_nppc2SSTjfm, 11_lag_12_median_solFORC, 12_lag_atlSICsep, 11_lag_12_median_naoPSLjfm, 11_lag_13_median_nhSICsep, 11_lag_12_median_scpPSLjfm, 11_lag_12_median_atlSICjfm, 11_lag_12_median_nhSICjfm, 13_lag_solFORC, 12_lag_nhSICjfm, 11_lag_13_median_solFORC_418_11"
LinearRegression,7,30,atlSICjfm,slow,873.5,2005.5,0.8,22,12,12,15.812503074221935,-0.20493249069482145,418,"['14_lag_AMOCann', '13_lag_amoSSTmjjaso', '12_lag_14_median_shSICsep', '14_lag_nhSICjfm', '12_lag_13_median_atlSICjfm', '13_lag_solFORC', '12_lag_13_median_scpPSLjfm', '14_lag_solFORC', '12_lag_13_median_stratZ50ndj03', '13_lag_stratZ50ndj03', '14_lag_atlSICjfm', '13_lag_shSICsep', '14_lag_scpPSLjfm', '12_lag_14_median_stratZ50ndj04', '13_lag_shSICmar', '12_lag_13_median_nhSICjfm', '12_lag_14_median_eapPSLjfm', '12_lag_14_median_amo1', '14_lag_nppc2SSTjfm', '12_lag_13_median_eapPSLjfm', '13_lag_nppc2SSTjfm', '12_lag_14_median_shSICmar', '12_lag_14_median_AMOCann', '12_lag_14_median_nhSICjfm', '12_lag_13_median_amoSSTjfm', '12_lag_14_median_solFORC', '12_lag_14_median_atlSICjfm', '13_lag_amoSSTjfm', '12_lag_14_median_scpPSLjfm', '12_lag_14_median_nppc2SSTjfm']","[0.10477415677333607, 0.06648773494459276, 0.05112439607927148, 6954362155065.592, 3726670292481.6514, 3683998627261.1187, 2667033541116.8057, 3683998627259.789, 902514386743.0173, 902514386742.9971, 3726670292481.6274, 0.04903606964752557, 2667033541116.8647, 0.10161878617154652, 0.05923722181070508, 6954362155065.667, 0.04346015176355605, 0.1528923060647832, 6735400728765.751, 0.04337426764731726, 6735400728765.785, 0.004635710548599816, 0.2159683084907987, 13908724310130.979, 2522674774191.856, 7367997254520.981, 7453340584963.533, 2522674774191.842, 5334067082233.624, 13470801457531.533]","14_lag_AMOCann, 13_lag_amoSSTmjjaso, 12_lag_14_median_shSICsep, 14_lag_nhSICjfm, 12_lag_13_median_atlSICjfm, 13_lag_solFORC, 12_lag_13_median_scpPSLjfm, 14_lag_solFORC, 12_lag_13_median_stratZ50ndj03, 13_lag_stratZ50ndj03, 14_lag_atlSICjfm, 13_lag_shSICsep, 14_lag_scpPSLjfm, 12_lag_14_median_stratZ50ndj04, 13_lag_shSICmar, 12_lag_13_median_nhSICjfm, 12_lag_14_median_eapPSLjfm, 12_lag_14_median_amo1, 14_lag_nppc2SSTjfm, 12_lag_13_median_eapPSLjfm, 13_lag_nppc2SSTjfm, 12_lag_14_median_shSICmar, 12_lag_14_median_AMOCann, 12_lag_14_median_nhSICjfm, 12_lag_13_median_amoSSTjfm, 12_lag_14_median_solFORC, 12_lag_14_median_atlSICjfm, 13_lag_amoSSTjfm, 12_lag_14_median_scpPSLjfm, 12_lag_14_median_nppc2SSTjfm_418_12"
LinearRegression,8,30,atlSICjfm,slow,874.5,2005.5,0.8,23,13,13,14.631917218209823,0.06085009287730156,418,"['13_lag_15_median_shSICsep', '13_lag_15_median_nhSICsep', '13_lag_15_median_amo1', '15_lag_amo3', '13_lag_15_median_amoSSTjfm', '15_lag_eapPSLjfm', '13_lag_14_median_eapPSLjfm', '15_lag_shSICmar', '13_lag_15_median_stratZ50ndj03', '13_lag_15_median_naoPSLjfm', '13_lag_14_median_atlSICsep', '13_lag_15_median_amoSSTmjjaso', '15_lag_nhSICjfm', '13_lag_15_median_nppc2SSTjfm', '13_lag_15_median_stratZ50ndj02', '14_lag_atlSICsep', '13_lag_14_median_nhSICjfm', '13_lag_14_median_shSICmar', '13_lag_14_median_nhSICsep', '13_lag_15_median_amo3', '13_lag_15_median_eapPSLjfm', '14_lag_eapPSLjfm', '13_lag_15_median_shSICmar', '14_lag_nhSICsep', '14_lag_naoPSLjfm', '14_lag_atlSICjfm', '13_lag_15_median_nhSICjfm', '13_lag_14_median_atlSICjfm', '13_lag_14_median_naoPSLjfm', '14_lag_nhSICjfm']","[0.017636028964005027, 0.11208461961104886, 0.3046208841171291, 0.11444641264229856, 0.23821861082812357, 5303558375825.508, 2998439417356.547, 876261748187.2438, 0.06979332699132645, 0.05748013685415281, 2848831898730.2256, 0.0656874028791837, 10191807273685.883, 0.016876667859557118, 0.054878504259748204, 2848831898730.171, 6311862767560.806, 876261748187.2125, 513414647575.2121, 0.14829753115611397, 10607116751651.062, 2305118958468.936, 1752523496374.4065, 513414647575.2005, 1630556788217.611, 3137036291097.2095, 20383614547371.863, 3137036291097.0044, 1630556788217.6184, 3879944506124.9097]","13_lag_15_median_shSICsep, 13_lag_15_median_nhSICsep, 13_lag_15_median_amo1, 15_lag_amo3, 13_lag_15_median_amoSSTjfm, 15_lag_eapPSLjfm, 13_lag_14_median_eapPSLjfm, 15_lag_shSICmar, 13_lag_15_median_stratZ50ndj03, 13_lag_15_median_naoPSLjfm, 13_lag_14_median_atlSICsep, 13_lag_15_median_amoSSTmjjaso, 15_lag_nhSICjfm, 13_lag_15_median_nppc2SSTjfm, 13_lag_15_median_stratZ50ndj02, 14_lag_atlSICsep, 13_lag_14_median_nhSICjfm, 13_lag_14_median_shSICmar, 13_lag_14_median_nhSICsep, 13_lag_15_median_amo3, 13_lag_15_median_eapPSLjfm, 14_lag_eapPSLjfm, 13_lag_15_median_shSICmar, 14_lag_nhSICsep, 14_lag_naoPSLjfm, 14_lag_atlSICjfm, 13_lag_15_median_nhSICjfm, 13_lag_14_median_atlSICjfm, 13_lag_14_median_naoPSLjfm, 14_lag_nhSICjfm_418_13"
LinearRegression,9,30,atlSICjfm,slow,875.5,2005.5,0.8,24,14,14,14.820134340576658,0.023915176423407486,418,"['14_lag_15_median_nhSICjfm', '14_lag_15_median_eurPSLjfm', '14_lag_15_median_nhSICsep', '15_lag_atlSICsep', '14_lag_16_median_atlSICjfm', '14_lag_15_median_nppc2SSTjfm', '16_lag_amo3', '14_lag_15_median_amo2', '16_lag_nhSICjfm', '14_lag_16_median_eapPSLjfm', '15_lag_eurPSLjfm', '14_lag_16_median_nppc2SSTjfm', '14_lag_16_median_amo2', '14_lag_16_median_shSICsep', '14_lag_15_median_eapPSLjfm', '15_lag_amo3', '14_lag_16_median_shSICmar', '14_lag_16_median_amoSSTmjjaso', '14_lag_16_median_stratZ50ndj03', '15_lag_nppc2SSTjfm', '14_lag_15_median_atlSICjfm', '14_lag_16_median_scpPSLjfm', '15_lag_eapPSLjfm', '14_lag_16_median_amo3', '15_lag_atlSICjfm', '15_lag_naoPSLjfm', '14_lag_16_median_nhSICjfm', '14_lag_15_median_naoPSLjfm', '15_lag_shSICsep', '14_lag_15_median_shSICsep']","[0.12782953781711112, 0.03549393268166655, 0.07116893762619252, 0.050998866353994365, 0.2048783121741856, 0.025937045868972, 0.03490895995709842, 0.3851727035877443, 0.026103106811122694, 0.04596315247923348, 0.03549393268166678, 0.08488864464935438, 0.24911259952638262, 0.12333425244602288, 0.03505917446181069, 0.04298004584760404, 0.024715159368134492, 0.234886806267886, 0.0010909989868949912, 0.02593704586897217, 0.014597541665153042, 0.04523610427289804, 0.03505917446181099, 0.004035542945252839, 0.014597541665153008, 0.021777877109171447, 0.07696632231411674, 0.021777877109171628, 0.04542967098255013, 0.045429670982549804]","14_lag_15_median_nhSICjfm, 14_lag_15_median_eurPSLjfm, 14_lag_15_median_nhSICsep, 15_lag_atlSICsep, 14_lag_16_median_atlSICjfm, 14_lag_15_median_nppc2SSTjfm, 16_lag_amo3, 14_lag_15_median_amo2, 16_lag_nhSICjfm, 14_lag_16_median_eapPSLjfm, 15_lag_eurPSLjfm, 14_lag_16_median_nppc2SSTjfm, 14_lag_16_median_amo2, 14_lag_16_median_shSICsep, 14_lag_15_median_eapPSLjfm, 15_lag_amo3, 14_lag_16_median_shSICmar, 14_lag_16_median_amoSSTmjjaso, 14_lag_16_median_stratZ50ndj03, 15_lag_nppc2SSTjfm, 14_lag_15_median_atlSICjfm, 14_lag_16_median_scpPSLjfm, 15_lag_eapPSLjfm, 14_lag_16_median_amo3, 15_lag_atlSICjfm, 15_lag_naoPSLjfm, 14_lag_16_median_nhSICjfm, 14_lag_15_median_naoPSLjfm, 15_lag_shSICsep, 14_lag_15_median_shSICsep_418_14"
