model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,atlSICsep,slow,1714.5,2005.5,0.6,15,1,1,14.591272241421425,0.37911823220149193,1755,"['1_lag_2_median_traMC', '7_lag_neurTSjfm', '2_lag_traMC', '14_lag_ginwSSTjfm', '6_lag_traTLS', '8_lag_traDP', '13_lag_traEC', '1_lag_4_median_alpi', '7_lag_eurPSLjfm', '1_lag_atlSICsep', '9_lag_amoSSTmjjaso', '11_lag_traEC', '3_lag_ismPRjja', '4_lag_stratZ50ndj01', '10_lag_eapPSLjfm', '10_lag_stratZ50ndj03', '13_lag_traBO', '11_lag_alpi', '13_lag_stratZ50ndj02', '12_lag_stratZ50ndj02', '7_lag_eapPSLjfm', '14_lag_mhfIP30', '10_lag_samPSLann', '11_lag_atlSICsep', '10_lag_atlSICjfm', '9_lag_alpi', '12_lag_eurPSLjfm', '10_lag_shSICsep', '5_lag_tripol3', '13_lag_scpPSLjfm']","[0.07895631442618714, 0.010948381055346276, 0.07895631442618709, 0.15382282198488836, 0.09234772865296702, 0.1494211410009003, 0.12773802886761235, 0.11466585814770161, 0.14603864486888693, 0.1960188728924998, 0.08825485203579712, 0.10488081295102489, 0.05482456979576001, 0.03327082338244509, 0.09007582567523836, 0.03908757071341596, 0.0650041584110759, 0.09954365702639892, 0.09024254261664258, 0.0782847957768162, 0.0714622272803119, 0.010932259603671984, 0.06391421692172608, 0.05173524140770087, 0.11717014594950864, 0.042043962147675744, 0.14304859498216121, 0.06634270404414194, 0.05346791052562123, 0.08652074919889663]","1_lag_2_median_traMC, 7_lag_neurTSjfm, 2_lag_traMC, 14_lag_ginwSSTjfm, 6_lag_traTLS, 8_lag_traDP, 13_lag_traEC, 1_lag_4_median_alpi, 7_lag_eurPSLjfm, 1_lag_atlSICsep, 9_lag_amoSSTmjjaso, 11_lag_traEC, 3_lag_ismPRjja, 4_lag_stratZ50ndj01, 10_lag_eapPSLjfm, 10_lag_stratZ50ndj03, 13_lag_traBO, 11_lag_alpi, 13_lag_stratZ50ndj02, 12_lag_stratZ50ndj02, 7_lag_eapPSLjfm, 14_lag_mhfIP30, 10_lag_samPSLann, 11_lag_atlSICsep, 10_lag_atlSICjfm, 9_lag_alpi, 12_lag_eurPSLjfm, 10_lag_shSICsep, 5_lag_tripol3, 13_lag_scpPSLjfm_1755_1"
LinearRegression,1,30,atlSICsep,slow,1715.5,2005.5,0.6,16,1,1,13.132910669042916,0.4596565665948169,1885,"['10_lag_nhSICsep', '8_lag_traDP', '1_lag_atlSICsep', '10_lag_stratZ50ndj03', '11_lag_eapPSLjfm', '11_lag_atlSICsep', '7_lag_neurTSjfm', '1_lag_4_median_alpi', '14_lag_ginwSSTjfm', '13_lag_stratZ50ndj02', '14_lag_stratZ50ndj01', '7_lag_eapPSLjfm', '11_lag_traEC', '11_lag_alpi', '15_lag_samPSLann', '10_lag_atlSICjfm', '10_lag_shSICsep', '3_lag_ismPRjja', '10_lag_samPSLann', '4_lag_stratZ50ndj01', '7_lag_yrvPRjja', '5_lag_tripol3', '15_lag_mhfIP30', '12_lag_eurPSLjfm', '7_lag_eurPSLjfm', '10_lag_eapPSLjfm', '12_lag_stratZ50ndj02', '9_lag_alpi', '15_lag_nchinaPRjja', '13_lag_scpPSLjfm']","[0.32357125731079295, 0.1054280098214802, 0.20452594276379754, 0.07801720781841702, 0.09141908255526866, 0.0708858103197134, 0.06087371845835916, 0.07190783863962326, 0.08285826361954138, 0.06370209929649497, 0.10140647503952671, 0.02201466256799136, 0.06538156037444116, 0.1142346139225493, 0.09074940677961706, 0.09100867404258664, 0.029317132574151132, 0.059653517094815985, 0.006933246787184016, 0.009796412766530687, 0.14777937485305243, 0.07180899928266135, 0.08101706044288448, 0.08863051554945399, 0.11471275139446649, 0.10285227771739655, 0.0868346608804248, 0.06662495342867739, 0.10296512644705003, 0.11950784173319529]","10_lag_nhSICsep, 8_lag_traDP, 1_lag_atlSICsep, 10_lag_stratZ50ndj03, 11_lag_eapPSLjfm, 11_lag_atlSICsep, 7_lag_neurTSjfm, 1_lag_4_median_alpi, 14_lag_ginwSSTjfm, 13_lag_stratZ50ndj02, 14_lag_stratZ50ndj01, 7_lag_eapPSLjfm, 11_lag_traEC, 11_lag_alpi, 15_lag_samPSLann, 10_lag_atlSICjfm, 10_lag_shSICsep, 3_lag_ismPRjja, 10_lag_samPSLann, 4_lag_stratZ50ndj01, 7_lag_yrvPRjja, 5_lag_tripol3, 15_lag_mhfIP30, 12_lag_eurPSLjfm, 7_lag_eurPSLjfm, 10_lag_eapPSLjfm, 12_lag_stratZ50ndj02, 9_lag_alpi, 15_lag_nchinaPRjja, 13_lag_scpPSLjfm_1885_1"
LinearRegression,2,30,atlSICsep,slow,1716.5,2005.5,0.6,17,1,1,15.955048369957488,0.33381101312347994,2015,"['4_lag_stratZ50ndj01', '1_lag_atlSICsep', '6_lag_scpPSLjfm', '5_lag_tripol3', '11_lag_stratZ50ndj02', '1_lag_4_median_alpi', '7_lag_eapPSLjfm', '11_lag_shSICmar', '7_lag_neurTSjfm', '8_lag_traDP', '15_lag_mhfIP30', '11_lag_traEC', '13_lag_stratZ50ndj02', '6_lag_mhfATL30', '10_lag_stratZ50ndj03', '10_lag_shSICsep', '11_lag_eapPSLjfm', '15_lag_samPSLann', '7_lag_yrvPRjja', '11_lag_alpi', '10_lag_eapPSLjfm', '10_lag_atlSICjfm', '12_lag_eurPSLjfm', '3_lag_ismPRjja', '7_lag_eurPSLjfm', '13_lag_scpPSLjfm', '12_lag_stratZ50ndj02', '9_lag_alpi', '16_lag_traTLS', '15_lag_nchinaPRjja']","[0.00041715220330904327, 0.200068850787222, 0.06567264559394534, 0.016680832285576683, 0.0470333601406345, 0.1351169459247954, 0.10857256645370017, 0.21319449255600129, 0.04663146678784017, 0.04911037944893603, 0.060580327195437086, 0.03378648989263797, 0.03133254368451977, 0.12844174353395252, 0.06542746369089589, 0.0037374043715173617, 0.13770058838391, 0.15872430911453733, 0.1266985456735231, 0.11576285111292912, 0.06940551219252122, 0.10613024419158948, 0.039054202429370424, 0.09294790064809258, 0.08987418026303677, 0.0912135635723919, 0.050685859991155824, 0.08058133123842098, 0.10493259434110287, 0.0991066017914842]","4_lag_stratZ50ndj01, 1_lag_atlSICsep, 6_lag_scpPSLjfm, 5_lag_tripol3, 11_lag_stratZ50ndj02, 1_lag_4_median_alpi, 7_lag_eapPSLjfm, 11_lag_shSICmar, 7_lag_neurTSjfm, 8_lag_traDP, 15_lag_mhfIP30, 11_lag_traEC, 13_lag_stratZ50ndj02, 6_lag_mhfATL30, 10_lag_stratZ50ndj03, 10_lag_shSICsep, 11_lag_eapPSLjfm, 15_lag_samPSLann, 7_lag_yrvPRjja, 11_lag_alpi, 10_lag_eapPSLjfm, 10_lag_atlSICjfm, 12_lag_eurPSLjfm, 3_lag_ismPRjja, 7_lag_eurPSLjfm, 13_lag_scpPSLjfm, 12_lag_stratZ50ndj02, 9_lag_alpi, 16_lag_traTLS, 15_lag_nchinaPRjja_2015_1"
LinearRegression,3,30,atlSICsep,slow,1717.5,2005.5,0.6,18,1,3,19.711388001647705,0.11907601328308562,2145,"['13_lag_stratZ50ndj02', '15_lag_mhfIP30', '3_lag_traEC', '7_lag_alpi', '16_lag_traIT', '6_lag_scpPSLjfm', '17_lag_traTLS', '7_lag_neurTSjfm', '10_lag_stratZ50ndj03', '5_lag_tripol3', '11_lag_alpi', '17_lag_traWP', '17_lag_naoPSLjfm', '11_lag_eapPSLjfm', '6_lag_mhfATL30', '10_lag_shSICsep', '10_lag_eapPSLjfm', '17_lag_stratZ50ndj01', '15_lag_samPSLann', '13_lag_scpPSLjfm', '7_lag_yrvPRjja', '10_lag_atlSICjfm', '4_lag_stratZ50ndj01', '3_lag_ismPRjja', '12_lag_eurPSLjfm', '7_lag_eurPSLjfm', '16_lag_traTLS', '9_lag_alpi', '12_lag_stratZ50ndj02', '15_lag_nchinaPRjja']","[0.02162537537445752, 0.08113696704228757, 0.1339816077885022, 0.043827253452008365, 0.04431978181167133, 0.07732311588051746, 0.07486139004120466, 0.061551171514319866, 0.02200355440171948, 0.05361608237260527, 0.13115848227848362, 0.10685727695218855, 0.0146345969708805, 0.11587955964772824, 0.12361660293070027, 0.07697456328079504, 0.05265040112949699, 0.06256522563930293, 0.11053603298097658, 0.08350605790160431, 0.09272658458136085, 0.18199247092664889, 0.008876299308185998, 0.04535075736067283, 0.08866738202366081, 0.13327855063552513, 0.13438351676093677, 0.051479471697665063, 0.057595450430833646, 0.10369167156411052]","13_lag_stratZ50ndj02, 15_lag_mhfIP30, 3_lag_traEC, 7_lag_alpi, 16_lag_traIT, 6_lag_scpPSLjfm, 17_lag_traTLS, 7_lag_neurTSjfm, 10_lag_stratZ50ndj03, 5_lag_tripol3, 11_lag_alpi, 17_lag_traWP, 17_lag_naoPSLjfm, 11_lag_eapPSLjfm, 6_lag_mhfATL30, 10_lag_shSICsep, 10_lag_eapPSLjfm, 17_lag_stratZ50ndj01, 15_lag_samPSLann, 13_lag_scpPSLjfm, 7_lag_yrvPRjja, 10_lag_atlSICjfm, 4_lag_stratZ50ndj01, 3_lag_ismPRjja, 12_lag_eurPSLjfm, 7_lag_eurPSLjfm, 16_lag_traTLS, 9_lag_alpi, 12_lag_stratZ50ndj02, 15_lag_nchinaPRjja_2145_3"
LinearRegression,4,30,atlSICsep,slow,1718.5,2005.5,0.6,19,1,2,18.364668071627484,0.12179179358330336,2275,"['18_lag_traEU', '15_lag_samPSLann', '10_lag_samPSLann', '10_lag_eapPSLjfm', '2_lag_traMC', '17_lag_naoPSLjfm', '17_lag_stratZ50ndj01', '11_lag_alpi', '13_lag_atlSICsep', '7_lag_neurTSjfm', '18_lag_tripol1', '8_lag_traDP', '5_lag_tripol3', '17_lag_traTLS', '3_lag_ismPRjja', '6_lag_scpPSLjfm', '17_lag_traWP', '18_lag_ginwSSTjfm', '13_lag_scpPSLjfm', '4_lag_stratZ50ndj01', '6_lag_mhfATL30', '9_lag_alpi', '18_lag_traIFC', '12_lag_eurPSLjfm', '7_lag_yrvPRjja', '7_lag_eurPSLjfm', '10_lag_atlSICjfm', '16_lag_traTLS', '12_lag_stratZ50ndj02', '15_lag_nchinaPRjja']","[0.07632426014171755, 0.1556884741683498, 0.006714877803268083, 0.008376943944082903, 0.14539375913254324, 0.01833744854537125, 0.0014516537924247474, 0.08970069700635801, 0.03459681761308574, 0.027600176239531208, 0.1143537135438482, 0.07555945457353469, 0.07018214583597786, 0.08199001588107764, 0.013700195221554407, 0.07805618352770521, 0.11478522120313407, 0.16389351897885834, 0.06182783189193346, 0.02674559220193788, 0.17593247364779105, 0.044627376944902875, 0.10655384254143284, 0.08876396130402969, 0.1056576576560984, 0.09937404938817274, 0.21717720621755038, 0.11019520629262947, 0.048994305560949324, 0.05466099812599659]","18_lag_traEU, 15_lag_samPSLann, 10_lag_samPSLann, 10_lag_eapPSLjfm, 2_lag_traMC, 17_lag_naoPSLjfm, 17_lag_stratZ50ndj01, 11_lag_alpi, 13_lag_atlSICsep, 7_lag_neurTSjfm, 18_lag_tripol1, 8_lag_traDP, 5_lag_tripol3, 17_lag_traTLS, 3_lag_ismPRjja, 6_lag_scpPSLjfm, 17_lag_traWP, 18_lag_ginwSSTjfm, 13_lag_scpPSLjfm, 4_lag_stratZ50ndj01, 6_lag_mhfATL30, 9_lag_alpi, 18_lag_traIFC, 12_lag_eurPSLjfm, 7_lag_yrvPRjja, 7_lag_eurPSLjfm, 10_lag_atlSICjfm, 16_lag_traTLS, 12_lag_stratZ50ndj02, 15_lag_nchinaPRjja_2275_2"
LinearRegression,5,30,atlSICsep,slow,1719.5,2005.5,0.6,20,1,3,23.821456299599895,-0.05063436478141931,2405,"['13_lag_stratZ50ndj02', '10_lag_shSICsep', '18_lag_tripol3', '10_lag_samPSLann', '15_lag_stratZ50ndj03', '17_lag_naoPSLjfm', '18_lag_tripol1', '5_lag_tripol3', '17_lag_traWP', '11_lag_atlSICsep', '11_lag_alpi', '13_lag_scpPSLjfm', '19_lag_traFS', '6_lag_scpPSLjfm', '19_lag_traEC', '10_lag_eapPSLjfm', '6_lag_mhfATL30', '17_lag_traTLS', '3_lag_ismPRjja', '10_lag_atlSICjfm', '4_lag_stratZ50ndj01', '7_lag_eurPSLjfm', '18_lag_ginwSSTjfm', '18_lag_traIFC', '16_lag_traTLS', '12_lag_eurPSLjfm', '7_lag_yrvPRjja', '12_lag_stratZ50ndj02', '9_lag_alpi', '15_lag_nchinaPRjja']","[0.06363355930497873, 0.09817733713169603, 0.08183003448666136, 0.09972800407908775, 0.023716752176377264, 0.014674887197310799, 0.13079073067084832, 0.050120018349969715, 0.04314655718940289, 0.06409260077048566, 0.09339486062858346, 0.051465481467219985, 0.26356069544014504, 0.07820596405574483, 0.029582828494254837, 0.026805097943054013, 0.13166717050829166, 0.07193599280331707, 0.03744698296345244, 0.16619488464566737, 0.015352299036961335, 0.12682206989375838, 0.17346427805524967, 0.1448307052887632, 0.0484621454857475, 0.08404463366066661, 0.09983978806635671, 0.06358306080776288, 0.06248158624220661, 0.09652288529079592]","13_lag_stratZ50ndj02, 10_lag_shSICsep, 18_lag_tripol3, 10_lag_samPSLann, 15_lag_stratZ50ndj03, 17_lag_naoPSLjfm, 18_lag_tripol1, 5_lag_tripol3, 17_lag_traWP, 11_lag_atlSICsep, 11_lag_alpi, 13_lag_scpPSLjfm, 19_lag_traFS, 6_lag_scpPSLjfm, 19_lag_traEC, 10_lag_eapPSLjfm, 6_lag_mhfATL30, 17_lag_traTLS, 3_lag_ismPRjja, 10_lag_atlSICjfm, 4_lag_stratZ50ndj01, 7_lag_eurPSLjfm, 18_lag_ginwSSTjfm, 18_lag_traIFC, 16_lag_traTLS, 12_lag_eurPSLjfm, 7_lag_yrvPRjja, 12_lag_stratZ50ndj02, 9_lag_alpi, 15_lag_nchinaPRjja_2405_3"
LinearRegression,6,30,atlSICsep,slow,1720.5,2005.5,0.6,21,1,3,21.280885454859703,0.021438911524366645,2535,"['15_lag_stratZ50ndj03', '6_lag_mhfIP30', '20_lag_yrvPRjja', '11_lag_traEC', '10_lag_eapPSLjfm', '12_lag_naoPSLjfm', '18_lag_tripol1', '11_lag_atlSICsep', '17_lag_naoPSLjfm', '18_lag_traEU', '19_lag_traFS', '19_lag_traEC', '6_lag_mhfATL30', '8_lag_traDP', '6_lag_scpPSLjfm', '3_lag_ismPRjja', '7_lag_eurPSLjfm', '11_lag_alpi', '4_lag_stratZ50ndj01', '13_lag_scpPSLjfm', '17_lag_traTLS', '18_lag_traIFC', '12_lag_stratZ50ndj02', '10_lag_atlSICjfm', '16_lag_traTLS', '18_lag_ginwSSTjfm', '12_lag_eurPSLjfm', '7_lag_yrvPRjja', '9_lag_alpi', '15_lag_nchinaPRjja']","[0.018705004080273684, 0.1439046166105611, 0.08370756512934693, 0.09624178940956539, 0.041408225280053224, 0.04750535013849821, 0.13004885960968451, 0.052399821373839084, 0.0423596686545885, 0.08180786296130084, 0.24305888044761492, 0.04160729038843355, 0.14450083198212446, 0.039511601423137366, 0.10302037320247964, 0.03878618723952198, 0.10640549926335781, 0.09540067600162694, 0.007353481332377853, 0.08461070489895473, 0.05525729864272454, 0.17424464542148044, 0.05577622664109716, 0.13470527263552703, 0.07219739694040618, 0.1721171995515776, 0.10763793520487426, 0.10051831627013515, 0.07065751183750651, 0.0938789729015306]","15_lag_stratZ50ndj03, 6_lag_mhfIP30, 20_lag_yrvPRjja, 11_lag_traEC, 10_lag_eapPSLjfm, 12_lag_naoPSLjfm, 18_lag_tripol1, 11_lag_atlSICsep, 17_lag_naoPSLjfm, 18_lag_traEU, 19_lag_traFS, 19_lag_traEC, 6_lag_mhfATL30, 8_lag_traDP, 6_lag_scpPSLjfm, 3_lag_ismPRjja, 7_lag_eurPSLjfm, 11_lag_alpi, 4_lag_stratZ50ndj01, 13_lag_scpPSLjfm, 17_lag_traTLS, 18_lag_traIFC, 12_lag_stratZ50ndj02, 10_lag_atlSICjfm, 16_lag_traTLS, 18_lag_ginwSSTjfm, 12_lag_eurPSLjfm, 7_lag_yrvPRjja, 9_lag_alpi, 15_lag_nchinaPRjja_2535_3"
LinearRegression,7,30,atlSICsep,slow,1721.5,2005.5,0.6,22,1,3,20.4858974425162,0.09481143390631763,2665,"['13_lag_stratZ50ndj02', '10_lag_eapPSLjfm', '21_lag_tripol1', '15_lag_stratZ50ndj03', '21_lag_traTLS', '21_lag_eapPSLjfm', '6_lag_mhfATL30', '13_lag_traBO', '13_lag_scpPSLjfm', '11_lag_traEC', '17_lag_traTLS', '18_lag_traEU', '19_lag_traEC', '17_lag_naoPSLjfm', '4_lag_stratZ50ndj01', '19_lag_traFS', '7_lag_eurPSLjfm', '18_lag_traIFC', '6_lag_scpPSLjfm', '17_lag_traWP', '11_lag_alpi', '16_lag_traTLS', '10_lag_atlSICjfm', '3_lag_ismPRjja', '12_lag_eurPSLjfm', '12_lag_stratZ50ndj02', '18_lag_ginwSSTjfm', '7_lag_yrvPRjja', '9_lag_alpi', '15_lag_nchinaPRjja']","[0.05272822355706194, 0.05611256110538725, 0.11447895913637574, 0.0022169662144260883, 0.13325190543054227, 0.016116429078396496, 0.083246502431801, 0.08165704920847348, 0.10574420857615331, 0.11716451357506112, 0.06347520049296608, 0.08665838125455329, 0.018271976033489474, 0.02852464040030099, 0.024613467150067667, 0.2627323035745478, 0.09488545204103441, 0.16718180747855943, 0.048981832058693775, 0.040339903129113924, 0.11396201910786219, 0.0014618166420919836, 0.16590335513593427, 0.03728103299138392, 0.08950394695351448, 0.0983665850822256, 0.14238002730991314, 0.11775244551980987, 0.07506617469755617, 0.09108493814509488]","13_lag_stratZ50ndj02, 10_lag_eapPSLjfm, 21_lag_tripol1, 15_lag_stratZ50ndj03, 21_lag_traTLS, 21_lag_eapPSLjfm, 6_lag_mhfATL30, 13_lag_traBO, 13_lag_scpPSLjfm, 11_lag_traEC, 17_lag_traTLS, 18_lag_traEU, 19_lag_traEC, 17_lag_naoPSLjfm, 4_lag_stratZ50ndj01, 19_lag_traFS, 7_lag_eurPSLjfm, 18_lag_traIFC, 6_lag_scpPSLjfm, 17_lag_traWP, 11_lag_alpi, 16_lag_traTLS, 10_lag_atlSICjfm, 3_lag_ismPRjja, 12_lag_eurPSLjfm, 12_lag_stratZ50ndj02, 18_lag_ginwSSTjfm, 7_lag_yrvPRjja, 9_lag_alpi, 15_lag_nchinaPRjja_2665_3"
LinearRegression,8,30,atlSICsep,slow,1722.5,2005.5,0.6,23,1,3,22.49231820392092,-0.017642979845706595,2795,"['11_lag_nchinaPRjja', '21_lag_tripol1', '21_lag_eapPSLjfm', '17_lag_traTLS', '5_lag_tripol3', '13_lag_traBO', '4_lag_stratZ50ndj01', '7_lag_eurPSLjfm', '11_lag_traEC', '17_lag_naoPSLjfm', '18_lag_traEU', '10_lag_eapPSLjfm', '13_lag_scpPSLjfm', '6_lag_mhfATL30', '19_lag_traFS', '19_lag_traEC', '11_lag_alpi', '16_lag_traTLS', '17_lag_traWP', '18_lag_traIFC', '10_lag_atlSICjfm', '3_lag_ismPRjja', '6_lag_scpPSLjfm', '12_lag_eurPSLjfm', '12_lag_stratZ50ndj02', '18_lag_ginwSSTjfm', '7_lag_yrvPRjja', '9_lag_alpi', '22_lag_amo1', '15_lag_nchinaPRjja']","[0.047470215559912834, 0.13294258839670253, 0.026254587961149323, 0.05304608634394652, 0.062449108579741015, 0.12473393808495684, 0.022670762115112795, 0.08078290212374609, 0.07793352489562533, 0.020274394188414, 0.1280430545667623, 0.05485536151867606, 0.11352735796941836, 0.0871337476902874, 0.21646562502633615, 0.0015298102824185648, 0.10052156130002006, 0.0001820233351275298, 0.04286675045962059, 0.1512413827451796, 0.16377549030809121, 0.0531466241926315, 0.05950659149716007, 0.06224462165529146, 0.0743546898144913, 0.16673457618064974, 0.10699117476024074, 0.045494670848138005, 0.24049850325092675, 0.09349197966395209]","11_lag_nchinaPRjja, 21_lag_tripol1, 21_lag_eapPSLjfm, 17_lag_traTLS, 5_lag_tripol3, 13_lag_traBO, 4_lag_stratZ50ndj01, 7_lag_eurPSLjfm, 11_lag_traEC, 17_lag_naoPSLjfm, 18_lag_traEU, 10_lag_eapPSLjfm, 13_lag_scpPSLjfm, 6_lag_mhfATL30, 19_lag_traFS, 19_lag_traEC, 11_lag_alpi, 16_lag_traTLS, 17_lag_traWP, 18_lag_traIFC, 10_lag_atlSICjfm, 3_lag_ismPRjja, 6_lag_scpPSLjfm, 12_lag_eurPSLjfm, 12_lag_stratZ50ndj02, 18_lag_ginwSSTjfm, 7_lag_yrvPRjja, 9_lag_alpi, 22_lag_amo1, 15_lag_nchinaPRjja_2795_3"
LinearRegression,9,30,atlSICsep,slow,1723.5,2005.5,0.6,24,1,3,22.26289053917407,-0.005830027169408433,2925,"['13_lag_stratZ50ndj02', '16_lag_traTLS', '10_lag_eapPSLjfm', '13_lag_scpPSLjfm', '6_lag_mhfATL30', '15_lag_stratZ50ndj03', '17_lag_naoPSLjfm', '10_lag_atlSICjfm', '21_lag_tripol1', '11_lag_traEC', '13_lag_traBO', '7_lag_eurPSLjfm', '17_lag_traTLS', '19_lag_traEC', '23_lag_mhfIP30', '19_lag_traFS', '18_lag_traEU', '17_lag_traWP', '11_lag_alpi', '12_lag_eurPSLjfm', '18_lag_traIFC', '22_lag_amo1', '18_lag_ginwSSTjfm', '6_lag_scpPSLjfm', '3_lag_ismPRjja', '23_lag_eurPSLjfm', '7_lag_yrvPRjja', '12_lag_stratZ50ndj02', '9_lag_alpi', '15_lag_nchinaPRjja']","[0.05825475195441297, 0.008922219966595736, 0.035853184908455474, 0.12021628300277272, 0.08992315018389015, 0.03420930988426943, 0.009294712346976299, 0.15958752102933177, 0.11852143999637893, 0.07436754323197418, 0.11206018258501389, 0.08717582320131495, 0.05458374191542486, 0.0021381320509542227, 0.07593899718393253, 0.2253429332943698, 0.12083519610408823, 0.04725068971800246, 0.10061945463870287, 0.05845571168348192, 0.15910951286235686, 0.21976879838606234, 0.15926757415404588, 0.049263616483919935, 0.0377977281133325, 0.016998850874647854, 0.12012905130989547, 0.08203137858203273, 0.045768839170986175, 0.10410689419902223]","13_lag_stratZ50ndj02, 16_lag_traTLS, 10_lag_eapPSLjfm, 13_lag_scpPSLjfm, 6_lag_mhfATL30, 15_lag_stratZ50ndj03, 17_lag_naoPSLjfm, 10_lag_atlSICjfm, 21_lag_tripol1, 11_lag_traEC, 13_lag_traBO, 7_lag_eurPSLjfm, 17_lag_traTLS, 19_lag_traEC, 23_lag_mhfIP30, 19_lag_traFS, 18_lag_traEU, 17_lag_traWP, 11_lag_alpi, 12_lag_eurPSLjfm, 18_lag_traIFC, 22_lag_amo1, 18_lag_ginwSSTjfm, 6_lag_scpPSLjfm, 3_lag_ismPRjja, 23_lag_eurPSLjfm, 7_lag_yrvPRjja, 12_lag_stratZ50ndj02, 9_lag_alpi, 15_lag_nchinaPRjja_2925_3"
