model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,cetTSjfm,slow,866.5,2005.5,0.8,15,5,5,14.826457211203547,-0.18630585080203968,1235,"['14_lag_traIFC', '5_lag_shTSjfm', '14_lag_shSICsep', '5_lag_7_median_traDS', '5_lag_12_median_mhfATL45', '11_lag_mhfATL45']","[2.4197576116535884, 2.5913509680507256, 2.7676014392529864, 2.6855089989347443, 2.5412208147801496, 3.1148773499413354]","14_lag_traIFC, 5_lag_shTSjfm, 14_lag_shSICsep, 5_lag_7_median_traDS, 5_lag_12_median_mhfATL45, 11_lag_mhfATL45_1235_5"
LRforcedPSO,1,6,cetTSjfm,slow,867.5,2005.5,0.8,16,6,6,13.67301814408691,-0.11530556551366451,1235,"['11_lag_ismPRjja', '14_lag_amo2', '6_lag_14_median_tripol1', '6_lag_15_median_amo1', '7_lag_amo3', '11_lag_samPSLann']","[0.2877509990879652, 0.8446844093242305, 1.6877167066665848, 1.8598971420334838, 0.8433643118297987, 5.97253527890105]","11_lag_ismPRjja, 14_lag_amo2, 6_lag_14_median_tripol1, 6_lag_15_median_amo1, 7_lag_amo3, 11_lag_samPSLann_1235_6"
LRforcedPSO,2,6,cetTSjfm,slow,868.5,2005.5,0.8,17,7,7,17.57838863294397,-0.35803498084479357,1235,"['7_lag_8_median_stratZ50ndj04', '7_lag_16_median_nchinaPRjja', '7_lag_12_median_nhSICsep', '7_lag_9_median_glomaSSTjfm', '7_lag_10_median_traTLS', '8_lag_wnorPRjfm']","[1.2852985983772331, 1.9636081106041932, 5.420315467447365, 0.7283875887981068, 0.543626842441288, 5.138107909146729]","7_lag_8_median_stratZ50ndj04, 7_lag_16_median_nchinaPRjja, 7_lag_12_median_nhSICsep, 7_lag_9_median_glomaSSTjfm, 7_lag_10_median_traTLS, 8_lag_wnorPRjfm_1235_7"
LRforcedPSO,3,6,cetTSjfm,slow,869.5,2005.5,0.8,18,8,8,11.206366562192411,0.3337344599550724,1235,"['12_lag_mhfATL45', '8_lag_14_median_stratZ50ndj03', '17_lag_nhSICjfm', '8_lag_17_median_samPSLann', '8_lag_9_median_nppc3SSTjfm', '15_lag_eurPSLjfm']","[1.8749274781420622, 1.8468359446270521, 2.46169755287964, 1.8468407461925498, 1.9214003359418435, 2.3996934695979415]","12_lag_mhfATL45, 8_lag_14_median_stratZ50ndj03, 17_lag_nhSICjfm, 8_lag_17_median_samPSLann, 8_lag_9_median_nppc3SSTjfm, 15_lag_eurPSLjfm_1235_8"
LRforcedPSO,4,6,cetTSjfm,slow,870.5,2005.5,0.8,19,9,9,13.774657572264246,-0.21926736464843158,1235,"['17_lag_tripol2', '9_lag_12_median_amo2', '9_lag_16_median_traMC', '9_lag_16_median_mhfATL30', '9_lag_17_median_neurTSjfm', '10_lag_traEC']","[2.465201433420745, 3.7143183938564883, 3.075970784993981, 1.4679537436244416, 0.7744934887820509, 2.5814230182695326]","17_lag_tripol2, 9_lag_12_median_amo2, 9_lag_16_median_traMC, 9_lag_16_median_mhfATL30, 9_lag_17_median_neurTSjfm, 10_lag_traEC_1235_9"
LRforcedPSO,5,6,cetTSjfm,slow,871.5,2005.5,0.8,20,10,10,13.111947178594537,0.16603781673211546,1235,"['10_lag_15_median_neurTSjfm', '10_lag_15_median_shTSjfm', '18_lag_shTSjfm', '18_lag_eurPSLjfm', '15_lag_amo2', '10_lag_15_median_atlSICjfm']","[7.904627040707737, 0.15767181420294385, 0.9611646407763281, 0.14978803027269905, 0.2724192248302888, 1.1173127132264042]","10_lag_15_median_neurTSjfm, 10_lag_15_median_shTSjfm, 18_lag_shTSjfm, 18_lag_eurPSLjfm, 15_lag_amo2, 10_lag_15_median_atlSICjfm_1235_10"
LRforcedPSO,6,6,cetTSjfm,slow,872.5,2005.5,0.8,21,11,11,12.298233983361898,0.1169644556166141,1235,"['13_lag_traTLS', '11_lag_19_median_mhfATL30', '18_lag_AMOCann', '11_lag_18_median_solFORC', '11_lag_13_median_traMC', '11_lag_20_median_traTLS']","[0.28709123210353127, 3.5208795573022744, 0.09427816329379013, 0.5446463790567275, 0.4201175203765253, 4.433892048060601]","13_lag_traTLS, 11_lag_19_median_mhfATL30, 18_lag_AMOCann, 11_lag_18_median_solFORC, 11_lag_13_median_traMC, 11_lag_20_median_traTLS_1235_11"
LRforcedPSO,7,6,cetTSjfm,slow,873.5,2005.5,0.8,22,12,12,11.867242633204222,0.04965147290055588,1235,"['16_lag_shTSjfm', '19_lag_arcTSjfm', '20_lag_shTSjfm', '17_lag_traTLS', '14_lag_mhfATL30', '12_lag_13_median_traBO']","[1.610434042535987, 1.6537182816811524, 1.2406783345273986, 1.2438526890081005, 1.2678490498019281, 1.244418612751462]","16_lag_shTSjfm, 19_lag_arcTSjfm, 20_lag_shTSjfm, 17_lag_traTLS, 14_lag_mhfATL30, 12_lag_13_median_traBO_1235_12"
LRforcedPSO,8,6,cetTSjfm,slow,874.5,2005.5,0.8,23,13,13,12.612740709567761,-0.16759018481384116,1235,"['13_lag_16_median_scpPSLjfm', '13_lag_21_median_traBS', '17_lag_amo2', '22_lag_traEU', '22_lag_shSICmar', '13_lag_21_median_AMOCann']","[1.1471771704872624, 1.0818478879282754, 1.439300630427865, 1.0821887209196146, 1.0992680352372142, 1.1060675049436934]","13_lag_16_median_scpPSLjfm, 13_lag_21_median_traBS, 17_lag_amo2, 22_lag_traEU, 22_lag_shSICmar, 13_lag_21_median_AMOCann_1235_13"
LRforcedPSO,9,6,cetTSjfm,slow,875.5,2005.5,0.8,24,14,14,12.571218667070378,0.07997109911334985,1235,"['17_lag_traBO', '14_lag_17_median_traCA', '14_lag_18_median_ismPRjja', '17_lag_stratZ50ndj03', '22_lag_scpPSLjfm', '14_lag_21_median_amo1']","[5.160612419163009, 3.896649648108818, 1.742684793889639, 2.4020196322296927, 1.7493817349540386, 0.40638910105995407]","17_lag_traBO, 14_lag_17_median_traCA, 14_lag_18_median_ismPRjja, 17_lag_stratZ50ndj03, 22_lag_scpPSLjfm, 14_lag_21_median_amo1_1235_14"
LRforcedPSO,10,6,cetTSjfm,slow,876.5,2005.5,0.8,25,15,15,17.070104937576414,-0.2571692373746862,1235,"['16_lag_shSICmar', '24_lag_eapPSLjfm', '15_lag_22_median_gyreSSTjfm', '20_lag_traDS', '15_lag_22_median_amoSSTmjjaso', '23_lag_mhfATL60']","[4.356596409609146, 2.421478143695026, 5.894552273222175, 1.021856879984007, 4.405025113381784, 3.132213124369734]","16_lag_shSICmar, 24_lag_eapPSLjfm, 15_lag_22_median_gyreSSTjfm, 20_lag_traDS, 15_lag_22_median_amoSSTmjjaso, 23_lag_mhfATL60_1235_15"
LRforcedPSO,11,6,cetTSjfm,slow,877.5,2005.5,0.8,26,16,16,12.568320994249213,-0.018481854750486894,1235,"['16_lag_25_median_nhTSjfm', '16_lag_22_median_traIFC', '16_lag_23_median_nhSICsep', '23_lag_eurPSLjfm', '25_lag_eurPSLjfm', '18_lag_traBS']","[2.1518886131057338, 1.6139246756203482, 1.6588505362541217, 1.9845761443348917, 2.0198717191301268, 1.626637691083062]","16_lag_25_median_nhTSjfm, 16_lag_22_median_traIFC, 16_lag_23_median_nhSICsep, 23_lag_eurPSLjfm, 25_lag_eurPSLjfm, 18_lag_traBS_1235_16"
LRforcedPSO,12,6,cetTSjfm,slow,878.5,2005.5,0.8,27,17,17,11.725377790684705,0.15897225112137742,1235,"['19_lag_traDP', '17_lag_19_median_traIFC', '17_lag_25_median_alpi', '17_lag_24_median_nhSICsep', '23_lag_AMOCann', '17_lag_23_median_samPSLann']","[0.22855431584013175, 0.03070851936817931, 0.9057563806224795, 3.46794116867283, 2.5761762435757234, 4.296358219633449]","19_lag_traDP, 17_lag_19_median_traIFC, 17_lag_25_median_alpi, 17_lag_24_median_nhSICsep, 23_lag_AMOCann, 17_lag_23_median_samPSLann_1235_17"
LRforcedPSO,13,6,cetTSjfm,slow,879.5,2005.5,0.8,28,18,18,12.253211920757813,0.057709492917834365,1235,"['19_lag_traMC', '25_lag_amo1', '18_lag_23_median_solFORC', '18_lag_27_median_satlSSTjfm', '27_lag_samPSLann', '22_lag_cetTSjfm']","[2.8087441268720985, 2.1076193216027646, 2.7539335317787286, 2.109776523622809, 2.10946709985702, 2.807807894944624]","19_lag_traMC, 25_lag_amo1, 18_lag_23_median_solFORC, 18_lag_27_median_satlSSTjfm, 27_lag_samPSLann, 22_lag_cetTSjfm_1235_18"
LRforcedPSO,14,6,cetTSjfm,slow,880.5,2005.5,0.8,29,19,19,13.47110296322128,-0.18639816326438494,1235,"['19_lag_22_median_amoSSTmjjaso', '19_lag_21_median_amo3', '19_lag_25_median_nhTSjfm', '25_lag_stratZ50ndj01', '19_lag_24_median_nchinaPRjja', '21_lag_shSICmar']","[1.6966383498084898, 1.9082923412168107, 3.5503108106296244, 0.41225813121263855, 1.1058030073744547, 3.5411519333247945]","19_lag_22_median_amoSSTmjjaso, 19_lag_21_median_amo3, 19_lag_25_median_nhTSjfm, 25_lag_stratZ50ndj01, 19_lag_24_median_nchinaPRjja, 21_lag_shSICmar_1235_19"
LRforcedPSO,15,6,cetTSjfm,slow,881.5,2005.5,0.8,30,20,20,14.540929862489822,-0.19151146143629078,1235,"['21_lag_atlSICsep', '25_lag_wnorPRjfm', '20_lag_27_median_stratZ50ndj03', '20_lag_24_median_traEU', '27_lag_amo3', '26_lag_nhTSjfm']","[2.042733662707189, 1.6965171670119124, 1.9568116575582513, 2.1275114760545097, 1.6368225719204006, 2.1787368881629483]","21_lag_atlSICsep, 25_lag_wnorPRjfm, 20_lag_27_median_stratZ50ndj03, 20_lag_24_median_traEU, 27_lag_amo3, 26_lag_nhTSjfm_1235_20"
LRforcedPSO,16,6,cetTSjfm,slow,882.5,2005.5,0.8,31,21,21,13.144498804038902,-0.18970856242888223,1235,"['21_lag_25_median_glTSjfm', '24_lag_amo3', '21_lag_29_median_arcTSjfm', '30_lag_traCA', '22_lag_stratZ50ndj04', '21_lag_27_median_arcTSjfm']","[1.5335179495250177, 1.6451080977338324, 1.8230220996152875, 1.4049951967454404, 1.3995807401734492, 1.862005402018227]","21_lag_25_median_glTSjfm, 24_lag_amo3, 21_lag_29_median_arcTSjfm, 30_lag_traCA, 22_lag_stratZ50ndj04, 21_lag_27_median_arcTSjfm_1235_21"
LRforcedPSO,17,6,cetTSjfm,slow,883.5,2005.5,0.8,32,22,22,12.860833481993552,-0.07199633877674037,1235,"['22_lag_26_median_traIT', '24_lag_stratZ50ndj02', '22_lag_30_median_mhfATL60', '22_lag_25_median_traIFC', '22_lag_23_median_nhSICjfm', '22_lag_28_median_ismPRjja']","[0.45119280510898463, 0.35297257263789916, 4.192814588343495, 1.7752980428698955, 1.9736617344962895, 1.5246387872585014]","22_lag_26_median_traIT, 24_lag_stratZ50ndj02, 22_lag_30_median_mhfATL60, 22_lag_25_median_traIFC, 22_lag_23_median_nhSICjfm, 22_lag_28_median_ismPRjja_1235_22"
