model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,cetTSjfm,slow,866.5,2005.5,0.4,15,1,1,11.354794837141355,0.08763354564156853,1755,"['6_lag_nchinaPRjja', '14_lag_traFB', '6_lag_stratZ50ndj03', '13_lag_ismPRjja', '14_lag_naoPSLjfm', '8_lag_arcTSjfm', '3_lag_ginwSSTjfm', '9_lag_traDP', '12_lag_traIT', '11_lag_traFSC', '14_lag_pdoSSTjfm', '6_lag_shSICsep', '12_lag_shSICsep', '8_lag_traFB', '10_lag_nppc2SSTjfm', '1_lag_ismPRjja', '10_lag_ormenSSTjfm', '1_lag_6_median_eapPSLjfm', '14_lag_ismPRjja', '5_lag_scpPSLjfm', '10_lag_traTLS', '5_lag_nhSICsep', '12_lag_alpi', '10_lag_satlSSTjfm', '14_lag_mhfATL60', '4_lag_traEU', '9_lag_seurTSjfm', '4_lag_wnorPRjfm', '9_lag_nhSICjfm', '1_lag_cetTSjfm']","[0.036573197861302885, 0.08047112277058598, 0.03209853484183186, 0.04342322166048926, 0.021340262075291973, 0.07186015616799346, 0.0870758279876546, 0.017119938107414957, 0.04517347455271152, 0.09869553115504891, 0.0898523733189769, 0.12788715041111612, 0.16050798822984652, 0.006232716696245893, 0.01099937330222933, 0.09190930467220709, 0.029606441738370314, 0.11677986876743444, 0.15348546743900335, 0.020834692413967404, 0.004713409402369482, 0.04117312788297228, 0.0399891987399246, 0.0517939155522683, 0.005894140851539293, 0.010623058525549383, 0.1206980764582633, 0.006822689510260138, 0.027898702634968447, 0.02646775403254244]","6_lag_nchinaPRjja, 14_lag_traFB, 6_lag_stratZ50ndj03, 13_lag_ismPRjja, 14_lag_naoPSLjfm, 8_lag_arcTSjfm, 3_lag_ginwSSTjfm, 9_lag_traDP, 12_lag_traIT, 11_lag_traFSC, 14_lag_pdoSSTjfm, 6_lag_shSICsep, 12_lag_shSICsep, 8_lag_traFB, 10_lag_nppc2SSTjfm, 1_lag_ismPRjja, 10_lag_ormenSSTjfm, 1_lag_6_median_eapPSLjfm, 14_lag_ismPRjja, 5_lag_scpPSLjfm, 10_lag_traTLS, 5_lag_nhSICsep, 12_lag_alpi, 10_lag_satlSSTjfm, 14_lag_mhfATL60, 4_lag_traEU, 9_lag_seurTSjfm, 4_lag_wnorPRjfm, 9_lag_nhSICjfm, 1_lag_cetTSjfm_1755_1"
LinearRegression,1,30,cetTSjfm,slow,867.5,2005.5,0.4,16,1,1,11.695647292328294,0.060140096411546856,1885,"['12_lag_eapPSLjfm', '6_lag_nchinaPRjja', '12_lag_atlSICjfm', '6_lag_nhSICjfm', '7_lag_ginwSSTjfm', '15_lag_shSICmar', '7_lag_wnorPRjfm', '6_lag_shSICsep', '11_lag_traFSC', '10_lag_traTLS', '1_lag_eurPSLjfm', '12_lag_alpi', '8_lag_traFB', '15_lag_nhSICsep', '14_lag_pdoSSTjfm', '9_lag_seurTSjfm', '4_lag_traEU', '14_lag_ensoSSTjfm', '13_lag_ismPRjja', '10_lag_ormenSSTjfm', '10_lag_satlSSTjfm', '5_lag_nhSICsep', '1_lag_ismPRjja', '1_lag_6_median_eapPSLjfm', '12_lag_shSICsep', '5_lag_scpPSLjfm', '4_lag_wnorPRjfm', '15_lag_mhfATL30', '9_lag_nhSICjfm', '1_lag_cetTSjfm']","[0.12874598090097092, 0.04130753323196077, 0.06911293000725889, 0.003653396898667716, 0.013124163673408249, 0.11129381021236176, 0.01936848150959991, 0.14392633326216087, 0.13157156068467704, 0.012583954472524863, 0.004691136179043161, 0.05768487486937757, 0.031169279642009242, 0.06423543010063738, 0.09871044615086617, 0.12985053955413114, 0.012201706017705672, 0.011466497006975135, 0.04708832160942891, 0.057158559772955086, 0.0427529638235688, 0.04144876252331076, 0.0869259746839984, 0.08534969966157145, 0.22982755215261202, 0.03279010901255226, 0.011131167527139923, 0.1114969177485169, 0.059743354989423854, 0.03710703893455096]","12_lag_eapPSLjfm, 6_lag_nchinaPRjja, 12_lag_atlSICjfm, 6_lag_nhSICjfm, 7_lag_ginwSSTjfm, 15_lag_shSICmar, 7_lag_wnorPRjfm, 6_lag_shSICsep, 11_lag_traFSC, 10_lag_traTLS, 1_lag_eurPSLjfm, 12_lag_alpi, 8_lag_traFB, 15_lag_nhSICsep, 14_lag_pdoSSTjfm, 9_lag_seurTSjfm, 4_lag_traEU, 14_lag_ensoSSTjfm, 13_lag_ismPRjja, 10_lag_ormenSSTjfm, 10_lag_satlSSTjfm, 5_lag_nhSICsep, 1_lag_ismPRjja, 1_lag_6_median_eapPSLjfm, 12_lag_shSICsep, 5_lag_scpPSLjfm, 4_lag_wnorPRjfm, 15_lag_mhfATL30, 9_lag_nhSICjfm, 1_lag_cetTSjfm_1885_1"
LinearRegression,2,30,cetTSjfm,slow,868.5,2005.5,0.4,17,1,1,11.699028978389704,0.01061348123653105,2015,"['16_lag_ginwSSTjfm', '15_lag_nhSICsep', '14_lag_traFB', '4_lag_traEU', '14_lag_ensoSSTjfm', '13_lag_traEC', '1_lag_6_median_eapPSLjfm', '10_lag_nppc2SSTjfm', '6_lag_atlSICjfm', '15_lag_shSICmar', '12_lag_alpi', '4_lag_stratZ50ndj03', '15_lag_scpPSLjfm', '1_lag_ismPRjja', '11_lag_neurTSjfm', '9_lag_traEC', '14_lag_ismPRjja', '9_lag_nchinaPRjja', '10_lag_satlSSTjfm', '13_lag_ismPRjja', '5_lag_scpPSLjfm', '7_lag_wnorPRjfm', '16_lag_traEC', '10_lag_ormenSSTjfm', '4_lag_wnorPRjfm', '9_lag_seurTSjfm', '6_lag_shSICsep', '16_lag_traFB', '9_lag_nhSICjfm', '1_lag_cetTSjfm']","[0.05882516887508167, 0.006656728213325747, 0.12588988756085623, 0.018419352448254045, 0.0029145348244290917, 0.007357035077459665, 0.09954324300252622, 0.027251482829658138, 0.03533695202103466, 0.07394329718155519, 0.026223039767198243, 0.10197226877693402, 0.05194539793135183, 0.09960462595147555, 0.005705370263563075, 0.06208048131568042, 0.1556448634991214, 0.0994296708826207, 0.002682080225049827, 0.04705129557638399, 0.03184898090129433, 0.03327643316248048, 0.08130132101147163, 0.0537011880301366, 0.015437848899547576, 0.11553456013811866, 0.0014183306922045072, 0.11708118408334725, 0.02463308880681546, 0.026876560619760275]","16_lag_ginwSSTjfm, 15_lag_nhSICsep, 14_lag_traFB, 4_lag_traEU, 14_lag_ensoSSTjfm, 13_lag_traEC, 1_lag_6_median_eapPSLjfm, 10_lag_nppc2SSTjfm, 6_lag_atlSICjfm, 15_lag_shSICmar, 12_lag_alpi, 4_lag_stratZ50ndj03, 15_lag_scpPSLjfm, 1_lag_ismPRjja, 11_lag_neurTSjfm, 9_lag_traEC, 14_lag_ismPRjja, 9_lag_nchinaPRjja, 10_lag_satlSSTjfm, 13_lag_ismPRjja, 5_lag_scpPSLjfm, 7_lag_wnorPRjfm, 16_lag_traEC, 10_lag_ormenSSTjfm, 4_lag_wnorPRjfm, 9_lag_seurTSjfm, 6_lag_shSICsep, 16_lag_traFB, 9_lag_nhSICjfm, 1_lag_cetTSjfm_2015_1"
LinearRegression,3,30,cetTSjfm,slow,869.5,2005.5,0.4,18,1,1,12.130602514034406,-0.02976780814055696,2145,"['13_lag_alpi', '10_lag_satlSSTjfm', '11_lag_scpPSLjfm', '17_lag_amo3', '15_lag_traFB', '9_lag_traEC', '1_lag_6_median_eapPSLjfm', '14_lag_ismPRjja', '16_lag_traEC', '4_lag_wnorPRjfm', '7_lag_wnorPRjfm', '3_lag_eurPSLjfm', '10_lag_ormenSSTjfm', '12_lag_alpi', '1_lag_yrvPRjja', '13_lag_traFB', '15_lag_traEU', '15_lag_shSICmar', '5_lag_scpPSLjfm', '17_lag_mhfATL30', '7_lag_traMC', '1_lag_ismPRjja', '17_lag_mhfATL60', '4_lag_stratZ50ndj03', '17_lag_stratZ50ndj01', '6_lag_shSICsep', '16_lag_traFB', '9_lag_seurTSjfm', '9_lag_nhSICjfm', '1_lag_cetTSjfm']","[0.029178668466113354, 0.014552489552273395, 0.009934752557948439, 0.08153791988643819, 0.16916432557328076, 0.01988459963932597, 0.15859574283629396, 0.15696294924890583, 0.06207892451376448, 0.00907416895541805, 0.06119451088465627, 0.07965127032891307, 0.0658346408116455, 0.019806051062081102, 0.10914307071664575, 0.040130520752022086, 0.10001313746797434, 0.0548465768630632, 0.010154607260635527, 0.0710331032868514, 0.05357154999615933, 0.05592707683623217, 0.035447226508669924, 0.11924306575570227, 0.09757688228415284, 0.010841409021802969, 0.12379429859939689, 0.09261316521224011, 0.03595066980263546, 0.011335515484208976]","13_lag_alpi, 10_lag_satlSSTjfm, 11_lag_scpPSLjfm, 17_lag_amo3, 15_lag_traFB, 9_lag_traEC, 1_lag_6_median_eapPSLjfm, 14_lag_ismPRjja, 16_lag_traEC, 4_lag_wnorPRjfm, 7_lag_wnorPRjfm, 3_lag_eurPSLjfm, 10_lag_ormenSSTjfm, 12_lag_alpi, 1_lag_yrvPRjja, 13_lag_traFB, 15_lag_traEU, 15_lag_shSICmar, 5_lag_scpPSLjfm, 17_lag_mhfATL30, 7_lag_traMC, 1_lag_ismPRjja, 17_lag_mhfATL60, 4_lag_stratZ50ndj03, 17_lag_stratZ50ndj01, 6_lag_shSICsep, 16_lag_traFB, 9_lag_seurTSjfm, 9_lag_nhSICjfm, 1_lag_cetTSjfm_2145_1"
LinearRegression,4,30,cetTSjfm,slow,870.5,2005.5,0.4,19,1,1,12.258135441026917,-0.04154470837868194,2275,"['15_lag_shSICmar', '17_lag_amo3', '18_lag_mhfATL30', '17_lag_mhfATL30', '18_lag_stratZ50ndj03', '14_lag_traEC', '6_lag_atlSICjfm', '13_lag_ismPRjja', '15_lag_traFB', '15_lag_traEU', '10_lag_ormenSSTjfm', '3_lag_eurPSLjfm', '9_lag_nhSICjfm', '5_lag_scpPSLjfm', '16_lag_traEC', '13_lag_traFB', '12_lag_alpi', '6_lag_shSICsep', '16_lag_traFB', '1_lag_yrvPRjja', '1_lag_ismPRjja', '18_lag_ginwSSTjfm', '17_lag_stratZ50ndj01', '7_lag_wnorPRjfm', '10_lag_satlSSTjfm', '14_lag_ismPRjja', '7_lag_traMC', '9_lag_seurTSjfm', '4_lag_stratZ50ndj03', '1_lag_cetTSjfm']","[0.06279407310852463, 0.119698080750484, 0.08994846610458623, 0.05466721551653326, 0.03616312507726659, 0.05284892471877088, 0.03778478207649139, 0.06445056833796362, 0.1730251895384185, 0.09287445728783075, 0.054615201682861055, 0.0778395804530172, 0.01651118357250132, 0.0004115364280412166, 0.06924981853790038, 0.05221767917884983, 0.02760630394219701, 0.0053411693212963365, 0.14314250633552042, 0.10994349197680482, 0.05286841687220002, 0.0031974787450270645, 0.09531552335359746, 0.056874039561196646, 0.02067815253016947, 0.1395353240139448, 0.06636848102492653, 0.07101122817211719, 0.11857493905140751, 0.02554490299028417]","15_lag_shSICmar, 17_lag_amo3, 18_lag_mhfATL30, 17_lag_mhfATL30, 18_lag_stratZ50ndj03, 14_lag_traEC, 6_lag_atlSICjfm, 13_lag_ismPRjja, 15_lag_traFB, 15_lag_traEU, 10_lag_ormenSSTjfm, 3_lag_eurPSLjfm, 9_lag_nhSICjfm, 5_lag_scpPSLjfm, 16_lag_traEC, 13_lag_traFB, 12_lag_alpi, 6_lag_shSICsep, 16_lag_traFB, 1_lag_yrvPRjja, 1_lag_ismPRjja, 18_lag_ginwSSTjfm, 17_lag_stratZ50ndj01, 7_lag_wnorPRjfm, 10_lag_satlSSTjfm, 14_lag_ismPRjja, 7_lag_traMC, 9_lag_seurTSjfm, 4_lag_stratZ50ndj03, 1_lag_cetTSjfm_2275_1"
LinearRegression,5,30,cetTSjfm,slow,871.5,2005.5,0.4,20,1,1,12.279091917586346,-0.03461990657166146,2405,"['13_lag_stratZ50ndj04', '16_lag_ginwSSTjfm', '3_lag_eurPSLjfm', '9_lag_nhSICjfm', '19_lag_traEC', '3_lag_ormenSSTjfm', '13_lag_traFB', '18_lag_ginwSSTjfm', '6_lag_atlSICjfm', '14_lag_ismPRjja', '18_lag_mhfATL30', '15_lag_traEU', '16_lag_traFB', '1_lag_yrvPRjja', '6_lag_shSICsep', '10_lag_ormenSSTjfm', '1_lag_eurPSLjfm', '5_lag_scpPSLjfm', '15_lag_shSICmar', '7_lag_traMC', '18_lag_stratZ50ndj03', '12_lag_alpi', '19_lag_traIT', '7_lag_wnorPRjfm', '10_lag_satlSSTjfm', '17_lag_stratZ50ndj01', '9_lag_seurTSjfm', '4_lag_stratZ50ndj03', '1_lag_ismPRjja', '1_lag_cetTSjfm']","[0.12723022824354474, 0.07528098605617929, 0.0924652506151469, 0.016204155852787477, 0.009779753957935162, 0.02799679917110316, 0.02541979677302644, 0.015343466417367193, 0.0328001964515267, 0.1597858132202116, 0.09034141829134162, 0.10136443716925131, 0.09459956494800588, 0.1002712076092468, 0.03969544312197193, 0.06870790916506188, 0.02150412744189297, 0.008205087919695988, 0.05993433727121554, 0.07402439519671766, 0.00962566273519185, 0.016340853364132206, 0.08208883857251162, 0.050911674169651366, 0.028259552057242485, 0.08720850226478422, 0.08571868474936446, 0.11599595119568847, 0.06856380703981654, 0.015225837868507553]","13_lag_stratZ50ndj04, 16_lag_ginwSSTjfm, 3_lag_eurPSLjfm, 9_lag_nhSICjfm, 19_lag_traEC, 3_lag_ormenSSTjfm, 13_lag_traFB, 18_lag_ginwSSTjfm, 6_lag_atlSICjfm, 14_lag_ismPRjja, 18_lag_mhfATL30, 15_lag_traEU, 16_lag_traFB, 1_lag_yrvPRjja, 6_lag_shSICsep, 10_lag_ormenSSTjfm, 1_lag_eurPSLjfm, 5_lag_scpPSLjfm, 15_lag_shSICmar, 7_lag_traMC, 18_lag_stratZ50ndj03, 12_lag_alpi, 19_lag_traIT, 7_lag_wnorPRjfm, 10_lag_satlSSTjfm, 17_lag_stratZ50ndj01, 9_lag_seurTSjfm, 4_lag_stratZ50ndj03, 1_lag_ismPRjja, 1_lag_cetTSjfm_2405_1"
LinearRegression,6,30,cetTSjfm,slow,872.5,2005.5,0.4,21,1,1,12.210329202604607,-0.037001702368244536,2535,"['15_lag_traEU', '5_lag_naoPSLjfm', '12_lag_stratZ50ndj01', '18_lag_ginwSSTjfm', '14_lag_stratZ50ndj02', '19_lag_traIT', '1_lag_yrvPRjja', '12_lag_alpi', '10_lag_ismPRjja', '19_lag_traEC', '16_lag_ginwSSTjfm', '16_lag_traFB', '3_lag_eurPSLjfm', '12_lag_nppc3SSTjfm', '6_lag_shSICsep', '5_lag_scpPSLjfm', '15_lag_shSICmar', '13_lag_traFB', '7_lag_traMC', '18_lag_mhfATL30', '14_lag_ismPRjja', '6_lag_atlSICjfm', '7_lag_wnorPRjfm', '10_lag_ormenSSTjfm', '10_lag_satlSSTjfm', '4_lag_stratZ50ndj03', '9_lag_seurTSjfm', '17_lag_stratZ50ndj01', '1_lag_ismPRjja', '1_lag_cetTSjfm']","[0.10222182977386492, 0.01915970227718374, 0.0920717668260024, 0.015636879668170598, 0.002493549376807757, 0.07565546278256009, 0.10517074749221617, 0.026580109503018073, 0.05850040448430187, 0.010247804312308463, 0.07809794312983884, 0.10646251148762013, 0.08877831072687417, 0.007462358801557521, 0.030602722245397573, 0.016182685021720575, 0.06315829909308515, 0.026903895530687463, 0.06810656660758507, 0.09278479806039537, 0.15408838896424298, 0.03466509470351117, 0.048002929925446296, 0.07714568593482375, 0.02577909519651286, 0.11151470034481505, 0.08566254572417073, 0.0884403900773828, 0.061926676002228905, 0.010737867007258102]","15_lag_traEU, 5_lag_naoPSLjfm, 12_lag_stratZ50ndj01, 18_lag_ginwSSTjfm, 14_lag_stratZ50ndj02, 19_lag_traIT, 1_lag_yrvPRjja, 12_lag_alpi, 10_lag_ismPRjja, 19_lag_traEC, 16_lag_ginwSSTjfm, 16_lag_traFB, 3_lag_eurPSLjfm, 12_lag_nppc3SSTjfm, 6_lag_shSICsep, 5_lag_scpPSLjfm, 15_lag_shSICmar, 13_lag_traFB, 7_lag_traMC, 18_lag_mhfATL30, 14_lag_ismPRjja, 6_lag_atlSICjfm, 7_lag_wnorPRjfm, 10_lag_ormenSSTjfm, 10_lag_satlSSTjfm, 4_lag_stratZ50ndj03, 9_lag_seurTSjfm, 17_lag_stratZ50ndj01, 1_lag_ismPRjja, 1_lag_cetTSjfm_2535_1"
LinearRegression,7,30,cetTSjfm,slow,873.5,2005.5,0.4,22,2,2,11.897541494116302,-0.03406098034121682,2535,"['2_lag_eurPSLjfm', '14_lag_traEC', '10_lag_satlSSTjfm', '5_lag_tripol3', '19_lag_traEC', '14_lag_alpi', '21_lag_tripol3', '7_lag_nchinaPRjja', '13_lag_alpi', '6_lag_shSICsep', '13_lag_traFB', '10_lag_ismPRjja', '6_lag_atlSICjfm', '12_lag_nppc3SSTjfm', '5_lag_stratZ50ndj03', '20_lag_naoPSLjfm', '12_lag_traWP', '7_lag_traMC', '14_lag_stratZ50ndj02', '11_lag_arcTSjfm', '19_lag_cetTSjfm', '12_lag_alpi', '15_lag_traEU', '4_lag_stratZ50ndj03', '5_lag_scpPSLjfm', '2_lag_seurTSjfm', '16_lag_traFB', '9_lag_seurTSjfm', '14_lag_ismPRjja', '17_lag_stratZ50ndj01']","[0.042659407552097094, 0.03836316400004742, 0.022097669515126102, 0.03425714449278588, 0.0024879617135066742, 0.05984900516045225, 0.08870913069789473, 0.029563516193320444, 0.016254062392344896, 0.03803296796415561, 0.025947255687627138, 0.05863223523590354, 0.023297522992884918, 0.039124058507513035, 0.025572355917118643, 0.013751746565275471, 0.14957733369881826, 0.06933703165390948, 0.040056685249040276, 0.15864039916777964, 0.01567677674309364, 0.03275202827204104, 0.0930750045182692, 0.09049071277421389, 0.000826160840695752, 0.035602742812778934, 0.08496006421768565, 0.10226216915113966, 0.17856002882253916, 0.06657543392227061]","2_lag_eurPSLjfm, 14_lag_traEC, 10_lag_satlSSTjfm, 5_lag_tripol3, 19_lag_traEC, 14_lag_alpi, 21_lag_tripol3, 7_lag_nchinaPRjja, 13_lag_alpi, 6_lag_shSICsep, 13_lag_traFB, 10_lag_ismPRjja, 6_lag_atlSICjfm, 12_lag_nppc3SSTjfm, 5_lag_stratZ50ndj03, 20_lag_naoPSLjfm, 12_lag_traWP, 7_lag_traMC, 14_lag_stratZ50ndj02, 11_lag_arcTSjfm, 19_lag_cetTSjfm, 12_lag_alpi, 15_lag_traEU, 4_lag_stratZ50ndj03, 5_lag_scpPSLjfm, 2_lag_seurTSjfm, 16_lag_traFB, 9_lag_seurTSjfm, 14_lag_ismPRjja, 17_lag_stratZ50ndj01_2535_2"
LinearRegression,8,30,cetTSjfm,slow,874.5,2005.5,0.4,23,3,3,12.404222941364461,-0.013456018895063055,2535,"['15_lag_satlSSTjfm', '3_lag_ginwSSTjfm', '13_lag_alpi', '5_lag_stratZ50ndj02', '11_lag_satlSSTjfm', '19_lag_nppc2SSTjfm', '19_lag_cetTSjfm', '13_lag_traFB', '5_lag_tripol3', '12_lag_eapPSLjfm', '22_lag_traCA', '6_lag_shSICsep', '3_lag_traFSC', '15_lag_traEU', '10_lag_ismPRjja', '21_lag_tripol3', '20_lag_shSICmar', '12_lag_nppc3SSTjfm', '10_lag_satlSSTjfm', '22_lag_ginwSSTjfm', '12_lag_traWP', '3_lag_eurPSLjfm', '11_lag_arcTSjfm', '12_lag_alpi', '16_lag_traFB', '5_lag_scpPSLjfm', '9_lag_seurTSjfm', '22_lag_arcTSjfm', '17_lag_stratZ50ndj01', '14_lag_ismPRjja']","[0.04551067484922872, 0.09619812662693211, 0.03302714276460772, 0.10894045478745719, 0.10240443463624176, 0.041422877130443084, 0.013809620222839904, 0.010327220026541278, 0.011668882831396927, 0.1748605801621305, 0.09070590964804066, 0.08769261782626994, 0.1273164421124677, 0.11793832586440184, 0.038720425370697205, 0.08969193961259743, 0.047482219779264465, 0.07740244656765148, 0.10617720215664708, 0.11257773357318873, 0.1673947921193235, 0.11970866801215412, 0.19700326098541027, 0.051864910437299586, 0.0811680285350798, 0.019205446369815946, 0.13297476116954793, 0.09288232499364191, 0.07158756543016472, 0.17611240579329795]","15_lag_satlSSTjfm, 3_lag_ginwSSTjfm, 13_lag_alpi, 5_lag_stratZ50ndj02, 11_lag_satlSSTjfm, 19_lag_nppc2SSTjfm, 19_lag_cetTSjfm, 13_lag_traFB, 5_lag_tripol3, 12_lag_eapPSLjfm, 22_lag_traCA, 6_lag_shSICsep, 3_lag_traFSC, 15_lag_traEU, 10_lag_ismPRjja, 21_lag_tripol3, 20_lag_shSICmar, 12_lag_nppc3SSTjfm, 10_lag_satlSSTjfm, 22_lag_ginwSSTjfm, 12_lag_traWP, 3_lag_eurPSLjfm, 11_lag_arcTSjfm, 12_lag_alpi, 16_lag_traFB, 5_lag_scpPSLjfm, 9_lag_seurTSjfm, 22_lag_arcTSjfm, 17_lag_stratZ50ndj01, 14_lag_ismPRjja_2535_3"
LinearRegression,9,30,cetTSjfm,slow,875.5,2005.5,0.4,24,4,4,12.157412768670744,-0.02500209513674832,2535,"['5_lag_scpPSLjfm', '4_lag_5_median_scpPSLjfm', '17_lag_stratZ50ndj01', '4_lag_traEC', '4_lag_stratZ50ndj03', '6_lag_atlSICjfm', '19_lag_nppc2SSTjfm', '22_lag_ginwSSTjfm', '11_lag_stratZ50ndj02', '15_lag_traEU', '12_lag_nppc3SSTjfm', '20_lag_shSICmar', '15_lag_shSICmar', '11_lag_arcTSjfm', '12_lag_traIT', '12_lag_atlSICjfm', '7_lag_traBS', '11_lag_satlSSTjfm', '19_lag_cetTSjfm', '10_lag_ismPRjja', '19_lag_eapPSLjfm', '13_lag_stratZ50ndj04', '22_lag_arcTSjfm', '12_lag_traWP', '21_lag_tripol3', '10_lag_satlSSTjfm', '22_lag_traCA', '16_lag_traFB', '9_lag_seurTSjfm', '14_lag_ismPRjja']","[0.005950951220596685, 0.005950951220596688, 0.07236777803728797, 0.06536787731410611, 0.07460821101843718, 0.05824631676147593, 0.038704020498122556, 0.1015737400949823, 0.09105251754649545, 0.10506113326621318, 0.048917281626059836, 0.05229705393004477, 0.10174150005116785, 0.16771827048469667, 0.043709708241154596, 0.030423508441797514, 0.1316645676996323, 0.0984680442141941, 0.02921897466151107, 0.05465333889953179, 0.03151292174359026, 0.08051674130610258, 0.08215581479437441, 0.13820273364744123, 0.08807245227414537, 0.0767334863357816, 0.051504629107888396, 0.106703184037389, 0.103873330190706, 0.1639997411258361]","5_lag_scpPSLjfm, 4_lag_5_median_scpPSLjfm, 17_lag_stratZ50ndj01, 4_lag_traEC, 4_lag_stratZ50ndj03, 6_lag_atlSICjfm, 19_lag_nppc2SSTjfm, 22_lag_ginwSSTjfm, 11_lag_stratZ50ndj02, 15_lag_traEU, 12_lag_nppc3SSTjfm, 20_lag_shSICmar, 15_lag_shSICmar, 11_lag_arcTSjfm, 12_lag_traIT, 12_lag_atlSICjfm, 7_lag_traBS, 11_lag_satlSSTjfm, 19_lag_cetTSjfm, 10_lag_ismPRjja, 19_lag_eapPSLjfm, 13_lag_stratZ50ndj04, 22_lag_arcTSjfm, 12_lag_traWP, 21_lag_tripol3, 10_lag_satlSSTjfm, 22_lag_traCA, 16_lag_traFB, 9_lag_seurTSjfm, 14_lag_ismPRjja_2535_4"
