model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,eapPSLjfm,slow,866.5,2005.5,0.8,15,1,1,13.105368696597095,-0.06249210400536858,594,"['1_lag_14_median_shSICsep', '8_lag_stratZ50ndj02', '13_lag_eapPSLjfm', '10_lag_atlSICjfm', '13_lag_shSICsep', '1_lag_14_median_nppc2SSTjfm']","[0.05463686947691926, 1.3008850545159323, 2.4700504068578315, 0.49671930920872676, 2.037434605930766, 2.529129170821262]","1_lag_14_median_shSICsep, 8_lag_stratZ50ndj02, 13_lag_eapPSLjfm, 10_lag_atlSICjfm, 13_lag_shSICsep, 1_lag_14_median_nppc2SSTjfm_594_1"
LRforcedPSO,1,6,eapPSLjfm,slow,867.5,2005.5,0.8,16,1,1,13.79807203962723,-0.06983734482723547,638,"['15_lag_atlSICsep', '1_lag_7_median_amo3', '11_lag_nhSICjfm', '7_lag_atlSICjfm', '1_lag_4_median_AMOCann', '1_lag_6_median_eapPSLjfm']","[2.7183347454393374, 1.1120557407783913, 4.204703856546402, 1.2140618437764736, 2.7206502744053758, 1.2042516057336723]","15_lag_atlSICsep, 1_lag_7_median_amo3, 11_lag_nhSICjfm, 7_lag_atlSICjfm, 1_lag_4_median_AMOCann, 1_lag_6_median_eapPSLjfm_638_1"
LRforcedPSO,2,6,eapPSLjfm,slow,868.5,2005.5,0.8,17,1,1,13.35802612973458,0.029246041257932436,682,"['12_lag_amo1', '16_lag_stratZ50ndj02', '8_lag_stratZ50ndj01', '4_lag_amo3', '1_lag_5_median_stratZ50ndj03', '1_lag_12_median_shSICmar']","[2.83740436981952, 1.645645973202237, 3.079595555500397, 3.273668402347358, 1.0482944135132044, 0.26699147172522864]","12_lag_amo1, 16_lag_stratZ50ndj02, 8_lag_stratZ50ndj01, 4_lag_amo3, 1_lag_5_median_stratZ50ndj03, 1_lag_12_median_shSICmar_682_1"
LRforcedPSO,3,6,eapPSLjfm,slow,869.5,2005.5,0.8,18,1,1,13.073814967215288,0.012585332876114843,726,"['5_lag_amo1', '8_lag_amoSSTjfm', '11_lag_amoSSTjfm', '10_lag_scpPSLjfm', '1_lag_17_median_nppc2SSTjfm', '12_lag_amoSSTjfm']","[2.6677545264081037, 2.1046948036912396, 2.2679551181084117, 2.091988274619818, 2.3445336322437105, 2.000853977079387]","5_lag_amo1, 8_lag_amoSSTjfm, 11_lag_amoSSTjfm, 10_lag_scpPSLjfm, 1_lag_17_median_nppc2SSTjfm, 12_lag_amoSSTjfm_726_1"
LRforcedPSO,4,6,eapPSLjfm,slow,870.5,2005.5,0.8,19,1,1,14.070527274236454,-0.01765336394332612,770,"['13_lag_eurPSLjfm', '1_lag_17_median_stratZ50ndj03', '14_lag_atlSICsep', '1_lag_8_median_atlSICsep', '1_lag_3_median_nhSICsep', '7_lag_eapPSLjfm']","[0.16715508441077453, 0.4033266058561562, 3.9032701344262684, 3.0252857458930933, 2.0111743982862684, 1.8062580925818388]","13_lag_eurPSLjfm, 1_lag_17_median_stratZ50ndj03, 14_lag_atlSICsep, 1_lag_8_median_atlSICsep, 1_lag_3_median_nhSICsep, 7_lag_eapPSLjfm_770_1"
LRforcedPSO,5,6,eapPSLjfm,slow,871.5,2005.5,0.8,20,1,1,12.426800126697785,0.07707788589671719,814,"['15_lag_eurPSLjfm', '19_lag_AMOCann', '1_lag_5_median_amo2', '1_lag_3_median_nhSICsep', '11_lag_solFORC', '1_lag_11_median_eurPSLjfm']","[1.6703350052178574, 2.226164317016156, 1.7401076876490962, 1.6696235139961009, 1.6696232386108283, 1.6703827606282384]","15_lag_eurPSLjfm, 19_lag_AMOCann, 1_lag_5_median_amo2, 1_lag_3_median_nhSICsep, 11_lag_solFORC, 1_lag_11_median_eurPSLjfm_814_1"
LRforcedPSO,6,6,eapPSLjfm,slow,872.5,2005.5,0.8,21,1,1,15.92414707882882,-0.04796147098476645,858,"['2_lag_amo2', '1_lag_10_median_stratZ50ndj01', '1_lag_19_median_atlSICsep', '2_lag_eurPSLjfm', '16_lag_stratZ50ndj01', '11_lag_solFORC']","[0.972898555054055, 1.96505974048074, 4.094911319627079, 2.881119546782447, 2.135434391632902, 1.8779542570421839]","2_lag_amo2, 1_lag_10_median_stratZ50ndj01, 1_lag_19_median_atlSICsep, 2_lag_eurPSLjfm, 16_lag_stratZ50ndj01, 11_lag_solFORC_858_1"
LRforcedPSO,7,6,eapPSLjfm,slow,873.5,2005.5,0.8,22,1,1,16.87289645208798,-0.007166356903586217,902,"['1_lag_10_median_nhSICsep', '1_lag_16_median_nppc2SSTjfm', '18_lag_naoPSLjfm', '1_lag_12_median_stratZ50ndj03', '9_lag_amo2', '20_lag_amoSSTmjjaso']","[2.020117947799503, 2.6794825639135156, 2.0503666765452784, 2.0932527002169277, 2.0185035346678264, 2.239417212806866]","1_lag_10_median_nhSICsep, 1_lag_16_median_nppc2SSTjfm, 18_lag_naoPSLjfm, 1_lag_12_median_stratZ50ndj03, 9_lag_amo2, 20_lag_amoSSTmjjaso_902_1"
LRforcedPSO,8,6,eapPSLjfm,slow,874.5,2005.5,0.8,23,1,1,16.02447170575848,-0.04179148726850662,946,"['1_lag_19_median_nppc2SSTjfm', '1_lag_14_median_amo2', '1_lag_12_median_shSICsep', '1_lag_3_median_atlSICjfm', '1_lag_22_median_atlSICjfm', '1_lag_2_median_amo3']","[0.5868498129534032, 4.421436672122194, 5.56720603996159, 1.6955740768591063, 0.42164058768713275, 2.7251958667661995]","1_lag_19_median_nppc2SSTjfm, 1_lag_14_median_amo2, 1_lag_12_median_shSICsep, 1_lag_3_median_atlSICjfm, 1_lag_22_median_atlSICjfm, 1_lag_2_median_amo3_946_1"
LRforcedPSO,9,6,eapPSLjfm,slow,875.5,2005.5,0.8,24,1,1,13.465132507171896,0.041144092859645924,990,"['1_lag_10_median_stratZ50ndj02', '17_lag_nhSICjfm', '1_lag_amo1', '22_lag_nppc2SSTjfm', '19_lag_stratZ50ndj03', '1_lag_11_median_naoPSLjfm']","[1.7058035940249379, 1.7769223964416874, 1.498840854327366, 1.528087782479115, 1.3326917973316086, 1.410063203747217]","1_lag_10_median_stratZ50ndj02, 17_lag_nhSICjfm, 1_lag_amo1, 22_lag_nppc2SSTjfm, 19_lag_stratZ50ndj03, 1_lag_11_median_naoPSLjfm_990_1"
LRforcedPSO,10,6,eapPSLjfm,slow,876.5,2005.5,0.8,25,1,1,14.434350373587833,-0.007075248429596621,1034,"['10_lag_stratZ50ndj01', '1_lag_18_median_amo1', '24_lag_shSICsep', '4_lag_nppc2SSTjfm', '1_lag_16_median_eapPSLjfm', '1_lag_shSICsep']","[0.5817471255823232, 3.1943008162934294, 2.8594001412344046, 0.8500308188241235, 0.7225733144187956, 2.6812163857893934]","10_lag_stratZ50ndj01, 1_lag_18_median_amo1, 24_lag_shSICsep, 4_lag_nppc2SSTjfm, 1_lag_16_median_eapPSLjfm, 1_lag_shSICsep_1034_1"
LRforcedPSO,11,6,eapPSLjfm,slow,877.5,2005.5,0.8,26,1,1,13.31109470630352,0.06756061907334655,1078,"['1_lag_4_median_atlSICsep', '19_lag_stratZ50ndj02', '1_lag_15_median_eurPSLjfm', '18_lag_amoSSTjfm', '19_lag_AMOCann', '15_lag_AMOCann']","[2.2178890137199363, 2.2175301961235463, 2.336623375950797, 2.217838371442418, 2.956704889399603, 2.2734693547044453]","1_lag_4_median_atlSICsep, 19_lag_stratZ50ndj02, 1_lag_15_median_eurPSLjfm, 18_lag_amoSSTjfm, 19_lag_AMOCann, 15_lag_AMOCann_1078_1"
LRforcedPSO,12,6,eapPSLjfm,slow,878.5,2005.5,0.8,27,1,1,13.042446695836334,-0.01140154024654179,1122,"['26_lag_eapPSLjfm', '20_lag_stratZ50ndj02', '1_lag_5_median_nhSICsep', '10_lag_nppc2SSTjfm', '19_lag_amo2', '1_lag_10_median_shSICsep']","[2.4580505506263797, 2.250289549819497, 1.8436004399986807, 1.888636155251952, 2.2006881497498405, 2.0157611765376435]","26_lag_eapPSLjfm, 20_lag_stratZ50ndj02, 1_lag_5_median_nhSICsep, 10_lag_nppc2SSTjfm, 19_lag_amo2, 1_lag_10_median_shSICsep_1122_1"
LRforcedPSO,13,6,eapPSLjfm,slow,879.5,2005.5,0.8,28,1,1,13.863670774551824,-0.08151788462567719,1166,"['1_lag_4_median_stratZ50ndj02', '27_lag_AMOCann', '21_lag_stratZ50ndj04', '14_lag_scpPSLjfm', '1_lag_3_median_nhSICsep', '20_lag_AMOCann']","[2.4744422019924186, 2.647381359835307, 2.263155433485548, 3.017452181532169, 2.9059121558492653, 2.277943380079604]","1_lag_4_median_stratZ50ndj02, 27_lag_AMOCann, 21_lag_stratZ50ndj04, 14_lag_scpPSLjfm, 1_lag_3_median_nhSICsep, 20_lag_AMOCann_1166_1"
LRforcedPSO,14,6,eapPSLjfm,slow,880.5,2005.5,0.8,29,1,1,12.856989051746137,0.021680356106778653,1210,"['1_lag_6_median_shSICmar', '8_lag_stratZ50ndj03', '1_lag_4_median_nhSICsep', '17_lag_solFORC', '1_lag_24_median_stratZ50ndj01', '11_lag_AMOCann']","[1.3085478164799962, 1.308547883979967, 1.337013641124851, 1.5554771848778883, 1.3596782505306242, 1.7447304219731397]","1_lag_6_median_shSICmar, 8_lag_stratZ50ndj03, 1_lag_4_median_nhSICsep, 17_lag_solFORC, 1_lag_24_median_stratZ50ndj01, 11_lag_AMOCann_1210_1"
LRforcedPSO,15,6,eapPSLjfm,slow,881.5,2005.5,0.8,30,1,1,14.579373853336506,0.012606626888997118,1254,"['1_lag_16_median_atlSICjfm', '6_lag_amoSSTmjjaso', '1_lag_10_median_AMOCann', '1_lag_7_median_shSICsep', '1_lag_18_median_amo1', '1_lag_18_median_AMOCann']","[4.7747436571053985, 0.06786573965793785, 0.6909605023911976, 1.9799865880296323, 5.119886329801492, 1.0824744937277426]","1_lag_16_median_atlSICjfm, 6_lag_amoSSTmjjaso, 1_lag_10_median_AMOCann, 1_lag_7_median_shSICsep, 1_lag_18_median_amo1, 1_lag_18_median_AMOCann_1254_1"
LRforcedPSO,16,6,eapPSLjfm,slow,882.5,2005.5,0.8,31,1,1,13.00678400281412,0.017919169585559617,1298,"['9_lag_shSICmar', '26_lag_amoSSTjfm', '1_lag_16_median_shSICsep', '20_lag_eapPSLjfm', '22_lag_naoPSLjfm', '1_lag_22_median_stratZ50ndj03']","[1.9524144429272816, 2.2333225485809427, 1.06449876063024, 1.1824526064370815, 4.522232956027574, 1.1016299149603697]","9_lag_shSICmar, 26_lag_amoSSTjfm, 1_lag_16_median_shSICsep, 20_lag_eapPSLjfm, 22_lag_naoPSLjfm, 1_lag_22_median_stratZ50ndj03_1298_1"
LRforcedPSO,17,6,eapPSLjfm,slow,883.5,2005.5,0.8,32,2,2,14.432170250980336,-0.021308011684627454,1298,"['14_lag_amo2', '10_lag_amoSSTjfm', '2_lag_3_median_atlSICsep', '2_lag_7_median_amo1', '13_lag_stratZ50ndj03', '2_lag_9_median_amo2']","[1.4556162719920316, 1.1589632265427614, 4.928092617853577, 0.2425611938936001, 0.12285489941312555, 1.310133077591102]","14_lag_amo2, 10_lag_amoSSTjfm, 2_lag_3_median_atlSICsep, 2_lag_7_median_amo1, 13_lag_stratZ50ndj03, 2_lag_9_median_amo2_1298_2"
LRforcedPSO,18,6,eapPSLjfm,slow,884.5,2005.5,0.8,33,3,3,15.079184112054872,-0.058901974814332014,1298,"['3_lag_27_median_amoSSTjfm', '3_lag_26_median_atlSICsep', '3_lag_11_median_amoSSTmjjaso', '26_lag_solFORC', '21_lag_AMOCann', '3_lag_nhSICsep']","[3.081941437499367, 1.8699885510152665, 5.468615725119193, 2.163569269610912, 0.250443366975194, 1.337080621128857]","3_lag_27_median_amoSSTjfm, 3_lag_26_median_atlSICsep, 3_lag_11_median_amoSSTmjjaso, 26_lag_solFORC, 21_lag_AMOCann, 3_lag_nhSICsep_1298_3"
LRforcedPSO,19,6,eapPSLjfm,slow,885.5,2005.5,0.8,34,4,4,14.632403309239296,0.02902396341810755,1298,"['8_lag_amo2', '18_lag_stratZ50ndj04', '4_lag_25_median_amo3', '4_lag_31_median_amoSSTmjjaso', '4_lag_21_median_eurPSLjfm', '4_lag_25_median_stratZ50ndj02']","[1.6592613560527614, 0.16471081617598848, 3.3808438813641555, 2.980919459514805, 2.0620451332576, 4.046265699687673]","8_lag_amo2, 18_lag_stratZ50ndj04, 4_lag_25_median_amo3, 4_lag_31_median_amoSSTmjjaso, 4_lag_21_median_eurPSLjfm, 4_lag_25_median_stratZ50ndj02_1298_4"
LRforcedPSO,20,6,eapPSLjfm,slow,886.5,2005.5,0.8,35,5,5,14.162376902700275,0.00434350061031339,1298,"['30_lag_AMOCann', '12_lag_nhSICjfm', '5_lag_9_median_shSICsep', '29_lag_eurPSLjfm', '12_lag_stratZ50ndj03', '5_lag_32_median_stratZ50ndj04']","[2.157386934557848, 2.171564467396075, 1.6286733505473663, 1.6288023893812846, 1.9594751918607507, 1.9933076233076479]","30_lag_AMOCann, 12_lag_nhSICjfm, 5_lag_9_median_shSICsep, 29_lag_eurPSLjfm, 12_lag_stratZ50ndj03, 5_lag_32_median_stratZ50ndj04_1298_5"
LRforcedPSO,21,6,eapPSLjfm,slow,887.5,2005.5,0.8,36,6,6,14.402451699367827,0.02759979129152967,1298,"['23_lag_atlSICsep', '30_lag_amo3', '6_lag_27_median_stratZ50ndj01', '23_lag_amo1', '6_lag_17_median_solFORC', '6_lag_35_median_stratZ50ndj03']","[1.9659421693829273, 1.6073800504153635, 7.0953217201399745, 0.6140601330526057, 0.7582745280837528, 2.703977347786159]","23_lag_atlSICsep, 30_lag_amo3, 6_lag_27_median_stratZ50ndj01, 23_lag_amo1, 6_lag_17_median_solFORC, 6_lag_35_median_stratZ50ndj03_1298_6"
LRforcedPSO,22,6,eapPSLjfm,slow,888.5,2005.5,0.8,37,7,7,13.485381566764987,-0.030521331122441615,1298,"['9_lag_amo3', '36_lag_eurPSLjfm', '7_lag_21_median_amo3', '28_lag_stratZ50ndj01', '19_lag_shSICmar', '10_lag_nppc2SSTjfm']","[2.5924828324443325, 2.891183581544978, 3.341023772529366, 2.7400172854161666, 2.633088802624681, 2.5750453593850957]","9_lag_amo3, 36_lag_eurPSLjfm, 7_lag_21_median_amo3, 28_lag_stratZ50ndj01, 19_lag_shSICmar, 10_lag_nppc2SSTjfm_1298_7"
LRforcedPSO,23,6,eapPSLjfm,slow,889.5,2005.5,0.8,38,8,8,13.410272695164666,0.05161242581592187,1298,"['22_lag_AMOCann', '35_lag_nppc2SSTjfm', '34_lag_amoSSTjfm', '8_lag_36_median_shSICsep', '34_lag_stratZ50ndj04', '8_lag_32_median_naoPSLjfm']","[0.5549127816894703, 2.912820018672452, 1.2615518885099561, 3.7997277220778223, 5.79512449153048, 1.0416073142691307]","22_lag_AMOCann, 35_lag_nppc2SSTjfm, 34_lag_amoSSTjfm, 8_lag_36_median_shSICsep, 34_lag_stratZ50ndj04, 8_lag_32_median_naoPSLjfm_1298_8"
LRforcedPSO,24,6,eapPSLjfm,slow,890.5,2005.5,0.8,39,9,9,17.526599247944073,-0.07366716112006454,1298,"['25_lag_nhSICjfm', '9_lag_32_median_eurPSLjfm', '9_lag_17_median_nhSICsep', '9_lag_nppc2SSTjfm', '9_lag_AMOCann', '9_lag_36_median_amo2']","[3.004231033752278, 0.611614555004337, 1.8115546624965102, 1.8084533022256686, 4.999292812674936, 5.330642988828447]","25_lag_nhSICjfm, 9_lag_32_median_eurPSLjfm, 9_lag_17_median_nhSICsep, 9_lag_nppc2SSTjfm, 9_lag_AMOCann, 9_lag_36_median_amo2_1298_9"
LRforcedPSO,25,6,eapPSLjfm,slow,891.5,2005.5,0.8,40,10,10,15.138312270209676,-0.0019314526253446044,1298,"['33_lag_eapPSLjfm', '35_lag_nhSICsep', '10_lag_38_median_shSICsep', '10_lag_29_median_shSICsep', '10_lag_28_median_stratZ50ndj04', '10_lag_39_median_amo2']","[1.6630549022234327, 0.1453607325270827, 5.7201066297696475, 9.357203874150972, 3.319001179293096, 5.561674296454047]","33_lag_eapPSLjfm, 35_lag_nhSICsep, 10_lag_38_median_shSICsep, 10_lag_29_median_shSICsep, 10_lag_28_median_stratZ50ndj04, 10_lag_39_median_amo2_1298_10"
