model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,eapPSLjfm,slow,1714.5,2005.5,0.4,15,5,10,12.692484491872959,-0.010225473259112182,418,"['13_lag_amo2', '14_lag_AMOCann', '14_lag_eapPSLjfm', '12_lag_nhSICjfm', '10_lag_nhSICsep', '13_lag_shSICsep']","[0.26052096439778155, 0.1347745272215813, 0.15735473743291728, 0.08421620337745524, 0.16609627523278503, 0.1246270191929318]","13_lag_amo2, 14_lag_AMOCann, 14_lag_eapPSLjfm, 12_lag_nhSICjfm, 10_lag_nhSICsep, 13_lag_shSICsep_418_10"
LinearRegression,1,6,eapPSLjfm,slow,1715.5,2005.5,0.4,16,6,9,12.935891059002222,0.06745020778369597,418,"['9_lag_amoSSTmjjaso', '13_lag_stratZ50ndj04', '14_lag_eapPSLjfm', '14_lag_AMOCann', '15_lag_AMOCann', '13_lag_shSICsep']","[0.3717428337843679, 0.19448845171405513, 0.16909393022442573, 0.20198857397541833, 0.20259151803575248, 0.10246796498624965]","9_lag_amoSSTmjjaso, 13_lag_stratZ50ndj04, 14_lag_eapPSLjfm, 14_lag_AMOCann, 15_lag_AMOCann, 13_lag_shSICsep_418_9"
LinearRegression,2,6,eapPSLjfm,slow,1716.5,2005.5,0.4,17,7,11,13.106280475445528,-0.025912566109235695,418,"['14_lag_stratZ50ndj04', '12_lag_stratZ50ndj01', '15_lag_AMOCann', '12_lag_nhSICjfm', '11_lag_amo1', '16_lag_stratZ50ndj01']","[0.0954150359460374, 0.0700052883766924, 0.00851224578710675, 0.1325252910818756, 0.11858044381784781, 0.14566182111155268]","14_lag_stratZ50ndj04, 12_lag_stratZ50ndj01, 15_lag_AMOCann, 12_lag_nhSICjfm, 11_lag_amo1, 16_lag_stratZ50ndj01_418_11"
LinearRegression,3,6,eapPSLjfm,slow,1717.5,2005.5,0.4,18,8,8,13.951177442463033,-0.0658467821319389,418,"['13_lag_shSICmar', '15_lag_amoSSTmjjaso', '17_lag_stratZ50ndj04', '11_lag_amo1', '16_lag_stratZ50ndj01', '8_lag_shSICmar']","[0.19293610240426168, 0.16949790500347628, 0.20150201044912286, 0.13042571683907023, 0.14513349604416464, 0.1576283559501909]","13_lag_shSICmar, 15_lag_amoSSTmjjaso, 17_lag_stratZ50ndj04, 11_lag_amo1, 16_lag_stratZ50ndj01, 8_lag_shSICmar_418_8"
LinearRegression,4,6,eapPSLjfm,slow,1718.5,2005.5,0.4,19,9,9,13.510128857064513,-0.03027797421521399,418,"['17_lag_stratZ50ndj04', '15_lag_amoSSTmjjaso', '9_lag_amoSSTmjjaso', '13_lag_amo2', '16_lag_stratZ50ndj01', '13_lag_shSICmar']","[0.21767431364677692, 0.2985829707442958, 0.33773609566777074, 0.23131456623441632, 0.16109329826587576, 0.15317679304928952]","17_lag_stratZ50ndj04, 15_lag_amoSSTmjjaso, 9_lag_amoSSTmjjaso, 13_lag_amo2, 16_lag_stratZ50ndj01, 13_lag_shSICmar_418_9"
LinearRegression,5,6,eapPSLjfm,slow,1719.5,2005.5,0.4,20,10,13,14.682753001928472,-0.050741972786904135,418,"['19_lag_nhSICjfm', '15_lag_shSICsep', '13_lag_amo2', '17_lag_stratZ50ndj04', '14_lag_shSICsep', '19_lag_amoSSTmjjaso']","[0.24966957373229665, 0.14392531591321966, 0.16471119377411103, 0.11413874326975762, 0.1647133495236494, 0.37535642854543105]","19_lag_nhSICjfm, 15_lag_shSICsep, 13_lag_amo2, 17_lag_stratZ50ndj04, 14_lag_shSICsep, 19_lag_amoSSTmjjaso_418_13"
LinearRegression,6,6,eapPSLjfm,slow,1720.5,2005.5,0.4,21,11,11,13.128223865969332,-0.053683342563172254,418,"['16_lag_stratZ50ndj02', '14_lag_eapPSLjfm', '19_lag_AMOCann', '15_lag_atlSICjfm', '11_lag_scpPSLjfm', '11_lag_amo1']","[0.09927627413883991, 0.20064571759537464, 0.008139506423559303, 0.11574445885910054, 0.0812699510136447, 0.20221443774013262]","16_lag_stratZ50ndj02, 14_lag_eapPSLjfm, 19_lag_AMOCann, 15_lag_atlSICjfm, 11_lag_scpPSLjfm, 11_lag_amo1_418_11"
LinearRegression,7,6,eapPSLjfm,slow,1721.5,2005.5,0.4,22,12,12,12.910010046198204,-0.021262242525201005,418,"['12_lag_stratZ50ndj04', '12_lag_stratZ50ndj02', '20_lag_nhSICsep', '15_lag_atlSICjfm', '19_lag_nhSICjfm', '20_lag_AMOCann']","[0.06017955568578154, 0.09318202697290438, 0.01659011998236832, 0.12196252418439077, 0.28591483530849104, 0.045294214352949724]","12_lag_stratZ50ndj04, 12_lag_stratZ50ndj02, 20_lag_nhSICsep, 15_lag_atlSICjfm, 19_lag_nhSICjfm, 20_lag_AMOCann_418_12"
LinearRegression,8,6,eapPSLjfm,slow,1722.5,2005.5,0.4,23,13,13,13.535122246049442,0.0026140476611254274,418,"['19_lag_nhSICjfm', '16_lag_atlSICsep', '16_lag_AMOCann', '21_lag_nhSICsep', '13_lag_shSICmar', '22_lag_atlSICsep']","[0.3544853066204632, 0.1269550782041576, 0.04001485606699212, 0.2754555617964788, 0.2399248826070895, 0.09429897450548357]","19_lag_nhSICjfm, 16_lag_atlSICsep, 16_lag_AMOCann, 21_lag_nhSICsep, 13_lag_shSICmar, 22_lag_atlSICsep_418_13"
LinearRegression,9,6,eapPSLjfm,slow,1723.5,2005.5,0.4,24,14,14,13.796837874849713,-0.018803649167750316,418,"['14_lag_amo3', '23_lag_AMOCann', '22_lag_AMOCann', '22_lag_atlSICsep', '23_lag_atlSICsep', '19_lag_nhSICjfm']","[0.1345977666875937, 0.056637311535370854, 0.22422887257070542, 0.15363506437445967, 0.08952084656397809, 0.24732240371424602]","14_lag_amo3, 23_lag_AMOCann, 22_lag_AMOCann, 22_lag_atlSICsep, 23_lag_atlSICsep, 19_lag_nhSICjfm_418_14"
LinearRegression,10,6,eapPSLjfm,slow,1724.5,2005.5,0.4,25,15,15,13.313967100665982,0.023113358729903492,418,"['18_lag_nppc2SSTjfm', '19_lag_nhSICjfm', '15_lag_amoSSTmjjaso', '23_lag_atlSICsep', '22_lag_atlSICsep', '15_lag_eapPSLjfm']","[0.09102282794985408, 0.2582457615291394, 0.12736849169626205, 0.09449927155919483, 0.1617600972226374, 0.09609067263180032]","18_lag_nppc2SSTjfm, 19_lag_nhSICjfm, 15_lag_amoSSTmjjaso, 23_lag_atlSICsep, 22_lag_atlSICsep, 15_lag_eapPSLjfm_418_15"
LinearRegression,11,6,eapPSLjfm,slow,1725.5,2005.5,0.4,26,16,16,12.723520798571425,0.01414497123766769,418,"['25_lag_stratZ50ndj03', '18_lag_nppc2SSTjfm', '16_lag_atlSICsep', '22_lag_atlSICsep', '19_lag_naoPSLjfm', '24_lag_eapPSLjfm']","[0.02627566978266169, 0.0032746582300388627, 0.060979543902633986, 0.14419980625196963, 0.14168012243665148, 0.18090745033532762]","25_lag_stratZ50ndj03, 18_lag_nppc2SSTjfm, 16_lag_atlSICsep, 22_lag_atlSICsep, 19_lag_naoPSLjfm, 24_lag_eapPSLjfm_418_16"
LinearRegression,12,6,eapPSLjfm,slow,1726.5,2005.5,0.4,27,17,17,13.284531440739892,-0.0876729120177256,418,"['26_lag_scpPSLjfm', '26_lag_atlSICjfm', '25_lag_atlSICjfm', '17_lag_nppc2SSTjfm', '22_lag_atlSICsep', '17_lag_amoSSTmjjaso']","[0.09714566369430286, 0.07910944550491929, 0.22199415985548943, 0.07522808046622255, 0.11328707505325392, 0.1710256463043252]","26_lag_scpPSLjfm, 26_lag_atlSICjfm, 25_lag_atlSICjfm, 17_lag_nppc2SSTjfm, 22_lag_atlSICsep, 17_lag_amoSSTmjjaso_418_17"
LinearRegression,13,6,eapPSLjfm,slow,1727.5,2005.5,0.4,28,18,18,13.890249935189305,-0.07213827886191085,418,"['27_lag_AMOCann', '18_lag_nppc2SSTjfm', '27_lag_stratZ50ndj04', '27_lag_eapPSLjfm', '18_lag_atlSICjfm', '25_lag_atlSICjfm']","[0.008934931935178577, 0.09551169455903227, 0.30893228068647627, 0.1474104126831588, 0.1136343537626369, 0.22883255731484034]","27_lag_AMOCann, 18_lag_nppc2SSTjfm, 27_lag_stratZ50ndj04, 27_lag_eapPSLjfm, 18_lag_atlSICjfm, 25_lag_atlSICjfm_418_18"
LinearRegression,14,6,eapPSLjfm,slow,1728.5,2005.5,0.4,29,19,19,14.388198485572605,-0.07699745408767683,418,"['19_lag_stratZ50ndj04', '19_lag_shSICmar', '27_lag_eapPSLjfm', '19_lag_scpPSLjfm', '25_lag_atlSICjfm', '28_lag_stratZ50ndj04']","[0.048136140993909386, 0.0033259541965694334, 0.09980298842556494, 0.1118680351331686, 0.23181950816079783, 0.2932547455032443]","19_lag_stratZ50ndj04, 19_lag_shSICmar, 27_lag_eapPSLjfm, 19_lag_scpPSLjfm, 25_lag_atlSICjfm, 28_lag_stratZ50ndj04_418_19"
LinearRegression,15,6,eapPSLjfm,slow,1729.5,2005.5,0.4,30,20,20,14.429302146874424,-0.08370881174568934,418,"['27_lag_stratZ50ndj04', '25_lag_shSICsep', '29_lag_naoPSLjfm', '28_lag_stratZ50ndj04', '25_lag_atlSICjfm', '20_lag_shSICsep']","[0.3377878445194856, 0.13102830635897275, 0.13833099699259413, 0.3370759233710262, 0.24775293670724752, 0.07915798089760305]","27_lag_stratZ50ndj04, 25_lag_shSICsep, 29_lag_naoPSLjfm, 28_lag_stratZ50ndj04, 25_lag_atlSICjfm, 20_lag_shSICsep_418_20"
LinearRegression,16,6,eapPSLjfm,slow,1730.5,2005.5,0.4,31,21,21,14.138194360976312,-0.06668637299346827,418,"['26_lag_eurPSLjfm', '26_lag_atlSICjfm', '21_lag_shSICsep', '28_lag_stratZ50ndj04', '24_lag_atlSICjfm', '25_lag_atlSICjfm']","[0.023861602180490576, 0.15782238315167313, 0.002519015737253265, 0.3313139755523321, 0.05644322336002762, 0.25634342577109326]","26_lag_eurPSLjfm, 26_lag_atlSICjfm, 21_lag_shSICsep, 28_lag_stratZ50ndj04, 24_lag_atlSICjfm, 25_lag_atlSICjfm_418_21"
LinearRegression,17,6,eapPSLjfm,slow,1731.5,2005.5,0.4,32,22,24,13.896559700034947,-0.10863698678572506,418,"['28_lag_stratZ50ndj04', '26_lag_atlSICjfm', '31_lag_amo2', '31_lag_atlSICsep', '24_lag_atlSICjfm', '25_lag_atlSICjfm']","[0.3057352771439982, 0.18021459652185817, 0.25798356834465164, 0.08099078300540091, 0.016540929652725828, 0.2593571503536959]","28_lag_stratZ50ndj04, 26_lag_atlSICjfm, 31_lag_amo2, 31_lag_atlSICsep, 24_lag_atlSICjfm, 25_lag_atlSICjfm_418_24"
LinearRegression,18,6,eapPSLjfm,slow,1732.5,2005.5,0.4,33,23,25,13.131230173538913,-0.03805107354373234,418,"['28_lag_shSICsep', '26_lag_eurPSLjfm', '25_lag_shSICsep', '31_lag_amo2', '25_lag_atlSICjfm', '31_lag_atlSICsep']","[0.06028042633461469, 0.04016113204741999, 0.034361742988083935, 0.20879125139788351, 0.17304721559395597, 0.09311554604448223]","28_lag_shSICsep, 26_lag_eurPSLjfm, 25_lag_shSICsep, 31_lag_amo2, 25_lag_atlSICjfm, 31_lag_atlSICsep_418_25"
LinearRegression,19,6,eapPSLjfm,slow,1733.5,2005.5,0.4,34,24,24,14.086244646352375,-0.011565508710564384,418,"['30_lag_AMOCann', '24_lag_stratZ50ndj02', '28_lag_scpPSLjfm', '24_lag_atlSICjfm', '31_lag_atlSICsep', '31_lag_amo2']","[0.20464512836858642, 0.12286736326733036, 0.1252110486737166, 0.034884878732549265, 0.10667269865123273, 0.20465439448566827]","30_lag_AMOCann, 24_lag_stratZ50ndj02, 28_lag_scpPSLjfm, 24_lag_atlSICjfm, 31_lag_atlSICsep, 31_lag_amo2_418_24"
LinearRegression,20,6,eapPSLjfm,slow,1734.5,2005.5,0.4,35,25,25,12.61836499715652,0.07751713657572822,418,"['25_lag_stratZ50ndj02', '28_lag_stratZ50ndj03', '34_lag_shSICsep', '28_lag_shSICsep', '31_lag_atlSICsep', '34_lag_naoPSLjfm']","[0.06652882658362969, 0.0183147665095911, 0.02102434365397199, 0.10874197311317377, 0.14142302961963432, 0.16650336781913547]","25_lag_stratZ50ndj02, 28_lag_stratZ50ndj03, 34_lag_shSICsep, 28_lag_shSICsep, 31_lag_atlSICsep, 34_lag_naoPSLjfm_418_25"
LinearRegression,21,6,eapPSLjfm,slow,1735.5,2005.5,0.4,36,26,26,13.236312151548118,0.022382591082008116,418,"['28_lag_shSICsep', '33_lag_atlSICsep', '34_lag_shSICsep', '26_lag_stratZ50ndj02', '31_lag_stratZ50ndj04', '35_lag_AMOCann']","[0.10448303790516884, 0.12176034380403161, 0.03411009048753599, 0.2002650710421176, 0.2660488023975679, 0.1376867971587033]","28_lag_shSICsep, 33_lag_atlSICsep, 34_lag_shSICsep, 26_lag_stratZ50ndj02, 31_lag_stratZ50ndj04, 35_lag_AMOCann_418_26"
LinearRegression,22,6,eapPSLjfm,slow,1736.5,2005.5,0.4,37,27,27,13.76577424121255,0.044207674999192745,418,"['31_lag_stratZ50ndj04', '35_lag_shSICmar', '27_lag_atlSICsep', '35_lag_amo1', '29_lag_naoPSLjfm', '35_lag_AMOCann']","[0.20147335887903556, 0.1787301432910975, 0.15458908769366325, 0.008618973156733512, 0.11875042211073257, 0.2283684024128158]","31_lag_stratZ50ndj04, 35_lag_shSICmar, 27_lag_atlSICsep, 35_lag_amo1, 29_lag_naoPSLjfm, 35_lag_AMOCann_418_27"
LinearRegression,23,6,eapPSLjfm,slow,1737.5,2005.5,0.4,38,28,28,13.762911161949162,0.07480081438395375,418,"['28_lag_31_median_scpPSLjfm', '37_lag_amo1', '35_lag_AMOCann', '34_lag_naoPSLjfm', '28_lag_shSICsep', '37_lag_eapPSLjfm']","[0.2543445686853101, 0.26109562953867155, 0.07053055106186441, 0.22024416682846865, 0.10170577451720259, 0.21506778143401578]","28_lag_31_median_scpPSLjfm, 37_lag_amo1, 35_lag_AMOCann, 34_lag_naoPSLjfm, 28_lag_shSICsep, 37_lag_eapPSLjfm_418_28"
LinearRegression,24,6,eapPSLjfm,slow,1738.5,2005.5,0.4,39,29,31,14.214942194071025,0.01577004386782751,418,"['38_lag_scpPSLjfm', '37_lag_amo1', '38_lag_amo1', '35_lag_shSICmar', '31_lag_atlSICsep', '37_lag_stratZ50ndj01']","[0.15648832750953434, 0.2876470694160347, 0.2866935871280664, 0.22519672255224876, 0.19174695260343624, 0.200294917028904]","38_lag_scpPSLjfm, 37_lag_amo1, 38_lag_amo1, 35_lag_shSICmar, 31_lag_atlSICsep, 37_lag_stratZ50ndj01_418_31"
LinearRegression,25,6,eapPSLjfm,slow,1739.5,2005.5,0.4,40,30,30,14.2861067358867,-0.034065753982383574,418,"['34_lag_naoPSLjfm', '32_lag_eurPSLjfm', '38_lag_AMOCann', '38_lag_amo1', '38_lag_scpPSLjfm', '30_lag_nppc2SSTjfm']","[0.2292506175852747, 0.0752177946407368, 0.18013581601676393, 0.40426022934618505, 0.16932171261938192, 0.07384731521059981]","34_lag_naoPSLjfm, 32_lag_eurPSLjfm, 38_lag_AMOCann, 38_lag_amo1, 38_lag_scpPSLjfm, 30_lag_nppc2SSTjfm_418_30"
LinearRegression,26,6,eapPSLjfm,slow,1740.5,2005.5,0.4,41,31,31,14.394738557142688,0.0024656279491249156,418,"['38_lag_scpPSLjfm', '37_lag_amo1', '33_lag_shSICsep', '35_lag_shSICmar', '31_lag_stratZ50ndj04', '38_lag_amo1']","[0.20274206935466693, 0.31554754076818536, 0.13542389686340267, 0.19277288018877856, 0.27771895932276136, 0.3870118143070352]","38_lag_scpPSLjfm, 37_lag_amo1, 33_lag_shSICsep, 35_lag_shSICmar, 31_lag_stratZ50ndj04, 38_lag_amo1_418_31"
LinearRegression,27,6,eapPSLjfm,slow,1741.5,2005.5,0.4,42,32,32,13.366842373182235,0.09436964762158044,418,"['32_lag_eurPSLjfm', '37_lag_eurPSLjfm', '36_lag_atlSICjfm', '35_lag_shSICmar', '38_lag_amo1', '41_lag_stratZ50ndj04']","[0.08328006052421318, 0.2588965652738246, 0.015869592135512867, 0.17065214774458967, 0.17458565341589802, 0.2872183450036924]","32_lag_eurPSLjfm, 37_lag_eurPSLjfm, 36_lag_atlSICjfm, 35_lag_shSICmar, 38_lag_amo1, 41_lag_stratZ50ndj04_418_32"
LinearRegression,28,6,eapPSLjfm,slow,1742.5,2005.5,0.4,43,33,33,12.457110082921659,0.15292086677687566,418,"['39_lag_AMOCann', '37_lag_eurPSLjfm', '35_lag_shSICmar', '41_lag_stratZ50ndj04', '33_lag_shSICsep', '38_lag_amo1']","[0.15097493534890724, 0.23362441681555296, 0.2267315844954636, 0.2496599248168776, 0.11767540030354307, 0.16614703958140725]","39_lag_AMOCann, 37_lag_eurPSLjfm, 35_lag_shSICmar, 41_lag_stratZ50ndj04, 33_lag_shSICsep, 38_lag_amo1_418_33"
LinearRegression,29,6,eapPSLjfm,slow,1743.5,2005.5,0.4,44,34,34,13.55469228022091,0.07071353119984684,418,"['34_lag_37_median_naoPSLjfm', '37_lag_eurPSLjfm', '36_lag_shSICmar', '37_lag_stratZ50ndj01', '41_lag_stratZ50ndj04', '38_lag_amo1']","[0.057665977857351794, 0.22602771389701062, 0.06879277568541152, 0.20499443385751914, 0.2962158421074177, 0.13235841688673866]","34_lag_37_median_naoPSLjfm, 37_lag_eurPSLjfm, 36_lag_shSICmar, 37_lag_stratZ50ndj01, 41_lag_stratZ50ndj04, 38_lag_amo1_418_34"
LinearRegression,30,6,eapPSLjfm,slow,1744.5,2005.5,0.4,45,35,35,13.244611602627554,0.0846574578566681,418,"['43_lag_eurPSLjfm', '40_lag_stratZ50ndj01', '38_lag_amo1', '35_lag_shSICmar', '39_lag_atlSICsep', '37_lag_eurPSLjfm']","[0.19194125818475555, 0.05437577913746444, 0.15980738315415702, 0.15109440694204695, 0.026686761657231113, 0.23412394692394928]","43_lag_eurPSLjfm, 40_lag_stratZ50ndj01, 38_lag_amo1, 35_lag_shSICmar, 39_lag_atlSICsep, 37_lag_eurPSLjfm_418_35"
LinearRegression,31,6,eapPSLjfm,slow,1745.5,2005.5,0.4,46,36,38,13.2522260416738,0.002752034541990628,418,"['45_lag_eapPSLjfm', '45_lag_shSICsep', '45_lag_nhSICjfm', '43_lag_eapPSLjfm', '38_lag_amo1', '39_lag_amo1']","[0.12078854606666006, 0.09496520314856648, 0.0018957906919190894, 0.09445933985770251, 0.18449047493545612, 0.3262696414957623]","45_lag_eapPSLjfm, 45_lag_shSICsep, 45_lag_nhSICjfm, 43_lag_eapPSLjfm, 38_lag_amo1, 39_lag_amo1_418_38"
LinearRegression,32,6,eapPSLjfm,slow,1746.5,2005.5,0.4,47,37,39,13.178891278237549,0.027466442172776825,418,"['45_lag_shSICsep', '45_lag_eapPSLjfm', '41_lag_stratZ50ndj03', '39_lag_amo1', '46_lag_stratZ50ndj01', '44_lag_eapPSLjfm']","[0.07921182910356322, 0.11973306106525951, 0.07880722803599521, 0.2849046396827982, 0.12327037948508193, 0.12841033440002306]","45_lag_shSICsep, 45_lag_eapPSLjfm, 41_lag_stratZ50ndj03, 39_lag_amo1, 46_lag_stratZ50ndj01, 44_lag_eapPSLjfm_418_39"
LinearRegression,33,6,eapPSLjfm,slow,1747.5,2005.5,0.4,48,38,38,13.63601874933075,-0.0591855484010614,418,"['38_lag_amo3', '38_lag_amo1', '41_lag_stratZ50ndj03', '44_lag_eapPSLjfm', '47_lag_atlSICsep', '46_lag_stratZ50ndj01']","[0.027202266442794026, 0.18608530208310153, 0.02471522483123359, 0.1673279312527191, 0.22322412176039252, 0.12312449422284868]","38_lag_amo3, 38_lag_amo1, 41_lag_stratZ50ndj03, 44_lag_eapPSLjfm, 47_lag_atlSICsep, 46_lag_stratZ50ndj01_418_38"
LinearRegression,34,6,eapPSLjfm,slow,1748.5,2005.5,0.4,49,39,39,13.099066884805167,-0.06565723105750967,418,"['42_lag_nppc2SSTjfm', '48_lag_stratZ50ndj02', '45_lag_eapPSLjfm', '46_lag_stratZ50ndj01', '44_lag_eapPSLjfm', '39_lag_eurPSLjfm']","[0.09745035279027396, 0.07989998469940249, 0.08699545925022226, 0.1439897681430719, 0.1415705128835783, 0.15796346305026476]","42_lag_nppc2SSTjfm, 48_lag_stratZ50ndj02, 45_lag_eapPSLjfm, 46_lag_stratZ50ndj01, 44_lag_eapPSLjfm, 39_lag_eurPSLjfm_418_39"
LinearRegression,35,6,eapPSLjfm,slow,1749.5,2005.5,0.4,50,40,44,13.01751116942355,-0.009993504130640775,418,"['46_lag_stratZ50ndj01', '45_lag_eapPSLjfm', '44_lag_eapPSLjfm', '46_lag_eapPSLjfm', '46_lag_shSICsep', '48_lag_stratZ50ndj02']","[0.15128520708337362, 0.0949162103785118, 0.14557045657448803, 0.021682928389943734, 0.11657337667442932, 0.09237472179537073]","46_lag_stratZ50ndj01, 45_lag_eapPSLjfm, 44_lag_eapPSLjfm, 46_lag_eapPSLjfm, 46_lag_shSICsep, 48_lag_stratZ50ndj02_418_44"
LinearRegression,36,6,eapPSLjfm,slow,1750.5,2005.5,0.4,51,41,41,13.14887496493711,0.028418161989084846,418,"['41_lag_stratZ50ndj01', '44_lag_naoPSLjfm', '41_lag_amo3', '50_lag_stratZ50ndj03', '45_lag_shSICsep', '46_lag_stratZ50ndj01']","[0.15370861190920204, 0.17158579760563433, 0.08460398006205264, 0.08662595069789636, 0.10492014974971017, 0.1285574730447538]","41_lag_stratZ50ndj01, 44_lag_naoPSLjfm, 41_lag_amo3, 50_lag_stratZ50ndj03, 45_lag_shSICsep, 46_lag_stratZ50ndj01_418_41"
