model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,ensoSSTjfm,slow,1714.5,2005.5,0.8,15,5,5,19.956497577258215,0.18466891731495277,1235,"['13_lag_cetTSjfm', '10_lag_ismPRjja', '7_lag_traEC', '9_lag_traBO', '5_lag_12_median_arcTSjfm', '9_lag_traEC', '12_lag_naoPSLjfm', '5_lag_8_median_stratZ50ndj04', '5_lag_8_median_nhSICsep', '11_lag_traIT', '8_lag_tripol2', '5_lag_14_median_naoPSLjfm', '5_lag_11_median_traFSC', '5_lag_12_median_nhTSjfm', '5_lag_12_median_labSSTjfm', '5_lag_7_median_ginwSSTjfm', '5_lag_9_median_traDP', '5_lag_9_median_pdoSSTjfm', '5_lag_8_median_nhSICjfm', '10_lag_eapPSLjfm', '5_lag_14_median_eurPSLjfm', '5_lag_11_median_gyreSSTjfm', '5_lag_13_median_satlSSTjfm', '5_lag_11_median_seurTSjfm', '7_lag_nhTSjfm', '11_lag_ormenSSTjfm', '10_lag_nchinaPRjja', '5_lag_10_median_stratZ50ndj03', '6_lag_atlSICsep', '8_lag_arcTSjfm']","[6.607591143006694, 5.634988153964484, 7.305730582860754, 9.025965207655336, 4.745307301650252, 0.05953281592455717, 5.956212656664299, 0.972918911371476, 0.404468170073109, 3.798067439131505, 2.128370454618409, 5.1631593090957715, 8.007525994130596, 1.5976475207264151, 2.4384192756516647, 4.465576156261829, 1.7301161601100095, 6.306147255412286, 5.3365861221856505, 3.0055667205226833, 4.8225547894164205, 4.871335949560645, 7.773893310864143, 3.55106840970665, 2.934823400201889, 1.3317377141557323, 6.364236415888644, 6.381984815758074, 6.706007976670858, 4.935443735596834]","13_lag_cetTSjfm, 10_lag_ismPRjja, 7_lag_traEC, 9_lag_traBO, 5_lag_12_median_arcTSjfm, 9_lag_traEC, 12_lag_naoPSLjfm, 5_lag_8_median_stratZ50ndj04, 5_lag_8_median_nhSICsep, 11_lag_traIT, 8_lag_tripol2, 5_lag_14_median_naoPSLjfm, 5_lag_11_median_traFSC, 5_lag_12_median_nhTSjfm, 5_lag_12_median_labSSTjfm, 5_lag_7_median_ginwSSTjfm, 5_lag_9_median_traDP, 5_lag_9_median_pdoSSTjfm, 5_lag_8_median_nhSICjfm, 10_lag_eapPSLjfm, 5_lag_14_median_eurPSLjfm, 5_lag_11_median_gyreSSTjfm, 5_lag_13_median_satlSSTjfm, 5_lag_11_median_seurTSjfm, 7_lag_nhTSjfm, 11_lag_ormenSSTjfm, 10_lag_nchinaPRjja, 5_lag_10_median_stratZ50ndj03, 6_lag_atlSICsep, 8_lag_arcTSjfm_1235_5"
LRforcedPSO,1,30,ensoSSTjfm,slow,1715.5,2005.5,0.8,16,6,6,37.360259209755554,0.013684890263205858,1235,"['6_lag_10_median_samPSLann', '7_lag_yrvPRjja', '14_lag_eurPSLjfm', '12_lag_traIFC', '6_lag_11_median_traDS', '8_lag_yrvPRjja', '15_lag_traDS', '6_lag_13_median_traBS', '6_lag_12_median_eapPSLjfm', '6_lag_8_median_traTLS', '6_lag_13_median_traTLS', '6_lag_7_median_shSICmar', '6_lag_7_median_AMOCann', '9_lag_stratZ50ndj03', '6_lag_7_median_mhfATL45', '11_lag_wnorPRjfm', '8_lag_traFSC', '6_lag_10_median_shSICsep', '6_lag_alpi', '14_lag_traEU', '6_lag_9_median_ormenSSTjfm', '10_lag_amo3', '10_lag_traCA', '6_lag_8_median_stratZ50ndj03', '6_lag_12_median_ismPRjja', '12_lag_shSICsep', '6_lag_8_median_alpi', '6_lag_12_median_eurPSLjfm', '14_lag_amo2', '6_lag_13_median_eapPSLjfm']","[1.2101802037306584, 3.2397903377109465, 8.981647740081662, 0.22890207022825848, 3.0133740614977462, 0.198323158018761, 9.528481801999785, 0.8360570058912327, 1.937628257988738, 2.1703354692961563, 9.16802042698164, 7.97167791787184, 5.716238072544449, 1.4013482067963619, 7.042257196105979, 4.022714595419215, 4.490924394987134, 1.611641066580077, 1.0077802359609755, 2.2486657325748887, 4.201573863300629, 9.606188857638578, 2.2462016657913537, 6.41194652899628, 9.479586707465849, 2.6938810427064297, 0.6264906383918412, 1.3058479964608711, 0.8885592553902804, 1.6196258559138226]","6_lag_10_median_samPSLann, 7_lag_yrvPRjja, 14_lag_eurPSLjfm, 12_lag_traIFC, 6_lag_11_median_traDS, 8_lag_yrvPRjja, 15_lag_traDS, 6_lag_13_median_traBS, 6_lag_12_median_eapPSLjfm, 6_lag_8_median_traTLS, 6_lag_13_median_traTLS, 6_lag_7_median_shSICmar, 6_lag_7_median_AMOCann, 9_lag_stratZ50ndj03, 6_lag_7_median_mhfATL45, 11_lag_wnorPRjfm, 8_lag_traFSC, 6_lag_10_median_shSICsep, 6_lag_alpi, 14_lag_traEU, 6_lag_9_median_ormenSSTjfm, 10_lag_amo3, 10_lag_traCA, 6_lag_8_median_stratZ50ndj03, 6_lag_12_median_ismPRjja, 12_lag_shSICsep, 6_lag_8_median_alpi, 6_lag_12_median_eurPSLjfm, 14_lag_amo2, 6_lag_13_median_eapPSLjfm_1235_6"
LRforcedPSO,2,30,ensoSSTjfm,slow,1716.5,2005.5,0.8,17,7,7,26.54607450366582,0.06562536893522435,1235,"['14_lag_eapPSLjfm', '7_lag_16_median_neurTSjfm', '14_lag_satlSSTjfm', '11_lag_stratZ50ndj01', '7_lag_16_median_traFS', '8_lag_mhfATL45', '11_lag_traTLS', '7_lag_10_median_atlSICjfm', '7_lag_14_median_traTLS', '8_lag_ismPRjja', '7_lag_16_median_tripol2', '7_lag_8_median_cetTSjfm', '9_lag_mhfATL30', '7_lag_15_median_traEU', '16_lag_amo3', '7_lag_15_median_ensoSSTjfm', '7_lag_9_median_solFORC', '7_lag_13_median_amo3', '7_lag_15_median_shSICsep', '7_lag_10_median_neurTSjfm', '15_lag_traFSC', '7_lag_12_median_stratZ50ndj02', '13_lag_amoSSTmjjaso', '14_lag_solFORC', '14_lag_stratZ50ndj04', '7_lag_15_median_stratZ50ndj01', '7_lag_12_median_shTSjfm', '10_lag_traIFC', '7_lag_10_median_atlSICsep', '11_lag_nppc3SSTjfm']","[3.89916668342871, 3.4517059246730106, 8.320245420362774, 0.9626675707470795, 5.908278955530431, 4.0592405447481195, 1.9448146880658186, 2.401270880367788, 6.373532233155721, 5.288840413390203, 3.5951883179660715, 1.6480430528732235, 5.111541124086063, 4.5155908229629524, 0.1245878012715842, 5.118679464263256, 7.931988318709287, 1.140332999302231, 4.217017769758568, 4.844690672495329, 2.711618878951125, 2.3905769243347557, 8.639650594979486, 8.566212569786192, 5.155668418127032, 3.0345221054872624, 1.102747467149019, 4.293068062612586, 4.929797783987597, 2.6719059991724254]","14_lag_eapPSLjfm, 7_lag_16_median_neurTSjfm, 14_lag_satlSSTjfm, 11_lag_stratZ50ndj01, 7_lag_16_median_traFS, 8_lag_mhfATL45, 11_lag_traTLS, 7_lag_10_median_atlSICjfm, 7_lag_14_median_traTLS, 8_lag_ismPRjja, 7_lag_16_median_tripol2, 7_lag_8_median_cetTSjfm, 9_lag_mhfATL30, 7_lag_15_median_traEU, 16_lag_amo3, 7_lag_15_median_ensoSSTjfm, 7_lag_9_median_solFORC, 7_lag_13_median_amo3, 7_lag_15_median_shSICsep, 7_lag_10_median_neurTSjfm, 15_lag_traFSC, 7_lag_12_median_stratZ50ndj02, 13_lag_amoSSTmjjaso, 14_lag_solFORC, 14_lag_stratZ50ndj04, 7_lag_15_median_stratZ50ndj01, 7_lag_12_median_shTSjfm, 10_lag_traIFC, 7_lag_10_median_atlSICsep, 11_lag_nppc3SSTjfm_1235_7"
LRforcedPSO,3,30,ensoSSTjfm,slow,1717.5,2005.5,0.8,18,8,8,25.55131922898349,-0.03494780635053867,1235,"['8_lag_10_median_mhfATL30', '14_lag_shTSjfm', '15_lag_ormenSSTjfm', '12_lag_shTSjfm', '8_lag_10_median_gyreSSTjfm', '17_lag_mhfATL60', '8_lag_17_median_nppc2SSTjfm', '11_lag_nhTSjfm', '15_lag_traFB', '11_lag_traFS', '9_lag_traDP', '8_lag_tripol2', '10_lag_AMOCann', '8_lag_12_median_pdoSSTjfm', '12_lag_nhSICsep', '11_lag_eapPSLjfm', '9_lag_traFS', '8_lag_14_median_traIFC', '11_lag_shSICmar', '8_lag_9_median_shSICmar', '15_lag_wnorPRjfm', '12_lag_seurTSjfm', '8_lag_9_median_gyreSSTjfm', '8_lag_17_median_amoSSTmjjaso', '8_lag_10_median_ginwSSTjfm', '8_lag_14_median_yrvPRjja', '8_lag_shSICmar', '15_lag_glTSjfm', '8_lag_9_median_stratZ50ndj02', '15_lag_nhSICjfm']","[4.541021165632809, 7.232969595433136, 5.811935347031575, 1.246230040756359, 6.926779568478182, 8.120989606425297, 1.5292385636804973, 2.2899374557104863, 5.226465502604077, 4.150479860948845, 0.403998489005847, 0.31571443422374657, 4.936534748568427, 5.796397666466955, 0.09720483363370036, 1.2068433438830475, 4.12887300832023, 8.23841349233879, 6.444015455266856, 5.0024452464892555, 2.184855855832497, 2.454095105186557, 2.337441694852327, 2.4767398078798912, 8.791447321941245, 1.3761637749938984, 2.110368140682464, 9.68350789926711, 2.4529654311190168, 7.1658796173379855]","8_lag_10_median_mhfATL30, 14_lag_shTSjfm, 15_lag_ormenSSTjfm, 12_lag_shTSjfm, 8_lag_10_median_gyreSSTjfm, 17_lag_mhfATL60, 8_lag_17_median_nppc2SSTjfm, 11_lag_nhTSjfm, 15_lag_traFB, 11_lag_traFS, 9_lag_traDP, 8_lag_tripol2, 10_lag_AMOCann, 8_lag_12_median_pdoSSTjfm, 12_lag_nhSICsep, 11_lag_eapPSLjfm, 9_lag_traFS, 8_lag_14_median_traIFC, 11_lag_shSICmar, 8_lag_9_median_shSICmar, 15_lag_wnorPRjfm, 12_lag_seurTSjfm, 8_lag_9_median_gyreSSTjfm, 8_lag_17_median_amoSSTmjjaso, 8_lag_10_median_ginwSSTjfm, 8_lag_14_median_yrvPRjja, 8_lag_shSICmar, 15_lag_glTSjfm, 8_lag_9_median_stratZ50ndj02, 15_lag_nhSICjfm_1235_8"
LRforcedPSO,4,30,ensoSSTjfm,slow,1718.5,2005.5,0.8,19,9,9,34.47025059146591,0.11907462431469307,1235,"['9_lag_18_median_nhSICsep', '12_lag_seurTSjfm', '10_lag_nchinaPRjja', '9_lag_17_median_solFORC', '9_lag_11_median_traTLS', '12_lag_traEU', '14_lag_traMC', '9_lag_16_median_wnorPRjfm', '9_lag_12_median_stratZ50ndj04', '10_lag_stratZ50ndj04', '9_lag_17_median_stratZ50ndj01', '17_lag_shSICmar', '11_lag_satlSSTjfm', '9_lag_16_median_scpPSLjfm', '11_lag_traEU', '9_lag_11_median_mhfIP30', '12_lag_mhfATL60', '9_lag_12_median_amo1', '9_lag_16_median_traDS', '9_lag_14_median_samPSLann', '17_lag_traWP', '12_lag_nhSICjfm', '14_lag_stratZ50ndj04', '17_lag_amoSSTmjjaso', '18_lag_tripol1', '18_lag_traMC', '9_lag_18_median_traFB', '9_lag_11_median_scpPSLjfm', '18_lag_nppc2SSTjfm', '9_lag_15_median_traBS']","[4.667132321340446, 1.6799191536945397, 3.1530445438288695, 3.3027574310698586, 7.005427967171292, 0.608539025962676, 6.873745508787707, 4.702883285041204, 2.9502065898641643, 0.4510811325677384, 5.48453969487835, 5.803434275402051, 7.7515900702614555, 7.68875770186791, 5.615796504023605, 3.8055382305826573, 1.5024128667410626, 7.2284973276582924, 3.214306782017484, 4.545824121399984, 5.438169416310792, 2.271108515075701, 4.685299519576514, 2.0686223529591548, 5.060964068943317, 2.992910907006694, 5.534155532771335, 1.3013636692361672, 9.905124300738311, 6.45481727445641]","9_lag_18_median_nhSICsep, 12_lag_seurTSjfm, 10_lag_nchinaPRjja, 9_lag_17_median_solFORC, 9_lag_11_median_traTLS, 12_lag_traEU, 14_lag_traMC, 9_lag_16_median_wnorPRjfm, 9_lag_12_median_stratZ50ndj04, 10_lag_stratZ50ndj04, 9_lag_17_median_stratZ50ndj01, 17_lag_shSICmar, 11_lag_satlSSTjfm, 9_lag_16_median_scpPSLjfm, 11_lag_traEU, 9_lag_11_median_mhfIP30, 12_lag_mhfATL60, 9_lag_12_median_amo1, 9_lag_16_median_traDS, 9_lag_14_median_samPSLann, 17_lag_traWP, 12_lag_nhSICjfm, 14_lag_stratZ50ndj04, 17_lag_amoSSTmjjaso, 18_lag_tripol1, 18_lag_traMC, 9_lag_18_median_traFB, 9_lag_11_median_scpPSLjfm, 18_lag_nppc2SSTjfm, 9_lag_15_median_traBS_1235_9"
LRforcedPSO,5,30,ensoSSTjfm,slow,1719.5,2005.5,0.8,20,10,10,54.850720987618175,-0.017904523917360797,1235,"['19_lag_shTSjfm', '10_lag_13_median_amo1', '12_lag_stratZ50ndj03', '12_lag_traBS', '10_lag_14_median_traBO', '10_lag_11_median_atlSICjfm', '10_lag_18_median_traFS', '12_lag_arcTSjfm', '18_lag_traTLS', '17_lag_eapPSLjfm', '10_lag_19_median_neurTSjfm', '12_lag_traDP', '19_lag_scpPSLjfm', '15_lag_mhfIP30', '17_lag_mhfATL45', '16_lag_atlSICsep', '10_lag_19_median_traBO', '14_lag_nchinaPRjja', '10_lag_14_median_traFSC', '10_lag_17_median_tripol1', '18_lag_neurTSjfm', '10_lag_15_median_scpPSLjfm', '14_lag_eapPSLjfm', '10_lag_13_median_nppc3SSTjfm', '13_lag_nppc3SSTjfm', '10_lag_14_median_glomaSSTjfm', '10_lag_17_median_samPSLann', '10_lag_11_median_arcTSjfm', '10_lag_12_median_nhSICjfm', '10_lag_12_median_naoPSLjfm']","[9.382328862613104, 5.9052330070681585, 3.6954554514205213, 0.7506687649821799, 8.039279698614678, 5.818072172606357, 7.551727118999555, 6.032889425549325, 4.353572654978882, 3.766899255536112, 2.5210937520476477, 6.0504534614853895, 5.724248950516451, 0.9783215190364221, 7.6847235317188485, 5.852453846903201, 0.5779747302975693, 9.285021617731422, 9.485466327134752, 1.6111679445189946, 2.076096120835624, 2.584222929976754, 5.780531375061058, 5.912658290084309, 2.43381776391438, 2.517824079014586, 0.746844128882632, 8.385358656066629, 5.804793922604649, 1.3898330747260594]","19_lag_shTSjfm, 10_lag_13_median_amo1, 12_lag_stratZ50ndj03, 12_lag_traBS, 10_lag_14_median_traBO, 10_lag_11_median_atlSICjfm, 10_lag_18_median_traFS, 12_lag_arcTSjfm, 18_lag_traTLS, 17_lag_eapPSLjfm, 10_lag_19_median_neurTSjfm, 12_lag_traDP, 19_lag_scpPSLjfm, 15_lag_mhfIP30, 17_lag_mhfATL45, 16_lag_atlSICsep, 10_lag_19_median_traBO, 14_lag_nchinaPRjja, 10_lag_14_median_traFSC, 10_lag_17_median_tripol1, 18_lag_neurTSjfm, 10_lag_15_median_scpPSLjfm, 14_lag_eapPSLjfm, 10_lag_13_median_nppc3SSTjfm, 13_lag_nppc3SSTjfm, 10_lag_14_median_glomaSSTjfm, 10_lag_17_median_samPSLann, 10_lag_11_median_arcTSjfm, 10_lag_12_median_nhSICjfm, 10_lag_12_median_naoPSLjfm_1235_10"
LRforcedPSO,6,30,ensoSSTjfm,slow,1720.5,2005.5,0.8,21,11,11,27.514929273303004,-0.2573413369728225,1235,"['11_lag_16_median_ginwSSTjfm', '11_lag_19_median_traTLS', '11_lag_16_median_atlSICjfm', '12_lag_traBO', '11_lag_15_median_ginwSSTjfm', '11_lag_17_median_traCA', '11_lag_19_median_labSSTjfm', '18_lag_naoPSLjfm', '11_lag_15_median_amo1', '19_lag_traMC', '14_lag_atlSICjfm', '11_lag_20_median_traEU', '11_lag_16_median_nppc2SSTjfm', '11_lag_19_median_neurTSjfm', '11_lag_15_median_traFB', '14_lag_stratZ50ndj03', '19_lag_seurTSjfm', '13_lag_traDP', '11_lag_amo2', '11_lag_12_median_traWP', '11_lag_20_median_traTLS', '18_lag_traFB', '13_lag_pdoSSTjfm', '19_lag_traDS', '18_lag_nhTSjfm', '17_lag_glomaSSTjfm', '13_lag_stratZ50ndj01', '13_lag_arcTSjfm', '12_lag_mhfATL45', '19_lag_cetTSjfm']","[3.8481365309075137, 3.2735248839513043, 7.093077276408186, 0.917125376198495, 7.172195838181796, 3.260927029013465, 2.6637200065123317, 0.16716988650106224, 3.611165388591056, 4.581294427869118, 1.1946611540279246, 6.7328960135487534, 2.9148357530161224, 3.8270979880787657, 0.42491780477225305, 3.039193389679692, 0.23095611676573746, 4.976221073825375, 3.1243936444480713, 2.4038469764682446, 3.5592614993879685, 0.9192923390232739, 1.1220961393452438, 1.8795867085542088, 6.487529276055106, 4.604976428463132, 6.694049686927453, 2.111979233602847, 8.52885444443086, 2.904832546911768]","11_lag_16_median_ginwSSTjfm, 11_lag_19_median_traTLS, 11_lag_16_median_atlSICjfm, 12_lag_traBO, 11_lag_15_median_ginwSSTjfm, 11_lag_17_median_traCA, 11_lag_19_median_labSSTjfm, 18_lag_naoPSLjfm, 11_lag_15_median_amo1, 19_lag_traMC, 14_lag_atlSICjfm, 11_lag_20_median_traEU, 11_lag_16_median_nppc2SSTjfm, 11_lag_19_median_neurTSjfm, 11_lag_15_median_traFB, 14_lag_stratZ50ndj03, 19_lag_seurTSjfm, 13_lag_traDP, 11_lag_amo2, 11_lag_12_median_traWP, 11_lag_20_median_traTLS, 18_lag_traFB, 13_lag_pdoSSTjfm, 19_lag_traDS, 18_lag_nhTSjfm, 17_lag_glomaSSTjfm, 13_lag_stratZ50ndj01, 13_lag_arcTSjfm, 12_lag_mhfATL45, 19_lag_cetTSjfm_1235_11"
LRforcedPSO,7,30,ensoSSTjfm,slow,1721.5,2005.5,0.8,22,12,12,26.080024102914884,0.09274559154921977,1235,"['12_lag_19_median_traFB', '14_lag_nppc3SSTjfm', '12_lag_21_median_eurPSLjfm', '13_lag_nppc3SSTjfm', '12_lag_14_median_tripol3', '12_lag_21_median_ormenSSTjfm', '19_lag_shTSjfm', '14_lag_satlSSTjfm', '12_lag_13_median_glomaSSTjfm', '12_lag_21_median_shSICmar', '17_lag_ginwSSTjfm', '12_lag_21_median_labSSTjfm', '12_lag_13_median_traIFC', '19_lag_stratZ50ndj01', '12_lag_16_median_amo3', '12_lag_16_median_eapPSLjfm', '18_lag_shSICmar', '13_lag_yrvPRjja', '12_lag_20_median_traMC', '21_lag_traFSC', '14_lag_atlSICsep', '21_lag_ensoSSTjfm', '21_lag_nppc2SSTjfm', '12_lag_17_median_amoSSTmjjaso', '12_lag_19_median_mhfATL60', '21_lag_nchinaPRjja', '18_lag_pdoSSTjfm', '21_lag_AMOCann', '18_lag_eapPSLjfm', '12_lag_traWP']","[4.613468056231649, 5.2238733666759725, 5.4467297703328725, 0.7815140924593038, 1.2279107403513905, 2.174031121519919, 1.2664167938012802, 7.18734416044472, 0.5655508631720743, 5.794642874536262, 1.2396152178320907, 5.300178231005448, 0.6103579395023324, 6.780770189822338, 8.607898930261804, 5.883138340105072, 2.8051560016925166, 0.8161595071680399, 4.543399779477646, 1.2413344940587656, 5.0099953942435915, 3.5829549119703685, 6.005268952189331, 7.055855584876454, 8.413022674924743, 4.863385583767106, 2.503669291655653, 6.332813353913734, 6.789846114312843, 4.032420965971548]","12_lag_19_median_traFB, 14_lag_nppc3SSTjfm, 12_lag_21_median_eurPSLjfm, 13_lag_nppc3SSTjfm, 12_lag_14_median_tripol3, 12_lag_21_median_ormenSSTjfm, 19_lag_shTSjfm, 14_lag_satlSSTjfm, 12_lag_13_median_glomaSSTjfm, 12_lag_21_median_shSICmar, 17_lag_ginwSSTjfm, 12_lag_21_median_labSSTjfm, 12_lag_13_median_traIFC, 19_lag_stratZ50ndj01, 12_lag_16_median_amo3, 12_lag_16_median_eapPSLjfm, 18_lag_shSICmar, 13_lag_yrvPRjja, 12_lag_20_median_traMC, 21_lag_traFSC, 14_lag_atlSICsep, 21_lag_ensoSSTjfm, 21_lag_nppc2SSTjfm, 12_lag_17_median_amoSSTmjjaso, 12_lag_19_median_mhfATL60, 21_lag_nchinaPRjja, 18_lag_pdoSSTjfm, 21_lag_AMOCann, 18_lag_eapPSLjfm, 12_lag_traWP_1235_12"
LRforcedPSO,8,30,ensoSSTjfm,slow,1722.5,2005.5,0.8,23,13,13,24.511784254532518,0.028293290961156174,1235,"['17_lag_mhfIP30', '14_lag_tripol1', '13_lag_22_median_mhfATL60', '14_lag_gyreSSTjfm', '13_lag_21_median_traEC', '16_lag_traFSC', '13_lag_17_median_mhfATL30', '13_lag_16_median_stratZ50ndj03', '22_lag_nhSICsep', '19_lag_mhfATL60', '15_lag_mhfATL60', '16_lag_traCA', '15_lag_shSICmar', '13_lag_nhTSjfm', '13_lag_20_median_mhfIP30', '20_lag_traCA', '21_lag_traDP', '13_lag_glTSjfm', '13_lag_21_median_stratZ50ndj03', '13_lag_15_median_pdoSSTjfm', '14_lag_traMC', '21_lag_mhfIP30', '21_lag_samPSLann', '13_lag_19_median_atlSICjfm', '13_lag_16_median_tripol3', '15_lag_shTSjfm', '13_lag_labSSTjfm', '18_lag_labSSTjfm', '13_lag_21_median_amoSSTmjjaso', '21_lag_atlSICjfm']","[5.968423433529042, 0.6339414958733194, 2.799918809748707, 3.6261548411419664, 1.6611774291255887, 6.550948985996743, 6.417382052306429, 2.4730640565674307, 5.174285272057779, 5.102190807247759, 1.410167907389523, 2.0929623179911054, 9.196614428889758, 0.9680948279177777, 4.832794271652401, 7.061504540911599, 3.0336646802289398, 8.563880478157422, 0.43224653928935375, 0.6711634471433197, 2.65026621203239, 8.857414826338239, 5.370881899492779, 5.27720620645354, 3.605834591808918, 1.8530290236080056, 6.250869928211824, 4.549478139803265, 6.132850029571227, 1.6165322779863818]","17_lag_mhfIP30, 14_lag_tripol1, 13_lag_22_median_mhfATL60, 14_lag_gyreSSTjfm, 13_lag_21_median_traEC, 16_lag_traFSC, 13_lag_17_median_mhfATL30, 13_lag_16_median_stratZ50ndj03, 22_lag_nhSICsep, 19_lag_mhfATL60, 15_lag_mhfATL60, 16_lag_traCA, 15_lag_shSICmar, 13_lag_nhTSjfm, 13_lag_20_median_mhfIP30, 20_lag_traCA, 21_lag_traDP, 13_lag_glTSjfm, 13_lag_21_median_stratZ50ndj03, 13_lag_15_median_pdoSSTjfm, 14_lag_traMC, 21_lag_mhfIP30, 21_lag_samPSLann, 13_lag_19_median_atlSICjfm, 13_lag_16_median_tripol3, 15_lag_shTSjfm, 13_lag_labSSTjfm, 18_lag_labSSTjfm, 13_lag_21_median_amoSSTmjjaso, 21_lag_atlSICjfm_1235_13"
LRforcedPSO,9,30,ensoSSTjfm,slow,1723.5,2005.5,0.8,24,14,14,29.40723953640535,0.022716192445250152,1235,"['14_lag_22_median_shTSjfm', '20_lag_traIFC', '15_lag_eurPSLjfm', '14_lag_20_median_alpi', '22_lag_traIT', '15_lag_tripol1', '18_lag_amo3', '23_lag_shSICmar', '14_lag_21_median_mhfATL45', '14_lag_traFSC', '14_lag_19_median_stratZ50ndj04', '20_lag_traDS', '14_lag_traCA', '15_lag_ismPRjja', '14_lag_amo1', '14_lag_16_median_traFS', '14_lag_22_median_nhSICsep', '14_lag_17_median_shSICmar', '15_lag_traFB', '19_lag_gyreSSTjfm', '14_lag_23_median_shTSjfm', '14_lag_19_median_scpPSLjfm', '14_lag_18_median_tripol1', '14_lag_15_median_amo2', '22_lag_traDP', '16_lag_amo2', '14_lag_19_median_nhSICjfm', '14_lag_23_median_nchinaPRjja', '19_lag_tripol2', '14_lag_17_median_amoSSTmjjaso']","[0.8548035886007277, 4.604398873258568, 0.9965910249358441, 6.225442415251061, 2.9489771308543773, 5.419504499005935, 7.170817478057128, 4.973074648148101, 6.461780578780502, 6.879803987208937, 7.357270960518775, 2.8301738509417156, 3.7036668274381235, 0.6124171117886839, 1.091891052494523, 4.270534850559722, 8.535811235410286, 1.8480421760139816, 4.890862379719209, 1.4172107738780237, 8.156284395442377, 0.8718461988506672, 1.9112012089694446, 7.674696059109096, 2.835475903792819, 6.599301799106636, 0.7049154895588927, 2.4604432398095675, 9.114179267370506, 6.693720128551867]","14_lag_22_median_shTSjfm, 20_lag_traIFC, 15_lag_eurPSLjfm, 14_lag_20_median_alpi, 22_lag_traIT, 15_lag_tripol1, 18_lag_amo3, 23_lag_shSICmar, 14_lag_21_median_mhfATL45, 14_lag_traFSC, 14_lag_19_median_stratZ50ndj04, 20_lag_traDS, 14_lag_traCA, 15_lag_ismPRjja, 14_lag_amo1, 14_lag_16_median_traFS, 14_lag_22_median_nhSICsep, 14_lag_17_median_shSICmar, 15_lag_traFB, 19_lag_gyreSSTjfm, 14_lag_23_median_shTSjfm, 14_lag_19_median_scpPSLjfm, 14_lag_18_median_tripol1, 14_lag_15_median_amo2, 22_lag_traDP, 16_lag_amo2, 14_lag_19_median_nhSICjfm, 14_lag_23_median_nchinaPRjja, 19_lag_tripol2, 14_lag_17_median_amoSSTmjjaso_1235_14"
