model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,ensoSSTjfm,slow,866.5,2005.5,0.8,15,1,1,12.638851335670354,0.247080246232432,1755,"['1_lag_5_median_atlSICsep', '13_lag_AMOCann', '1_lag_10_median_stratZ50ndj01', '1_lag_12_median_gyreSSTjfm', '1_lag_ensoSSTjfm', '1_lag_traIT']","[0.08656752366612586, 0.0534560586672582, 0.14981634467350624, 0.07033935756722862, 0.15503236910547025, 0.6644501747839138]","1_lag_5_median_atlSICsep, 13_lag_AMOCann, 1_lag_10_median_stratZ50ndj01, 1_lag_12_median_gyreSSTjfm, 1_lag_ensoSSTjfm, 1_lag_traIT_1755_1"
LinearRegression,1,6,ensoSSTjfm,slow,867.5,2005.5,0.8,16,1,1,12.547872584522315,0.25277905046392946,1885,"['1_lag_4_median_atlSICjfm', '5_lag_mhfATL60', '5_lag_naoPSLjfm', '7_lag_gyreSSTjfm', '1_lag_ensoSSTjfm', '1_lag_traIT']","[0.11143785352349093, 0.002021228929079799, 0.011703868572326349, 0.0479201388494345, 0.15802049532641713, 0.6636843810227124]","1_lag_4_median_atlSICjfm, 5_lag_mhfATL60, 5_lag_naoPSLjfm, 7_lag_gyreSSTjfm, 1_lag_ensoSSTjfm, 1_lag_traIT_1885_1"
LinearRegression,2,6,ensoSSTjfm,slow,868.5,2005.5,0.8,17,1,1,12.158906657568055,0.33158568125578525,2015,"['7_lag_gyreSSTjfm', '11_lag_AMOCann', '12_lag_labSSTjfm', '1_lag_nppc2SSTjfm', '1_lag_ensoSSTjfm', '1_lag_traIT']","[0.05612046497971759, 0.06647591421342938, 0.0047782793837016216, 0.19723722210152692, 0.1445944392208336, 0.6395237161082363]","7_lag_gyreSSTjfm, 11_lag_AMOCann, 12_lag_labSSTjfm, 1_lag_nppc2SSTjfm, 1_lag_ensoSSTjfm, 1_lag_traIT_2015_1"
LinearRegression,3,6,ensoSSTjfm,slow,869.5,2005.5,0.8,18,1,1,12.154225266490014,0.3357640793084234,2145,"['5_lag_wnorPRjfm', '10_lag_mhfIP30', '12_lag_labSSTjfm', '1_lag_nppc2SSTjfm', '1_lag_ensoSSTjfm', '1_lag_traIT']","[0.003385453707556424, 0.038433004354186895, 0.005944914144932249, 0.19520626833384788, 0.14153946688137461, 0.6365857348757031]","5_lag_wnorPRjfm, 10_lag_mhfIP30, 12_lag_labSSTjfm, 1_lag_nppc2SSTjfm, 1_lag_ensoSSTjfm, 1_lag_traIT_2145_1"
LinearRegression,4,6,ensoSSTjfm,slow,870.5,2005.5,0.8,19,1,1,12.164019876716873,0.3357085922225836,2275,"['5_lag_wnorPRjfm', '12_lag_labSSTjfm', '10_lag_mhfIP30', '1_lag_ensoSSTjfm', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.0017379894525379315, 0.006404910745467313, 0.03684791320780896, 0.14254855982009287, 0.1964150057833584, 0.6382663465479237]","5_lag_wnorPRjfm, 12_lag_labSSTjfm, 10_lag_mhfIP30, 1_lag_ensoSSTjfm, 1_lag_nppc2SSTjfm, 1_lag_traIT_2275_1"
LinearRegression,5,6,ensoSSTjfm,slow,871.5,2005.5,0.8,20,1,1,12.379271874872636,0.32289348081426383,2405,"['1_lag_traTLS', '5_lag_wnorPRjfm', '5_lag_naoPSLjfm', '1_lag_ensoSSTjfm', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.1614467555795465, 0.07717357989960671, 0.0814021782491399, 0.12534070345988, 0.1940156151179141, 0.5176456653516602]","1_lag_traTLS, 5_lag_wnorPRjfm, 5_lag_naoPSLjfm, 1_lag_ensoSSTjfm, 1_lag_nppc2SSTjfm, 1_lag_traIT_2405_1"
LinearRegression,6,6,ensoSSTjfm,slow,872.5,2005.5,0.8,21,1,1,12.47211315066733,0.3095740285255868,2535,"['17_lag_traDP', '5_lag_naoPSLjfm', '1_lag_ensoSSTjfm', '1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_traIT']","[0.04739111508510508, 0.021173372319354233, 0.1286943101087698, 0.15527129040265297, 0.19427556378009467, 0.5274424384160759]","17_lag_traDP, 5_lag_naoPSLjfm, 1_lag_ensoSSTjfm, 1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_traIT_2535_1"
LinearRegression,7,6,ensoSSTjfm,slow,873.5,2005.5,0.8,22,2,2,13.924168390286297,-0.4125563088734966,2535,"['2_lag_5_median_stratZ50ndj02', '19_lag_neurTSjfm', '17_lag_traMC', '2_lag_traIT', '2_lag_traTLS', '15_lag_traDP']","[0.02146778208659951, 0.04505403805120887, 0.08091682724768819, 0.13061213983757386, 0.1294198743673085, 0.01067450030115991]","2_lag_5_median_stratZ50ndj02, 19_lag_neurTSjfm, 17_lag_traMC, 2_lag_traIT, 2_lag_traTLS, 15_lag_traDP_2535_2"
LinearRegression,8,6,ensoSSTjfm,slow,874.5,2005.5,0.8,23,3,3,12.480651995372417,0.17351589135942516,2535,"['8_lag_shSICmar', '3_lag_6_median_eapPSLjfm', '6_lag_amo1', '15_lag_traDP', '19_lag_neurTSjfm', '12_lag_nhSICsep']","[0.012787034687798744, 0.0077501438361959, 0.04904382282376777, 0.018007593886616775, 0.049277283426079885, 0.09403789241294719]","8_lag_shSICmar, 3_lag_6_median_eapPSLjfm, 6_lag_amo1, 15_lag_traDP, 19_lag_neurTSjfm, 12_lag_nhSICsep_2535_3"
LinearRegression,9,6,ensoSSTjfm,slow,875.5,2005.5,0.8,24,4,4,12.138447277724172,0.2872184578677821,2535,"['10_lag_arcTSjfm', '14_lag_amo1', '4_lag_shSICsep', '19_lag_neurTSjfm', '15_lag_traDP', '12_lag_nhSICsep']","[0.011850331419732454, 0.1084538739638298, 0.00758850520085191, 0.05783863518533628, 0.020549491824063022, 0.08931938097384068]","10_lag_arcTSjfm, 14_lag_amo1, 4_lag_shSICsep, 19_lag_neurTSjfm, 15_lag_traDP, 12_lag_nhSICsep_2535_4"
