model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,eurPSLjfm,slow,1714.5,2005.5,0.6,15,1,1,16.02159020859961,-0.19717449254968986,594,"['8_lag_stratZ50ndj03', '1_lag_3_median_eurPSLjfm', '9_lag_stratZ50ndj01', '7_lag_atlSICsep', '1_lag_10_median_amoSSTjfm', '1_lag_atlSICjfm']","[2.1428147832833835, 2.773476983277939, 2.1429284708721745, 2.1412174079866224, 2.0801077374584986, 2.1420370202385466]","8_lag_stratZ50ndj03, 1_lag_3_median_eurPSLjfm, 9_lag_stratZ50ndj01, 7_lag_atlSICsep, 1_lag_10_median_amoSSTjfm, 1_lag_atlSICjfm_594_1"
LRforcedPSO,1,6,eurPSLjfm,slow,1715.5,2005.5,0.6,16,1,1,15.570578875052394,0.014952903184816227,638,"['1_lag_6_median_naoPSLjfm', '1_lag_13_median_nhSICsep', '10_lag_amo3', '1_lag_6_median_stratZ50ndj02', '1_lag_9_median_nppc2SSTjfm', '14_lag_atlSICsep']","[0.6993814032169166, 0.17624098204817074, 5.486139294282088, 0.23130100210804017, 1.2397036685999154, 1.0310735323445357]","1_lag_6_median_naoPSLjfm, 1_lag_13_median_nhSICsep, 10_lag_amo3, 1_lag_6_median_stratZ50ndj02, 1_lag_9_median_nppc2SSTjfm, 14_lag_atlSICsep_638_1"
LRforcedPSO,2,6,eurPSLjfm,slow,1716.5,2005.5,0.6,17,1,1,18.78703286876084,0.030245044630062418,682,"['5_lag_amoSSTjfm', '1_lag_5_median_nhSICjfm', '7_lag_nppc2SSTjfm', '6_lag_nhSICsep', '1_lag_2_median_stratZ50ndj02', '1_lag_2_median_shSICsep']","[6.8643058117686735, 0.7363451553581157, 1.967835252915906, 0.9874351420597023, 5.879865282945074, 2.7977193216669676]","5_lag_amoSSTjfm, 1_lag_5_median_nhSICjfm, 7_lag_nppc2SSTjfm, 6_lag_nhSICsep, 1_lag_2_median_stratZ50ndj02, 1_lag_2_median_shSICsep_682_1"
LRforcedPSO,3,6,eurPSLjfm,slow,1717.5,2005.5,0.6,18,1,1,14.965711528094268,0.0006912251671226544,726,"['8_lag_stratZ50ndj04', '1_lag_3_median_nhSICjfm', '1_lag_stratZ50ndj01', '10_lag_AMOCann', '1_lag_9_median_stratZ50ndj02', '1_lag_7_median_amo1']","[1.8176385907591694, 1.8082474982890058, 1.8080261856421291, 1.814334756921729, 2.409976488566296, 1.8099284290180049]","8_lag_stratZ50ndj04, 1_lag_3_median_nhSICjfm, 1_lag_stratZ50ndj01, 10_lag_AMOCann, 1_lag_9_median_stratZ50ndj02, 1_lag_7_median_amo1_726_1"
LRforcedPSO,4,6,eurPSLjfm,slow,1718.5,2005.5,0.6,19,1,1,14.72332598556894,0.09378324378732486,770,"['1_lag_5_median_amo3', '1_lag_8_median_atlSICjfm', '4_lag_amo2', '5_lag_shSICmar', '13_lag_stratZ50ndj01', '1_lag_6_median_amo3']","[1.8208353367125305, 0.17592013345683277, 3.747817577904467, 1.9262207019119195, 2.198569804250785, 1.792932265607643]","1_lag_5_median_amo3, 1_lag_8_median_atlSICjfm, 4_lag_amo2, 5_lag_shSICmar, 13_lag_stratZ50ndj01, 1_lag_6_median_amo3_770_1"
LRforcedPSO,5,6,eurPSLjfm,slow,1719.5,2005.5,0.6,20,1,1,15.747901076469535,-0.18023585363373093,814,"['1_lag_12_median_nhSICsep', '10_lag_atlSICsep', '14_lag_shSICmar', '1_lag_12_median_shSICsep', '2_lag_nhSICjfm', '10_lag_solFORC']","[1.930422776211436, 2.5485319517319107, 1.9282576858316538, 2.246105257792687, 1.9282579262985735, 2.571010227927525]","1_lag_12_median_nhSICsep, 10_lag_atlSICsep, 14_lag_shSICmar, 1_lag_12_median_shSICsep, 2_lag_nhSICjfm, 10_lag_solFORC_814_1"
LRforcedPSO,6,6,eurPSLjfm,slow,1720.5,2005.5,0.6,21,1,1,14.83725003357197,0.09778659258487009,858,"['5_lag_stratZ50ndj01', '1_lag_9_median_eurPSLjfm', '12_lag_eurPSLjfm', '19_lag_amo2', '15_lag_atlSICsep', '1_lag_scpPSLjfm']","[2.264295740834994, 2.029914977989609, 5.113710197380817, 4.799753526051662, 0.46246596845123555, 0.1938681660882473]","5_lag_stratZ50ndj01, 1_lag_9_median_eurPSLjfm, 12_lag_eurPSLjfm, 19_lag_amo2, 15_lag_atlSICsep, 1_lag_scpPSLjfm_858_1"
LRforcedPSO,7,6,eurPSLjfm,slow,1721.5,2005.5,0.6,22,2,2,16.81945488653872,-0.023093366431288488,858,"['20_lag_eurPSLjfm', '10_lag_nhSICjfm', '2_lag_4_median_AMOCann', '4_lag_eurPSLjfm', '2_lag_12_median_naoPSLjfm', '2_lag_21_median_amo1']","[1.0407762313382527, 5.421565400134698, 1.1074515337553326, 5.216401875781159, 1.3086679575812443, 0.4245350891812354]","20_lag_eurPSLjfm, 10_lag_nhSICjfm, 2_lag_4_median_AMOCann, 4_lag_eurPSLjfm, 2_lag_12_median_naoPSLjfm, 2_lag_21_median_amo1_858_2"
LRforcedPSO,8,6,eurPSLjfm,slow,1722.5,2005.5,0.6,23,3,3,15.948406240799903,0.02420541654353911,858,"['3_lag_4_median_atlSICjfm', '3_lag_17_median_stratZ50ndj02', '5_lag_naoPSLjfm', '3_lag_6_median_stratZ50ndj03', '3_lag_18_median_atlSICsep', '17_lag_AMOCann']","[0.5680103824151761, 5.5287407230990055, 3.5007369239400106, 0.03828793969007904, 2.3186489000779975, 5.933326590936719]","3_lag_4_median_atlSICjfm, 3_lag_17_median_stratZ50ndj02, 5_lag_naoPSLjfm, 3_lag_6_median_stratZ50ndj03, 3_lag_18_median_atlSICsep, 17_lag_AMOCann_858_3"
LRforcedPSO,9,6,eurPSLjfm,slow,1723.5,2005.5,0.6,24,4,4,19.103826604418327,-0.07212788810655565,858,"['20_lag_nppc2SSTjfm', '4_lag_14_median_stratZ50ndj04', '4_lag_20_median_shSICsep', '11_lag_nhSICjfm', '4_lag_17_median_amoSSTmjjaso', '4_lag_6_median_eurPSLjfm']","[0.07726588798220746, 2.810510044505323, 1.3497589822809495, 2.031891774343581, 3.746976324216207, 1.145640343590781]","20_lag_nppc2SSTjfm, 4_lag_14_median_stratZ50ndj04, 4_lag_20_median_shSICsep, 11_lag_nhSICjfm, 4_lag_17_median_amoSSTmjjaso, 4_lag_6_median_eurPSLjfm_858_4"
