model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,eurPSLjfm,slow,866.5,2005.5,0.4,15,1,1,13.198921075179886,-0.04078535131424418,1755,"['3_lag_ismPRjja', '1_lag_5_median_glomaSSTjfm', '5_lag_wnorPRjfm', '8_lag_stratZ50ndj02', '1_lag_14_median_labSSTjfm', '14_lag_mhfATL45']","[5.541884387098184, 1.4447000975515927, 1.7815725870880534, 0.9767760298909689, 0.9588161007237659, 5.601879707337718]","3_lag_ismPRjja, 1_lag_5_median_glomaSSTjfm, 5_lag_wnorPRjfm, 8_lag_stratZ50ndj02, 1_lag_14_median_labSSTjfm, 14_lag_mhfATL45_1755_1"
LRforcedPSO,1,6,eurPSLjfm,slow,867.5,2005.5,0.4,16,1,1,11.678892610535287,0.00798636746961345,1885,"['1_lag_15_median_traEC', '7_lag_naoPSLjfm', '11_lag_traFB', '10_lag_scpPSLjfm', '1_lag_stratZ50ndj01', '1_lag_11_median_pdoSSTjfm']","[1.105324596722685, 1.5658795873847993, 1.0110639923738152, 1.0034235466244912, 1.55055460163382, 3.366208590487645]","1_lag_15_median_traEC, 7_lag_naoPSLjfm, 11_lag_traFB, 10_lag_scpPSLjfm, 1_lag_stratZ50ndj01, 1_lag_11_median_pdoSSTjfm_1885_1"
LRforcedPSO,2,6,eurPSLjfm,slow,868.5,2005.5,0.4,17,1,1,13.563819124032634,0.010955046345440025,2015,"['6_lag_stratZ50ndj03', '1_lag_8_median_glomaSSTjfm', '1_lag_7_median_scpPSLjfm', '8_lag_nppc3SSTjfm', '1_lag_mhfIP30', '1_lag_14_median_shSICsep']","[4.673526738518079, 3.431604410229707, 1.0355537565949309, 1.9700499711332178, 5.709386545532919, 0.9516127387989677]","6_lag_stratZ50ndj03, 1_lag_8_median_glomaSSTjfm, 1_lag_7_median_scpPSLjfm, 8_lag_nppc3SSTjfm, 1_lag_mhfIP30, 1_lag_14_median_shSICsep_2015_1"
LRforcedPSO,3,6,eurPSLjfm,slow,869.5,2005.5,0.4,18,1,1,12.562293063880704,-0.10102417715490256,2145,"['9_lag_wnorPRjfm', '16_lag_nppc3SSTjfm', '6_lag_stratZ50ndj04', '1_lag_6_median_mhfATL30', '14_lag_mhfIP30', '1_lag_12_median_ensoSSTjfm']","[1.2184508265216465, 0.6235261166881756, 4.58491179089533, 0.9416387169250111, 2.9504554616342666, 2.473587287375196]","9_lag_wnorPRjfm, 16_lag_nppc3SSTjfm, 6_lag_stratZ50ndj04, 1_lag_6_median_mhfATL30, 14_lag_mhfIP30, 1_lag_12_median_ensoSSTjfm_2145_1"
LRforcedPSO,4,6,eurPSLjfm,slow,870.5,2005.5,0.4,19,1,1,11.95416393607011,0.04959186695479752,2275,"['1_lag_8_median_cetTSjfm', '1_lag_5_median_seurTSjfm', '1_lag_4_median_pdoSSTjfm', '8_lag_shSICsep', '1_lag_10_median_mhfATL60', '1_lag_7_median_arcTSjfm']","[2.685868278303411, 2.9051872135321775, 2.646761755420781, 2.6456970218544344, 3.232797062381873, 3.5275865615003887]","1_lag_8_median_cetTSjfm, 1_lag_5_median_seurTSjfm, 1_lag_4_median_pdoSSTjfm, 8_lag_shSICsep, 1_lag_10_median_mhfATL60, 1_lag_7_median_arcTSjfm_2275_1"
LRforcedPSO,5,6,eurPSLjfm,slow,871.5,2005.5,0.4,20,1,1,13.057626652642693,0.020910804746569114,2405,"['14_lag_yrvPRjja', '17_lag_mhfATL45', '12_lag_mhfATL45', '4_lag_traBS', '17_lag_yrvPRjja', '1_lag_ensoSSTjfm']","[1.5719232510445345, 0.4073984546100782, 0.40327932529078403, 5.845502390687457, 0.5677029043387911, 5.350972393798228]","14_lag_yrvPRjja, 17_lag_mhfATL45, 12_lag_mhfATL45, 4_lag_traBS, 17_lag_yrvPRjja, 1_lag_ensoSSTjfm_2405_1"
LRforcedPSO,6,6,eurPSLjfm,slow,872.5,2005.5,0.4,21,1,1,14.033737548424162,-0.0070866579085069725,2535,"['2_lag_traFSC', '1_lag_12_median_pdoSSTjfm', '1_lag_13_median_tripol1', '1_lag_14_median_alpi', '1_lag_18_median_nhTSjfm', '4_lag_gyreSSTjfm']","[1.3407595087060393, 5.286587398773543, 2.95963723692765, 5.1180060215541845, 4.500476124380586, 0.11157154305086436]","2_lag_traFSC, 1_lag_12_median_pdoSSTjfm, 1_lag_13_median_tripol1, 1_lag_14_median_alpi, 1_lag_18_median_nhTSjfm, 4_lag_gyreSSTjfm_2535_1"
LRforcedPSO,7,6,eurPSLjfm,slow,873.5,2005.5,0.4,22,1,1,14.19121969223938,-0.0761309377819938,2665,"['9_lag_stratZ50ndj01', '1_lag_17_median_nhSICjfm', '1_lag_12_median_solFORC', '4_lag_ismPRjja', '17_lag_satlSSTjfm', '17_lag_arcTSjfm']","[3.764255921036705, 5.408053759280449, 0.2493427457406927, 3.766349609832897, 0.93791905009879, 2.724024832659248]","9_lag_stratZ50ndj01, 1_lag_17_median_nhSICjfm, 1_lag_12_median_solFORC, 4_lag_ismPRjja, 17_lag_satlSSTjfm, 17_lag_arcTSjfm_2665_1"
LRforcedPSO,8,6,eurPSLjfm,slow,874.5,2005.5,0.4,23,1,1,12.98384973778921,-0.009304427455328494,2795,"['11_lag_arcTSjfm', '1_lag_10_median_traMC', '1_lag_22_median_traWP', '16_lag_traBS', '1_lag_13_median_traIT', '1_lag_4_median_eurPSLjfm']","[2.7085041998026416, 0.9085935617890541, 0.8996563474462889, 2.277635628134192, 2.6356985920490867, 6.211616233850755]","11_lag_arcTSjfm, 1_lag_10_median_traMC, 1_lag_22_median_traWP, 16_lag_traBS, 1_lag_13_median_traIT, 1_lag_4_median_eurPSLjfm_2795_1"
LRforcedPSO,9,6,eurPSLjfm,slow,875.5,2005.5,0.4,24,1,1,11.505420100222128,0.0013819245905232974,2925,"['1_lag_14_median_ismPRjja', '1_lag_17_median_amo2', '1_lag_16_median_nchinaPRjja', '1_lag_21_median_arcTSjfm', '1_lag_21_median_stratZ50ndj01', '9_lag_traEU']","[1.2647710406874264, 0.6892041535690989, 1.5279577870469385, 1.0233433146867874, 2.7168210801278363, 2.5446613574597663]","1_lag_14_median_ismPRjja, 1_lag_17_median_amo2, 1_lag_16_median_nchinaPRjja, 1_lag_21_median_arcTSjfm, 1_lag_21_median_stratZ50ndj01, 9_lag_traEU_2925_1"
