model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,eurPSLjfm,slow,1514.5,2005.5,0.6,15,1,1,13.322265308152607,0.09133630818216266,594,"['12_lag_amo2', '7_lag_nppc2SSTjfm', '1_lag_8_median_eapPSLjfm', '1_lag_5_median_scpPSLjfm', '8_lag_amo2', '1_lag_5_median_stratZ50ndj04', '1_lag_7_median_stratZ50ndj01', '5_lag_atlSICjfm', '1_lag_4_median_stratZ50ndj04', '1_lag_4_median_AMOCann']","[0.2238945271429649, 0.04698082177914948, 0.20214764782406103, 0.036113963270438344, 0.17530087134829392, 0.08827000314460776, 0.01220490578552566, 0.0026465804983787063, 0.16378287437736436, 0.059104301852716465]","12_lag_amo2, 7_lag_nppc2SSTjfm, 1_lag_8_median_eapPSLjfm, 1_lag_5_median_scpPSLjfm, 8_lag_amo2, 1_lag_5_median_stratZ50ndj04, 1_lag_7_median_stratZ50ndj01, 5_lag_atlSICjfm, 1_lag_4_median_stratZ50ndj04, 1_lag_4_median_AMOCann_594_1"
LinearRegression,1,10,eurPSLjfm,slow,1515.5,2005.5,0.6,16,1,1,13.366294199181517,0.031704782395661955,638,"['1_lag_eurPSLjfm', '13_lag_AMOCann', '1_lag_4_median_nppc2SSTjfm', '4_lag_eapPSLjfm', '7_lag_nppc2SSTjfm', '1_lag_5_median_scpPSLjfm', '1_lag_7_median_stratZ50ndj01', '4_lag_amoSSTmjjaso', '1_lag_4_median_AMOCann', '1_lag_4_median_stratZ50ndj04']","[0.06777769681507984, 0.10873873214117091, 0.02302749454581868, 0.060119148227357054, 0.033842110854949335, 0.0001282746122653819, 0.03257861393797034, 0.0644641005222627, 0.0550262024448756, 0.2477883209891138]","1_lag_eurPSLjfm, 13_lag_AMOCann, 1_lag_4_median_nppc2SSTjfm, 4_lag_eapPSLjfm, 7_lag_nppc2SSTjfm, 1_lag_5_median_scpPSLjfm, 1_lag_7_median_stratZ50ndj01, 4_lag_amoSSTmjjaso, 1_lag_4_median_AMOCann, 1_lag_4_median_stratZ50ndj04_638_1"
LinearRegression,2,10,eurPSLjfm,slow,1516.5,2005.5,0.6,17,1,1,12.968906198228856,0.12036805054072008,682,"['9_lag_amoSSTmjjaso', '1_lag_4_median_nppc2SSTjfm', '6_lag_stratZ50ndj04', '1_lag_5_median_scpPSLjfm', '1_lag_8_median_nppc2SSTjfm', '8_lag_shSICsep', '10_lag_shSICsep', '1_lag_4_median_AMOCann', '4_lag_amoSSTmjjaso', '1_lag_4_median_stratZ50ndj04']","[0.2396001606748795, 0.07221714515381708, 0.13603315424926896, 0.005290411255761462, 0.20827186937685824, 0.023816173384300837, 0.08040503384684031, 0.015418288905052504, 0.030995396104920497, 0.21197542962095697]","9_lag_amoSSTmjjaso, 1_lag_4_median_nppc2SSTjfm, 6_lag_stratZ50ndj04, 1_lag_5_median_scpPSLjfm, 1_lag_8_median_nppc2SSTjfm, 8_lag_shSICsep, 10_lag_shSICsep, 1_lag_4_median_AMOCann, 4_lag_amoSSTmjjaso, 1_lag_4_median_stratZ50ndj04_682_1"
LinearRegression,3,10,eurPSLjfm,slow,1517.5,2005.5,0.6,18,1,1,12.909894471566767,0.14153866758926462,726,"['9_lag_amoSSTmjjaso', '8_lag_shSICsep', '6_lag_nppc2SSTjfm', '6_lag_stratZ50ndj04', '1_lag_4_median_AMOCann', '4_lag_amoSSTmjjaso', '10_lag_shSICsep', '12_lag_amo2', '1_lag_amoSSTmjjaso', '1_lag_4_median_stratZ50ndj04']","[0.19454772119040714, 0.002899841366084093, 0.11049696385104482, 0.15620709557734297, 0.058388425072765156, 0.023251514471334597, 0.08862241008413195, 0.24987643209696578, 0.06290919360229927, 0.17699192725531002]","9_lag_amoSSTmjjaso, 8_lag_shSICsep, 6_lag_nppc2SSTjfm, 6_lag_stratZ50ndj04, 1_lag_4_median_AMOCann, 4_lag_amoSSTmjjaso, 10_lag_shSICsep, 12_lag_amo2, 1_lag_amoSSTmjjaso, 1_lag_4_median_stratZ50ndj04_726_1"
LinearRegression,4,10,eurPSLjfm,slow,1518.5,2005.5,0.6,19,1,1,13.151877621863372,0.13063131558137267,770,"['8_lag_amo1', '6_lag_stratZ50ndj04', '1_lag_4_median_AMOCann', '12_lag_nhSICsep', '1_lag_4_median_stratZ50ndj04', '5_lag_amo2', '6_lag_nppc2SSTjfm', '7_lag_nppc2SSTjfm', '8_lag_shSICsep', '12_lag_amo2']","[0.0005594760261124652, 0.17892870546922618, 0.054513697735139685, 0.11263800516438054, 0.16473929834295925, 0.08098498817194297, 0.1910113625232821, 0.11560075644845497, 0.02208986867651637, 0.2437089102194789]","8_lag_amo1, 6_lag_stratZ50ndj04, 1_lag_4_median_AMOCann, 12_lag_nhSICsep, 1_lag_4_median_stratZ50ndj04, 5_lag_amo2, 6_lag_nppc2SSTjfm, 7_lag_nppc2SSTjfm, 8_lag_shSICsep, 12_lag_amo2_770_1"
LinearRegression,5,10,eurPSLjfm,slow,1519.5,2005.5,0.6,20,1,1,13.275871192709118,-0.04063292168855787,814,"['15_lag_shSICsep', '5_lag_AMOCann', '19_lag_atlSICjfm', '19_lag_nhSICjfm', '18_lag_atlSICsep', '8_lag_shSICsep', '1_lag_eurPSLjfm', '8_lag_amo1', '7_lag_nppc2SSTjfm', '12_lag_amo2']","[0.07344175619483846, 0.047403619519135354, 0.18906891380363164, 0.08319644133178083, 0.0799551958846999, 0.00972917953529192, 0.04846240595434468, 0.032385599823595665, 0.038797170858564795, 0.2373329250370153]","15_lag_shSICsep, 5_lag_AMOCann, 19_lag_atlSICjfm, 19_lag_nhSICjfm, 18_lag_atlSICsep, 8_lag_shSICsep, 1_lag_eurPSLjfm, 8_lag_amo1, 7_lag_nppc2SSTjfm, 12_lag_amo2_814_1"
LinearRegression,6,10,eurPSLjfm,slow,1520.5,2005.5,0.6,21,1,1,13.738765798440523,0.0560916647352745,858,"['12_lag_nhSICsep', '5_lag_atlSICjfm', '4_lag_amoSSTmjjaso', '8_lag_amo1', '6_lag_nppc2SSTjfm', '16_lag_naoPSLjfm', '1_lag_eurPSLjfm', '12_lag_amo2', '7_lag_nppc2SSTjfm', '8_lag_shSICsep']","[0.1438343126959473, 0.015218511573348005, 0.01912994541440411, 0.002324928406908985, 0.16279043591303885, 0.13515596743337285, 0.05333097499925247, 0.18687899149618806, 0.09688989033766555, 0.005353723528462337]","12_lag_nhSICsep, 5_lag_atlSICjfm, 4_lag_amoSSTmjjaso, 8_lag_amo1, 6_lag_nppc2SSTjfm, 16_lag_naoPSLjfm, 1_lag_eurPSLjfm, 12_lag_amo2, 7_lag_nppc2SSTjfm, 8_lag_shSICsep_858_1"
LinearRegression,7,10,eurPSLjfm,slow,1521.5,2005.5,0.6,22,2,5,13.149863097936489,0.016974639393912222,858,"['5_lag_amo2', '9_lag_shSICsep', '9_lag_amo1', '13_lag_amo2', '12_lag_stratZ50ndj04', '16_lag_amo1', '15_lag_nhSICjfm', '8_lag_shSICsep', '12_lag_amo2', '7_lag_nppc2SSTjfm']","[0.05332221911284741, 0.08461236719830481, 0.09374499644887495, 0.19817364059249587, 0.004042278026986662, 0.23031656829679323, 0.024030123648789734, 0.0038861456131033534, 0.3853800692163689, 0.03971210927818582]","5_lag_amo2, 9_lag_shSICsep, 9_lag_amo1, 13_lag_amo2, 12_lag_stratZ50ndj04, 16_lag_amo1, 15_lag_nhSICjfm, 8_lag_shSICsep, 12_lag_amo2, 7_lag_nppc2SSTjfm_858_5"
LinearRegression,8,10,eurPSLjfm,slow,1522.5,2005.5,0.6,23,3,6,13.095332113721279,0.06433898812101445,858,"['8_lag_nppc2SSTjfm', '9_lag_shSICsep', '6_lag_stratZ50ndj04', '16_lag_amo1', '7_lag_nppc2SSTjfm', '8_lag_stratZ50ndj02', '13_lag_amo2', '9_lag_amo1', '12_lag_amo2', '8_lag_shSICsep']","[0.08685779592484606, 0.0955009871559112, 0.13747281988444934, 0.2078056379596549, 0.007695967645151694, 0.01679390291782064, 0.22771727072408482, 0.08183805767040336, 0.4327712421901719, 0.02291004887602191]","8_lag_nppc2SSTjfm, 9_lag_shSICsep, 6_lag_stratZ50ndj04, 16_lag_amo1, 7_lag_nppc2SSTjfm, 8_lag_stratZ50ndj02, 13_lag_amo2, 9_lag_amo1, 12_lag_amo2, 8_lag_shSICsep_858_6"
LinearRegression,9,10,eurPSLjfm,slow,1523.5,2005.5,0.6,24,4,4,13.352853383242708,0.015776033437693248,858,"['8_lag_stratZ50ndj02', '4_lag_nppc2SSTjfm', '8_lag_nppc2SSTjfm', '9_lag_amoSSTmjjaso', '9_lag_shSICsep', '21_lag_stratZ50ndj01', '8_lag_shSICsep', '13_lag_amo2', '12_lag_amo2', '16_lag_amo1']","[0.018354126894373542, 0.15120536520316313, 0.05530527982612826, 0.09252057503795273, 0.10099561832293194, 0.06518997173692344, 0.03523632773965331, 0.19747124554590073, 0.3992038839640223, 0.21113198027678654]","8_lag_stratZ50ndj02, 4_lag_nppc2SSTjfm, 8_lag_nppc2SSTjfm, 9_lag_amoSSTmjjaso, 9_lag_shSICsep, 21_lag_stratZ50ndj01, 8_lag_shSICsep, 13_lag_amo2, 12_lag_amo2, 16_lag_amo1_858_4"
LinearRegression,10,10,eurPSLjfm,slow,1524.5,2005.5,0.6,25,5,5,12.925659832740132,0.09442616352211727,858,"['8_lag_shSICsep', '9_lag_shSICsep', '23_lag_nhSICjfm', '22_lag_nhSICsep', '5_lag_atlSICjfm', '10_lag_stratZ50ndj02', '5_lag_amoSSTmjjaso', '21_lag_stratZ50ndj01', '16_lag_amo1', '5_lag_amo2']","[0.008062042379674696, 0.0902240311508051, 0.022782274417621033, 0.09089619220803581, 0.010775187126560214, 0.1469455430429558, 0.1039608615888913, 0.05245242518117229, 0.21439580430946809, 0.0019787260713299394]","8_lag_shSICsep, 9_lag_shSICsep, 23_lag_nhSICjfm, 22_lag_nhSICsep, 5_lag_atlSICjfm, 10_lag_stratZ50ndj02, 5_lag_amoSSTmjjaso, 21_lag_stratZ50ndj01, 16_lag_amo1, 5_lag_amo2_858_5"
LinearRegression,11,10,eurPSLjfm,slow,1525.5,2005.5,0.6,26,6,8,13.255874420344867,0.008792598580262958,858,"['25_lag_shSICsep', '23_lag_nhSICsep', '9_lag_stratZ50ndj03', '21_lag_stratZ50ndj01', '24_lag_atlSICsep', '21_lag_atlSICsep', '8_lag_nppc2SSTjfm', '25_lag_amoSSTmjjaso', '25_lag_nppc2SSTjfm', '16_lag_amo1']","[0.15667183751688174, 0.08999295197387433, 0.09971010238670637, 0.07857732041689083, 0.03993452567441663, 0.14938879112709733, 0.026507241701207926, 0.1610374408319843, 0.03473586287295445, 0.18191081055137134]","25_lag_shSICsep, 23_lag_nhSICsep, 9_lag_stratZ50ndj03, 21_lag_stratZ50ndj01, 24_lag_atlSICsep, 21_lag_atlSICsep, 8_lag_nppc2SSTjfm, 25_lag_amoSSTmjjaso, 25_lag_nppc2SSTjfm, 16_lag_amo1_858_8"
LinearRegression,12,10,eurPSLjfm,slow,1526.5,2005.5,0.6,27,7,7,12.96961052025488,0.060002556775588675,858,"['9_lag_stratZ50ndj04', '15_lag_shSICsep', '23_lag_stratZ50ndj01', '25_lag_amoSSTmjjaso', '14_lag_shSICmar', '25_lag_nppc2SSTjfm', '7_lag_nppc2SSTjfm', '16_lag_amo1', '23_lag_stratZ50ndj04', '23_lag_nhSICjfm']","[0.020008746357591187, 0.009779330154509797, 0.026842167062772336, 0.11576577281825395, 0.14985787050392507, 0.07669554125878805, 0.027461622498836307, 0.1642695677486983, 0.20657188924139885, 0.07627006058511002]","9_lag_stratZ50ndj04, 15_lag_shSICsep, 23_lag_stratZ50ndj01, 25_lag_amoSSTmjjaso, 14_lag_shSICmar, 25_lag_nppc2SSTjfm, 7_lag_nppc2SSTjfm, 16_lag_amo1, 23_lag_stratZ50ndj04, 23_lag_nhSICjfm_858_7"
LinearRegression,13,10,eurPSLjfm,slow,1527.5,2005.5,0.6,28,8,8,13.627549834494701,0.004189273264079651,858,"['25_lag_nppc2SSTjfm', '13_lag_atlSICsep', '8_lag_stratZ50ndj02', '8_lag_13_median_scpPSLjfm', '23_lag_stratZ50ndj01', '21_lag_atlSICsep', '20_lag_AMOCann', '23_lag_stratZ50ndj04', '16_lag_amo1', '23_lag_nhSICjfm']","[0.024293461745361414, 0.21887671274439272, 0.015699323985558025, 0.3069910751588828, 0.030368738483899614, 0.08062120145997166, 0.0042091414764356405, 0.20568766877451522, 0.1995340822162759, 0.015051253378429469]","25_lag_nppc2SSTjfm, 13_lag_atlSICsep, 8_lag_stratZ50ndj02, 8_lag_13_median_scpPSLjfm, 23_lag_stratZ50ndj01, 21_lag_atlSICsep, 20_lag_AMOCann, 23_lag_stratZ50ndj04, 16_lag_amo1, 23_lag_nhSICjfm_858_8"
LinearRegression,14,10,eurPSLjfm,slow,1528.5,2005.5,0.6,29,9,9,13.564494383909311,0.009113558606831752,858,"['26_lag_amoSSTmjjaso', '14_lag_nppc2SSTjfm', '9_lag_amo2', '21_lag_atlSICsep', '22_lag_atlSICsep', '14_lag_atlSICsep', '23_lag_stratZ50ndj04', '23_lag_nhSICjfm', '16_lag_amo1', '28_lag_stratZ50ndj01']","[0.22239353627413083, 0.05746267797784943, 0.24620193986732042, 0.07738489372975361, 0.12548262583541786, 0.036239020907347874, 0.24022143453872252, 0.06997950768226606, 0.20333248016799946, 0.13499863586109162]","26_lag_amoSSTmjjaso, 14_lag_nppc2SSTjfm, 9_lag_amo2, 21_lag_atlSICsep, 22_lag_atlSICsep, 14_lag_atlSICsep, 23_lag_stratZ50ndj04, 23_lag_nhSICjfm, 16_lag_amo1, 28_lag_stratZ50ndj01_858_9"
