model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,eurPSLjfm,slow,1714.5,2005.5,0.4,15,5,5,16.62161101705037,-0.08666628126351764,1235,"['7_lag_stratZ50ndj03', '5_lag_scpPSLjfm', '9_lag_stratZ50ndj01', '8_lag_shSICmar', '9_lag_shSICmar', '9_lag_stratZ50ndj03']","[0.2047534915890262, 0.16316304694013142, 0.16911488992619286, 0.26366765768509826, 0.19405776893905877, 0.17306585562233118]","7_lag_stratZ50ndj03, 5_lag_scpPSLjfm, 9_lag_stratZ50ndj01, 8_lag_shSICmar, 9_lag_shSICmar, 9_lag_stratZ50ndj03_1235_5"
LinearRegression,1,6,eurPSLjfm,slow,1715.5,2005.5,0.4,16,6,9,16.983276710595835,-0.08763268854993941,1235,"['10_lag_atlSICjfm', '9_lag_mhfIP30', '14_lag_stratZ50ndj01', '9_lag_stratZ50ndj03', '9_lag_shSICmar', '15_lag_stratZ50ndj03']","[0.282388794483214, 0.13358878792653034, 0.06191344657693455, 0.15163485217866385, 0.07242983049808784, 0.12233647338853568]","10_lag_atlSICjfm, 9_lag_mhfIP30, 14_lag_stratZ50ndj01, 9_lag_stratZ50ndj03, 9_lag_shSICmar, 15_lag_stratZ50ndj03_1235_9"
LinearRegression,2,6,eurPSLjfm,slow,1716.5,2005.5,0.4,17,7,9,15.318069468316146,0.09227195191758064,1235,"['12_lag_mhfIP30', '11_lag_mhfIP30', '14_lag_stratZ50ndj01', '9_lag_stratZ50ndj03', '15_lag_stratZ50ndj03', '9_lag_shSICmar']","[0.1447508979465144, 0.13223417459386627, 0.022012055674501853, 0.17776965378603926, 0.09301905748972827, 0.06881034093693285]","12_lag_mhfIP30, 11_lag_mhfIP30, 14_lag_stratZ50ndj01, 9_lag_stratZ50ndj03, 15_lag_stratZ50ndj03, 9_lag_shSICmar_1235_9"
LinearRegression,3,6,eurPSLjfm,slow,1717.5,2005.5,0.4,18,8,8,15.317331519648388,-0.01574294893536325,1235,"['11_lag_ismPRjja', '8_lag_9_median_stratZ50ndj03', '9_lag_stratZ50ndj03', '8_lag_stratZ50ndj02', '15_lag_stratZ50ndj03', '14_lag_stratZ50ndj01']","[0.10450511668686904, 0.08970336802750353, 0.08970336802750359, 0.0017779621587648352, 0.08960442690166334, 0.01569721013319457]","11_lag_ismPRjja, 8_lag_9_median_stratZ50ndj03, 9_lag_stratZ50ndj03, 8_lag_stratZ50ndj02, 15_lag_stratZ50ndj03, 14_lag_stratZ50ndj01_1235_8"
LinearRegression,4,6,eurPSLjfm,slow,1718.5,2005.5,0.4,19,9,9,16.8678507610117,-0.03255669279490848,1235,"['12_lag_mhfIP30', '16_lag_nchinaPRjja', '14_lag_stratZ50ndj01', '11_lag_mhfIP30', '9_lag_stratZ50ndj03', '18_lag_wnorPRjfm']","[0.15779281328696573, 0.226783727254144, 0.04515981537223454, 0.1264890792381951, 0.19390090825691111, 0.1880537829144896]","12_lag_mhfIP30, 16_lag_nchinaPRjja, 14_lag_stratZ50ndj01, 11_lag_mhfIP30, 9_lag_stratZ50ndj03, 18_lag_wnorPRjfm_1235_9"
LinearRegression,5,6,eurPSLjfm,slow,1719.5,2005.5,0.4,20,10,10,16.19882716995578,0.02343423444077226,1235,"['17_lag_ismPRjja', '12_lag_mhfIP30', '17_lag_nchinaPRjja', '19_lag_traFB', '10_lag_traBS', '18_lag_wnorPRjfm']","[0.23494653415927264, 0.1885732819824192, 0.028160215167900408, 0.1681249089219291, 0.26347405998983425, 0.20055447099466586]","17_lag_ismPRjja, 12_lag_mhfIP30, 17_lag_nchinaPRjja, 19_lag_traFB, 10_lag_traBS, 18_lag_wnorPRjfm_1235_10"
LinearRegression,6,6,eurPSLjfm,slow,1720.5,2005.5,0.4,21,11,11,17.376682551902245,-0.1697199872972633,1235,"['19_lag_mhfIP30', '11_lag_mhfIP30', '18_lag_wnorPRjfm', '19_lag_traFB', '16_lag_nchinaPRjja', '15_lag_scpPSLjfm']","[0.1417244461383536, 0.17930555334979448, 0.2145998097822206, 0.08180826924327259, 0.22279333447425953, 0.22655493419645065]","19_lag_mhfIP30, 11_lag_mhfIP30, 18_lag_wnorPRjfm, 19_lag_traFB, 16_lag_nchinaPRjja, 15_lag_scpPSLjfm_1235_11"
LinearRegression,7,6,eurPSLjfm,slow,1721.5,2005.5,0.4,22,12,14,16.287519516493088,-0.1546743784505326,1235,"['15_lag_traEU', '14_lag_stratZ50ndj01', '14_lag_shSICsep', '17_lag_traEC', '15_lag_scpPSLjfm', '16_lag_nchinaPRjja']","[0.09591877269102088, 0.07756606194012786, 0.14777031400982973, 0.19239596060452138, 0.1896824973434643, 0.18999553131220098]","15_lag_traEU, 14_lag_stratZ50ndj01, 14_lag_shSICsep, 17_lag_traEC, 15_lag_scpPSLjfm, 16_lag_nchinaPRjja_1235_14"
LinearRegression,8,6,eurPSLjfm,slow,1722.5,2005.5,0.4,23,13,13,15.920330372068507,-0.07218948943979565,1235,"['13_lag_eurPSLjfm', '15_lag_traEU', '18_lag_alpi', '15_lag_scpPSLjfm', '17_lag_traEC', '16_lag_nchinaPRjja']","[0.14163508072802125, 0.09302712022093435, 0.07408976700726141, 0.16830918941110246, 0.1786303192640903, 0.13916479612994434]","13_lag_eurPSLjfm, 15_lag_traEU, 18_lag_alpi, 15_lag_scpPSLjfm, 17_lag_traEC, 16_lag_nchinaPRjja_1235_13"
LinearRegression,9,6,eurPSLjfm,slow,1723.5,2005.5,0.4,24,14,14,16.23526317849304,-0.043453720748762935,1235,"['14_lag_stratZ50ndj01', '23_lag_eurPSLjfm', '23_lag_traBS', '17_lag_traEC', '16_lag_nchinaPRjja', '23_lag_shSICsep']","[0.08016728893842053, 0.051754389211006085, 0.20317974335875583, 0.21519088510969323, 0.19875284905570986, 0.2447976791498272]","14_lag_stratZ50ndj01, 23_lag_eurPSLjfm, 23_lag_traBS, 17_lag_traEC, 16_lag_nchinaPRjja, 23_lag_shSICsep_1235_14"
LinearRegression,10,6,eurPSLjfm,slow,1724.5,2005.5,0.4,25,15,15,16.76760539426639,-0.005354924160780143,1235,"['17_lag_ismPRjja', '17_lag_traEC', '23_lag_traWP', '23_lag_shSICsep', '23_lag_traBS', '15_lag_traEU']","[0.2640036334727349, 0.30173514910412547, 0.24200613099513413, 0.23618212357728555, 0.16177499692380112, 0.11819671785841]","17_lag_ismPRjja, 17_lag_traEC, 23_lag_traWP, 23_lag_shSICsep, 23_lag_traBS, 15_lag_traEU_1235_15"
LinearRegression,11,6,eurPSLjfm,slow,1725.5,2005.5,0.4,26,16,16,15.825422913493409,0.043993352178356045,1235,"['16_lag_17_median_traEC', '17_lag_traEC', '23_lag_shSICsep', '20_lag_nchinaPRjja', '20_lag_ismPRjja', '23_lag_traBS']","[0.11241078557070969, 0.11241078557070969, 0.24534870377139537, 0.13692737954738207, 0.18785739466916918, 0.19063204562518868]","16_lag_17_median_traEC, 17_lag_traEC, 23_lag_shSICsep, 20_lag_nchinaPRjja, 20_lag_ismPRjja, 23_lag_traBS_1235_16"
LinearRegression,12,6,eurPSLjfm,slow,1726.5,2005.5,0.4,27,17,17,16.19308888247219,0.033340900150594883,1235,"['23_lag_eurPSLjfm', '23_lag_traBS', '23_lag_shSICsep', '17_lag_traEC', '26_lag_scpPSLjfm', '26_lag_yrvPRjja']","[0.03970212145532375, 0.2235407346123759, 0.2630102326544741, 0.1743146674242285, 0.15088467900349078, 0.29288539231996535]","23_lag_eurPSLjfm, 23_lag_traBS, 23_lag_shSICsep, 17_lag_traEC, 26_lag_scpPSLjfm, 26_lag_yrvPRjja_1235_17"
LinearRegression,13,6,eurPSLjfm,slow,1727.5,2005.5,0.4,28,18,20,16.07326455708074,0.06368345270669887,1235,"['25_lag_stratZ50ndj01', '23_lag_eurPSLjfm', '23_lag_traBS', '20_lag_ismPRjja', '23_lag_shSICsep', '26_lag_yrvPRjja']","[0.07485685722489582, 0.041955688161684046, 0.24468712544146243, 0.13994922199994375, 0.22723065341997503, 0.32326847236483397]","25_lag_stratZ50ndj01, 23_lag_eurPSLjfm, 23_lag_traBS, 20_lag_ismPRjja, 23_lag_shSICsep, 26_lag_yrvPRjja_1235_20"
LinearRegression,14,6,eurPSLjfm,slow,1728.5,2005.5,0.4,29,19,23,16.140107086775533,0.03361443021716856,1235,"['26_lag_ismPRjja', '26_lag_scpPSLjfm', '23_lag_shSICsep', '24_lag_eurPSLjfm', '26_lag_yrvPRjja', '28_lag_traTLS']","[0.14671772343716946, 0.17817599365366366, 0.24739075377086964, 0.12427975256147591, 0.2308724948742611, 0.0768652355596765]","26_lag_ismPRjja, 26_lag_scpPSLjfm, 23_lag_shSICsep, 24_lag_eurPSLjfm, 26_lag_yrvPRjja, 28_lag_traTLS_1235_23"
LinearRegression,15,6,eurPSLjfm,slow,1729.5,2005.5,0.4,30,20,24,15.777067331888338,0.013765382848207865,1235,"['28_lag_traBO', '26_lag_scpPSLjfm', '24_lag_eurPSLjfm', '29_lag_ismPRjja', '26_lag_yrvPRjja', '28_lag_traTLS']","[0.2411670200466919, 0.13144206743556605, 0.1369229260575799, 0.15901305264433369, 0.23436316736243357, 0.08036957372192902]","28_lag_traBO, 26_lag_scpPSLjfm, 24_lag_eurPSLjfm, 29_lag_ismPRjja, 26_lag_yrvPRjja, 28_lag_traTLS_1235_24"
LinearRegression,16,6,eurPSLjfm,slow,1730.5,2005.5,0.4,31,21,23,16.687603843100216,-0.06776877870066254,1235,"['26_lag_ismPRjja', '25_lag_traEU', '30_lag_traEU', '23_lag_shSICsep', '28_lag_traTLS', '29_lag_ismPRjja']","[0.1547543164456536, 0.14394860122567993, 0.18001281156741758, 0.2329572031623363, 0.08265122475310546, 0.2175396954422638]","26_lag_ismPRjja, 25_lag_traEU, 30_lag_traEU, 23_lag_shSICsep, 28_lag_traTLS, 29_lag_ismPRjja_1235_23"
LinearRegression,17,6,eurPSLjfm,slow,1731.5,2005.5,0.4,32,22,22,16.970374800340384,-0.152997888473904,1235,"['22_lag_23_median_shSICsep', '30_lag_nchinaPRjja', '29_lag_traEC', '28_lag_traTLS', '29_lag_ismPRjja', '30_lag_traEU']","[0.25389259894933025, 0.17793975169392576, 0.13881430825848523, 0.0797058985637659, 0.22245112377993292, 0.21639134028061222]","22_lag_23_median_shSICsep, 30_lag_nchinaPRjja, 29_lag_traEC, 28_lag_traTLS, 29_lag_ismPRjja, 30_lag_traEU_1235_22"
LinearRegression,18,6,eurPSLjfm,slow,1732.5,2005.5,0.4,33,23,23,16.651512235228797,-0.05273959976240801,1235,"['28_lag_traTLS', '23_lag_traBS', '29_lag_ismPRjja', '30_lag_traEU', '26_lag_stratZ50ndj03', '23_lag_shSICsep']","[0.13897711927916026, 0.2696510448626812, 0.25227459886099723, 0.19889578609795527, 0.11684637202433898, 0.20069726927527995]","28_lag_traTLS, 23_lag_traBS, 29_lag_ismPRjja, 30_lag_traEU, 26_lag_stratZ50ndj03, 23_lag_shSICsep_1235_23"
LinearRegression,19,6,eurPSLjfm,slow,1733.5,2005.5,0.4,34,24,26,15.624340180859607,0.05592863610191267,1235,"['31_lag_traBO', '30_lag_ismPRjja', '29_lag_ismPRjja', '26_lag_yrvPRjja', '26_lag_stratZ50ndj03', '30_lag_traEU']","[0.2715393793367665, 0.16527545981459263, 0.1700523833081764, 0.23195508591164382, 0.160113263968662, 0.1468422132887113]","31_lag_traBO, 30_lag_ismPRjja, 29_lag_ismPRjja, 26_lag_yrvPRjja, 26_lag_stratZ50ndj03, 30_lag_traEU_1235_26"
LinearRegression,20,6,eurPSLjfm,slow,1734.5,2005.5,0.4,35,25,25,15.51155254402705,0.011477024324807395,1235,"['34_lag_traWP', '30_lag_ismPRjja', '29_lag_ismPRjja', '25_lag_26_median_stratZ50ndj03', '26_lag_stratZ50ndj03', '30_lag_traEU']","[0.23949787641361345, 0.21583631609199805, 0.2332140003458374, 0.061429911492829614, 0.06142991149282981, 0.20631914927146733]","34_lag_traWP, 30_lag_ismPRjja, 29_lag_ismPRjja, 25_lag_26_median_stratZ50ndj03, 26_lag_stratZ50ndj03, 30_lag_traEU_1235_25"
LinearRegression,21,6,eurPSLjfm,slow,1735.5,2005.5,0.4,36,26,26,15.041824682134324,0.09867277620637181,1235,"['30_lag_traEC', '26_lag_yrvPRjja', '33_lag_mhfIP30', '35_lag_shSICsep', '30_lag_traEU', '26_lag_stratZ50ndj03']","[0.15180650416567792, 0.2807381799535368, 0.17584405103784007, 0.15034835312623934, 0.1636446509674938, 0.12271777826576312]","30_lag_traEC, 26_lag_yrvPRjja, 33_lag_mhfIP30, 35_lag_shSICsep, 30_lag_traEU, 26_lag_stratZ50ndj03_1235_26"
LinearRegression,22,6,eurPSLjfm,slow,1736.5,2005.5,0.4,37,27,27,15.743815272384419,0.018921620642164027,1235,"['34_lag_traFB', '31_lag_nchinaPRjja', '27_lag_ismPRjja', '35_lag_shSICsep', '33_lag_mhfIP30', '30_lag_traEU']","[0.28129013569907874, 0.05158953006846741, 0.07512841158482024, 0.23552281680018172, 0.19137061849263548, 0.1897129577797935]","34_lag_traFB, 31_lag_nchinaPRjja, 27_lag_ismPRjja, 35_lag_shSICsep, 33_lag_mhfIP30, 30_lag_traEU_1235_27"
LinearRegression,23,6,eurPSLjfm,slow,1737.5,2005.5,0.4,38,28,30,16.50292530496201,0.05883176082216491,1235,"['34_lag_nchinaPRjja', '30_lag_traDP', '37_lag_traWP', '33_lag_mhfIP30', '35_lag_shSICsep', '30_lag_traEU']","[0.11431009384580967, 0.27143621956298447, 0.18601486873669226, 0.15981148171601434, 0.24269768613101053, 0.2103079459665061]","34_lag_nchinaPRjja, 30_lag_traDP, 37_lag_traWP, 33_lag_mhfIP30, 35_lag_shSICsep, 30_lag_traEU_1235_30"
LinearRegression,24,6,eurPSLjfm,slow,1738.5,2005.5,0.4,39,29,29,16.660815139449166,0.08103209007185297,1235,"['29_lag_30_median_traDP', '30_lag_traDP', '34_lag_nchinaPRjja', '29_lag_30_median_traEU', '30_lag_traEU', '35_lag_shSICsep']","[25617015525915.902, 25617015525915.582, 0.106201171875, 185177022784929.34, 185177022784929.5, 0.26025390625]","29_lag_30_median_traDP, 30_lag_traDP, 34_lag_nchinaPRjja, 29_lag_30_median_traEU, 30_lag_traEU, 35_lag_shSICsep_1235_29"
LinearRegression,25,6,eurPSLjfm,slow,1739.5,2005.5,0.4,40,30,30,17.448426293807255,0.010570965925267876,1235,"['37_lag_stratZ50ndj03', '30_lag_traDP', '34_lag_nchinaPRjja', '30_lag_nchinaPRjja', '30_lag_traEU', '35_lag_shSICsep']","[0.11111336017701826, 0.2576081556658708, 0.13354684812051454, 0.14686335949175647, 0.22803769774824292, 0.2672931905733042]","37_lag_stratZ50ndj03, 30_lag_traDP, 34_lag_nchinaPRjja, 30_lag_nchinaPRjja, 30_lag_traEU, 35_lag_shSICsep_1235_30"
LinearRegression,26,6,eurPSLjfm,slow,1740.5,2005.5,0.4,41,31,31,16.156291301805,0.008677160135361985,1235,"['33_lag_stratZ50ndj03', '37_lag_shSICmar', '31_lag_neurTSjfm', '35_lag_traFB', '31_lag_nchinaPRjja', '35_lag_shSICsep']","[0.14269502749566249, 0.11662845640499309, 0.19169716644401227, 0.16420035966412308, 0.18884780077136817, 0.26254404960569155]","33_lag_stratZ50ndj03, 37_lag_shSICmar, 31_lag_neurTSjfm, 35_lag_traFB, 31_lag_nchinaPRjja, 35_lag_shSICsep_1235_31"
