model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,eurPSLjfm,slow,866.5,2005.5,0.6,15,1,1,11.1020718715115,0.04833313267902714,1755,"['11_lag_nhSICsep', '10_lag_satlSSTjfm', '1_lag_atlSICjfm', '8_lag_nppc2SSTjfm', '1_lag_ismPRjja', '1_lag_traIT']","[0.18759537291913111, 0.1526852390211712, 0.1703453979818259, 0.1615431698944161, 0.16204513007556998, 0.1657856901078856]","11_lag_nhSICsep, 10_lag_satlSSTjfm, 1_lag_atlSICjfm, 8_lag_nppc2SSTjfm, 1_lag_ismPRjja, 1_lag_traIT_1755_1"
RandomForestRegressor,1,6,eurPSLjfm,slow,867.5,2005.5,0.6,16,1,1,10.974240032349597,0.08750684344060747,1885,"['1_lag_traTLS', '1_lag_atlSICjfm', '1_lag_15_median_stratZ50ndj03', '8_lag_nppc2SSTjfm', '1_lag_ismPRjja', '1_lag_traIT']","[0.17128326827156276, 0.16773919148115424, 0.1643608813133073, 0.16532393837734694, 0.16753593802659758, 0.16375678253003115]","1_lag_traTLS, 1_lag_atlSICjfm, 1_lag_15_median_stratZ50ndj03, 8_lag_nppc2SSTjfm, 1_lag_ismPRjja, 1_lag_traIT_1885_1"
RandomForestRegressor,2,6,eurPSLjfm,slow,868.5,2005.5,0.6,17,1,1,10.874433304301393,0.13438677595883525,2015,"['10_lag_satlSSTjfm', '11_lag_nhSICsep', '16_lag_satlSSTjfm', '8_lag_nppc2SSTjfm', '1_lag_ismPRjja', '1_lag_traIT']","[0.15822902243572162, 0.17954252354497158, 0.17886504982901574, 0.16096247050107707, 0.16596231937549774, 0.15643861431371628]","10_lag_satlSSTjfm, 11_lag_nhSICsep, 16_lag_satlSSTjfm, 8_lag_nppc2SSTjfm, 1_lag_ismPRjja, 1_lag_traIT_2015_1"
RandomForestRegressor,3,6,eurPSLjfm,slow,869.5,2005.5,0.6,18,1,1,11.251319083690534,0.0923791578039376,2145,"['1_lag_15_median_stratZ50ndj03', '10_lag_satlSSTjfm', '16_lag_satlSSTjfm', '8_lag_nppc2SSTjfm', '1_lag_ismPRjja', '1_lag_traIT']","[0.16505136375795262, 0.1663677493010705, 0.1737312499595867, 0.1677617166922951, 0.1644117811122787, 0.16267613917681645]","1_lag_15_median_stratZ50ndj03, 10_lag_satlSSTjfm, 16_lag_satlSSTjfm, 8_lag_nppc2SSTjfm, 1_lag_ismPRjja, 1_lag_traIT_2145_1"
RandomForestRegressor,4,6,eurPSLjfm,slow,870.5,2005.5,0.6,19,1,1,11.042812232250343,0.03737083024386024,2275,"['1_lag_atlSICjfm', '18_lag_neurTSjfm', '1_lag_ismPRjja', '8_lag_nppc2SSTjfm', '1_lag_traIT', '18_lag_traDP']","[0.17212334520979886, 0.16802638193721692, 0.16840896846949333, 0.1637041770479617, 0.16767630280182658, 0.16006082453370263]","1_lag_atlSICjfm, 18_lag_neurTSjfm, 1_lag_ismPRjja, 8_lag_nppc2SSTjfm, 1_lag_traIT, 18_lag_traDP_2275_1"
RandomForestRegressor,5,6,eurPSLjfm,slow,871.5,2005.5,0.6,20,1,1,10.947372863429727,0.03708606639847386,2405,"['11_lag_nhSICsep', '1_lag_atlSICjfm', '1_lag_ismPRjja', '8_lag_nppc2SSTjfm', '1_lag_traIT', '18_lag_traDP']","[0.19189171719818404, 0.17899530895027277, 0.16351350228226397, 0.1742175521024354, 0.14878188302654516, 0.14260003644029873]","11_lag_nhSICsep, 1_lag_atlSICjfm, 1_lag_ismPRjja, 8_lag_nppc2SSTjfm, 1_lag_traIT, 18_lag_traDP_2405_1"
RandomForestRegressor,6,6,eurPSLjfm,slow,872.5,2005.5,0.6,21,1,1,10.890138589389283,0.05218489417692296,2535,"['18_lag_neurTSjfm', '1_lag_atlSICjfm', '1_lag_ismPRjja', '8_lag_nppc2SSTjfm', '18_lag_traDP', '1_lag_traIT']","[0.17069611253291225, 0.18205497568960635, 0.17180371073857542, 0.17602792233149953, 0.1473945826705725, 0.1520226960368339]","18_lag_neurTSjfm, 1_lag_atlSICjfm, 1_lag_ismPRjja, 8_lag_nppc2SSTjfm, 18_lag_traDP, 1_lag_traIT_2535_1"
RandomForestRegressor,7,6,eurPSLjfm,slow,873.5,2005.5,0.6,22,2,2,10.931590270722367,0.0973646530981772,2535,"['2_lag_9_median_traBS', '11_lag_nhSICsep', '16_lag_satlSSTjfm', '2_lag_nppc2SSTjfm', '8_lag_nppc2SSTjfm', '18_lag_traDP']","[0.15152234436627982, 0.1768905113825392, 0.18050366455788644, 0.15970794263991436, 0.16927858190462425, 0.16209695514875588]","2_lag_9_median_traBS, 11_lag_nhSICsep, 16_lag_satlSSTjfm, 2_lag_nppc2SSTjfm, 8_lag_nppc2SSTjfm, 18_lag_traDP_2535_2"
RandomForestRegressor,8,6,eurPSLjfm,slow,874.5,2005.5,0.6,23,3,3,11.03185955348145,0.057188280069659425,2535,"['11_lag_nhSICsep', '16_lag_satlSSTjfm', '3_lag_10_median_stratZ50ndj02', '3_lag_8_median_traBS', '8_lag_nppc2SSTjfm', '18_lag_traDP']","[0.17690497428772303, 0.16503385479058238, 0.1487730915281428, 0.16058315158530742, 0.17661644014513495, 0.17208848766310958]","11_lag_nhSICsep, 16_lag_satlSSTjfm, 3_lag_10_median_stratZ50ndj02, 3_lag_8_median_traBS, 8_lag_nppc2SSTjfm, 18_lag_traDP_2535_3"
RandomForestRegressor,9,6,eurPSLjfm,slow,875.5,2005.5,0.6,24,4,8,11.06280087982184,0.07082887816485414,2535,"['18_lag_neurTSjfm', '16_lag_satlSSTjfm', '10_lag_satlSSTjfm', '11_lag_nhSICsep', '8_lag_nppc2SSTjfm', '18_lag_traDP']","[0.1521900801790605, 0.171983340510978, 0.16663217766069724, 0.1719354899803096, 0.17776133973677244, 0.15949757193218234]","18_lag_neurTSjfm, 16_lag_satlSSTjfm, 10_lag_satlSSTjfm, 11_lag_nhSICsep, 8_lag_nppc2SSTjfm, 18_lag_traDP_2535_8"
