model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,ginwSSTjfm,slow,1714.5,2005.5,0.4,15,1,3,16.44434377220583,-0.09371230549009954,1755,"['10_lag_traIT', '6_lag_nchinaPRjja', '8_lag_wnorPRjfm', '3_lag_shSICmar', '11_lag_mhfIP30', '9_lag_ismPRjja']","[0.21426090709541804, 0.12570818030293923, 0.07824306339068285, 0.027475996158924224, 0.09224760265306506, 0.19953524899429612]","10_lag_traIT, 6_lag_nchinaPRjja, 8_lag_wnorPRjfm, 3_lag_shSICmar, 11_lag_mhfIP30, 9_lag_ismPRjja_1755_3"
LinearRegression,1,6,ginwSSTjfm,slow,1715.5,2005.5,0.4,16,1,3,16.278744440485927,0.01975305037593899,1885,"['11_lag_traIFC', '4_lag_seurTSjfm', '3_lag_shSICmar', '10_lag_traIT', '11_lag_mhfIP30', '9_lag_ismPRjja']","[0.17842938327334465, 0.11828913895797653, 0.016375378343139707, 0.15624594552313553, 0.06834312892089768, 0.17216198393581664]","11_lag_traIFC, 4_lag_seurTSjfm, 3_lag_shSICmar, 10_lag_traIT, 11_lag_mhfIP30, 9_lag_ismPRjja_1885_3"
LinearRegression,2,6,ginwSSTjfm,slow,1716.5,2005.5,0.4,17,1,3,15.862461927724011,0.01718016936998693,2015,"['3_lag_shSICmar', '16_lag_nchinaPRjja', '11_lag_mhfIP30', '10_lag_traIT', '4_lag_seurTSjfm', '9_lag_ismPRjja']","[0.02837212403663165, 0.13297119885610253, 0.060868082779121147, 0.18199227705808735, 0.126220472200729, 0.1660743511715633]","3_lag_shSICmar, 16_lag_nchinaPRjja, 11_lag_mhfIP30, 10_lag_traIT, 4_lag_seurTSjfm, 9_lag_ismPRjja_2015_3"
LinearRegression,3,6,ginwSSTjfm,slow,1717.5,2005.5,0.4,18,1,3,15.860045102105065,0.01735121866476902,2145,"['3_lag_shSICmar', '11_lag_mhfIP30', '16_lag_nchinaPRjja', '10_lag_traIT', '9_lag_ismPRjja', '4_lag_seurTSjfm']","[0.02958067579247983, 0.06284047960781766, 0.1333168967837528, 0.1820858274455964, 0.16579454113715963, 0.1271560427194444]","3_lag_shSICmar, 11_lag_mhfIP30, 16_lag_nchinaPRjja, 10_lag_traIT, 9_lag_ismPRjja, 4_lag_seurTSjfm_2145_3"
LinearRegression,4,6,ginwSSTjfm,slow,1718.5,2005.5,0.4,19,1,1,16.15497507369652,0.01736121781466244,2275,"['16_lag_scpPSLjfm', '1_lag_traIT', '18_lag_eurPSLjfm', '9_lag_ismPRjja', '10_lag_traIT', '4_lag_seurTSjfm']","[0.09270543126047699, 0.12581987893750163, 0.09932040868491351, 0.14644288622779725, 0.19727450010980938, 0.13820715914852205]","16_lag_scpPSLjfm, 1_lag_traIT, 18_lag_eurPSLjfm, 9_lag_ismPRjja, 10_lag_traIT, 4_lag_seurTSjfm_2275_1"
LinearRegression,5,6,ginwSSTjfm,slow,1719.5,2005.5,0.4,20,1,1,16.853565784724857,-0.0015282640937013588,2405,"['1_lag_eurPSLjfm', '18_lag_eurPSLjfm', '11_lag_traIFC', '9_lag_ismPRjja', '10_lag_traIT', '4_lag_seurTSjfm']","[0.05256702321296223, 0.14420469780321063, 0.20012054397062282, 0.15725453296979086, 0.18169177809298886, 0.12803020430366305]","1_lag_eurPSLjfm, 18_lag_eurPSLjfm, 11_lag_traIFC, 9_lag_ismPRjja, 10_lag_traIT, 4_lag_seurTSjfm_2405_1"
LinearRegression,6,6,ginwSSTjfm,slow,1720.5,2005.5,0.4,21,1,1,17.50572115887381,0.06608426995287862,2535,"['1_lag_eurPSLjfm', '11_lag_traIFC', '20_lag_shSICsep', '9_lag_ismPRjja', '10_lag_traIT', '4_lag_seurTSjfm']","[0.039457583987787495, 0.16151700816185552, 0.27870539917478776, 0.2261707604401827, 0.153258807694504, 0.13984688589860994]","1_lag_eurPSLjfm, 11_lag_traIFC, 20_lag_shSICsep, 9_lag_ismPRjja, 10_lag_traIT, 4_lag_seurTSjfm_2535_1"
LinearRegression,7,6,ginwSSTjfm,slow,1721.5,2005.5,0.4,22,2,4,17.26284200288917,0.08244914219751832,2535,"['11_lag_traIFC', '21_lag_nchinaPRjja', '4_lag_seurTSjfm', '10_lag_traIT', '9_lag_ismPRjja', '20_lag_shSICsep']","[0.1624152700450696, 0.09084138684856675, 0.13577784159705206, 0.15707940978461749, 0.2191685073914012, 0.28402318575671276]","11_lag_traIFC, 21_lag_nchinaPRjja, 4_lag_seurTSjfm, 10_lag_traIT, 9_lag_ismPRjja, 20_lag_shSICsep_2535_4"
LinearRegression,8,6,ginwSSTjfm,slow,1722.5,2005.5,0.4,23,3,9,17.035248395601595,0.040666111344014044,2535,"['16_lag_alpi', '15_lag_shSICsep', '9_lag_ismPRjja', '10_lag_traIT', '21_lag_traMC', '20_lag_shSICsep']","[0.03240945687725099, 0.047944540809651576, 0.19835577212335373, 0.19496603492540285, 0.21175698609069926, 0.28241045898871453]","16_lag_alpi, 15_lag_shSICsep, 9_lag_ismPRjja, 10_lag_traIT, 21_lag_traMC, 20_lag_shSICsep_2535_9"
LinearRegression,9,6,ginwSSTjfm,slow,1723.5,2005.5,0.4,24,4,4,17.655591250931273,0.07772015427121357,2535,"['12_lag_alpi', '11_lag_traIFC', '21_lag_traMC', '10_lag_traIT', '4_lag_seurTSjfm', '20_lag_shSICsep']","[0.1384131994147334, 0.14647164998188505, 0.22625248364137673, 0.16184505981826036, 0.14497758130567936, 0.2621343825344603]","12_lag_alpi, 11_lag_traIFC, 21_lag_traMC, 10_lag_traIT, 4_lag_seurTSjfm, 20_lag_shSICsep_2535_4"
LinearRegression,10,6,ginwSSTjfm,slow,1724.5,2005.5,0.4,25,5,10,15.808604139792191,0.13602615983605884,2535,"['20_lag_traEU', '11_lag_traIFC', '24_lag_ismPRjja', '10_lag_traIT', '12_lag_alpi', '20_lag_shSICsep']","[0.13459425994444177, 0.1250102099121132, 0.03577948531047245, 0.12702706347384704, 0.14746793595410923, 0.2842561557573875]","20_lag_traEU, 11_lag_traIFC, 24_lag_ismPRjja, 10_lag_traIT, 12_lag_alpi, 20_lag_shSICsep_2535_10"
LinearRegression,11,6,ginwSSTjfm,slow,1725.5,2005.5,0.4,26,6,11,15.98313542411736,0.031164218449799816,2535,"['14_lag_yrvPRjja', '12_lag_alpi', '11_lag_stratZ50ndj03', '21_lag_traMC', '25_lag_yrvPRjja', '20_lag_shSICsep']","[0.1484305527462844, 0.15931395177591778, 0.21699834559057418, 0.25258221868135555, 0.1859490142676588, 0.22593025278256218]","14_lag_yrvPRjja, 12_lag_alpi, 11_lag_stratZ50ndj03, 21_lag_traMC, 25_lag_yrvPRjja, 20_lag_shSICsep_2535_11"
LinearRegression,12,6,ginwSSTjfm,slow,1726.5,2005.5,0.4,27,7,12,16.155824047694452,-0.020367093439755245,2535,"['21_lag_traMC', '18_lag_eurPSLjfm', '24_lag_ismPRjja', '12_lag_alpi', '20_lag_shSICsep', '26_lag_stratZ50ndj03']","[0.18429898718149076, 0.14232206900709182, 0.05566446365608167, 0.1420217296709927, 0.2492034081511095, 0.18751577115634363]","21_lag_traMC, 18_lag_eurPSLjfm, 24_lag_ismPRjja, 12_lag_alpi, 20_lag_shSICsep, 26_lag_stratZ50ndj03_2535_12"
LinearRegression,13,6,ginwSSTjfm,slow,1727.5,2005.5,0.4,28,8,11,16.309533217765154,0.056573115411182644,2535,"['11_lag_stratZ50ndj02', '12_lag_alpi', '24_lag_ismPRjja', '11_lag_stratZ50ndj03', '26_lag_stratZ50ndj03', '20_lag_shSICsep']","[0.21039211379580047, 0.13585771927050408, 0.058246249863329935, 0.19014532070763354, 0.1735163975299932, 0.2570749098426143]","11_lag_stratZ50ndj02, 12_lag_alpi, 24_lag_ismPRjja, 11_lag_stratZ50ndj03, 26_lag_stratZ50ndj03, 20_lag_shSICsep_2535_11"
LinearRegression,14,6,ginwSSTjfm,slow,1728.5,2005.5,0.4,29,9,11,15.646827724061895,0.12697046501773057,2535,"['24_lag_ismPRjja', '20_lag_shSICsep', '11_lag_stratZ50ndj03', '12_lag_alpi', '11_lag_stratZ50ndj02', '28_lag_scpPSLjfm']","[0.0670465771480272, 0.26890863659370046, 0.1982284119264182, 0.1405231767297049, 0.20393546115375272, 0.0746285037395153]","24_lag_ismPRjja, 20_lag_shSICsep, 11_lag_stratZ50ndj03, 12_lag_alpi, 11_lag_stratZ50ndj02, 28_lag_scpPSLjfm_2535_11"
