model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,glTSjfm,slow,1514.5,2005.5,0.4,15,1,1,25.10297442373802,-0.09219754008759261,1755,"['1_lag_13_median_tripol3', '11_lag_nhSICsep', '8_lag_traMC', '1_lag_10_median_nchinaPRjja', '11_lag_traBS', '2_lag_stratZ50ndj03', '7_lag_shSICmar', '1_lag_13_median_traEU', '1_lag_2_median_traEC', '11_lag_eapPSLjfm', '1_lag_10_median_labSSTjfm', '2_lag_eapPSLjfm', '1_lag_6_median_stratZ50ndj02', '1_lag_13_median_nhSICsep', '1_lag_7_median_naoPSLjfm', '1_lag_13_median_wnorPRjfm', '4_lag_tripol1', '11_lag_amoSSTmjjaso', '1_lag_6_median_traBS', '2_lag_atlSICjfm', '1_lag_12_median_scpPSLjfm', '9_lag_traEC', '1_lag_12_median_seurTSjfm', '1_lag_5_median_neurTSjfm', '2_lag_nhSICsep', '1_lag_11_median_shSICmar', '1_lag_8_median_wnorPRjfm', '1_lag_11_median_traTLS', '9_lag_scpPSLjfm', '1_lag_7_median_stratZ50ndj03']","[7.23455397096847, 5.238675070266234, 5.001356246333625, 0.8439435237231514, 6.602981149625371, 7.244176578187176, 6.891204753495817, 1.199587795813775, 4.724651447847476, 2.0928056437487452, 3.4440228322632542, 7.001550316918732, 3.3505459483268556, 9.143963306958089, 1.0401560525938685, 3.827695277425514, 6.659302685318586, 4.023574117733761, 1.4963576801171499, 5.0279433891526555, 4.3001666758024, 0.09147788373362076, 1.1870373006523103, 4.725562114815909, 7.567585584318199, 1.3936344916963694, 7.817870293611776, 3.1059301855352883, 5.133003500512153, 2.3372483102393122]","1_lag_13_median_tripol3, 11_lag_nhSICsep, 8_lag_traMC, 1_lag_10_median_nchinaPRjja, 11_lag_traBS, 2_lag_stratZ50ndj03, 7_lag_shSICmar, 1_lag_13_median_traEU, 1_lag_2_median_traEC, 11_lag_eapPSLjfm, 1_lag_10_median_labSSTjfm, 2_lag_eapPSLjfm, 1_lag_6_median_stratZ50ndj02, 1_lag_13_median_nhSICsep, 1_lag_7_median_naoPSLjfm, 1_lag_13_median_wnorPRjfm, 4_lag_tripol1, 11_lag_amoSSTmjjaso, 1_lag_6_median_traBS, 2_lag_atlSICjfm, 1_lag_12_median_scpPSLjfm, 9_lag_traEC, 1_lag_12_median_seurTSjfm, 1_lag_5_median_neurTSjfm, 2_lag_nhSICsep, 1_lag_11_median_shSICmar, 1_lag_8_median_wnorPRjfm, 1_lag_11_median_traTLS, 9_lag_scpPSLjfm, 1_lag_7_median_stratZ50ndj03_1755_1"
LRforcedPSO,1,30,glTSjfm,slow,1515.5,2005.5,0.4,16,1,1,40.317331375451246,-0.6811679063206395,1885,"['1_lag_13_median_cetTSjfm', '3_lag_traIT', '1_lag_5_median_tripol2', '1_lag_15_median_shTSjfm', '1_lag_5_median_gyreSSTjfm', '1_lag_9_median_seurTSjfm', '8_lag_cetTSjfm', '1_lag_8_median_naoPSLjfm', '1_lag_8_median_stratZ50ndj01', '1_lag_11_median_glTSjfm', '14_lag_wnorPRjfm', '7_lag_AMOCann', '1_lag_13_median_shSICsep', '1_lag_4_median_atlSICsep', '1_lag_14_median_stratZ50ndj01', '1_lag_13_median_traDS', '1_lag_2_median_gyreSSTjfm', '1_lag_shTSjfm', '1_lag_14_median_stratZ50ndj04', '13_lag_traCA', '1_lag_4_median_pdoSSTjfm', '1_lag_13_median_arcTSjfm', '7_lag_mhfATL30', '3_lag_amoSSTmjjaso', '15_lag_nhSICjfm', '1_lag_5_median_nhTSjfm', '1_lag_11_median_traFS', '10_lag_arcTSjfm', '1_lag_14_median_ginwSSTjfm', '13_lag_amo2']","[2.5976662888083606, 2.77394204398467, 2.3044408525842393, 6.451956523374449, 0.9551527211634809, 3.3547737731785503, 4.478697908641722, 1.1525611980611146, 3.586213807778474, 7.499831519212229, 0.8265699207240012, 9.218685631387068, 5.380339966616852, 8.122372360423999, 8.791321867575077, 5.200135871638498, 4.968296506576429, 1.0801629526014107, 9.854015807202394, 4.3742911995494165, 0.8338662736002576, 9.96807723538473, 8.760888641524346, 2.5857559915095507, 3.6340514948301, 9.01971076417931, 4.882711843358392, 7.704150340559723, 7.535991837579029, 0.3381135283160486]","1_lag_13_median_cetTSjfm, 3_lag_traIT, 1_lag_5_median_tripol2, 1_lag_15_median_shTSjfm, 1_lag_5_median_gyreSSTjfm, 1_lag_9_median_seurTSjfm, 8_lag_cetTSjfm, 1_lag_8_median_naoPSLjfm, 1_lag_8_median_stratZ50ndj01, 1_lag_11_median_glTSjfm, 14_lag_wnorPRjfm, 7_lag_AMOCann, 1_lag_13_median_shSICsep, 1_lag_4_median_atlSICsep, 1_lag_14_median_stratZ50ndj01, 1_lag_13_median_traDS, 1_lag_2_median_gyreSSTjfm, 1_lag_shTSjfm, 1_lag_14_median_stratZ50ndj04, 13_lag_traCA, 1_lag_4_median_pdoSSTjfm, 1_lag_13_median_arcTSjfm, 7_lag_mhfATL30, 3_lag_amoSSTmjjaso, 15_lag_nhSICjfm, 1_lag_5_median_nhTSjfm, 1_lag_11_median_traFS, 10_lag_arcTSjfm, 1_lag_14_median_ginwSSTjfm, 13_lag_amo2_1885_1"
LRforcedPSO,2,30,glTSjfm,slow,1516.5,2005.5,0.4,17,1,1,26.691885525861238,0.5194899544539593,2015,"['5_lag_traFB', '14_lag_mhfIP30', '14_lag_eapPSLjfm', '3_lag_amo2', '1_lag_6_median_shTSjfm', '2_lag_naoPSLjfm', '1_lag_13_median_traMC', '1_lag_5_median_traDP', '6_lag_neurTSjfm', '9_lag_shTSjfm', '1_lag_8_median_labSSTjfm', '8_lag_eapPSLjfm', '1_lag_14_median_eurPSLjfm', '14_lag_traEU', '1_lag_11_median_glTSjfm', '5_lag_traWP', '1_lag_3_median_solFORC', '1_lag_13_median_nhSICjfm', '2_lag_seurTSjfm', '5_lag_shTSjfm', '1_lag_3_median_mhfATL45', '14_lag_atlSICsep', '3_lag_traMC', '8_lag_atlSICsep', '1_lag_9_median_shTSjfm', '1_lag_15_median_traEC', '1_lag_7_median_stratZ50ndj04', '3_lag_shTSjfm', '14_lag_traIFC', '7_lag_atlSICjfm']","[4.271020551609679, 2.4524247904100687, 5.291101884516575, 9.821929135762627, 8.205713457271639, 1.7851374971992975, 9.47626729406895, 1.2741136046781207, 9.294950302278785, 5.939791584301073, 4.010129865246332, 4.213770247243649, 6.622159052837858, 7.172764990894667, 9.480909030747764, 2.48410793461, 1.1773834418022346, 8.596607035868566, 1.3354625095863568, 2.9363293780905124, 5.426808691620064, 1.3986870901182709, 2.1242259241766703, 0.25724154433588176, 9.239311758694162, 5.05389457426662, 6.854450186518893, 7.695365539322823, 1.938191427861307, 5.2633163027649355]","5_lag_traFB, 14_lag_mhfIP30, 14_lag_eapPSLjfm, 3_lag_amo2, 1_lag_6_median_shTSjfm, 2_lag_naoPSLjfm, 1_lag_13_median_traMC, 1_lag_5_median_traDP, 6_lag_neurTSjfm, 9_lag_shTSjfm, 1_lag_8_median_labSSTjfm, 8_lag_eapPSLjfm, 1_lag_14_median_eurPSLjfm, 14_lag_traEU, 1_lag_11_median_glTSjfm, 5_lag_traWP, 1_lag_3_median_solFORC, 1_lag_13_median_nhSICjfm, 2_lag_seurTSjfm, 5_lag_shTSjfm, 1_lag_3_median_mhfATL45, 14_lag_atlSICsep, 3_lag_traMC, 8_lag_atlSICsep, 1_lag_9_median_shTSjfm, 1_lag_15_median_traEC, 1_lag_7_median_stratZ50ndj04, 3_lag_shTSjfm, 14_lag_traIFC, 7_lag_atlSICjfm_2015_1"
LRforcedPSO,3,30,glTSjfm,slow,1517.5,2005.5,0.4,18,1,1,23.914794425102528,-0.07069060577074329,2145,"['1_lag_13_median_traTLS', '4_lag_traEC', '8_lag_arcTSjfm', '16_lag_traMC', '11_lag_traTLS', '1_lag_2_median_arcTSjfm', '1_lag_2_median_stratZ50ndj03', '1_lag_13_median_traMC', '1_lag_5_median_yrvPRjja', '11_lag_glTSjfm', '13_lag_ensoSSTjfm', '1_lag_9_median_amo3', '10_lag_tripol3', '12_lag_traIFC', '14_lag_ensoSSTjfm', '1_lag_17_median_stratZ50ndj01', '4_lag_nhTSjfm', '1_lag_3_median_traEC', '6_lag_traIT', '16_lag_shTSjfm', '1_lag_11_median_eapPSLjfm', '17_lag_nhSICjfm', '1_lag_12_median_atlSICsep', '1_lag_traCA', '1_lag_17_median_atlSICsep', '1_lag_16_median_traEU', '5_lag_stratZ50ndj04', '9_lag_shSICsep', '1_lag_7_median_glomaSSTjfm', '1_lag_4_median_nppc2SSTjfm']","[4.003184222998366, 3.3221843702262426, 8.42323486044251, 2.7898075001427998, 4.978718952850105, 4.25865114590906, 8.905602676910163, 4.000743453499101, 1.5511739274148528, 0.2592320965835597, 7.900732850886811, 7.023901958123954, 6.416993351828474, 1.1013603254347437, 2.51999678757453, 7.0960373274555195, 2.506009979565949, 3.1827158895690815, 3.787730139634524, 4.363775084383836, 2.342479388683895, 6.115279487166118, 2.937023154510145, 3.977709728353746, 1.862295606178467, 4.131150638916781, 2.670256264957354, 6.076882792648895, 6.266951632364819, 0.6009484404670022]","1_lag_13_median_traTLS, 4_lag_traEC, 8_lag_arcTSjfm, 16_lag_traMC, 11_lag_traTLS, 1_lag_2_median_arcTSjfm, 1_lag_2_median_stratZ50ndj03, 1_lag_13_median_traMC, 1_lag_5_median_yrvPRjja, 11_lag_glTSjfm, 13_lag_ensoSSTjfm, 1_lag_9_median_amo3, 10_lag_tripol3, 12_lag_traIFC, 14_lag_ensoSSTjfm, 1_lag_17_median_stratZ50ndj01, 4_lag_nhTSjfm, 1_lag_3_median_traEC, 6_lag_traIT, 16_lag_shTSjfm, 1_lag_11_median_eapPSLjfm, 17_lag_nhSICjfm, 1_lag_12_median_atlSICsep, 1_lag_traCA, 1_lag_17_median_atlSICsep, 1_lag_16_median_traEU, 5_lag_stratZ50ndj04, 9_lag_shSICsep, 1_lag_7_median_glomaSSTjfm, 1_lag_4_median_nppc2SSTjfm_2145_1"
LRforcedPSO,4,30,glTSjfm,slow,1518.5,2005.5,0.4,19,1,1,20.395400175430936,0.2758705411367802,2275,"['1_lag_5_median_glTSjfm', '1_lag_11_median_traCA', '1_lag_9_median_traDP', '1_lag_14_median_mhfIP30', '1_lag_13_median_arcTSjfm', '12_lag_traFSC', '4_lag_traEU', '9_lag_atlSICjfm', '1_lag_6_median_stratZ50ndj01', '4_lag_glomaSSTjfm', '15_lag_tripol3', '1_lag_17_median_nhSICjfm', '1_lag_3_median_traFB', '1_lag_5_median_nhSICsep', '1_lag_17_median_nppc2SSTjfm', '1_lag_10_median_satlSSTjfm', '1_lag_10_median_traMC', '6_lag_stratZ50ndj04', '1_lag_14_median_nppc2SSTjfm', '6_lag_solFORC', '1_lag_15_median_atlSICsep', '1_lag_5_median_ginwSSTjfm', '14_lag_satlSSTjfm', '1_lag_11_median_AMOCann', '1_lag_3_median_samPSLann', '15_lag_traMC', '11_lag_glomaSSTjfm', '1_lag_13_median_traTLS', '1_lag_12_median_traEU', '10_lag_stratZ50ndj03']","[0.20161668061096805, 3.7920144038038153, 7.367668834637673, 3.811975331540327, 0.16850752992401397, 2.6111347458005962, 4.718429971643836, 7.408210509778218, 4.265641172447559, 3.2470752550930193, 5.177997162193284, 1.0425939013730119, 4.344275696008815, 1.8698968322711345, 4.222459467623125, 0.3400602398334627, 3.199144443868029, 5.488937954807933, 2.216919338885253, 3.165664485017672, 1.9007735041256595, 7.720602146150696, 0.6576627951691876, 9.31161468982397, 6.657291123445873, 6.7654135885684425, 5.402488649053017, 6.326203437293987, 4.271239514043281, 6.231954746151761]","1_lag_5_median_glTSjfm, 1_lag_11_median_traCA, 1_lag_9_median_traDP, 1_lag_14_median_mhfIP30, 1_lag_13_median_arcTSjfm, 12_lag_traFSC, 4_lag_traEU, 9_lag_atlSICjfm, 1_lag_6_median_stratZ50ndj01, 4_lag_glomaSSTjfm, 15_lag_tripol3, 1_lag_17_median_nhSICjfm, 1_lag_3_median_traFB, 1_lag_5_median_nhSICsep, 1_lag_17_median_nppc2SSTjfm, 1_lag_10_median_satlSSTjfm, 1_lag_10_median_traMC, 6_lag_stratZ50ndj04, 1_lag_14_median_nppc2SSTjfm, 6_lag_solFORC, 1_lag_15_median_atlSICsep, 1_lag_5_median_ginwSSTjfm, 14_lag_satlSSTjfm, 1_lag_11_median_AMOCann, 1_lag_3_median_samPSLann, 15_lag_traMC, 11_lag_glomaSSTjfm, 1_lag_13_median_traTLS, 1_lag_12_median_traEU, 10_lag_stratZ50ndj03_2275_1"
LRforcedPSO,5,30,glTSjfm,slow,1519.5,2005.5,0.4,20,1,1,21.670313323851868,0.3419335021189354,2405,"['1_lag_16_median_amoSSTmjjaso', '1_lag_2_median_shSICsep', '1_lag_14_median_cetTSjfm', '17_lag_cetTSjfm', '1_lag_5_median_wnorPRjfm', '1_lag_10_median_amo2', '8_lag_ginwSSTjfm', '1_lag_17_median_stratZ50ndj01', '3_lag_tripol3', '1_lag_5_median_ormenSSTjfm', '1_lag_6_median_ginwSSTjfm', '16_lag_mhfATL30', '1_lag_11_median_traWP', '1_lag_2_median_arcTSjfm', '8_lag_traWP', '1_lag_eurPSLjfm', '9_lag_AMOCann', '19_lag_nhSICjfm', '1_lag_7_median_stratZ50ndj01', '5_lag_tripol2', '18_lag_glTSjfm', '1_lag_14_median_amo3', '2_lag_yrvPRjja', '1_lag_16_median_arcTSjfm', '1_lag_3_median_nppc2SSTjfm', '1_lag_2_median_cetTSjfm', '1_lag_13_median_traFB', '19_lag_ensoSSTjfm', '5_lag_shSICsep', '1_lag_5_median_scpPSLjfm']","[4.553826495068584, 5.721238241270823, 1.595964675758978, 3.4234419882223577, 0.7986501337285272, 3.049516417457081, 4.1209846119148, 6.246722099042796, 2.9583398761390693, 4.753443708512181, 1.3178790989400078, 3.5673138654433103, 2.499485991441537, 8.050092022411349, 0.2487380642647068, 6.613248638782907, 1.4835036287117997, 2.7178874822135413, 1.7247653279508945, 5.675947928680742, 0.8564554275537191, 6.74710437247805, 7.587550200552611, 4.072546222605884, 3.248574512065046, 8.806400444022696, 6.3115440421954805, 7.5375737252879516, 0.46060446006868005, 9.269195857425792]","1_lag_16_median_amoSSTmjjaso, 1_lag_2_median_shSICsep, 1_lag_14_median_cetTSjfm, 17_lag_cetTSjfm, 1_lag_5_median_wnorPRjfm, 1_lag_10_median_amo2, 8_lag_ginwSSTjfm, 1_lag_17_median_stratZ50ndj01, 3_lag_tripol3, 1_lag_5_median_ormenSSTjfm, 1_lag_6_median_ginwSSTjfm, 16_lag_mhfATL30, 1_lag_11_median_traWP, 1_lag_2_median_arcTSjfm, 8_lag_traWP, 1_lag_eurPSLjfm, 9_lag_AMOCann, 19_lag_nhSICjfm, 1_lag_7_median_stratZ50ndj01, 5_lag_tripol2, 18_lag_glTSjfm, 1_lag_14_median_amo3, 2_lag_yrvPRjja, 1_lag_16_median_arcTSjfm, 1_lag_3_median_nppc2SSTjfm, 1_lag_2_median_cetTSjfm, 1_lag_13_median_traFB, 19_lag_ensoSSTjfm, 5_lag_shSICsep, 1_lag_5_median_scpPSLjfm_2405_1"
LRforcedPSO,6,30,glTSjfm,slow,1520.5,2005.5,0.4,21,1,1,22.991227632427954,0.12846647652224982,2535,"['10_lag_labSSTjfm', '1_lag_20_median_scpPSLjfm', '1_lag_traDS', '17_lag_ormenSSTjfm', '1_lag_13_median_amo2', '1_lag_6_median_traWP', '1_lag_10_median_satlSSTjfm', '1_lag_12_median_stratZ50ndj03', '6_lag_satlSSTjfm', '16_lag_ormenSSTjfm', '1_lag_4_median_alpi', '7_lag_traDS', '3_lag_stratZ50ndj04', '5_lag_tripol3', '1_lag_17_median_pdoSSTjfm', '16_lag_traBS', '1_lag_15_median_eurPSLjfm', '1_lag_14_median_traEC', '8_lag_gyreSSTjfm', '19_lag_mhfIP30', '1_lag_12_median_traBS', '1_lag_16_median_nppc2SSTjfm', '1_lag_stratZ50ndj04', '1_lag_15_median_wnorPRjfm', '1_lag_17_median_eapPSLjfm', '15_lag_traIT', '15_lag_naoPSLjfm', '14_lag_traFS', '7_lag_samPSLann', '6_lag_traDP']","[4.884313657281833, 1.2581650191958502, 5.60273780043396, 8.236071294693584, 3.9569075362710198, 2.1374481491952917, 3.9373444245288347, 7.156454735058112, 8.970917914491174, 3.6723272054510776, 7.106233066366286, 2.8432912765955365, 0.18056260447847983, 1.1082584775653697, 7.346311959254571, 1.4555198146969381, 0.21244837676802142, 3.3657940402586313, 9.010122145905306, 3.616671551602842, 2.370427627009068, 1.1149339592634604, 4.013519014686471, 0.20711515416395798, 3.161776794604247, 5.699691016914377, 0.9223687263721043, 9.164347402793528, 2.204479857086824, 6.540810510778192]","10_lag_labSSTjfm, 1_lag_20_median_scpPSLjfm, 1_lag_traDS, 17_lag_ormenSSTjfm, 1_lag_13_median_amo2, 1_lag_6_median_traWP, 1_lag_10_median_satlSSTjfm, 1_lag_12_median_stratZ50ndj03, 6_lag_satlSSTjfm, 16_lag_ormenSSTjfm, 1_lag_4_median_alpi, 7_lag_traDS, 3_lag_stratZ50ndj04, 5_lag_tripol3, 1_lag_17_median_pdoSSTjfm, 16_lag_traBS, 1_lag_15_median_eurPSLjfm, 1_lag_14_median_traEC, 8_lag_gyreSSTjfm, 19_lag_mhfIP30, 1_lag_12_median_traBS, 1_lag_16_median_nppc2SSTjfm, 1_lag_stratZ50ndj04, 1_lag_15_median_wnorPRjfm, 1_lag_17_median_eapPSLjfm, 15_lag_traIT, 15_lag_naoPSLjfm, 14_lag_traFS, 7_lag_samPSLann, 6_lag_traDP_2535_1"
LRforcedPSO,7,30,glTSjfm,slow,1521.5,2005.5,0.4,22,1,1,25.35823436850647,-0.0996347321842957,2665,"['15_lag_nhSICsep', '8_lag_shSICsep', '17_lag_amoSSTmjjaso', '8_lag_amo3', '1_lag_18_median_labSSTjfm', '1_lag_2_median_eurPSLjfm', '20_lag_samPSLann', '18_lag_traTLS', '1_lag_17_median_traEU', '1_lag_20_median_traBS', '1_lag_8_median_seurTSjfm', '14_lag_mhfATL60', '7_lag_traFS', '5_lag_atlSICjfm', '1_lag_8_median_amo2', '17_lag_wnorPRjfm', '5_lag_gyreSSTjfm', '1_lag_9_median_ginwSSTjfm', '1_lag_11_median_traMC', '11_lag_traWP', '13_lag_mhfATL30', '1_lag_15_median_mhfATL60', '1_lag_12_median_eapPSLjfm', '1_lag_10_median_nhSICsep', '1_lag_3_median_neurTSjfm', '1_lag_4_median_traBS', '17_lag_nchinaPRjja', '16_lag_ismPRjja', '1_lag_12_median_labSSTjfm', '1_lag_17_median_stratZ50ndj02']","[8.998943586541046, 0.31845292916089996, 3.8253836228066618, 9.554082398201194, 0.09864718313873766, 3.020682527710541, 4.1100574588736265, 0.5425554891029645, 1.3764713232617982, 3.0073448251351387, 4.720446238414668, 5.471331656810216, 2.4207662943848636, 3.826691789833516, 0.9234110950268004, 5.649774988619495, 5.58820506157174, 2.605750501559225, 5.107911916978633, 5.053795768497789, 5.90938895511184, 9.896226837311957, 5.154895915137514, 0.37485126767153254, 4.158152491355538, 9.68392182748697, 2.896511717812727, 6.067114184355621, 3.1249702359269076, 3.2896126764467866]","15_lag_nhSICsep, 8_lag_shSICsep, 17_lag_amoSSTmjjaso, 8_lag_amo3, 1_lag_18_median_labSSTjfm, 1_lag_2_median_eurPSLjfm, 20_lag_samPSLann, 18_lag_traTLS, 1_lag_17_median_traEU, 1_lag_20_median_traBS, 1_lag_8_median_seurTSjfm, 14_lag_mhfATL60, 7_lag_traFS, 5_lag_atlSICjfm, 1_lag_8_median_amo2, 17_lag_wnorPRjfm, 5_lag_gyreSSTjfm, 1_lag_9_median_ginwSSTjfm, 1_lag_11_median_traMC, 11_lag_traWP, 13_lag_mhfATL30, 1_lag_15_median_mhfATL60, 1_lag_12_median_eapPSLjfm, 1_lag_10_median_nhSICsep, 1_lag_3_median_neurTSjfm, 1_lag_4_median_traBS, 17_lag_nchinaPRjja, 16_lag_ismPRjja, 1_lag_12_median_labSSTjfm, 1_lag_17_median_stratZ50ndj02_2665_1"
LRforcedPSO,8,30,glTSjfm,slow,1522.5,2005.5,0.4,23,1,1,16.955047514212882,0.5943735813844105,2795,"['14_lag_traEU', '1_lag_17_median_glTSjfm', '1_lag_tripol3', '5_lag_traTLS', '12_lag_mhfATL30', '1_lag_18_median_stratZ50ndj04', '1_lag_5_median_shSICsep', '1_lag_12_median_cetTSjfm', '1_lag_11_median_traFB', '1_lag_20_median_traBS', '2_lag_traCA', '10_lag_naoPSLjfm', '17_lag_amo3', '15_lag_shSICmar', '7_lag_traCA', '6_lag_amo2', '21_lag_tripol1', '19_lag_satlSSTjfm', '9_lag_neurTSjfm', '1_lag_17_median_shSICsep', '1_lag_13_median_amoSSTmjjaso', '1_lag_3_median_amoSSTmjjaso', '1_lag_17_median_pdoSSTjfm', '1_lag_18_median_traEC', '1_lag_20_median_amo2', '1_lag_3_median_wnorPRjfm', '1_lag_9_median_amo3', '16_lag_traEU', '15_lag_amoSSTmjjaso', '1_lag_10_median_alpi']","[1.9609988380780958, 5.6151377123233, 1.0408829402956883, 0.9839796120156983, 5.067181056114125, 5.006112863177778, 7.270229337240677, 0.9785854341570914, 6.569268216114349, 0.6318898483191848, 0.37758331743502893, 0.5995904311798732, 2.850250448974167, 1.0690655845120922, 1.5170174623547528, 5.828147099000567, 3.9852698897495404, 5.744850611465722, 4.395575660499224, 9.983007996178344, 8.504163161786826, 2.206487212376114, 3.9666386425026623, 7.274878344669194, 7.729544864431183, 0.9999155777831703, 5.073442188640762, 2.0730573842804354, 0.041425876433310194, 8.429267462552371]","14_lag_traEU, 1_lag_17_median_glTSjfm, 1_lag_tripol3, 5_lag_traTLS, 12_lag_mhfATL30, 1_lag_18_median_stratZ50ndj04, 1_lag_5_median_shSICsep, 1_lag_12_median_cetTSjfm, 1_lag_11_median_traFB, 1_lag_20_median_traBS, 2_lag_traCA, 10_lag_naoPSLjfm, 17_lag_amo3, 15_lag_shSICmar, 7_lag_traCA, 6_lag_amo2, 21_lag_tripol1, 19_lag_satlSSTjfm, 9_lag_neurTSjfm, 1_lag_17_median_shSICsep, 1_lag_13_median_amoSSTmjjaso, 1_lag_3_median_amoSSTmjjaso, 1_lag_17_median_pdoSSTjfm, 1_lag_18_median_traEC, 1_lag_20_median_amo2, 1_lag_3_median_wnorPRjfm, 1_lag_9_median_amo3, 16_lag_traEU, 15_lag_amoSSTmjjaso, 1_lag_10_median_alpi_2795_1"
LRforcedPSO,9,30,glTSjfm,slow,1523.5,2005.5,0.4,24,1,1,22.496340484754576,-0.0379948921597459,2925,"['1_lag_19_median_AMOCann', '23_lag_traMC', '1_lag_22_median_glTSjfm', '15_lag_tripol3', '14_lag_mhfATL45', '1_lag_9_median_AMOCann', '20_lag_ismPRjja', '6_lag_amoSSTmjjaso', '1_lag_18_median_arcTSjfm', '12_lag_mhfATL60', '1_lag_19_median_traIT', '1_lag_11_median_tripol2', '5_lag_alpi', '12_lag_arcTSjfm', '22_lag_amo1', '1_lag_10_median_atlSICjfm', '1_lag_4_median_traIFC', '1_lag_16_median_traEU', '1_lag_21_median_nchinaPRjja', '18_lag_traCA', '20_lag_traDP', '1_lag_18_median_neurTSjfm', '1_lag_22_median_shSICmar', '1_lag_13_median_stratZ50ndj01', '12_lag_traIFC', '10_lag_traIT', '1_lag_7_median_traIFC', '1_lag_6_median_ormenSSTjfm', '1_lag_14_median_traFB', '11_lag_pdoSSTjfm']","[6.906408669796566, 2.80906519902012, 6.2268193232759295, 3.959968157692833, 2.8355006791463344, 7.6147298821797555, 0.3272998009745116, 4.115015175520769, 5.4178905691761585, 2.867972253904365, 8.122036927822672, 1.030254068318019, 6.785420939597923, 8.999651511171088, 5.747830411088555, 3.2715462678314307, 1.728893408949201, 0.16227835255857137, 1.5047170496021742, 1.1233741442337184, 2.5813763098471876, 6.8509562944714375, 5.113206930151191, 3.2891742942601194, 1.5256938782016611, 2.043265563036041, 5.131687636700654, 2.584510647580906, 6.480692561851008, 8.056114798397108]","1_lag_19_median_AMOCann, 23_lag_traMC, 1_lag_22_median_glTSjfm, 15_lag_tripol3, 14_lag_mhfATL45, 1_lag_9_median_AMOCann, 20_lag_ismPRjja, 6_lag_amoSSTmjjaso, 1_lag_18_median_arcTSjfm, 12_lag_mhfATL60, 1_lag_19_median_traIT, 1_lag_11_median_tripol2, 5_lag_alpi, 12_lag_arcTSjfm, 22_lag_amo1, 1_lag_10_median_atlSICjfm, 1_lag_4_median_traIFC, 1_lag_16_median_traEU, 1_lag_21_median_nchinaPRjja, 18_lag_traCA, 20_lag_traDP, 1_lag_18_median_neurTSjfm, 1_lag_22_median_shSICmar, 1_lag_13_median_stratZ50ndj01, 12_lag_traIFC, 10_lag_traIT, 1_lag_7_median_traIFC, 1_lag_6_median_ormenSSTjfm, 1_lag_14_median_traFB, 11_lag_pdoSSTjfm_2925_1"
