model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,glomaSSTjfm,slow,866.5,2005.5,0.6,15,1,1,20.250454511741346,0.42795678973406326,1755,"['6_lag_ensoSSTjfm', '13_lag_tripol1', '1_lag_11_median_labSSTjfm', '1_lag_11_median_traCA', '14_lag_shTSjfm', '11_lag_traMC', '1_lag_5_median_atlSICsep', '1_lag_8_median_stratZ50ndj03', '1_lag_8_median_traEU', '1_lag_7_median_neurTSjfm', '1_lag_8_median_ismPRjja', '1_lag_12_median_ensoSSTjfm', '1_lag_11_median_nhSICsep', '2_lag_traTLS', '11_lag_satlSSTjfm', '8_lag_traBO', '6_lag_ormenSSTjfm', '9_lag_gyreSSTjfm', '1_lag_5_median_ensoSSTjfm', '10_lag_mhfATL45', '13_lag_traEC', '3_lag_wnorPRjfm', '1_lag_traIFC', '1_lag_12_median_mhfIP30', '2_lag_tripol2', '7_lag_naoPSLjfm', '1_lag_9_median_nppc2SSTjfm', '1_lag_3_median_atlSICjfm', '1_lag_4_median_traDP', '1_lag_10_median_shTSjfm']","[7.0624829284139565, 5.592581310130187, 2.7343114521541123, 4.78339892520506, 6.432404149176566, 3.2345248548683934, 4.659372827466122, 4.240846712560087, 8.515824772197305, 3.0698065386077396, 1.5999445773832441, 8.034557228343061, 2.3329031858341924, 6.066499119101721, 6.470006678863392, 2.8110313673002647, 2.832921216170556, 3.561832607604563, 2.4488072124401743, 6.796270654831749, 1.4806307112600496, 2.7489488679287515, 1.8607865541713302, 3.2350809507057043, 4.26778023397862, 0.052454089861324604, 1.2333362871608244, 3.603325846666099, 0.9841278145748245, 2.101548203535706]","6_lag_ensoSSTjfm, 13_lag_tripol1, 1_lag_11_median_labSSTjfm, 1_lag_11_median_traCA, 14_lag_shTSjfm, 11_lag_traMC, 1_lag_5_median_atlSICsep, 1_lag_8_median_stratZ50ndj03, 1_lag_8_median_traEU, 1_lag_7_median_neurTSjfm, 1_lag_8_median_ismPRjja, 1_lag_12_median_ensoSSTjfm, 1_lag_11_median_nhSICsep, 2_lag_traTLS, 11_lag_satlSSTjfm, 8_lag_traBO, 6_lag_ormenSSTjfm, 9_lag_gyreSSTjfm, 1_lag_5_median_ensoSSTjfm, 10_lag_mhfATL45, 13_lag_traEC, 3_lag_wnorPRjfm, 1_lag_traIFC, 1_lag_12_median_mhfIP30, 2_lag_tripol2, 7_lag_naoPSLjfm, 1_lag_9_median_nppc2SSTjfm, 1_lag_3_median_atlSICjfm, 1_lag_4_median_traDP, 1_lag_10_median_shTSjfm_1755_1"
LRforcedPSO,1,30,glomaSSTjfm,slow,867.5,2005.5,0.6,16,1,1,20.733113875045976,0.3062779339893609,1885,"['1_lag_3_median_ormenSSTjfm', '1_lag_eapPSLjfm', '13_lag_stratZ50ndj02', '14_lag_samPSLann', '14_lag_alpi', '14_lag_satlSSTjfm', '6_lag_nppc3SSTjfm', '1_lag_11_median_traIT', '3_lag_naoPSLjfm', '1_lag_5_median_ismPRjja', '1_lag_15_median_naoPSLjfm', '1_lag_10_median_glomaSSTjfm', '1_lag_9_median_nhSICjfm', '1_lag_10_median_yrvPRjja', '13_lag_traFS', '1_lag_3_median_arcTSjfm', '9_lag_stratZ50ndj01', '13_lag_nhTSjfm', '1_lag_5_median_traBO', '13_lag_eapPSLjfm', '11_lag_alpi', '1_lag_6_median_ormenSSTjfm', '1_lag_8_median_amo2', '1_lag_7_median_traWP', '11_lag_traEC', '1_lag_9_median_amo1', '1_lag_15_median_stratZ50ndj01', '10_lag_wnorPRjfm', '9_lag_traEC', '4_lag_shTSjfm']","[6.062578655862647, 6.099141231090552, 2.672959061869353, 2.4375627389874417, 9.98935358809823, 6.456263671499574, 9.658777181141978, 2.4065290540690665, 2.088778626174328, 1.6960104362820942, 1.6203521748353662, 8.680552069119084, 9.262270359612817, 1.6471177003840314, 0.9577794500896619, 1.5101215379725872, 9.352173947179732, 5.573972006594605, 7.6923293909282755, 0.3642159274463008, 2.2902092912287024, 9.027161279658614, 6.703159124938306, 5.9538289135286515, 0.6069383128428125, 5.304285207775559, 3.45974444455938, 2.3382769371463485, 4.029725247835194, 1.519369818631322]","1_lag_3_median_ormenSSTjfm, 1_lag_eapPSLjfm, 13_lag_stratZ50ndj02, 14_lag_samPSLann, 14_lag_alpi, 14_lag_satlSSTjfm, 6_lag_nppc3SSTjfm, 1_lag_11_median_traIT, 3_lag_naoPSLjfm, 1_lag_5_median_ismPRjja, 1_lag_15_median_naoPSLjfm, 1_lag_10_median_glomaSSTjfm, 1_lag_9_median_nhSICjfm, 1_lag_10_median_yrvPRjja, 13_lag_traFS, 1_lag_3_median_arcTSjfm, 9_lag_stratZ50ndj01, 13_lag_nhTSjfm, 1_lag_5_median_traBO, 13_lag_eapPSLjfm, 11_lag_alpi, 1_lag_6_median_ormenSSTjfm, 1_lag_8_median_amo2, 1_lag_7_median_traWP, 11_lag_traEC, 1_lag_9_median_amo1, 1_lag_15_median_stratZ50ndj01, 10_lag_wnorPRjfm, 9_lag_traEC, 4_lag_shTSjfm_1885_1"
LRforcedPSO,2,30,glomaSSTjfm,slow,868.5,2005.5,0.6,17,1,1,17.76855051215447,0.5088784516346676,2015,"['5_lag_tripol2', '1_lag_10_median_neurTSjfm', '13_lag_nppc2SSTjfm', '14_lag_satlSSTjfm', '1_lag_16_median_traDS', '11_lag_neurTSjfm', '1_lag_8_median_samPSLann', '13_lag_nchinaPRjja', '1_lag_10_median_nppc2SSTjfm', '1_lag_6_median_nppc3SSTjfm', '1_lag_7_median_traFB', '1_lag_6_median_arcTSjfm', '9_lag_samPSLann', '1_lag_4_median_nppc3SSTjfm', '1_lag_10_median_arcTSjfm', '1_lag_4_median_samPSLann', '3_lag_satlSSTjfm', '7_lag_glTSjfm', '7_lag_amo1', '1_lag_14_median_tripol2', '1_lag_13_median_traTLS', '3_lag_shSICmar', '1_lag_16_median_nppc3SSTjfm', '1_lag_7_median_glTSjfm', '1_lag_15_median_shTSjfm', '1_lag_15_median_atlSICjfm', '1_lag_12_median_shTSjfm', '1_lag_3_median_cetTSjfm', '2_lag_mhfATL60', '1_lag_13_median_nppc2SSTjfm']","[1.4193117232407921, 5.839284855506572, 3.318239692005207, 5.627044241210982, 1.5525889216912407, 9.982976088170666, 2.164022723948859, 3.9388388472616587, 4.2988098375649875, 5.16760230432582, 3.578488785897078, 5.5512693414784176, 6.2969732398254035, 8.250149230922759, 3.3784830860697745, 9.114110369235387, 1.9501929063730508, 0.3039541027384871, 3.404473081978365, 6.315405864283036, 4.708182026585934, 0.3850394598723774, 3.5592754536768068, 7.512964915410713, 3.3814189567341657, 5.978329544416832, 9.132351413214636, 1.1806720011203442, 1.9589343870444473, 1.745544257468195]","5_lag_tripol2, 1_lag_10_median_neurTSjfm, 13_lag_nppc2SSTjfm, 14_lag_satlSSTjfm, 1_lag_16_median_traDS, 11_lag_neurTSjfm, 1_lag_8_median_samPSLann, 13_lag_nchinaPRjja, 1_lag_10_median_nppc2SSTjfm, 1_lag_6_median_nppc3SSTjfm, 1_lag_7_median_traFB, 1_lag_6_median_arcTSjfm, 9_lag_samPSLann, 1_lag_4_median_nppc3SSTjfm, 1_lag_10_median_arcTSjfm, 1_lag_4_median_samPSLann, 3_lag_satlSSTjfm, 7_lag_glTSjfm, 7_lag_amo1, 1_lag_14_median_tripol2, 1_lag_13_median_traTLS, 3_lag_shSICmar, 1_lag_16_median_nppc3SSTjfm, 1_lag_7_median_glTSjfm, 1_lag_15_median_shTSjfm, 1_lag_15_median_atlSICjfm, 1_lag_12_median_shTSjfm, 1_lag_3_median_cetTSjfm, 2_lag_mhfATL60, 1_lag_13_median_nppc2SSTjfm_2015_1"
LRforcedPSO,3,30,glomaSSTjfm,slow,869.5,2005.5,0.6,18,1,1,19.49161901334659,0.007420262484367856,2145,"['1_lag_8_median_eapPSLjfm', '15_lag_AMOCann', '1_lag_17_median_glomaSSTjfm', '16_lag_traDP', '1_lag_10_median_stratZ50ndj02', '3_lag_ormenSSTjfm', '1_lag_9_median_ismPRjja', '1_lag_14_median_tripol2', '1_lag_3_median_solFORC', '1_lag_5_median_traIFC', '14_lag_atlSICjfm', '1_lag_16_median_tripol2', '15_lag_traIT', '14_lag_ensoSSTjfm', '9_lag_traBS', '1_lag_2_median_labSSTjfm', '14_lag_nchinaPRjja', '2_lag_ormenSSTjfm', '1_lag_12_median_nhTSjfm', '8_lag_nppc3SSTjfm', '6_lag_traIFC', '14_lag_yrvPRjja', '1_lag_6_median_AMOCann', '1_lag_8_median_arcTSjfm', '1_lag_3_median_tripol3', '1_lag_gyreSSTjfm', '1_lag_17_median_stratZ50ndj02', '16_lag_gyreSSTjfm', '1_lag_7_median_traFB', '12_lag_shSICmar']","[6.049316731024501, 1.2821357082497382, 2.9891309668687427, 0.6564342475585949, 0.8363572311304601, 5.328019276459457, 7.648691795334717, 6.405202504358796, 4.2170692656534765, 8.168017865488626, 5.147711812763276, 2.727928371157338, 4.36409189800274, 3.974603604407438, 2.939883006004427, 8.180438113600012, 2.887189370342547, 2.552557816355467, 4.51347840711977, 2.9791500844989844, 5.078217992022951, 5.457017130707222, 5.671694430380825, 4.744666368388518, 0.5265557526469937, 6.152038316563013, 1.9258874983814636, 5.472795679595411, 3.335547459481834, 0.556965426519195]","1_lag_8_median_eapPSLjfm, 15_lag_AMOCann, 1_lag_17_median_glomaSSTjfm, 16_lag_traDP, 1_lag_10_median_stratZ50ndj02, 3_lag_ormenSSTjfm, 1_lag_9_median_ismPRjja, 1_lag_14_median_tripol2, 1_lag_3_median_solFORC, 1_lag_5_median_traIFC, 14_lag_atlSICjfm, 1_lag_16_median_tripol2, 15_lag_traIT, 14_lag_ensoSSTjfm, 9_lag_traBS, 1_lag_2_median_labSSTjfm, 14_lag_nchinaPRjja, 2_lag_ormenSSTjfm, 1_lag_12_median_nhTSjfm, 8_lag_nppc3SSTjfm, 6_lag_traIFC, 14_lag_yrvPRjja, 1_lag_6_median_AMOCann, 1_lag_8_median_arcTSjfm, 1_lag_3_median_tripol3, 1_lag_gyreSSTjfm, 1_lag_17_median_stratZ50ndj02, 16_lag_gyreSSTjfm, 1_lag_7_median_traFB, 12_lag_shSICmar_2145_1"
LRforcedPSO,4,30,glomaSSTjfm,slow,870.5,2005.5,0.6,19,1,1,17.498699871430098,0.4521366387780068,2275,"['1_lag_14_median_traFS', '1_lag_9_median_shTSjfm', '1_lag_3_median_amo3', '1_lag_17_median_traCA', '14_lag_ormenSSTjfm', '8_lag_arcTSjfm', '1_lag_4_median_traDP', '1_lag_16_median_glTSjfm', '1_lag_6_median_mhfIP30', '1_lag_9_median_ismPRjja', '1_lag_15_median_traEU', '18_lag_eurPSLjfm', '1_lag_10_median_traFS', '1_lag_16_median_traFSC', '1_lag_12_median_ensoSSTjfm', '10_lag_atlSICsep', '1_lag_6_median_traBO', '11_lag_traWP', '15_lag_traTLS', '18_lag_mhfATL60', '1_lag_3_median_scpPSLjfm', '6_lag_stratZ50ndj04', '1_lag_14_median_glomaSSTjfm', '1_lag_13_median_pdoSSTjfm', '1_lag_9_median_tripol1', '15_lag_eurPSLjfm', '17_lag_tripol2', '1_lag_solFORC', '9_lag_traDP', '3_lag_traWP']","[4.337454513576795, 8.968107132354177, 0.7441126160324387, 5.0826540330372065, 3.762587255930036, 0.09740548441735619, 2.697699199176258, 1.508944706069265, 4.387889302491244, 1.4659084950600807, 6.167729581251805, 4.914221106013006, 1.0476951623518254, 0.33867916474250137, 4.517636985721056, 7.462139727416886, 0.9088657977714227, 9.469470635688015, 3.7163504961640506, 4.806741592174126, 1.5425384451915125, 0.01507851992956688, 2.662048052516626, 7.573671058871788, 4.366836497213214, 2.998678649882386, 3.31675460272689, 6.401761440937488, 8.442994039225876, 5.5501211448557]","1_lag_14_median_traFS, 1_lag_9_median_shTSjfm, 1_lag_3_median_amo3, 1_lag_17_median_traCA, 14_lag_ormenSSTjfm, 8_lag_arcTSjfm, 1_lag_4_median_traDP, 1_lag_16_median_glTSjfm, 1_lag_6_median_mhfIP30, 1_lag_9_median_ismPRjja, 1_lag_15_median_traEU, 18_lag_eurPSLjfm, 1_lag_10_median_traFS, 1_lag_16_median_traFSC, 1_lag_12_median_ensoSSTjfm, 10_lag_atlSICsep, 1_lag_6_median_traBO, 11_lag_traWP, 15_lag_traTLS, 18_lag_mhfATL60, 1_lag_3_median_scpPSLjfm, 6_lag_stratZ50ndj04, 1_lag_14_median_glomaSSTjfm, 1_lag_13_median_pdoSSTjfm, 1_lag_9_median_tripol1, 15_lag_eurPSLjfm, 17_lag_tripol2, 1_lag_solFORC, 9_lag_traDP, 3_lag_traWP_2275_1"
LRforcedPSO,5,30,glomaSSTjfm,slow,871.5,2005.5,0.6,20,1,1,18.688682853761264,0.07065398692915577,2405,"['5_lag_mhfATL60', '1_lag_18_median_satlSSTjfm', '1_lag_10_median_shSICmar', '17_lag_neurTSjfm', '1_lag_3_median_mhfIP30', '14_lag_shSICsep', '1_lag_12_median_eapPSLjfm', '9_lag_ginwSSTjfm', '2_lag_tripol1', '1_lag_8_median_stratZ50ndj04', '4_lag_tripol3', '9_lag_samPSLann', '1_lag_8_median_traBO', '1_lag_14_median_tripol1', '1_lag_13_median_ginwSSTjfm', '15_lag_AMOCann', '10_lag_cetTSjfm', '3_lag_arcTSjfm', '6_lag_pdoSSTjfm', '13_lag_nchinaPRjja', '1_lag_12_median_mhfATL60', '5_lag_amo2', '1_lag_5_median_amo3', '11_lag_gyreSSTjfm', '1_lag_15_median_neurTSjfm', '1_lag_2_median_traIFC', '1_lag_2_median_mhfATL45', '2_lag_eapPSLjfm', '6_lag_solFORC', '1_lag_18_median_neurTSjfm']","[3.469522115002622, 4.164233634448557, 2.6510248707741972, 0.41912129793549724, 6.320364490978918, 9.477626602880898, 8.101308334999331, 4.431767931596906, 0.6766349541778443, 2.0603221267662386, 3.677038832926069, 7.598629691064948, 2.491623600102608, 4.427751159325055, 4.771061974482846, 0.997234365158473, 2.4990967929654673, 4.300313110272535, 4.864403134762245, 1.4984163968395343, 0.7894339572364935, 9.663325811938243, 1.348753425266402, 3.55576149089476, 4.73571972293775, 1.700899669603828, 4.649106099442244, 0.07208086809407277, 0.5279835065414584, 1.3261459389880983]","5_lag_mhfATL60, 1_lag_18_median_satlSSTjfm, 1_lag_10_median_shSICmar, 17_lag_neurTSjfm, 1_lag_3_median_mhfIP30, 14_lag_shSICsep, 1_lag_12_median_eapPSLjfm, 9_lag_ginwSSTjfm, 2_lag_tripol1, 1_lag_8_median_stratZ50ndj04, 4_lag_tripol3, 9_lag_samPSLann, 1_lag_8_median_traBO, 1_lag_14_median_tripol1, 1_lag_13_median_ginwSSTjfm, 15_lag_AMOCann, 10_lag_cetTSjfm, 3_lag_arcTSjfm, 6_lag_pdoSSTjfm, 13_lag_nchinaPRjja, 1_lag_12_median_mhfATL60, 5_lag_amo2, 1_lag_5_median_amo3, 11_lag_gyreSSTjfm, 1_lag_15_median_neurTSjfm, 1_lag_2_median_traIFC, 1_lag_2_median_mhfATL45, 2_lag_eapPSLjfm, 6_lag_solFORC, 1_lag_18_median_neurTSjfm_2405_1"
LRforcedPSO,6,30,glomaSSTjfm,slow,872.5,2005.5,0.6,21,1,1,20.990516813238006,0.27030733615749536,2535,"['1_lag_20_median_tripol1', '1_lag_8_median_gyreSSTjfm', '2_lag_alpi', '1_lag_12_median_ormenSSTjfm', '1_lag_16_median_traFS', '5_lag_gyreSSTjfm', '17_lag_stratZ50ndj03', '1_lag_18_median_ormenSSTjfm', '6_lag_atlSICsep', '5_lag_eapPSLjfm', '13_lag_labSSTjfm', '17_lag_tripol1', '18_lag_cetTSjfm', '1_lag_7_median_shTSjfm', '17_lag_neurTSjfm', '1_lag_13_median_ismPRjja', '1_lag_2_median_nppc3SSTjfm', '20_lag_traFS', '13_lag_traIFC', '1_lag_8_median_shSICmar', '1_lag_19_median_traFSC', '1_lag_6_median_alpi', '1_lag_4_median_ismPRjja', '6_lag_tripol3', '16_lag_solFORC', '12_lag_traEC', '17_lag_AMOCann', '10_lag_eurPSLjfm', '1_lag_12_median_shTSjfm', '1_lag_17_median_nhSICsep']","[2.9313199232012543, 5.093352969900316, 7.0440791599321795, 0.2609085555452282, 1.436771392171778, 0.7384229842390049, 2.105282519049771, 8.419942753733379, 4.899579385820267, 0.13423978102768963, 8.113812594086397, 0.6763700098395287, 6.124302821095892, 8.73848825031628, 5.559358854134205, 2.803766996970598, 3.2981002695327515, 5.831666594311384, 3.924883185513699, 1.5929563372659707, 4.010734704927299, 3.9934484858283543, 2.4594905395303286, 8.340041723675963, 3.412723221839804, 5.219267374664277, 0.5625334619270781, 0.5816274535817794, 8.830726159810741, 5.14041152189302]","1_lag_20_median_tripol1, 1_lag_8_median_gyreSSTjfm, 2_lag_alpi, 1_lag_12_median_ormenSSTjfm, 1_lag_16_median_traFS, 5_lag_gyreSSTjfm, 17_lag_stratZ50ndj03, 1_lag_18_median_ormenSSTjfm, 6_lag_atlSICsep, 5_lag_eapPSLjfm, 13_lag_labSSTjfm, 17_lag_tripol1, 18_lag_cetTSjfm, 1_lag_7_median_shTSjfm, 17_lag_neurTSjfm, 1_lag_13_median_ismPRjja, 1_lag_2_median_nppc3SSTjfm, 20_lag_traFS, 13_lag_traIFC, 1_lag_8_median_shSICmar, 1_lag_19_median_traFSC, 1_lag_6_median_alpi, 1_lag_4_median_ismPRjja, 6_lag_tripol3, 16_lag_solFORC, 12_lag_traEC, 17_lag_AMOCann, 10_lag_eurPSLjfm, 1_lag_12_median_shTSjfm, 1_lag_17_median_nhSICsep_2535_1"
LRforcedPSO,7,30,glomaSSTjfm,slow,873.5,2005.5,0.6,22,2,2,30.15141037230974,-0.6007196275800498,2535,"['2_lag_3_median_traDP', '10_lag_seurTSjfm', '2_lag_20_median_scpPSLjfm', '4_lag_traEC', '2_lag_20_median_traIFC', '11_lag_traEU', '2_lag_11_median_stratZ50ndj04', '5_lag_shSICmar', '20_lag_arcTSjfm', '18_lag_mhfATL30', '16_lag_amo2', '3_lag_cetTSjfm', '14_lag_eapPSLjfm', '2_lag_16_median_traDS', '2_lag_11_median_gyreSSTjfm', '2_lag_9_median_nhSICsep', '2_lag_20_median_stratZ50ndj03', '21_lag_traBS', '3_lag_arcTSjfm', '14_lag_traMC', '2_lag_20_median_ismPRjja', '2_lag_9_median_arcTSjfm', '2_lag_5_median_traIT', '2_lag_eapPSLjfm', '2_lag_4_median_traDS', '2_lag_10_median_pdoSSTjfm', '9_lag_ensoSSTjfm', '2_lag_9_median_traDP', '14_lag_scpPSLjfm', '2_lag_13_median_atlSICsep']","[1.3570189697617643, 7.2612412019256745, 0.3235437665248675, 2.4556032290634917, 1.823131389859995, 4.800981925648454, 6.607176540784458, 6.633150503861884, 8.102694401121433, 8.020614546020312, 0.9224126292041905, 1.8275870498719797, 4.406197321982653, 1.222596065566183, 2.6004800792919696, 5.1702550841654045, 0.07690585876883205, 0.8016240468831004, 5.429438252428213, 2.686454014628058, 3.137387348231396, 1.3711545896923667, 3.2653165501655437, 5.359630374823221, 3.5699935089289774, 0.5869654102143826, 1.9421505034806366, 2.878046619745941, 1.8649760408418743, 7.967388817909814]","2_lag_3_median_traDP, 10_lag_seurTSjfm, 2_lag_20_median_scpPSLjfm, 4_lag_traEC, 2_lag_20_median_traIFC, 11_lag_traEU, 2_lag_11_median_stratZ50ndj04, 5_lag_shSICmar, 20_lag_arcTSjfm, 18_lag_mhfATL30, 16_lag_amo2, 3_lag_cetTSjfm, 14_lag_eapPSLjfm, 2_lag_16_median_traDS, 2_lag_11_median_gyreSSTjfm, 2_lag_9_median_nhSICsep, 2_lag_20_median_stratZ50ndj03, 21_lag_traBS, 3_lag_arcTSjfm, 14_lag_traMC, 2_lag_20_median_ismPRjja, 2_lag_9_median_arcTSjfm, 2_lag_5_median_traIT, 2_lag_eapPSLjfm, 2_lag_4_median_traDS, 2_lag_10_median_pdoSSTjfm, 9_lag_ensoSSTjfm, 2_lag_9_median_traDP, 14_lag_scpPSLjfm, 2_lag_13_median_atlSICsep_2535_2"
LRforcedPSO,8,30,glomaSSTjfm,slow,874.5,2005.5,0.6,23,3,3,27.581114523898368,-0.39309886206140027,2535,"['19_lag_eapPSLjfm', '21_lag_wnorPRjfm', '3_lag_21_median_arcTSjfm', '18_lag_samPSLann', '3_lag_16_median_shTSjfm', '9_lag_stratZ50ndj01', '4_lag_eapPSLjfm', '4_lag_traTLS', '3_lag_13_median_naoPSLjfm', '10_lag_nppc3SSTjfm', '8_lag_traDP', '8_lag_eurPSLjfm', '17_lag_pdoSSTjfm', '4_lag_samPSLann', '13_lag_ginwSSTjfm', '5_lag_samPSLann', '12_lag_eapPSLjfm', '4_lag_nhSICjfm', '3_lag_naoPSLjfm', '3_lag_4_median_yrvPRjja', '3_lag_14_median_scpPSLjfm', '3_lag_11_median_amo3', '3_lag_19_median_amo1', '3_lag_20_median_naoPSLjfm', '7_lag_stratZ50ndj01', '3_lag_7_median_traFSC', '3_lag_4_median_glTSjfm', '19_lag_shSICmar', '3_lag_22_median_gyreSSTjfm', '21_lag_amo2']","[0.961508319619286, 8.169964497946673, 2.9122491292202195, 3.915956506059568, 3.7759343237079257, 5.129686385543588, 7.316256408080846, 0.28408642793992733, 3.8871928805199696, 6.894435666463941, 2.6019622452668383, 0.5688712220704861, 1.9709431181661046, 5.790033410683954, 9.454757311383126, 9.702285523115817, 0.5683577107144764, 9.508172200857285, 0.5512530942252596, 7.077377583787037, 0.5336838283357377, 1.0276362255459617, 8.197066468348545, 7.5682452873299155, 6.339384848373404, 2.931963884099174, 0.9196013686773234, 0.7514727879956773, 3.348985966881706, 2.1006460122679593]","19_lag_eapPSLjfm, 21_lag_wnorPRjfm, 3_lag_21_median_arcTSjfm, 18_lag_samPSLann, 3_lag_16_median_shTSjfm, 9_lag_stratZ50ndj01, 4_lag_eapPSLjfm, 4_lag_traTLS, 3_lag_13_median_naoPSLjfm, 10_lag_nppc3SSTjfm, 8_lag_traDP, 8_lag_eurPSLjfm, 17_lag_pdoSSTjfm, 4_lag_samPSLann, 13_lag_ginwSSTjfm, 5_lag_samPSLann, 12_lag_eapPSLjfm, 4_lag_nhSICjfm, 3_lag_naoPSLjfm, 3_lag_4_median_yrvPRjja, 3_lag_14_median_scpPSLjfm, 3_lag_11_median_amo3, 3_lag_19_median_amo1, 3_lag_20_median_naoPSLjfm, 7_lag_stratZ50ndj01, 3_lag_7_median_traFSC, 3_lag_4_median_glTSjfm, 19_lag_shSICmar, 3_lag_22_median_gyreSSTjfm, 21_lag_amo2_2535_3"
LRforcedPSO,9,30,glomaSSTjfm,slow,875.5,2005.5,0.6,24,4,4,17.682355505429104,0.2993559399555425,2535,"['11_lag_shSICsep', '4_lag_12_median_naoPSLjfm', '4_lag_14_median_ensoSSTjfm', '4_lag_17_median_traDP', '4_lag_22_median_tripol3', '4_lag_19_median_traDS', '4_lag_14_median_shTSjfm', '4_lag_18_median_nhSICsep', '4_lag_23_median_yrvPRjja', '4_lag_11_median_ismPRjja', '4_lag_16_median_nchinaPRjja', '12_lag_ginwSSTjfm', '4_lag_17_median_nppc3SSTjfm', '4_lag_11_median_amo3', '8_lag_nppc3SSTjfm', '9_lag_shSICmar', '4_lag_traMC', '4_lag_11_median_traCA', '23_lag_AMOCann', '19_lag_amoSSTmjjaso', '4_lag_16_median_traFB', '6_lag_stratZ50ndj02', '14_lag_traDS', '20_lag_stratZ50ndj04', '4_lag_12_median_eurPSLjfm', '23_lag_traBS', '4_lag_9_median_traFSC', '4_lag_11_median_wnorPRjfm', '6_lag_yrvPRjja', '4_lag_traFSC']","[4.856029504097389, 7.904968249978179, 6.080607277504924, 6.291166152475938, 3.0908768448288715, 1.3121027435916623, 7.114357163788728, 7.613575974166766, 1.4762435113975503, 1.2597133354646761, 1.399953969392726, 4.309644542864383, 8.67874431742472, 8.396583211158454, 2.7230751633337, 4.156882361655814, 3.6575428447087326, 1.9501966799836072, 4.784132249192876, 4.950041465903818, 1.9395770959034042, 1.4920398294790225, 0.14033969531622148, 4.061184053673084, 4.371658534725039, 1.022510808012969, 1.6530755786412143, 8.310046000469526, 2.8530423951408856, 1.452082194642193]","11_lag_shSICsep, 4_lag_12_median_naoPSLjfm, 4_lag_14_median_ensoSSTjfm, 4_lag_17_median_traDP, 4_lag_22_median_tripol3, 4_lag_19_median_traDS, 4_lag_14_median_shTSjfm, 4_lag_18_median_nhSICsep, 4_lag_23_median_yrvPRjja, 4_lag_11_median_ismPRjja, 4_lag_16_median_nchinaPRjja, 12_lag_ginwSSTjfm, 4_lag_17_median_nppc3SSTjfm, 4_lag_11_median_amo3, 8_lag_nppc3SSTjfm, 9_lag_shSICmar, 4_lag_traMC, 4_lag_11_median_traCA, 23_lag_AMOCann, 19_lag_amoSSTmjjaso, 4_lag_16_median_traFB, 6_lag_stratZ50ndj02, 14_lag_traDS, 20_lag_stratZ50ndj04, 4_lag_12_median_eurPSLjfm, 23_lag_traBS, 4_lag_9_median_traFSC, 4_lag_11_median_wnorPRjfm, 6_lag_yrvPRjja, 4_lag_traFSC_2535_4"
