model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,gyreSSTjfm,slow,866.5,2005.5,0.4,15,1,1,25.251812103793778,0.16467878470668418,1755,"['13_lag_solFORC', '13_lag_traBO', '2_lag_naoPSLjfm', '5_lag_traCA', '7_lag_ismPRjja', '6_lag_glomaSSTjfm', '1_lag_2_median_traBS', '6_lag_wnorPRjfm', '1_lag_13_median_traIT', '9_lag_amo1', '5_lag_nchinaPRjja', '1_lag_13_median_seurTSjfm', '1_lag_11_median_ginwSSTjfm', '1_lag_tripol1', '1_lag_13_median_ormenSSTjfm', '7_lag_nhSICjfm', '1_lag_11_median_amoSSTmjjaso', '5_lag_traEC', '4_lag_shSICmar', '7_lag_yrvPRjja', '1_lag_14_median_traIT', '1_lag_7_median_ismPRjja', '1_lag_7_median_cetTSjfm', '12_lag_amo3', '14_lag_traFB', '1_lag_3_median_nhTSjfm', '1_lag_7_median_nppc3SSTjfm', '1_lag_2_median_traDP', '1_lag_7_median_labSSTjfm', '1_lag_3_median_stratZ50ndj03']","[1.721250126820573, 2.0841191465374536, 7.2349994874684, 1.2768846484604808, 8.666224926602586, 4.380877015211633, 7.470169590940429, 9.669709263551908, 6.528298291049466, 1.4293411426603377, 2.0208958646308695, 1.7387915405523113, 3.4378242504556784, 2.251467665057156, 2.3498448235273806, 0.7395005951071774, 9.05256818088191, 1.4527430856751202, 1.0624159197115794, 8.156624869674467, 1.836195222053771, 3.204266420348338, 6.630412175164292, 0.8117679307203662, 0.19291545273305566, 6.453765820006595, 0.8123852511738168, 0.7703054032570833, 5.137193776309332, 4.7894676818323685]","13_lag_solFORC, 13_lag_traBO, 2_lag_naoPSLjfm, 5_lag_traCA, 7_lag_ismPRjja, 6_lag_glomaSSTjfm, 1_lag_2_median_traBS, 6_lag_wnorPRjfm, 1_lag_13_median_traIT, 9_lag_amo1, 5_lag_nchinaPRjja, 1_lag_13_median_seurTSjfm, 1_lag_11_median_ginwSSTjfm, 1_lag_tripol1, 1_lag_13_median_ormenSSTjfm, 7_lag_nhSICjfm, 1_lag_11_median_amoSSTmjjaso, 5_lag_traEC, 4_lag_shSICmar, 7_lag_yrvPRjja, 1_lag_14_median_traIT, 1_lag_7_median_ismPRjja, 1_lag_7_median_cetTSjfm, 12_lag_amo3, 14_lag_traFB, 1_lag_3_median_nhTSjfm, 1_lag_7_median_nppc3SSTjfm, 1_lag_2_median_traDP, 1_lag_7_median_labSSTjfm, 1_lag_3_median_stratZ50ndj03_1755_1"
LRforcedPSO,1,30,gyreSSTjfm,slow,867.5,2005.5,0.4,16,1,1,23.411491230406405,0.03462119715623353,1885,"['1_lag_nhSICjfm', '1_lag_3_median_traDP', '1_lag_6_median_seurTSjfm', '9_lag_naoPSLjfm', '2_lag_labSSTjfm', '1_lag_3_median_shTSjfm', '1_lag_3_median_labSSTjfm', '1_lag_2_median_naoPSLjfm', '1_lag_4_median_arcTSjfm', '1_lag_2_median_ormenSSTjfm', '1_lag_12_median_yrvPRjja', '1_lag_4_median_traBO', '1_lag_4_median_stratZ50ndj02', '13_lag_amo2', '14_lag_shSICsep', '3_lag_naoPSLjfm', '1_lag_pdoSSTjfm', '1_lag_15_median_traDS', '4_lag_stratZ50ndj02', '1_lag_5_median_ormenSSTjfm', '13_lag_traEC', '12_lag_seurTSjfm', '11_lag_ensoSSTjfm', '13_lag_traIFC', '15_lag_solFORC', '1_lag_6_median_nhSICsep', '8_lag_nhSICjfm', '6_lag_pdoSSTjfm', '1_lag_3_median_tripol3', '9_lag_traBS']","[3.9961878541361493, 3.1668687718701864, 8.426798092564118, 4.181098424502084, 3.934210452173339, 0.6527015968712355, 2.016345121082641, 3.927785023792797, 3.538748938455157, 3.6574920210758233, 5.239900699135509, 1.8682970129441863, 3.492413410096531, 0.5977440697898189, 4.645388726161519, 6.650064852616222, 1.7546901909960528, 3.372288631524027, 1.984305661525882, 3.251383875225372, 6.803543136136181, 1.911876836766588, 0.9971130667966577, 6.930802790695353, 4.163119240264184, 2.8025135748770147, 4.456261032789737, 7.10133611475989, 2.832399223609743, 8.882703642922834]","1_lag_nhSICjfm, 1_lag_3_median_traDP, 1_lag_6_median_seurTSjfm, 9_lag_naoPSLjfm, 2_lag_labSSTjfm, 1_lag_3_median_shTSjfm, 1_lag_3_median_labSSTjfm, 1_lag_2_median_naoPSLjfm, 1_lag_4_median_arcTSjfm, 1_lag_2_median_ormenSSTjfm, 1_lag_12_median_yrvPRjja, 1_lag_4_median_traBO, 1_lag_4_median_stratZ50ndj02, 13_lag_amo2, 14_lag_shSICsep, 3_lag_naoPSLjfm, 1_lag_pdoSSTjfm, 1_lag_15_median_traDS, 4_lag_stratZ50ndj02, 1_lag_5_median_ormenSSTjfm, 13_lag_traEC, 12_lag_seurTSjfm, 11_lag_ensoSSTjfm, 13_lag_traIFC, 15_lag_solFORC, 1_lag_6_median_nhSICsep, 8_lag_nhSICjfm, 6_lag_pdoSSTjfm, 1_lag_3_median_tripol3, 9_lag_traBS_1885_1"
LRforcedPSO,2,30,gyreSSTjfm,slow,868.5,2005.5,0.4,17,1,1,23.52008011335762,-0.04835657686003644,2015,"['1_lag_7_median_traFSC', '12_lag_eapPSLjfm', '1_lag_11_median_amo3', '1_lag_14_median_arcTSjfm', '1_lag_13_median_traIT', '1_lag_8_median_traMC', '7_lag_solFORC', '1_lag_7_median_nppc2SSTjfm', '2_lag_nhSICjfm', '1_lag_6_median_tripol2', '14_lag_stratZ50ndj01', '2_lag_glTSjfm', '16_lag_nhSICsep', '2_lag_traDP', '6_lag_arcTSjfm', '8_lag_traEU', '11_lag_atlSICjfm', '9_lag_AMOCann', '9_lag_mhfATL30', '1_lag_16_median_traFB', '1_lag_eurPSLjfm', '1_lag_5_median_wnorPRjfm', '4_lag_traDS', '1_lag_15_median_glomaSSTjfm', '1_lag_16_median_scpPSLjfm', '1_lag_15_median_stratZ50ndj04', '14_lag_traFS', '1_lag_9_median_shSICsep', '1_lag_12_median_nppc2SSTjfm', '1_lag_2_median_traFS']","[2.9158898253168015, 6.8330819343184395, 2.298556272239086, 6.60586012234154, 0.15495625754107323, 1.1736524757406386, 0.007460793942099642, 0.08296911821707553, 2.8690036177673424, 9.741640373514679, 3.512351439926274, 0.8478374260444284, 2.878393376451502, 2.429533308474907, 2.5424872761493305, 5.417673666623726, 1.311058720825793, 6.461756474265061, 2.918266487565573, 1.2308539869829431, 9.41967617632276, 5.731015038345717, 1.4741923155571044, 1.5678632071273242, 1.3622125704537993, 9.265028533341336, 1.969298505757891, 6.706329822579715, 1.60498949719077, 2.6333721885054047]","1_lag_7_median_traFSC, 12_lag_eapPSLjfm, 1_lag_11_median_amo3, 1_lag_14_median_arcTSjfm, 1_lag_13_median_traIT, 1_lag_8_median_traMC, 7_lag_solFORC, 1_lag_7_median_nppc2SSTjfm, 2_lag_nhSICjfm, 1_lag_6_median_tripol2, 14_lag_stratZ50ndj01, 2_lag_glTSjfm, 16_lag_nhSICsep, 2_lag_traDP, 6_lag_arcTSjfm, 8_lag_traEU, 11_lag_atlSICjfm, 9_lag_AMOCann, 9_lag_mhfATL30, 1_lag_16_median_traFB, 1_lag_eurPSLjfm, 1_lag_5_median_wnorPRjfm, 4_lag_traDS, 1_lag_15_median_glomaSSTjfm, 1_lag_16_median_scpPSLjfm, 1_lag_15_median_stratZ50ndj04, 14_lag_traFS, 1_lag_9_median_shSICsep, 1_lag_12_median_nppc2SSTjfm, 1_lag_2_median_traFS_2015_1"
LRforcedPSO,3,30,gyreSSTjfm,slow,869.5,2005.5,0.4,18,1,1,23.72958759732395,-0.015600007503883928,2145,"['1_lag_6_median_neurTSjfm', '1_lag_7_median_traIT', '1_lag_8_median_mhfIP30', '4_lag_mhfATL45', '3_lag_mhfATL60', '8_lag_wnorPRjfm', '1_lag_2_median_labSSTjfm', '1_lag_11_median_ensoSSTjfm', '1_lag_2_median_mhfIP30', '13_lag_nppc3SSTjfm', '1_lag_3_median_tripol3', '1_lag_shSICmar', '1_lag_8_median_traFSC', '5_lag_amo1', '1_lag_7_median_traDP', '1_lag_12_median_atlSICjfm', '1_lag_traIFC', '1_lag_16_median_nppc3SSTjfm', '1_lag_17_median_yrvPRjja', '1_lag_3_median_amo1', '16_lag_traWP', '7_lag_ginwSSTjfm', '13_lag_ismPRjja', '4_lag_yrvPRjja', '1_lag_17_median_solFORC', '1_lag_7_median_nhSICjfm', '1_lag_10_median_mhfATL30', '1_lag_6_median_eapPSLjfm', '1_lag_3_median_scpPSLjfm', '1_lag_8_median_stratZ50ndj02']","[2.7274054023700316, 6.000440339384657, 4.307769839939077, 6.040597302569022, 1.0089253737119268, 7.766896623453903, 0.030747110845208425, 7.891510723001943, 0.6517512189424206, 2.3768753987219995, 1.0989006877000236, 1.8413328091790184, 8.676752411971812, 5.812597658685981, 1.47320865958587, 4.839481682197839, 7.74919394454048, 3.3790886145309944, 2.6097751542049537, 8.402607810725996, 7.5832974404609494, 0.48150469139588026, 1.6450101800886063, 8.575681577871514, 0.9071204066411056, 8.164171310303935, 2.26227229037635, 2.5724306158360033, 1.837541967978094, 0.4725949437209813]","1_lag_6_median_neurTSjfm, 1_lag_7_median_traIT, 1_lag_8_median_mhfIP30, 4_lag_mhfATL45, 3_lag_mhfATL60, 8_lag_wnorPRjfm, 1_lag_2_median_labSSTjfm, 1_lag_11_median_ensoSSTjfm, 1_lag_2_median_mhfIP30, 13_lag_nppc3SSTjfm, 1_lag_3_median_tripol3, 1_lag_shSICmar, 1_lag_8_median_traFSC, 5_lag_amo1, 1_lag_7_median_traDP, 1_lag_12_median_atlSICjfm, 1_lag_traIFC, 1_lag_16_median_nppc3SSTjfm, 1_lag_17_median_yrvPRjja, 1_lag_3_median_amo1, 16_lag_traWP, 7_lag_ginwSSTjfm, 13_lag_ismPRjja, 4_lag_yrvPRjja, 1_lag_17_median_solFORC, 1_lag_7_median_nhSICjfm, 1_lag_10_median_mhfATL30, 1_lag_6_median_eapPSLjfm, 1_lag_3_median_scpPSLjfm, 1_lag_8_median_stratZ50ndj02_2145_1"
LRforcedPSO,4,30,gyreSSTjfm,slow,870.5,2005.5,0.4,19,1,1,26.21612071373655,0.17597860396230855,2275,"['1_lag_mhfATL30', '1_lag_13_median_eurPSLjfm', '1_lag_17_median_alpi', '1_lag_4_median_traBS', '4_lag_traFS', '17_lag_atlSICsep', '1_lag_9_median_mhfATL60', '18_lag_shSICsep', '1_lag_13_median_nchinaPRjja', '1_lag_11_median_traFSC', '1_lag_15_median_nchinaPRjja', '13_lag_traBO', '5_lag_stratZ50ndj03', '13_lag_nhTSjfm', '5_lag_mhfATL45', '6_lag_atlSICjfm', '1_lag_14_median_nhSICsep', '1_lag_10_median_traFS', '6_lag_traDS', '2_lag_mhfATL30', '1_lag_17_median_traIFC', '2_lag_scpPSLjfm', '10_lag_nppc2SSTjfm', '1_lag_12_median_mhfATL60', '1_lag_2_median_mhfATL60', '12_lag_wnorPRjfm', '12_lag_traEC', '6_lag_traEC', '3_lag_naoPSLjfm', '1_lag_14_median_traTLS']","[4.576914483109656, 7.405177382488958, 2.1111295248364588, 4.63352762734781, 5.374227409297198, 1.7949608990931516, 7.9392956690563, 3.3586385344008907, 2.0122656434317125, 6.620415300004176, 5.959506840188582, 4.887821180264593, 7.8271258775103565, 1.6984146292439455, 3.0284310087826487, 5.4325348511497396, 5.510484331772374, 3.812018706776077, 5.689949124449994, 0.08960646361107116, 0.31950848951758637, 5.879655632098746, 5.340256580001983, 5.5516022845142246, 0.5819910185883508, 1.229700848102656, 4.082429709180997, 8.2717881608122, 2.379411444727989, 0.8682776232085949]","1_lag_mhfATL30, 1_lag_13_median_eurPSLjfm, 1_lag_17_median_alpi, 1_lag_4_median_traBS, 4_lag_traFS, 17_lag_atlSICsep, 1_lag_9_median_mhfATL60, 18_lag_shSICsep, 1_lag_13_median_nchinaPRjja, 1_lag_11_median_traFSC, 1_lag_15_median_nchinaPRjja, 13_lag_traBO, 5_lag_stratZ50ndj03, 13_lag_nhTSjfm, 5_lag_mhfATL45, 6_lag_atlSICjfm, 1_lag_14_median_nhSICsep, 1_lag_10_median_traFS, 6_lag_traDS, 2_lag_mhfATL30, 1_lag_17_median_traIFC, 2_lag_scpPSLjfm, 10_lag_nppc2SSTjfm, 1_lag_12_median_mhfATL60, 1_lag_2_median_mhfATL60, 12_lag_wnorPRjfm, 12_lag_traEC, 6_lag_traEC, 3_lag_naoPSLjfm, 1_lag_14_median_traTLS_2275_1"
LRforcedPSO,5,30,gyreSSTjfm,slow,871.5,2005.5,0.4,20,1,1,28.00191445996947,0.22291755425995463,2405,"['1_lag_9_median_traMC', '1_lag_3_median_traFS', '1_lag_10_median_satlSSTjfm', '8_lag_amo1', '1_lag_10_median_nppc2SSTjfm', '11_lag_satlSSTjfm', '15_lag_neurTSjfm', '19_lag_seurTSjfm', '2_lag_eapPSLjfm', '1_lag_solFORC', '18_lag_samPSLann', '3_lag_amo1', '2_lag_amo1', '1_lag_18_median_amoSSTmjjaso', '17_lag_neurTSjfm', '1_lag_3_median_eurPSLjfm', '1_lag_12_median_tripol2', '1_lag_4_median_cetTSjfm', '1_lag_11_median_traBO', '4_lag_shSICmar', '4_lag_atlSICsep', '1_lag_5_median_tripol1', '1_lag_12_median_stratZ50ndj01', '1_lag_10_median_traFS', '1_lag_16_median_mhfATL45', '3_lag_AMOCann', '1_lag_6_median_nhTSjfm', '1_lag_18_median_ensoSSTjfm', '1_lag_15_median_atlSICsep', '1_lag_10_median_traBS']","[0.6596186187164559, 5.617909663506899, 2.423073284908302, 6.022679016507539, 2.7614342073796276, 9.125844108163534, 5.125423131845849, 0.3043447114952933, 7.923712355803383, 0.21240440205400546, 3.408387075926578, 0.18408553238905867, 3.8997394489051995, 0.7037590302327104, 5.048961890258797, 1.532985432577437, 1.925452370606557, 7.4613366954975255, 1.94908622441549, 7.914661466391819, 7.497318417267764, 7.864484292276966, 6.557489182764563, 4.238764743818875, 5.486113593746262, 4.9145907986298365, 6.977854764387423, 7.986182037999285, 2.2622559133417326, 6.790051455250339]","1_lag_9_median_traMC, 1_lag_3_median_traFS, 1_lag_10_median_satlSSTjfm, 8_lag_amo1, 1_lag_10_median_nppc2SSTjfm, 11_lag_satlSSTjfm, 15_lag_neurTSjfm, 19_lag_seurTSjfm, 2_lag_eapPSLjfm, 1_lag_solFORC, 18_lag_samPSLann, 3_lag_amo1, 2_lag_amo1, 1_lag_18_median_amoSSTmjjaso, 17_lag_neurTSjfm, 1_lag_3_median_eurPSLjfm, 1_lag_12_median_tripol2, 1_lag_4_median_cetTSjfm, 1_lag_11_median_traBO, 4_lag_shSICmar, 4_lag_atlSICsep, 1_lag_5_median_tripol1, 1_lag_12_median_stratZ50ndj01, 1_lag_10_median_traFS, 1_lag_16_median_mhfATL45, 3_lag_AMOCann, 1_lag_6_median_nhTSjfm, 1_lag_18_median_ensoSSTjfm, 1_lag_15_median_atlSICsep, 1_lag_10_median_traBS_2405_1"
LRforcedPSO,6,30,gyreSSTjfm,slow,872.5,2005.5,0.4,21,1,1,24.18664302026875,0.02159595521255197,2535,"['20_lag_nhSICsep', '1_lag_9_median_amoSSTmjjaso', '1_lag_3_median_ensoSSTjfm', '1_lag_3_median_labSSTjfm', '1_lag_19_median_stratZ50ndj02', '20_lag_traIFC', '1_lag_8_median_stratZ50ndj02', '1_lag_13_median_ginwSSTjfm', '1_lag_11_median_mhfATL60', '1_lag_20_median_glTSjfm', '11_lag_atlSICjfm', '1_lag_19_median_shSICsep', '1_lag_8_median_solFORC', '1_lag_4_median_traEU', '1_lag_8_median_samPSLann', '13_lag_ismPRjja', '9_lag_naoPSLjfm', '1_lag_20_median_traCA', '20_lag_traBS', '1_lag_6_median_traWP', '2_lag_stratZ50ndj04', '8_lag_traWP', '12_lag_traFSC', '1_lag_16_median_traWP', '4_lag_ormenSSTjfm', '1_lag_11_median_traIT', '1_lag_7_median_traDS', '2_lag_traIFC', '1_lag_11_median_amoSSTmjjaso', '20_lag_samPSLann']","[5.092974496608955, 4.518025717319933, 8.145985285772372, 3.357268528930617, 7.226093881415142, 3.632145050489777, 1.3307932570190477, 9.503872784558729, 3.6165112357392193, 1.423054654221886, 1.7355057228746915, 0.685801005888214, 6.676872775466453, 1.6065019133533944, 2.8018142694589336, 3.972989754063665, 3.7480037298109643, 4.775205721994629, 3.3819934053989957, 4.282954951516057, 7.206102428072669, 1.7179579883457379, 6.731623687591185, 7.9771594307153, 5.2031130202682885, 4.16240281628129, 8.975206292122351, 7.316450866335089, 8.784013604799576, 9.501187036549535]","20_lag_nhSICsep, 1_lag_9_median_amoSSTmjjaso, 1_lag_3_median_ensoSSTjfm, 1_lag_3_median_labSSTjfm, 1_lag_19_median_stratZ50ndj02, 20_lag_traIFC, 1_lag_8_median_stratZ50ndj02, 1_lag_13_median_ginwSSTjfm, 1_lag_11_median_mhfATL60, 1_lag_20_median_glTSjfm, 11_lag_atlSICjfm, 1_lag_19_median_shSICsep, 1_lag_8_median_solFORC, 1_lag_4_median_traEU, 1_lag_8_median_samPSLann, 13_lag_ismPRjja, 9_lag_naoPSLjfm, 1_lag_20_median_traCA, 20_lag_traBS, 1_lag_6_median_traWP, 2_lag_stratZ50ndj04, 8_lag_traWP, 12_lag_traFSC, 1_lag_16_median_traWP, 4_lag_ormenSSTjfm, 1_lag_11_median_traIT, 1_lag_7_median_traDS, 2_lag_traIFC, 1_lag_11_median_amoSSTmjjaso, 20_lag_samPSLann_2535_1"
LRforcedPSO,7,30,gyreSSTjfm,slow,873.5,2005.5,0.4,22,1,1,29.67160695191375,0.13158409338811175,2665,"['1_lag_18_median_amoSSTmjjaso', '1_lag_10_median_tripol3', '2_lag_ismPRjja', '1_lag_16_median_alpi', '1_lag_7_median_samPSLann', '2_lag_ginwSSTjfm', '15_lag_solFORC', '1_lag_traFS', '21_lag_traFB', '1_lag_5_median_traIT', '1_lag_3_median_nhSICsep', '1_lag_6_median_traBS', '12_lag_mhfIP30', '18_lag_stratZ50ndj03', '1_lag_4_median_solFORC', '20_lag_labSSTjfm', '14_lag_nhSICjfm', '19_lag_nhTSjfm', '18_lag_stratZ50ndj02', '21_lag_nhSICsep', '1_lag_15_median_labSSTjfm', '1_lag_amo1', '1_lag_traFSC', '14_lag_scpPSLjfm', '1_lag_12_median_neurTSjfm', '1_lag_9_median_satlSSTjfm', '6_lag_glomaSSTjfm', '1_lag_2_median_traDS', '1_lag_3_median_traCA', '15_lag_amo3']","[2.5776004598265523, 9.622719574418788, 2.7223077434512977, 4.00418878305139, 7.825521814214797, 7.061528386816185, 1.156388436968939, 0.042253624199839024, 6.818409256169097, 3.7724689413399233, 0.5290689783066256, 6.729793600314842, 3.163423469000584, 3.854210707185308, 8.884798597976076, 7.562564921838739, 7.676248495924279, 0.2099749091112706, 0.6784915584184077, 8.83125351157718, 3.0659569392146047, 3.0047582764739778, 6.669890193881455, 1.998455409477538, 3.6856024718960043, 0.9854025220075417, 2.1919689915919616, 4.73433759948913, 1.6833886677602177, 1.4418246629014213]","1_lag_18_median_amoSSTmjjaso, 1_lag_10_median_tripol3, 2_lag_ismPRjja, 1_lag_16_median_alpi, 1_lag_7_median_samPSLann, 2_lag_ginwSSTjfm, 15_lag_solFORC, 1_lag_traFS, 21_lag_traFB, 1_lag_5_median_traIT, 1_lag_3_median_nhSICsep, 1_lag_6_median_traBS, 12_lag_mhfIP30, 18_lag_stratZ50ndj03, 1_lag_4_median_solFORC, 20_lag_labSSTjfm, 14_lag_nhSICjfm, 19_lag_nhTSjfm, 18_lag_stratZ50ndj02, 21_lag_nhSICsep, 1_lag_15_median_labSSTjfm, 1_lag_amo1, 1_lag_traFSC, 14_lag_scpPSLjfm, 1_lag_12_median_neurTSjfm, 1_lag_9_median_satlSSTjfm, 6_lag_glomaSSTjfm, 1_lag_2_median_traDS, 1_lag_3_median_traCA, 15_lag_amo3_2665_1"
LRforcedPSO,8,30,gyreSSTjfm,slow,874.5,2005.5,0.4,23,1,1,25.89418448801857,0.20465954637454337,2795,"['14_lag_mhfATL60', '1_lag_16_median_traFS', '20_lag_gyreSSTjfm', '20_lag_AMOCann', '8_lag_solFORC', '16_lag_mhfATL30', '15_lag_tripol1', '20_lag_traDS', '1_lag_nppc3SSTjfm', '22_lag_arcTSjfm', '1_lag_17_median_ismPRjja', '1_lag_18_median_mhfATL30', '1_lag_5_median_traBO', '1_lag_21_median_atlSICjfm', '4_lag_traWP', '16_lag_cetTSjfm', '1_lag_5_median_pdoSSTjfm', '1_lag_16_median_traBS', '1_lag_9_median_neurTSjfm', '1_lag_8_median_atlSICjfm', '1_lag_6_median_traBS', '4_lag_labSSTjfm', '1_lag_amoSSTmjjaso', '3_lag_traBO', '1_lag_7_median_shTSjfm', '22_lag_traIT', '4_lag_mhfATL45', '1_lag_12_median_traCA', '10_lag_yrvPRjja', '1_lag_21_median_traMC']","[6.87538882336046, 1.3665850466315383, 7.546429684234141, 2.5586927446956036, 4.004984561099384, 2.9690185545811403, 5.689783011305554, 9.748391429477124, 3.1735036803541528, 7.293586421906944, 9.114400512060008, 1.7220837555870006, 4.711584877711261, 7.283935092525917, 3.755693435745881, 3.399772902541633, 2.3931745711798103, 4.974712562841031, 1.0614149360847165, 5.6391487468060735, 0.18264831652292557, 1.3629118579073705, 4.878315139147029, 8.752655930821817, 3.1015453147520873, 6.497895393621619, 5.335829181926979, 5.878913241212214, 0.37193384978235855, 1.3916868346097626]","14_lag_mhfATL60, 1_lag_16_median_traFS, 20_lag_gyreSSTjfm, 20_lag_AMOCann, 8_lag_solFORC, 16_lag_mhfATL30, 15_lag_tripol1, 20_lag_traDS, 1_lag_nppc3SSTjfm, 22_lag_arcTSjfm, 1_lag_17_median_ismPRjja, 1_lag_18_median_mhfATL30, 1_lag_5_median_traBO, 1_lag_21_median_atlSICjfm, 4_lag_traWP, 16_lag_cetTSjfm, 1_lag_5_median_pdoSSTjfm, 1_lag_16_median_traBS, 1_lag_9_median_neurTSjfm, 1_lag_8_median_atlSICjfm, 1_lag_6_median_traBS, 4_lag_labSSTjfm, 1_lag_amoSSTmjjaso, 3_lag_traBO, 1_lag_7_median_shTSjfm, 22_lag_traIT, 4_lag_mhfATL45, 1_lag_12_median_traCA, 10_lag_yrvPRjja, 1_lag_21_median_traMC_2795_1"
LRforcedPSO,9,30,gyreSSTjfm,slow,875.5,2005.5,0.4,24,1,1,23.852920411847414,-0.02201752087440533,2925,"['1_lag_12_median_amo3', '8_lag_mhfATL60', '1_lag_17_median_tripol1', '1_lag_2_median_amo2', '23_lag_mhfATL45', '1_lag_20_median_ensoSSTjfm', '9_lag_glTSjfm', '21_lag_glTSjfm', '1_lag_22_median_traFSC', '1_lag_23_median_neurTSjfm', '21_lag_glomaSSTjfm', '1_lag_traDS', '17_lag_naoPSLjfm', '22_lag_labSSTjfm', '1_lag_11_median_wnorPRjfm', '1_lag_16_median_shTSjfm', '14_lag_amo1', '1_lag_9_median_traDP', '1_lag_6_median_traBO', '14_lag_traDP', '1_lag_scpPSLjfm', '1_lag_11_median_atlSICsep', '17_lag_ginwSSTjfm', '1_lag_7_median_ormenSSTjfm', '8_lag_arcTSjfm', '12_lag_alpi', '8_lag_tripol1', '5_lag_seurTSjfm', '1_lag_19_median_traWP', '8_lag_traDS']","[0.08227449518495256, 2.721066005042303, 0.6858867177437276, 5.8333744432848516, 7.645900094782547, 0.42073581901219725, 0.017611574528693552, 4.2915697379516615, 8.545532908868761, 5.295323363263544, 0.9648708708978617, 2.519496267725736, 8.448489187962412, 5.893555533163127, 7.171749948277122, 8.634628113325247, 2.4921561799473047, 0.37093858346630526, 8.177511379273948, 2.363635324266065, 0.871819318171493, 1.5772944169379493, 2.13035202960028, 2.875052645789986, 4.8692049570847225, 0.6528379461829115, 8.385449428289519, 5.195071969398185, 1.2946953442624771, 4.292030322597283]","1_lag_12_median_amo3, 8_lag_mhfATL60, 1_lag_17_median_tripol1, 1_lag_2_median_amo2, 23_lag_mhfATL45, 1_lag_20_median_ensoSSTjfm, 9_lag_glTSjfm, 21_lag_glTSjfm, 1_lag_22_median_traFSC, 1_lag_23_median_neurTSjfm, 21_lag_glomaSSTjfm, 1_lag_traDS, 17_lag_naoPSLjfm, 22_lag_labSSTjfm, 1_lag_11_median_wnorPRjfm, 1_lag_16_median_shTSjfm, 14_lag_amo1, 1_lag_9_median_traDP, 1_lag_6_median_traBO, 14_lag_traDP, 1_lag_scpPSLjfm, 1_lag_11_median_atlSICsep, 17_lag_ginwSSTjfm, 1_lag_7_median_ormenSSTjfm, 8_lag_arcTSjfm, 12_lag_alpi, 8_lag_tripol1, 5_lag_seurTSjfm, 1_lag_19_median_traWP, 8_lag_traDS_2925_1"
