model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,gyreSSTjfm,slow,866.5,2005.5,0.4,15,1,1,10.112692997604372,0.6345287486240853,1755,"['9_lag_cetTSjfm', '1_lag_traIFC', '1_lag_traDS', '4_lag_tripol3', '1_lag_traBS', '1_lag_traCA', '1_lag_traFSC', '1_lag_traEC', '1_lag_atlSICsep', '1_lag_mhfATL45']","[0.030336042559698566, 0.01568539744329825, 0.2633425030052047, 0.040454932250375546, 0.02897077574941986, 0.17241324368768818, 0.16255099355425934, 0.03708477154874266, 0.0795160545704946, 0.43662559092893344]","9_lag_cetTSjfm, 1_lag_traIFC, 1_lag_traDS, 4_lag_tripol3, 1_lag_traBS, 1_lag_traCA, 1_lag_traFSC, 1_lag_traEC, 1_lag_atlSICsep, 1_lag_mhfATL45_1755_1"
LinearRegression,1,10,gyreSSTjfm,slow,867.5,2005.5,0.4,16,1,1,10.075916308239163,0.6379882693879962,1885,"['1_lag_traIFC', '1_lag_traDS', '1_lag_samPSLann', '4_lag_tripol3', '1_lag_traBS', '1_lag_traCA', '1_lag_traFSC', '1_lag_traEC', '1_lag_atlSICsep', '1_lag_mhfATL45']","[0.07282716409619014, 0.1590685571054707, 0.04879840662781065, 0.032614681407400495, 0.041471317824173036, 0.14449784836005553, 0.23721504121650844, 0.03948198713595233, 0.0814798916281522, 0.44775379798279735]","1_lag_traIFC, 1_lag_traDS, 1_lag_samPSLann, 4_lag_tripol3, 1_lag_traBS, 1_lag_traCA, 1_lag_traFSC, 1_lag_traEC, 1_lag_atlSICsep, 1_lag_mhfATL45_1885_1"
LinearRegression,2,10,gyreSSTjfm,slow,868.5,2005.5,0.4,17,1,1,10.112664799450345,0.6325562418950548,2015,"['1_lag_traBS', '1_lag_traCA', '12_lag_ismPRjja', '1_lag_traIFC', '1_lag_traDS', '1_lag_samPSLann', '1_lag_traFSC', '1_lag_atlSICsep', '1_lag_traEC', '1_lag_mhfATL45']","[0.02905729985256204, 0.15292459837142147, 0.062015547519685466, 0.05500300627473549, 0.19813565877237554, 0.05191616544532879, 0.21884163408658794, 0.08390814537243431, 0.0354525524340413, 0.4436468638947848]","1_lag_traBS, 1_lag_traCA, 12_lag_ismPRjja, 1_lag_traIFC, 1_lag_traDS, 1_lag_samPSLann, 1_lag_traFSC, 1_lag_atlSICsep, 1_lag_traEC, 1_lag_mhfATL45_2015_1"
LinearRegression,3,10,gyreSSTjfm,slow,869.5,2005.5,0.4,18,1,1,10.107484612203232,0.6318645715765836,2145,"['12_lag_ismPRjja', '13_lag_alpi', '1_lag_traIFC', '1_lag_traDS', '1_lag_traBS', '1_lag_traFSC', '1_lag_traEC', '1_lag_samPSLann', '1_lag_atlSICsep', '1_lag_mhfATL45']","[0.06416443899842911, 0.02303675630255675, 0.27829413653774915, 0.2017211134964641, 0.06833926936722406, 0.46205892443390345, 0.044868966173134225, 0.04896059934613227, 0.08370765611166701, 0.44341698702795507]","12_lag_ismPRjja, 13_lag_alpi, 1_lag_traIFC, 1_lag_traDS, 1_lag_traBS, 1_lag_traFSC, 1_lag_traEC, 1_lag_samPSLann, 1_lag_atlSICsep, 1_lag_mhfATL45_2145_1"
LinearRegression,4,10,gyreSSTjfm,slow,870.5,2005.5,0.4,19,1,1,10.11822132195017,0.6313368103642556,2275,"['1_lag_traIFC', '13_lag_alpi', '12_lag_ismPRjja', '1_lag_traDS', '1_lag_traBS', '1_lag_traEC', '1_lag_traFSC', '1_lag_samPSLann', '1_lag_atlSICsep', '1_lag_mhfATL45']","[0.27688166986038587, 0.022724694335114398, 0.0653989930946475, 0.20022148041912452, 0.06807674081871413, 0.045154593936271845, 0.46068135777830327, 0.04810809392344565, 0.08372803824328265, 0.44262074182739913]","1_lag_traIFC, 13_lag_alpi, 12_lag_ismPRjja, 1_lag_traDS, 1_lag_traBS, 1_lag_traEC, 1_lag_traFSC, 1_lag_samPSLann, 1_lag_atlSICsep, 1_lag_mhfATL45_2275_1"
LinearRegression,5,10,gyreSSTjfm,slow,871.5,2005.5,0.4,20,1,1,10.093589472569592,0.6368372343046349,2405,"['1_lag_traIFC', '1_lag_traCA', '13_lag_alpi', '1_lag_traBS', '1_lag_traDS', '1_lag_traEC', '1_lag_atlSICsep', '1_lag_samPSLann', '1_lag_traFSC', '1_lag_mhfATL45']","[0.11685675979220878, 0.11049902052822748, 0.0230255947805406, 0.04487133017702722, 0.08385386027652927, 0.03970705394015117, 0.07955378686675692, 0.04618904013762175, 0.2898093075029476, 0.4451028523900301]","1_lag_traIFC, 1_lag_traCA, 13_lag_alpi, 1_lag_traBS, 1_lag_traDS, 1_lag_traEC, 1_lag_atlSICsep, 1_lag_samPSLann, 1_lag_traFSC, 1_lag_mhfATL45_2405_1"
LinearRegression,6,10,gyreSSTjfm,slow,872.5,2005.5,0.4,21,1,1,10.103578513111756,0.632846461518338,2535,"['1_lag_traBS', '12_lag_ismPRjja', '1_lag_traIFC', '13_lag_alpi', '1_lag_atlSICsep', '1_lag_traDS', '1_lag_traEC', '1_lag_samPSLann', '1_lag_traFSC', '1_lag_mhfATL45']","[0.06161486623031703, 0.06959697936483178, 0.27782371980637266, 0.02309364985720634, 0.08497538457935039, 0.20082032847498302, 0.05008533954798679, 0.04180626513598436, 0.46203110463593566, 0.4374590020024103]","1_lag_traBS, 12_lag_ismPRjja, 1_lag_traIFC, 13_lag_alpi, 1_lag_atlSICsep, 1_lag_traDS, 1_lag_traEC, 1_lag_samPSLann, 1_lag_traFSC, 1_lag_mhfATL45_2535_1"
LinearRegression,7,10,gyreSSTjfm,slow,873.5,2005.5,0.4,22,1,1,10.075513490570255,0.6348553092851432,2665,"['1_lag_traBS', '1_lag_traIFC', '12_lag_ismPRjja', '1_lag_atlSICsep', '13_lag_alpi', '1_lag_traEC', '1_lag_traDS', '1_lag_samPSLann', '1_lag_traFSC', '1_lag_mhfATL45']","[0.06473981934172625, 0.28526434182054916, 0.0611027182635194, 0.08154928708018361, 0.024181918056153218, 0.04944714629625209, 0.22148073795937973, 0.033708485282994305, 0.47505213552713677, 0.43862613707380266]","1_lag_traBS, 1_lag_traIFC, 12_lag_ismPRjja, 1_lag_atlSICsep, 13_lag_alpi, 1_lag_traEC, 1_lag_traDS, 1_lag_samPSLann, 1_lag_traFSC, 1_lag_mhfATL45_2665_1"
LinearRegression,8,10,gyreSSTjfm,slow,874.5,2005.5,0.4,23,1,1,10.065946155514958,0.6384284020016834,2795,"['1_lag_atlSICsep', '1_lag_traCA', '1_lag_traBS', '13_lag_alpi', '1_lag_traIFC', '1_lag_traEC', '1_lag_traDS', '1_lag_samPSLann', '1_lag_traFSC', '1_lag_mhfATL45']","[0.07968082080492717, 0.10237278205019684, 0.048217175182612065, 0.023677749888683652, 0.13981977239034504, 0.044592563711998656, 0.04528556848324479, 0.039088038162788, 0.31239710776526985, 0.4414167215419177]","1_lag_atlSICsep, 1_lag_traCA, 1_lag_traBS, 13_lag_alpi, 1_lag_traIFC, 1_lag_traEC, 1_lag_traDS, 1_lag_samPSLann, 1_lag_traFSC, 1_lag_mhfATL45_2795_1"
LinearRegression,9,10,gyreSSTjfm,slow,875.5,2005.5,0.4,24,1,1,10.147981795628436,0.6270198759059095,2925,"['13_lag_alpi', '12_lag_ismPRjja', '1_lag_traCA', '1_lag_traBS', '1_lag_traIFC', '1_lag_traEC', '1_lag_traDS', '1_lag_samPSLann', '1_lag_traFSC', '1_lag_mhfATL45']","[0.0246562018303437, 0.06254600504307944, 0.11315548042540788, 0.044022839573979844, 0.12554168365605695, 0.046815876476524715, 0.039875090912346506, 0.03433573096560507, 0.32496380576057127, 0.4482468972332993]","13_lag_alpi, 12_lag_ismPRjja, 1_lag_traCA, 1_lag_traBS, 1_lag_traIFC, 1_lag_traEC, 1_lag_traDS, 1_lag_samPSLann, 1_lag_traFSC, 1_lag_mhfATL45_2925_1"
