model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,ismPRjja,slow,866.5,2005.5,0.6,15,5,5,11.361141853471548,0.07258556928000555,1235,"['11_lag_shTSjfm', '13_lag_yrvPRjja', '13_lag_traMC', '5_lag_shSICmar', '9_lag_traWP', '8_lag_tripol3']","[0.17460072380500039, 0.17010932893311106, 0.1660513152281325, 0.13906235490220634, 0.169868647795853, 0.1803076293356967]","11_lag_shTSjfm, 13_lag_yrvPRjja, 13_lag_traMC, 5_lag_shSICmar, 9_lag_traWP, 8_lag_tripol3_1235_5"
RandomForestRegressor,1,6,ismPRjja,slow,867.5,2005.5,0.6,16,6,6,11.50198585770493,0.00802636283939599,1235,"['13_lag_yrvPRjja', '6_lag_amoSSTmjjaso', '13_lag_traMC', '9_lag_traWP', '8_lag_tripol3', '6_lag_8_median_nchinaPRjja']","[0.15929202151984503, 0.17079810222098088, 0.1605546680744112, 0.17010820727972836, 0.17262241057592703, 0.1666245903291076]","13_lag_yrvPRjja, 6_lag_amoSSTmjjaso, 13_lag_traMC, 9_lag_traWP, 8_lag_tripol3, 6_lag_8_median_nchinaPRjja_1235_6"
RandomForestRegressor,2,6,ismPRjja,slow,868.5,2005.5,0.6,17,7,7,11.688963400248777,0.017769081505430072,1235,"['8_lag_tripol3', '10_lag_amo2', '7_lag_8_median_tripol3', '13_lag_yrvPRjja', '13_lag_traMC', '9_lag_traWP']","[0.10524551965508372, 0.20760266739448952, 0.09651274827546585, 0.1924784161654646, 0.19573685074917715, 0.20242379776031924]","8_lag_tripol3, 10_lag_amo2, 7_lag_8_median_tripol3, 13_lag_yrvPRjja, 13_lag_traMC, 9_lag_traWP_1235_7"
RandomForestRegressor,3,6,ismPRjja,slow,869.5,2005.5,0.6,18,8,8,11.819402515403963,0.0005507261797040473,1235,"['17_lag_traFB', '15_lag_ensoSSTjfm', '10_lag_amo2', '13_lag_yrvPRjja', '13_lag_traMC', '8_lag_tripol3']","[0.1764015731112521, 0.16567673758519988, 0.1791926536055817, 0.166496456999893, 0.15321701460602752, 0.159015564092046]","17_lag_traFB, 15_lag_ensoSSTjfm, 10_lag_amo2, 13_lag_yrvPRjja, 13_lag_traMC, 8_lag_tripol3_1235_8"
RandomForestRegressor,4,6,ismPRjja,slow,870.5,2005.5,0.6,19,9,9,11.87476567296293,0.0021851777002706444,1235,"['15_lag_ensoSSTjfm', '11_lag_stratZ50ndj03', '13_lag_yrvPRjja', '18_lag_amo3', '13_lag_traMC', '9_lag_traWP']","[0.18443612944686108, 0.15168435969508798, 0.16348660120225134, 0.1666326608198867, 0.16599103820825648, 0.16776921062765648]","15_lag_ensoSSTjfm, 11_lag_stratZ50ndj03, 13_lag_yrvPRjja, 18_lag_amo3, 13_lag_traMC, 9_lag_traWP_1235_9"
RandomForestRegressor,5,6,ismPRjja,slow,871.5,2005.5,0.6,20,10,10,11.93240043107606,-0.039328902227181835,1235,"['17_lag_traFB', '19_lag_tripol3', '13_lag_yrvPRjja', '10_lag_amo2', '18_lag_amo3', '13_lag_traMC']","[0.1682980565912462, 0.16957938440012996, 0.16025712649967336, 0.18102702348561417, 0.16798380470966986, 0.15285460431366665]","17_lag_traFB, 19_lag_tripol3, 13_lag_yrvPRjja, 10_lag_amo2, 18_lag_amo3, 13_lag_traMC_1235_10"
RandomForestRegressor,6,6,ismPRjja,slow,872.5,2005.5,0.6,21,11,11,11.6777379783735,0.023308108494613056,1235,"['17_lag_traFB', '11_lag_stratZ50ndj03', '11_lag_shTSjfm', '13_lag_yrvPRjja', '13_lag_traMC', '18_lag_amo3']","[0.16521869174004394, 0.1458150682096436, 0.17629464643587717, 0.16542101565423753, 0.1664698566398024, 0.18078072132039535]","17_lag_traFB, 11_lag_stratZ50ndj03, 11_lag_shTSjfm, 13_lag_yrvPRjja, 13_lag_traMC, 18_lag_amo3_1235_11"
RandomForestRegressor,7,6,ismPRjja,slow,873.5,2005.5,0.6,22,12,12,12.009230913424778,-0.06490847095800742,1235,"['15_lag_ensoSSTjfm', '17_lag_traFB', '19_lag_tripol3', '12_lag_14_median_traBS', '12_lag_14_median_eapPSLjfm', '18_lag_amo3']","[0.17589890039870265, 0.1779154895586581, 0.15963932914915635, 0.1591751009543216, 0.14711449713813002, 0.18025668280103124]","15_lag_ensoSSTjfm, 17_lag_traFB, 19_lag_tripol3, 12_lag_14_median_traBS, 12_lag_14_median_eapPSLjfm, 18_lag_amo3_1235_12"
RandomForestRegressor,8,6,ismPRjja,slow,874.5,2005.5,0.6,23,13,13,11.729559681487789,0.0019148856674400343,1235,"['17_lag_traFB', '13_lag_yrvPRjja', '19_lag_tripol3', '13_lag_18_median_ensoSSTjfm', '18_lag_amo3', '13_lag_traMC']","[0.1706924844425651, 0.16756636224189358, 0.16486804665762508, 0.16087712935781262, 0.17399644160313393, 0.1619995356969697]","17_lag_traFB, 13_lag_yrvPRjja, 19_lag_tripol3, 13_lag_18_median_ensoSSTjfm, 18_lag_amo3, 13_lag_traMC_1235_13"
RandomForestRegressor,9,6,ismPRjja,slow,875.5,2005.5,0.6,24,14,14,11.763410790522004,-0.011968175904437812,1235,"['17_lag_amo3', '14_lag_traBS', '19_lag_tripol3', '17_lag_traFB', '23_lag_eurPSLjfm', '18_lag_amo3']","[0.15016131337213026, 0.1597281364428635, 0.17847319675209347, 0.15089653552716137, 0.1839484927650666, 0.17679232514068477]","17_lag_amo3, 14_lag_traBS, 19_lag_tripol3, 17_lag_traFB, 23_lag_eurPSLjfm, 18_lag_amo3_1235_14"
