model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,labSSTjfm,slow,1514.5,2005.5,0.8,15,1,1,27.220874610486543,0.2758085862286634,1755,"['4_lag_naoPSLjfm', '1_lag_11_median_traWP', '2_lag_wnorPRjfm', '14_lag_arcTSjfm', '13_lag_AMOCann', '4_lag_traMC', '1_lag_12_median_nppc3SSTjfm', '5_lag_traWP', '1_lag_11_median_traIFC', '1_lag_7_median_traMC']","[4.586386357981704, 3.608321829682346, 1.3123940745928504, 4.494104932170435, 3.4207617586953845, 0.983942839510199, 6.659754881997393, 2.7126276334328843, 3.5461593080795932, 0.24485073096234444]","4_lag_naoPSLjfm, 1_lag_11_median_traWP, 2_lag_wnorPRjfm, 14_lag_arcTSjfm, 13_lag_AMOCann, 4_lag_traMC, 1_lag_12_median_nppc3SSTjfm, 5_lag_traWP, 1_lag_11_median_traIFC, 1_lag_7_median_traMC_1755_1"
LRforcedPSO,1,10,labSSTjfm,slow,1515.5,2005.5,0.8,16,1,1,15.480843329628568,0.2526717832414644,1885,"['1_lag_traDS', '13_lag_scpPSLjfm', '12_lag_wnorPRjfm', '13_lag_shSICmar', '12_lag_traIT', '6_lag_traTLS', '1_lag_5_median_tripol3', '1_lag_12_median_ismPRjja', '11_lag_nhTSjfm', '1_lag_3_median_shTSjfm']","[6.1565353073363625, 8.00614294256902, 1.819359864887904, 3.8074685801048336, 0.8383158155339014, 0.3714396245013063, 7.937578335620669, 2.6579349191637505, 0.7200120596302924, 8.429088729219792]","1_lag_traDS, 13_lag_scpPSLjfm, 12_lag_wnorPRjfm, 13_lag_shSICmar, 12_lag_traIT, 6_lag_traTLS, 1_lag_5_median_tripol3, 1_lag_12_median_ismPRjja, 11_lag_nhTSjfm, 1_lag_3_median_shTSjfm_1885_1"
LRforcedPSO,2,10,labSSTjfm,slow,1516.5,2005.5,0.8,17,1,1,17.52671166283354,0.0993120265859793,2015,"['11_lag_cetTSjfm', '12_lag_nchinaPRjja', '1_lag_9_median_AMOCann', '13_lag_traBS', '1_lag_2_median_atlSICsep', '1_lag_16_median_atlSICsep', '1_lag_2_median_amo2', '12_lag_shTSjfm', '1_lag_11_median_neurTSjfm', '1_lag_14_median_traBO']","[1.137789570467957, 2.4197995082281842, 8.006701541114051, 0.4621976778951993, 6.097833671173487, 6.847512754991067, 5.520541402160215, 5.130195247420843, 4.824778102859931, 2.8707411561595064]","11_lag_cetTSjfm, 12_lag_nchinaPRjja, 1_lag_9_median_AMOCann, 13_lag_traBS, 1_lag_2_median_atlSICsep, 1_lag_16_median_atlSICsep, 1_lag_2_median_amo2, 12_lag_shTSjfm, 1_lag_11_median_neurTSjfm, 1_lag_14_median_traBO_2015_1"
LRforcedPSO,3,10,labSSTjfm,slow,1517.5,2005.5,0.8,18,1,1,13.661347009495731,0.28522867122931567,2145,"['1_lag_4_median_solFORC', '1_lag_13_median_amo2', '15_lag_tripol3', '1_lag_4_median_amo2', '1_lag_5_median_mhfATL45', '1_lag_5_median_nhSICjfm', '4_lag_pdoSSTjfm', '12_lag_shSICmar', '1_lag_10_median_traFS', '1_lag_5_median_shSICmar']","[1.6284900184163025, 7.566434109352354, 2.296091270570222, 2.564020539071361, 3.718555895983293, 4.175756964227158, 5.179337818618346, 0.35713363466857473, 0.23532547937939086, 3.6564458590629574]","1_lag_4_median_solFORC, 1_lag_13_median_amo2, 15_lag_tripol3, 1_lag_4_median_amo2, 1_lag_5_median_mhfATL45, 1_lag_5_median_nhSICjfm, 4_lag_pdoSSTjfm, 12_lag_shSICmar, 1_lag_10_median_traFS, 1_lag_5_median_shSICmar_2145_1"
LRforcedPSO,4,10,labSSTjfm,slow,1518.5,2005.5,0.8,19,1,1,22.538988122658136,0.07525480743860136,2275,"['1_lag_10_median_ormenSSTjfm', '1_lag_9_median_alpi', '1_lag_3_median_cetTSjfm', '1_lag_16_median_stratZ50ndj01', '1_lag_12_median_ismPRjja', '5_lag_mhfATL45', '14_lag_traFS', '2_lag_stratZ50ndj04', '1_lag_13_median_ensoSSTjfm', '14_lag_nhTSjfm']","[2.6093612834269653, 3.5385207640232625, 0.5153972914303004, 8.739638467452352, 0.437912372997868, 9.069758483195734, 4.463579073828193, 1.4164242840969834, 2.48798626759835, 3.579970468475997]","1_lag_10_median_ormenSSTjfm, 1_lag_9_median_alpi, 1_lag_3_median_cetTSjfm, 1_lag_16_median_stratZ50ndj01, 1_lag_12_median_ismPRjja, 5_lag_mhfATL45, 14_lag_traFS, 2_lag_stratZ50ndj04, 1_lag_13_median_ensoSSTjfm, 14_lag_nhTSjfm_2275_1"
LRforcedPSO,5,10,labSSTjfm,slow,1519.5,2005.5,0.8,20,1,1,33.13545321808396,-0.29276368480739645,2405,"['1_lag_13_median_glTSjfm', '11_lag_seurTSjfm', '1_lag_17_median_amoSSTmjjaso', '1_lag_3_median_tripol2', '1_lag_4_median_traFSC', '7_lag_stratZ50ndj04', '11_lag_scpPSLjfm', '9_lag_solFORC', '1_lag_11_median_traFB', '9_lag_alpi']","[1.7435888315851216, 3.3696864236697195, 5.5825493173341645, 4.325483592927075, 0.29867532100288585, 1.6625957066142956, 0.6280980853913558, 2.5988108435288275, 6.902922398436871, 1.4884463535994001]","1_lag_13_median_glTSjfm, 11_lag_seurTSjfm, 1_lag_17_median_amoSSTmjjaso, 1_lag_3_median_tripol2, 1_lag_4_median_traFSC, 7_lag_stratZ50ndj04, 11_lag_scpPSLjfm, 9_lag_solFORC, 1_lag_11_median_traFB, 9_lag_alpi_2405_1"
LRforcedPSO,6,10,labSSTjfm,slow,1520.5,2005.5,0.8,21,1,1,13.041981663607004,0.22342999663456992,2535,"['1_lag_14_median_traFSC', '1_lag_9_median_mhfATL30', '7_lag_traIT', '12_lag_nhSICjfm', '9_lag_gyreSSTjfm', '1_lag_12_median_gyreSSTjfm', '1_lag_4_median_amoSSTmjjaso', '12_lag_yrvPRjja', '2_lag_ormenSSTjfm', '2_lag_glomaSSTjfm']","[1.9445366698426767, 2.864487998642268, 4.904657146140874, 1.4624664197061605, 5.88703938562605, 6.864615278502736, 1.7152529227342264, 1.9049325473448047, 3.7853077251835803, 0.45525457834748195]","1_lag_14_median_traFSC, 1_lag_9_median_mhfATL30, 7_lag_traIT, 12_lag_nhSICjfm, 9_lag_gyreSSTjfm, 1_lag_12_median_gyreSSTjfm, 1_lag_4_median_amoSSTmjjaso, 12_lag_yrvPRjja, 2_lag_ormenSSTjfm, 2_lag_glomaSSTjfm_2535_1"
LRforcedPSO,7,10,labSSTjfm,slow,1521.5,2005.5,0.8,22,1,1,30.434446359105657,-0.17126104065954384,2665,"['13_lag_traDS', '1_lag_10_median_tripol2', '1_lag_17_median_atlSICjfm', '3_lag_traIT', '9_lag_glomaSSTjfm', '2_lag_tripol1', '6_lag_traEC', '1_lag_7_median_tripol2', '16_lag_seurTSjfm', '3_lag_eurPSLjfm']","[2.1834167867724474, 2.0038415026804763, 4.0024739570521355, 1.195463302205562, 6.239317660586499, 3.7547825619121866, 0.3881823958392374, 0.15931226197390203, 5.2742050618546665, 0.8370050902910293]","13_lag_traDS, 1_lag_10_median_tripol2, 1_lag_17_median_atlSICjfm, 3_lag_traIT, 9_lag_glomaSSTjfm, 2_lag_tripol1, 6_lag_traEC, 1_lag_7_median_tripol2, 16_lag_seurTSjfm, 3_lag_eurPSLjfm_2665_1"
LRforcedPSO,8,10,labSSTjfm,slow,1522.5,2005.5,0.8,23,1,1,17.028815073104603,0.4169892095718205,2795,"['1_lag_16_median_nchinaPRjja', '1_lag_15_median_traEU', '7_lag_mhfATL30', '1_lag_9_median_eurPSLjfm', '1_lag_20_median_traEC', '1_lag_8_median_tripol2', '1_lag_3_median_amoSSTmjjaso', '6_lag_solFORC', '1_lag_ormenSSTjfm', '12_lag_traMC']","[5.540891168926834, 2.6998506054385416, 3.625010848664285, 2.6599331130710517, 0.4981273734291509, 3.731881613158368, 9.93677163566602, 1.9872574567484058, 2.8074502316480636, 0.2416312120305637]","1_lag_16_median_nchinaPRjja, 1_lag_15_median_traEU, 7_lag_mhfATL30, 1_lag_9_median_eurPSLjfm, 1_lag_20_median_traEC, 1_lag_8_median_tripol2, 1_lag_3_median_amoSSTmjjaso, 6_lag_solFORC, 1_lag_ormenSSTjfm, 12_lag_traMC_2795_1"
LRforcedPSO,9,10,labSSTjfm,slow,1523.5,2005.5,0.8,24,1,1,20.552767003336797,0.41289290824675756,2925,"['1_lag_17_median_satlSSTjfm', '1_lag_19_median_shSICsep', '20_lag_shTSjfm', '11_lag_traWP', '1_lag_15_median_yrvPRjja', '1_lag_16_median_tripol2', '1_lag_19_median_nhSICjfm', '1_lag_19_median_atlSICjfm', '22_lag_traTLS', '22_lag_stratZ50ndj01']","[2.066964409289003, 3.8790547635699184, 6.591542192176071, 0.8794608871765526, 1.480257642533811, 1.49856440129156, 9.039701281842031, 0.6220977853756366, 2.080788499949291, 1.1110079173157068]","1_lag_17_median_satlSSTjfm, 1_lag_19_median_shSICsep, 20_lag_shTSjfm, 11_lag_traWP, 1_lag_15_median_yrvPRjja, 1_lag_16_median_tripol2, 1_lag_19_median_nhSICjfm, 1_lag_19_median_atlSICjfm, 22_lag_traTLS, 22_lag_stratZ50ndj01_2925_1"
