model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,labSSTjfm,slow,866.5,2005.5,0.4,15,5,5,11.370666963093164,0.3801204932830148,1235,"['10_lag_traEU', '5_lag_14_median_stratZ50ndj01', '10_lag_ormenSSTjfm', '12_lag_traIT', '11_lag_nhSICsep', '10_lag_amo3', '10_lag_nppc2SSTjfm', '12_lag_samPSLann', '14_lag_nhSICsep', '14_lag_amo1', '5_lag_10_median_naoPSLjfm', '13_lag_amo3', '13_lag_traIT', '5_lag_12_median_neurTSjfm', '11_lag_seurTSjfm', '11_lag_amo1', '14_lag_mhfATL30', '13_lag_mhfATL30', '10_lag_eurPSLjfm', '5_lag_10_median_cetTSjfm', '5_lag_12_median_atlSICsep', '13_lag_stratZ50ndj04', '9_lag_mhfATL30', '9_lag_eurPSLjfm', '14_lag_traFB', '5_lag_14_median_ismPRjja', '12_lag_naoPSLjfm', '5_lag_10_median_stratZ50ndj01', '13_lag_traEU', '14_lag_shSICmar']","[0.005362261699049872, 0.2712611102146403, 0.06145215355350934, 0.021749737290328898, 0.03977161493601871, 0.03500533637134892, 0.017536462326704222, 0.08080131239202858, 0.07868567827398963, 0.00035114672240457576, 0.22678807741546378, 0.027817292583050098, 0.029393696122094852, 0.09858025995307888, 0.07381182379520179, 0.10477054352789686, 0.15240535012891382, 0.11047950013293945, 0.018450740574780147, 0.6087963416422846, 0.48940147950872787, 0.07988863118560907, 0.11168363113447631, 0.05300832992799284, 0.10350617292183632, 0.03180285275426646, 0.06096346501316661, 0.037330530583429444, 0.05003775289643689, 0.03504292494356576]","10_lag_traEU, 5_lag_14_median_stratZ50ndj01, 10_lag_ormenSSTjfm, 12_lag_traIT, 11_lag_nhSICsep, 10_lag_amo3, 10_lag_nppc2SSTjfm, 12_lag_samPSLann, 14_lag_nhSICsep, 14_lag_amo1, 5_lag_10_median_naoPSLjfm, 13_lag_amo3, 13_lag_traIT, 5_lag_12_median_neurTSjfm, 11_lag_seurTSjfm, 11_lag_amo1, 14_lag_mhfATL30, 13_lag_mhfATL30, 10_lag_eurPSLjfm, 5_lag_10_median_cetTSjfm, 5_lag_12_median_atlSICsep, 13_lag_stratZ50ndj04, 9_lag_mhfATL30, 9_lag_eurPSLjfm, 14_lag_traFB, 5_lag_14_median_ismPRjja, 12_lag_naoPSLjfm, 5_lag_10_median_stratZ50ndj01, 13_lag_traEU, 14_lag_shSICmar_1235_5"
LinearRegression,1,30,labSSTjfm,slow,867.5,2005.5,0.4,16,6,6,10.785240630631021,0.41465342308948666,1235,"['13_lag_amo3', '10_lag_satlSSTjfm', '12_lag_stratZ50ndj04', '6_lag_mhfIP30', '6_lag_eapPSLjfm', '13_lag_traIT', '6_lag_15_median_stratZ50ndj02', '10_lag_nppc2SSTjfm', '15_lag_atlSICsep', '6_lag_neurTSjfm', '12_lag_mhfATL60', '6_lag_9_median_traFB', '6_lag_9_median_nppc2SSTjfm', '14_lag_traDP', '6_lag_9_median_traBO', '15_lag_nhSICsep', '14_lag_traFB', '14_lag_naoPSLjfm', '6_lag_9_median_atlSICsep', '15_lag_shSICsep', '10_lag_eurPSLjfm', '6_lag_11_median_atlSICjfm', '9_lag_wnorPRjfm', '9_lag_eurPSLjfm', '9_lag_mhfATL30', '11_lag_seurTSjfm', '10_lag_traEU', '15_lag_amoSSTmjjaso', '14_lag_shSICmar', '12_lag_naoPSLjfm']","[0.02190949343926318, 0.18601157622449516, 0.06309670281868467, 0.004274622697802968, 0.06619724852909334, 0.021703381989786146, 0.42879435892732753, 0.03070418612859628, 0.02928974795717093, 0.06467503311229642, 0.1393932548731289, 0.1435066722445581, 0.0012207683351215428, 0.03842557512256353, 0.01649250320495352, 0.08950135740108552, 0.18633040716944754, 0.0369897163965222, 0.24330899546729043, 0.1442279569903432, 0.05882176325582997, 0.10361325726206211, 0.04307525034136672, 0.039490195616259056, 0.1177478503477427, 0.06784661182841253, 0.03907974061743498, 0.11290548296839087, 0.022713880940164008, 0.010525552566632356]","13_lag_amo3, 10_lag_satlSSTjfm, 12_lag_stratZ50ndj04, 6_lag_mhfIP30, 6_lag_eapPSLjfm, 13_lag_traIT, 6_lag_15_median_stratZ50ndj02, 10_lag_nppc2SSTjfm, 15_lag_atlSICsep, 6_lag_neurTSjfm, 12_lag_mhfATL60, 6_lag_9_median_traFB, 6_lag_9_median_nppc2SSTjfm, 14_lag_traDP, 6_lag_9_median_traBO, 15_lag_nhSICsep, 14_lag_traFB, 14_lag_naoPSLjfm, 6_lag_9_median_atlSICsep, 15_lag_shSICsep, 10_lag_eurPSLjfm, 6_lag_11_median_atlSICjfm, 9_lag_wnorPRjfm, 9_lag_eurPSLjfm, 9_lag_mhfATL30, 11_lag_seurTSjfm, 10_lag_traEU, 15_lag_amoSSTmjjaso, 14_lag_shSICmar, 12_lag_naoPSLjfm_1235_6"
LinearRegression,2,30,labSSTjfm,slow,868.5,2005.5,0.4,17,7,7,11.543875341149112,0.2815896899444895,1235,"['11_lag_traEC', '12_lag_mhfATL60', '12_lag_seurTSjfm', '7_lag_12_median_stratZ50ndj01', '15_lag_satlSSTjfm', '15_lag_atlSICsep', '12_lag_alpi', '13_lag_amoSSTmjjaso', '13_lag_atlSICjfm', '11_lag_stratZ50ndj04', '7_lag_11_median_wnorPRjfm', '16_lag_shSICsep', '12_lag_eurPSLjfm', '11_lag_amo1', '7_lag_15_median_stratZ50ndj02', '7_lag_labSSTjfm', '7_lag_14_median_traIT', '13_lag_naoPSLjfm', '7_lag_11_median_atlSICjfm', '14_lag_traFB', '14_lag_yrvPRjja', '7_lag_tripol3', '12_lag_naoPSLjfm', '15_lag_amo3', '10_lag_eurPSLjfm', '16_lag_traFSC', '14_lag_shSICmar', '14_lag_naoPSLjfm', '7_lag_10_median_seurTSjfm', '7_lag_10_median_atlSICsep']","[0.08745010537144483, 0.166301097030057, 0.012228575157892389, 0.0680957492045624, 0.09222336178947103, 0.019570460377513015, 0.02450088097904861, 0.07811558892265333, 0.07582774446663866, 0.11673815293154362, 0.05866401612717595, 0.1609185998539875, 0.016556245828994728, 0.11231415131888164, 0.3217532773238326, 0.05571985920424978, 0.007594451700033592, 0.0026900588125558372, 0.05896569747413774, 0.2053429858549815, 0.06878140929002702, 0.06061549330280228, 0.011013053148246438, 0.03648783723311061, 0.033083176703360834, 0.11706953899579617, 0.013292674230568083, 0.035926941918190694, 0.1496094314712172, 0.24455048194118215]","11_lag_traEC, 12_lag_mhfATL60, 12_lag_seurTSjfm, 7_lag_12_median_stratZ50ndj01, 15_lag_satlSSTjfm, 15_lag_atlSICsep, 12_lag_alpi, 13_lag_amoSSTmjjaso, 13_lag_atlSICjfm, 11_lag_stratZ50ndj04, 7_lag_11_median_wnorPRjfm, 16_lag_shSICsep, 12_lag_eurPSLjfm, 11_lag_amo1, 7_lag_15_median_stratZ50ndj02, 7_lag_labSSTjfm, 7_lag_14_median_traIT, 13_lag_naoPSLjfm, 7_lag_11_median_atlSICjfm, 14_lag_traFB, 14_lag_yrvPRjja, 7_lag_tripol3, 12_lag_naoPSLjfm, 15_lag_amo3, 10_lag_eurPSLjfm, 16_lag_traFSC, 14_lag_shSICmar, 14_lag_naoPSLjfm, 7_lag_10_median_seurTSjfm, 7_lag_10_median_atlSICsep_1235_7"
LinearRegression,3,30,labSSTjfm,slow,869.5,2005.5,0.4,18,8,8,12.476146682105274,0.18662157456166661,1235,"['10_lag_satlSSTjfm', '15_lag_traFSC', '16_lag_AMOCann', '16_lag_traFSC', '15_lag_alpi', '12_lag_shSICmar', '12_lag_mhfATL60', '13_lag_traCA', '8_lag_17_median_atlSICsep', '8_lag_11_median_wnorPRjfm', '11_lag_amo1', '8_lag_11_median_traBO', '13_lag_tripol1', '8_lag_14_median_eapPSLjfm', '17_lag_eurPSLjfm', '8_lag_ginwSSTjfm', '8_lag_11_median_tripol3', '14_lag_AMOCann', '8_lag_11_median_amo3', '11_lag_mhfATL45', '12_lag_traIFC', '13_lag_naoPSLjfm', '12_lag_cetTSjfm', '8_lag_12_median_stratZ50ndj02', '14_lag_satlSSTjfm', '8_lag_13_median_samPSLann', '12_lag_eurPSLjfm', '11_lag_stratZ50ndj04', '17_lag_seurTSjfm', '14_lag_naoPSLjfm']","[0.17187734705670915, 0.06605602903494943, 0.16569816120303527, 0.02427213877535192, 0.05061087150406181, 0.054233262146095834, 0.08382050269902062, 0.19301873870455954, 0.004213373650501988, 0.04610521935779872, 0.1058654440202833, 0.16142982171981252, 0.08104057662100397, 0.33222489295793156, 0.06753654996058706, 0.16767273764753113, 0.2780675359654887, 0.08274417626492904, 0.055724490967310115, 0.11311917428816638, 0.05201452473716377, 0.12570044222855742, 0.04490605839598031, 0.2055994742113326, 0.1296477062385535, 0.3164434001539093, 0.020119945657886787, 0.06559121560208159, 0.0465787532599902, 0.12897716289765587]","10_lag_satlSSTjfm, 15_lag_traFSC, 16_lag_AMOCann, 16_lag_traFSC, 15_lag_alpi, 12_lag_shSICmar, 12_lag_mhfATL60, 13_lag_traCA, 8_lag_17_median_atlSICsep, 8_lag_11_median_wnorPRjfm, 11_lag_amo1, 8_lag_11_median_traBO, 13_lag_tripol1, 8_lag_14_median_eapPSLjfm, 17_lag_eurPSLjfm, 8_lag_ginwSSTjfm, 8_lag_11_median_tripol3, 14_lag_AMOCann, 8_lag_11_median_amo3, 11_lag_mhfATL45, 12_lag_traIFC, 13_lag_naoPSLjfm, 12_lag_cetTSjfm, 8_lag_12_median_stratZ50ndj02, 14_lag_satlSSTjfm, 8_lag_13_median_samPSLann, 12_lag_eurPSLjfm, 11_lag_stratZ50ndj04, 17_lag_seurTSjfm, 14_lag_naoPSLjfm_1235_8"
LinearRegression,4,30,labSSTjfm,slow,870.5,2005.5,0.4,19,9,9,11.649181667442503,0.2367177918424452,1235,"['12_lag_naoPSLjfm', '14_lag_AMOCann', '16_lag_alpi', '9_lag_17_median_naoPSLjfm', '11_lag_traEC', '15_lag_ormenSSTjfm', '11_lag_naoPSLjfm', '18_lag_traFSC', '9_lag_nhSICjfm', '9_lag_atlSICsep', '9_lag_mhfATL30', '12_lag_eurPSLjfm', '9_lag_18_median_traFSC', '16_lag_satlSSTjfm', '16_lag_neurTSjfm', '15_lag_naoPSLjfm', '16_lag_labSSTjfm', '9_lag_12_median_traFB', '9_lag_16_median_traBO', '16_lag_AMOCann', '9_lag_14_median_traEC', '14_lag_neurTSjfm', '9_lag_13_median_traFB', '12_lag_nchinaPRjja', '17_lag_seurTSjfm', '15_lag_satlSSTjfm', '14_lag_satlSSTjfm', '9_lag_wnorPRjfm', '9_lag_12_median_stratZ50ndj02', '9_lag_nppc2SSTjfm']","[0.016446813034533273, 0.21563994471658465, 0.03162892248470248, 0.27045252168682554, 0.07038323559109262, 0.05616333760938186, 0.05499873983877034, 0.01808163841004013, 0.09044598620882296, 0.08714825440276962, 0.1678684036841927, 0.04937122988044625, 0.38456911651936293, 0.04993365195064536, 0.014327327315254573, 0.020323093469005682, 0.0468262981844507, 0.05833523217227987, 0.03791778523695382, 0.17173200564247776, 0.071193227553354, 0.02821306605203168, 0.036198481009376324, 0.029180786248667354, 0.020354502084339823, 0.0991964155187505, 0.035738822633095677, 0.005464000930630288, 0.08495636678285837, 0.02914498300766957]","12_lag_naoPSLjfm, 14_lag_AMOCann, 16_lag_alpi, 9_lag_17_median_naoPSLjfm, 11_lag_traEC, 15_lag_ormenSSTjfm, 11_lag_naoPSLjfm, 18_lag_traFSC, 9_lag_nhSICjfm, 9_lag_atlSICsep, 9_lag_mhfATL30, 12_lag_eurPSLjfm, 9_lag_18_median_traFSC, 16_lag_satlSSTjfm, 16_lag_neurTSjfm, 15_lag_naoPSLjfm, 16_lag_labSSTjfm, 9_lag_12_median_traFB, 9_lag_16_median_traBO, 16_lag_AMOCann, 9_lag_14_median_traEC, 14_lag_neurTSjfm, 9_lag_13_median_traFB, 12_lag_nchinaPRjja, 17_lag_seurTSjfm, 15_lag_satlSSTjfm, 14_lag_satlSSTjfm, 9_lag_wnorPRjfm, 9_lag_12_median_stratZ50ndj02, 9_lag_nppc2SSTjfm_1235_9"
LinearRegression,5,30,labSSTjfm,slow,871.5,2005.5,0.4,20,10,10,12.318594902555576,0.16086375280972254,1235,"['17_lag_ormenSSTjfm', '10_lag_19_median_ismPRjja', '17_lag_alpi', '19_lag_nppc3SSTjfm', '17_lag_seurTSjfm', '14_lag_shSICsep', '10_lag_traDP', '15_lag_nppc2SSTjfm', '10_lag_15_median_ormenSSTjfm', '10_lag_17_median_traBO', '18_lag_traIT', '19_lag_cetTSjfm', '10_lag_13_median_neurTSjfm', '10_lag_13_median_traIFC', '10_lag_nppc2SSTjfm', '10_lag_15_median_traBO', '10_lag_shSICsep', '15_lag_ormenSSTjfm', '13_lag_stratZ50ndj04', '16_lag_traIFC', '12_lag_cetTSjfm', '15_lag_alpi', '10_lag_13_median_mhfATL30', '10_lag_14_median_amo1', '15_lag_satlSSTjfm', '16_lag_satlSSTjfm', '10_lag_15_median_wnorPRjfm', '10_lag_13_median_traCA', '16_lag_neurTSjfm', '10_lag_ormenSSTjfm']","[0.01779248722779504, 0.2946859309216117, 0.013902287285391736, 0.03606854598606743, 0.04111743665485903, 0.006263209637786402, 0.06363308267880426, 0.01232632722138767, 0.05267042449599599, 0.01020243342924195, 0.09723504398088638, 0.08129238489016428, 0.13881385073485555, 0.07979642213859675, 0.10806159362753255, 0.1052955995793664, 0.10408776590057509, 0.03842509321743488, 0.09943928858727268, 0.007798542283080197, 0.03493175432618809, 0.04388906994508356, 0.3157328320969294, 0.35320557435899075, 0.08953452440324335, 0.028147255667215904, 0.08158492347122091, 0.3833279705399677, 0.02090596816442366, 0.01609089706212094]","17_lag_ormenSSTjfm, 10_lag_19_median_ismPRjja, 17_lag_alpi, 19_lag_nppc3SSTjfm, 17_lag_seurTSjfm, 14_lag_shSICsep, 10_lag_traDP, 15_lag_nppc2SSTjfm, 10_lag_15_median_ormenSSTjfm, 10_lag_17_median_traBO, 18_lag_traIT, 19_lag_cetTSjfm, 10_lag_13_median_neurTSjfm, 10_lag_13_median_traIFC, 10_lag_nppc2SSTjfm, 10_lag_15_median_traBO, 10_lag_shSICsep, 15_lag_ormenSSTjfm, 13_lag_stratZ50ndj04, 16_lag_traIFC, 12_lag_cetTSjfm, 15_lag_alpi, 10_lag_13_median_mhfATL30, 10_lag_14_median_amo1, 15_lag_satlSSTjfm, 16_lag_satlSSTjfm, 10_lag_15_median_wnorPRjfm, 10_lag_13_median_traCA, 16_lag_neurTSjfm, 10_lag_ormenSSTjfm_1235_10"
LinearRegression,6,30,labSSTjfm,slow,872.5,2005.5,0.4,21,11,11,11.6895850494101,0.25261385315229573,1235,"['11_lag_16_median_samPSLann', '20_lag_traEC', '13_lag_stratZ50ndj04', '11_lag_14_median_amoSSTmjjaso', '11_lag_15_median_eapPSLjfm', '15_lag_traEU', '19_lag_tripol3', '17_lag_nppc3SSTjfm', '11_lag_16_median_traEU', '15_lag_AMOCann', '16_lag_gyreSSTjfm', '15_lag_atlSICjfm', '11_lag_mhfATL45', '11_lag_seurTSjfm', '19_lag_mhfIP30', '11_lag_amo1', '16_lag_satlSSTjfm', '11_lag_16_median_mhfIP30', '19_lag_atlSICjfm', '11_lag_nppc3SSTjfm', '20_lag_mhfIP30', '18_lag_traFSC', '11_lag_20_median_traCA', '11_lag_16_median_mhfATL45', '11_lag_14_median_samPSLann', '11_lag_17_median_mhfATL45', '11_lag_16_median_yrvPRjja', '19_lag_cetTSjfm', '14_lag_shSICsep', '20_lag_nhSICsep']","[0.08513470827206812, 0.0033156475338660674, 0.09470222154680269, 0.1983133641894933, 0.06664748690772503, 0.039694314943834026, 0.00907453851286861, 0.1624308942523836, 0.052696896227176174, 0.1337367158236537, 0.03664387314625559, 0.03130350052889243, 0.1761894374307857, 0.1361294325155702, 0.0523530634695555, 0.009986871553347983, 0.11217459078408402, 0.08910347773288084, 0.03537796755054552, 0.10231670633568994, 0.07295719167601734, 0.052052650603333264, 0.2856778525248996, 0.11800735620886316, 0.15702947933446262, 0.09321635220981397, 0.041202443923670985, 0.07954632829691424, 0.13000010845929844, 0.18313717853082012]","11_lag_16_median_samPSLann, 20_lag_traEC, 13_lag_stratZ50ndj04, 11_lag_14_median_amoSSTmjjaso, 11_lag_15_median_eapPSLjfm, 15_lag_traEU, 19_lag_tripol3, 17_lag_nppc3SSTjfm, 11_lag_16_median_traEU, 15_lag_AMOCann, 16_lag_gyreSSTjfm, 15_lag_atlSICjfm, 11_lag_mhfATL45, 11_lag_seurTSjfm, 19_lag_mhfIP30, 11_lag_amo1, 16_lag_satlSSTjfm, 11_lag_16_median_mhfIP30, 19_lag_atlSICjfm, 11_lag_nppc3SSTjfm, 20_lag_mhfIP30, 18_lag_traFSC, 11_lag_20_median_traCA, 11_lag_16_median_mhfATL45, 11_lag_14_median_samPSLann, 11_lag_17_median_mhfATL45, 11_lag_16_median_yrvPRjja, 19_lag_cetTSjfm, 14_lag_shSICsep, 20_lag_nhSICsep_1235_11"
LinearRegression,7,30,labSSTjfm,slow,873.5,2005.5,0.4,22,12,12,13.00069326993985,0.10776422427711302,1235,"['12_lag_17_median_traFB', '16_lag_traEU', '19_lag_traIFC', '12_lag_17_median_stratZ50ndj02', '12_lag_18_median_atlSICsep', '21_lag_nhTSjfm', '18_lag_ensoSSTjfm', '20_lag_shSICmar', '12_lag_19_median_traIT', '19_lag_nhSICsep', '12_lag_17_median_naoPSLjfm', '19_lag_ensoSSTjfm', '12_lag_16_median_mhfATL45', '15_lag_mhfIP30', '18_lag_eurPSLjfm', '21_lag_mhfATL45', '12_lag_tripol3', '12_lag_21_median_traCA', '12_lag_nhSICjfm', '16_lag_atlSICjfm', '12_lag_15_median_neurTSjfm', '18_lag_seurTSjfm', '12_lag_19_median_naoPSLjfm', '19_lag_tripol3', '14_lag_shSICsep', '12_lag_cetTSjfm', '17_lag_nppc3SSTjfm', '19_lag_cetTSjfm', '12_lag_20_median_traCA', '12_lag_17_median_mhfATL45']","[0.17012663974698863, 0.03605758091556269, 0.05190189514718046, 0.02953140882753139, 0.2913182191653783, 0.13826491566704677, 0.049661963155740355, 0.09110048267984423, 0.2768634332479176, 0.12451706561211409, 0.031017984063063022, 0.041395593644761745, 0.3421674471122614, 0.019417149182081688, 0.04355588673178535, 0.027333561725247174, 0.048017831375762085, 0.21415488550351458, 0.10702199531466454, 0.03518914031365979, 0.07113552298733891, 0.030897543898865933, 0.32310764811333137, 0.09480236974315055, 0.1932304497743155, 0.026243553273470138, 0.25569843064296216, 0.031921215517388045, 0.7907826074884415, 0.2484438682218767]","12_lag_17_median_traFB, 16_lag_traEU, 19_lag_traIFC, 12_lag_17_median_stratZ50ndj02, 12_lag_18_median_atlSICsep, 21_lag_nhTSjfm, 18_lag_ensoSSTjfm, 20_lag_shSICmar, 12_lag_19_median_traIT, 19_lag_nhSICsep, 12_lag_17_median_naoPSLjfm, 19_lag_ensoSSTjfm, 12_lag_16_median_mhfATL45, 15_lag_mhfIP30, 18_lag_eurPSLjfm, 21_lag_mhfATL45, 12_lag_tripol3, 12_lag_21_median_traCA, 12_lag_nhSICjfm, 16_lag_atlSICjfm, 12_lag_15_median_neurTSjfm, 18_lag_seurTSjfm, 12_lag_19_median_naoPSLjfm, 19_lag_tripol3, 14_lag_shSICsep, 12_lag_cetTSjfm, 17_lag_nppc3SSTjfm, 19_lag_cetTSjfm, 12_lag_20_median_traCA, 12_lag_17_median_mhfATL45_1235_12"
LinearRegression,8,30,labSSTjfm,slow,874.5,2005.5,0.4,23,13,13,12.689108777797603,0.13116042666667424,1235,"['16_lag_mhfATL60', '18_lag_traFSC', '13_lag_mhfATL60', '13_lag_21_median_stratZ50ndj03', '13_lag_stratZ50ndj01', '20_lag_arcTSjfm', '13_lag_16_median_shSICsep', '17_lag_stratZ50ndj03', '13_lag_17_median_atlSICsep', '13_lag_18_median_traCA', '20_lag_nhSICsep', '17_lag_nppc3SSTjfm', '18_lag_traIT', '20_lag_traMC', '13_lag_20_median_traBS', '16_lag_amo1', '13_lag_18_median_atlSICsep', '16_lag_traIFC', '13_lag_18_median_mhfATL45', '13_lag_nhSICjfm', '22_lag_eurPSLjfm', '13_lag_16_median_stratZ50ndj04', '19_lag_cetTSjfm', '19_lag_satlSSTjfm', '13_lag_18_median_gyreSSTjfm', '15_lag_atlSICjfm', '13_lag_20_median_neurTSjfm', '16_lag_atlSICjfm', '13_lag_22_median_alpi', '22_lag_arcTSjfm']","[0.008077759831005097, 0.04655955377416762, 0.05537431373526684, 0.27128492571063106, 0.046204589098103196, 0.005442024378780277, 0.2192981480106007, 0.009029978412428075, 0.13347741381603342, 0.481676517116144, 0.18108968556788457, 0.21915610754132, 0.07333596527192224, 0.053851120208591376, 0.11753676409490385, 0.010983856988948944, 0.12862691669562698, 0.09398094896221978, 0.10559535216302372, 0.12584539769971093, 0.041788708619199415, 0.10261194824960282, 0.03866405154412785, 0.10354975645755715, 0.028510917468892318, 0.0753487117940116, 0.28343666317986393, 0.026773140137513394, 0.05958454753716662, 0.012531986875722517]","16_lag_mhfATL60, 18_lag_traFSC, 13_lag_mhfATL60, 13_lag_21_median_stratZ50ndj03, 13_lag_stratZ50ndj01, 20_lag_arcTSjfm, 13_lag_16_median_shSICsep, 17_lag_stratZ50ndj03, 13_lag_17_median_atlSICsep, 13_lag_18_median_traCA, 20_lag_nhSICsep, 17_lag_nppc3SSTjfm, 18_lag_traIT, 20_lag_traMC, 13_lag_20_median_traBS, 16_lag_amo1, 13_lag_18_median_atlSICsep, 16_lag_traIFC, 13_lag_18_median_mhfATL45, 13_lag_nhSICjfm, 22_lag_eurPSLjfm, 13_lag_16_median_stratZ50ndj04, 19_lag_cetTSjfm, 19_lag_satlSSTjfm, 13_lag_18_median_gyreSSTjfm, 15_lag_atlSICjfm, 13_lag_20_median_neurTSjfm, 16_lag_atlSICjfm, 13_lag_22_median_alpi, 22_lag_arcTSjfm_1235_13"
LinearRegression,9,30,labSSTjfm,slow,875.5,2005.5,0.4,24,14,14,13.621780453478662,0.046932789035865306,1235,"['21_lag_stratZ50ndj03', '17_lag_neurTSjfm', '14_lag_mhfATL30', '23_lag_mhfATL60', '18_lag_arcTSjfm', '22_lag_glomaSSTjfm', '18_lag_shSICsep', '19_lag_cetTSjfm', '14_lag_21_median_stratZ50ndj03', '20_lag_traFB', '14_lag_21_median_nhSICjfm', '14_lag_22_median_stratZ50ndj03', '14_lag_stratZ50ndj01', '19_lag_traCA', '21_lag_mhfATL45', '14_lag_19_median_mhfATL30', '14_lag_tripol1', '23_lag_mhfATL30', '20_lag_samPSLann', '14_lag_amo1', '20_lag_nhSICsep', '16_lag_atlSICjfm', '18_lag_traIT', '19_lag_nppc3SSTjfm', '19_lag_traIT', '18_lag_stratZ50ndj03', '20_lag_traMC', '23_lag_eurPSLjfm', '22_lag_arcTSjfm', '14_lag_23_median_traFS']","[0.05618716179253273, 0.027021583503425428, 0.187015379595586, 0.05550596456969772, 0.121881059235212, 0.0393597052379681, 0.18166636464879737, 0.10226488726840653, 0.14047125371333885, 0.0485919020109201, 0.48003076404837536, 0.5315854388513359, 0.05372503591906904, 0.06609948712734307, 0.00706655502509971, 0.3667887451372669, 0.010701141962866848, 0.00828217769119034, 0.03815199730325314, 0.019343685582854844, 0.10070514755156432, 0.11527643355977318, 0.04160207903941815, 0.18043849316138258, 0.025748724137669522, 0.08881698841506627, 0.0591586048068819, 0.0002778087646429922, 0.03925560948462996, 0.012878066347303666]","21_lag_stratZ50ndj03, 17_lag_neurTSjfm, 14_lag_mhfATL30, 23_lag_mhfATL60, 18_lag_arcTSjfm, 22_lag_glomaSSTjfm, 18_lag_shSICsep, 19_lag_cetTSjfm, 14_lag_21_median_stratZ50ndj03, 20_lag_traFB, 14_lag_21_median_nhSICjfm, 14_lag_22_median_stratZ50ndj03, 14_lag_stratZ50ndj01, 19_lag_traCA, 21_lag_mhfATL45, 14_lag_19_median_mhfATL30, 14_lag_tripol1, 23_lag_mhfATL30, 20_lag_samPSLann, 14_lag_amo1, 20_lag_nhSICsep, 16_lag_atlSICjfm, 18_lag_traIT, 19_lag_nppc3SSTjfm, 19_lag_traIT, 18_lag_stratZ50ndj03, 20_lag_traMC, 23_lag_eurPSLjfm, 22_lag_arcTSjfm, 14_lag_23_median_traFS_1235_14"
