model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,mhfATL30,slow,1714.5,2005.5,0.6,15,5,7,12.42047357637981,0.11849849480363736,1235,"['14_lag_shSICsep', '11_lag_nhSICjfm', '11_lag_stratZ50ndj02', '7_lag_alpi', '12_lag_atlSICsep', '14_lag_stratZ50ndj01']","[0.1034893283204159, 0.09651503702735285, 0.02424759896318202, 0.10271340480794296, 0.11928121239239002, 0.08385775788244261]","14_lag_shSICsep, 11_lag_nhSICjfm, 11_lag_stratZ50ndj02, 7_lag_alpi, 12_lag_atlSICsep, 14_lag_stratZ50ndj01_1235_7"
LinearRegression,1,6,mhfATL30,slow,1715.5,2005.5,0.6,16,6,11,12.313965356438032,0.39283182733133826,1235,"['11_lag_nhSICjfm', '15_lag_nhSICsep', '15_lag_shSICmar', '12_lag_traWP', '11_lag_atlSICjfm', '14_lag_stratZ50ndj01']","[0.11983985272272697, 0.2649296084427117, 0.12839293151701883, 0.12760258150050238, 0.01457907269847794, 0.06852829396404295]","11_lag_nhSICjfm, 15_lag_nhSICsep, 15_lag_shSICmar, 12_lag_traWP, 11_lag_atlSICjfm, 14_lag_stratZ50ndj01_1235_11"
LinearRegression,2,6,mhfATL30,slow,1716.5,2005.5,0.6,17,7,11,12.47031106382356,0.19175402329256636,1235,"['12_lag_stratZ50ndj01', '16_lag_eurPSLjfm', '11_lag_atlSICjfm', '15_lag_shSICmar', '12_lag_traWP', '14_lag_stratZ50ndj01']","[0.0673829917822837, 0.09817015788543154, 0.11064829574453748, 0.13440849303535, 0.08959243866393948, 0.06511084511179453]","12_lag_stratZ50ndj01, 16_lag_eurPSLjfm, 11_lag_atlSICjfm, 15_lag_shSICmar, 12_lag_traWP, 14_lag_stratZ50ndj01_1235_11"
LinearRegression,3,6,mhfATL30,slow,1717.5,2005.5,0.6,18,8,8,12.36276314471878,0.1608783075575213,1235,"['12_lag_atlSICsep', '15_lag_shSICmar', '11_lag_atlSICjfm', '12_lag_traWP', '8_lag_alpi', '14_lag_stratZ50ndj01']","[0.16448445320732855, 0.12892570632989667, 0.003418913614508884, 0.08619461846336647, 0.04814638229326254, 0.056958662254903814]","12_lag_atlSICsep, 15_lag_shSICmar, 11_lag_atlSICjfm, 12_lag_traWP, 8_lag_alpi, 14_lag_stratZ50ndj01_1235_8"
LinearRegression,4,6,mhfATL30,slow,1718.5,2005.5,0.6,19,9,14,13.689957573604973,-0.02148019139611778,1235,"['14_lag_traEC', '15_lag_shSICmar', '18_lag_stratZ50ndj01', '15_lag_stratZ50ndj01', '14_lag_traMC', '14_lag_stratZ50ndj01']","[0.058133402847467854, 0.1287338029468596, 0.04598703440009838, 0.04293723361718321, 0.22112155273885942, 0.10299644979844727]","14_lag_traEC, 15_lag_shSICmar, 18_lag_stratZ50ndj01, 15_lag_stratZ50ndj01, 14_lag_traMC, 14_lag_stratZ50ndj01_1235_14"
LinearRegression,5,6,mhfATL30,slow,1719.5,2005.5,0.6,20,10,10,12.644968834887624,0.34238305782808043,1235,"['15_lag_stratZ50ndj01', '17_lag_nhSICsep', '19_lag_shSICsep', '10_lag_ismPRjja', '14_lag_traMC', '14_lag_stratZ50ndj01']","[0.03420566185638004, 0.2951777155855027, 0.06872829220772744, 0.021933820814063337, 0.22474017715506273, 0.09909587290104592]","15_lag_stratZ50ndj01, 17_lag_nhSICsep, 19_lag_shSICsep, 10_lag_ismPRjja, 14_lag_traMC, 14_lag_stratZ50ndj01_1235_10"
LinearRegression,6,6,mhfATL30,slow,1720.5,2005.5,0.6,21,11,11,12.538103728044954,0.2645414366125852,1235,"['20_lag_atlSICjfm', '11_lag_ginwSSTjfm', '19_lag_shSICsep', '16_lag_eurPSLjfm', '20_lag_yrvPRjja', '14_lag_stratZ50ndj01']","[0.21924058537636507, 0.02313743543355236, 0.07064271319294482, 0.10755798858163654, 0.1625064659560676, 0.05822775204981698]","20_lag_atlSICjfm, 11_lag_ginwSSTjfm, 19_lag_shSICsep, 16_lag_eurPSLjfm, 20_lag_yrvPRjja, 14_lag_stratZ50ndj01_1235_11"
LinearRegression,7,6,mhfATL30,slow,1721.5,2005.5,0.6,22,12,12,13.738260952449973,0.08903096160726384,1235,"['21_lag_wnorPRjfm', '12_lag_traMC', '16_lag_eurPSLjfm', '20_lag_alpi', '20_lag_yrvPRjja', '14_lag_stratZ50ndj01']","[0.09012701055547313, 0.18389654242765296, 0.10944011696151527, 0.1158544169636075, 0.15067312626382676, 0.10293469343855352]","21_lag_wnorPRjfm, 12_lag_traMC, 16_lag_eurPSLjfm, 20_lag_alpi, 20_lag_yrvPRjja, 14_lag_stratZ50ndj01_1235_12"
LinearRegression,8,6,mhfATL30,slow,1722.5,2005.5,0.6,23,13,13,12.997608055117936,0.16306095612186433,1235,"['21_lag_wnorPRjfm', '13_lag_ismPRjja', '13_lag_14_median_stratZ50ndj01', '14_lag_stratZ50ndj01', '22_lag_mhfIP30', '20_lag_yrvPRjja']","[0.10670037400677594, 0.11381249341706659, 0.04538310394915436, 0.04538310394915446, 0.044418932795129304, 0.16624720795679157]","21_lag_wnorPRjfm, 13_lag_ismPRjja, 13_lag_14_median_stratZ50ndj01, 14_lag_stratZ50ndj01, 22_lag_mhfIP30, 20_lag_yrvPRjja_1235_13"
LinearRegression,9,6,mhfATL30,slow,1723.5,2005.5,0.6,24,14,14,13.444539578526594,0.09987217146863792,1235,"['19_lag_scpPSLjfm', '22_lag_mhfIP30', '22_lag_stratZ50ndj03', '17_lag_shSICmar', '20_lag_yrvPRjja', '14_lag_stratZ50ndj01']","[0.14849154443029441, 0.038910203712826774, 0.15025528014593353, 0.059946839133224336, 0.14124940395912244, 0.07190603188716184]","19_lag_scpPSLjfm, 22_lag_mhfIP30, 22_lag_stratZ50ndj03, 17_lag_shSICmar, 20_lag_yrvPRjja, 14_lag_stratZ50ndj01_1235_14"
LinearRegression,10,6,mhfATL30,slow,1724.5,2005.5,0.6,25,15,15,12.24398676707375,0.3810853099094569,1235,"['17_lag_shSICmar', '20_lag_shSICmar', '22_lag_stratZ50ndj03', '24_lag_satlSSTjfm', '15_lag_stratZ50ndj03', '20_lag_yrvPRjja']","[0.059225314251321055, 0.03483543774160111, 0.11960003085051725, 0.36373787526952067, 0.07477565441325827, 0.13324052130456188]","17_lag_shSICmar, 20_lag_shSICmar, 22_lag_stratZ50ndj03, 24_lag_satlSSTjfm, 15_lag_stratZ50ndj03, 20_lag_yrvPRjja_1235_15"
LinearRegression,11,6,mhfATL30,slow,1725.5,2005.5,0.6,26,16,16,12.939145590024903,0.2663921846013594,1235,"['24_lag_atlSICjfm', '24_lag_nchinaPRjja', '22_lag_stratZ50ndj03', '16_lag_eurPSLjfm', '22_lag_stratZ50ndj04', '20_lag_yrvPRjja']","[0.1522408104616072, 0.09930209660586203, 0.10448487862339785, 0.06627812153386728, 0.2019573702028764, 0.12317130587017708]","24_lag_atlSICjfm, 24_lag_nchinaPRjja, 22_lag_stratZ50ndj03, 16_lag_eurPSLjfm, 22_lag_stratZ50ndj04, 20_lag_yrvPRjja_1235_16"
LinearRegression,12,6,mhfATL30,slow,1726.5,2005.5,0.6,27,17,20,12.891152663379513,0.32603195268699114,1235,"['22_lag_stratZ50ndj03', '24_lag_satlSSTjfm', '26_lag_scpPSLjfm', '24_lag_nchinaPRjja', '22_lag_stratZ50ndj04', '20_lag_yrvPRjja']","[0.10101815452145833, 0.3311655060573464, 0.08717474576946542, 0.08717069903125721, 0.19879135252207603, 0.15029896718482783]","22_lag_stratZ50ndj03, 24_lag_satlSSTjfm, 26_lag_scpPSLjfm, 24_lag_nchinaPRjja, 22_lag_stratZ50ndj04, 20_lag_yrvPRjja_1235_20"
LinearRegression,13,6,mhfATL30,slow,1727.5,2005.5,0.6,28,18,20,13.263331628658074,0.1610595768748423,1235,"['23_lag_nchinaPRjja', '22_lag_stratZ50ndj04', '22_lag_stratZ50ndj03', '24_lag_nchinaPRjja', '27_lag_scpPSLjfm', '20_lag_yrvPRjja']","[0.050358950790026336, 0.23315552552544672, 0.12320736736940027, 0.08231153094434467, 0.07475192111475228, 0.1304201808983812]","23_lag_nchinaPRjja, 22_lag_stratZ50ndj04, 22_lag_stratZ50ndj03, 24_lag_nchinaPRjja, 27_lag_scpPSLjfm, 20_lag_yrvPRjja_1235_20"
LinearRegression,14,6,mhfATL30,slow,1728.5,2005.5,0.6,29,19,21,13.22006198816578,0.06830026180777318,1235,"['21_lag_traEC', '28_lag_shSICsep', '22_lag_ismPRjja', '27_lag_scpPSLjfm', '23_lag_nchinaPRjja', '24_lag_nchinaPRjja']","[0.06660724978840829, 0.07285286864629703, 0.003882820205281764, 0.09434702262759519, 0.06544964536517146, 0.06986210706695918]","21_lag_traEC, 28_lag_shSICsep, 22_lag_ismPRjja, 27_lag_scpPSLjfm, 23_lag_nchinaPRjja, 24_lag_nchinaPRjja_1235_21"
LinearRegression,15,6,mhfATL30,slow,1729.5,2005.5,0.6,30,20,23,13.687105172811439,-0.10948878909128401,1235,"['27_lag_scpPSLjfm', '24_lag_traEU', '23_lag_nchinaPRjja', '28_lag_nchinaPRjja', '24_lag_nchinaPRjja', '29_lag_traIFC']","[0.09299018638562594, 0.10192448899124525, 0.05877970444138451, 0.0827572662242207, 0.04958515554832065, 0.091888965642492]","27_lag_scpPSLjfm, 24_lag_traEU, 23_lag_nchinaPRjja, 28_lag_nchinaPRjja, 24_lag_nchinaPRjja, 29_lag_traIFC_1235_23"
LinearRegression,16,6,mhfATL30,slow,1730.5,2005.5,0.6,31,21,21,13.303539032540726,0.041747090012198215,1235,"['28_lag_nchinaPRjja', '21_lag_traEC', '23_lag_nchinaPRjja', '24_lag_nchinaPRjja', '30_lag_traWP', '29_lag_traIFC']","[0.07527691999867948, 0.10256842955002995, 0.08854053741372463, 0.08729220531222444, 0.17559901189791846, 0.08825657752483555]","28_lag_nchinaPRjja, 21_lag_traEC, 23_lag_nchinaPRjja, 24_lag_nchinaPRjja, 30_lag_traWP, 29_lag_traIFC_1235_21"
LinearRegression,17,6,mhfATL30,slow,1731.5,2005.5,0.6,32,22,22,14.560890588326096,-0.1447402002063978,1235,"['28_lag_arcTSjfm', '28_lag_stratZ50ndj04', '24_lag_nchinaPRjja', '29_lag_traIFC', '28_lag_nchinaPRjja', '22_lag_stratZ50ndj03']","[0.07681693956050653, 0.08682333170004841, 0.07977747429464348, 0.11674185758497152, 0.06577482300744461, 0.15181521098077078]","28_lag_arcTSjfm, 28_lag_stratZ50ndj04, 24_lag_nchinaPRjja, 29_lag_traIFC, 28_lag_nchinaPRjja, 22_lag_stratZ50ndj03_1235_22"
LinearRegression,18,6,mhfATL30,slow,1732.5,2005.5,0.6,33,23,23,13.05275310971536,0.19542896334091148,1235,"['32_lag_shSICsep', '29_lag_stratZ50ndj02', '32_lag_atlSICsep', '23_lag_traEU', '23_lag_nchinaPRjja', '32_lag_nchinaPRjja']","[0.042683861683941476, 0.026169272961986456, 0.210471281413797, 0.11936035206985152, 0.06685241050686544, 0.11913179571976665]","32_lag_shSICsep, 29_lag_stratZ50ndj02, 32_lag_atlSICsep, 23_lag_traEU, 23_lag_nchinaPRjja, 32_lag_nchinaPRjja_1235_23"
LinearRegression,19,6,mhfATL30,slow,1733.5,2005.5,0.6,34,24,32,13.667250052503219,0.1418115756556128,1235,"['33_lag_nchinaPRjja', '32_lag_ismPRjja', '33_lag_yrvPRjja', '32_lag_atlSICsep', '33_lag_mhfATL30', '32_lag_nchinaPRjja']","[0.03492271533017037, 0.11060135846806546, 0.09398507685662122, 0.26261703708474543, 0.20673852922080488, 0.10684271186604483]","33_lag_nchinaPRjja, 32_lag_ismPRjja, 33_lag_yrvPRjja, 32_lag_atlSICsep, 33_lag_mhfATL30, 32_lag_nchinaPRjja_1235_32"
LinearRegression,20,6,mhfATL30,slow,1734.5,2005.5,0.6,35,25,25,12.841854486427417,0.2633418082642326,1235,"['34_lag_eurPSLjfm', '25_lag_yrvPRjja', '29_lag_shSICsep', '32_lag_atlSICsep', '33_lag_mhfATL30', '32_lag_nchinaPRjja']","[0.13878836221369312, 0.20227555863023755, 0.10638674501653203, 0.26045341932502053, 0.14884728903489894, 0.10498612179347544]","34_lag_eurPSLjfm, 25_lag_yrvPRjja, 29_lag_shSICsep, 32_lag_atlSICsep, 33_lag_mhfATL30, 32_lag_nchinaPRjja_1235_25"
LinearRegression,21,6,mhfATL30,slow,1735.5,2005.5,0.6,36,26,26,13.096104358468272,0.22183105352426935,1235,"['26_lag_shSICsep', '29_lag_stratZ50ndj03', '29_lag_shSICsep', '33_lag_mhfATL30', '35_lag_ismPRjja', '35_lag_traFB']","[0.0966373468811074, 0.05533349849614912, 0.13531395486466496, 0.07422077052503015, 0.09037954765356779, 0.1817984187596916]","26_lag_shSICsep, 29_lag_stratZ50ndj03, 29_lag_shSICsep, 33_lag_mhfATL30, 35_lag_ismPRjja, 35_lag_traFB_1235_26"
