model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,mhfATL45,slow,866.5,2005.5,0.4,15,1,1,10.650986442845122,0.5560999383537414,1755,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_3_median_traCA']","[0.11293088382373241, 0.11004954639677189, 0.20160669452519728, 0.22325853679081603, 0.128530954563126, 0.22362338390035652]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_3_median_traCA_1755_1"
RandomForestRegressor,1,6,mhfATL45,slow,867.5,2005.5,0.4,16,1,1,10.750528401349968,0.5509229666130645,1885,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_3_median_traCA']","[0.12134757791479318, 0.10100903378560273, 0.2045563768997415, 0.2202010634802365, 0.1314586028232494, 0.22142734509637674]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_3_median_traCA_1885_1"
RandomForestRegressor,2,6,mhfATL45,slow,868.5,2005.5,0.4,17,1,1,10.899868605373598,0.5393537940186189,2015,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_traCA', '1_lag_4_median_traCA', '1_lag_mhfATL45', '1_lag_3_median_traCA']","[0.11883347465666974, 0.11696321784054872, 0.1983282267313933, 0.12370832785179812, 0.2212588102111502, 0.22090794270844]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_traCA, 1_lag_4_median_traCA, 1_lag_mhfATL45, 1_lag_3_median_traCA_2015_1"
RandomForestRegressor,3,6,mhfATL45,slow,869.5,2005.5,0.4,18,1,1,10.78336537591919,0.5483807288411198,2145,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_traCA', '1_lag_4_median_traCA', '1_lag_mhfATL45', '1_lag_3_median_traCA']","[0.12460088467266739, 0.1095111522673123, 0.20029205959024934, 0.11830963185471204, 0.2179595937280941, 0.22932667788696473]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_traCA, 1_lag_4_median_traCA, 1_lag_mhfATL45, 1_lag_3_median_traCA_2145_1"
RandomForestRegressor,4,6,mhfATL45,slow,870.5,2005.5,0.4,19,1,1,10.715207485584342,0.5585163603911785,2275,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_traCA', '1_lag_3_median_traCA']","[0.10410567547769935, 0.11497643818209007, 0.22376588888400295, 0.12816574323744295, 0.20170736870546488, 0.2272788855132999]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_traCA, 1_lag_3_median_traCA_2275_1"
RandomForestRegressor,5,6,mhfATL45,slow,871.5,2005.5,0.4,20,1,1,11.102581525406565,0.5125610986124665,2405,"['1_lag_19_median_nppc3SSTjfm', '1_lag_5_median_traCA', '1_lag_4_median_traCA', '1_lag_mhfATL45', '1_lag_traCA', '1_lag_3_median_traCA']","[0.1333167445828584, 0.12693063472429797, 0.11164065547939886, 0.1949420839902891, 0.19796485815041698, 0.23520502307273863]","1_lag_19_median_nppc3SSTjfm, 1_lag_5_median_traCA, 1_lag_4_median_traCA, 1_lag_mhfATL45, 1_lag_traCA, 1_lag_3_median_traCA_2405_1"
RandomForestRegressor,6,6,mhfATL45,slow,872.5,2005.5,0.4,21,1,1,10.713031709429977,0.5567626140991006,2535,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_traCA', '1_lag_3_median_traCA']","[0.11154040804289013, 0.11671975052272612, 0.21124747455663076, 0.11845661936744917, 0.20782382647244613, 0.23421192103785773]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_traCA, 1_lag_3_median_traCA_2535_1"
RandomForestRegressor,7,6,mhfATL45,slow,873.5,2005.5,0.4,22,1,1,10.889036572906852,0.5451955659925355,2665,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_traCA', '1_lag_3_median_traCA']","[0.10752126209403845, 0.10731681357854875, 0.20625874623095247, 0.11923502805542535, 0.2038124877521398, 0.2558556622888951]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_traCA, 1_lag_3_median_traCA_2665_1"
RandomForestRegressor,8,6,mhfATL45,slow,874.5,2005.5,0.4,23,1,1,10.753834216092494,0.5538917034582131,2795,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_traCA', '1_lag_3_median_traCA']","[0.11869663619333201, 0.10995854163568321, 0.22396607077666086, 0.12230410439250154, 0.20277568823598216, 0.22229895876584024]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_traCA, 1_lag_3_median_traCA_2795_1"
RandomForestRegressor,9,6,mhfATL45,slow,875.5,2005.5,0.4,24,1,1,11.183654052651763,0.5181958814036897,2925,"['1_lag_19_median_nppc3SSTjfm', '1_lag_5_median_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_traCA', '1_lag_3_median_traCA']","[0.14517649850330203, 0.12146285755957409, 0.20148842765124478, 0.11644764562848163, 0.19729684385178284, 0.21812772680561462]","1_lag_19_median_nppc3SSTjfm, 1_lag_5_median_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_traCA, 1_lag_3_median_traCA_2925_1"
RandomForestRegressor,10,6,mhfATL45,slow,876.5,2005.5,0.4,25,1,1,10.839292712076066,0.5491030466211969,3055,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_4_median_traCA', '1_lag_mhfATL45', '1_lag_traCA', '1_lag_3_median_traCA']","[0.11622853599840789, 0.1110743983838816, 0.11858335269307284, 0.2089852393396897, 0.20554790826169814, 0.2395805653232498]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_4_median_traCA, 1_lag_mhfATL45, 1_lag_traCA, 1_lag_3_median_traCA_3055_1"
RandomForestRegressor,11,6,mhfATL45,slow,877.5,2005.5,0.4,26,1,1,10.862417612827079,0.5431491204080073,3185,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_4_median_traCA', '1_lag_mhfATL45', '1_lag_traCA', '1_lag_3_median_traCA']","[0.11366883016843811, 0.11773230684772404, 0.1160903075024099, 0.20683513570634843, 0.20630201153522748, 0.23937140823985203]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_4_median_traCA, 1_lag_mhfATL45, 1_lag_traCA, 1_lag_3_median_traCA_3185_1"
RandomForestRegressor,12,6,mhfATL45,slow,878.5,2005.5,0.4,27,1,1,10.7855559971434,0.5543879137597633,3315,"['1_lag_6_median_traCA', '1_lag_5_median_traCA', '1_lag_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_3_median_traCA']","[0.12278005205660672, 0.11501043540313867, 0.2045018841508882, 0.21035275006844392, 0.12195173454958286, 0.2254031437713397]","1_lag_6_median_traCA, 1_lag_5_median_traCA, 1_lag_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_3_median_traCA_3315_1"
RandomForestRegressor,13,6,mhfATL45,slow,879.5,2005.5,0.4,28,1,1,10.656828531357286,0.5767042739215013,3445,"['1_lag_amo1', '1_lag_5_median_traCA', '1_lag_4_median_traCA', '1_lag_mhfATL45', '1_lag_traCA', '1_lag_3_median_traCA']","[0.14692696609462305, 0.12338240550865262, 0.12307613984566049, 0.21640518851578197, 0.1816838634838719, 0.20852543655140998]","1_lag_amo1, 1_lag_5_median_traCA, 1_lag_4_median_traCA, 1_lag_mhfATL45, 1_lag_traCA, 1_lag_3_median_traCA_3445_1"
RandomForestRegressor,14,6,mhfATL45,slow,880.5,2005.5,0.4,29,1,1,10.456948283245833,0.5836113108793447,3575,"['1_lag_amo1', '1_lag_5_median_traCA', '1_lag_traCA', '1_lag_mhfATL45', '1_lag_4_median_traCA', '1_lag_3_median_traCA']","[0.14960021026253106, 0.13739854886635638, 0.17384853565816688, 0.20096831726208753, 0.13140053287709158, 0.2067838550737667]","1_lag_amo1, 1_lag_5_median_traCA, 1_lag_traCA, 1_lag_mhfATL45, 1_lag_4_median_traCA, 1_lag_3_median_traCA_3575_1"
RandomForestRegressor,15,6,mhfATL45,slow,881.5,2005.5,0.4,30,1,1,10.578822072991704,0.5732849155576507,3705,"['1_lag_amo1', '1_lag_4_median_traCA', '1_lag_traCA', '1_lag_5_median_traCA', '1_lag_mhfATL45', '1_lag_3_median_traCA']","[0.1557485950034495, 0.11406890087612612, 0.18261354675854002, 0.14745699687606728, 0.20768342802558248, 0.1924285324602346]","1_lag_amo1, 1_lag_4_median_traCA, 1_lag_traCA, 1_lag_5_median_traCA, 1_lag_mhfATL45, 1_lag_3_median_traCA_3705_1"
RandomForestRegressor,16,6,mhfATL45,slow,882.5,2005.5,0.4,31,1,1,10.629681675897455,0.5710796998640316,3835,"['1_lag_amo1', '1_lag_4_median_traCA', '1_lag_traCA', '1_lag_5_median_traCA', '1_lag_mhfATL45', '1_lag_3_median_traCA']","[0.1627156038790319, 0.10523497298991133, 0.17907383489298453, 0.1473995766936784, 0.19881700719928835, 0.20675900434510555]","1_lag_amo1, 1_lag_4_median_traCA, 1_lag_traCA, 1_lag_5_median_traCA, 1_lag_mhfATL45, 1_lag_3_median_traCA_3835_1"
RandomForestRegressor,17,6,mhfATL45,slow,883.5,2005.5,0.4,32,2,2,12.012251188594535,0.39949044450271554,3835,"['2_lag_14_median_traFSC', '2_lag_6_median_traCA', '2_lag_5_median_traCA', '2_lag_13_median_traFSC', '2_lag_4_median_traCA', '2_lag_traCA']","[0.14102444313914178, 0.16015474954913927, 0.12190196690406778, 0.15717358478776233, 0.1659600557150007, 0.25378519990488824]","2_lag_14_median_traFSC, 2_lag_6_median_traCA, 2_lag_5_median_traCA, 2_lag_13_median_traFSC, 2_lag_4_median_traCA, 2_lag_traCA_3835_2"
RandomForestRegressor,18,6,mhfATL45,slow,884.5,2005.5,0.4,33,3,3,13.46922750305542,0.3288322436478719,3835,"['3_lag_27_median_tripol1', '3_lag_14_median_traFSC', '3_lag_29_median_traEC', '3_lag_15_median_traFSC', '3_lag_13_median_traFSC', '3_lag_traCA']","[0.1774628678625869, 0.09489379127538472, 0.16655100585107913, 0.13580649771052858, 0.16131060599872418, 0.2639752313016966]","3_lag_27_median_tripol1, 3_lag_14_median_traFSC, 3_lag_29_median_traEC, 3_lag_15_median_traFSC, 3_lag_13_median_traFSC, 3_lag_traCA_3835_3"
RandomForestRegressor,19,6,mhfATL45,slow,885.5,2005.5,0.4,34,4,4,13.583289572766969,0.1187793617524898,3835,"['4_lag_14_median_atlSICsep', '4_lag_13_median_traFSC', '4_lag_9_median_scpPSLjfm', '4_lag_14_median_traFSC', '4_lag_18_median_amoSSTmjjaso', '4_lag_20_median_amoSSTmjjaso']","[0.18280071072106355, 0.12263217754334876, 0.2067789499162902, 0.1716388341867547, 0.15883363521697139, 0.15731569241557142]","4_lag_14_median_atlSICsep, 4_lag_13_median_traFSC, 4_lag_9_median_scpPSLjfm, 4_lag_14_median_traFSC, 4_lag_18_median_amoSSTmjjaso, 4_lag_20_median_amoSSTmjjaso_3835_4"
RandomForestRegressor,20,6,mhfATL45,slow,886.5,2005.5,0.4,35,5,5,13.937524568872835,0.15181886735185163,3835,"['5_lag_19_median_amoSSTmjjaso', '5_lag_25_median_tripol1', '5_lag_21_median_amoSSTmjjaso', '5_lag_17_median_amoSSTmjjaso', '5_lag_15_median_atlSICsep', '5_lag_27_median_tripol1']","[0.11093272708420454, 0.1573563730854554, 0.14171597124093882, 0.17309699247500998, 0.2271913359881872, 0.18970660012620408]","5_lag_19_median_amoSSTmjjaso, 5_lag_25_median_tripol1, 5_lag_21_median_amoSSTmjjaso, 5_lag_17_median_amoSSTmjjaso, 5_lag_15_median_atlSICsep, 5_lag_27_median_tripol1_3835_5"
RandomForestRegressor,21,6,mhfATL45,slow,887.5,2005.5,0.4,36,6,6,14.393003910296898,0.04955333576809509,3835,"['6_lag_25_median_tripol1', '6_lag_30_median_tripol1', '6_lag_14_median_amoSSTmjjaso', '6_lag_28_median_tripol1', '6_lag_26_median_tripol1', '6_lag_18_median_amoSSTmjjaso']","[0.12972452161363404, 0.13716872821269033, 0.1903615717487206, 0.16299403681573085, 0.1465901245134288, 0.23316101709579534]","6_lag_25_median_tripol1, 6_lag_30_median_tripol1, 6_lag_14_median_amoSSTmjjaso, 6_lag_28_median_tripol1, 6_lag_26_median_tripol1, 6_lag_18_median_amoSSTmjjaso_3835_6"
RandomForestRegressor,22,6,mhfATL45,slow,888.5,2005.5,0.4,37,7,7,14.46515368954515,0.020094260980800426,3835,"['7_lag_34_median_nchinaPRjja', '7_lag_17_median_amoSSTmjjaso', '7_lag_29_median_tripol1', '7_lag_27_median_tripol1', '7_lag_26_median_tripol1', '7_lag_19_median_amoSSTmjjaso']","[0.18577598279760946, 0.1714100224716084, 0.1649597350321451, 0.12885355411651658, 0.15417470272247816, 0.19482600285964236]","7_lag_34_median_nchinaPRjja, 7_lag_17_median_amoSSTmjjaso, 7_lag_29_median_tripol1, 7_lag_27_median_tripol1, 7_lag_26_median_tripol1, 7_lag_19_median_amoSSTmjjaso_3835_7"
RandomForestRegressor,23,6,mhfATL45,slow,889.5,2005.5,0.4,38,8,8,13.612711547225663,0.09320001017246528,3835,"['8_lag_26_median_nchinaPRjja', '8_lag_28_median_nchinaPRjja', '8_lag_20_median_amoSSTmjjaso', '8_lag_28_median_tripol1', '8_lag_26_median_tripol1', '8_lag_27_median_tripol1']","[0.1809416474298996, 0.1878565974669839, 0.22038151847546586, 0.13366840619689827, 0.13230687487799025, 0.14484495555276222]","8_lag_26_median_nchinaPRjja, 8_lag_28_median_nchinaPRjja, 8_lag_20_median_amoSSTmjjaso, 8_lag_28_median_tripol1, 8_lag_26_median_tripol1, 8_lag_27_median_tripol1_3835_8"
