model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,mhfATL60,slow,866.5,2005.5,0.6,15,1,1,14.069863762470469,0.09159403933950797,1755,"['1_lag_4_median_pdoSSTjfm', '1_lag_10_median_traDP', '4_lag_traTLS', '14_lag_nhSICjfm', '1_lag_11_median_shSICmar', '14_lag_traIFC']","[6.820588581360552, 0.04289844694804046, 0.9147163891248979, 3.657558872772327, 5.045792838887962, 0.10130717578922521]","1_lag_4_median_pdoSSTjfm, 1_lag_10_median_traDP, 4_lag_traTLS, 14_lag_nhSICjfm, 1_lag_11_median_shSICmar, 14_lag_traIFC_1755_1"
LRforcedPSO,1,6,mhfATL60,slow,867.5,2005.5,0.6,16,1,1,13.405393622247294,-0.07779652610012801,1885,"['1_lag_14_median_traDS', '1_lag_11_median_labSSTjfm', '1_lag_11_median_satlSSTjfm', '13_lag_nppc3SSTjfm', '1_lag_9_median_cetTSjfm', '14_lag_AMOCann']","[7.150375926271297, 5.092763279017463, 0.27376070039099076, 0.008326782192158433, 1.5507361925907261, 1.5271623454699466]","1_lag_14_median_traDS, 1_lag_11_median_labSSTjfm, 1_lag_11_median_satlSSTjfm, 13_lag_nppc3SSTjfm, 1_lag_9_median_cetTSjfm, 14_lag_AMOCann_1885_1"
LRforcedPSO,2,6,mhfATL60,slow,868.5,2005.5,0.6,17,1,1,12.287260312823575,0.08921428655937554,2015,"['12_lag_glomaSSTjfm', '1_lag_16_median_ismPRjja', '1_lag_9_median_solFORC', '13_lag_solFORC', '1_lag_7_median_glomaSSTjfm', '15_lag_gyreSSTjfm']","[3.8053147319848257, 1.0387679231153477, 2.470240205070194, 2.786710048159242, 1.3144769892270514, 2.3834918598689843]","12_lag_glomaSSTjfm, 1_lag_16_median_ismPRjja, 1_lag_9_median_solFORC, 13_lag_solFORC, 1_lag_7_median_glomaSSTjfm, 15_lag_gyreSSTjfm_2015_1"
LRforcedPSO,3,6,mhfATL60,slow,869.5,2005.5,0.6,18,1,1,13.174187168343066,0.1292568182184573,2145,"['8_lag_nppc2SSTjfm', '1_lag_16_median_wnorPRjfm', '1_lag_16_median_shSICsep', '2_lag_naoPSLjfm', '1_lag_8_median_shSICmar', '11_lag_shSICsep']","[3.1364205208436875, 5.621813476309253, 4.741784729236008, 0.4473087139695906, 1.6324703361064934, 5.771635261826207]","8_lag_nppc2SSTjfm, 1_lag_16_median_wnorPRjfm, 1_lag_16_median_shSICsep, 2_lag_naoPSLjfm, 1_lag_8_median_shSICmar, 11_lag_shSICsep_2145_1"
LRforcedPSO,4,6,mhfATL60,slow,870.5,2005.5,0.6,19,1,1,13.843846232439233,0.09241792768885716,2275,"['4_lag_ismPRjja', '1_lag_15_median_satlSSTjfm', '1_lag_15_median_amo1', '1_lag_6_median_mhfATL60', '16_lag_traFB', '7_lag_ginwSSTjfm']","[1.5577535116128534, 3.413023098631294, 0.5257923039804524, 5.818886162738195, 0.05790520073209571, 3.4850241277675664]","4_lag_ismPRjja, 1_lag_15_median_satlSSTjfm, 1_lag_15_median_amo1, 1_lag_6_median_mhfATL60, 16_lag_traFB, 7_lag_ginwSSTjfm_2275_1"
LRforcedPSO,5,6,mhfATL60,slow,871.5,2005.5,0.6,20,1,1,11.869206372051925,0.25473680578701435,2405,"['1_lag_traIFC', '5_lag_nhSICjfm', '1_lag_12_median_solFORC', '14_lag_traDP', '15_lag_ormenSSTjfm', '4_lag_traIFC']","[2.5287415674224194, 1.896556346359295, 1.896556401235564, 1.8966162214755864, 1.8965566041645292, 1.8965568832635202]","1_lag_traIFC, 5_lag_nhSICjfm, 1_lag_12_median_solFORC, 14_lag_traDP, 15_lag_ormenSSTjfm, 4_lag_traIFC_2405_1"
LRforcedPSO,6,6,mhfATL60,slow,872.5,2005.5,0.6,21,1,1,13.748552460491563,0.002721783433646258,2535,"['19_lag_traBO', '1_lag_11_median_traIFC', '20_lag_AMOCann', '16_lag_stratZ50ndj01', '4_lag_atlSICjfm', '1_lag_20_median_tripol2']","[1.766007995994837, 0.9198877120728017, 3.9841738116430196, 5.8224607893222675, 2.008154201386163, 0.4026946336500288]","19_lag_traBO, 1_lag_11_median_traIFC, 20_lag_AMOCann, 16_lag_stratZ50ndj01, 4_lag_atlSICjfm, 1_lag_20_median_tripol2_2535_1"
LRforcedPSO,7,6,mhfATL60,slow,873.5,2005.5,0.6,22,2,2,15.000370969530811,0.044799810126799545,2535,"['12_lag_traBO', '2_lag_16_median_ismPRjja', '2_lag_12_median_ormenSSTjfm', '19_lag_seurTSjfm', '2_lag_6_median_traDS', '2_lag_8_median_glTSjfm']","[2.355603520025575, 2.391204110562759, 0.02908426447308976, 6.458894498324761, 0.39408399085480283, 3.391639384924609]","12_lag_traBO, 2_lag_16_median_ismPRjja, 2_lag_12_median_ormenSSTjfm, 19_lag_seurTSjfm, 2_lag_6_median_traDS, 2_lag_8_median_glTSjfm_2535_2"
LRforcedPSO,8,6,mhfATL60,slow,874.5,2005.5,0.6,23,3,3,12.723862704535456,0.14608651097520764,2535,"['3_lag_7_median_nppc3SSTjfm', '22_lag_amo2', '3_lag_4_median_samPSLann', '5_lag_arcTSjfm', '12_lag_nppc3SSTjfm', '18_lag_nhTSjfm']","[1.4250331115265418, 2.999196920573956, 2.1732463968204456, 0.15096513455629967, 2.83127167782008, 1.9411860145888014]","3_lag_7_median_nppc3SSTjfm, 22_lag_amo2, 3_lag_4_median_samPSLann, 5_lag_arcTSjfm, 12_lag_nppc3SSTjfm, 18_lag_nhTSjfm_2535_3"
LRforcedPSO,9,6,mhfATL60,slow,875.5,2005.5,0.6,24,4,4,13.33246051183545,0.021622362539961987,2535,"['12_lag_stratZ50ndj04', '4_lag_17_median_nppc2SSTjfm', '4_lag_13_median_traIFC', '4_lag_16_median_tripol3', '4_lag_14_median_mhfIP30', '5_lag_solFORC']","[0.1831320457127088, 4.9955827311036, 5.3398348050025835, 0.6812991739625147, 0.9724223759791091, 0.34858435703147883]","12_lag_stratZ50ndj04, 4_lag_17_median_nppc2SSTjfm, 4_lag_13_median_traIFC, 4_lag_16_median_tripol3, 4_lag_14_median_mhfIP30, 5_lag_solFORC_2535_4"
