model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,mhfIP30,slow,866.5,2005.5,0.8,15,1,1,13.216420286994992,-0.01652943778459188,1755,"['1_lag_2_median_glTSjfm', '1_lag_10_median_neurTSjfm', '13_lag_amo1', '1_lag_6_median_nhSICjfm', '1_lag_2_median_mhfATL60', '5_lag_stratZ50ndj04']","[1.5536528819297346, 1.7696787012464956, 1.518435385605823, 1.586559836336664, 1.5250956188546747, 2.024455400511772]","1_lag_2_median_glTSjfm, 1_lag_10_median_neurTSjfm, 13_lag_amo1, 1_lag_6_median_nhSICjfm, 1_lag_2_median_mhfATL60, 5_lag_stratZ50ndj04_1755_1"
LRforcedPSO,1,6,mhfIP30,slow,867.5,2005.5,0.8,16,1,1,14.742372005429358,0.04909607305797227,1885,"['9_lag_nchinaPRjja', '5_lag_mhfATL30', '12_lag_nhTSjfm', '12_lag_AMOCann', '1_lag_15_median_atlSICjfm', '1_lag_5_median_traBS']","[0.5822441319384541, 3.0525793024274206, 4.036661821062939, 3.7974961830167286, 0.750401871115665, 1.3647359420050513]","9_lag_nchinaPRjja, 5_lag_mhfATL30, 12_lag_nhTSjfm, 12_lag_AMOCann, 1_lag_15_median_atlSICjfm, 1_lag_5_median_traBS_1885_1"
LRforcedPSO,2,6,mhfIP30,slow,868.5,2005.5,0.8,17,1,1,12.665019031090019,0.0922999982107477,2015,"['12_lag_glTSjfm', '4_lag_nppc3SSTjfm', '1_lag_11_median_labSSTjfm', '7_lag_nppc2SSTjfm', '8_lag_amo3', '3_lag_stratZ50ndj02']","[2.0137542074659027, 1.9752680474044355, 1.862957150474445, 2.301309582286913, 2.0876760440535644, 2.250997823390923]","12_lag_glTSjfm, 4_lag_nppc3SSTjfm, 1_lag_11_median_labSSTjfm, 7_lag_nppc2SSTjfm, 8_lag_amo3, 3_lag_stratZ50ndj02_2015_1"
LRforcedPSO,3,6,mhfIP30,slow,869.5,2005.5,0.8,18,1,1,13.647667763867185,0.0021244669678090623,2145,"['6_lag_seurTSjfm', '5_lag_shSICsep', '2_lag_solFORC', '1_lag_9_median_amo2', '13_lag_naoPSLjfm', '14_lag_traEC']","[4.0171551532260565, 1.7073294826902945, 5.839541557813817, 1.5538367081878253, 0.10710393427359399, 0.22013950045355557]","6_lag_seurTSjfm, 5_lag_shSICsep, 2_lag_solFORC, 1_lag_9_median_amo2, 13_lag_naoPSLjfm, 14_lag_traEC_2145_1"
LRforcedPSO,4,6,mhfIP30,slow,870.5,2005.5,0.8,19,1,1,13.753195603847322,0.01611829325002246,2275,"['6_lag_traFSC', '1_lag_13_median_nhSICjfm', '1_lag_14_median_gyreSSTjfm', '8_lag_nhSICsep', '1_lag_7_median_traIT', '8_lag_neurTSjfm']","[3.4200565561034058, 2.452626399669267, 1.1821433473231089, 1.317328466623934, 3.965562563835366, 0.30404032624544186]","6_lag_traFSC, 1_lag_13_median_nhSICjfm, 1_lag_14_median_gyreSSTjfm, 8_lag_nhSICsep, 1_lag_7_median_traIT, 8_lag_neurTSjfm_2275_1"
LRforcedPSO,5,6,mhfIP30,slow,871.5,2005.5,0.8,20,1,1,12.693558025669265,-0.015709694354530693,2405,"['1_lag_6_median_stratZ50ndj03', '10_lag_ginwSSTjfm', '16_lag_solFORC', '2_lag_shTSjfm', '17_lag_scpPSLjfm', '1_lag_14_median_arcTSjfm']","[1.7562530574364914, 1.5164481712019107, 1.5205116147538948, 1.6834911156792618, 2.021746170880179, 1.5163096281781476]","1_lag_6_median_stratZ50ndj03, 10_lag_ginwSSTjfm, 16_lag_solFORC, 2_lag_shTSjfm, 17_lag_scpPSLjfm, 1_lag_14_median_arcTSjfm_2405_1"
LRforcedPSO,6,6,mhfIP30,slow,872.5,2005.5,0.8,21,1,1,14.010107093232108,0.01055163274976504,2535,"['5_lag_mhfATL45', '12_lag_seurTSjfm', '17_lag_ensoSSTjfm', '13_lag_stratZ50ndj04', '18_lag_nhSICjfm', '1_lag_19_median_arcTSjfm']","[1.9797018460050992, 2.5237575620342287, 2.0346625697062057, 2.139541747890557, 1.9938221146718158, 2.639591613059908]","5_lag_mhfATL45, 12_lag_seurTSjfm, 17_lag_ensoSSTjfm, 13_lag_stratZ50ndj04, 18_lag_nhSICjfm, 1_lag_19_median_arcTSjfm_2535_1"
LRforcedPSO,7,6,mhfIP30,slow,873.5,2005.5,0.8,22,2,2,15.325753941687154,0.030293535563777174,2535,"['2_lag_10_median_traIT', '2_lag_14_median_samPSLann', '2_lag_17_median_cetTSjfm', '16_lag_gyreSSTjfm', '11_lag_amo2', '2_lag_17_median_mhfATL30']","[1.1717456826262804, 0.4016939929946126, 2.2635967831200823, 3.015057807907638, 3.3916341929264284, 5.438139749053668]","2_lag_10_median_traIT, 2_lag_14_median_samPSLann, 2_lag_17_median_cetTSjfm, 16_lag_gyreSSTjfm, 11_lag_amo2, 2_lag_17_median_mhfATL30_2535_2"
LRforcedPSO,8,6,mhfIP30,slow,874.5,2005.5,0.8,23,3,3,13.718850504996224,0.022237981041130922,2535,"['3_lag_19_median_nppc3SSTjfm', '3_lag_17_median_traBS', '13_lag_naoPSLjfm', '3_lag_9_median_nchinaPRjja', '21_lag_samPSLann', '3_lag_16_median_yrvPRjja']","[1.086841934676393, 3.9793664708299694, 0.6812124515878875, 2.686811592411922, 1.032322870998378, 2.221322531610447]","3_lag_19_median_nppc3SSTjfm, 3_lag_17_median_traBS, 13_lag_naoPSLjfm, 3_lag_9_median_nchinaPRjja, 21_lag_samPSLann, 3_lag_16_median_yrvPRjja_2535_3"
LRforcedPSO,9,6,mhfIP30,slow,875.5,2005.5,0.8,24,4,4,14.603930953245401,0.06307185844925198,2535,"['4_lag_17_median_stratZ50ndj04', '10_lag_ensoSSTjfm', '13_lag_ginwSSTjfm', '11_lag_ensoSSTjfm', '20_lag_traEU', '4_lag_7_median_atlSICsep']","[0.7097133957418365, 5.609907487233265, 5.562852105008272, 0.43466948961123464, 1.477868317314508, 0.8092823355674099]","4_lag_17_median_stratZ50ndj04, 10_lag_ensoSSTjfm, 13_lag_ginwSSTjfm, 11_lag_ensoSSTjfm, 20_lag_traEU, 4_lag_7_median_atlSICsep_2535_4"
LRforcedPSO,10,6,mhfIP30,slow,876.5,2005.5,0.8,25,5,5,13.019954239101873,-0.002875865361784467,2535,"['19_lag_ormenSSTjfm', '21_lag_amo2', '19_lag_amo2', '22_lag_nhSICjfm', '5_lag_23_median_nhSICsep', '5_lag_16_median_ismPRjja']","[1.730361842505135, 1.8552227993985226, 1.585130037456091, 1.9211349687019499, 1.4543799697898399, 1.838947442487649]","19_lag_ormenSSTjfm, 21_lag_amo2, 19_lag_amo2, 22_lag_nhSICjfm, 5_lag_23_median_nhSICsep, 5_lag_16_median_ismPRjja_2535_5"
LRforcedPSO,11,6,mhfIP30,slow,877.5,2005.5,0.8,26,6,6,13.636221587401241,0.030826826932877183,2535,"['9_lag_labSSTjfm', '21_lag_traIT', '18_lag_tripol1', '6_lag_12_median_seurTSjfm', '7_lag_stratZ50ndj03', '11_lag_mhfATL60']","[0.25203242418514016, 5.559118105631832, 0.5417902457117982, 1.3070831584288953, 2.1187834380807224, 1.3259168625050748]","9_lag_labSSTjfm, 21_lag_traIT, 18_lag_tripol1, 6_lag_12_median_seurTSjfm, 7_lag_stratZ50ndj03, 11_lag_mhfATL60_2535_6"
LRforcedPSO,12,6,mhfIP30,slow,878.5,2005.5,0.8,27,7,7,12.854614958359262,0.02217773976378722,2535,"['15_lag_mhfATL60', '7_lag_17_median_satlSSTjfm', '7_lag_13_median_ginwSSTjfm', '7_lag_14_median_atlSICjfm', '24_lag_tripol1', '8_lag_glomaSSTjfm']","[2.5661875752713894, 2.3746935202734805, 3.1653807255767425, 2.8665935461033714, 2.439561564459689, 2.6937889657355814]","15_lag_mhfATL60, 7_lag_17_median_satlSSTjfm, 7_lag_13_median_ginwSSTjfm, 7_lag_14_median_atlSICjfm, 24_lag_tripol1, 8_lag_glomaSSTjfm_2535_7"
LRforcedPSO,13,6,mhfIP30,slow,879.5,2005.5,0.8,28,8,8,13.241277585431792,0.028074826338741823,2535,"['8_lag_20_median_nhSICjfm', '13_lag_tripol1', '20_lag_traIFC', '8_lag_21_median_eurPSLjfm', '23_lag_mhfATL45', '24_lag_shSICmar']","[2.4339098725941706, 2.3045613541115606, 2.430388371303908, 1.8260523558922037, 1.8254620778018662, 2.428312085831442]","8_lag_20_median_nhSICjfm, 13_lag_tripol1, 20_lag_traIFC, 8_lag_21_median_eurPSLjfm, 23_lag_mhfATL45, 24_lag_shSICmar_2535_8"
LRforcedPSO,14,6,mhfIP30,slow,880.5,2005.5,0.8,29,9,9,12.508314509471699,0.025702699748738088,2535,"['23_lag_shSICmar', '9_lag_15_median_eapPSLjfm', '16_lag_amo2', '21_lag_naoPSLjfm', '11_lag_shSICmar', '18_lag_traEC']","[0.7391647714997145, 2.297066299975663, 0.6896234949709719, 1.1240251645419725, 1.7270089676757916, 0.8142005046093015]","23_lag_shSICmar, 9_lag_15_median_eapPSLjfm, 16_lag_amo2, 21_lag_naoPSLjfm, 11_lag_shSICmar, 18_lag_traEC_2535_9"
LRforcedPSO,15,6,mhfIP30,slow,881.5,2005.5,0.8,30,10,10,13.280794936670834,-0.0313117735318689,2535,"['10_lag_19_median_amo3', '10_lag_15_median_mhfATL60', '22_lag_gyreSSTjfm', '14_lag_mhfATL45', '10_lag_12_median_alpi', '10_lag_29_median_traIFC']","[2.050820220526014, 2.3568126894246153, 1.950107959534787, 2.014657015133505, 2.072935396022413, 2.2973277182662497]","10_lag_19_median_amo3, 10_lag_15_median_mhfATL60, 22_lag_gyreSSTjfm, 14_lag_mhfATL45, 10_lag_12_median_alpi, 10_lag_29_median_traIFC_2535_10"
LRforcedPSO,16,6,mhfIP30,slow,882.5,2005.5,0.8,31,11,11,14.2596053546485,-0.037643655914079706,2535,"['11_lag_29_median_solFORC', '25_lag_scpPSLjfm', '11_lag_20_median_eurPSLjfm', '26_lag_traIT', '24_lag_traEC', '30_lag_mhfIP30']","[0.40769028957685016, 3.9102315182945286, 4.908666531250677, 1.1255344573052266, 1.7933324734544271, 3.101155610060225]","11_lag_29_median_solFORC, 25_lag_scpPSLjfm, 11_lag_20_median_eurPSLjfm, 26_lag_traIT, 24_lag_traEC, 30_lag_mhfIP30_2535_11"
LRforcedPSO,17,6,mhfIP30,slow,883.5,2005.5,0.8,32,12,12,14.175031137687984,-0.021242100833411694,2535,"['12_lag_17_median_traEC', '29_lag_arcTSjfm', '22_lag_mhfIP30', '17_lag_alpi', '12_lag_24_median_traEU', '12_lag_31_median_arcTSjfm']","[0.12205006413799957, 1.8314361392503997, 0.08997625662879649, 3.3763516828232802, 1.7400605941204095, 2.8144744189661193]","12_lag_17_median_traEC, 29_lag_arcTSjfm, 22_lag_mhfIP30, 17_lag_alpi, 12_lag_24_median_traEU, 12_lag_31_median_arcTSjfm_2535_12"
LRforcedPSO,18,6,mhfIP30,slow,884.5,2005.5,0.8,33,13,13,13.290005243508539,-0.03711098535512691,2535,"['15_lag_nppc3SSTjfm', '30_lag_traCA', '27_lag_nchinaPRjja', '32_lag_traIFC', '21_lag_traMC', '13_lag_31_median_traDP']","[2.0281856918457097, 1.8302362558938887, 2.3576282123263566, 2.232074541168489, 1.7685515724861904, 1.8956612790858112]","15_lag_nppc3SSTjfm, 30_lag_traCA, 27_lag_nchinaPRjja, 32_lag_traIFC, 21_lag_traMC, 13_lag_31_median_traDP_2535_13"
LRforcedPSO,19,6,mhfIP30,slow,885.5,2005.5,0.8,34,14,14,13.09806997299157,0.05551588947924139,2535,"['14_lag_29_median_nhTSjfm', '16_lag_tripol1', '14_lag_20_median_nhTSjfm', '14_lag_29_median_neurTSjfm', '30_lag_amo2', '16_lag_shSICmar']","[2.1477484664950497, 0.46724992093824014, 3.9715657626689875, 2.1757399119724337, 3.1890277069361783, 2.1726172549917617]","14_lag_29_median_nhTSjfm, 16_lag_tripol1, 14_lag_20_median_nhTSjfm, 14_lag_29_median_neurTSjfm, 30_lag_amo2, 16_lag_shSICmar_2535_14"
LRforcedPSO,20,6,mhfIP30,slow,886.5,2005.5,0.8,35,15,15,13.055322637987464,-0.07604449802929945,2535,"['27_lag_traEC', '30_lag_nppc3SSTjfm', '15_lag_mhfATL60', '19_lag_nppc3SSTjfm', '15_lag_24_median_labSSTjfm', '15_lag_21_median_traIT']","[1.9758286412919042, 1.8247736462981823, 1.7695035671800792, 1.8118013100009394, 2.308332649728112, 1.7374967591420618]","27_lag_traEC, 30_lag_nppc3SSTjfm, 15_lag_mhfATL60, 19_lag_nppc3SSTjfm, 15_lag_24_median_labSSTjfm, 15_lag_21_median_traIT_2535_15"
LRforcedPSO,21,6,mhfIP30,slow,887.5,2005.5,0.8,36,16,16,13.604826961631074,-0.04948835715814203,2535,"['16_lag_24_median_glomaSSTjfm', '28_lag_amo2', '16_lag_25_median_traBS', '18_lag_stratZ50ndj03', '32_lag_stratZ50ndj04', '16_lag_34_median_nhTSjfm']","[1.7761654831426974, 2.0682086955991843, 1.6646640787249953, 1.628761616637691, 2.1695111836015037, 1.6272512257099263]","16_lag_24_median_glomaSSTjfm, 28_lag_amo2, 16_lag_25_median_traBS, 18_lag_stratZ50ndj03, 32_lag_stratZ50ndj04, 16_lag_34_median_nhTSjfm_2535_16"
LRforcedPSO,22,6,mhfIP30,slow,888.5,2005.5,0.8,37,17,17,12.677446630571888,-0.017339910401474652,2535,"['17_lag_24_median_tripol2', '27_lag_ismPRjja', '26_lag_ginwSSTjfm', '17_lag_27_median_traDP', '33_lag_nhSICjfm', '19_lag_traIFC']","[0.8781982741713382, 0.8784524796997478, 0.8954567913843304, 0.9365975990210764, 0.878198026062964, 1.17093070126332]","17_lag_24_median_tripol2, 27_lag_ismPRjja, 26_lag_ginwSSTjfm, 17_lag_27_median_traDP, 33_lag_nhSICjfm, 19_lag_traIFC_2535_17"
LRforcedPSO,23,6,mhfIP30,slow,889.5,2005.5,0.8,38,18,18,13.74923129051535,-0.03273432825930953,2535,"['18_lag_24_median_amoSSTmjjaso', '18_lag_22_median_traFB', '18_lag_26_median_traBO', '18_lag_26_median_stratZ50ndj04', '18_lag_37_median_traFB', '29_lag_amo3']","[1.632965657631873, 6.923497257236093, 3.0638112911226614, 2.860648936241139, 4.155047951825739, 0.5239841483483616]","18_lag_24_median_amoSSTmjjaso, 18_lag_22_median_traFB, 18_lag_26_median_traBO, 18_lag_26_median_stratZ50ndj04, 18_lag_37_median_traFB, 29_lag_amo3_2535_18"
LRforcedPSO,24,6,mhfIP30,slow,890.5,2005.5,0.8,39,19,19,15.656279529776583,-0.029545908659742767,2535,"['19_lag_35_median_satlSSTjfm', '19_lag_21_median_ormenSSTjfm', '19_lag_36_median_stratZ50ndj04', '28_lag_pdoSSTjfm', '19_lag_29_median_shTSjfm', '21_lag_yrvPRjja']","[2.3021552409766866, 4.165261872424065, 0.8369678900368793, 1.2589789201088806, 3.653019113759653, 1.2516072867732468]","19_lag_35_median_satlSSTjfm, 19_lag_21_median_ormenSSTjfm, 19_lag_36_median_stratZ50ndj04, 28_lag_pdoSSTjfm, 19_lag_29_median_shTSjfm, 21_lag_yrvPRjja_2535_19"
LRforcedPSO,25,6,mhfIP30,slow,891.5,2005.5,0.8,40,20,20,12.592494034852292,0.002373128583993518,2535,"['20_lag_29_median_atlSICsep', '20_lag_39_median_solFORC', '20_lag_27_median_traFS', '20_lag_22_median_eapPSLjfm', '20_lag_27_median_tripol1', '20_lag_22_median_amoSSTmjjaso']","[0.6212748763274121, 4.156851220422357, 0.11594346915563669, 0.6686722053042082, 3.242199831543653, 0.07705797205280085]","20_lag_29_median_atlSICsep, 20_lag_39_median_solFORC, 20_lag_27_median_traFS, 20_lag_22_median_eapPSLjfm, 20_lag_27_median_tripol1, 20_lag_22_median_amoSSTmjjaso_2535_20"
LRforcedPSO,26,6,mhfIP30,slow,892.5,2005.5,0.8,41,21,21,13.767793720197902,-0.032725651296828764,2535,"['21_lag_31_median_pdoSSTjfm', '38_lag_mhfATL60', '40_lag_tripol2', '36_lag_tripol1', '21_lag_39_median_eapPSLjfm', '32_lag_nhSICsep']","[2.7609622179290048, 2.081087323413861, 2.0847148034732395, 2.6854621224428903, 2.0829462059294985, 2.755681428023134]","21_lag_31_median_pdoSSTjfm, 38_lag_mhfATL60, 40_lag_tripol2, 36_lag_tripol1, 21_lag_39_median_eapPSLjfm, 32_lag_nhSICsep_2535_21"
LRforcedPSO,27,6,mhfIP30,slow,893.5,2005.5,0.8,42,22,22,17.43861119983838,-0.03725560326014443,2535,"['26_lag_nhSICsep', '22_lag_shSICmar', '22_lag_38_median_tripol3', '22_lag_35_median_amo3', '22_lag_36_median_eurPSLjfm', '22_lag_36_median_AMOCann']","[2.210768364425439, 1.8390774570225528, 4.937301481111702, 4.328865671352915, 3.988450903599306, 0.016143177372624606]","26_lag_nhSICsep, 22_lag_shSICmar, 22_lag_38_median_tripol3, 22_lag_35_median_amo3, 22_lag_36_median_eurPSLjfm, 22_lag_36_median_AMOCann_2535_22"
LRforcedPSO,28,6,mhfIP30,slow,894.5,2005.5,0.8,43,23,23,13.680659567198969,-0.048001306168580095,2535,"['42_lag_amoSSTmjjaso', '37_lag_nhSICsep', '26_lag_shSICmar', '23_lag_40_median_traDP', '23_lag_27_median_AMOCann', '23_lag_27_median_seurTSjfm']","[1.788663303188196, 1.383350966354687, 1.4959101061989255, 2.434887215444408, 4.194753896154411, 2.4646426483834087]","42_lag_amoSSTmjjaso, 37_lag_nhSICsep, 26_lag_shSICmar, 23_lag_40_median_traDP, 23_lag_27_median_AMOCann, 23_lag_27_median_seurTSjfm_2535_23"
LRforcedPSO,29,6,mhfIP30,slow,895.5,2005.5,0.8,44,24,24,12.907280616970766,-0.08033861340050776,2535,"['24_lag_28_median_traTLS', '41_lag_stratZ50ndj04', '34_lag_stratZ50ndj04', '24_lag_27_median_satlSSTjfm', '24_lag_37_median_traEC', '28_lag_ensoSSTjfm']","[1.7869305644402103, 1.3854237310467923, 1.8047406526688052, 1.693780670150731, 1.4944356654699724, 1.3699193141765722]","24_lag_28_median_traTLS, 41_lag_stratZ50ndj04, 34_lag_stratZ50ndj04, 24_lag_27_median_satlSSTjfm, 24_lag_37_median_traEC, 28_lag_ensoSSTjfm_2535_24"
LRforcedPSO,30,6,mhfIP30,slow,896.5,2005.5,0.8,45,25,25,14.130657931153248,-0.0783348727865733,2535,"['31_lag_traDS', '36_lag_ismPRjja', '34_lag_traDP', '25_lag_30_median_nppc2SSTjfm', '25_lag_31_median_shSICmar', '25_lag_37_median_traCA']","[4.228770313739709, 1.6321031160873147, 2.078305248761925, 3.0524716159701626, 5.561669047899331, 1.482500678811249]","31_lag_traDS, 36_lag_ismPRjja, 34_lag_traDP, 25_lag_30_median_nppc2SSTjfm, 25_lag_31_median_shSICmar, 25_lag_37_median_traCA_2535_25"
