model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,naoPSLjfm,slow,1514.5,2005.5,0.6,15,1,1,18.974596798652485,-0.10673676162078415,594,"['1_lag_12_median_atlSICsep', '1_lag_5_median_stratZ50ndj03', '8_lag_scpPSLjfm', '1_lag_atlSICjfm', '11_lag_amo3', '4_lag_naoPSLjfm', '1_lag_13_median_nhSICjfm', '1_lag_12_median_amo2', '1_lag_5_median_amo3', '1_lag_9_median_scpPSLjfm']","[3.165602708185256, 0.3879395484686494, 2.875961567191876, 0.6599446668060267, 0.7447208161745422, 1.1378817509048123, 5.5654475408763755, 1.4406425474974682, 8.19820927097479, 4.176770995362151]","1_lag_12_median_atlSICsep, 1_lag_5_median_stratZ50ndj03, 8_lag_scpPSLjfm, 1_lag_atlSICjfm, 11_lag_amo3, 4_lag_naoPSLjfm, 1_lag_13_median_nhSICjfm, 1_lag_12_median_amo2, 1_lag_5_median_amo3, 1_lag_9_median_scpPSLjfm_594_1"
LRforcedPSO,1,10,naoPSLjfm,slow,1515.5,2005.5,0.6,16,1,1,16.877012587637633,0.03802679008935967,638,"['4_lag_atlSICjfm', '1_lag_6_median_stratZ50ndj01', '4_lag_atlSICsep', '1_lag_15_median_amoSSTmjjaso', '1_lag_5_median_amo3', '1_lag_12_median_amo3', '1_lag_7_median_shSICmar', '1_lag_2_median_amoSSTjfm', '9_lag_solFORC', '1_lag_14_median_solFORC']","[6.331692587133064, 1.1927688251011865, 0.9272507574955924, 2.992467486331929, 5.828264929488698, 8.453817127845245, 2.455481532748678, 0.6484096994951045, 3.7901295645431876, 5.159803990493884]","4_lag_atlSICjfm, 1_lag_6_median_stratZ50ndj01, 4_lag_atlSICsep, 1_lag_15_median_amoSSTmjjaso, 1_lag_5_median_amo3, 1_lag_12_median_amo3, 1_lag_7_median_shSICmar, 1_lag_2_median_amoSSTjfm, 9_lag_solFORC, 1_lag_14_median_solFORC_638_1"
LRforcedPSO,2,10,naoPSLjfm,slow,1516.5,2005.5,0.6,17,1,1,29.391241379775995,-0.055289102234773,682,"['15_lag_amo1', '12_lag_nhSICjfm', '3_lag_nhSICjfm', '9_lag_shSICsep', '4_lag_stratZ50ndj03', '13_lag_scpPSLjfm', '1_lag_3_median_shSICmar', '7_lag_amo3', '16_lag_amoSSTjfm', '7_lag_nhSICsep']","[9.487198203193717, 0.11176101110332581, 5.76570562638871, 5.288623226686761, 1.5156460928365174, 2.2931765955534456, 0.538296159716019, 2.8801656269776377, 1.1491603045549699, 2.979264852583805]","15_lag_amo1, 12_lag_nhSICjfm, 3_lag_nhSICjfm, 9_lag_shSICsep, 4_lag_stratZ50ndj03, 13_lag_scpPSLjfm, 1_lag_3_median_shSICmar, 7_lag_amo3, 16_lag_amoSSTjfm, 7_lag_nhSICsep_682_1"
LRforcedPSO,3,10,naoPSLjfm,slow,1517.5,2005.5,0.6,18,1,1,16.316418323087323,0.09846650474877207,726,"['1_lag_15_median_AMOCann', '1_lag_4_median_amoSSTjfm', '2_lag_solFORC', '1_lag_12_median_amoSSTmjjaso', '1_lag_6_median_solFORC', '1_lag_5_median_amoSSTjfm', '6_lag_amo3', '4_lag_stratZ50ndj01', '1_lag_16_median_amo2', '7_lag_scpPSLjfm']","[0.6956999087428954, 2.723664144226346, 8.747268156768616, 8.06830968304514, 4.73969334340431, 0.5183787312756074, 1.1360946945437291, 0.803029989501109, 0.374607269968104, 0.6192716615258469]","1_lag_15_median_AMOCann, 1_lag_4_median_amoSSTjfm, 2_lag_solFORC, 1_lag_12_median_amoSSTmjjaso, 1_lag_6_median_solFORC, 1_lag_5_median_amoSSTjfm, 6_lag_amo3, 4_lag_stratZ50ndj01, 1_lag_16_median_amo2, 7_lag_scpPSLjfm_726_1"
LRforcedPSO,4,10,naoPSLjfm,slow,1518.5,2005.5,0.6,19,1,1,18.49597988279766,0.07022614105653528,770,"['1_lag_9_median_solFORC', '10_lag_amo1', '1_lag_3_median_stratZ50ndj04', '1_lag_15_median_atlSICsep', '1_lag_2_median_AMOCann', '1_lag_6_median_nhSICsep', '5_lag_naoPSLjfm', '10_lag_shSICmar', '1_lag_2_median_shSICmar', '13_lag_nhSICsep']","[1.3629164816514177, 4.0577395316085685, 2.9619629980496764, 1.3795134609466047, 4.6178857436463305, 2.660852713098649, 2.0835815545652148, 0.9321588244133991, 1.7460328214104734, 2.2801381476132914]","1_lag_9_median_solFORC, 10_lag_amo1, 1_lag_3_median_stratZ50ndj04, 1_lag_15_median_atlSICsep, 1_lag_2_median_AMOCann, 1_lag_6_median_nhSICsep, 5_lag_naoPSLjfm, 10_lag_shSICmar, 1_lag_2_median_shSICmar, 13_lag_nhSICsep_770_1"
LRforcedPSO,5,10,naoPSLjfm,slow,1519.5,2005.5,0.6,20,1,1,16.193403174792948,0.16942552848991824,814,"['1_lag_17_median_naoPSLjfm', '5_lag_amoSSTmjjaso', '1_lag_10_median_stratZ50ndj04', '8_lag_shSICmar', '1_lag_15_median_nhSICjfm', '3_lag_scpPSLjfm', '10_lag_atlSICjfm', '16_lag_amo1', '1_lag_6_median_stratZ50ndj01', '3_lag_stratZ50ndj01']","[2.8154610613170377, 0.2882369987406559, 2.3936618636194034, 1.6365399732757595, 5.173210939343358, 2.5716867385943214, 6.699266484246424, 0.340607814312758, 3.09202673445262, 0.4796834911227865]","1_lag_17_median_naoPSLjfm, 5_lag_amoSSTmjjaso, 1_lag_10_median_stratZ50ndj04, 8_lag_shSICmar, 1_lag_15_median_nhSICjfm, 3_lag_scpPSLjfm, 10_lag_atlSICjfm, 16_lag_amo1, 1_lag_6_median_stratZ50ndj01, 3_lag_stratZ50ndj01_814_1"
LRforcedPSO,6,10,naoPSLjfm,slow,1520.5,2005.5,0.6,21,1,1,19.407714676678477,0.00990882952342758,858,"['1_lag_16_median_stratZ50ndj01', '13_lag_eapPSLjfm', '1_lag_3_median_stratZ50ndj04', '4_lag_AMOCann', '1_lag_6_median_shSICmar', '1_lag_14_median_atlSICsep', '1_lag_3_median_stratZ50ndj02', '1_lag_5_median_AMOCann', '1_lag_4_median_amoSSTjfm', '13_lag_eurPSLjfm']","[3.069830128616978, 1.5661595476226324, 2.710662404088078, 3.401870012180229, 0.4578835347389614, 1.676922686826865, 2.1944813393637226, 2.9036796077179954, 0.8658406532124889, 1.283783056137814]","1_lag_16_median_stratZ50ndj01, 13_lag_eapPSLjfm, 1_lag_3_median_stratZ50ndj04, 4_lag_AMOCann, 1_lag_6_median_shSICmar, 1_lag_14_median_atlSICsep, 1_lag_3_median_stratZ50ndj02, 1_lag_5_median_AMOCann, 1_lag_4_median_amoSSTjfm, 13_lag_eurPSLjfm_858_1"
LRforcedPSO,7,10,naoPSLjfm,slow,1521.5,2005.5,0.6,22,2,2,17.960754083783918,0.059029752170060214,858,"['9_lag_naoPSLjfm', '2_lag_16_median_solFORC', '9_lag_scpPSLjfm', '18_lag_scpPSLjfm', '11_lag_amo1', '2_lag_15_median_atlSICjfm', '2_lag_11_median_stratZ50ndj01', '2_lag_6_median_amo3', '4_lag_stratZ50ndj02', '2_lag_11_median_atlSICjfm']","[4.261015559154937, 2.062444642477475, 0.594935369084018, 7.584300537168545, 1.9052281719619746, 0.05228947423015562, 1.4529387123299404, 0.365105681947691, 6.67585269440735, 2.8239923846415804]","9_lag_naoPSLjfm, 2_lag_16_median_solFORC, 9_lag_scpPSLjfm, 18_lag_scpPSLjfm, 11_lag_amo1, 2_lag_15_median_atlSICjfm, 2_lag_11_median_stratZ50ndj01, 2_lag_6_median_amo3, 4_lag_stratZ50ndj02, 2_lag_11_median_atlSICjfm_858_2"
LRforcedPSO,8,10,naoPSLjfm,slow,1522.5,2005.5,0.6,23,3,3,18.593176882082908,-0.07730776387324627,858,"['3_lag_22_median_stratZ50ndj02', '3_lag_10_median_eurPSLjfm', '3_lag_17_median_eapPSLjfm', '3_lag_9_median_atlSICjfm', '9_lag_AMOCann', '3_lag_13_median_stratZ50ndj01', '9_lag_shSICmar', '5_lag_shSICmar', '3_lag_19_median_stratZ50ndj02', '10_lag_solFORC']","[4.624158052291292, 4.227350290704197, 8.361742672313653, 4.241659866440726, 2.619704548884336, 2.1673129014003445, 3.0476761194065727, 6.327947019278383, 5.386386823328952, 0.7184279339641026]","3_lag_22_median_stratZ50ndj02, 3_lag_10_median_eurPSLjfm, 3_lag_17_median_eapPSLjfm, 3_lag_9_median_atlSICjfm, 9_lag_AMOCann, 3_lag_13_median_stratZ50ndj01, 9_lag_shSICmar, 5_lag_shSICmar, 3_lag_19_median_stratZ50ndj02, 10_lag_solFORC_858_3"
LRforcedPSO,9,10,naoPSLjfm,slow,1523.5,2005.5,0.6,24,4,4,16.870798133741637,0.1012126705242444,858,"['4_lag_21_median_shSICmar', '14_lag_scpPSLjfm', '9_lag_shSICmar', '6_lag_atlSICsep', '8_lag_amo2', '4_lag_7_median_amo3', '22_lag_atlSICjfm', '18_lag_amoSSTjfm', '22_lag_nppc2SSTjfm', '4_lag_17_median_amoSSTmjjaso']","[2.062589317846765, 2.1981080087151117, 0.407295223672282, 0.562553941355775, 0.968871929846733, 4.348180673102448, 0.09234174619798452, 3.8787757280839124, 8.105541673516825, 2.9603832648102717]","4_lag_21_median_shSICmar, 14_lag_scpPSLjfm, 9_lag_shSICmar, 6_lag_atlSICsep, 8_lag_amo2, 4_lag_7_median_amo3, 22_lag_atlSICjfm, 18_lag_amoSSTjfm, 22_lag_nppc2SSTjfm, 4_lag_17_median_amoSSTmjjaso_858_4"
