model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,naoPSLjfm,slow,1514.5,2005.5,0.8,15,1,3,14.38441550415999,-0.06754264905449898,1755,"['14_lag_atlSICsep', '6_lag_traEU', '10_lag_seurTSjfm', '3_lag_traTLS', '5_lag_traMC', '14_lag_amo1']","[0.00581017792351139, 0.1358161755916344, 0.09642743218668255, 0.17630347848905817, 0.03935643974810191, 0.01730718011184898]","14_lag_atlSICsep, 6_lag_traEU, 10_lag_seurTSjfm, 3_lag_traTLS, 5_lag_traMC, 14_lag_amo1_1755_3"
LinearRegression,1,6,naoPSLjfm,slow,1515.5,2005.5,0.8,16,1,3,14.59394818586066,-0.13904160751552444,1885,"['4_lag_alpi', '4_lag_mhfIP30', '5_lag_traMC', '6_lag_traDP', '3_lag_traTLS', '14_lag_amo1']","[0.010902185717256686, 0.12229319655165655, 0.028837004806592095, 0.026998748363732516, 0.16230508741393224, 0.011010775967778122]","4_lag_alpi, 4_lag_mhfIP30, 5_lag_traMC, 6_lag_traDP, 3_lag_traTLS, 14_lag_amo1_1885_3"
LinearRegression,2,6,naoPSLjfm,slow,1516.5,2005.5,0.8,17,1,4,14.355012197660987,0.0030452875598740974,2015,"['5_lag_traEC', '16_lag_mhfATL60', '4_lag_alpi', '16_lag_mhfATL45', '14_lag_amo1', '5_lag_traMC']","[0.07950186367050954, 0.1691252146381132, 0.03775426315644763, 0.11503516904467001, 0.005410936644398907, 0.06083016853729217]","5_lag_traEC, 16_lag_mhfATL60, 4_lag_alpi, 16_lag_mhfATL45, 14_lag_amo1, 5_lag_traMC_2015_4"
LinearRegression,3,6,naoPSLjfm,slow,1517.5,2005.5,0.8,18,1,3,14.654358781791105,-0.12341026785516562,2145,"['3_lag_traTLS', '5_lag_traMC', '5_lag_traEC', '14_lag_amo1', '16_lag_mhfATL45', '17_lag_AMOCann']","[0.19016654799775312, 0.028921138656293317, 0.08407582993824872, 0.0030507980647986378, 0.03487557616200807, 0.02397125841815485]","3_lag_traTLS, 5_lag_traMC, 5_lag_traEC, 14_lag_amo1, 16_lag_mhfATL45, 17_lag_AMOCann_2145_3"
LinearRegression,4,6,naoPSLjfm,slow,1518.5,2005.5,0.8,19,1,3,14.636943187707942,-0.09531941280632844,2275,"['15_lag_yrvPRjja', '4_lag_alpi', '5_lag_traMC', '3_lag_traTLS', '14_lag_amo1', '5_lag_traEC']","[0.10881211980981964, 0.020287120755374442, 0.027292018217854392, 0.18841821017062016, 0.005359036286823715, 0.07566204461773228]","15_lag_yrvPRjja, 4_lag_alpi, 5_lag_traMC, 3_lag_traTLS, 14_lag_amo1, 5_lag_traEC_2275_3"
LinearRegression,5,6,naoPSLjfm,slow,1519.5,2005.5,0.8,20,1,3,15.272388852429756,-0.1631223021760792,2405,"['16_lag_traEU', '11_lag_stratZ50ndj02', '4_lag_alpi', '14_lag_amo1', '3_lag_traTLS', '5_lag_traEC']","[0.12979442511827516, 0.08903086063569438, 0.018478472251938362, 0.02059569236371206, 0.19151653835806032, 0.08122833795861938]","16_lag_traEU, 11_lag_stratZ50ndj02, 4_lag_alpi, 14_lag_amo1, 3_lag_traTLS, 5_lag_traEC_2405_3"
LinearRegression,6,6,naoPSLjfm,slow,1520.5,2005.5,0.8,21,1,3,15.461771806890072,-0.08138011741507124,2535,"['11_lag_stratZ50ndj02', '11_lag_nchinaPRjja', '4_lag_alpi', '3_lag_traTLS', '20_lag_stratZ50ndj04', '5_lag_traEC']","[0.09621033965808622, 0.0862523724337958, 0.030171653951710814, 0.19490718577386357, 0.2101359821995732, 0.09098308977104452]","11_lag_stratZ50ndj02, 11_lag_nchinaPRjja, 4_lag_alpi, 3_lag_traTLS, 20_lag_stratZ50ndj04, 5_lag_traEC_2535_3"
LinearRegression,7,6,naoPSLjfm,slow,1521.5,2005.5,0.8,22,1,3,15.86855285694047,-0.07841007061360318,2665,"['11_lag_nchinaPRjja', '20_lag_atlSICjfm', '4_lag_mhfIP30', '20_lag_stratZ50ndj04', '5_lag_traEC', '3_lag_traTLS']","[0.08163442747118019, 0.08843880299726269, 0.10478262482299354, 0.19391772424763246, 0.08474098070152554, 0.1879090658966821]","11_lag_nchinaPRjja, 20_lag_atlSICjfm, 4_lag_mhfIP30, 20_lag_stratZ50ndj04, 5_lag_traEC, 3_lag_traTLS_2665_3"
LinearRegression,8,6,naoPSLjfm,slow,1522.5,2005.5,0.8,23,1,3,16.03459392157831,-0.13696598515095507,2795,"['20_lag_stratZ50ndj04', '11_lag_nchinaPRjja', '22_lag_stratZ50ndj01', '4_lag_mhfIP30', '5_lag_traEC', '3_lag_traTLS']","[0.20697163376574285, 0.07279446145703836, 0.13674384651317512, 0.08524492915953809, 0.08680008016290289, 0.1966486134670682]","20_lag_stratZ50ndj04, 11_lag_nchinaPRjja, 22_lag_stratZ50ndj01, 4_lag_mhfIP30, 5_lag_traEC, 3_lag_traTLS_2795_3"
LinearRegression,9,6,naoPSLjfm,slow,1523.5,2005.5,0.8,24,1,2,15.240738447320673,-0.14207206748595394,2925,"['2_lag_shSICsep', '5_lag_tripol3', '22_lag_stratZ50ndj01', '4_lag_mhfIP30', '3_lag_traTLS', '5_lag_traEC']","[0.10804484362076937, 0.14231616633873467, 0.14594424311235984, 0.07920658472007157, 0.19402186890789175, 0.06859076084296337]","2_lag_shSICsep, 5_lag_tripol3, 22_lag_stratZ50ndj01, 4_lag_mhfIP30, 3_lag_traTLS, 5_lag_traEC_2925_2"
LinearRegression,10,6,naoPSLjfm,slow,1524.5,2005.5,0.8,25,1,1,15.476248331711155,-0.1546019787324203,3055,"['1_lag_2_median_shSICsep', '2_lag_shSICsep', '22_lag_stratZ50ndj01', '4_lag_mhfIP30', '3_lag_traTLS', '5_lag_traEC']","[0.0527733513503169, 0.05277335135031691, 0.14389258359063056, 0.08994419218508674, 0.19639265376694495, 0.0736012632061301]","1_lag_2_median_shSICsep, 2_lag_shSICsep, 22_lag_stratZ50ndj01, 4_lag_mhfIP30, 3_lag_traTLS, 5_lag_traEC_3055_1"
LinearRegression,11,6,naoPSLjfm,slow,1525.5,2005.5,0.8,26,1,3,15.336354712741239,-0.1563809631845461,3185,"['5_lag_tripol3', '24_lag_atlSICjfm', '4_lag_mhfIP30', '3_lag_traTLS', '22_lag_stratZ50ndj01', '5_lag_traEC']","[0.1287933861644977, 0.09742284336648725, 0.07995389942125106, 0.1871455590422448, 0.16864925824252663, 0.07843295161294422]","5_lag_tripol3, 24_lag_atlSICjfm, 4_lag_mhfIP30, 3_lag_traTLS, 22_lag_stratZ50ndj01, 5_lag_traEC_3185_3"
