model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,nchinaPRjja,slow,1714.5,2005.5,0.8,15,1,1,18.480665230651187,0.024293513915412845,1755,"['1_lag_6_median_traDP', '7_lag_traWP', '1_lag_14_median_atlSICsep', '5_lag_stratZ50ndj03', '10_lag_nchinaPRjja', '4_lag_stratZ50ndj02', '6_lag_ginwSSTjfm', '12_lag_nhTSjfm', '1_lag_7_median_atlSICjfm', '1_lag_8_median_tripol3']","[3.679294548033729, 5.205326892039865, 3.398174844090182, 3.835829046033748, 2.5846768551411836, 4.481762015456599, 1.3099313731620548, 0.6797016400923734, 1.2498185842030392, 1.6891876491445057]","1_lag_6_median_traDP, 7_lag_traWP, 1_lag_14_median_atlSICsep, 5_lag_stratZ50ndj03, 10_lag_nchinaPRjja, 4_lag_stratZ50ndj02, 6_lag_ginwSSTjfm, 12_lag_nhTSjfm, 1_lag_7_median_atlSICjfm, 1_lag_8_median_tripol3_1755_1"
LRforcedPSO,1,10,nchinaPRjja,slow,1715.5,2005.5,0.8,16,1,1,22.035567479322825,-0.13535749042931927,1885,"['2_lag_atlSICjfm', '1_lag_7_median_stratZ50ndj03', '5_lag_mhfIP30', '1_lag_2_median_ginwSSTjfm', '1_lag_15_median_traCA', '8_lag_amo1', '1_lag_10_median_stratZ50ndj02', '1_lag_15_median_labSSTjfm', '8_lag_nppc2SSTjfm', '1_lag_traWP']","[1.3593980308184594, 9.923370932113084, 3.512678408369667, 1.9067252165720365, 0.1970988513228562, 4.2388089369164295, 7.965433732356995, 4.079736815866164, 1.575687894940355, 6.706002557244799]","2_lag_atlSICjfm, 1_lag_7_median_stratZ50ndj03, 5_lag_mhfIP30, 1_lag_2_median_ginwSSTjfm, 1_lag_15_median_traCA, 8_lag_amo1, 1_lag_10_median_stratZ50ndj02, 1_lag_15_median_labSSTjfm, 8_lag_nppc2SSTjfm, 1_lag_traWP_1885_1"
LRforcedPSO,2,10,nchinaPRjja,slow,1716.5,2005.5,0.8,17,1,1,26.478177131817795,0.07218047040691704,2015,"['5_lag_amoSSTmjjaso', '11_lag_ensoSSTjfm', '12_lag_amo1', '1_lag_9_median_eurPSLjfm', '13_lag_nppc2SSTjfm', '1_lag_15_median_traIT', '1_lag_12_median_traFSC', '5_lag_amo2', '9_lag_traCA', '1_lag_15_median_satlSSTjfm']","[1.9502782620938355, 1.9203923218855472, 1.288415977306613, 6.668848042096971, 0.7579544596707422, 4.191302533218706, 4.0034540371627685, 4.854465965884261, 4.367325293136128, 1.6692465119550963]","5_lag_amoSSTmjjaso, 11_lag_ensoSSTjfm, 12_lag_amo1, 1_lag_9_median_eurPSLjfm, 13_lag_nppc2SSTjfm, 1_lag_15_median_traIT, 1_lag_12_median_traFSC, 5_lag_amo2, 9_lag_traCA, 1_lag_15_median_satlSSTjfm_2015_1"
LRforcedPSO,3,10,nchinaPRjja,slow,1717.5,2005.5,0.8,18,1,1,18.614832875095,-0.0042013414209635565,2145,"['12_lag_amoSSTmjjaso', '16_lag_alpi', '1_lag_5_median_traTLS', '16_lag_stratZ50ndj03', '14_lag_tripol1', '14_lag_gyreSSTjfm', '5_lag_stratZ50ndj02', '5_lag_stratZ50ndj01', '2_lag_nhSICjfm', '1_lag_7_median_glomaSSTjfm']","[3.0884395921459724, 7.032987452635879, 0.4753334283455679, 4.4998093718589205, 8.3850897610273, 1.9708498561315153, 1.7188828925580388, 8.978375161578372, 0.8283902104560923, 1.0471302070382507]","12_lag_amoSSTmjjaso, 16_lag_alpi, 1_lag_5_median_traTLS, 16_lag_stratZ50ndj03, 14_lag_tripol1, 14_lag_gyreSSTjfm, 5_lag_stratZ50ndj02, 5_lag_stratZ50ndj01, 2_lag_nhSICjfm, 1_lag_7_median_glomaSSTjfm_2145_1"
LRforcedPSO,4,10,nchinaPRjja,slow,1718.5,2005.5,0.8,19,1,1,21.545255435667702,0.31187598366954894,2275,"['1_lag_16_median_satlSSTjfm', '1_lag_10_median_labSSTjfm', '1_lag_16_median_alpi', '1_lag_6_median_traDS', '1_lag_11_median_traBO', '15_lag_yrvPRjja', '1_lag_11_median_solFORC', '1_lag_15_median_traDP', '1_lag_6_median_tripol1', '16_lag_glTSjfm']","[0.0031958999840426827, 2.1408863257272266, 3.536156119661822, 6.576419824357462, 3.214047975780277, 1.5938498782248054, 3.2091537157054955, 8.74215203957602, 3.5907436881867127, 6.71989360877938]","1_lag_16_median_satlSSTjfm, 1_lag_10_median_labSSTjfm, 1_lag_16_median_alpi, 1_lag_6_median_traDS, 1_lag_11_median_traBO, 15_lag_yrvPRjja, 1_lag_11_median_solFORC, 1_lag_15_median_traDP, 1_lag_6_median_tripol1, 16_lag_glTSjfm_2275_1"
LRforcedPSO,5,10,nchinaPRjja,slow,1719.5,2005.5,0.8,20,1,1,16.834417534326516,0.11500164039482691,2405,"['1_lag_16_median_mhfIP30', '16_lag_tripol3', '1_lag_13_median_AMOCann', '3_lag_shTSjfm', '1_lag_6_median_traFS', '1_lag_14_median_stratZ50ndj01', '1_lag_15_median_pdoSSTjfm', '1_lag_4_median_nhTSjfm', '8_lag_nppc2SSTjfm', '17_lag_satlSSTjfm']","[1.1811104434169284, 0.2462222696826437, 4.8266846702122095, 3.1054221397238884, 2.5716323727930046, 1.840238415465521, 6.423315097427601, 1.9369507750503612, 1.3817300996368171, 0.3969944509476129]","1_lag_16_median_mhfIP30, 16_lag_tripol3, 1_lag_13_median_AMOCann, 3_lag_shTSjfm, 1_lag_6_median_traFS, 1_lag_14_median_stratZ50ndj01, 1_lag_15_median_pdoSSTjfm, 1_lag_4_median_nhTSjfm, 8_lag_nppc2SSTjfm, 17_lag_satlSSTjfm_2405_1"
LRforcedPSO,6,10,nchinaPRjja,slow,1720.5,2005.5,0.8,21,1,1,18.800976036348768,-0.04803445833876964,2535,"['1_lag_17_median_traDS', '1_lag_atlSICsep', '1_lag_9_median_amoSSTmjjaso', '1_lag_19_median_satlSSTjfm', '12_lag_amo3', '1_lag_8_median_ensoSSTjfm', '2_lag_naoPSLjfm', '17_lag_yrvPRjja', '1_lag_10_median_mhfIP30', '19_lag_solFORC']","[0.3796129637144503, 1.9686346123655696, 7.675802212699587, 6.971660591335769, 0.7651811142724689, 1.6018125718517986, 2.559974957290196, 4.156825859274647, 5.696689411454459, 0.2365750427086173]","1_lag_17_median_traDS, 1_lag_atlSICsep, 1_lag_9_median_amoSSTmjjaso, 1_lag_19_median_satlSSTjfm, 12_lag_amo3, 1_lag_8_median_ensoSSTjfm, 2_lag_naoPSLjfm, 17_lag_yrvPRjja, 1_lag_10_median_mhfIP30, 19_lag_solFORC_2535_1"
LRforcedPSO,7,10,nchinaPRjja,slow,1721.5,2005.5,0.8,22,1,1,26.412177256905927,-0.29486111315657937,2665,"['14_lag_shSICmar', '1_lag_17_median_traFSC', '1_lag_12_median_cetTSjfm', '1_lag_7_median_mhfATL60', '1_lag_7_median_nppc3SSTjfm', '20_lag_neurTSjfm', '2_lag_atlSICjfm', '7_lag_ismPRjja', '1_lag_7_median_alpi', '2_lag_ginwSSTjfm']","[3.655673093972176, 0.1294620120040424, 3.36854438207898, 0.9413078828583537, 3.968695517602616, 2.2900701785343553, 2.887580644769421, 2.495560534151844, 6.50290849447936, 3.9758358154306155]","14_lag_shSICmar, 1_lag_17_median_traFSC, 1_lag_12_median_cetTSjfm, 1_lag_7_median_mhfATL60, 1_lag_7_median_nppc3SSTjfm, 20_lag_neurTSjfm, 2_lag_atlSICjfm, 7_lag_ismPRjja, 1_lag_7_median_alpi, 2_lag_ginwSSTjfm_2665_1"
LRforcedPSO,8,10,nchinaPRjja,slow,1722.5,2005.5,0.8,23,1,1,27.907300111813555,-0.027026968502475723,2795,"['5_lag_traTLS', '1_lag_16_median_glTSjfm', '1_lag_17_median_amo1', '20_lag_traIFC', '1_lag_21_median_nppc2SSTjfm', '1_lag_11_median_alpi', '1_lag_12_median_traBO', '1_lag_21_median_glomaSSTjfm', '16_lag_mhfIP30', '1_lag_2_median_traCA']","[0.36316510873248653, 6.671138671868654, 2.8545814951345, 1.740651149291745, 4.357997909794326, 0.0884779146661927, 1.50788355935045, 6.736853957637059, 6.218756111251668, 5.198793452764239]","5_lag_traTLS, 1_lag_16_median_glTSjfm, 1_lag_17_median_amo1, 20_lag_traIFC, 1_lag_21_median_nppc2SSTjfm, 1_lag_11_median_alpi, 1_lag_12_median_traBO, 1_lag_21_median_glomaSSTjfm, 16_lag_mhfIP30, 1_lag_2_median_traCA_2795_1"
LRforcedPSO,9,10,nchinaPRjja,slow,1723.5,2005.5,0.8,24,1,1,20.72950126408319,0.1594052572988907,2925,"['1_lag_17_median_nchinaPRjja', '1_lag_10_median_neurTSjfm', '5_lag_traFB', '6_lag_traMC', '1_lag_8_median_solFORC', '5_lag_alpi', '11_lag_nchinaPRjja', '7_lag_shTSjfm', '1_lag_12_median_alpi', '1_lag_5_median_atlSICsep']","[4.151600711084054, 2.155485397929569, 1.0875710212099747, 5.549725152931895, 4.217897830584949, 1.6326654457480814, 6.654405555760103, 5.153174036952837, 0.22821236039808213, 8.690267140206826]","1_lag_17_median_nchinaPRjja, 1_lag_10_median_neurTSjfm, 5_lag_traFB, 6_lag_traMC, 1_lag_8_median_solFORC, 5_lag_alpi, 11_lag_nchinaPRjja, 7_lag_shTSjfm, 1_lag_12_median_alpi, 1_lag_5_median_atlSICsep_2925_1"
