model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,neurTSjfm,slow,866.5,2005.5,0.6,15,1,1,15.888199044934446,0.193312244858384,1755,"['1_lag_6_median_traFSC', '12_lag_satlSSTjfm', '11_lag_glomaSSTjfm', '11_lag_eurPSLjfm', '14_lag_cetTSjfm', '1_lag_10_median_shSICsep', '2_lag_labSSTjfm', '6_lag_mhfATL30', '1_lag_9_median_ormenSSTjfm', '10_lag_shSICmar']","[3.1343232935049903, 1.2166079207730327, 3.8134497717729925, 1.5197166816931702, 1.8292985770455452, 1.2318344070116716, 0.377624070704659, 2.11195674361597, 5.7292846156279005, 5.406585242698723]","1_lag_6_median_traFSC, 12_lag_satlSSTjfm, 11_lag_glomaSSTjfm, 11_lag_eurPSLjfm, 14_lag_cetTSjfm, 1_lag_10_median_shSICsep, 2_lag_labSSTjfm, 6_lag_mhfATL30, 1_lag_9_median_ormenSSTjfm, 10_lag_shSICmar_1755_1"
LRforcedPSO,1,10,neurTSjfm,slow,867.5,2005.5,0.6,16,1,1,16.098528145218136,-0.1885260042355198,1885,"['10_lag_eapPSLjfm', '1_lag_traEU', '10_lag_solFORC', '1_lag_labSSTjfm', '5_lag_eapPSLjfm', '9_lag_arcTSjfm', '1_lag_8_median_satlSSTjfm', '1_lag_10_median_eapPSLjfm', '5_lag_tripol1', '1_lag_8_median_amo3']","[0.00442248941031842, 1.0065957581310787, 0.8203683115741924, 3.7035992698666966, 2.4538041103796218, 2.655711717870373, 4.793024672457209, 0.6592110782530334, 4.743181141316342, 3.410050559542615]","10_lag_eapPSLjfm, 1_lag_traEU, 10_lag_solFORC, 1_lag_labSSTjfm, 5_lag_eapPSLjfm, 9_lag_arcTSjfm, 1_lag_8_median_satlSSTjfm, 1_lag_10_median_eapPSLjfm, 5_lag_tripol1, 1_lag_8_median_amo3_1885_1"
LRforcedPSO,2,10,neurTSjfm,slow,868.5,2005.5,0.6,17,1,1,18.29353395804151,-0.05605229784543436,2015,"['15_lag_scpPSLjfm', '8_lag_gyreSSTjfm', '1_lag_8_median_stratZ50ndj04', '9_lag_atlSICsep', '5_lag_stratZ50ndj04', '8_lag_stratZ50ndj02', '10_lag_AMOCann', '1_lag_11_median_stratZ50ndj02', '1_lag_12_median_alpi', '6_lag_eapPSLjfm']","[6.422493554445214, 8.144911441072333, 0.4069107869557502, 2.2556620284180102, 5.25914842312943, 5.779434630753098, 4.54737158704722, 2.141420683706718, 0.12933607902928124, 1.4678691966777535]","15_lag_scpPSLjfm, 8_lag_gyreSSTjfm, 1_lag_8_median_stratZ50ndj04, 9_lag_atlSICsep, 5_lag_stratZ50ndj04, 8_lag_stratZ50ndj02, 10_lag_AMOCann, 1_lag_11_median_stratZ50ndj02, 1_lag_12_median_alpi, 6_lag_eapPSLjfm_2015_1"
LRforcedPSO,3,10,neurTSjfm,slow,869.5,2005.5,0.6,18,1,1,18.539639510855654,-0.09961638671065726,2145,"['1_lag_11_median_samPSLann', '12_lag_amo3', '13_lag_traDS', '1_lag_10_median_traDP', '1_lag_7_median_glTSjfm', '1_lag_4_median_mhfATL45', '17_lag_traBS', '1_lag_6_median_shSICsep', '1_lag_12_median_eapPSLjfm', '14_lag_pdoSSTjfm']","[5.7221278177276025, 3.852112899724778, 4.270213892104323, 1.4842793962445295, 4.544689455990703, 2.9807876459271228, 1.3556654157517976, 3.165378439456723, 6.413688336627786, 4.954205447609191]","1_lag_11_median_samPSLann, 12_lag_amo3, 13_lag_traDS, 1_lag_10_median_traDP, 1_lag_7_median_glTSjfm, 1_lag_4_median_mhfATL45, 17_lag_traBS, 1_lag_6_median_shSICsep, 1_lag_12_median_eapPSLjfm, 14_lag_pdoSSTjfm_2145_1"
LRforcedPSO,4,10,neurTSjfm,slow,870.5,2005.5,0.6,19,1,1,14.644025565277348,-0.10156272190634455,2275,"['12_lag_labSSTjfm', '1_lag_3_median_ormenSSTjfm', '1_lag_18_median_traEC', '15_lag_solFORC', '1_lag_4_median_ginwSSTjfm', '17_lag_traFSC', '10_lag_traTLS', '1_lag_4_median_traDP', '1_lag_11_median_neurTSjfm', '4_lag_tripol3']","[1.3489314497559324, 1.848259872485789, 0.9785430432118485, 2.9057276974119723, 2.0390536596888182, 1.1769671480777184, 3.367701430098231, 1.8964318759325742, 1.9052995660039045, 1.4500186474495145]","12_lag_labSSTjfm, 1_lag_3_median_ormenSSTjfm, 1_lag_18_median_traEC, 15_lag_solFORC, 1_lag_4_median_ginwSSTjfm, 17_lag_traFSC, 10_lag_traTLS, 1_lag_4_median_traDP, 1_lag_11_median_neurTSjfm, 4_lag_tripol3_2275_1"
LRforcedPSO,5,10,neurTSjfm,slow,871.5,2005.5,0.6,20,1,1,16.46865900496248,-0.11467400621846899,2405,"['19_lag_shSICmar', '1_lag_9_median_traDP', '11_lag_glTSjfm', '1_lag_6_median_nchinaPRjja', '2_lag_traEC', '11_lag_nchinaPRjja', '1_lag_2_median_mhfIP30', '1_lag_7_median_shTSjfm', '1_lag_traMC', '9_lag_solFORC']","[1.6225405788288665, 3.4464235827402785, 4.798930882862111, 1.832684630787302, 6.45046240519105, 3.733930349281187, 5.781199003767245, 2.401084861809135, 2.855307180617377, 0.1714689297207901]","19_lag_shSICmar, 1_lag_9_median_traDP, 11_lag_glTSjfm, 1_lag_6_median_nchinaPRjja, 2_lag_traEC, 11_lag_nchinaPRjja, 1_lag_2_median_mhfIP30, 1_lag_7_median_shTSjfm, 1_lag_traMC, 9_lag_solFORC_2405_1"
LRforcedPSO,6,10,neurTSjfm,slow,872.5,2005.5,0.6,21,1,1,16.676620489422586,-0.041739103891580163,2535,"['17_lag_mhfIP30', '7_lag_nchinaPRjja', '1_lag_13_median_shTSjfm', '11_lag_samPSLann', '1_lag_9_median_traCA', '6_lag_gyreSSTjfm', '1_lag_17_median_alpi', '7_lag_stratZ50ndj03', '1_lag_20_median_samPSLann', '1_lag_4_median_glTSjfm']","[3.3572025151792673, 3.002304713947442, 6.931980682302356, 5.302154228954816, 3.3052180140270124, 2.0915909104286428, 6.916290860914296, 0.8871507928110152, 4.696279633849912, 6.478393525021239]","17_lag_mhfIP30, 7_lag_nchinaPRjja, 1_lag_13_median_shTSjfm, 11_lag_samPSLann, 1_lag_9_median_traCA, 6_lag_gyreSSTjfm, 1_lag_17_median_alpi, 7_lag_stratZ50ndj03, 1_lag_20_median_samPSLann, 1_lag_4_median_glTSjfm_2535_1"
LRforcedPSO,7,10,neurTSjfm,slow,873.5,2005.5,0.6,22,2,2,15.71449102542344,0.11241925359947168,2535,"['2_lag_13_median_arcTSjfm', '2_lag_6_median_tripol2', '2_lag_4_median_seurTSjfm', '2_lag_17_median_yrvPRjja', '12_lag_yrvPRjja', '2_lag_11_median_atlSICjfm', '12_lag_naoPSLjfm', '2_lag_7_median_ensoSSTjfm', '2_lag_14_median_amoSSTmjjaso', '7_lag_tripol3']","[6.785611251419702, 2.1222797412321643, 3.2649617254330128, 3.163293896847623, 5.383963297615974, 0.4992217184828327, 0.2858902882845378, 1.649955158098642, 3.96779491563713, 1.202265159845302]","2_lag_13_median_arcTSjfm, 2_lag_6_median_tripol2, 2_lag_4_median_seurTSjfm, 2_lag_17_median_yrvPRjja, 12_lag_yrvPRjja, 2_lag_11_median_atlSICjfm, 12_lag_naoPSLjfm, 2_lag_7_median_ensoSSTjfm, 2_lag_14_median_amoSSTmjjaso, 7_lag_tripol3_2535_2"
LRforcedPSO,8,10,neurTSjfm,slow,874.5,2005.5,0.6,23,3,3,16.084794015379845,0.04258434684759629,2535,"['3_lag_15_median_traBS', '6_lag_traCA', '3_lag_6_median_traBS', '7_lag_ginwSSTjfm', '3_lag_7_median_shTSjfm', '3_lag_8_median_nppc3SSTjfm', '21_lag_mhfATL60', '19_lag_atlSICsep', '3_lag_14_median_wnorPRjfm', '13_lag_traIFC']","[2.185612397058115, 1.6382708251794664, 2.798326689345849, 2.414753217471157, 4.330370407480837, 4.0653636342653865, 0.4234329578741409, 6.914825014916868, 3.8303796411260738, 1.3874942972747402]","3_lag_15_median_traBS, 6_lag_traCA, 3_lag_6_median_traBS, 7_lag_ginwSSTjfm, 3_lag_7_median_shTSjfm, 3_lag_8_median_nppc3SSTjfm, 21_lag_mhfATL60, 19_lag_atlSICsep, 3_lag_14_median_wnorPRjfm, 13_lag_traIFC_2535_3"
LRforcedPSO,9,10,neurTSjfm,slow,875.5,2005.5,0.6,24,4,4,13.886998693875535,0.15709842983128264,2535,"['21_lag_shSICmar', '4_lag_16_median_traBO', '6_lag_traBS', '17_lag_neurTSjfm', '21_lag_solFORC', '4_lag_17_median_stratZ50ndj03', '5_lag_eurPSLjfm', '21_lag_ismPRjja', '4_lag_23_median_amo2', '18_lag_scpPSLjfm']","[0.4653105228252752, 1.3978145800584603, 3.4114300074213944, 0.8637652523522537, 4.430064202013111, 1.8075555976145203, 3.451811533814544, 1.7413904245899516, 1.3635551896629128, 4.023145474748762]","21_lag_shSICmar, 4_lag_16_median_traBO, 6_lag_traBS, 17_lag_neurTSjfm, 21_lag_solFORC, 4_lag_17_median_stratZ50ndj03, 5_lag_eurPSLjfm, 21_lag_ismPRjja, 4_lag_23_median_amo2, 18_lag_scpPSLjfm_2535_4"
