model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,nhSICjfm,slow,866.5,2005.5,0.6,15,5,5,23.574205976808837,-0.006060961710966001,418,"['8_lag_stratZ50ndj03', '5_lag_amo2', '5_lag_6_median_stratZ50ndj02', '5_lag_10_median_shSICmar', '12_lag_stratZ50ndj03', '8_lag_amo2', '14_lag_naoPSLjfm', '5_lag_14_median_eurPSLjfm', '5_lag_6_median_amoSSTmjjaso', '5_lag_13_median_shSICsep', '11_lag_atlSICsep', '5_lag_amoSSTjfm', '14_lag_stratZ50ndj02', '5_lag_13_median_amoSSTjfm', '9_lag_AMOCann', '8_lag_amoSSTjfm', '5_lag_9_median_atlSICsep', '5_lag_8_median_amoSSTjfm', '13_lag_shSICsep', '5_lag_10_median_stratZ50ndj03', '11_lag_AMOCann', '7_lag_amo2', '13_lag_solFORC', '5_lag_8_median_eapPSLjfm', '5_lag_12_median_nhSICsep', '5_lag_10_median_amoSSTjfm', '5_lag_8_median_amoSSTmjjaso', '14_lag_amoSSTjfm', '11_lag_shSICmar', '10_lag_stratZ50ndj01']","[1.505503307265153, 9.78820744358519, 0.37735033462163514, 8.616769034493451, 3.116370147384359, 1.1158417981410587, 4.447896982022868, 1.9576395928021189, 9.59303085737872, 3.4151167062284173, 6.810821109414496, 3.619532113492352, 4.597903335540421, 0.5614828088604931, 3.136614381888723, 5.622875264110032, 2.5022663908496963, 0.5859395414207711, 2.3262747952859275, 1.6907351790213099, 8.26398525640303, 6.580073144882782, 7.912277374013932, 4.1011068755394025, 2.3276724776437785, 1.8268246012630271, 6.185320754650856, 1.3242414011088055, 0.5953367588287435, 4.392636950700208]","8_lag_stratZ50ndj03, 5_lag_amo2, 5_lag_6_median_stratZ50ndj02, 5_lag_10_median_shSICmar, 12_lag_stratZ50ndj03, 8_lag_amo2, 14_lag_naoPSLjfm, 5_lag_14_median_eurPSLjfm, 5_lag_6_median_amoSSTmjjaso, 5_lag_13_median_shSICsep, 11_lag_atlSICsep, 5_lag_amoSSTjfm, 14_lag_stratZ50ndj02, 5_lag_13_median_amoSSTjfm, 9_lag_AMOCann, 8_lag_amoSSTjfm, 5_lag_9_median_atlSICsep, 5_lag_8_median_amoSSTjfm, 13_lag_shSICsep, 5_lag_10_median_stratZ50ndj03, 11_lag_AMOCann, 7_lag_amo2, 13_lag_solFORC, 5_lag_8_median_eapPSLjfm, 5_lag_12_median_nhSICsep, 5_lag_10_median_amoSSTjfm, 5_lag_8_median_amoSSTmjjaso, 14_lag_amoSSTjfm, 11_lag_shSICmar, 10_lag_stratZ50ndj01_418_5"
LRforcedPSO,1,30,nhSICjfm,slow,867.5,2005.5,0.6,16,6,6,22.7790082812918,-0.04339363545101259,418,"['6_lag_14_median_amo1', '10_lag_nhSICjfm', '6_lag_11_median_stratZ50ndj01', '6_lag_9_median_nhSICjfm', '6_lag_15_median_atlSICjfm', '15_lag_nppc2SSTjfm', '13_lag_stratZ50ndj01', '6_lag_8_median_AMOCann', '6_lag_7_median_solFORC', '6_lag_11_median_stratZ50ndj02', '13_lag_amo1', '11_lag_nhSICsep', '10_lag_amo2', '6_lag_11_median_eurPSLjfm', '9_lag_nppc2SSTjfm', '6_lag_13_median_shSICsep', '6_lag_13_median_amoSSTjfm', '7_lag_amoSSTmjjaso', '6_lag_atlSICsep', '6_lag_14_median_atlSICsep', '7_lag_naoPSLjfm', '14_lag_amoSSTmjjaso', '6_lag_12_median_nhSICsep', '6_lag_13_median_scpPSLjfm', '10_lag_stratZ50ndj01', '6_lag_14_median_eurPSLjfm', '11_lag_shSICsep', '8_lag_naoPSLjfm', '6_lag_amo1', '12_lag_scpPSLjfm']","[0.5538595534396773, 7.147022513196923, 4.83826048298652, 7.18237751142323, 1.1416468729878595, 1.6704866802853822, 4.0092655968137425, 1.857174538623978, 8.119692642709236, 1.3837749306710343, 2.7748016301294793, 5.155480561752277, 7.956322575428594, 6.730312103499973, 7.265946084780534, 1.6116901225778015, 4.322052778294534, 0.2992556386319194, 0.9287505300071697, 5.0613232321232875, 1.2171781087367268, 0.6936048324540565, 5.183196457347066, 0.6816075594080715, 1.6904558114866948, 3.885762092598437, 8.661843165282466, 4.454640186913787, 1.942433598035059, 1.1601085521632033]","6_lag_14_median_amo1, 10_lag_nhSICjfm, 6_lag_11_median_stratZ50ndj01, 6_lag_9_median_nhSICjfm, 6_lag_15_median_atlSICjfm, 15_lag_nppc2SSTjfm, 13_lag_stratZ50ndj01, 6_lag_8_median_AMOCann, 6_lag_7_median_solFORC, 6_lag_11_median_stratZ50ndj02, 13_lag_amo1, 11_lag_nhSICsep, 10_lag_amo2, 6_lag_11_median_eurPSLjfm, 9_lag_nppc2SSTjfm, 6_lag_13_median_shSICsep, 6_lag_13_median_amoSSTjfm, 7_lag_amoSSTmjjaso, 6_lag_atlSICsep, 6_lag_14_median_atlSICsep, 7_lag_naoPSLjfm, 14_lag_amoSSTmjjaso, 6_lag_12_median_nhSICsep, 6_lag_13_median_scpPSLjfm, 10_lag_stratZ50ndj01, 6_lag_14_median_eurPSLjfm, 11_lag_shSICsep, 8_lag_naoPSLjfm, 6_lag_amo1, 12_lag_scpPSLjfm_418_6"
LRforcedPSO,2,30,nhSICjfm,slow,868.5,2005.5,0.6,17,7,7,28.72325450672204,-0.34281374004379933,418,"['7_lag_8_median_AMOCann', '8_lag_amo2', '7_lag_16_median_stratZ50ndj02', '11_lag_nhSICsep', '10_lag_nhSICjfm', '14_lag_stratZ50ndj01', '13_lag_nppc2SSTjfm', '14_lag_amoSSTjfm', '15_lag_solFORC', '7_lag_12_median_AMOCann', '15_lag_amo1', '11_lag_stratZ50ndj01', '13_lag_shSICmar', '7_lag_8_median_amoSSTmjjaso', '7_lag_11_median_stratZ50ndj04', '7_lag_13_median_nppc2SSTjfm', '14_lag_shSICmar', '7_lag_16_median_amo3', '7_lag_11_median_amoSSTjfm', '15_lag_AMOCann', '7_lag_16_median_eapPSLjfm', '9_lag_shSICsep', '9_lag_nhSICsep', '9_lag_atlSICjfm', '7_lag_16_median_amo2', '7_lag_eapPSLjfm', '7_lag_solFORC', '8_lag_scpPSLjfm', '14_lag_eurPSLjfm', '11_lag_nhSICjfm']","[6.997567026209484, 3.2994701752304962, 0.2650623156010745, 1.394331683021381, 5.074415117862166, 7.214840688449189, 4.065021496510237, 2.841249240536941, 8.274084383004944, 7.41237878659182, 4.447999640281466, 5.956001229211743, 8.806643487901564, 1.375209538065242, 9.582842926605458, 6.22236876560757, 3.412825538709452, 7.324107044996211, 5.142122967436876, 1.6327351627445381, 1.0455672253699628, 3.436569464499211, 2.0903443417347063, 0.18482166780301768, 0.10947454469069307, 1.3438016741843768, 9.031036821600972, 2.1744797466340966, 2.2394629373250634, 5.047764904655807]","7_lag_8_median_AMOCann, 8_lag_amo2, 7_lag_16_median_stratZ50ndj02, 11_lag_nhSICsep, 10_lag_nhSICjfm, 14_lag_stratZ50ndj01, 13_lag_nppc2SSTjfm, 14_lag_amoSSTjfm, 15_lag_solFORC, 7_lag_12_median_AMOCann, 15_lag_amo1, 11_lag_stratZ50ndj01, 13_lag_shSICmar, 7_lag_8_median_amoSSTmjjaso, 7_lag_11_median_stratZ50ndj04, 7_lag_13_median_nppc2SSTjfm, 14_lag_shSICmar, 7_lag_16_median_amo3, 7_lag_11_median_amoSSTjfm, 15_lag_AMOCann, 7_lag_16_median_eapPSLjfm, 9_lag_shSICsep, 9_lag_nhSICsep, 9_lag_atlSICjfm, 7_lag_16_median_amo2, 7_lag_eapPSLjfm, 7_lag_solFORC, 8_lag_scpPSLjfm, 14_lag_eurPSLjfm, 11_lag_nhSICjfm_418_7"
LRforcedPSO,3,30,nhSICjfm,slow,869.5,2005.5,0.6,18,8,8,24.338541229130335,0.4068729922825695,418,"['8_lag_16_median_nppc2SSTjfm', '8_lag_16_median_amo3', '17_lag_shSICsep', '8_lag_17_median_stratZ50ndj01', '10_lag_stratZ50ndj04', '8_lag_11_median_stratZ50ndj03', '10_lag_atlSICsep', '8_lag_stratZ50ndj01', '11_lag_amo3', '8_lag_16_median_shSICmar', '11_lag_nhSICjfm', '8_lag_13_median_amoSSTmjjaso', '8_lag_14_median_solFORC', '14_lag_stratZ50ndj03', '16_lag_atlSICjfm', '8_lag_amoSSTjfm', '8_lag_15_median_stratZ50ndj04', '8_lag_13_median_eurPSLjfm', '16_lag_AMOCann', '13_lag_stratZ50ndj04', '14_lag_nhSICjfm', '8_lag_16_median_amo1', '14_lag_solFORC', '15_lag_naoPSLjfm', '14_lag_amo1', '8_lag_11_median_shSICmar', '16_lag_stratZ50ndj04', '14_lag_shSICmar', '8_lag_11_median_shSICsep', '17_lag_eapPSLjfm']","[4.616253719886176, 1.8056097550690673, 2.2559134159781618, 3.4880576733815882, 2.783772198873981, 7.60125957897986, 3.0663870002550464, 0.5092173463559035, 5.825585371272782, 2.6121927863864656, 0.6905164023618209, 2.8276904943976344, 0.7885336679216728, 3.942763605069162, 2.0742551416406236, 3.0445963637421087, 6.1836138027569305, 0.7776179759450841, 1.7518078443699245, 6.322278949540672, 8.95281627806601, 4.069254896835819, 3.1371119299946333, 1.3852104792868243, 0.5284020525827771, 2.317041479883832, 9.282703400806763, 3.9565498419454244, 2.795170919671257, 1.125079060810073]","8_lag_16_median_nppc2SSTjfm, 8_lag_16_median_amo3, 17_lag_shSICsep, 8_lag_17_median_stratZ50ndj01, 10_lag_stratZ50ndj04, 8_lag_11_median_stratZ50ndj03, 10_lag_atlSICsep, 8_lag_stratZ50ndj01, 11_lag_amo3, 8_lag_16_median_shSICmar, 11_lag_nhSICjfm, 8_lag_13_median_amoSSTmjjaso, 8_lag_14_median_solFORC, 14_lag_stratZ50ndj03, 16_lag_atlSICjfm, 8_lag_amoSSTjfm, 8_lag_15_median_stratZ50ndj04, 8_lag_13_median_eurPSLjfm, 16_lag_AMOCann, 13_lag_stratZ50ndj04, 14_lag_nhSICjfm, 8_lag_16_median_amo1, 14_lag_solFORC, 15_lag_naoPSLjfm, 14_lag_amo1, 8_lag_11_median_shSICmar, 16_lag_stratZ50ndj04, 14_lag_shSICmar, 8_lag_11_median_shSICsep, 17_lag_eapPSLjfm_418_8"
LRforcedPSO,4,30,nhSICjfm,slow,870.5,2005.5,0.6,19,9,9,22.90683439336608,-0.131634812833728,418,"['15_lag_atlSICsep', '15_lag_AMOCann', '9_lag_12_median_stratZ50ndj03', '9_lag_12_median_amoSSTjfm', '15_lag_shSICmar', '9_lag_18_median_nppc2SSTjfm', '18_lag_amo1', '9_lag_18_median_AMOCann', '9_lag_13_median_stratZ50ndj01', '9_lag_15_median_scpPSLjfm', '9_lag_17_median_amoSSTjfm', '12_lag_scpPSLjfm', '9_lag_17_median_stratZ50ndj01', '9_lag_16_median_eapPSLjfm', '18_lag_scpPSLjfm', '17_lag_nhSICsep', '9_lag_12_median_AMOCann', '13_lag_shSICsep', '9_lag_14_median_amo3', '9_lag_15_median_nppc2SSTjfm', '12_lag_stratZ50ndj01', '12_lag_stratZ50ndj02', '9_lag_18_median_nhSICjfm', '10_lag_AMOCann', '9_lag_12_median_naoPSLjfm', '11_lag_eurPSLjfm', '13_lag_stratZ50ndj01', '18_lag_nhSICjfm', '9_lag_14_median_eapPSLjfm', '17_lag_scpPSLjfm']","[6.877055068176965, 4.1421704954736205, 7.888588806220174, 4.687602606371781, 0.4989264432292657, 2.0457559998378585, 6.927648485314638, 3.914393424292493, 2.6045733008376857, 0.08387368115875482, 1.4794616128745108, 0.2193109541966649, 9.22036005952054, 0.30670342713213294, 4.919738912627636, 6.014200295600665, 9.668364196970398, 0.3957868101997253, 4.939607422338222, 4.47284657558434, 1.464257274203721, 7.4106095741496265, 5.235344484325646, 5.404636074366511, 2.927657558217531, 0.020745165648698105, 3.8911628780349394, 1.5861222327714763, 0.803913435648445, 0.22110415679443562]","15_lag_atlSICsep, 15_lag_AMOCann, 9_lag_12_median_stratZ50ndj03, 9_lag_12_median_amoSSTjfm, 15_lag_shSICmar, 9_lag_18_median_nppc2SSTjfm, 18_lag_amo1, 9_lag_18_median_AMOCann, 9_lag_13_median_stratZ50ndj01, 9_lag_15_median_scpPSLjfm, 9_lag_17_median_amoSSTjfm, 12_lag_scpPSLjfm, 9_lag_17_median_stratZ50ndj01, 9_lag_16_median_eapPSLjfm, 18_lag_scpPSLjfm, 17_lag_nhSICsep, 9_lag_12_median_AMOCann, 13_lag_shSICsep, 9_lag_14_median_amo3, 9_lag_15_median_nppc2SSTjfm, 12_lag_stratZ50ndj01, 12_lag_stratZ50ndj02, 9_lag_18_median_nhSICjfm, 10_lag_AMOCann, 9_lag_12_median_naoPSLjfm, 11_lag_eurPSLjfm, 13_lag_stratZ50ndj01, 18_lag_nhSICjfm, 9_lag_14_median_eapPSLjfm, 17_lag_scpPSLjfm_418_9"
LRforcedPSO,5,30,nhSICjfm,slow,871.5,2005.5,0.6,20,10,10,22.98332135566428,0.12448187347891483,418,"['10_lag_15_median_eurPSLjfm', '10_lag_16_median_shSICmar', '10_lag_16_median_amoSSTjfm', '10_lag_16_median_eurPSLjfm', '15_lag_stratZ50ndj01', '10_lag_14_median_naoPSLjfm', '11_lag_eapPSLjfm', '13_lag_amo1', '12_lag_amo1', '10_lag_15_median_atlSICsep', '13_lag_AMOCann', '16_lag_shSICsep', '12_lag_amo3', '13_lag_nhSICsep', '16_lag_atlSICsep', '10_lag_15_median_amoSSTmjjaso', '10_lag_19_median_stratZ50ndj01', '10_lag_12_median_shSICsep', '16_lag_amoSSTmjjaso', '19_lag_stratZ50ndj02', '13_lag_amo2', '10_lag_13_median_stratZ50ndj04', '15_lag_amoSSTmjjaso', '10_lag_16_median_scpPSLjfm', '15_lag_nppc2SSTjfm', '10_lag_14_median_amoSSTmjjaso', '10_lag_15_median_naoPSLjfm', '10_lag_11_median_amo1', '10_lag_12_median_stratZ50ndj04', '13_lag_stratZ50ndj01']","[2.7213527857165136, 4.313181920270357, 9.203572644394491, 4.811667329567888, 8.170973417575855, 8.300330245283789, 4.3718346841823, 0.7481857464060546, 0.0848649872557985, 1.1071506182984, 6.477738284595134, 1.5778103152737195, 1.664799515421251, 8.388617552460936, 1.0086994199021309, 2.3143199806603, 6.178436979739153, 1.2028467374862988, 1.199366536791974, 4.501633663937456, 5.499816328629194, 3.4591557636568275, 6.732644881768557, 2.9030241524412226, 7.395269945154702, 0.9044280142209953, 7.614682738887353, 4.483798953382698, 3.2194183665100162, 8.43759546367344]","10_lag_15_median_eurPSLjfm, 10_lag_16_median_shSICmar, 10_lag_16_median_amoSSTjfm, 10_lag_16_median_eurPSLjfm, 15_lag_stratZ50ndj01, 10_lag_14_median_naoPSLjfm, 11_lag_eapPSLjfm, 13_lag_amo1, 12_lag_amo1, 10_lag_15_median_atlSICsep, 13_lag_AMOCann, 16_lag_shSICsep, 12_lag_amo3, 13_lag_nhSICsep, 16_lag_atlSICsep, 10_lag_15_median_amoSSTmjjaso, 10_lag_19_median_stratZ50ndj01, 10_lag_12_median_shSICsep, 16_lag_amoSSTmjjaso, 19_lag_stratZ50ndj02, 13_lag_amo2, 10_lag_13_median_stratZ50ndj04, 15_lag_amoSSTmjjaso, 10_lag_16_median_scpPSLjfm, 15_lag_nppc2SSTjfm, 10_lag_14_median_amoSSTmjjaso, 10_lag_15_median_naoPSLjfm, 10_lag_11_median_amo1, 10_lag_12_median_stratZ50ndj04, 13_lag_stratZ50ndj01_418_10"
LRforcedPSO,6,30,nhSICjfm,slow,872.5,2005.5,0.6,21,11,11,22.931581510459598,0.5166068733918118,418,"['11_lag_17_median_nhSICsep', '17_lag_atlSICjfm', '11_lag_19_median_eapPSLjfm', '14_lag_eurPSLjfm', '15_lag_atlSICsep', '11_lag_18_median_atlSICjfm', '11_lag_12_median_AMOCann', '11_lag_12_median_amo3', '11_lag_12_median_atlSICjfm', '11_lag_14_median_eurPSLjfm', '13_lag_amoSSTmjjaso', '16_lag_stratZ50ndj02', '11_lag_19_median_nhSICjfm', '11_lag_stratZ50ndj01', '14_lag_amo2', '20_lag_stratZ50ndj02', '11_lag_16_median_shSICmar', '19_lag_eurPSLjfm', '11_lag_19_median_scpPSLjfm', '13_lag_eurPSLjfm', '13_lag_atlSICjfm', '11_lag_16_median_nppc2SSTjfm', '11_lag_15_median_eurPSLjfm', '11_lag_13_median_atlSICjfm', '11_lag_nhSICsep', '12_lag_AMOCann', '12_lag_solFORC', '11_lag_19_median_amo1', '11_lag_16_median_eurPSLjfm', '17_lag_atlSICsep']","[7.073019338381211, 4.513690377279849, 1.3348623457902882, 1.0933672049779553, 2.592374141561889, 7.589368043721144, 6.095113442602621, 0.31241310027879976, 1.5424481386819178, 6.695332046001901, 4.210196720216064, 3.3352800970206875, 4.3300251589813925, 2.6856542166996817, 7.025823857849405, 5.246367837094821, 3.0713036029119856, 0.8735801301277402, 6.667260842964278, 4.54890642202276, 9.439459462473598, 6.0065478033254, 2.293332607876282, 4.832190146574558, 9.930630984992995, 0.08313099569175364, 2.9285699139014287, 1.4823098879930399, 4.855808565454629, 1.8614817785163336]","11_lag_17_median_nhSICsep, 17_lag_atlSICjfm, 11_lag_19_median_eapPSLjfm, 14_lag_eurPSLjfm, 15_lag_atlSICsep, 11_lag_18_median_atlSICjfm, 11_lag_12_median_AMOCann, 11_lag_12_median_amo3, 11_lag_12_median_atlSICjfm, 11_lag_14_median_eurPSLjfm, 13_lag_amoSSTmjjaso, 16_lag_stratZ50ndj02, 11_lag_19_median_nhSICjfm, 11_lag_stratZ50ndj01, 14_lag_amo2, 20_lag_stratZ50ndj02, 11_lag_16_median_shSICmar, 19_lag_eurPSLjfm, 11_lag_19_median_scpPSLjfm, 13_lag_eurPSLjfm, 13_lag_atlSICjfm, 11_lag_16_median_nppc2SSTjfm, 11_lag_15_median_eurPSLjfm, 11_lag_13_median_atlSICjfm, 11_lag_nhSICsep, 12_lag_AMOCann, 12_lag_solFORC, 11_lag_19_median_amo1, 11_lag_16_median_eurPSLjfm, 17_lag_atlSICsep_418_11"
LRforcedPSO,7,30,nhSICjfm,slow,873.5,2005.5,0.6,22,12,12,20.752908624650253,0.05392019730856691,418,"['17_lag_atlSICsep', '21_lag_amoSSTmjjaso', '12_lag_17_median_stratZ50ndj02', '12_lag_16_median_solFORC', '18_lag_nhSICjfm', '12_lag_21_median_stratZ50ndj04', '12_lag_13_median_stratZ50ndj02', '19_lag_nhSICjfm', '12_lag_14_median_solFORC', '12_lag_18_median_naoPSLjfm', '12_lag_13_median_nppc2SSTjfm', '12_lag_19_median_nhSICjfm', '12_lag_eapPSLjfm', '17_lag_stratZ50ndj04', '12_lag_18_median_stratZ50ndj01', '18_lag_shSICsep', '18_lag_amoSSTmjjaso', '21_lag_atlSICjfm', '16_lag_amo1', '16_lag_nhSICjfm', '15_lag_stratZ50ndj02', '16_lag_stratZ50ndj03', '18_lag_nhSICsep', '12_lag_AMOCann', '18_lag_AMOCann', '17_lag_AMOCann', '12_lag_14_median_stratZ50ndj02', '12_lag_20_median_stratZ50ndj03', '12_lag_14_median_naoPSLjfm', '12_lag_14_median_shSICmar']","[2.288570993818599, 4.1675088067927035, 5.405528450145624, 4.0305453742358495, 6.802047440592332, 6.806478783860793, 0.06369709191695705, 1.9288789508225932, 4.377367543651298, 2.1207946193679046, 1.4953457879048848, 0.6378698552130757, 1.8811034304838579, 2.965714298617641, 2.4087822988445247, 3.9820402547680933, 1.764511727990559, 8.52002724452663, 0.3617818289510737, 2.522722588546138, 7.403248564800043, 4.510701721785528, 0.4812669944782417, 3.4596595332562323, 1.251323987873615, 7.666673624285188, 1.660198419540741, 2.3200737431146585, 2.1304583572910474, 5.719390183952935]","17_lag_atlSICsep, 21_lag_amoSSTmjjaso, 12_lag_17_median_stratZ50ndj02, 12_lag_16_median_solFORC, 18_lag_nhSICjfm, 12_lag_21_median_stratZ50ndj04, 12_lag_13_median_stratZ50ndj02, 19_lag_nhSICjfm, 12_lag_14_median_solFORC, 12_lag_18_median_naoPSLjfm, 12_lag_13_median_nppc2SSTjfm, 12_lag_19_median_nhSICjfm, 12_lag_eapPSLjfm, 17_lag_stratZ50ndj04, 12_lag_18_median_stratZ50ndj01, 18_lag_shSICsep, 18_lag_amoSSTmjjaso, 21_lag_atlSICjfm, 16_lag_amo1, 16_lag_nhSICjfm, 15_lag_stratZ50ndj02, 16_lag_stratZ50ndj03, 18_lag_nhSICsep, 12_lag_AMOCann, 18_lag_AMOCann, 17_lag_AMOCann, 12_lag_14_median_stratZ50ndj02, 12_lag_20_median_stratZ50ndj03, 12_lag_14_median_naoPSLjfm, 12_lag_14_median_shSICmar_418_12"
LRforcedPSO,8,30,nhSICjfm,slow,874.5,2005.5,0.6,23,13,13,21.63862609560541,0.003254976576253829,418,"['20_lag_amo3', '13_lag_17_median_nhSICjfm', '15_lag_nhSICsep', '14_lag_stratZ50ndj02', '20_lag_AMOCann', '19_lag_stratZ50ndj04', '13_lag_14_median_eapPSLjfm', '22_lag_nppc2SSTjfm', '15_lag_stratZ50ndj04', '15_lag_amo1', '13_lag_20_median_shSICsep', '13_lag_15_median_amoSSTmjjaso', '14_lag_AMOCann', '14_lag_atlSICjfm', '17_lag_amo1', '14_lag_shSICsep', '13_lag_15_median_nppc2SSTjfm', '13_lag_19_median_stratZ50ndj02', '15_lag_stratZ50ndj02', '13_lag_22_median_amo1', '16_lag_amoSSTmjjaso', '13_lag_15_median_stratZ50ndj04', '14_lag_amo3', '13_lag_20_median_naoPSLjfm', '22_lag_shSICmar', '13_lag_21_median_stratZ50ndj02', '13_lag_amo2', '16_lag_shSICsep', '13_lag_15_median_amo1', '13_lag_20_median_eapPSLjfm']","[9.290889426205915, 0.49503771375913175, 0.36530034394193045, 2.0671498529503403, 1.7645261094694753, 0.7272840517369339, 6.786263933133823, 0.14333911113217646, 5.510045121624499, 1.3871775584197277, 4.815665489914358, 3.514391627746285, 5.113100036011025, 7.328438911928501, 9.029871428182354, 1.4999387635398485, 0.09867988629524937, 2.592588063108632, 1.4448080495714315, 1.2261386201190856, 2.3880314029142147, 5.085122965667603, 0.8066006523088447, 1.94534228164005, 0.061432892086561, 9.090840755808632, 7.845862319404759, 3.572313913492284, 2.9306771145108144, 5.093635200257044]","20_lag_amo3, 13_lag_17_median_nhSICjfm, 15_lag_nhSICsep, 14_lag_stratZ50ndj02, 20_lag_AMOCann, 19_lag_stratZ50ndj04, 13_lag_14_median_eapPSLjfm, 22_lag_nppc2SSTjfm, 15_lag_stratZ50ndj04, 15_lag_amo1, 13_lag_20_median_shSICsep, 13_lag_15_median_amoSSTmjjaso, 14_lag_AMOCann, 14_lag_atlSICjfm, 17_lag_amo1, 14_lag_shSICsep, 13_lag_15_median_nppc2SSTjfm, 13_lag_19_median_stratZ50ndj02, 15_lag_stratZ50ndj02, 13_lag_22_median_amo1, 16_lag_amoSSTmjjaso, 13_lag_15_median_stratZ50ndj04, 14_lag_amo3, 13_lag_20_median_naoPSLjfm, 22_lag_shSICmar, 13_lag_21_median_stratZ50ndj02, 13_lag_amo2, 16_lag_shSICsep, 13_lag_15_median_amo1, 13_lag_20_median_eapPSLjfm_418_13"
LRforcedPSO,9,30,nhSICjfm,slow,875.5,2005.5,0.6,24,14,14,21.68712334022255,0.1868709036265005,418,"['14_lag_23_median_atlSICjfm', '14_lag_16_median_stratZ50ndj04', '20_lag_nppc2SSTjfm', '14_lag_18_median_naoPSLjfm', '19_lag_atlSICsep', '16_lag_nhSICsep', '18_lag_stratZ50ndj01', '14_lag_22_median_shSICsep', '14_lag_21_median_naoPSLjfm', '14_lag_23_median_nppc2SSTjfm', '14_lag_16_median_nhSICsep', '19_lag_nhSICsep', '20_lag_scpPSLjfm', '17_lag_amo1', '18_lag_stratZ50ndj03', '14_lag_22_median_solFORC', '18_lag_amo3', '14_lag_15_median_amo1', '19_lag_shSICmar', '14_lag_17_median_stratZ50ndj02', '14_lag_18_median_AMOCann', '14_lag_19_median_eapPSLjfm', '16_lag_eurPSLjfm', '14_lag_21_median_stratZ50ndj01', '18_lag_nhSICjfm', '21_lag_naoPSLjfm', '21_lag_shSICsep', '21_lag_atlSICsep', '14_lag_17_median_amo1', '14_lag_16_median_atlSICjfm']","[1.3843330680345254, 1.720985796225838, 2.9904420415204935, 0.2745950187653712, 1.1797716737962265, 6.452080816768899, 5.4467123930704915, 0.8934871511288289, 2.449103519333031, 3.4873407327040766, 6.935103986427613, 5.055178017193733, 2.692317300596452, 9.699784112643123, 0.24432032622806865, 8.678586364443282, 1.8610096188582652, 8.855343363357587, 0.7474458818705649, 2.5373959664178036, 5.596258654909763, 2.0353710008749566, 0.4683294604770598, 6.913257907824333, 5.646466409912382, 6.23752699773495, 1.5718324333431504, 2.4530619629936528, 1.0863444615522493, 3.305102622911722]","14_lag_23_median_atlSICjfm, 14_lag_16_median_stratZ50ndj04, 20_lag_nppc2SSTjfm, 14_lag_18_median_naoPSLjfm, 19_lag_atlSICsep, 16_lag_nhSICsep, 18_lag_stratZ50ndj01, 14_lag_22_median_shSICsep, 14_lag_21_median_naoPSLjfm, 14_lag_23_median_nppc2SSTjfm, 14_lag_16_median_nhSICsep, 19_lag_nhSICsep, 20_lag_scpPSLjfm, 17_lag_amo1, 18_lag_stratZ50ndj03, 14_lag_22_median_solFORC, 18_lag_amo3, 14_lag_15_median_amo1, 19_lag_shSICmar, 14_lag_17_median_stratZ50ndj02, 14_lag_18_median_AMOCann, 14_lag_19_median_eapPSLjfm, 16_lag_eurPSLjfm, 14_lag_21_median_stratZ50ndj01, 18_lag_nhSICjfm, 21_lag_naoPSLjfm, 21_lag_shSICsep, 21_lag_atlSICsep, 14_lag_17_median_amo1, 14_lag_16_median_atlSICjfm_418_14"
