model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,nhSICsep,slow,866.5,2005.5,0.8,15,1,1,12.236259582697185,0.6488480404911763,594,"['1_lag_10_median_nhSICjfm', '1_lag_3_median_amo3', '1_lag_9_median_eapPSLjfm', '5_lag_shSICsep', '1_lag_2_median_stratZ50ndj01', '1_lag_9_median_solFORC']","[2.20000194417342, 2.0662992885977793, 2.755065717845766, 2.0663245785840467, 2.068782218894388, 2.0667035584466316]","1_lag_10_median_nhSICjfm, 1_lag_3_median_amo3, 1_lag_9_median_eapPSLjfm, 5_lag_shSICsep, 1_lag_2_median_stratZ50ndj01, 1_lag_9_median_solFORC_594_1"
LRforcedPSO,1,6,nhSICsep,slow,867.5,2005.5,0.8,16,1,1,15.181830632919826,0.3280771096587685,638,"['1_lag_9_median_shSICsep', '2_lag_amoSSTjfm', '1_lag_11_median_amoSSTjfm', '1_lag_9_median_nhSICjfm', '1_lag_9_median_stratZ50ndj01', '15_lag_stratZ50ndj01']","[1.676668322424145, 1.6766666198093025, 2.170801271066382, 1.891252164823736, 1.6766666292835872, 1.6766666216512451]","1_lag_9_median_shSICsep, 2_lag_amoSSTjfm, 1_lag_11_median_amoSSTjfm, 1_lag_9_median_nhSICjfm, 1_lag_9_median_stratZ50ndj01, 15_lag_stratZ50ndj01_638_1"
LRforcedPSO,2,6,nhSICsep,slow,868.5,2005.5,0.8,17,1,1,16.474548763789734,0.08228353538581845,682,"['6_lag_atlSICjfm', '8_lag_atlSICsep', '6_lag_eurPSLjfm', '1_lag_4_median_shSICmar', '15_lag_eapPSLjfm', '2_lag_stratZ50ndj03']","[3.7576233186480916, 1.8884942420799042, 6.12102147468136, 3.8572011641123733, 1.0688780445530917, 1.78104406379334]","6_lag_atlSICjfm, 8_lag_atlSICsep, 6_lag_eurPSLjfm, 1_lag_4_median_shSICmar, 15_lag_eapPSLjfm, 2_lag_stratZ50ndj03_682_1"
LRforcedPSO,3,6,nhSICsep,slow,869.5,2005.5,0.8,18,1,1,12.055567539575652,0.7245030197607408,726,"['1_lag_17_median_amoSSTmjjaso', '1_lag_8_median_eurPSLjfm', '1_lag_15_median_nhSICsep', '7_lag_shSICsep', '15_lag_amoSSTjfm', '1_lag_17_median_atlSICsep']","[1.6861395422845187, 2.2160062115862393, 1.9614720650079225, 1.6753659470711406, 2.220995158577088, 1.9003466779038918]","1_lag_17_median_amoSSTmjjaso, 1_lag_8_median_eurPSLjfm, 1_lag_15_median_nhSICsep, 7_lag_shSICsep, 15_lag_amoSSTjfm, 1_lag_17_median_atlSICsep_726_1"
LRforcedPSO,4,6,nhSICsep,slow,870.5,2005.5,0.8,19,1,1,19.79130207441805,-0.6362123571663806,770,"['6_lag_amoSSTmjjaso', '2_lag_AMOCann', '9_lag_nppc2SSTjfm', '1_lag_9_median_stratZ50ndj03', '1_lag_8_median_stratZ50ndj04', '1_lag_9_median_naoPSLjfm']","[1.6064058789422013, 0.9161434986089461, 4.589125150406524, 0.11088743906786647, 0.7950081739693697, 0.966486443004257]","6_lag_amoSSTmjjaso, 2_lag_AMOCann, 9_lag_nppc2SSTjfm, 1_lag_9_median_stratZ50ndj03, 1_lag_8_median_stratZ50ndj04, 1_lag_9_median_naoPSLjfm_770_1"
LRforcedPSO,5,6,nhSICsep,slow,871.5,2005.5,0.8,20,1,1,16.32288941409963,-0.15232563897107398,814,"['1_lag_18_median_shSICmar', '9_lag_shSICsep', '1_lag_stratZ50ndj03', '7_lag_atlSICsep', '11_lag_atlSICjfm', '3_lag_shSICmar']","[2.9864497235769027, 6.566385751019624, 0.14818487572294003, 0.25022122297844973, 0.1248505933537345, 1.6813609909957918]","1_lag_18_median_shSICmar, 9_lag_shSICsep, 1_lag_stratZ50ndj03, 7_lag_atlSICsep, 11_lag_atlSICjfm, 3_lag_shSICmar_814_1"
LRforcedPSO,6,6,nhSICsep,slow,872.5,2005.5,0.8,21,1,1,14.753420800708053,0.3789972691168697,858,"['1_lag_19_median_amo2', '15_lag_atlSICsep', '9_lag_amoSSTjfm', '14_lag_amo3', '10_lag_AMOCann', '1_lag_2_median_amo1']","[0.21379491097539827, 1.2370289028563768, 1.4347616398987046, 3.777551929672775, 3.1102902032930224, 3.5511626613613956]","1_lag_19_median_amo2, 15_lag_atlSICsep, 9_lag_amoSSTjfm, 14_lag_amo3, 10_lag_AMOCann, 1_lag_2_median_amo1_858_1"
LRforcedPSO,7,6,nhSICsep,slow,873.5,2005.5,0.8,22,1,1,14.521443401834162,0.3708128088280527,902,"['21_lag_scpPSLjfm', '1_lag_4_median_stratZ50ndj03', '1_lag_15_median_naoPSLjfm', '2_lag_AMOCann', '18_lag_atlSICjfm', '15_lag_nhSICjfm']","[2.252798630051187, 2.324067457789205, 1.9150135836352733, 1.7624654366597021, 1.7434126270501074, 1.7739983974368314]","21_lag_scpPSLjfm, 1_lag_4_median_stratZ50ndj03, 1_lag_15_median_naoPSLjfm, 2_lag_AMOCann, 18_lag_atlSICjfm, 15_lag_nhSICjfm_902_1"
LRforcedPSO,8,6,nhSICsep,slow,874.5,2005.5,0.8,23,1,1,14.62778527699396,0.45438334586615226,946,"['1_lag_21_median_stratZ50ndj03', '1_lag_10_median_shSICmar', '1_lag_14_median_stratZ50ndj02', '22_lag_scpPSLjfm', '2_lag_nhSICjfm', '20_lag_naoPSLjfm']","[0.9061494552391075, 1.0065207364599078, 1.106046557786741, 1.1254981437162783, 1.2081986252971038, 0.9116497783225693]","1_lag_21_median_stratZ50ndj03, 1_lag_10_median_shSICmar, 1_lag_14_median_stratZ50ndj02, 22_lag_scpPSLjfm, 2_lag_nhSICjfm, 20_lag_naoPSLjfm_946_1"
LRforcedPSO,9,6,nhSICsep,slow,875.5,2005.5,0.8,24,1,1,15.741819947145405,0.11495661021630052,990,"['1_lag_23_median_naoPSLjfm', '20_lag_nhSICjfm', '10_lag_nppc2SSTjfm', '1_lag_3_median_stratZ50ndj04', '11_lag_stratZ50ndj01', '1_lag_21_median_amo3']","[1.6866480976284484, 2.1766391021545917, 1.8562471275679144, 1.6450628742468507, 1.9811932281987055, 1.8152325262893374]","1_lag_23_median_naoPSLjfm, 20_lag_nhSICjfm, 10_lag_nppc2SSTjfm, 1_lag_3_median_stratZ50ndj04, 11_lag_stratZ50ndj01, 1_lag_21_median_amo3_990_1"
