model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRforcedPSO_10percent,0,6,nhSICsep,slow,866.5,2005.5,0.6,15,5,5,12.732624036934093,0.18786740512597744,1235,False,"['5_lag_12_median_nppc2SSTjfm', '10_lag_mhfATL45', '5_lag_traEC', '5_lag_mhfATL30', '5_lag_9_median_traWP', '5_lag_12_median_shTSjfm']","[3.495488298749832, 5.910894949350918, 0.9473469061397175, 1.9146358255570064, 2.740444725127573, 3.7353091818733226]","5_lag_12_median_nppc2SSTjfm, 10_lag_mhfATL45, 5_lag_traEC, 5_lag_mhfATL30, 5_lag_9_median_traWP, 5_lag_12_median_shTSjfm_1235_5"
LRforcedPSO_10percent,1,6,nhSICsep,slow,867.5,2005.5,0.6,16,6,6,12.043310418518665,0.39345010663246655,1235,False,"['6_lag_8_median_traDS', '6_lag_13_median_naoPSLjfm', '12_lag_amo2', '15_lag_neurTSjfm', '15_lag_amo2', '6_lag_11_median_mhfATL60']","[0.5794136867028836, 5.785957098298171, 2.9106122399105576, 2.550699504692137, 1.349603348164262, 0.761419766683165]","6_lag_8_median_traDS, 6_lag_13_median_naoPSLjfm, 12_lag_amo2, 15_lag_neurTSjfm, 15_lag_amo2, 6_lag_11_median_mhfATL60_1235_6"
LRforcedPSO_10percent,2,6,nhSICsep,slow,868.5,2005.5,0.6,17,7,7,13.641184052515893,-0.17346782696034324,1235,False,"['7_lag_9_median_amo1', '16_lag_tripol3', '7_lag_13_median_traDP', '14_lag_amoSSTmjjaso', '7_lag_16_median_nhSICjfm', '7_lag_16_median_glomaSSTjfm']","[1.0434861929290324, 3.320024860660533, 0.698096924947027, 4.771706480677942, 1.9435351749315721, 0.6680333434423584]","7_lag_9_median_amo1, 16_lag_tripol3, 7_lag_13_median_traDP, 14_lag_amoSSTmjjaso, 7_lag_16_median_nhSICjfm, 7_lag_16_median_glomaSSTjfm_1235_7"
LRforcedPSO_10percent,3,6,nhSICsep,slow,869.5,2005.5,0.6,18,8,8,14.241206815284507,-0.11123243880398792,1235,False,"['12_lag_gyreSSTjfm', '8_lag_16_median_naoPSLjfm', '8_lag_12_median_alpi', '16_lag_nppc3SSTjfm', '14_lag_pdoSSTjfm', '8_lag_9_median_amo2']","[2.6461484216979763, 0.9400873602374951, 6.138526875615831, 1.8747268329430469, 3.7630637879172966, 1.4377293278583423]","12_lag_gyreSSTjfm, 8_lag_16_median_naoPSLjfm, 8_lag_12_median_alpi, 16_lag_nppc3SSTjfm, 14_lag_pdoSSTjfm, 8_lag_9_median_amo2_1235_8"
LRforcedPSO_10percent,4,6,nhSICsep,slow,870.5,2005.5,0.6,19,9,9,12.838528921184153,-0.022133176305708813,1235,False,"['13_lag_traBS', '11_lag_satlSSTjfm', '9_lag_10_median_amo1', '13_lag_ginwSSTjfm', '9_lag_15_median_traMC', '9_lag_traWP']","[2.9032532719710424, 4.191584702338504, 3.2493175997614454, 2.8068330453247565, 0.5181589697904059, 0.7824803788241557]","13_lag_traBS, 11_lag_satlSSTjfm, 9_lag_10_median_amo1, 13_lag_ginwSSTjfm, 9_lag_15_median_traMC, 9_lag_traWP_1235_9"
LRforcedPSO_10percent,5,6,nhSICsep,slow,871.5,2005.5,0.6,20,10,10,13.469772316551824,-0.2645426275277916,1235,False,"['10_lag_12_median_gyreSSTjfm', '12_lag_tripol3', '14_lag_glomaSSTjfm', '10_lag_13_median_traFSC', '11_lag_traFS', '12_lag_tripol1']","[0.8907775155325801, 0.38072399761613696, 1.4991736148642225, 2.1291438796639017, 0.7817144739170097, 2.678953976161993]","10_lag_12_median_gyreSSTjfm, 12_lag_tripol3, 14_lag_glomaSSTjfm, 10_lag_13_median_traFSC, 11_lag_traFS, 12_lag_tripol1_1235_10"
LRforcedPSO_10percent,6,6,nhSICsep,slow,872.5,2005.5,0.6,21,11,11,11.299426312486299,0.48751151347701804,1235,False,"['12_lag_arcTSjfm', '14_lag_glTSjfm', '11_lag_13_median_mhfIP30', '17_lag_solFORC', '11_lag_15_median_traDS', '11_lag_19_median_tripol3']","[0.9073806556619815, 2.117066753340806, 1.1593495849989672, 1.7002257688384486, 1.9974327321976055, 7.391426985555125]","12_lag_arcTSjfm, 14_lag_glTSjfm, 11_lag_13_median_mhfIP30, 17_lag_solFORC, 11_lag_15_median_traDS, 11_lag_19_median_tripol3_1235_11"
LRforcedPSO_10percent,7,6,nhSICsep,slow,873.5,2005.5,0.6,22,12,12,12.33757922068442,0.030899860448834367,1235,False,"['16_lag_shTSjfm', '19_lag_alpi', '12_lag_tripol1', '14_lag_traBO', '12_lag_17_median_satlSSTjfm', '12_lag_17_median_mhfATL45']","[3.5726348886201986, 1.2910534340233006, 1.1049568355855826, 2.80250386362596, 4.638865496067668, 0.17122687396253156]","16_lag_shTSjfm, 19_lag_alpi, 12_lag_tripol1, 14_lag_traBO, 12_lag_17_median_satlSSTjfm, 12_lag_17_median_mhfATL45_1235_12"
LRforcedPSO_10percent,8,6,nhSICsep,slow,874.5,2005.5,0.6,23,13,13,14.427841504786484,-0.5702783026172421,1235,False,"['17_lag_amo3', '13_lag_18_median_tripol2', '13_lag_20_median_glTSjfm', '21_lag_eurPSLjfm', '13_lag_15_median_shSICsep', '21_lag_mhfATL30']","[0.8036990191237088, 0.36310513201522454, 2.9754664593964932, 0.1684990552811989, 0.8986583925426928, 1.3284824237487296]","17_lag_amo3, 13_lag_18_median_tripol2, 13_lag_20_median_glTSjfm, 21_lag_eurPSLjfm, 13_lag_15_median_shSICsep, 21_lag_mhfATL30_1235_13"
LRforcedPSO_10percent,9,6,nhSICsep,slow,875.5,2005.5,0.6,24,14,14,15.240847817651819,-0.37943537241317565,1235,False,"['17_lag_ginwSSTjfm', '15_lag_traFSC', '14_lag_23_median_yrvPRjja', '14_lag_19_median_mhfATL30', '23_lag_nhSICjfm', '14_lag_22_median_traMC']","[0.35873732226658817, 2.2228184764919723, 3.415016436324361, 3.6426887270752335, 4.550883771396976, 1.1594134626609982]","17_lag_ginwSSTjfm, 15_lag_traFSC, 14_lag_23_median_yrvPRjja, 14_lag_19_median_mhfATL30, 23_lag_nhSICjfm, 14_lag_22_median_traMC_1235_14"
LRforcedPSO_10percent,10,6,nhSICsep,slow,876.5,2005.5,0.6,25,15,15,15.915661369754062,-0.3983120956080773,1235,False,"['15_lag_16_median_nhSICjfm', '15_lag_21_median_amo1', '19_lag_samPSLann', '17_lag_stratZ50ndj01', '15_lag_20_median_traIT', '15_lag_22_median_traFB']","[0.47196712013820097, 5.550470961821063, 4.805476689818102, 4.009968698878257, 0.04841396435334033, 1.9315857518863506]","15_lag_16_median_nhSICjfm, 15_lag_21_median_amo1, 19_lag_samPSLann, 17_lag_stratZ50ndj01, 15_lag_20_median_traIT, 15_lag_22_median_traFB_1235_15"
LRforcedPSO_10percent,11,6,nhSICsep,slow,877.5,2005.5,0.6,26,16,16,12.966276091629048,-0.07465057388831105,1235,False,"['16_lag_18_median_stratZ50ndj02', '23_lag_traIT', '16_lag_19_median_glTSjfm', '16_lag_21_median_alpi', '16_lag_25_median_amo2', '16_lag_traWP']","[0.24742225700661713, 1.0238836807134337, 3.6338772253175406, 3.1708076997830226, 4.37174893288242, 0.7733614431292004]","16_lag_18_median_stratZ50ndj02, 23_lag_traIT, 16_lag_19_median_glTSjfm, 16_lag_21_median_alpi, 16_lag_25_median_amo2, 16_lag_traWP_1235_16"
LRforcedPSO_10percent,12,6,nhSICsep,slow,878.5,2005.5,0.6,27,17,17,15.336247791888184,-0.23769561266088254,1235,False,"['17_lag_18_median_nhTSjfm', '17_lag_22_median_alpi', '26_lag_yrvPRjja', '17_lag_26_median_ginwSSTjfm', '22_lag_yrvPRjja', '17_lag_26_median_atlSICsep']","[2.813828940843683, 2.486235477849206, 0.8733368529171859, 1.285337247771956, 3.3179651235998158, 5.863953472603289]","17_lag_18_median_nhTSjfm, 17_lag_22_median_alpi, 26_lag_yrvPRjja, 17_lag_26_median_ginwSSTjfm, 22_lag_yrvPRjja, 17_lag_26_median_atlSICsep_1235_17"
