model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,nhSICsep,slow,1714.5,2005.5,0.4,15,1,3,19.203775983752106,0.20689621484150578,594,"['3_lag_stratZ50ndj01', '12_lag_eapPSLjfm', '3_lag_eapPSLjfm', '13_lag_eurPSLjfm', '12_lag_eurPSLjfm', '4_lag_atlSICsep', '11_lag_stratZ50ndj04', '7_lag_naoPSLjfm', '5_lag_atlSICjfm', '7_lag_stratZ50ndj02']","[0.047178155752737344, 0.10483658728419021, 0.08286045138122092, 0.13385244897960308, 0.13354963516756818, 0.10747152868088707, 0.1690850193408935, 0.08533398889980057, 0.05661501036421513, 0.11752863178312167]","3_lag_stratZ50ndj01, 12_lag_eapPSLjfm, 3_lag_eapPSLjfm, 13_lag_eurPSLjfm, 12_lag_eurPSLjfm, 4_lag_atlSICsep, 11_lag_stratZ50ndj04, 7_lag_naoPSLjfm, 5_lag_atlSICjfm, 7_lag_stratZ50ndj02_594_3"
LinearRegression,1,10,nhSICsep,slow,1715.5,2005.5,0.4,16,1,5,20.368540172072006,0.09771548381081827,638,"['14_lag_amo3', '15_lag_stratZ50ndj02', '9_lag_eapPSLjfm', '12_lag_eapPSLjfm', '13_lag_eurPSLjfm', '12_lag_eurPSLjfm', '5_lag_atlSICjfm', '15_lag_shSICsep', '7_lag_stratZ50ndj02', '11_lag_stratZ50ndj04']","[0.10078156385875206, 0.11634809307256083, 0.1471563870593595, 0.1555150909000075, 0.12235122279446109, 0.11742948902704865, 0.01015700520937722, 0.08455806100543006, 0.08872705581475492, 0.21365790557822428]","14_lag_amo3, 15_lag_stratZ50ndj02, 9_lag_eapPSLjfm, 12_lag_eapPSLjfm, 13_lag_eurPSLjfm, 12_lag_eurPSLjfm, 5_lag_atlSICjfm, 15_lag_shSICsep, 7_lag_stratZ50ndj02, 11_lag_stratZ50ndj04_638_5"
LinearRegression,2,10,nhSICsep,slow,1716.5,2005.5,0.4,17,1,5,19.74602056269563,0.19376012101910436,682,"['9_lag_atlSICsep', '5_lag_atlSICjfm', '10_lag_stratZ50ndj02', '12_lag_eapPSLjfm', '16_lag_naoPSLjfm', '12_lag_eurPSLjfm', '13_lag_eurPSLjfm', '11_lag_stratZ50ndj04', '15_lag_shSICsep', '7_lag_stratZ50ndj02']","[0.11958429366382552, 0.012009571176947967, 0.11227815119967052, 0.12589529877021563, 0.08038334157476247, 0.11066230024071183, 0.1546714356256418, 0.197610371849226, 0.03566052099182446, 0.09739225739512616]","9_lag_atlSICsep, 5_lag_atlSICjfm, 10_lag_stratZ50ndj02, 12_lag_eapPSLjfm, 16_lag_naoPSLjfm, 12_lag_eurPSLjfm, 13_lag_eurPSLjfm, 11_lag_stratZ50ndj04, 15_lag_shSICsep, 7_lag_stratZ50ndj02_682_5"
LinearRegression,3,10,nhSICsep,slow,1717.5,2005.5,0.4,18,1,5,20.04212582037062,0.09407772669459447,726,"['7_lag_stratZ50ndj02', '7_lag_naoPSLjfm', '16_lag_naoPSLjfm', '9_lag_eapPSLjfm', '10_lag_stratZ50ndj02', '17_lag_nppc2SSTjfm', '5_lag_atlSICjfm', '12_lag_eurPSLjfm', '11_lag_stratZ50ndj04', '15_lag_shSICsep']","[0.0789695508071417, 0.08152797090748774, 0.03198421364951555, 0.1768806545387265, 0.13092272699787047, 0.1831452371212319, 0.03619395211808402, 0.13018871663494727, 0.13116065854831346, 0.049371202528018195]","7_lag_stratZ50ndj02, 7_lag_naoPSLjfm, 16_lag_naoPSLjfm, 9_lag_eapPSLjfm, 10_lag_stratZ50ndj02, 17_lag_nppc2SSTjfm, 5_lag_atlSICjfm, 12_lag_eurPSLjfm, 11_lag_stratZ50ndj04, 15_lag_shSICsep_726_5"
LinearRegression,4,10,nhSICsep,slow,1718.5,2005.5,0.4,19,1,7,21.887182187009657,-0.03362156940838937,770,"['13_lag_eurPSLjfm', '12_lag_atlSICjfm', '12_lag_eurPSLjfm', '12_lag_eapPSLjfm', '15_lag_shSICsep', '10_lag_stratZ50ndj02', '9_lag_eapPSLjfm', '7_lag_naoPSLjfm', '18_lag_stratZ50ndj04', '18_lag_stratZ50ndj02']","[0.11978949089531675, 0.02581142347212395, 0.09608437649550156, 0.10572415178134598, 0.052451364807155856, 0.1662290656079789, 0.18110441888747997, 0.0828038227099292, 0.15768873751749962, 0.16795072250569454]","13_lag_eurPSLjfm, 12_lag_atlSICjfm, 12_lag_eurPSLjfm, 12_lag_eapPSLjfm, 15_lag_shSICsep, 10_lag_stratZ50ndj02, 9_lag_eapPSLjfm, 7_lag_naoPSLjfm, 18_lag_stratZ50ndj04, 18_lag_stratZ50ndj02_770_7"
LinearRegression,5,10,nhSICsep,slow,1719.5,2005.5,0.4,20,1,7,20.275937129369005,0.19538577108605723,814,"['11_lag_stratZ50ndj04', '9_lag_eapPSLjfm', '12_lag_eapPSLjfm', '13_lag_eurPSLjfm', '12_lag_eurPSLjfm', '15_lag_shSICsep', '18_lag_stratZ50ndj04', '7_lag_naoPSLjfm', '19_lag_shSICmar', '18_lag_stratZ50ndj02']","[0.24361456972884354, 0.17454309357213393, 0.09989643573248351, 0.12071652011198332, 0.06848874570328839, 0.05522965955612805, 0.17802390629243856, 0.09237067365974146, 0.0892683248359244, 0.1501326314456286]","11_lag_stratZ50ndj04, 9_lag_eapPSLjfm, 12_lag_eapPSLjfm, 13_lag_eurPSLjfm, 12_lag_eurPSLjfm, 15_lag_shSICsep, 18_lag_stratZ50ndj04, 7_lag_naoPSLjfm, 19_lag_shSICmar, 18_lag_stratZ50ndj02_814_7"
LinearRegression,6,10,nhSICsep,slow,1720.5,2005.5,0.4,21,1,7,21.922636876817613,0.012398204687083265,858,"['20_lag_naoPSLjfm', '16_lag_naoPSLjfm', '12_lag_eapPSLjfm', '18_lag_stratZ50ndj04', '12_lag_eurPSLjfm', '7_lag_naoPSLjfm', '19_lag_shSICmar', '15_lag_shSICsep', '13_lag_eurPSLjfm', '18_lag_stratZ50ndj02']","[0.05150184105264135, 0.07404546857275501, 0.10760170805643592, 0.12671312589872855, 0.1023453817442759, 0.08668615985733223, 0.07570796250472586, 0.025418729400598722, 0.13541515633647516, 0.16422484056533485]","20_lag_naoPSLjfm, 16_lag_naoPSLjfm, 12_lag_eapPSLjfm, 18_lag_stratZ50ndj04, 12_lag_eurPSLjfm, 7_lag_naoPSLjfm, 19_lag_shSICmar, 15_lag_shSICsep, 13_lag_eurPSLjfm, 18_lag_stratZ50ndj02_858_7"
LinearRegression,7,10,nhSICsep,slow,1721.5,2005.5,0.4,22,2,2,21.35170394854116,0.11292084825036394,858,"['16_lag_naoPSLjfm', '7_lag_naoPSLjfm', '12_lag_atlSICjfm', '12_lag_eurPSLjfm', '2_lag_stratZ50ndj03', '5_lag_stratZ50ndj04', '19_lag_shSICmar', '13_lag_eurPSLjfm', '15_lag_shSICsep', '18_lag_stratZ50ndj02']","[0.037147671802344316, 0.11344084437455712, 0.07638203610579315, 0.12707958652749435, 0.033253276360530215, 0.19788567350192665, 0.11583419352912576, 0.10654156550810107, 0.012354356673953673, 0.17291294232325516]","16_lag_naoPSLjfm, 7_lag_naoPSLjfm, 12_lag_atlSICjfm, 12_lag_eurPSLjfm, 2_lag_stratZ50ndj03, 5_lag_stratZ50ndj04, 19_lag_shSICmar, 13_lag_eurPSLjfm, 15_lag_shSICsep, 18_lag_stratZ50ndj02_858_2"
LinearRegression,8,10,nhSICsep,slow,1722.5,2005.5,0.4,23,3,3,20.87401985999251,0.15533883398941625,858,"['16_lag_naoPSLjfm', '3_lag_eapPSLjfm', '7_lag_naoPSLjfm', '13_lag_eurPSLjfm', '12_lag_eurPSLjfm', '19_lag_shSICmar', '21_lag_eurPSLjfm', '5_lag_stratZ50ndj04', '18_lag_stratZ50ndj02', '15_lag_shSICsep']","[0.04978212774810263, 0.07583746993375558, 0.1211193195492108, 0.1038737893265654, 0.13495846717862658, 0.0967845970874628, 0.04239215779218869, 0.1818955327675611, 0.16729095234683244, 0.01839046230378663]","16_lag_naoPSLjfm, 3_lag_eapPSLjfm, 7_lag_naoPSLjfm, 13_lag_eurPSLjfm, 12_lag_eurPSLjfm, 19_lag_shSICmar, 21_lag_eurPSLjfm, 5_lag_stratZ50ndj04, 18_lag_stratZ50ndj02, 15_lag_shSICsep_858_3"
LinearRegression,9,10,nhSICsep,slow,1723.5,2005.5,0.4,24,4,4,19.564325093200313,0.271919814810122,858,"['10_lag_scpPSLjfm', '21_lag_scpPSLjfm', '4_lag_5_median_stratZ50ndj04', '5_lag_stratZ50ndj04', '16_lag_naoPSLjfm', '23_lag_atlSICjfm', '14_lag_stratZ50ndj03', '21_lag_eurPSLjfm', '15_lag_shSICsep', '18_lag_stratZ50ndj02']","[0.03289729563931038, 0.04838955378589413, 0.10801679602575993, 0.10801679602575992, 0.040169876612105984, 0.18790366259396896, 0.05021662280302406, 0.08154571923867551, 0.012325275615862911, 0.17404183763634679]","10_lag_scpPSLjfm, 21_lag_scpPSLjfm, 4_lag_5_median_stratZ50ndj04, 5_lag_stratZ50ndj04, 16_lag_naoPSLjfm, 23_lag_atlSICjfm, 14_lag_stratZ50ndj03, 21_lag_eurPSLjfm, 15_lag_shSICsep, 18_lag_stratZ50ndj02_858_4"
