model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,nhSICsep,slow,1714.5,2005.5,0.8,15,1,1,30.8015430285537,0.34520827719378144,1755,"['7_lag_eurPSLjfm', '10_lag_cetTSjfm', '1_lag_nchinaPRjja', '6_lag_traMC', '6_lag_traIFC', '9_lag_traFSC', '6_lag_eurPSLjfm', '5_lag_atlSICjfm', '5_lag_mhfIP30', '1_lag_mhfIP30']","[0.03923934406498006, 0.014116702457678834, 0.06435999066752923, 0.10567886988547957, 0.018049406521366544, 0.10636385068145826, 0.06710801916057234, 0.16935540091829865, 0.03744955854246343, 0.014684056205839565]","7_lag_eurPSLjfm, 10_lag_cetTSjfm, 1_lag_nchinaPRjja, 6_lag_traMC, 6_lag_traIFC, 9_lag_traFSC, 6_lag_eurPSLjfm, 5_lag_atlSICjfm, 5_lag_mhfIP30, 1_lag_mhfIP30_1755_1"
LinearRegression,1,10,nhSICsep,slow,1715.5,2005.5,0.8,16,1,1,31.340479181407115,0.3489619327003304,1885,"['10_lag_scpPSLjfm', '6_lag_eurPSLjfm', '7_lag_eurPSLjfm', '6_lag_traIFC', '5_lag_atlSICjfm', '9_lag_traFSC', '15_lag_mhfIP30', '15_lag_eurPSLjfm', '5_lag_mhfIP30', '1_lag_mhfIP30']","[0.0759828173127021, 0.06580844411004419, 0.038998054939034056, 0.0009071162036861508, 0.17186859957987416, 0.10133002832647806, 0.06129053315880777, 0.04147913544448055, 0.03381194156164762, 0.019743835487306228]","10_lag_scpPSLjfm, 6_lag_eurPSLjfm, 7_lag_eurPSLjfm, 6_lag_traIFC, 5_lag_atlSICjfm, 9_lag_traFSC, 15_lag_mhfIP30, 15_lag_eurPSLjfm, 5_lag_mhfIP30, 1_lag_mhfIP30_1885_1"
LinearRegression,2,10,nhSICsep,slow,1716.5,2005.5,0.8,17,1,1,30.167414536617027,0.2746392833573916,2015,"['1_lag_nchinaPRjja', '15_lag_mhfIP30', '9_lag_atlSICsep', '15_lag_eurPSLjfm', '10_lag_scpPSLjfm', '9_lag_traFSC', '6_lag_eurPSLjfm', '1_lag_mhfIP30', '7_lag_eurPSLjfm', '5_lag_mhfIP30']","[0.07171569771472174, 0.053849339483064126, 0.2320317121579561, 0.02310309775800653, 0.0713255195086744, 0.10967798581666943, 0.07038633435859153, 0.049908411534675665, 0.025543085545118006, 0.05176184284470397]","1_lag_nchinaPRjja, 15_lag_mhfIP30, 9_lag_atlSICsep, 15_lag_eurPSLjfm, 10_lag_scpPSLjfm, 9_lag_traFSC, 6_lag_eurPSLjfm, 1_lag_mhfIP30, 7_lag_eurPSLjfm, 5_lag_mhfIP30_2015_1"
LinearRegression,3,10,nhSICsep,slow,1717.5,2005.5,0.8,18,1,1,28.896534575608715,0.3686618726046464,2145,"['8_lag_seurTSjfm', '1_lag_mhfIP30', '10_lag_shSICmar', '9_lag_traFSC', '9_lag_atlSICsep', '15_lag_mhfIP30', '6_lag_eurPSLjfm', '15_lag_eurPSLjfm', '7_lag_eurPSLjfm', '5_lag_mhfIP30']","[0.12354326108595856, 0.05736352507469217, 0.049016303348065365, 0.1176132548552214, 0.20678075057919, 0.052706655227409985, 0.07366446718725997, 0.030461530229339496, 0.02251433210277171, 0.05358023910741184]","8_lag_seurTSjfm, 1_lag_mhfIP30, 10_lag_shSICmar, 9_lag_traFSC, 9_lag_atlSICsep, 15_lag_mhfIP30, 6_lag_eurPSLjfm, 15_lag_eurPSLjfm, 7_lag_eurPSLjfm, 5_lag_mhfIP30_2145_1"
LinearRegression,4,10,nhSICsep,slow,1718.5,2005.5,0.8,19,1,1,29.282104854148226,0.4349814525427579,2275,"['9_lag_traFSC', '6_lag_traIFC', '15_lag_eurPSLjfm', '6_lag_eurPSLjfm', '9_lag_atlSICsep', '18_lag_traTLS', '15_lag_mhfIP30', '1_lag_mhfIP30', '7_lag_eurPSLjfm', '5_lag_mhfIP30']","[0.12261907101601166, 0.03217038866061045, 0.04138604753241005, 0.06796365386619502, 0.24107108261992521, 0.10722080328990262, 0.05575155160342969, 0.0636914785725343, 0.026417823928805324, 0.048905198277112386]","9_lag_traFSC, 6_lag_traIFC, 15_lag_eurPSLjfm, 6_lag_eurPSLjfm, 9_lag_atlSICsep, 18_lag_traTLS, 15_lag_mhfIP30, 1_lag_mhfIP30, 7_lag_eurPSLjfm, 5_lag_mhfIP30_2275_1"
LinearRegression,5,10,nhSICsep,slow,1719.5,2005.5,0.8,20,1,1,29.309987041252167,0.493421201882449,2405,"['6_lag_traIFC', '5_lag_atlSICjfm', '1_lag_nchinaPRjja', '9_lag_atlSICsep', '15_lag_eurPSLjfm', '18_lag_traTLS', '15_lag_mhfIP30', '1_lag_mhfIP30', '7_lag_eurPSLjfm', '5_lag_mhfIP30']","[0.0075342477619603256, 0.11188813939456736, 0.06235831794849686, 0.18716943252940232, 0.05267532069910075, 0.0960739528245107, 0.06825482316567703, 0.037746751125473835, 0.012122534349261402, 0.05922345365623325]","6_lag_traIFC, 5_lag_atlSICjfm, 1_lag_nchinaPRjja, 9_lag_atlSICsep, 15_lag_eurPSLjfm, 18_lag_traTLS, 15_lag_mhfIP30, 1_lag_mhfIP30, 7_lag_eurPSLjfm, 5_lag_mhfIP30_2405_1"
LinearRegression,6,10,nhSICsep,slow,1720.5,2005.5,0.8,21,1,1,30.48292330071372,0.3840398022920276,2535,"['15_lag_mhfIP30', '9_lag_atlSICsep', '1_lag_nchinaPRjja', '6_lag_eurPSLjfm', '1_lag_mhfIP30', '7_lag_eurPSLjfm', '15_lag_eurPSLjfm', '18_lag_traTLS', '5_lag_mhfIP30', '20_lag_ismPRjja']","[0.055189246143759765, 0.20623983053878397, 0.07143920894755833, 0.06666780988221743, 0.050224682340533094, 0.010967701595137519, 0.03976733355321632, 0.09667754969246176, 0.06241712178383113, 0.08708636027386776]","15_lag_mhfIP30, 9_lag_atlSICsep, 1_lag_nchinaPRjja, 6_lag_eurPSLjfm, 1_lag_mhfIP30, 7_lag_eurPSLjfm, 15_lag_eurPSLjfm, 18_lag_traTLS, 5_lag_mhfIP30, 20_lag_ismPRjja_2535_1"
LinearRegression,7,10,nhSICsep,slow,1721.5,2005.5,0.8,22,2,5,29.899329872394826,0.5195039811736039,2535,"['15_lag_mhfIP30', '6_lag_traIFC', '15_lag_eurPSLjfm', '18_lag_traTLS', '5_lag_stratZ50ndj04', '17_lag_stratZ50ndj03', '13_lag_eurPSLjfm', '21_lag_traEU', '5_lag_mhfIP30', '20_lag_ismPRjja']","[0.031126391416883042, 0.0010512656242870067, 0.044703981927281616, 0.08498929666579608, 0.25870713738515094, 0.0933285802246075, 0.08107652855159302, 0.04837248884844818, 0.024731685727071146, 0.0854644147171377]","15_lag_mhfIP30, 6_lag_traIFC, 15_lag_eurPSLjfm, 18_lag_traTLS, 5_lag_stratZ50ndj04, 17_lag_stratZ50ndj03, 13_lag_eurPSLjfm, 21_lag_traEU, 5_lag_mhfIP30, 20_lag_ismPRjja_2535_5"
LinearRegression,8,10,nhSICsep,slow,1722.5,2005.5,0.8,23,3,5,29.850403278445217,0.5023294622282589,2535,"['5_lag_stratZ50ndj04', '20_lag_yrvPRjja', '21_lag_traEU', '9_lag_traFSC', '5_lag_mhfIP30', '13_lag_eurPSLjfm', '18_lag_traTLS', '15_lag_eurPSLjfm', '17_lag_stratZ50ndj03', '20_lag_ismPRjja']","[0.26227425786462927, 0.008345077013376584, 0.04567791101960844, 0.06683661222788652, 0.019749520060084687, 0.08164989713742665, 0.08190948496392006, 0.042652065737164346, 0.09409550583180862, 0.0819215984803908]","5_lag_stratZ50ndj04, 20_lag_yrvPRjja, 21_lag_traEU, 9_lag_traFSC, 5_lag_mhfIP30, 13_lag_eurPSLjfm, 18_lag_traTLS, 15_lag_eurPSLjfm, 17_lag_stratZ50ndj03, 20_lag_ismPRjja_2535_5"
LinearRegression,9,10,nhSICsep,slow,1723.5,2005.5,0.8,24,4,15,33.73146555429153,0.16286967912058212,2535,"['15_lag_mhfIP30', '18_lag_alpi', '21_lag_ormenSSTjfm', '20_lag_yrvPRjja', '21_lag_alpi', '21_lag_traEU', '15_lag_eurPSLjfm', '18_lag_traTLS', '17_lag_stratZ50ndj03', '20_lag_ismPRjja']","[0.04159420932598095, 0.03101264678723048, 0.02573260228357998, 0.004502844365313556, 0.005882952750007666, 0.04265444155839802, 0.05111690829669076, 0.08074827599911384, 0.10606590088576731, 0.06934538387571094]","15_lag_mhfIP30, 18_lag_alpi, 21_lag_ormenSSTjfm, 20_lag_yrvPRjja, 21_lag_alpi, 21_lag_traEU, 15_lag_eurPSLjfm, 18_lag_traTLS, 17_lag_stratZ50ndj03, 20_lag_ismPRjja_2535_15"
