model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,nhSICsep,slow,866.5,2005.5,0.8,15,1,1,12.827891895393837,0.600019772689825,1755,"['1_lag_6_median_atlSICjfm', '13_lag_satlSSTjfm', '1_lag_5_median_mhfATL45', '1_lag_8_median_amoSSTmjjaso', '1_lag_traIT', '1_lag_nhSICsep']","[0.12205223150028545, 0.14147430999998067, 0.13781792879471744, 0.11838054468294133, 0.1307036647187858, 0.3495713203032893]","1_lag_6_median_atlSICjfm, 13_lag_satlSSTjfm, 1_lag_5_median_mhfATL45, 1_lag_8_median_amoSSTmjjaso, 1_lag_traIT, 1_lag_nhSICsep_1755_1"
RandomForestRegressor,1,6,nhSICsep,slow,867.5,2005.5,0.8,16,1,1,12.319511189307896,0.6601444302313447,1885,"['1_lag_6_median_atlSICjfm', '1_lag_ormenSSTjfm', '1_lag_5_median_mhfATL45', '1_lag_8_median_amoSSTmjjaso', '1_lag_traIT', '1_lag_nhSICsep']","[0.12345887138871733, 0.12600553218922675, 0.13365333297047524, 0.11991636565469353, 0.1360144200492318, 0.36095147774765535]","1_lag_6_median_atlSICjfm, 1_lag_ormenSSTjfm, 1_lag_5_median_mhfATL45, 1_lag_8_median_amoSSTmjjaso, 1_lag_traIT, 1_lag_nhSICsep_1885_1"
RandomForestRegressor,2,6,nhSICsep,slow,868.5,2005.5,0.8,17,1,1,12.694270643436242,0.6134746721026855,2015,"['1_lag_4_median_mhfATL45', '1_lag_7_median_mhfATL45', '1_lag_5_median_mhfATL45', '1_lag_8_median_amoSSTmjjaso', '1_lag_traIT', '1_lag_nhSICsep']","[0.1089108715187227, 0.12097969816234234, 0.10551985949973666, 0.14129680679204892, 0.15523990338851396, 0.3680528606386354]","1_lag_4_median_mhfATL45, 1_lag_7_median_mhfATL45, 1_lag_5_median_mhfATL45, 1_lag_8_median_amoSSTmjjaso, 1_lag_traIT, 1_lag_nhSICsep_2015_1"
RandomForestRegressor,3,6,nhSICsep,slow,869.5,2005.5,0.8,18,1,1,12.456157891970435,0.6555199767141768,2145,"['1_lag_6_median_atlSICjfm', '1_lag_7_median_mhfATL45', '1_lag_5_median_mhfATL45', '1_lag_8_median_amoSSTmjjaso', '1_lag_traIT', '1_lag_nhSICsep']","[0.13102623589966025, 0.1176739314984376, 0.12071449976767082, 0.12177088260313315, 0.14607368363755946, 0.3627407665935387]","1_lag_6_median_atlSICjfm, 1_lag_7_median_mhfATL45, 1_lag_5_median_mhfATL45, 1_lag_8_median_amoSSTmjjaso, 1_lag_traIT, 1_lag_nhSICsep_2145_1"
RandomForestRegressor,4,6,nhSICsep,slow,870.5,2005.5,0.8,19,1,1,12.411485745836048,0.6423961871398347,2275,"['1_lag_4_median_mhfATL45', '1_lag_7_median_mhfATL45', '1_lag_5_median_mhfATL45', '1_lag_8_median_amoSSTmjjaso', '1_lag_traIT', '1_lag_nhSICsep']","[0.10532544589597183, 0.11969612988782993, 0.1059047295975048, 0.13957023919261788, 0.15684211634565662, 0.37266133908041893]","1_lag_4_median_mhfATL45, 1_lag_7_median_mhfATL45, 1_lag_5_median_mhfATL45, 1_lag_8_median_amoSSTmjjaso, 1_lag_traIT, 1_lag_nhSICsep_2275_1"
RandomForestRegressor,5,6,nhSICsep,slow,871.5,2005.5,0.8,20,1,1,12.445658832761573,0.6436102766315802,2405,"['1_lag_4_median_mhfATL45', '1_lag_7_median_mhfATL45', '1_lag_5_median_mhfATL45', '1_lag_8_median_amoSSTmjjaso', '1_lag_traIT', '1_lag_nhSICsep']","[0.10754151536209244, 0.12620289208635715, 0.1009814265928282, 0.1403938770293272, 0.15609882795663563, 0.3687814609727594]","1_lag_4_median_mhfATL45, 1_lag_7_median_mhfATL45, 1_lag_5_median_mhfATL45, 1_lag_8_median_amoSSTmjjaso, 1_lag_traIT, 1_lag_nhSICsep_2405_1"
RandomForestRegressor,6,6,nhSICsep,slow,872.5,2005.5,0.8,21,1,1,12.416259109278752,0.6498967298766388,2535,"['1_lag_7_median_mhfATL45', '1_lag_4_median_mhfATL45', '1_lag_8_median_amoSSTmjjaso', '1_lag_traIT', '1_lag_5_median_mhfATL45', '1_lag_nhSICsep']","[0.11902086019643833, 0.10209288253841309, 0.14397772871257436, 0.15878503554655388, 0.10703968337582152, 0.3690838096301988]","1_lag_7_median_mhfATL45, 1_lag_4_median_mhfATL45, 1_lag_8_median_amoSSTmjjaso, 1_lag_traIT, 1_lag_5_median_mhfATL45, 1_lag_nhSICsep_2535_1"
RandomForestRegressor,7,6,nhSICsep,slow,873.5,2005.5,0.8,22,1,1,12.46087068168423,0.6484393517743264,2665,"['1_lag_7_median_mhfATL45', '1_lag_4_median_mhfATL45', '1_lag_traIT', '1_lag_8_median_amoSSTmjjaso', '1_lag_5_median_mhfATL45', '1_lag_nhSICsep']","[0.12065047660393628, 0.1069153842098863, 0.15500400240359485, 0.13917882245678162, 0.11066148181894336, 0.3675898325068576]","1_lag_7_median_mhfATL45, 1_lag_4_median_mhfATL45, 1_lag_traIT, 1_lag_8_median_amoSSTmjjaso, 1_lag_5_median_mhfATL45, 1_lag_nhSICsep_2665_1"
RandomForestRegressor,8,6,nhSICsep,slow,874.5,2005.5,0.8,23,1,1,12.796262134926387,0.5744155269744028,2795,"['13_lag_satlSSTjfm', '1_lag_6_median_atlSICjfm', '1_lag_5_median_mhfATL45', '1_lag_traIT', '1_lag_8_median_amoSSTmjjaso', '1_lag_nhSICsep']","[0.13624042578192883, 0.12216739845902748, 0.1352079559526604, 0.1374371215576283, 0.12212339099812274, 0.34682370725063216]","13_lag_satlSSTjfm, 1_lag_6_median_atlSICjfm, 1_lag_5_median_mhfATL45, 1_lag_traIT, 1_lag_8_median_amoSSTmjjaso, 1_lag_nhSICsep_2795_1"
RandomForestRegressor,9,6,nhSICsep,slow,875.5,2005.5,0.8,24,1,1,11.880007423774144,0.7071298667250274,2925,"['1_lag_traBO', '1_lag_6_median_atlSICjfm', '1_lag_9_median_alpi', '1_lag_traIT', '1_lag_8_median_amoSSTmjjaso', '1_lag_nhSICsep']","[0.1292379173399239, 0.12555744921681594, 0.13625122995939354, 0.13351458326336113, 0.12485592135170791, 0.35058289886879773]","1_lag_traBO, 1_lag_6_median_atlSICjfm, 1_lag_9_median_alpi, 1_lag_traIT, 1_lag_8_median_amoSSTmjjaso, 1_lag_nhSICsep_2925_1"
RandomForestRegressor,10,6,nhSICsep,slow,876.5,2005.5,0.8,25,1,1,11.855914034159754,0.7126422595485867,3055,"['1_lag_traBO', '1_lag_9_median_alpi', '1_lag_6_median_atlSICjfm', '1_lag_traIT', '1_lag_8_median_amoSSTmjjaso', '1_lag_nhSICsep']","[0.1283223669562865, 0.134498529567104, 0.12227447456763942, 0.13039721015065348, 0.13141780425128866, 0.353089614507028]","1_lag_traBO, 1_lag_9_median_alpi, 1_lag_6_median_atlSICjfm, 1_lag_traIT, 1_lag_8_median_amoSSTmjjaso, 1_lag_nhSICsep_3055_1"
RandomForestRegressor,11,6,nhSICsep,slow,877.5,2005.5,0.8,26,1,1,11.874918915598101,0.7115268525747539,3185,"['14_lag_atlSICsep', '1_lag_traBO', '1_lag_6_median_atlSICjfm', '1_lag_traIT', '1_lag_8_median_amoSSTmjjaso', '1_lag_nhSICsep']","[0.13699158968786698, 0.12786011993999302, 0.1258872218156129, 0.12885841271458803, 0.13329586928226336, 0.3471067865596758]","14_lag_atlSICsep, 1_lag_traBO, 1_lag_6_median_atlSICjfm, 1_lag_traIT, 1_lag_8_median_amoSSTmjjaso, 1_lag_nhSICsep_3185_1"
