model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,nhTSjfm,slow,866.5,2005.5,0.4,15,1,1,7.546812316587669,0.6133484410734178,1755,"['1_lag_3_median_atlSICsep', '1_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_nhSICjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT']","[0.1469029922413181, 0.13923360933864834, 0.16004578301504652, 0.17595188892176256, 0.19538509031467594, 0.18248063616854854]","1_lag_3_median_atlSICsep, 1_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_nhSICjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT_1755_1"
RandomForestRegressor,1,6,nhTSjfm,slow,867.5,2005.5,0.4,16,1,1,7.415274291571334,0.649262348542066,1885,"['1_lag_3_median_atlSICsep', '1_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_nhSICjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT']","[0.1429593897173794, 0.14208938084701786, 0.16756661088010583, 0.16452860455258458, 0.19749108808211627, 0.18536492592079615]","1_lag_3_median_atlSICsep, 1_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_nhSICjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT_1885_1"
RandomForestRegressor,2,6,nhTSjfm,slow,868.5,2005.5,0.4,17,1,1,7.63159853197094,0.5745338529942299,2015,"['1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_nhSICjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT']","[0.1223304919732519, 0.12696001572422144, 0.1726624181715847, 0.1848466812186482, 0.21347670851575198, 0.17972368439654174]","1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_nhSICjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT_2015_1"
RandomForestRegressor,3,6,nhTSjfm,slow,869.5,2005.5,0.4,18,1,1,7.673485770829135,0.5795182664318088,2145,"['1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_nhSICjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT']","[0.13237375548238506, 0.13494420329416515, 0.1682322480533456, 0.18412801418039798, 0.21644943705726147, 0.16387234193244474]","1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_nhSICjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT_2145_1"
RandomForestRegressor,4,6,nhTSjfm,slow,870.5,2005.5,0.4,19,1,1,7.684062175441767,0.5781903363112297,2275,"['1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_nhSICjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT']","[0.12268906108281116, 0.14804488156575318, 0.16017559952588584, 0.18341090037383562, 0.2091530795393001, 0.17652647791241421]","1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_nhSICjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT_2275_1"
RandomForestRegressor,5,6,nhTSjfm,slow,871.5,2005.5,0.4,20,1,1,7.679619010018452,0.5752150170439577,2405,"['1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_nhSICjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT']","[0.11990229794530101, 0.13755057717024896, 0.16790139235621823, 0.1867965605592233, 0.2040553281460898, 0.18379384382291872]","1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_nhSICjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT_2405_1"
RandomForestRegressor,6,6,nhTSjfm,slow,872.5,2005.5,0.4,21,1,1,7.649476195412603,0.5819951457888372,2535,"['1_lag_traTLS', '1_lag_nppc2SSTjfm', '1_lag_glomaSSTjfm', '1_lag_nhSICjfm', '1_lag_amoSSTmjjaso', '1_lag_traIT']","[0.11929449829323886, 0.1389391867524934, 0.1724746261121492, 0.17701907782352724, 0.20590226685507543, 0.186370344163516]","1_lag_traTLS, 1_lag_nppc2SSTjfm, 1_lag_glomaSSTjfm, 1_lag_nhSICjfm, 1_lag_amoSSTmjjaso, 1_lag_traIT_2535_1"
RandomForestRegressor,7,6,nhTSjfm,slow,873.5,2005.5,0.4,22,2,2,9.072159843179895,0.18577613669199286,2535,"['12_lag_eapPSLjfm', '2_lag_5_median_nhSICsep', '2_lag_19_median_traCA', '12_lag_traFSC', '2_lag_21_median_nchinaPRjja', '2_lag_amoSSTmjjaso']","[0.16542093827245832, 0.16563148748244994, 0.1404575586289777, 0.18510925646836135, 0.15641807757927056, 0.1869626815684822]","12_lag_eapPSLjfm, 2_lag_5_median_nhSICsep, 2_lag_19_median_traCA, 12_lag_traFSC, 2_lag_21_median_nchinaPRjja, 2_lag_amoSSTmjjaso_2535_2"
RandomForestRegressor,8,6,nhTSjfm,slow,874.5,2005.5,0.4,23,3,3,9.49200830772719,0.10754248219485131,2535,"['17_lag_traIFC', '12_lag_traFSC', '3_lag_15_median_traEU', '13_lag_nppc3SSTjfm', '3_lag_20_median_nchinaPRjja', '3_lag_22_median_nchinaPRjja']","[0.16949975386798846, 0.18764852233984367, 0.15834001777698195, 0.1940715209055053, 0.12948175898698905, 0.16095842612269168]","17_lag_traIFC, 12_lag_traFSC, 3_lag_15_median_traEU, 13_lag_nppc3SSTjfm, 3_lag_20_median_nchinaPRjja, 3_lag_22_median_nchinaPRjja_2535_3"
RandomForestRegressor,9,6,nhTSjfm,slow,875.5,2005.5,0.4,24,4,4,9.546127940583787,0.0828087690205056,2535,"['17_lag_traIFC', '12_lag_traFSC', '13_lag_nppc3SSTjfm', '4_lag_11_median_nchinaPRjja', '4_lag_18_median_nchinaPRjja', '4_lag_19_median_nchinaPRjja']","[0.17986942992833047, 0.20127114297654586, 0.19103290181641433, 0.13341860856819682, 0.12199412595514683, 0.17241379075536584]","17_lag_traIFC, 12_lag_traFSC, 13_lag_nppc3SSTjfm, 4_lag_11_median_nchinaPRjja, 4_lag_18_median_nchinaPRjja, 4_lag_19_median_nchinaPRjja_2535_4"
