model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,nppc2SSTjfm,slow,1714.5,2005.5,0.4,15,1,1,10.62123081760733,0.5893204220685939,1755,"['1_lag_10_median_nppc3SSTjfm', '1_lag_stratZ50ndj01', '1_lag_7_median_glTSjfm', '5_lag_traDS', '4_lag_solFORC', '1_lag_stratZ50ndj02']","[0.3766106147479942, 1.0424039928970696, 2.0383036620474186, 1.6000073483634303, 0.09822735463337295, 4.071346414520413]","1_lag_10_median_nppc3SSTjfm, 1_lag_stratZ50ndj01, 1_lag_7_median_glTSjfm, 5_lag_traDS, 4_lag_solFORC, 1_lag_stratZ50ndj02_1755_1"
LRforcedPSO,1,6,nppc2SSTjfm,slow,1715.5,2005.5,0.4,16,1,1,18.396190131839333,-0.4509334739189674,1885,"['1_lag_13_median_traFB', '1_lag_14_median_alpi', '1_lag_11_median_traWP', '2_lag_traBS', '1_lag_7_median_traDS', '1_lag_8_median_solFORC']","[6.324966325701156, 3.0398517629631865, 2.2503834402897933, 1.8456423196136313, 2.216694482451846, 3.7047388423255363]","1_lag_13_median_traFB, 1_lag_14_median_alpi, 1_lag_11_median_traWP, 2_lag_traBS, 1_lag_7_median_traDS, 1_lag_8_median_solFORC_1885_1"
LRforcedPSO,2,6,nppc2SSTjfm,slow,1716.5,2005.5,0.4,17,1,1,16.156497314496548,-0.25651989219127114,2015,"['6_lag_alpi', '1_lag_11_median_scpPSLjfm', '1_lag_16_median_nppc3SSTjfm', '3_lag_pdoSSTjfm', '9_lag_shSICmar', '3_lag_tripol3']","[3.776364785538901, 2.9249887624686477, 3.493696444524686, 2.8322739740719913, 2.842414101574132, 3.238807091029501]","6_lag_alpi, 1_lag_11_median_scpPSLjfm, 1_lag_16_median_nppc3SSTjfm, 3_lag_pdoSSTjfm, 9_lag_shSICmar, 3_lag_tripol3_2015_1"
LRforcedPSO,3,6,nppc2SSTjfm,slow,1717.5,2005.5,0.4,18,1,1,20.402658438861557,-0.20741025371456834,2145,"['1_lag_10_median_wnorPRjfm', '7_lag_traBO', '1_lag_17_median_traIT', '1_lag_8_median_amoSSTmjjaso', '10_lag_atlSICsep', '1_lag_4_median_alpi']","[5.438998916776903, 3.5786213525137214, 5.5933285502248715, 4.118359378663731, 1.6539439947293229, 0.10572679169072785]","1_lag_10_median_wnorPRjfm, 7_lag_traBO, 1_lag_17_median_traIT, 1_lag_8_median_amoSSTmjjaso, 10_lag_atlSICsep, 1_lag_4_median_alpi_2145_1"
LRforcedPSO,4,6,nppc2SSTjfm,slow,1718.5,2005.5,0.4,19,1,1,17.295748525932204,-0.24840565638961104,2275,"['14_lag_seurTSjfm', '11_lag_traMC', '1_lag_15_median_shSICsep', '17_lag_traEC', '3_lag_traFSC', '15_lag_satlSSTjfm']","[1.9570006307945618, 1.9581259640404858, 2.328019153059936, 2.5578735582037804, 2.6092174087228748, 1.9570083502897693]","14_lag_seurTSjfm, 11_lag_traMC, 1_lag_15_median_shSICsep, 17_lag_traEC, 3_lag_traFSC, 15_lag_satlSSTjfm_2275_1"
LRforcedPSO,5,6,nppc2SSTjfm,slow,1719.5,2005.5,0.4,20,1,1,16.766379875398563,-0.24986060269326263,2405,"['3_lag_traBO', '6_lag_gyreSSTjfm', '1_lag_2_median_scpPSLjfm', '1_lag_stratZ50ndj04', '5_lag_traDS', '1_lag_2_median_arcTSjfm']","[2.1897254066165637, 1.862580526018983, 1.8625808686193535, 1.8625805279694927, 2.4834406986942468, 1.862581679993314]","3_lag_traBO, 6_lag_gyreSSTjfm, 1_lag_2_median_scpPSLjfm, 1_lag_stratZ50ndj04, 5_lag_traDS, 1_lag_2_median_arcTSjfm_2405_1"
LRforcedPSO,6,6,nppc2SSTjfm,slow,1720.5,2005.5,0.4,21,1,1,13.064014667980388,0.22989185815681973,2535,"['1_lag_4_median_tripol2', '4_lag_traCA', '9_lag_traFS', '1_lag_16_median_amo1', '1_lag_12_median_ismPRjja', '2_lag_traDS']","[1.938116516766307, 4.39920418525265, 0.08709028104205707, 1.470912353175084, 3.2494732657309644, 3.5035211610324914]","1_lag_4_median_tripol2, 4_lag_traCA, 9_lag_traFS, 1_lag_16_median_amo1, 1_lag_12_median_ismPRjja, 2_lag_traDS_2535_1"
LRforcedPSO,7,6,nppc2SSTjfm,slow,1721.5,2005.5,0.4,22,1,1,17.228300025972647,-0.2389367037564317,2665,"['1_lag_17_median_atlSICsep', '1_lag_2_median_atlSICsep', '1_lag_8_median_neurTSjfm', '1_lag_21_median_wnorPRjfm', '1_lag_11_median_ismPRjja', '19_lag_amo1']","[1.7803465655157134, 1.7955009772919892, 1.9074976159031525, 1.7162578164980438, 2.287578985019051, 2.2109448151926454]","1_lag_17_median_atlSICsep, 1_lag_2_median_atlSICsep, 1_lag_8_median_neurTSjfm, 1_lag_21_median_wnorPRjfm, 1_lag_11_median_ismPRjja, 19_lag_amo1_2665_1"
LRforcedPSO,8,6,nppc2SSTjfm,slow,1722.5,2005.5,0.4,23,1,1,16.00345087892473,-0.010953965455673877,2795,"['1_lag_21_median_nhTSjfm', '10_lag_mhfATL30', '1_lag_22_median_nhTSjfm', '1_lag_glTSjfm', '1_lag_11_median_atlSICjfm', '1_lag_8_median_glomaSSTjfm']","[6.959737355659383, 0.3569357565305644, 8.018985652931004, 5.672643471854645, 0.815327971351774, 4.46697514597115]","1_lag_21_median_nhTSjfm, 10_lag_mhfATL30, 1_lag_22_median_nhTSjfm, 1_lag_glTSjfm, 1_lag_11_median_atlSICjfm, 1_lag_8_median_glomaSSTjfm_2795_1"
LRforcedPSO,9,6,nppc2SSTjfm,slow,1723.5,2005.5,0.4,24,1,1,23.317384483530983,-0.31926100075802827,2925,"['18_lag_stratZ50ndj02', '1_lag_7_median_nchinaPRjja', '1_lag_9_median_nppc3SSTjfm', '1_lag_14_median_amoSSTmjjaso', '12_lag_shSICmar', '1_lag_15_median_glomaSSTjfm']","[2.389013122022279, 6.885171821990088, 0.5622013677066953, 2.369022927982747, 2.7383654156044592, 3.7613041282325543]","18_lag_stratZ50ndj02, 1_lag_7_median_nchinaPRjja, 1_lag_9_median_nppc3SSTjfm, 1_lag_14_median_amoSSTmjjaso, 12_lag_shSICmar, 1_lag_15_median_glomaSSTjfm_2925_1"
