model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,nppc3SSTjfm,slow,866.5,2005.5,0.4,15,5,5,9.874926276304455,0.09229236028705365,1235,"['5_lag_8_median_traIT', '11_lag_atlSICjfm', '13_lag_seurTSjfm', '5_lag_14_median_atlSICjfm', '5_lag_8_median_mhfATL45', '5_lag_satlSSTjfm', '11_lag_AMOCann', '9_lag_atlSICjfm', '12_lag_satlSSTjfm', '9_lag_shSICsep']","[0.12319294450536586, 0.04695110324890654, 0.03729582177718346, 0.1164869386988842, 0.12384662573849976, 0.09931033614997273, 0.041483223480712754, 0.027708016822227614, 0.042678954745053815, 0.00041897735956945154]","5_lag_8_median_traIT, 11_lag_atlSICjfm, 13_lag_seurTSjfm, 5_lag_14_median_atlSICjfm, 5_lag_8_median_mhfATL45, 5_lag_satlSSTjfm, 11_lag_AMOCann, 9_lag_atlSICjfm, 12_lag_satlSSTjfm, 9_lag_shSICsep_1235_5"
LinearRegression,1,10,nppc3SSTjfm,slow,867.5,2005.5,0.4,16,6,6,10.146479223967711,0.07313110305896037,1235,"['9_lag_traFSC', '6_lag_11_median_traIFC', '6_lag_11_median_ormenSSTjfm', '9_lag_atlSICjfm', '6_lag_traFB', '6_lag_11_median_traBO', '12_lag_ginwSSTjfm', '15_lag_traIT', '6_lag_naoPSLjfm', '6_lag_mhfATL30']","[0.13057806624090187, 0.025090870896736436, 0.16246580008990213, 0.06558394046990565, 0.03435549219511366, 0.05452264762728441, 0.025041889872323975, 0.06362212657171329, 0.030578161404431873, 0.07831903435682902]","9_lag_traFSC, 6_lag_11_median_traIFC, 6_lag_11_median_ormenSSTjfm, 9_lag_atlSICjfm, 6_lag_traFB, 6_lag_11_median_traBO, 12_lag_ginwSSTjfm, 15_lag_traIT, 6_lag_naoPSLjfm, 6_lag_mhfATL30_1235_6"
LinearRegression,2,10,nppc3SSTjfm,slow,868.5,2005.5,0.4,17,7,7,10.227376241674222,0.06823893081047944,1235,"['12_lag_neurTSjfm', '7_lag_tripol1', '14_lag_atlSICsep', '7_lag_11_median_ormenSSTjfm', '14_lag_atlSICjfm', '14_lag_traEC', '7_lag_stratZ50ndj01', '16_lag_traWP', '7_lag_14_median_naoPSLjfm', '7_lag_14_median_nppc2SSTjfm']","[0.07211388091205888, 0.004543205060119682, 0.032318725061264195, 0.13508525374163113, 0.08653030010841319, 0.06862590873664558, 0.017083515955239353, 0.07946739991524107, 0.3202604284775737, 0.04633104662522162]","12_lag_neurTSjfm, 7_lag_tripol1, 14_lag_atlSICsep, 7_lag_11_median_ormenSSTjfm, 14_lag_atlSICjfm, 14_lag_traEC, 7_lag_stratZ50ndj01, 16_lag_traWP, 7_lag_14_median_naoPSLjfm, 7_lag_14_median_nppc2SSTjfm_1235_7"
LinearRegression,3,10,nppc3SSTjfm,slow,869.5,2005.5,0.4,18,8,8,10.355962866309305,-0.0021663160167803377,1235,"['14_lag_traEC', '8_lag_11_median_alpi', '14_lag_atlSICsep', '16_lag_scpPSLjfm', '8_lag_eapPSLjfm', '8_lag_ormenSSTjfm', '8_lag_13_median_samPSLann', '12_lag_amoSSTmjjaso', '16_lag_traWP', '8_lag_15_median_atlSICjfm']","[0.0407900051914156, 0.08241953160664799, 0.04306596116752315, 0.051192461551600135, 0.017107545589213183, 0.0692469983915498, 0.1694612961216625, 0.025547133876851383, 0.08872134895640675, 0.26630821983848474]","14_lag_traEC, 8_lag_11_median_alpi, 14_lag_atlSICsep, 16_lag_scpPSLjfm, 8_lag_eapPSLjfm, 8_lag_ormenSSTjfm, 8_lag_13_median_samPSLann, 12_lag_amoSSTmjjaso, 16_lag_traWP, 8_lag_15_median_atlSICjfm_1235_8"
LinearRegression,4,10,nppc3SSTjfm,slow,870.5,2005.5,0.4,19,9,9,10.574511845472147,-0.0878414333379317,1235,"['17_lag_amo1', '9_lag_16_median_atlSICjfm', '11_lag_nhSICsep', '12_lag_amoSSTmjjaso', '15_lag_naoPSLjfm', '12_lag_cetTSjfm', '16_lag_scpPSLjfm', '9_lag_ormenSSTjfm', '16_lag_traWP', '15_lag_shSICsep']","[0.05394821406509748, 0.26251661470403825, 0.07647447381740669, 0.01945482361364527, 0.0479731154907035, 0.043839332921736696, 0.06281018576474724, 0.08490738745003439, 0.08160865338266997, 0.010459753843020864]","17_lag_amo1, 9_lag_16_median_atlSICjfm, 11_lag_nhSICsep, 12_lag_amoSSTmjjaso, 15_lag_naoPSLjfm, 12_lag_cetTSjfm, 16_lag_scpPSLjfm, 9_lag_ormenSSTjfm, 16_lag_traWP, 15_lag_shSICsep_1235_9"
LinearRegression,5,10,nppc3SSTjfm,slow,871.5,2005.5,0.4,20,10,10,10.032316288644806,-0.04435286968299919,1235,"['10_lag_13_median_stratZ50ndj03', '15_lag_nhSICjfm', '10_lag_13_median_neurTSjfm', '19_lag_naoPSLjfm', '10_lag_13_median_satlSSTjfm', '16_lag_traWP', '10_lag_15_median_shSICmar', '10_lag_15_median_traFS', '19_lag_shSICsep', '16_lag_scpPSLjfm']","[0.11468475132612288, 0.04075071567593275, 0.06845871322324049, 0.04455521956144638, 0.077893032542891, 0.06363620295203339, 0.02706330120395683, 0.09094860618986687, 0.016512113178581565, 0.06374043980256519]","10_lag_13_median_stratZ50ndj03, 15_lag_nhSICjfm, 10_lag_13_median_neurTSjfm, 19_lag_naoPSLjfm, 10_lag_13_median_satlSSTjfm, 16_lag_traWP, 10_lag_15_median_shSICmar, 10_lag_15_median_traFS, 19_lag_shSICsep, 16_lag_scpPSLjfm_1235_10"
LinearRegression,6,10,nppc3SSTjfm,slow,872.5,2005.5,0.4,21,11,11,10.216244110045782,-0.033078690114148906,1235,"['11_lag_16_median_atlSICsep', '19_lag_shSICsep', '14_lag_shSICsep', '16_lag_traWP', '11_lag_15_median_traIT', '18_lag_amoSSTmjjaso', '20_lag_traDP', '11_lag_20_median_wnorPRjfm', '16_lag_scpPSLjfm', '11_lag_mhfATL60']","[0.008340608974868153, 0.011350090018716624, 0.031062513527626782, 0.04143231937782638, 0.10475938243133057, 0.10646934269900199, 0.027831148174382373, 0.3176003956023633, 0.05909671374880827, 0.029760174186589227]","11_lag_16_median_atlSICsep, 19_lag_shSICsep, 14_lag_shSICsep, 16_lag_traWP, 11_lag_15_median_traIT, 18_lag_amoSSTmjjaso, 20_lag_traDP, 11_lag_20_median_wnorPRjfm, 16_lag_scpPSLjfm, 11_lag_mhfATL60_1235_11"
LinearRegression,7,10,nppc3SSTjfm,slow,873.5,2005.5,0.4,22,12,12,9.850576578188793,0.09358806983553646,1235,"['17_lag_satlSSTjfm', '12_lag_15_median_mhfATL30', '20_lag_amo2', '12_lag_17_median_stratZ50ndj01', '12_lag_16_median_stratZ50ndj01', '15_lag_neurTSjfm', '21_lag_stratZ50ndj01', '15_lag_mhfATL30', '20_lag_traDP', '12_lag_15_median_stratZ50ndj03']","[0.06314806855438863, 0.04611736621281992, 0.06380695358627167, 0.1927281359423044, 0.052430479487480225, 0.05451750524591931, 0.0588900574203668, 0.05836553732471244, 0.036425993928623904, 0.09513246685498537]","17_lag_satlSSTjfm, 12_lag_15_median_mhfATL30, 20_lag_amo2, 12_lag_17_median_stratZ50ndj01, 12_lag_16_median_stratZ50ndj01, 15_lag_neurTSjfm, 21_lag_stratZ50ndj01, 15_lag_mhfATL30, 20_lag_traDP, 12_lag_15_median_stratZ50ndj03_1235_12"
LinearRegression,8,10,nppc3SSTjfm,slow,874.5,2005.5,0.4,23,13,13,10.139896078340152,-0.09619894016914782,1235,"['13_lag_gyreSSTjfm', '13_lag_20_median_samPSLann', '13_lag_17_median_scpPSLjfm', '22_lag_tripol3', '13_lag_scpPSLjfm', '16_lag_scpPSLjfm', '21_lag_stratZ50ndj01', '13_lag_nhSICsep', '21_lag_amoSSTmjjaso', '13_lag_18_median_scpPSLjfm']","[0.004005088765961097, 0.09782587960105664, 0.06849016431414176, 0.11242329837106257, 0.08658079997408713, 0.02124246952477486, 0.07185133240013403, 0.08064586993244145, 0.116089891097158, 0.08369216744381779]","13_lag_gyreSSTjfm, 13_lag_20_median_samPSLann, 13_lag_17_median_scpPSLjfm, 22_lag_tripol3, 13_lag_scpPSLjfm, 16_lag_scpPSLjfm, 21_lag_stratZ50ndj01, 13_lag_nhSICsep, 21_lag_amoSSTmjjaso, 13_lag_18_median_scpPSLjfm_1235_13"
LinearRegression,9,10,nppc3SSTjfm,slow,875.5,2005.5,0.4,24,14,14,10.829463865590956,-0.27204837746362354,1235,"['23_lag_mhfATL30', '14_lag_23_median_nchinaPRjja', '14_lag_18_median_stratZ50ndj03', '14_lag_17_median_scpPSLjfm', '14_lag_17_median_traTLS', '22_lag_naoPSLjfm', '23_lag_naoPSLjfm', '14_lag_traDP', '20_lag_traIT', '14_lag_nhSICsep']","[0.031570618969694694, 0.2196849771750521, 0.06801283321313302, 0.16736365135187686, 0.050161603123062615, 0.02512914746070721, 0.0002773551379303893, 0.0671532006633759, 0.054067958689847845, 0.14248557106841261]","23_lag_mhfATL30, 14_lag_23_median_nchinaPRjja, 14_lag_18_median_stratZ50ndj03, 14_lag_17_median_scpPSLjfm, 14_lag_17_median_traTLS, 22_lag_naoPSLjfm, 23_lag_naoPSLjfm, 14_lag_traDP, 20_lag_traIT, 14_lag_nhSICsep_1235_14"
