model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,ormenSSTjfm,slow,866.5,2005.5,0.6,15,5,5,13.232571248689851,0.3019658861015686,1235,"['9_lag_cetTSjfm', '5_lag_10_median_stratZ50ndj02', '5_lag_14_median_traWP', '5_lag_satlSSTjfm', '5_lag_9_median_traMC', '5_lag_11_median_stratZ50ndj03', '5_lag_14_median_stratZ50ndj04', '5_lag_9_median_tripol1', '5_lag_9_median_seurTSjfm', '5_lag_8_median_traBO', '5_lag_nhTSjfm', '5_lag_14_median_nhTSjfm', '5_lag_10_median_arcTSjfm', '10_lag_shSICsep', '10_lag_traDP', '8_lag_traFB', '5_lag_14_median_traFB', '5_lag_14_median_naoPSLjfm', '5_lag_11_median_AMOCann', '5_lag_8_median_tripol1', '8_lag_mhfATL45', '11_lag_traTLS', '10_lag_gyreSSTjfm', '5_lag_10_median_atlSICsep', '5_lag_8_median_traFS', '5_lag_12_median_traBS', '5_lag_14_median_stratZ50ndj01', '5_lag_11_median_wnorPRjfm', '5_lag_8_median_mhfATL60', '5_lag_14_median_amo3']","[0.11032324854167043, 0.002031891516965173, 0.25853629897597113, 0.020503776032605853, 0.004584237655420124, 0.17600624869826978, 0.06011166618704921, 0.10656745289305508, 0.10707603034052984, 0.23272321802655926, 0.04400330049478361, 0.24539771026406584, 0.34577076276974056, 0.0029296128568852106, 0.030613697673856622, 0.13107299796077376, 0.34755250529655063, 0.05089315059477847, 0.2254576288519028, 0.1544975104847555, 0.07555758770408175, 0.07422589283484751, 0.0313232258877091, 0.05901699551444427, 0.08370825963477464, 0.05056700076391547, 0.2046866209829043, 0.013270249620376054, 0.011452881509362564, 0.030614415033406138]","9_lag_cetTSjfm, 5_lag_10_median_stratZ50ndj02, 5_lag_14_median_traWP, 5_lag_satlSSTjfm, 5_lag_9_median_traMC, 5_lag_11_median_stratZ50ndj03, 5_lag_14_median_stratZ50ndj04, 5_lag_9_median_tripol1, 5_lag_9_median_seurTSjfm, 5_lag_8_median_traBO, 5_lag_nhTSjfm, 5_lag_14_median_nhTSjfm, 5_lag_10_median_arcTSjfm, 10_lag_shSICsep, 10_lag_traDP, 8_lag_traFB, 5_lag_14_median_traFB, 5_lag_14_median_naoPSLjfm, 5_lag_11_median_AMOCann, 5_lag_8_median_tripol1, 8_lag_mhfATL45, 11_lag_traTLS, 10_lag_gyreSSTjfm, 5_lag_10_median_atlSICsep, 5_lag_8_median_traFS, 5_lag_12_median_traBS, 5_lag_14_median_stratZ50ndj01, 5_lag_11_median_wnorPRjfm, 5_lag_8_median_mhfATL60, 5_lag_14_median_amo3_1235_5"
LinearRegression,1,30,ormenSSTjfm,slow,867.5,2005.5,0.6,16,6,6,12.891908031875444,0.318223990974297,1235,"['6_lag_11_median_ismPRjja', '6_lag_10_median_seurTSjfm', '6_lag_12_median_stratZ50ndj02', '11_lag_labSSTjfm', '6_lag_15_median_labSSTjfm', '6_lag_11_median_stratZ50ndj03', '6_lag_14_median_shSICsep', '6_lag_13_median_traIFC', '6_lag_11_median_amo1', '6_lag_13_median_mhfATL45', '6_lag_14_median_stratZ50ndj01', '6_lag_14_median_amo3', '6_lag_amo3', '6_lag_9_median_stratZ50ndj03', '6_lag_15_median_amo3', '6_lag_11_median_traEC', '6_lag_11_median_traIFC', '15_lag_cetTSjfm', '6_lag_9_median_traBO', '11_lag_amo1', '6_lag_15_median_traTLS', '6_lag_15_median_traIFC', '10_lag_gyreSSTjfm', '6_lag_10_median_alpi', '6_lag_11_median_wnorPRjfm', '6_lag_13_median_arcTSjfm', '6_lag_14_median_yrvPRjja', '6_lag_11_median_nhSICsep', '6_lag_10_median_eurPSLjfm', '6_lag_15_median_traMC']","[0.01642338052189972, 0.010827710128340273, 0.04009840933042923, 0.061600563260551015, 0.1358179748966022, 0.12008869806442776, 0.015962344245878737, 0.10231835617607038, 0.1627985408727186, 0.014071872202909282, 0.061514871141145046, 0.27822135565124845, 0.03916640954932682, 0.03606183142367135, 0.36335498804577027, 0.08390899279343844, 0.08652001312921107, 0.05656903534166971, 0.17561595806655897, 0.13745202305372756, 0.30363202657956473, 0.19324774875545486, 0.027718735425925598, 0.10193272926183174, 0.10404662057989797, 0.16472747452592001, 0.15384352451904976, 0.173717416743096, 0.037806499450517214, 0.15928918136203762]","6_lag_11_median_ismPRjja, 6_lag_10_median_seurTSjfm, 6_lag_12_median_stratZ50ndj02, 11_lag_labSSTjfm, 6_lag_15_median_labSSTjfm, 6_lag_11_median_stratZ50ndj03, 6_lag_14_median_shSICsep, 6_lag_13_median_traIFC, 6_lag_11_median_amo1, 6_lag_13_median_mhfATL45, 6_lag_14_median_stratZ50ndj01, 6_lag_14_median_amo3, 6_lag_amo3, 6_lag_9_median_stratZ50ndj03, 6_lag_15_median_amo3, 6_lag_11_median_traEC, 6_lag_11_median_traIFC, 15_lag_cetTSjfm, 6_lag_9_median_traBO, 11_lag_amo1, 6_lag_15_median_traTLS, 6_lag_15_median_traIFC, 10_lag_gyreSSTjfm, 6_lag_10_median_alpi, 6_lag_11_median_wnorPRjfm, 6_lag_13_median_arcTSjfm, 6_lag_14_median_yrvPRjja, 6_lag_11_median_nhSICsep, 6_lag_10_median_eurPSLjfm, 6_lag_15_median_traMC_1235_6"
LinearRegression,2,30,ormenSSTjfm,slow,868.5,2005.5,0.6,17,7,7,13.292944236009083,0.28887540936938777,1235,"['7_lag_10_median_mhfATL45', '15_lag_neurTSjfm', '7_lag_16_median_traEU', '14_lag_nppc2SSTjfm', '10_lag_amo1', '7_lag_11_median_arcTSjfm', '7_lag_11_median_alpi', '7_lag_11_median_shSICmar', '15_lag_ensoSSTjfm', '10_lag_nhSICjfm', '14_lag_shTSjfm', '11_lag_amo3', '7_lag_12_median_nppc3SSTjfm', '9_lag_tripol1', '7_lag_12_median_atlSICsep', '7_lag_13_median_traWP', '11_lag_amo1', '7_lag_14_median_arcTSjfm', '12_lag_ormenSSTjfm', '7_lag_16_median_traTLS', '7_lag_amo3', '11_lag_labSSTjfm', '7_lag_15_median_yrvPRjja', '7_lag_13_median_AMOCann', '7_lag_14_median_mhfATL45', '7_lag_10_median_seurTSjfm', '10_lag_gyreSSTjfm', '7_lag_13_median_traCA', '7_lag_16_median_naoPSLjfm', '7_lag_10_median_amo1']","[0.015705935891427297, 0.010262461056344666, 0.08690862083535741, 0.04664927919024369, 0.12190952573032054, 0.07658484602987467, 0.1265496824056237, 0.034264552076760095, 0.04922685495834005, 0.04539150831116502, 0.07926423504244058, 0.014200875620139207, 0.04620380540417197, 0.006175626451775691, 0.008509834184853196, 0.11505042581344559, 0.045140519470150596, 0.16187384800744833, 0.011677153893144698, 0.4356144676954259, 0.015288794369244532, 0.16262735145537272, 0.26772207666412157, 0.1468873465286606, 0.08132165647537942, 0.09600073837328692, 0.007469049023971289, 0.2190141597863372, 0.013723262468056496, 0.11155859120370927]","7_lag_10_median_mhfATL45, 15_lag_neurTSjfm, 7_lag_16_median_traEU, 14_lag_nppc2SSTjfm, 10_lag_amo1, 7_lag_11_median_arcTSjfm, 7_lag_11_median_alpi, 7_lag_11_median_shSICmar, 15_lag_ensoSSTjfm, 10_lag_nhSICjfm, 14_lag_shTSjfm, 11_lag_amo3, 7_lag_12_median_nppc3SSTjfm, 9_lag_tripol1, 7_lag_12_median_atlSICsep, 7_lag_13_median_traWP, 11_lag_amo1, 7_lag_14_median_arcTSjfm, 12_lag_ormenSSTjfm, 7_lag_16_median_traTLS, 7_lag_amo3, 11_lag_labSSTjfm, 7_lag_15_median_yrvPRjja, 7_lag_13_median_AMOCann, 7_lag_14_median_mhfATL45, 7_lag_10_median_seurTSjfm, 10_lag_gyreSSTjfm, 7_lag_13_median_traCA, 7_lag_16_median_naoPSLjfm, 7_lag_10_median_amo1_1235_7"
LinearRegression,3,30,ormenSSTjfm,slow,869.5,2005.5,0.6,18,8,8,13.640982254498706,0.13803585152646658,1235,"['13_lag_cetTSjfm', '11_lag_amo3', '8_lag_12_median_ismPRjja', '8_lag_17_median_eurPSLjfm', '12_lag_gyreSSTjfm', '15_lag_seurTSjfm', '8_lag_12_median_ensoSSTjfm', '16_lag_traDP', '8_lag_17_median_traDS', '8_lag_17_median_amo1', '8_lag_13_median_satlSSTjfm', '11_lag_nhSICsep', '8_lag_13_median_AMOCann', '12_lag_ginwSSTjfm', '10_lag_nppc3SSTjfm', '12_lag_cetTSjfm', '8_lag_13_median_wnorPRjfm', '15_lag_eapPSLjfm', '8_lag_15_median_traEC', '8_lag_11_median_glTSjfm', '8_lag_12_median_stratZ50ndj02', '11_lag_labSSTjfm', '11_lag_amo1', '8_lag_12_median_nchinaPRjja', '8_lag_17_median_traEU', '8_lag_17_median_neurTSjfm', '12_lag_nhTSjfm', '8_lag_11_median_traTLS', '8_lag_17_median_eapPSLjfm', '8_lag_11_median_amo1']","[0.02482798888094521, 0.01711030099174872, 0.05830045238916614, 0.0009356650356508815, 0.03788895371312932, 0.0035540921479591072, 0.18238371796393174, 0.029117807810566453, 0.17846714810015213, 0.09322104759005291, 0.1440246679827882, 0.04879396197641484, 0.11872686566682161, 0.033455388003861816, 0.032750289304499636, 0.08079927845790191, 0.04469658371160351, 0.10190562153175543, 0.0028136097834906347, 0.0585153020786443, 0.03973653103279774, 0.14500826423310303, 0.0728843694609459, 0.0804375448887791, 0.14002434382433118, 0.03851443991620328, 0.1327498468564966, 0.21165815253921594, 0.12595622523195268, 0.12558247695376265]","13_lag_cetTSjfm, 11_lag_amo3, 8_lag_12_median_ismPRjja, 8_lag_17_median_eurPSLjfm, 12_lag_gyreSSTjfm, 15_lag_seurTSjfm, 8_lag_12_median_ensoSSTjfm, 16_lag_traDP, 8_lag_17_median_traDS, 8_lag_17_median_amo1, 8_lag_13_median_satlSSTjfm, 11_lag_nhSICsep, 8_lag_13_median_AMOCann, 12_lag_ginwSSTjfm, 10_lag_nppc3SSTjfm, 12_lag_cetTSjfm, 8_lag_13_median_wnorPRjfm, 15_lag_eapPSLjfm, 8_lag_15_median_traEC, 8_lag_11_median_glTSjfm, 8_lag_12_median_stratZ50ndj02, 11_lag_labSSTjfm, 11_lag_amo1, 8_lag_12_median_nchinaPRjja, 8_lag_17_median_traEU, 8_lag_17_median_neurTSjfm, 12_lag_nhTSjfm, 8_lag_11_median_traTLS, 8_lag_17_median_eapPSLjfm, 8_lag_11_median_amo1_1235_8"
LinearRegression,4,30,ormenSSTjfm,slow,870.5,2005.5,0.6,19,9,9,13.506585182626809,0.18403165264070986,1235,"['9_lag_18_median_traWP', '9_lag_17_median_nppc3SSTjfm', '9_lag_12_median_nppc3SSTjfm', '9_lag_13_median_seurTSjfm', '9_lag_16_median_amoSSTmjjaso', '9_lag_13_median_nhTSjfm', '9_lag_14_median_traFSC', '9_lag_17_median_atlSICjfm', '9_lag_15_median_traIFC', '9_lag_15_median_traEU', '9_lag_18_median_arcTSjfm', '11_lag_amo1', '9_lag_17_median_neurTSjfm', '16_lag_ensoSSTjfm', '17_lag_labSSTjfm', '18_lag_nhTSjfm', '16_lag_amo1', '9_lag_ensoSSTjfm', '9_lag_12_median_traFSC', '13_lag_gyreSSTjfm', '9_lag_18_median_nppc3SSTjfm', '9_lag_17_median_ismPRjja', '9_lag_18_median_atlSICjfm', '13_lag_amoSSTmjjaso', '9_lag_18_median_satlSSTjfm', '17_lag_amo2', '14_lag_nppc3SSTjfm', '9_lag_16_median_arcTSjfm', '9_lag_17_median_traEU', '9_lag_14_median_traEC']","[0.0829499715336297, 0.27140655345410986, 0.019527858701713828, 0.06056663385262164, 0.11105135097936059, 0.005072125108850422, 0.08104454034789621, 0.10383817717013194, 0.16469523906053457, 0.4186098574438891, 0.194996025169669, 0.09126843162321736, 0.1413260741192254, 0.009599685302986391, 0.06270505594336928, 0.06594360297549262, 0.11534699101888353, 0.005684064583045562, 0.16753813326068773, 0.009538267101498216, 0.4160392971496941, 0.1362167478978145, 0.32709793671962656, 0.15832389346220926, 0.08255338057685728, 0.003532569776255684, 0.056312105684114475, 0.3568038327084152, 0.6689273566938366, 0.07464953640184747]","9_lag_18_median_traWP, 9_lag_17_median_nppc3SSTjfm, 9_lag_12_median_nppc3SSTjfm, 9_lag_13_median_seurTSjfm, 9_lag_16_median_amoSSTmjjaso, 9_lag_13_median_nhTSjfm, 9_lag_14_median_traFSC, 9_lag_17_median_atlSICjfm, 9_lag_15_median_traIFC, 9_lag_15_median_traEU, 9_lag_18_median_arcTSjfm, 11_lag_amo1, 9_lag_17_median_neurTSjfm, 16_lag_ensoSSTjfm, 17_lag_labSSTjfm, 18_lag_nhTSjfm, 16_lag_amo1, 9_lag_ensoSSTjfm, 9_lag_12_median_traFSC, 13_lag_gyreSSTjfm, 9_lag_18_median_nppc3SSTjfm, 9_lag_17_median_ismPRjja, 9_lag_18_median_atlSICjfm, 13_lag_amoSSTmjjaso, 9_lag_18_median_satlSSTjfm, 17_lag_amo2, 14_lag_nppc3SSTjfm, 9_lag_16_median_arcTSjfm, 9_lag_17_median_traEU, 9_lag_14_median_traEC_1235_9"
LinearRegression,5,30,ormenSSTjfm,slow,871.5,2005.5,0.6,20,10,10,14.194156797716243,0.09338883627568875,1235,"['10_lag_19_median_nppc3SSTjfm', '10_lag_15_median_shSICmar', '18_lag_amo1', '10_lag_17_median_ginwSSTjfm', '10_lag_19_median_ormenSSTjfm', '10_lag_18_median_atlSICjfm', '10_lag_15_median_ismPRjja', '10_lag_17_median_nhTSjfm', '10_lag_15_median_traMC', '10_lag_16_median_mhfATL30', '15_lag_cetTSjfm', '10_lag_18_median_tripol2', '10_lag_19_median_nhSICjfm', '10_lag_16_median_traCA', '10_lag_16_median_arcTSjfm', '10_lag_17_median_arcTSjfm', '10_lag_16_median_traFB', '10_lag_19_median_amo3', '10_lag_15_median_tripol3', '16_lag_gyreSSTjfm', '10_lag_18_median_satlSSTjfm', '18_lag_nhTSjfm', '10_lag_19_median_atlSICjfm', '15_lag_nppc3SSTjfm', '10_lag_18_median_traEU', '10_lag_15_median_stratZ50ndj03', '10_lag_17_median_traEU', '10_lag_19_median_stratZ50ndj01', '10_lag_14_median_alpi', '10_lag_19_median_satlSSTjfm']","[0.14907774066858187, 0.022321088809671215, 0.09940868502317544, 0.1623831580056097, 0.05154836836167694, 0.05701310840062098, 0.042160059596174006, 0.37019285346333525, 0.10960569467667133, 0.1382978901581608, 0.04964016498861604, 0.24817559054809032, 0.22368014181592863, 0.16460134567226006, 0.4115062201386839, 0.13447690010360258, 0.2597473829178482, 0.015775454990895613, 0.05678899112766848, 0.06541354379278415, 0.5274498578387274, 0.022430717964103, 0.09384478389248596, 0.12531770938435563, 0.05033043155072362, 0.06946766100783727, 0.21250162540815798, 0.18275089859541047, 0.1044364919801009, 0.7505269520587087]","10_lag_19_median_nppc3SSTjfm, 10_lag_15_median_shSICmar, 18_lag_amo1, 10_lag_17_median_ginwSSTjfm, 10_lag_19_median_ormenSSTjfm, 10_lag_18_median_atlSICjfm, 10_lag_15_median_ismPRjja, 10_lag_17_median_nhTSjfm, 10_lag_15_median_traMC, 10_lag_16_median_mhfATL30, 15_lag_cetTSjfm, 10_lag_18_median_tripol2, 10_lag_19_median_nhSICjfm, 10_lag_16_median_traCA, 10_lag_16_median_arcTSjfm, 10_lag_17_median_arcTSjfm, 10_lag_16_median_traFB, 10_lag_19_median_amo3, 10_lag_15_median_tripol3, 16_lag_gyreSSTjfm, 10_lag_18_median_satlSSTjfm, 18_lag_nhTSjfm, 10_lag_19_median_atlSICjfm, 15_lag_nppc3SSTjfm, 10_lag_18_median_traEU, 10_lag_15_median_stratZ50ndj03, 10_lag_17_median_traEU, 10_lag_19_median_stratZ50ndj01, 10_lag_14_median_alpi, 10_lag_19_median_satlSSTjfm_1235_10"
LinearRegression,6,30,ormenSSTjfm,slow,872.5,2005.5,0.6,21,11,11,13.826698799704086,0.08282356461816669,1235,"['20_lag_traDP', '11_lag_17_median_traMC', '11_lag_labSSTjfm', '13_lag_mhfATL30', '11_lag_14_median_traEC', '11_lag_15_median_traFSC', '18_lag_labSSTjfm', '11_lag_14_median_seurTSjfm', '11_lag_14_median_mhfATL60', '11_lag_18_median_scpPSLjfm', '11_lag_20_median_traEC', '11_lag_18_median_shTSjfm', '11_lag_20_median_shSICmar', '18_lag_amo1', '11_lag_17_median_naoPSLjfm', '11_lag_20_median_satlSSTjfm', '11_lag_15_median_alpi', '19_lag_samPSLann', '11_lag_14_median_ismPRjja', '11_lag_14_median_tripol3', '11_lag_18_median_wnorPRjfm', '11_lag_14_median_yrvPRjja', '11_lag_14_median_amo3', '11_lag_18_median_arcTSjfm', '11_lag_14_median_stratZ50ndj01', '11_lag_15_median_shSICmar', '16_lag_amo1', '11_lag_17_median_mhfATL30', '11_lag_15_median_traBS', '11_lag_16_median_traCA']","[0.08974086347031898, 0.10009499498963773, 0.15516076865625572, 0.07705153658617077, 0.03565094283853095, 0.0765699535786055, 0.02664219411705685, 0.10845842820928535, 0.16160913524833265, 0.016738570229589477, 0.07898242570949982, 0.33379949540963677, 0.09082798009493605, 0.12130622207660922, 0.2268034981338237, 0.1281000634119258, 0.05628604523368794, 0.02197515945654509, 0.0528648382538993, 0.009801633489950288, 0.30236970102226557, 0.08781361113273817, 0.012235241624751918, 0.3341001500797714, 0.15467314430675383, 0.1301586755400418, 0.07825452448327368, 0.07992535330778072, 0.007510303804274372, 0.08270922660589615]","20_lag_traDP, 11_lag_17_median_traMC, 11_lag_labSSTjfm, 13_lag_mhfATL30, 11_lag_14_median_traEC, 11_lag_15_median_traFSC, 18_lag_labSSTjfm, 11_lag_14_median_seurTSjfm, 11_lag_14_median_mhfATL60, 11_lag_18_median_scpPSLjfm, 11_lag_20_median_traEC, 11_lag_18_median_shTSjfm, 11_lag_20_median_shSICmar, 18_lag_amo1, 11_lag_17_median_naoPSLjfm, 11_lag_20_median_satlSSTjfm, 11_lag_15_median_alpi, 19_lag_samPSLann, 11_lag_14_median_ismPRjja, 11_lag_14_median_tripol3, 11_lag_18_median_wnorPRjfm, 11_lag_14_median_yrvPRjja, 11_lag_14_median_amo3, 11_lag_18_median_arcTSjfm, 11_lag_14_median_stratZ50ndj01, 11_lag_15_median_shSICmar, 16_lag_amo1, 11_lag_17_median_mhfATL30, 11_lag_15_median_traBS, 11_lag_16_median_traCA_1235_11"
LinearRegression,7,30,ormenSSTjfm,slow,873.5,2005.5,0.6,22,12,12,13.11539996807967,0.25913470829793256,1235,"['12_lag_18_median_amo1', '12_lag_21_median_samPSLann', '12_lag_shTSjfm', '12_lag_17_median_labSSTjfm', '12_lag_18_median_neurTSjfm', '12_lag_21_median_ginwSSTjfm', '12_lag_16_median_nppc2SSTjfm', '12_lag_18_median_ormenSSTjfm', '12_lag_16_median_ormenSSTjfm', '12_lag_18_median_traWP', '12_lag_21_median_amoSSTmjjaso', '16_lag_labSSTjfm', '12_lag_17_median_shSICmar', '12_lag_18_median_traIFC', '12_lag_21_median_traMC', '15_lag_mhfATL45', '12_lag_19_median_wnorPRjfm', '12_lag_21_median_traIT', '12_lag_15_median_eapPSLjfm', '15_lag_nhSICsep', '12_lag_15_median_traCA', '12_lag_18_median_scpPSLjfm', '12_lag_21_median_traTLS', '12_lag_18_median_naoPSLjfm', '12_lag_16_median_traFS', '12_lag_15_median_eurPSLjfm', '12_lag_17_median_mhfIP30', '12_lag_21_median_traFS', '12_lag_19_median_cetTSjfm', '12_lag_15_median_seurTSjfm']","[0.010247170857747883, 0.12735555159197354, 0.13393777269727958, 0.14682707344219054, 0.14593564029110226, 0.011048186602629276, 0.001913453571399523, 0.18489878912257565, 0.24464315705856943, 0.1153525304861382, 0.0698365001133818, 0.0681882048242859, 0.04878379116228044, 0.04798604582348951, 0.030874083339237794, 0.0490237040663783, 0.2201352020535149, 0.22259866290413557, 0.010422516064048828, 0.043200218965241316, 0.10142180814012672, 0.037352399858298385, 0.19997823593071432, 0.24339326395596533, 0.009559817112943023, 0.11306103876334458, 0.04479451464093519, 0.19730541423275302, 0.09189905302184947, 0.1221544662940506]","12_lag_18_median_amo1, 12_lag_21_median_samPSLann, 12_lag_shTSjfm, 12_lag_17_median_labSSTjfm, 12_lag_18_median_neurTSjfm, 12_lag_21_median_ginwSSTjfm, 12_lag_16_median_nppc2SSTjfm, 12_lag_18_median_ormenSSTjfm, 12_lag_16_median_ormenSSTjfm, 12_lag_18_median_traWP, 12_lag_21_median_amoSSTmjjaso, 16_lag_labSSTjfm, 12_lag_17_median_shSICmar, 12_lag_18_median_traIFC, 12_lag_21_median_traMC, 15_lag_mhfATL45, 12_lag_19_median_wnorPRjfm, 12_lag_21_median_traIT, 12_lag_15_median_eapPSLjfm, 15_lag_nhSICsep, 12_lag_15_median_traCA, 12_lag_18_median_scpPSLjfm, 12_lag_21_median_traTLS, 12_lag_18_median_naoPSLjfm, 12_lag_16_median_traFS, 12_lag_15_median_eurPSLjfm, 12_lag_17_median_mhfIP30, 12_lag_21_median_traFS, 12_lag_19_median_cetTSjfm, 12_lag_15_median_seurTSjfm_1235_12"
LinearRegression,8,30,ormenSSTjfm,slow,874.5,2005.5,0.6,23,13,13,13.725761725592333,0.07868272699400916,1235,"['13_lag_16_median_alpi', '18_lag_labSSTjfm', '13_lag_20_median_neurTSjfm', '13_lag_22_median_nchinaPRjja', '13_lag_17_median_nhTSjfm', '13_lag_18_median_amo2', '13_lag_arcTSjfm', '13_lag_21_median_arcTSjfm', '22_lag_nppc3SSTjfm', '13_lag_18_median_traMC', '13_lag_20_median_traWP', '13_lag_22_median_traTLS', '13_lag_18_median_yrvPRjja', '13_lag_22_median_gyreSSTjfm', '13_lag_22_median_arcTSjfm', '13_lag_22_median_samPSLann', '13_lag_18_median_shSICmar', '13_lag_22_median_stratZ50ndj04', '13_lag_18_median_traIFC', '13_lag_20_median_arcTSjfm', '13_lag_22_median_mhfATL45', '13_lag_22_median_traMC', '13_lag_17_median_traEC', '20_lag_gyreSSTjfm', '13_lag_20_median_traBS', '13_lag_16_median_wnorPRjfm', '13_lag_20_median_traIT', '13_lag_18_median_tripol3', '13_lag_20_median_tripol1', '16_lag_mhfATL60']","[0.010671941262422146, 0.08972205180823659, 0.16514542617995023, 0.15404127152009522, 0.19773825684878307, 0.11908441104999812, 0.12419714384704567, 0.1695185920101863, 0.06510049474986819, 0.04461699099745026, 0.14763594183905168, 0.17027307032816547, 0.26262135948244314, 0.06095422515538367, 0.07646056761565122, 0.13749266338172725, 0.05429562094191848, 0.18959183962584736, 0.09527928535016669, 0.10473989002345274, 0.09377687740417552, 0.04102401271617409, 0.04987444806450139, 0.07495600111756791, 0.11781019560996424, 0.046985734920358416, 0.16066721343072463, 0.19360451005359444, 0.11075821979121053, 0.07851582907274667]","13_lag_16_median_alpi, 18_lag_labSSTjfm, 13_lag_20_median_neurTSjfm, 13_lag_22_median_nchinaPRjja, 13_lag_17_median_nhTSjfm, 13_lag_18_median_amo2, 13_lag_arcTSjfm, 13_lag_21_median_arcTSjfm, 22_lag_nppc3SSTjfm, 13_lag_18_median_traMC, 13_lag_20_median_traWP, 13_lag_22_median_traTLS, 13_lag_18_median_yrvPRjja, 13_lag_22_median_gyreSSTjfm, 13_lag_22_median_arcTSjfm, 13_lag_22_median_samPSLann, 13_lag_18_median_shSICmar, 13_lag_22_median_stratZ50ndj04, 13_lag_18_median_traIFC, 13_lag_20_median_arcTSjfm, 13_lag_22_median_mhfATL45, 13_lag_22_median_traMC, 13_lag_17_median_traEC, 20_lag_gyreSSTjfm, 13_lag_20_median_traBS, 13_lag_16_median_wnorPRjfm, 13_lag_20_median_traIT, 13_lag_18_median_tripol3, 13_lag_20_median_tripol1, 16_lag_mhfATL60_1235_13"
LinearRegression,9,30,ormenSSTjfm,slow,875.5,2005.5,0.6,24,14,14,13.634472383904686,0.11700840039743844,1235,"['14_lag_23_median_labSSTjfm', '18_lag_tripol1', '14_lag_23_median_traIFC', '14_lag_22_median_satlSSTjfm', '14_lag_23_median_naoPSLjfm', '14_lag_18_median_nhTSjfm', '22_lag_amo2', '22_lag_atlSICjfm', '22_lag_nppc3SSTjfm', '14_lag_18_median_traIFC', '21_lag_traDP', '14_lag_23_median_traTLS', '14_lag_18_median_traFB', '14_lag_18_median_traFSC', '14_lag_20_median_ismPRjja', '17_lag_tripol3', '20_lag_shTSjfm', '17_lag_amoSSTmjjaso', '14_lag_17_median_eurPSLjfm', '14_lag_17_median_traTLS', '14_lag_21_median_tripol1', '14_lag_21_median_arcTSjfm', '14_lag_amo2', '14_lag_17_median_ismPRjja', '14_lag_17_median_traFS', '14_lag_22_median_traTLS', '14_lag_19_median_nhTSjfm', '14_lag_21_median_mhfATL45', '14_lag_23_median_samPSLann', '14_lag_17_median_AMOCann']","[0.13848674995766042, 0.09455082310485002, 0.07939726500525193, 0.058353115685816526, 0.13241530853948721, 0.28463457491930577, 0.10602482943640329, 0.01860560138129233, 0.08173924510074686, 0.0021126429792540802, 0.034367176633229475, 0.3245829962121622, 0.06970904385248064, 0.07525012731277039, 0.11894914186185324, 0.09768188038420274, 0.0942042788856877, 0.06400347557812783, 0.07025625113034635, 0.11553575920881136, 0.20501886393293622, 0.2611202232702537, 0.09900207377877981, 0.03030314946774211, 0.08675308281470766, 0.09983215329642688, 0.06688396914382315, 0.040202708915878925, 0.3695952536349086, 0.10564453810054358]","14_lag_23_median_labSSTjfm, 18_lag_tripol1, 14_lag_23_median_traIFC, 14_lag_22_median_satlSSTjfm, 14_lag_23_median_naoPSLjfm, 14_lag_18_median_nhTSjfm, 22_lag_amo2, 22_lag_atlSICjfm, 22_lag_nppc3SSTjfm, 14_lag_18_median_traIFC, 21_lag_traDP, 14_lag_23_median_traTLS, 14_lag_18_median_traFB, 14_lag_18_median_traFSC, 14_lag_20_median_ismPRjja, 17_lag_tripol3, 20_lag_shTSjfm, 17_lag_amoSSTmjjaso, 14_lag_17_median_eurPSLjfm, 14_lag_17_median_traTLS, 14_lag_21_median_tripol1, 14_lag_21_median_arcTSjfm, 14_lag_amo2, 14_lag_17_median_ismPRjja, 14_lag_17_median_traFS, 14_lag_22_median_traTLS, 14_lag_19_median_nhTSjfm, 14_lag_21_median_mhfATL45, 14_lag_23_median_samPSLann, 14_lag_17_median_AMOCann_1235_14"
