model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,pdoSSTjfm,slow,866.5,2005.5,0.6,15,1,1,15.516581427113826,0.08083673256051147,1755,"['1_lag_8_median_nhTSjfm', '14_lag_amo2', '1_lag_9_median_nhSICsep', '12_lag_traDP', '4_lag_nhSICjfm', '10_lag_atlSICsep', '7_lag_traEU', '1_lag_12_median_nhSICsep', '1_lag_14_median_traMC', '1_lag_2_median_traIT']","[5.941003841863001, 0.18769473291047234, 6.727507807737641, 0.859792535791911, 1.893574668927286, 3.9946045544983004, 3.8414905468552973, 5.940190732504544, 5.669236674791634, 3.097131486861409]","1_lag_8_median_nhTSjfm, 14_lag_amo2, 1_lag_9_median_nhSICsep, 12_lag_traDP, 4_lag_nhSICjfm, 10_lag_atlSICsep, 7_lag_traEU, 1_lag_12_median_nhSICsep, 1_lag_14_median_traMC, 1_lag_2_median_traIT_1755_1"
LRforcedPSO,1,10,pdoSSTjfm,slow,867.5,2005.5,0.6,16,1,1,14.702212622264549,0.00589596888313751,1885,"['1_lag_5_median_traCA', '15_lag_tripol1', '11_lag_traIFC', '1_lag_9_median_ginwSSTjfm', '10_lag_scpPSLjfm', '7_lag_gyreSSTjfm', '1_lag_6_median_arcTSjfm', '9_lag_traWP', '1_lag_9_median_nhTSjfm', '6_lag_nhTSjfm']","[1.812440111205797, 3.419870552335551, 2.852935920138851, 6.723138140205003, 2.8207412386671438, 2.09544874690131, 0.4059700814208469, 2.2403120684100823, 1.9712317202809775, 5.049767849253167]","1_lag_5_median_traCA, 15_lag_tripol1, 11_lag_traIFC, 1_lag_9_median_ginwSSTjfm, 10_lag_scpPSLjfm, 7_lag_gyreSSTjfm, 1_lag_6_median_arcTSjfm, 9_lag_traWP, 1_lag_9_median_nhTSjfm, 6_lag_nhTSjfm_1885_1"
LRforcedPSO,2,10,pdoSSTjfm,slow,868.5,2005.5,0.6,17,1,1,15.522399526744593,0.15236770947619854,2015,"['1_lag_4_median_naoPSLjfm', '1_lag_14_median_neurTSjfm', '1_lag_12_median_mhfATL30', '9_lag_tripol1', '14_lag_yrvPRjja', '2_lag_amo2', '15_lag_mhfIP30', '1_lag_9_median_tripol3', '10_lag_traDS', '7_lag_nhSICjfm']","[0.7359400357426775, 3.2433143086029537, 1.9205326860434706, 1.8688207279998572, 1.210246046128038, 8.494203731480994, 5.396713169388491, 2.9048585847424384, 0.4410901087009833, 4.580988262232523]","1_lag_4_median_naoPSLjfm, 1_lag_14_median_neurTSjfm, 1_lag_12_median_mhfATL30, 9_lag_tripol1, 14_lag_yrvPRjja, 2_lag_amo2, 15_lag_mhfIP30, 1_lag_9_median_tripol3, 10_lag_traDS, 7_lag_nhSICjfm_2015_1"
LRforcedPSO,3,10,pdoSSTjfm,slow,869.5,2005.5,0.6,18,1,1,14.311211047076688,0.169876524096816,2145,"['1_lag_17_median_satlSSTjfm', '1_lag_9_median_nppc2SSTjfm', '3_lag_satlSSTjfm', '16_lag_traFB', '1_lag_4_median_traCA', '8_lag_stratZ50ndj01', '1_lag_17_median_nppc3SSTjfm', '2_lag_nhSICjfm', '14_lag_traDP', '17_lag_nhSICsep']","[2.8310356113832427, 1.0333987081157723, 7.308197308049518, 4.20227564033279, 2.155711735369799, 2.7527758033730816, 2.1977230453700276, 6.154947753802194, 6.320615309476722, 2.1570319807655416]","1_lag_17_median_satlSSTjfm, 1_lag_9_median_nppc2SSTjfm, 3_lag_satlSSTjfm, 16_lag_traFB, 1_lag_4_median_traCA, 8_lag_stratZ50ndj01, 1_lag_17_median_nppc3SSTjfm, 2_lag_nhSICjfm, 14_lag_traDP, 17_lag_nhSICsep_2145_1"
LRforcedPSO,4,10,pdoSSTjfm,slow,870.5,2005.5,0.6,19,1,1,14.805356720938267,0.048962059637980046,2275,"['1_lag_18_median_nhTSjfm', '1_lag_7_median_eapPSLjfm', '1_lag_9_median_tripol1', '1_lag_7_median_traBO', '9_lag_stratZ50ndj03', '1_lag_7_median_traCA', '10_lag_traEU', '10_lag_mhfATL60', '10_lag_shSICsep', '3_lag_traDP']","[0.15042162424868444, 5.429209048743029, 0.7571471983521061, 2.3291354414555077, 0.3769545147565889, 4.860984830980659, 0.06329633899729181, 2.4236739791324275, 4.615997644872416, 1.2362421330965532]","1_lag_18_median_nhTSjfm, 1_lag_7_median_eapPSLjfm, 1_lag_9_median_tripol1, 1_lag_7_median_traBO, 9_lag_stratZ50ndj03, 1_lag_7_median_traCA, 10_lag_traEU, 10_lag_mhfATL60, 10_lag_shSICsep, 3_lag_traDP_2275_1"
LRforcedPSO,5,10,pdoSSTjfm,slow,871.5,2005.5,0.6,20,1,1,19.207516791245045,-0.054004827371588064,2405,"['1_lag_15_median_ismPRjja', '5_lag_nhTSjfm', '1_lag_7_median_traIT', '8_lag_pdoSSTjfm', '1_lag_16_median_AMOCann', '6_lag_seurTSjfm', '1_lag_16_median_amo2', '1_lag_4_median_traTLS', '7_lag_scpPSLjfm', '19_lag_traFB']","[5.871695021634968, 2.34225720084072, 3.090008760290349, 4.882777317758729, 1.2029179356997766, 0.3242869191067044, 6.3588380060577006, 5.569706467003499, 2.4401358706986276, 1.0191333850454125]","1_lag_15_median_ismPRjja, 5_lag_nhTSjfm, 1_lag_7_median_traIT, 8_lag_pdoSSTjfm, 1_lag_16_median_AMOCann, 6_lag_seurTSjfm, 1_lag_16_median_amo2, 1_lag_4_median_traTLS, 7_lag_scpPSLjfm, 19_lag_traFB_2405_1"
LRforcedPSO,6,10,pdoSSTjfm,slow,872.5,2005.5,0.6,21,1,1,17.302277745011175,-0.1057013975630886,2535,"['1_lag_13_median_stratZ50ndj01', '1_lag_15_median_amo3', '6_lag_cetTSjfm', '1_lag_8_median_tripol1', '15_lag_labSSTjfm', '1_lag_2_median_traBO', '1_lag_5_median_yrvPRjja', '13_lag_traDP', '16_lag_traEU', '1_lag_2_median_wnorPRjfm']","[3.22409807825355, 3.628164535335296, 4.5756475702792105, 6.683674402250169, 3.06523058665052, 4.265351895090235, 1.839767092553224, 2.3675498116028155, 1.3826671942326652, 1.1947959042430938]","1_lag_13_median_stratZ50ndj01, 1_lag_15_median_amo3, 6_lag_cetTSjfm, 1_lag_8_median_tripol1, 15_lag_labSSTjfm, 1_lag_2_median_traBO, 1_lag_5_median_yrvPRjja, 13_lag_traDP, 16_lag_traEU, 1_lag_2_median_wnorPRjfm_2535_1"
LRforcedPSO,7,10,pdoSSTjfm,slow,873.5,2005.5,0.6,22,2,2,15.589343035464154,-0.05288358115522552,2535,"['15_lag_shTSjfm', '2_lag_14_median_traBO', '6_lag_traFSC', '14_lag_solFORC', '2_lag_5_median_amo2', '14_lag_scpPSLjfm', '15_lag_stratZ50ndj01', '2_lag_13_median_stratZ50ndj03', '2_lag_15_median_ensoSSTjfm', '9_lag_atlSICsep']","[0.003912001034546364, 1.6924255129955608, 1.7922475796616215, 7.901190724490242, 3.6453919203141165, 3.7785894553526767, 4.265486427554929, 2.0299515379085307, 2.785463970294588, 2.8083660372680335]","15_lag_shTSjfm, 2_lag_14_median_traBO, 6_lag_traFSC, 14_lag_solFORC, 2_lag_5_median_amo2, 14_lag_scpPSLjfm, 15_lag_stratZ50ndj01, 2_lag_13_median_stratZ50ndj03, 2_lag_15_median_ensoSSTjfm, 9_lag_atlSICsep_2535_2"
LRforcedPSO,8,10,pdoSSTjfm,slow,874.5,2005.5,0.6,23,3,3,16.21584961716704,-0.052956270679138946,2535,"['4_lag_amo3', '7_lag_tripol3', '3_lag_14_median_nhSICsep', '15_lag_arcTSjfm', '3_lag_14_median_tripol2', '3_lag_9_median_traMC', '20_lag_seurTSjfm', '13_lag_ensoSSTjfm', '3_lag_16_median_atlSICjfm', '9_lag_nhTSjfm']","[2.072400971408488, 6.563228410320534, 1.2041010498240894, 0.8063361870807384, 0.41489758901372653, 3.5510588493342414, 6.926517031420292, 0.10010162066763328, 1.7501113354467996, 3.2909611509118335]","4_lag_amo3, 7_lag_tripol3, 3_lag_14_median_nhSICsep, 15_lag_arcTSjfm, 3_lag_14_median_tripol2, 3_lag_9_median_traMC, 20_lag_seurTSjfm, 13_lag_ensoSSTjfm, 3_lag_16_median_atlSICjfm, 9_lag_nhTSjfm_2535_3"
LRforcedPSO,9,10,pdoSSTjfm,slow,875.5,2005.5,0.6,24,4,4,17.128576571566562,-0.17606877433830262,2535,"['4_lag_19_median_stratZ50ndj01', '4_lag_15_median_traEU', '16_lag_satlSSTjfm', '9_lag_stratZ50ndj04', '21_lag_shSICsep', '4_lag_7_median_wnorPRjfm', '4_lag_6_median_mhfATL30', '20_lag_glTSjfm', '5_lag_traFS', '17_lag_traFB']","[2.687390068598674, 2.029924037987204, 3.7930874803900654, 4.37024283601068, 0.839487053790883, 5.2429895983666, 1.7979430458252494, 1.713856164780072, 5.50494574578968, 5.04772279731843]","4_lag_19_median_stratZ50ndj01, 4_lag_15_median_traEU, 16_lag_satlSSTjfm, 9_lag_stratZ50ndj04, 21_lag_shSICsep, 4_lag_7_median_wnorPRjfm, 4_lag_6_median_mhfATL30, 20_lag_glTSjfm, 5_lag_traFS, 17_lag_traFB_2535_4"
