model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,samPSLann,slow,866.5,2005.5,0.8,15,5,5,13.42495722212246,0.0188623569905915,1235,"['6_lag_gyreSSTjfm', '5_lag_6_median_traFSC', '7_lag_shSICmar', '6_lag_labSSTjfm', '10_lag_shSICmar', '10_lag_traFB', '10_lag_stratZ50ndj04', '8_lag_mhfATL45', '11_lag_tripol3', '10_lag_stratZ50ndj01']","[8.950450117552764, 5.13680979078978, 3.5534478454071428, 1.5273863344203313, 2.5440158156318624, 1.7626991396930674, 1.3453955741217243, 1.5211762231246482, 0.71349279411473, 2.1537106676343125]","6_lag_gyreSSTjfm, 5_lag_6_median_traFSC, 7_lag_shSICmar, 6_lag_labSSTjfm, 10_lag_shSICmar, 10_lag_traFB, 10_lag_stratZ50ndj04, 8_lag_mhfATL45, 11_lag_tripol3, 10_lag_stratZ50ndj01_1235_5"
LRforcedPSO,1,10,samPSLann,slow,867.5,2005.5,0.8,16,6,6,17.443180699999463,-0.25049274787288706,1235,"['6_lag_10_median_nchinaPRjja', '6_lag_7_median_stratZ50ndj02', '14_lag_ismPRjja', '9_lag_AMOCann', '6_lag_15_median_scpPSLjfm', '15_lag_glTSjfm', '7_lag_alpi', '6_lag_13_median_stratZ50ndj03', '7_lag_nppc2SSTjfm', '6_lag_8_median_ensoSSTjfm']","[1.3524838273226685, 0.8771291801193506, 7.565934402051335, 1.9173510077100957, 3.9589993647389825, 2.8385740925167013, 3.3300368542730236, 2.372656697895472, 3.250544833984927, 2.1897308237734254]","6_lag_10_median_nchinaPRjja, 6_lag_7_median_stratZ50ndj02, 14_lag_ismPRjja, 9_lag_AMOCann, 6_lag_15_median_scpPSLjfm, 15_lag_glTSjfm, 7_lag_alpi, 6_lag_13_median_stratZ50ndj03, 7_lag_nppc2SSTjfm, 6_lag_8_median_ensoSSTjfm_1235_6"
LRforcedPSO,2,10,samPSLann,slow,868.5,2005.5,0.8,17,7,7,14.40381521340662,0.09290460761992747,1235,"['10_lag_traTLS', '7_lag_12_median_solFORC', '7_lag_10_median_traDP', '9_lag_satlSSTjfm', '7_lag_10_median_tripol3', '7_lag_12_median_mhfATL45', '7_lag_14_median_eurPSLjfm', '9_lag_stratZ50ndj01', '7_lag_9_median_mhfATL30', '15_lag_solFORC']","[2.044917313167753, 5.720561890481244, 1.126495441719877, 1.4124318841441195, 4.608112368804658, 5.303681501216813, 1.425480817569749, 2.075323925161287, 6.992769224878417, 6.266178580521185]","10_lag_traTLS, 7_lag_12_median_solFORC, 7_lag_10_median_traDP, 9_lag_satlSSTjfm, 7_lag_10_median_tripol3, 7_lag_12_median_mhfATL45, 7_lag_14_median_eurPSLjfm, 9_lag_stratZ50ndj01, 7_lag_9_median_mhfATL30, 15_lag_solFORC_1235_7"
LRforcedPSO,3,10,samPSLann,slow,869.5,2005.5,0.8,18,8,8,12.168491325453827,0.053457014323362834,1235,"['17_lag_traFSC', '16_lag_tripol1', '8_lag_16_median_AMOCann', '15_lag_mhfATL45', '10_lag_pdoSSTjfm', '15_lag_traBS', '8_lag_arcTSjfm', '10_lag_ensoSSTjfm', '8_lag_9_median_nhSICsep', '8_lag_9_median_traDS']","[0.6868754068078573, 1.445343503033003, 0.40236697132479193, 0.19871095421686924, 0.5369704770991923, 0.9620223219303838, 3.070893151869127, 0.717112386836332, 3.595682055210565, 0.26999159825531294]","17_lag_traFSC, 16_lag_tripol1, 8_lag_16_median_AMOCann, 15_lag_mhfATL45, 10_lag_pdoSSTjfm, 15_lag_traBS, 8_lag_arcTSjfm, 10_lag_ensoSSTjfm, 8_lag_9_median_nhSICsep, 8_lag_9_median_traDS_1235_8"
LRforcedPSO,4,10,samPSLann,slow,870.5,2005.5,0.8,19,9,9,18.28430224027694,-0.1317835782541302,1235,"['18_lag_ormenSSTjfm', '17_lag_nhSICsep', '9_lag_16_median_nppc3SSTjfm', '9_lag_16_median_amo3', '9_lag_14_median_pdoSSTjfm', '9_lag_17_median_amoSSTmjjaso', '15_lag_ismPRjja', '9_lag_14_median_labSSTjfm', '9_lag_17_median_solFORC', '9_lag_10_median_pdoSSTjfm']","[4.206678955317731, 2.062056789581593, 1.313301113112189, 6.208850795133046, 3.704291374781871, 5.6844410392581, 6.5160008876835, 6.054140342564388, 1.3518779365861207, 2.405021527670823]","18_lag_ormenSSTjfm, 17_lag_nhSICsep, 9_lag_16_median_nppc3SSTjfm, 9_lag_16_median_amo3, 9_lag_14_median_pdoSSTjfm, 9_lag_17_median_amoSSTmjjaso, 15_lag_ismPRjja, 9_lag_14_median_labSSTjfm, 9_lag_17_median_solFORC, 9_lag_10_median_pdoSSTjfm_1235_9"
LRforcedPSO,5,10,samPSLann,slow,871.5,2005.5,0.8,20,10,10,15.604756677455928,0.1337890050906716,1235,"['10_lag_18_median_traDS', '10_lag_19_median_stratZ50ndj03', '19_lag_atlSICsep', '10_lag_nppc2SSTjfm', '10_lag_18_median_tripol3', '16_lag_ismPRjja', '10_lag_13_median_traTLS', '10_lag_pdoSSTjfm', '10_lag_19_median_nhSICjfm', '12_lag_atlSICjfm']","[3.8943181593014735, 5.200496990646542, 4.9752627423830305, 4.528412194604437, 0.5305028435664063, 6.353751189149359, 6.300010690691096, 2.5053591331413987, 7.968713516224209, 3.9180638027412424]","10_lag_18_median_traDS, 10_lag_19_median_stratZ50ndj03, 19_lag_atlSICsep, 10_lag_nppc2SSTjfm, 10_lag_18_median_tripol3, 16_lag_ismPRjja, 10_lag_13_median_traTLS, 10_lag_pdoSSTjfm, 10_lag_19_median_nhSICjfm, 12_lag_atlSICjfm_1235_10"
LRforcedPSO,6,10,samPSLann,slow,872.5,2005.5,0.8,21,11,11,22.68119945010426,-0.1800467724186767,1235,"['11_lag_19_median_tripol3', '11_lag_stratZ50ndj04', '11_lag_20_median_eapPSLjfm', '11_lag_16_median_nchinaPRjja', '14_lag_yrvPRjja', '11_lag_18_median_amoSSTmjjaso', '11_lag_19_median_traTLS', '14_lag_stratZ50ndj02', '11_lag_13_median_seurTSjfm', '11_lag_12_median_traFSC']","[8.21242502004322, 0.70230021773299, 2.367196059796523, 0.8120428055677138, 0.27526422384790017, 0.8297137602521012, 0.48452954606384147, 0.9731268949852723, 3.990793477188028, 2.220366248142258]","11_lag_19_median_tripol3, 11_lag_stratZ50ndj04, 11_lag_20_median_eapPSLjfm, 11_lag_16_median_nchinaPRjja, 14_lag_yrvPRjja, 11_lag_18_median_amoSSTmjjaso, 11_lag_19_median_traTLS, 14_lag_stratZ50ndj02, 11_lag_13_median_seurTSjfm, 11_lag_12_median_traFSC_1235_11"
LRforcedPSO,7,10,samPSLann,slow,873.5,2005.5,0.8,22,12,12,14.208644930651834,-0.05780349205881348,1235,"['21_lag_traDP', '15_lag_nchinaPRjja', '12_lag_17_median_traEC', '14_lag_samPSLann', '12_lag_17_median_traCA', '12_lag_18_median_neurTSjfm', '16_lag_solFORC', '13_lag_shTSjfm', '20_lag_gyreSSTjfm', '16_lag_eurPSLjfm']","[0.1531493834244717, 3.1209070632383433, 1.8413405094173498, 0.23755977499338066, 1.6102947837029404, 0.29301445759778666, 6.985742955665495, 5.262788772891103, 0.843012195662709, 1.2759669300420526]","21_lag_traDP, 15_lag_nchinaPRjja, 12_lag_17_median_traEC, 14_lag_samPSLann, 12_lag_17_median_traCA, 12_lag_18_median_neurTSjfm, 16_lag_solFORC, 13_lag_shTSjfm, 20_lag_gyreSSTjfm, 16_lag_eurPSLjfm_1235_12"
LRforcedPSO,8,10,samPSLann,slow,874.5,2005.5,0.8,23,13,13,14.023240393883409,-0.03929240036289463,1235,"['18_lag_shSICmar', '15_lag_amo3', '13_lag_14_median_labSSTjfm', '16_lag_glTSjfm', '15_lag_nchinaPRjja', '13_lag_amo2', '13_lag_18_median_glTSjfm', '20_lag_amo1', '19_lag_gyreSSTjfm', '19_lag_shSICmar']","[0.9295246066578589, 0.5267163621355166, 6.141041659941461, 5.4548880528923505, 3.9660670734102546, 0.5690401129294305, 1.0991789594546688, 1.257957966560035, 3.30762332702899, 1.4225362844733969]","18_lag_shSICmar, 15_lag_amo3, 13_lag_14_median_labSSTjfm, 16_lag_glTSjfm, 15_lag_nchinaPRjja, 13_lag_amo2, 13_lag_18_median_glTSjfm, 20_lag_amo1, 19_lag_gyreSSTjfm, 19_lag_shSICmar_1235_13"
LRforcedPSO,9,10,samPSLann,slow,875.5,2005.5,0.8,24,14,14,15.237944147165514,0.11363320822225763,1235,"['23_lag_naoPSLjfm', '14_lag_16_median_mhfIP30', '14_lag_18_median_traCA', '14_lag_15_median_satlSSTjfm', '15_lag_tripol2', '14_lag_18_median_AMOCann', '18_lag_traTLS', '14_lag_20_median_scpPSLjfm', '14_lag_16_median_mhfATL30', '14_lag_23_median_tripol3']","[0.613752659372997, 2.576808513657781, 6.42778275289571, 1.5788016844907187, 0.9062936214747701, 8.240150075628046, 1.3514017806261265, 0.8538812719617024, 2.209415926774188, 6.723499299989129]","23_lag_naoPSLjfm, 14_lag_16_median_mhfIP30, 14_lag_18_median_traCA, 14_lag_15_median_satlSSTjfm, 15_lag_tripol2, 14_lag_18_median_AMOCann, 18_lag_traTLS, 14_lag_20_median_scpPSLjfm, 14_lag_16_median_mhfATL30, 14_lag_23_median_tripol3_1235_14"
