model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,samPSLann,slow,866.5,2005.5,0.8,15,5,5,11.88515546059883,0.013384874266524653,1235,"['5_lag_10_median_neurTSjfm', '5_lag_12_median_tripol2', '5_lag_9_median_amo1', '5_lag_9_median_stratZ50ndj01', '5_lag_13_median_stratZ50ndj03', '5_lag_8_median_arcTSjfm', '5_lag_12_median_traDS', '5_lag_14_median_traEC', '5_lag_8_median_nppc3SSTjfm', '5_lag_13_median_glTSjfm', '5_lag_13_median_stratZ50ndj02', '5_lag_13_median_atlSICsep', '5_lag_9_median_scpPSLjfm', '5_lag_8_median_traDP', '5_lag_13_median_traBS', '5_lag_10_median_scpPSLjfm', '5_lag_13_median_pdoSSTjfm', '5_lag_13_median_traEC', '5_lag_13_median_arcTSjfm', '5_lag_13_median_naoPSLjfm', '5_lag_12_median_cetTSjfm', '5_lag_14_median_naoPSLjfm', '5_lag_11_median_neurTSjfm', '5_lag_13_median_nppc2SSTjfm', '5_lag_11_median_wnorPRjfm', '5_lag_11_median_nchinaPRjja', '5_lag_14_median_neurTSjfm', '5_lag_11_median_nppc2SSTjfm', '5_lag_11_median_traBO', '5_lag_13_median_traMC']","[0.14684938007380496, 0.1340422514555949, 0.15174485044604172, 0.11420877465816934, 0.0007595731323277289, 0.028628040155859284, 0.08909657132936327, 0.12069906099745997, 0.09418762847852774, 0.10859553390250613, 0.06688624257769755, 0.016230395799311077, 0.18486429691335124, 0.0017637324268770628, 0.00620283576225306, 0.16039003847822159, 0.06481489769571637, 0.03758612331805185, 0.008541762705835907, 0.02350674226786371, 0.035486745645774406, 0.054396157574415994, 0.13600451582746395, 0.11215603188928502, 0.008914645715896001, 0.0642780455836697, 0.19685032337870592, 0.035126493460965164, 0.07217056376880095, 0.08519838923283482]","5_lag_10_median_neurTSjfm, 5_lag_12_median_tripol2, 5_lag_9_median_amo1, 5_lag_9_median_stratZ50ndj01, 5_lag_13_median_stratZ50ndj03, 5_lag_8_median_arcTSjfm, 5_lag_12_median_traDS, 5_lag_14_median_traEC, 5_lag_8_median_nppc3SSTjfm, 5_lag_13_median_glTSjfm, 5_lag_13_median_stratZ50ndj02, 5_lag_13_median_atlSICsep, 5_lag_9_median_scpPSLjfm, 5_lag_8_median_traDP, 5_lag_13_median_traBS, 5_lag_10_median_scpPSLjfm, 5_lag_13_median_pdoSSTjfm, 5_lag_13_median_traEC, 5_lag_13_median_arcTSjfm, 5_lag_13_median_naoPSLjfm, 5_lag_12_median_cetTSjfm, 5_lag_14_median_naoPSLjfm, 5_lag_11_median_neurTSjfm, 5_lag_13_median_nppc2SSTjfm, 5_lag_11_median_wnorPRjfm, 5_lag_11_median_nchinaPRjja, 5_lag_14_median_neurTSjfm, 5_lag_11_median_nppc2SSTjfm, 5_lag_11_median_traBO, 5_lag_13_median_traMC_1235_5"
LinearRegression,1,30,samPSLann,slow,867.5,2005.5,0.8,16,6,6,12.23941591416306,-0.132131311209516,1235,"['12_lag_amo2', '6_lag_14_median_amoSSTmjjaso', '9_lag_amo2', '6_lag_12_median_pdoSSTjfm', '13_lag_pdoSSTjfm', '6_lag_14_median_stratZ50ndj04', '6_lag_14_median_neurTSjfm', '6_lag_10_median_stratZ50ndj04', '6_lag_11_median_traDS', '6_lag_14_median_naoPSLjfm', '6_lag_15_median_traFS', '6_lag_13_median_tripol2', '6_lag_10_median_shSICsep', '6_lag_13_median_traDS', '6_lag_11_median_shTSjfm', '6_lag_12_median_nppc3SSTjfm', '14_lag_glomaSSTjfm', '11_lag_tripol1', '6_lag_12_median_atlSICjfm', '6_lag_10_median_traWP', '6_lag_13_median_glTSjfm', '6_lag_10_median_atlSICjfm', '6_lag_12_median_neurTSjfm', '6_lag_15_median_amo1', '13_lag_tripol1', '6_lag_10_median_nppc2SSTjfm', '6_lag_10_median_seurTSjfm', '6_lag_9_median_amo2', '6_lag_9_median_amo1', '6_lag_14_median_satlSSTjfm']","[0.019329002872253306, 0.08221678052715602, 0.07433928418954491, 0.013734400268284744, 0.020882141295879713, 0.07547456879852539, 0.20874314931102794, 0.02845716648954385, 0.053659462300899095, 0.07905107671958504, 0.033395241510161176, 0.07046881164916123, 0.04954736505648888, 0.10523729655394704, 0.10647548417429856, 0.07292426951883456, 0.19914150037988104, 0.017615685480229404, 0.15902367824408317, 0.03228586407193967, 0.22110369301090954, 0.13639448319851163, 0.23382613409599973, 0.15153956852597508, 0.005089723204289232, 0.012201168365356702, 0.008566007832753474, 0.13504787368701576, 0.13411552593334342, 0.1883591914369532]","12_lag_amo2, 6_lag_14_median_amoSSTmjjaso, 9_lag_amo2, 6_lag_12_median_pdoSSTjfm, 13_lag_pdoSSTjfm, 6_lag_14_median_stratZ50ndj04, 6_lag_14_median_neurTSjfm, 6_lag_10_median_stratZ50ndj04, 6_lag_11_median_traDS, 6_lag_14_median_naoPSLjfm, 6_lag_15_median_traFS, 6_lag_13_median_tripol2, 6_lag_10_median_shSICsep, 6_lag_13_median_traDS, 6_lag_11_median_shTSjfm, 6_lag_12_median_nppc3SSTjfm, 14_lag_glomaSSTjfm, 11_lag_tripol1, 6_lag_12_median_atlSICjfm, 6_lag_10_median_traWP, 6_lag_13_median_glTSjfm, 6_lag_10_median_atlSICjfm, 6_lag_12_median_neurTSjfm, 6_lag_15_median_amo1, 13_lag_tripol1, 6_lag_10_median_nppc2SSTjfm, 6_lag_10_median_seurTSjfm, 6_lag_9_median_amo2, 6_lag_9_median_amo1, 6_lag_14_median_satlSSTjfm_1235_6"
LinearRegression,2,30,samPSLann,slow,868.5,2005.5,0.8,17,7,7,12.036900703710181,-0.059375249629817634,1235,"['7_lag_16_median_arcTSjfm', '7_lag_13_median_ormenSSTjfm', '14_lag_tripol1', '7_lag_13_median_traWP', '7_lag_13_median_nppc3SSTjfm', '7_lag_10_median_amo2', '7_lag_14_median_arcTSjfm', '7_lag_13_median_mhfATL45', '7_lag_16_median_samPSLann', '7_lag_16_median_nhSICsep', '7_lag_11_median_ismPRjja', '7_lag_13_median_nppc2SSTjfm', '10_lag_ensoSSTjfm', '7_lag_11_median_traDS', '7_lag_11_median_tripol3', '7_lag_16_median_ormenSSTjfm', '7_lag_13_median_scpPSLjfm', '7_lag_13_median_AMOCann', '7_lag_13_median_traFS', '12_lag_glomaSSTjfm', '7_lag_11_median_wnorPRjfm', '10_lag_tripol2', '7_lag_13_median_stratZ50ndj03', '7_lag_13_median_traCA', '7_lag_11_median_mhfATL45', '7_lag_16_median_traIT', '7_lag_13_median_traDS', '7_lag_15_median_stratZ50ndj01', '7_lag_10_median_traDP', '7_lag_11_median_amo3']","[0.22521419841582088, 0.04101354390780852, 0.05486241064682497, 0.06048275410009397, 0.017175822943776495, 0.03783290185562393, 0.1240011947456943, 0.15394376966220993, 0.1811667906365166, 0.007918444468378106, 0.0693233616480832, 0.10551734674066085, 0.21990268809004426, 0.027273124171256092, 0.030543655845572063, 0.00285964694896354, 0.1043820323176866, 0.05107976819282592, 0.130344141772273, 0.058680211968367306, 0.02215429959122518, 0.2137442489837972, 0.03126040782158072, 0.1747501189019554, 0.08828414333737322, 0.06879373951471213, 0.10092939573547048, 0.059063709898416375, 0.013551500368837455, 0.001039808498995029]","7_lag_16_median_arcTSjfm, 7_lag_13_median_ormenSSTjfm, 14_lag_tripol1, 7_lag_13_median_traWP, 7_lag_13_median_nppc3SSTjfm, 7_lag_10_median_amo2, 7_lag_14_median_arcTSjfm, 7_lag_13_median_mhfATL45, 7_lag_16_median_samPSLann, 7_lag_16_median_nhSICsep, 7_lag_11_median_ismPRjja, 7_lag_13_median_nppc2SSTjfm, 10_lag_ensoSSTjfm, 7_lag_11_median_traDS, 7_lag_11_median_tripol3, 7_lag_16_median_ormenSSTjfm, 7_lag_13_median_scpPSLjfm, 7_lag_13_median_AMOCann, 7_lag_13_median_traFS, 12_lag_glomaSSTjfm, 7_lag_11_median_wnorPRjfm, 10_lag_tripol2, 7_lag_13_median_stratZ50ndj03, 7_lag_13_median_traCA, 7_lag_11_median_mhfATL45, 7_lag_16_median_traIT, 7_lag_13_median_traDS, 7_lag_15_median_stratZ50ndj01, 7_lag_10_median_traDP, 7_lag_11_median_amo3_1235_7"
LinearRegression,3,30,samPSLann,slow,869.5,2005.5,0.8,18,8,8,12.088272906715138,-0.08662190308957503,1235,"['8_lag_15_median_shTSjfm', '8_lag_12_median_traFSC', '8_lag_15_median_stratZ50ndj04', '15_lag_shTSjfm', '8_lag_14_median_stratZ50ndj04', '8_lag_15_median_traDS', '8_lag_17_median_nppc3SSTjfm', '8_lag_17_median_tripol3', '17_lag_tripol1', '8_lag_gyreSSTjfm', '8_lag_12_median_wnorPRjfm', '8_lag_16_median_nhSICjfm', '8_lag_14_median_traFS', '13_lag_tripol1', '8_lag_16_median_stratZ50ndj04', '8_lag_13_median_amo3', '8_lag_15_median_shSICsep', '8_lag_16_median_traEC', '8_lag_14_median_atlSICsep', '8_lag_12_median_glomaSSTjfm', '8_lag_12_median_neurTSjfm', '15_lag_glomaSSTjfm', '8_lag_17_median_eapPSLjfm', '8_lag_11_median_nhSICsep', '8_lag_14_median_tripol1', '8_lag_16_median_stratZ50ndj01', '8_lag_15_median_nppc2SSTjfm', '8_lag_15_median_amo1', '8_lag_14_median_neurTSjfm', '8_lag_11_median_glomaSSTjfm']","[0.06456988970080309, 0.00485229747635792, 0.6843661906502937, 0.003004639663082751, 0.6235656822101621, 0.18209138741865064, 0.15845238659122735, 0.0005948915016978793, 0.0602794855163181, 0.022601699754480543, 0.013785486869297186, 0.2701660713433693, 0.07497028110996207, 0.006657142536867689, 0.07047918249937751, 0.05701669632258534, 0.04776699444905989, 0.08161519383728692, 0.005778516198479378, 0.1046849438982141, 0.23788060471544595, 0.09823876376995742, 0.07980439204347772, 0.15015227892830033, 0.07349516313746414, 0.07176579615441435, 0.19653329514617113, 0.13235063576423764, 0.169151525477698, 0.21668667358215535]","8_lag_15_median_shTSjfm, 8_lag_12_median_traFSC, 8_lag_15_median_stratZ50ndj04, 15_lag_shTSjfm, 8_lag_14_median_stratZ50ndj04, 8_lag_15_median_traDS, 8_lag_17_median_nppc3SSTjfm, 8_lag_17_median_tripol3, 17_lag_tripol1, 8_lag_gyreSSTjfm, 8_lag_12_median_wnorPRjfm, 8_lag_16_median_nhSICjfm, 8_lag_14_median_traFS, 13_lag_tripol1, 8_lag_16_median_stratZ50ndj04, 8_lag_13_median_amo3, 8_lag_15_median_shSICsep, 8_lag_16_median_traEC, 8_lag_14_median_atlSICsep, 8_lag_12_median_glomaSSTjfm, 8_lag_12_median_neurTSjfm, 15_lag_glomaSSTjfm, 8_lag_17_median_eapPSLjfm, 8_lag_11_median_nhSICsep, 8_lag_14_median_tripol1, 8_lag_16_median_stratZ50ndj01, 8_lag_15_median_nppc2SSTjfm, 8_lag_15_median_amo1, 8_lag_14_median_neurTSjfm, 8_lag_11_median_glomaSSTjfm_1235_8"
LinearRegression,4,30,samPSLann,slow,870.5,2005.5,0.8,19,9,9,11.889108839833636,-0.04401171981050123,1235,"['9_lag_12_median_tripol2', '9_lag_14_median_traEC', '9_lag_16_median_eapPSLjfm', '9_lag_18_median_ormenSSTjfm', '9_lag_17_median_mhfATL30', '9_lag_13_median_traBS', '9_lag_17_median_mhfATL45', '9_lag_13_median_stratZ50ndj04', '9_lag_13_median_tripol3', '9_lag_15_median_traDS', '9_lag_15_median_traWP', '9_lag_17_median_nchinaPRjja', '16_lag_tripol2', '9_lag_15_median_atlSICjfm', '9_lag_16_median_neurTSjfm', '9_lag_17_median_ismPRjja', '9_lag_15_median_traDP', '9_lag_16_median_ensoSSTjfm', '9_lag_12_median_tripol3', '9_lag_13_median_stratZ50ndj02', '9_lag_15_median_neurTSjfm', '9_lag_13_median_glTSjfm', '9_lag_12_median_ensoSSTjfm', '9_lag_13_median_ismPRjja', '9_lag_14_median_stratZ50ndj04', '9_lag_17_median_shSICmar', '9_lag_17_median_traFSC', '9_lag_13_median_traEC', '9_lag_12_median_traDP', '9_lag_13_median_ormenSSTjfm']","[0.01631086451430395, 0.0011184356234555, 0.00935957465242662, 0.04240169029033519, 0.04428641040800149, 0.004062809319800276, 0.0413791708331249, 0.23798653432042519, 0.24921044672463624, 0.10609112502164232, 0.06727821774543494, 0.0925332273965981, 0.024635362071395255, 0.16994739242159604, 0.07020771783360184, 0.25378956028462046, 0.02667505504247741, 0.0852905142755907, 0.2522823279628952, 0.08612269727800742, 0.06612916268918338, 0.0773309521791977, 0.00033854492480353895, 0.19045950392999964, 0.26230346817658085, 0.09129786101930447, 0.0662563766325648, 0.06488655518096409, 0.02454644745231763, 0.09137384931731132]","9_lag_12_median_tripol2, 9_lag_14_median_traEC, 9_lag_16_median_eapPSLjfm, 9_lag_18_median_ormenSSTjfm, 9_lag_17_median_mhfATL30, 9_lag_13_median_traBS, 9_lag_17_median_mhfATL45, 9_lag_13_median_stratZ50ndj04, 9_lag_13_median_tripol3, 9_lag_15_median_traDS, 9_lag_15_median_traWP, 9_lag_17_median_nchinaPRjja, 16_lag_tripol2, 9_lag_15_median_atlSICjfm, 9_lag_16_median_neurTSjfm, 9_lag_17_median_ismPRjja, 9_lag_15_median_traDP, 9_lag_16_median_ensoSSTjfm, 9_lag_12_median_tripol3, 9_lag_13_median_stratZ50ndj02, 9_lag_15_median_neurTSjfm, 9_lag_13_median_glTSjfm, 9_lag_12_median_ensoSSTjfm, 9_lag_13_median_ismPRjja, 9_lag_14_median_stratZ50ndj04, 9_lag_17_median_shSICmar, 9_lag_17_median_traFSC, 9_lag_13_median_traEC, 9_lag_12_median_traDP, 9_lag_13_median_ormenSSTjfm_1235_9"
LinearRegression,5,30,samPSLann,slow,871.5,2005.5,0.8,20,10,10,12.22088512705408,-0.08714098466407923,1235,"['10_lag_17_median_shSICmar', '10_lag_19_median_satlSSTjfm', '10_lag_16_median_mhfATL45', '10_lag_19_median_scpPSLjfm', '10_lag_16_median_traCA', '10_lag_15_median_pdoSSTjfm', '10_lag_19_median_samPSLann', '10_lag_16_median_amo3', '10_lag_19_median_mhfATL30', '10_lag_15_median_arcTSjfm', '10_lag_16_median_naoPSLjfm', '10_lag_18_median_nchinaPRjja', '10_lag_15_median_traFS', '10_lag_15_median_stratZ50ndj04', '10_lag_19_median_naoPSLjfm', '16_lag_pdoSSTjfm', '10_lag_16_median_stratZ50ndj03', '10_lag_19_median_gyreSSTjfm', '10_lag_16_median_tripol3', '10_lag_16_median_traDS', '10_lag_19_median_shSICsep', '10_lag_16_median_nhTSjfm', '10_lag_19_median_amoSSTmjjaso', '10_lag_13_median_amo3', '10_lag_18_median_scpPSLjfm', '10_lag_17_median_neurTSjfm', '10_lag_14_median_amo1', '10_lag_18_median_mhfATL45', '10_lag_14_median_traFB', '10_lag_15_median_amoSSTmjjaso']","[0.0355586730468721, 0.09113628746041043, 0.11913848162157771, 0.20258927661833864, 0.11257730182803337, 0.10681659283819031, 0.08248950390418278, 0.03668162946675653, 0.07646005505492989, 0.003881020270633496, 0.10837027911207961, 0.04030851053873204, 0.009370740584023908, 0.022228979011465755, 0.03701514254878232, 0.0400837006536872, 0.05710171883419613, 0.17679993082992687, 0.06111446681357175, 0.14036660463194134, 0.06849063608267494, 0.21081858842490764, 0.34600973787481176, 0.08493116980859852, 0.035367504700079544, 0.013948756220864495, 0.042370730054543365, 0.07254975515475444, 0.10121569420734657, 0.1634664584211563]","10_lag_17_median_shSICmar, 10_lag_19_median_satlSSTjfm, 10_lag_16_median_mhfATL45, 10_lag_19_median_scpPSLjfm, 10_lag_16_median_traCA, 10_lag_15_median_pdoSSTjfm, 10_lag_19_median_samPSLann, 10_lag_16_median_amo3, 10_lag_19_median_mhfATL30, 10_lag_15_median_arcTSjfm, 10_lag_16_median_naoPSLjfm, 10_lag_18_median_nchinaPRjja, 10_lag_15_median_traFS, 10_lag_15_median_stratZ50ndj04, 10_lag_19_median_naoPSLjfm, 16_lag_pdoSSTjfm, 10_lag_16_median_stratZ50ndj03, 10_lag_19_median_gyreSSTjfm, 10_lag_16_median_tripol3, 10_lag_16_median_traDS, 10_lag_19_median_shSICsep, 10_lag_16_median_nhTSjfm, 10_lag_19_median_amoSSTmjjaso, 10_lag_13_median_amo3, 10_lag_18_median_scpPSLjfm, 10_lag_17_median_neurTSjfm, 10_lag_14_median_amo1, 10_lag_18_median_mhfATL45, 10_lag_14_median_traFB, 10_lag_15_median_amoSSTmjjaso_1235_10"
LinearRegression,6,30,samPSLann,slow,872.5,2005.5,0.8,21,11,11,12.157397443185648,-0.04576027729559805,1235,"['11_lag_20_median_eurPSLjfm', '11_lag_15_median_eapPSLjfm', '11_lag_15_median_traMC', '14_lag_amo2', '11_lag_14_median_nppc3SSTjfm', '11_lag_17_median_ormenSSTjfm', '15_lag_nppc3SSTjfm', '11_lag_17_median_traCA', '11_lag_19_median_traEU', '11_lag_20_median_traBS', '11_lag_17_median_traIT', '11_lag_19_median_mhfIP30', '11_lag_15_median_traFS', '11_lag_20_median_tripol2', '11_lag_18_median_traIT', '11_lag_15_median_naoPSLjfm', '11_lag_17_median_traFS', '15_lag_glomaSSTjfm', '11_lag_15_median_stratZ50ndj01', '11_lag_18_median_satlSSTjfm', '11_lag_16_median_traWP', '11_lag_15_median_samPSLann', '11_lag_16_median_ormenSSTjfm', '11_lag_15_median_nhSICjfm', '11_lag_19_median_tripol3', '11_lag_19_median_stratZ50ndj04', '11_lag_20_median_seurTSjfm', '11_lag_19_median_traFS', '11_lag_17_median_nchinaPRjja', '11_lag_18_median_ensoSSTjfm']","[0.0875121188818742, 0.05519150623082536, 0.01778955267903808, 0.163271586252779, 0.026891425472120613, 0.057536328445039676, 0.030744705315415243, 0.16402178126989866, 0.04153320142296741, 0.061177563009227776, 0.03748423742059051, 0.08044381563995004, 0.011004633302093014, 0.028384278241128092, 0.0738198314137297, 0.11519044325078287, 0.04906135776281012, 0.011527557740407065, 0.03497460953106642, 0.08267043481923728, 0.17105372499824031, 0.10384918845342943, 0.03871583770176171, 0.14548134692811288, 0.21654529988724183, 0.057483634801585026, 0.15009880274897758, 0.07078001094317499, 0.04557204924829356, 0.08218836911164305]","11_lag_20_median_eurPSLjfm, 11_lag_15_median_eapPSLjfm, 11_lag_15_median_traMC, 14_lag_amo2, 11_lag_14_median_nppc3SSTjfm, 11_lag_17_median_ormenSSTjfm, 15_lag_nppc3SSTjfm, 11_lag_17_median_traCA, 11_lag_19_median_traEU, 11_lag_20_median_traBS, 11_lag_17_median_traIT, 11_lag_19_median_mhfIP30, 11_lag_15_median_traFS, 11_lag_20_median_tripol2, 11_lag_18_median_traIT, 11_lag_15_median_naoPSLjfm, 11_lag_17_median_traFS, 15_lag_glomaSSTjfm, 11_lag_15_median_stratZ50ndj01, 11_lag_18_median_satlSSTjfm, 11_lag_16_median_traWP, 11_lag_15_median_samPSLann, 11_lag_16_median_ormenSSTjfm, 11_lag_15_median_nhSICjfm, 11_lag_19_median_tripol3, 11_lag_19_median_stratZ50ndj04, 11_lag_20_median_seurTSjfm, 11_lag_19_median_traFS, 11_lag_17_median_nchinaPRjja, 11_lag_18_median_ensoSSTjfm_1235_11"
LinearRegression,7,30,samPSLann,slow,873.5,2005.5,0.8,22,12,12,12.315428560092439,-0.1129734449698078,1235,"['15_lag_shTSjfm', '12_lag_15_median_traDP', '12_lag_18_median_tripol1', '12_lag_21_median_AMOCann', '12_lag_19_median_nhSICsep', '12_lag_16_median_atlSICsep', '12_lag_16_median_traWP', '12_lag_19_median_nppc2SSTjfm', '12_lag_19_median_traBO', '12_lag_16_median_ormenSSTjfm', '12_lag_20_median_amo2', '15_lag_glomaSSTjfm', '12_lag_19_median_amoSSTmjjaso', '12_lag_21_median_yrvPRjja', '12_lag_17_median_atlSICsep', '12_lag_18_median_traFS', '12_lag_18_median_neurTSjfm', '18_lag_glomaSSTjfm', '12_lag_16_median_ginwSSTjfm', '12_lag_16_median_traCA', '12_lag_21_median_nhSICsep', '12_lag_20_median_scpPSLjfm', '12_lag_15_median_shTSjfm', '12_lag_20_median_traEC', '18_lag_ensoSSTjfm', '12_lag_20_median_traCA', '12_lag_20_median_ensoSSTjfm', '12_lag_18_median_pdoSSTjfm', '12_lag_17_median_amo2', '12_lag_16_median_nhSICsep']","[0.029844927364989362, 0.00568751757746489, 0.1725390756908473, 0.15550681116372048, 0.43505198899014524, 0.013917224089293646, 0.027295564452263218, 0.04651595868182476, 0.04355238496714356, 0.0013955340714685552, 0.13569605124061587, 0.013166917063116868, 0.040209560405337574, 0.06337725554062339, 0.08011103084090708, 0.08042260284946029, 0.08516052310951099, 0.00788047635615344, 0.05247742524894646, 0.012162032402546636, 0.41875810201319, 0.2501219856070704, 0.15128046472821352, 0.04053924850071594, 0.010145612005729988, 0.03757011480672532, 0.1986968031352588, 0.16203169081783647, 0.2835863497470821, 0.06307384117110139]","15_lag_shTSjfm, 12_lag_15_median_traDP, 12_lag_18_median_tripol1, 12_lag_21_median_AMOCann, 12_lag_19_median_nhSICsep, 12_lag_16_median_atlSICsep, 12_lag_16_median_traWP, 12_lag_19_median_nppc2SSTjfm, 12_lag_19_median_traBO, 12_lag_16_median_ormenSSTjfm, 12_lag_20_median_amo2, 15_lag_glomaSSTjfm, 12_lag_19_median_amoSSTmjjaso, 12_lag_21_median_yrvPRjja, 12_lag_17_median_atlSICsep, 12_lag_18_median_traFS, 12_lag_18_median_neurTSjfm, 18_lag_glomaSSTjfm, 12_lag_16_median_ginwSSTjfm, 12_lag_16_median_traCA, 12_lag_21_median_nhSICsep, 12_lag_20_median_scpPSLjfm, 12_lag_15_median_shTSjfm, 12_lag_20_median_traEC, 18_lag_ensoSSTjfm, 12_lag_20_median_traCA, 12_lag_20_median_ensoSSTjfm, 12_lag_18_median_pdoSSTjfm, 12_lag_17_median_amo2, 12_lag_16_median_nhSICsep_1235_12"
LinearRegression,8,30,samPSLann,slow,874.5,2005.5,0.8,23,13,13,12.707371795633634,-0.16943782537151328,1235,"['13_lag_22_median_naoPSLjfm', '13_lag_17_median_samPSLann', '13_lag_18_median_tripol3', '13_lag_18_median_nppc2SSTjfm', '13_lag_20_median_glTSjfm', '13_lag_20_median_tripol1', '13_lag_21_median_seurTSjfm', '13_lag_20_median_ensoSSTjfm', '13_lag_17_median_traWP', '13_lag_21_median_satlSSTjfm', '16_lag_glomaSSTjfm', '16_lag_shTSjfm', '13_lag_17_median_amo2', '13_lag_16_median_gyreSSTjfm', '13_lag_22_median_mhfATL45', '13_lag_17_median_shSICmar', '19_lag_tripol1', '13_lag_20_median_shSICmar', '13_lag_16_median_nhSICsep', '13_lag_17_median_ginwSSTjfm', '13_lag_17_median_amo1', '13_lag_19_median_nchinaPRjja', '13_lag_21_median_traCA', '13_lag_21_median_yrvPRjja', '13_lag_19_median_shSICsep', '13_lag_19_median_shSICmar', '13_lag_21_median_stratZ50ndj03', '13_lag_19_median_tripol1', '13_lag_17_median_nhSICsep', '20_lag_glomaSSTjfm']","[0.14364500620243342, 0.14596693131060012, 0.11530816872525142, 0.0006686591315534905, 0.24069513646029814, 0.10302673444416842, 0.20979698385957485, 0.05270293485277609, 0.12462833717061031, 0.08929541252320167, 0.0888988839190767, 0.008161324679013485, 0.026103745808908414, 0.08893861739668003, 0.04472573175346385, 0.0031214957811180944, 0.017421168767635543, 0.21362112486886176, 0.13964381432452339, 0.0047806907613206695, 0.08526926691611848, 0.054507379468728204, 0.07885826483594847, 0.04184443500978507, 0.0425652682673562, 0.18774715801214242, 0.09026627524042229, 0.11195928099377667, 0.2373933424745175, 0.09340866332588735]","13_lag_22_median_naoPSLjfm, 13_lag_17_median_samPSLann, 13_lag_18_median_tripol3, 13_lag_18_median_nppc2SSTjfm, 13_lag_20_median_glTSjfm, 13_lag_20_median_tripol1, 13_lag_21_median_seurTSjfm, 13_lag_20_median_ensoSSTjfm, 13_lag_17_median_traWP, 13_lag_21_median_satlSSTjfm, 16_lag_glomaSSTjfm, 16_lag_shTSjfm, 13_lag_17_median_amo2, 13_lag_16_median_gyreSSTjfm, 13_lag_22_median_mhfATL45, 13_lag_17_median_shSICmar, 19_lag_tripol1, 13_lag_20_median_shSICmar, 13_lag_16_median_nhSICsep, 13_lag_17_median_ginwSSTjfm, 13_lag_17_median_amo1, 13_lag_19_median_nchinaPRjja, 13_lag_21_median_traCA, 13_lag_21_median_yrvPRjja, 13_lag_19_median_shSICsep, 13_lag_19_median_shSICmar, 13_lag_21_median_stratZ50ndj03, 13_lag_19_median_tripol1, 13_lag_17_median_nhSICsep, 20_lag_glomaSSTjfm_1235_13"
LinearRegression,9,30,samPSLann,slow,875.5,2005.5,0.8,24,14,14,12.001312755611622,-0.10012071445648454,1235,"['14_lag_19_median_cetTSjfm', '14_lag_20_median_tripol1', '14_lag_22_median_traTLS', '14_lag_22_median_yrvPRjja', '21_lag_amo2', '14_lag_18_median_traDS', '14_lag_17_median_amo1', '14_lag_17_median_traFSC', '14_lag_22_median_stratZ50ndj04', '14_lag_18_median_amo3', '14_lag_17_median_mhfATL30', '14_lag_20_median_traWP', '14_lag_21_median_eurPSLjfm', '14_lag_20_median_traTLS', '14_lag_18_median_nppc2SSTjfm', '14_lag_22_median_nhSICsep', '14_lag_17_median_tripol3', '14_lag_20_median_mhfIP30', '14_lag_22_median_traBS', '14_lag_21_median_atlSICjfm', '14_lag_20_median_AMOCann', '14_lag_21_median_ismPRjja', '14_lag_22_median_traIFC', '14_lag_18_median_amo1', '14_lag_18_median_amo2', '14_lag_20_median_shSICmar', '14_lag_17_median_tripol1', '14_lag_18_median_ormenSSTjfm', '14_lag_17_median_ormenSSTjfm', '14_lag_17_median_traDP']","[0.017246135119641556, 0.010282516782722087, 0.04704765471784867, 0.0003062196563191191, 0.06120909556848836, 0.18117060939664703, 0.02988252704056054, 0.08880970968977633, 0.08243790185555744, 0.07345805208776712, 0.024725622487191456, 0.021423631986577815, 0.008668533696658402, 0.11205276022111231, 0.0455184636339976, 0.06501622294570876, 0.08399298993559251, 0.11406834556318922, 0.041236888444478925, 0.08661844454549038, 0.07312190971493328, 0.02578944106316526, 0.03813438630569138, 0.16103046104856747, 0.00824257962066672, 0.001324126745457745, 0.021278139460973275, 0.03411021147355965, 0.007209965769710934, 0.0031362145899659407]","14_lag_19_median_cetTSjfm, 14_lag_20_median_tripol1, 14_lag_22_median_traTLS, 14_lag_22_median_yrvPRjja, 21_lag_amo2, 14_lag_18_median_traDS, 14_lag_17_median_amo1, 14_lag_17_median_traFSC, 14_lag_22_median_stratZ50ndj04, 14_lag_18_median_amo3, 14_lag_17_median_mhfATL30, 14_lag_20_median_traWP, 14_lag_21_median_eurPSLjfm, 14_lag_20_median_traTLS, 14_lag_18_median_nppc2SSTjfm, 14_lag_22_median_nhSICsep, 14_lag_17_median_tripol3, 14_lag_20_median_mhfIP30, 14_lag_22_median_traBS, 14_lag_21_median_atlSICjfm, 14_lag_20_median_AMOCann, 14_lag_21_median_ismPRjja, 14_lag_22_median_traIFC, 14_lag_18_median_amo1, 14_lag_18_median_amo2, 14_lag_20_median_shSICmar, 14_lag_17_median_tripol1, 14_lag_18_median_ormenSSTjfm, 14_lag_17_median_ormenSSTjfm, 14_lag_17_median_traDP_1235_14"
