model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,satlSSTjfm,slow,866.5,2005.5,0.8,15,1,1,22.55072548941109,0.07044858669424582,1755,"['1_lag_12_median_traFSC', '1_lag_6_median_traIT', '1_lag_8_median_scpPSLjfm', '7_lag_stratZ50ndj03', '1_lag_samPSLann', '3_lag_traMC', '7_lag_traBS', '4_lag_gyreSSTjfm', '1_lag_13_median_traCA', '10_lag_stratZ50ndj01', '14_lag_alpi', '1_lag_9_median_nhSICjfm', '1_lag_5_median_shSICmar', '1_lag_8_median_shSICmar', '3_lag_mhfATL60', '1_lag_8_median_ginwSSTjfm', '7_lag_nhTSjfm', '1_lag_12_median_tripol3', '10_lag_yrvPRjja', '1_lag_12_median_pdoSSTjfm', '7_lag_eapPSLjfm', '5_lag_glomaSSTjfm', '11_lag_traBO', '1_lag_neurTSjfm', '3_lag_gyreSSTjfm', '7_lag_glomaSSTjfm', '9_lag_traWP', '2_lag_gyreSSTjfm', '5_lag_amo2', '1_lag_4_median_nhSICsep']","[4.844479402089865, 7.37980591207789, 0.1708653532104094, 0.44113747507465995, 2.7674894487744073, 3.725838058142603, 3.0426791866329452, 0.9399239479438002, 4.496695588601433, 0.836020692686894, 5.956364056036067, 0.7378392167881636, 2.2570692902545364, 6.231695961837227, 8.895472195557751, 8.369055336917011, 3.0269095329856874, 5.898954056675439, 0.5981773645387634, 4.595321575369605, 1.3365375926689502, 9.380855989284626, 4.190439188533565, 5.816573886627452, 8.186169237034296, 7.460018475846524, 1.647177686295695, 1.3783415356735347, 9.253042109795942, 3.6385894584327403]","1_lag_12_median_traFSC, 1_lag_6_median_traIT, 1_lag_8_median_scpPSLjfm, 7_lag_stratZ50ndj03, 1_lag_samPSLann, 3_lag_traMC, 7_lag_traBS, 4_lag_gyreSSTjfm, 1_lag_13_median_traCA, 10_lag_stratZ50ndj01, 14_lag_alpi, 1_lag_9_median_nhSICjfm, 1_lag_5_median_shSICmar, 1_lag_8_median_shSICmar, 3_lag_mhfATL60, 1_lag_8_median_ginwSSTjfm, 7_lag_nhTSjfm, 1_lag_12_median_tripol3, 10_lag_yrvPRjja, 1_lag_12_median_pdoSSTjfm, 7_lag_eapPSLjfm, 5_lag_glomaSSTjfm, 11_lag_traBO, 1_lag_neurTSjfm, 3_lag_gyreSSTjfm, 7_lag_glomaSSTjfm, 9_lag_traWP, 2_lag_gyreSSTjfm, 5_lag_amo2, 1_lag_4_median_nhSICsep_1755_1"
LRforcedPSO,1,30,satlSSTjfm,slow,867.5,2005.5,0.8,16,1,1,39.1561892311416,0.6841486565319638,1885,"['1_lag_nhTSjfm', '1_lag_2_median_alpi', '6_lag_samPSLann', '1_lag_6_median_glomaSSTjfm', '4_lag_traBS', '11_lag_gyreSSTjfm', '1_lag_8_median_traFSC', '1_lag_2_median_mhfATL30', '15_lag_stratZ50ndj02', '14_lag_traIT', '2_lag_yrvPRjja', '7_lag_wnorPRjfm', '1_lag_4_median_glTSjfm', '2_lag_stratZ50ndj02', '15_lag_ismPRjja', '14_lag_traFS', '1_lag_11_median_traFB', '12_lag_ismPRjja', '1_lag_13_median_traBO', '4_lag_labSSTjfm', '14_lag_nhSICsep', '4_lag_traIFC', '1_lag_12_median_eurPSLjfm', '1_lag_15_median_traIFC', '15_lag_mhfATL60', '11_lag_amo1', '1_lag_11_median_shTSjfm', '11_lag_shTSjfm', '1_lag_6_median_traFSC', '1_lag_6_median_seurTSjfm']","[7.4586512253907316, 1.494408388652042, 3.204979093545546, 3.0052647939101025, 4.101538806939153, 8.351913402989373, 4.312313990931354, 7.940549552530984, 1.583406015721021, 3.769231166989268, 1.1988940073792147, 8.446712113012516, 4.7784186789620815, 1.7639792553331866, 2.176610912089954, 4.553685463877148, 1.5418424157203745, 3.3570168495102948, 1.266890564250403, 1.8532745474852632, 7.352831954367842, 1.3993684493816065, 8.356276595056094, 7.430852851421577, 2.7761355961208807, 2.902420281188025, 7.116232568667346, 0.6144883959977356, 0.660689476542867, 2.968718060701443]","1_lag_nhTSjfm, 1_lag_2_median_alpi, 6_lag_samPSLann, 1_lag_6_median_glomaSSTjfm, 4_lag_traBS, 11_lag_gyreSSTjfm, 1_lag_8_median_traFSC, 1_lag_2_median_mhfATL30, 15_lag_stratZ50ndj02, 14_lag_traIT, 2_lag_yrvPRjja, 7_lag_wnorPRjfm, 1_lag_4_median_glTSjfm, 2_lag_stratZ50ndj02, 15_lag_ismPRjja, 14_lag_traFS, 1_lag_11_median_traFB, 12_lag_ismPRjja, 1_lag_13_median_traBO, 4_lag_labSSTjfm, 14_lag_nhSICsep, 4_lag_traIFC, 1_lag_12_median_eurPSLjfm, 1_lag_15_median_traIFC, 15_lag_mhfATL60, 11_lag_amo1, 1_lag_11_median_shTSjfm, 11_lag_shTSjfm, 1_lag_6_median_traFSC, 1_lag_6_median_seurTSjfm_1885_1"
LRforcedPSO,2,30,satlSSTjfm,slow,868.5,2005.5,0.8,17,1,1,31.526982490791134,-0.2535189195262863,2015,"['4_lag_arcTSjfm', '1_lag_13_median_traDP', '1_lag_6_median_traDS', '10_lag_arcTSjfm', '1_lag_9_median_traFS', '1_lag_10_median_traIT', '1_lag_6_median_traMC', '5_lag_naoPSLjfm', '1_lag_8_median_eurPSLjfm', '7_lag_samPSLann', '1_lag_6_median_traFSC', '1_lag_4_median_nchinaPRjja', '8_lag_nppc2SSTjfm', '15_lag_mhfATL60', '1_lag_9_median_traBO', '1_lag_4_median_traIFC', '3_lag_cetTSjfm', '1_lag_12_median_wnorPRjfm', '14_lag_ginwSSTjfm', '3_lag_ismPRjja', '1_lag_4_median_mhfIP30', '7_lag_AMOCann', '1_lag_5_median_arcTSjfm', '12_lag_glTSjfm', '14_lag_solFORC', '1_lag_12_median_traBS', '10_lag_shTSjfm', '1_lag_12_median_tripol2', '15_lag_traDS', '8_lag_shSICmar']","[7.455426481181924, 0.35536556776361294, 4.095275234432174, 0.8756462696540961, 7.429921107989237, 3.8167484305835186, 0.36653181048720285, 8.278961146012243, 4.704678604522856, 5.706779868014095, 2.752438689255772, 1.2257287279090612, 3.1227066406126873, 0.45686610187448906, 9.83826986524678, 4.470162891760692, 3.2863481541884916, 1.5530451762219748, 5.055006206839419, 7.0212818581577485, 5.646183094912402, 3.132085198313252, 5.692475653149969, 7.8532999299211586, 1.6205965775463795, 5.8733946829641965, 0.20219931481943476, 4.770930705547897, 1.9303373010330986, 7.9649335661860015]","4_lag_arcTSjfm, 1_lag_13_median_traDP, 1_lag_6_median_traDS, 10_lag_arcTSjfm, 1_lag_9_median_traFS, 1_lag_10_median_traIT, 1_lag_6_median_traMC, 5_lag_naoPSLjfm, 1_lag_8_median_eurPSLjfm, 7_lag_samPSLann, 1_lag_6_median_traFSC, 1_lag_4_median_nchinaPRjja, 8_lag_nppc2SSTjfm, 15_lag_mhfATL60, 1_lag_9_median_traBO, 1_lag_4_median_traIFC, 3_lag_cetTSjfm, 1_lag_12_median_wnorPRjfm, 14_lag_ginwSSTjfm, 3_lag_ismPRjja, 1_lag_4_median_mhfIP30, 7_lag_AMOCann, 1_lag_5_median_arcTSjfm, 12_lag_glTSjfm, 14_lag_solFORC, 1_lag_12_median_traBS, 10_lag_shTSjfm, 1_lag_12_median_tripol2, 15_lag_traDS, 8_lag_shSICmar_2015_1"
LRforcedPSO,3,30,satlSSTjfm,slow,869.5,2005.5,0.8,18,1,1,24.02679241600503,0.14000819293696823,2145,"['1_lag_4_median_neurTSjfm', '1_lag_16_median_shTSjfm', '9_lag_wnorPRjfm', '12_lag_labSSTjfm', '2_lag_traEC', '1_lag_10_median_traFS', '1_lag_6_median_nhSICsep', '11_lag_traTLS', '12_lag_amo1', '1_lag_13_median_traCA', '1_lag_12_median_atlSICsep', '1_lag_3_median_atlSICjfm', '6_lag_mhfATL45', '6_lag_atlSICsep', '1_lag_7_median_labSSTjfm', '11_lag_traWP', '16_lag_nhTSjfm', '1_lag_9_median_AMOCann', '6_lag_stratZ50ndj02', '11_lag_traIT', '17_lag_yrvPRjja', '9_lag_ginwSSTjfm', '5_lag_traFSC', '15_lag_glTSjfm', '16_lag_solFORC', '1_lag_16_median_nhSICjfm', '1_lag_17_median_traBO', '14_lag_atlSICjfm', '1_lag_13_median_cetTSjfm', '14_lag_traTLS']","[7.411833948794997, 1.8761005395899382, 6.562749962087864, 8.917081181492394, 8.610484906772305, 7.4590563407898935, 5.342714225238279, 9.18136907089507, 6.971533717440007, 5.718727061321271, 2.3847402521276333, 4.777832732516787, 2.6464294078664707, 1.3564407163962393, 4.607898080393498, 4.185088977924131, 2.657849015349642, 5.065077208890973, 2.970070760960639, 6.046674145045987, 7.78274896662511, 1.595350857266407, 6.379369958254994, 2.4322200538992362, 0.7203907355157, 3.78167522963696, 8.463094704305362, 1.227943676740308, 2.3869816626905997, 3.4875036357105067]","1_lag_4_median_neurTSjfm, 1_lag_16_median_shTSjfm, 9_lag_wnorPRjfm, 12_lag_labSSTjfm, 2_lag_traEC, 1_lag_10_median_traFS, 1_lag_6_median_nhSICsep, 11_lag_traTLS, 12_lag_amo1, 1_lag_13_median_traCA, 1_lag_12_median_atlSICsep, 1_lag_3_median_atlSICjfm, 6_lag_mhfATL45, 6_lag_atlSICsep, 1_lag_7_median_labSSTjfm, 11_lag_traWP, 16_lag_nhTSjfm, 1_lag_9_median_AMOCann, 6_lag_stratZ50ndj02, 11_lag_traIT, 17_lag_yrvPRjja, 9_lag_ginwSSTjfm, 5_lag_traFSC, 15_lag_glTSjfm, 16_lag_solFORC, 1_lag_16_median_nhSICjfm, 1_lag_17_median_traBO, 14_lag_atlSICjfm, 1_lag_13_median_cetTSjfm, 14_lag_traTLS_2145_1"
LRforcedPSO,4,30,satlSSTjfm,slow,870.5,2005.5,0.8,19,1,1,19.569310429948395,0.33932741848315257,2275,"['12_lag_traIT', '8_lag_traCA', '18_lag_nhSICjfm', '1_lag_15_median_ismPRjja', '1_lag_11_median_stratZ50ndj04', '1_lag_10_median_traFB', '12_lag_nhTSjfm', '13_lag_seurTSjfm', '1_lag_stratZ50ndj04', '1_lag_10_median_tripol1', '1_lag_2_median_mhfATL45', '5_lag_AMOCann', '14_lag_traMC', '1_lag_12_median_glomaSSTjfm', '7_lag_gyreSSTjfm', '1_lag_12_median_nhSICsep', '1_lag_11_median_amo2', '1_lag_13_median_amo1', '2_lag_amo3', '1_lag_9_median_nhSICjfm', '13_lag_samPSLann', '1_lag_14_median_mhfIP30', '13_lag_traDS', '15_lag_nhTSjfm', '10_lag_amoSSTmjjaso', '1_lag_5_median_traFSC', '1_lag_7_median_traBO', '1_lag_4_median_eurPSLjfm', '1_lag_17_median_traIFC', '1_lag_16_median_traBO']","[1.6919776778991125, 4.230595984480299, 8.361968929678337, 1.8892847191795887, 2.8904542906583686, 1.6090868316769065, 1.4761316005204161, 2.9408400337810736, 3.933226115709849, 5.423650785680714, 3.963190513730284, 4.038049801220909, 0.6699120432544898, 2.5439640288698566, 3.971062594760326, 0.6794322097295407, 4.508139214381222, 1.1515371884934176, 0.946358469708052, 2.753019169416344, 0.5646472264765556, 3.2460119938639265, 3.8232418987251204, 3.046672680370195, 9.141212357598686, 2.9979292725453472, 4.886088103272472, 7.876194587361518, 7.993300822273071, 5.876361921779061]","12_lag_traIT, 8_lag_traCA, 18_lag_nhSICjfm, 1_lag_15_median_ismPRjja, 1_lag_11_median_stratZ50ndj04, 1_lag_10_median_traFB, 12_lag_nhTSjfm, 13_lag_seurTSjfm, 1_lag_stratZ50ndj04, 1_lag_10_median_tripol1, 1_lag_2_median_mhfATL45, 5_lag_AMOCann, 14_lag_traMC, 1_lag_12_median_glomaSSTjfm, 7_lag_gyreSSTjfm, 1_lag_12_median_nhSICsep, 1_lag_11_median_amo2, 1_lag_13_median_amo1, 2_lag_amo3, 1_lag_9_median_nhSICjfm, 13_lag_samPSLann, 1_lag_14_median_mhfIP30, 13_lag_traDS, 15_lag_nhTSjfm, 10_lag_amoSSTmjjaso, 1_lag_5_median_traFSC, 1_lag_7_median_traBO, 1_lag_4_median_eurPSLjfm, 1_lag_17_median_traIFC, 1_lag_16_median_traBO_2275_1"
LRforcedPSO,5,30,satlSSTjfm,slow,871.5,2005.5,0.8,20,1,1,37.52561752430862,0.7184736386331183,2405,"['1_lag_18_median_traFB', '1_lag_2_median_nppc2SSTjfm', '1_lag_13_median_solFORC', '1_lag_2_median_nhSICjfm', '5_lag_stratZ50ndj01', '4_lag_samPSLann', '7_lag_traWP', '1_lag_gyreSSTjfm', '1_lag_17_median_glomaSSTjfm', '1_lag_traWP', '7_lag_shSICsep', '1_lag_8_median_glTSjfm', '1_lag_7_median_satlSSTjfm', '15_lag_traFB', '1_lag_10_median_seurTSjfm', '1_lag_3_median_naoPSLjfm', '1_lag_9_median_traBO', '13_lag_traBS', '13_lag_traDP', '1_lag_2_median_stratZ50ndj04', '1_lag_8_median_labSSTjfm', '1_lag_15_median_mhfATL60', '18_lag_ginwSSTjfm', '1_lag_17_median_wnorPRjfm', '1_lag_5_median_amoSSTmjjaso', '2_lag_traDP', '1_lag_12_median_shSICmar', '19_lag_pdoSSTjfm', '1_lag_9_median_cetTSjfm', '1_lag_6_median_traDS']","[1.7305528365508334, 3.1824962880062824, 0.4760559244419156, 7.076317471826165, 0.8788901628020245, 4.046500947914868, 2.333779953796224, 3.4185643895445335, 6.15036030915401, 0.0431816099373421, 0.725226539575976, 9.22731661105998, 7.390828259503321, 5.564842740960678, 0.7099964137000914, 5.591608524607244, 0.32529474666159786, 2.0675098540214734, 3.1166713934129175, 4.403490360407151, 3.3557169359953365, 9.960418757333754, 2.7920607049981037, 4.664543255338504, 2.0674485456807297, 9.690953236675915, 0.6403503952485643, 4.77894272646211, 4.628987092317264, 0.04644157976881225]","1_lag_18_median_traFB, 1_lag_2_median_nppc2SSTjfm, 1_lag_13_median_solFORC, 1_lag_2_median_nhSICjfm, 5_lag_stratZ50ndj01, 4_lag_samPSLann, 7_lag_traWP, 1_lag_gyreSSTjfm, 1_lag_17_median_glomaSSTjfm, 1_lag_traWP, 7_lag_shSICsep, 1_lag_8_median_glTSjfm, 1_lag_7_median_satlSSTjfm, 15_lag_traFB, 1_lag_10_median_seurTSjfm, 1_lag_3_median_naoPSLjfm, 1_lag_9_median_traBO, 13_lag_traBS, 13_lag_traDP, 1_lag_2_median_stratZ50ndj04, 1_lag_8_median_labSSTjfm, 1_lag_15_median_mhfATL60, 18_lag_ginwSSTjfm, 1_lag_17_median_wnorPRjfm, 1_lag_5_median_amoSSTmjjaso, 2_lag_traDP, 1_lag_12_median_shSICmar, 19_lag_pdoSSTjfm, 1_lag_9_median_cetTSjfm, 1_lag_6_median_traDS_2405_1"
LRforcedPSO,6,30,satlSSTjfm,slow,872.5,2005.5,0.8,21,1,1,18.627098718200994,0.2965168135663049,2535,"['1_lag_7_median_amoSSTmjjaso', '20_lag_tripol3', '1_lag_13_median_pdoSSTjfm', '1_lag_14_median_scpPSLjfm', '1_lag_12_median_shSICsep', '1_lag_13_median_alpi', '3_lag_amo1', '1_lag_14_median_traWP', '1_lag_18_median_traMC', '2_lag_tripol3', '1_lag_2_median_scpPSLjfm', '2_lag_traFSC', '1_lag_5_median_labSSTjfm', '1_lag_4_median_solFORC', '4_lag_shSICsep', '9_lag_traEC', '3_lag_ismPRjja', '1_lag_2_median_traIFC', '1_lag_8_median_traCA', '13_lag_stratZ50ndj01', '1_lag_11_median_traBO', '9_lag_satlSSTjfm', '1_lag_scpPSLjfm', '17_lag_traBO', '18_lag_traDS', '20_lag_mhfATL60', '1_lag_9_median_solFORC', '3_lag_atlSICjfm', '1_lag_11_median_ginwSSTjfm', '19_lag_traBO']","[2.4141191288148196, 0.5648944961324727, 1.695680373653781, 0.1978167673139275, 2.668325285553358, 7.2759871696389755, 1.9503747325848497, 9.926742827238336, 0.20609654629188512, 1.366839305586664, 2.4436033262282724, 0.1272587081461296, 4.141681124111809, 6.986125781983876, 6.330571804081114, 5.895072520338536, 3.955243401288957, 4.76525543988615, 2.4787553426430424, 7.092076172059166, 3.055237768457122, 9.481287050555299, 4.6175319894603355, 4.102616808546291, 1.5069700062300146, 0.2219527228827083, 2.721728588297399, 1.1403825224803867, 4.9654543539516425, 5.1194842461129575]","1_lag_7_median_amoSSTmjjaso, 20_lag_tripol3, 1_lag_13_median_pdoSSTjfm, 1_lag_14_median_scpPSLjfm, 1_lag_12_median_shSICsep, 1_lag_13_median_alpi, 3_lag_amo1, 1_lag_14_median_traWP, 1_lag_18_median_traMC, 2_lag_tripol3, 1_lag_2_median_scpPSLjfm, 2_lag_traFSC, 1_lag_5_median_labSSTjfm, 1_lag_4_median_solFORC, 4_lag_shSICsep, 9_lag_traEC, 3_lag_ismPRjja, 1_lag_2_median_traIFC, 1_lag_8_median_traCA, 13_lag_stratZ50ndj01, 1_lag_11_median_traBO, 9_lag_satlSSTjfm, 1_lag_scpPSLjfm, 17_lag_traBO, 18_lag_traDS, 20_lag_mhfATL60, 1_lag_9_median_solFORC, 3_lag_atlSICjfm, 1_lag_11_median_ginwSSTjfm, 19_lag_traBO_2535_1"
LRforcedPSO,7,30,satlSSTjfm,slow,873.5,2005.5,0.8,22,2,2,31.230399006766426,0.6091169702614743,2535,"['4_lag_mhfATL60', '2_lag_amoSSTmjjaso', '5_lag_nppc2SSTjfm', '2_lag_5_median_nppc2SSTjfm', '2_lag_12_median_traBO', '2_lag_11_median_nhSICjfm', '2_lag_stratZ50ndj02', '17_lag_tripol3', '2_lag_6_median_eapPSLjfm', '2_lag_16_median_traWP', '2_lag_17_median_traFB', '2_lag_8_median_amo1', '2_lag_12_median_alpi', '3_lag_pdoSSTjfm', '2_lag_13_median_ensoSSTjfm', '2_lag_19_median_atlSICjfm', '2_lag_14_median_atlSICsep', '11_lag_traWP', '2_lag_20_median_stratZ50ndj04', '11_lag_tripol1', '10_lag_traDP', '21_lag_samPSLann', '2_lag_14_median_samPSLann', '17_lag_scpPSLjfm', '4_lag_mhfATL30', '2_lag_13_median_ismPRjja', '2_lag_19_median_traFS', '15_lag_AMOCann', '2_lag_5_median_shSICsep', '4_lag_nppc2SSTjfm']","[4.351217262168635, 0.5436935754934584, 4.939981271244079, 1.726471506134759, 1.3186753931724269, 3.3563113848768866, 7.438710618227237, 2.275525693994304, 5.2753128901647806, 7.6874474701727085, 9.365380440798123, 5.381606200699363, 6.366440655463139, 2.7414037899334165, 1.7784337245345654, 5.274127686927578, 9.645724984398452, 3.2561311966503137, 7.054880822537729, 1.1914835295363737, 7.286406944618225, 3.7786427183530087, 0.8649880548191557, 1.891167464348488, 9.24741987933378, 1.785841377721141, 2.3898463366924965, 3.9085063572057734, 1.1600543994435935, 3.0789238286700087]","4_lag_mhfATL60, 2_lag_amoSSTmjjaso, 5_lag_nppc2SSTjfm, 2_lag_5_median_nppc2SSTjfm, 2_lag_12_median_traBO, 2_lag_11_median_nhSICjfm, 2_lag_stratZ50ndj02, 17_lag_tripol3, 2_lag_6_median_eapPSLjfm, 2_lag_16_median_traWP, 2_lag_17_median_traFB, 2_lag_8_median_amo1, 2_lag_12_median_alpi, 3_lag_pdoSSTjfm, 2_lag_13_median_ensoSSTjfm, 2_lag_19_median_atlSICjfm, 2_lag_14_median_atlSICsep, 11_lag_traWP, 2_lag_20_median_stratZ50ndj04, 11_lag_tripol1, 10_lag_traDP, 21_lag_samPSLann, 2_lag_14_median_samPSLann, 17_lag_scpPSLjfm, 4_lag_mhfATL30, 2_lag_13_median_ismPRjja, 2_lag_19_median_traFS, 15_lag_AMOCann, 2_lag_5_median_shSICsep, 4_lag_nppc2SSTjfm_2535_2"
LRforcedPSO,8,30,satlSSTjfm,slow,874.5,2005.5,0.8,23,3,3,21.248042500279837,0.2977920605340599,2535,"['13_lag_seurTSjfm', '3_lag_15_median_traMC', '14_lag_mhfATL45', '3_lag_22_median_ormenSSTjfm', '3_lag_20_median_traFB', '3_lag_8_median_mhfIP30', '15_lag_nchinaPRjja', '12_lag_stratZ50ndj02', '3_lag_8_median_traIFC', '13_lag_traTLS', '10_lag_tripol1', '3_lag_5_median_scpPSLjfm', '3_lag_7_median_samPSLann', '15_lag_traFSC', '6_lag_traFB', '3_lag_6_median_amo1', '3_lag_21_median_gyreSSTjfm', '3_lag_13_median_eapPSLjfm', '3_lag_12_median_mhfATL30', '3_lag_10_median_shSICsep', '3_lag_7_median_nhTSjfm', '15_lag_nppc3SSTjfm', '6_lag_scpPSLjfm', '3_lag_19_median_amo1', '12_lag_traBO', '22_lag_shSICmar', '3_lag_22_median_naoPSLjfm', '3_lag_6_median_atlSICsep', '3_lag_12_median_seurTSjfm', '3_lag_21_median_traEC']","[6.077848147132947, 5.342193421940447, 6.584293264941234, 0.867435883863255, 0.4293337566295712, 4.824572556505711, 2.9751337269098315, 1.792885455859853, 0.6729422979402759, 6.67204911178813, 0.4554713889055009, 4.754274757180568, 1.2179180163776433, 7.158786356809831, 5.281852507163169, 5.9410474537513185, 2.1487318277533056, 6.27175025784918, 6.54385596796708, 3.446605333449564, 0.48755865279677835, 1.450915481724282, 8.469003643144879, 1.9074247011164545, 5.8451031723708535, 7.693134126169607, 4.626933235129172, 4.047029253236863, 3.043979038420373, 1.6174400925782777]","13_lag_seurTSjfm, 3_lag_15_median_traMC, 14_lag_mhfATL45, 3_lag_22_median_ormenSSTjfm, 3_lag_20_median_traFB, 3_lag_8_median_mhfIP30, 15_lag_nchinaPRjja, 12_lag_stratZ50ndj02, 3_lag_8_median_traIFC, 13_lag_traTLS, 10_lag_tripol1, 3_lag_5_median_scpPSLjfm, 3_lag_7_median_samPSLann, 15_lag_traFSC, 6_lag_traFB, 3_lag_6_median_amo1, 3_lag_21_median_gyreSSTjfm, 3_lag_13_median_eapPSLjfm, 3_lag_12_median_mhfATL30, 3_lag_10_median_shSICsep, 3_lag_7_median_nhTSjfm, 15_lag_nppc3SSTjfm, 6_lag_scpPSLjfm, 3_lag_19_median_amo1, 12_lag_traBO, 22_lag_shSICmar, 3_lag_22_median_naoPSLjfm, 3_lag_6_median_atlSICsep, 3_lag_12_median_seurTSjfm, 3_lag_21_median_traEC_2535_3"
LRforcedPSO,9,30,satlSSTjfm,slow,875.5,2005.5,0.8,24,4,4,39.08590600884219,-0.5358004637223809,2535,"['4_lag_7_median_atlSICsep', '13_lag_shSICsep', '7_lag_traIFC', '4_lag_12_median_traIFC', '14_lag_traDP', '11_lag_neurTSjfm', '4_lag_ismPRjja', '16_lag_pdoSSTjfm', '19_lag_shSICsep', '4_lag_7_median_pdoSSTjfm', '4_lag_7_median_amo2', '5_lag_traCA', '11_lag_solFORC', '18_lag_mhfATL60', '20_lag_stratZ50ndj03', '4_lag_12_median_mhfATL60', '4_lag_23_median_samPSLann', '22_lag_nppc3SSTjfm', '14_lag_traBO', '15_lag_traTLS', '16_lag_stratZ50ndj01', '4_lag_23_median_traEC', '4_lag_23_median_tripol3', '15_lag_stratZ50ndj01', '5_lag_AMOCann', '4_lag_23_median_stratZ50ndj04', '4_lag_18_median_tripol1', '4_lag_10_median_traFS', '18_lag_traEC', '4_lag_15_median_stratZ50ndj04']","[8.054025308294023, 1.134584576277204, 6.583098179529207, 6.63433626400713, 0.30992295996269625, 3.7040042889644056, 2.2259639343520714, 1.6920809268518404, 4.345200330782282, 6.044361021070454, 3.355501168642574, 1.4328935210623435, 0.026101736131865394, 0.6181940429140926, 3.906878291851763, 7.424530401806898, 1.8891116271561579, 0.34280702917028805, 1.6439722206854395, 7.586623121525575, 1.9328093435770217, 0.08087319098028445, 7.288107351597324, 5.27912655562635, 6.264392452218036, 0.31028845879347067, 5.975515860404277, 7.38258406378163, 0.6277544801269723, 1.3481290270427415]","4_lag_7_median_atlSICsep, 13_lag_shSICsep, 7_lag_traIFC, 4_lag_12_median_traIFC, 14_lag_traDP, 11_lag_neurTSjfm, 4_lag_ismPRjja, 16_lag_pdoSSTjfm, 19_lag_shSICsep, 4_lag_7_median_pdoSSTjfm, 4_lag_7_median_amo2, 5_lag_traCA, 11_lag_solFORC, 18_lag_mhfATL60, 20_lag_stratZ50ndj03, 4_lag_12_median_mhfATL60, 4_lag_23_median_samPSLann, 22_lag_nppc3SSTjfm, 14_lag_traBO, 15_lag_traTLS, 16_lag_stratZ50ndj01, 4_lag_23_median_traEC, 4_lag_23_median_tripol3, 15_lag_stratZ50ndj01, 5_lag_AMOCann, 4_lag_23_median_stratZ50ndj04, 4_lag_18_median_tripol1, 4_lag_10_median_traFS, 18_lag_traEC, 4_lag_15_median_stratZ50ndj04_2535_4"
