model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,scpPSLjfm,slow,1514.5,2005.5,0.6,15,5,5,16.47311069142055,-0.035305704749622274,418,"['11_lag_atlSICsep', '8_lag_stratZ50ndj01', '10_lag_scpPSLjfm', '5_lag_12_median_shSICsep', '5_lag_stratZ50ndj02', '9_lag_amo3', '5_lag_11_median_nhSICsep', '9_lag_stratZ50ndj04', '7_lag_stratZ50ndj02', '14_lag_shSICsep']","[0.7542349682366805, 4.008801709200476, 2.7639448882897266, 0.04640088666453579, 6.0955778465854, 1.514631807525566, 0.21053934931393847, 1.2644625632961404, 3.255791627069966, 3.8337421946888455]","11_lag_atlSICsep, 8_lag_stratZ50ndj01, 10_lag_scpPSLjfm, 5_lag_12_median_shSICsep, 5_lag_stratZ50ndj02, 9_lag_amo3, 5_lag_11_median_nhSICsep, 9_lag_stratZ50ndj04, 7_lag_stratZ50ndj02, 14_lag_shSICsep_418_5"
LRforcedPSO,1,10,scpPSLjfm,slow,1515.5,2005.5,0.6,16,6,6,14.467367919751352,0.08619490801838506,418,"['6_lag_10_median_shSICmar', '6_lag_12_median_eurPSLjfm', '12_lag_amo2', '10_lag_eapPSLjfm', '7_lag_eapPSLjfm', '14_lag_eapPSLjfm', '6_lag_12_median_amo3', '9_lag_nhSICsep', '6_lag_9_median_shSICsep', '14_lag_solFORC']","[3.786087018940978, 0.6580863049043515, 3.0325064861718136, 1.7107860476652235, 2.3702291533955773, 2.2148534158008086, 2.9671703786529635, 0.09039677834655535, 3.5137909125155193, 3.9686236035162104]","6_lag_10_median_shSICmar, 6_lag_12_median_eurPSLjfm, 12_lag_amo2, 10_lag_eapPSLjfm, 7_lag_eapPSLjfm, 14_lag_eapPSLjfm, 6_lag_12_median_amo3, 9_lag_nhSICsep, 6_lag_9_median_shSICsep, 14_lag_solFORC_418_6"
LRforcedPSO,2,10,scpPSLjfm,slow,1516.5,2005.5,0.6,17,7,7,16.437732626425817,0.07416948757361284,418,"['7_lag_8_median_atlSICsep', '7_lag_14_median_amoSSTmjjaso', '7_lag_9_median_amoSSTmjjaso', '7_lag_15_median_amo2', '7_lag_9_median_amo2', '15_lag_stratZ50ndj04', '7_lag_16_median_atlSICjfm', '7_lag_10_median_eurPSLjfm', '16_lag_shSICmar', '15_lag_scpPSLjfm']","[0.45002498636641164, 3.9638225460692293, 5.8102003372212, 9.301383638057839, 9.829454816586322, 1.2536930732718137, 0.19129555331061354, 5.651253574851578, 5.643553695762794, 3.2048243798040783]","7_lag_8_median_atlSICsep, 7_lag_14_median_amoSSTmjjaso, 7_lag_9_median_amoSSTmjjaso, 7_lag_15_median_amo2, 7_lag_9_median_amo2, 15_lag_stratZ50ndj04, 7_lag_16_median_atlSICjfm, 7_lag_10_median_eurPSLjfm, 16_lag_shSICmar, 15_lag_scpPSLjfm_418_7"
LRforcedPSO,3,10,scpPSLjfm,slow,1517.5,2005.5,0.6,18,8,8,18.629817569721023,0.016715481426289206,418,"['8_lag_10_median_amoSSTmjjaso', '8_lag_9_median_stratZ50ndj03', '12_lag_shSICmar', '12_lag_eurPSLjfm', '8_lag_15_median_amo3', '13_lag_stratZ50ndj03', '8_lag_17_median_nhSICjfm', '9_lag_amo3', '13_lag_AMOCann', '8_lag_9_median_naoPSLjfm']","[2.579455286573733, 3.1095576456822567, 0.3019685799504508, 2.516270608295974, 0.4215989457949725, 3.793966178688459, 0.5852399159386543, 6.18243683893803, 9.502712627830142, 3.525784642016867]","8_lag_10_median_amoSSTmjjaso, 8_lag_9_median_stratZ50ndj03, 12_lag_shSICmar, 12_lag_eurPSLjfm, 8_lag_15_median_amo3, 13_lag_stratZ50ndj03, 8_lag_17_median_nhSICjfm, 9_lag_amo3, 13_lag_AMOCann, 8_lag_9_median_naoPSLjfm_418_8"
LRforcedPSO,4,10,scpPSLjfm,slow,1518.5,2005.5,0.6,19,9,9,15.577858598025452,0.06447388146117061,418,"['9_lag_14_median_stratZ50ndj01', '9_lag_12_median_shSICsep', '14_lag_eurPSLjfm', '15_lag_AMOCann', '18_lag_amo1', '15_lag_amo2', '9_lag_18_median_solFORC', '16_lag_amo1', '14_lag_scpPSLjfm', '17_lag_nhSICjfm']","[3.7288125730852943, 4.6935753705183325, 0.3239609683052116, 1.8542231789001455, 1.3914208081573385, 1.9294029161557553, 2.104672971592101, 1.2407218672425895, 4.600688605693055, 2.7776862424208915]","9_lag_14_median_stratZ50ndj01, 9_lag_12_median_shSICsep, 14_lag_eurPSLjfm, 15_lag_AMOCann, 18_lag_amo1, 15_lag_amo2, 9_lag_18_median_solFORC, 16_lag_amo1, 14_lag_scpPSLjfm, 17_lag_nhSICjfm_418_9"
LRforcedPSO,5,10,scpPSLjfm,slow,1519.5,2005.5,0.6,20,10,10,17.45618544517275,-0.1142165959031694,418,"['10_lag_14_median_eurPSLjfm', '13_lag_nhSICjfm', '10_lag_11_median_shSICmar', '10_lag_14_median_amoSSTmjjaso', '10_lag_19_median_amoSSTjfm', '10_lag_17_median_atlSICjfm', '10_lag_13_median_AMOCann', '10_lag_12_median_stratZ50ndj01', '13_lag_nppc2SSTjfm', '10_lag_15_median_amo2']","[0.7089966462700374, 1.9763025497047941, 0.3844587305154672, 4.3565325391116545, 7.480134307964786, 5.239621698702786, 3.9306982703291222, 0.8887683799361561, 1.5408714610793357, 2.322466747493028]","10_lag_14_median_eurPSLjfm, 13_lag_nhSICjfm, 10_lag_11_median_shSICmar, 10_lag_14_median_amoSSTmjjaso, 10_lag_19_median_amoSSTjfm, 10_lag_17_median_atlSICjfm, 10_lag_13_median_AMOCann, 10_lag_12_median_stratZ50ndj01, 13_lag_nppc2SSTjfm, 10_lag_15_median_amo2_418_10"
LRforcedPSO,6,10,scpPSLjfm,slow,1520.5,2005.5,0.6,21,11,11,21.851353252222143,-0.07686825774268885,418,"['11_lag_20_median_nhSICsep', '13_lag_nhSICjfm', '11_lag_17_median_solFORC', '15_lag_shSICsep', '11_lag_13_median_stratZ50ndj01', '17_lag_amo1', '12_lag_atlSICsep', '11_lag_19_median_naoPSLjfm', '11_lag_20_median_stratZ50ndj03', '16_lag_naoPSLjfm']","[4.228317627540179, 7.024012002967421, 4.858120442763387, 3.010342762654375, 1.3519917406088755, 4.526787870895369, 3.842687793324229, 1.3462646074524045, 3.085238044946399, 3.7712539896882724]","11_lag_20_median_nhSICsep, 13_lag_nhSICjfm, 11_lag_17_median_solFORC, 15_lag_shSICsep, 11_lag_13_median_stratZ50ndj01, 17_lag_amo1, 12_lag_atlSICsep, 11_lag_19_median_naoPSLjfm, 11_lag_20_median_stratZ50ndj03, 16_lag_naoPSLjfm_418_11"
LRforcedPSO,7,10,scpPSLjfm,slow,1521.5,2005.5,0.6,22,12,12,16.774007355390072,0.056073691361271216,418,"['12_lag_18_median_shSICsep', '19_lag_eapPSLjfm', '19_lag_naoPSLjfm', '13_lag_stratZ50ndj04', '21_lag_stratZ50ndj04', '17_lag_naoPSLjfm', '14_lag_naoPSLjfm', '12_lag_14_median_nppc2SSTjfm', '15_lag_eapPSLjfm', '12_lag_18_median_stratZ50ndj03']","[1.310767800825971, 6.654431040172741, 0.23965085704098854, 3.251209774792061, 2.942749506736842, 4.520475764236362, 3.898808073962483, 4.547049052394721, 2.0588081675012537, 1.2098847302972757]","12_lag_18_median_shSICsep, 19_lag_eapPSLjfm, 19_lag_naoPSLjfm, 13_lag_stratZ50ndj04, 21_lag_stratZ50ndj04, 17_lag_naoPSLjfm, 14_lag_naoPSLjfm, 12_lag_14_median_nppc2SSTjfm, 15_lag_eapPSLjfm, 12_lag_18_median_stratZ50ndj03_418_12"
LRforcedPSO,8,10,scpPSLjfm,slow,1522.5,2005.5,0.6,23,13,13,21.082049977938325,0.04916989797686374,418,"['22_lag_shSICmar', '13_lag_14_median_stratZ50ndj03', '15_lag_amo2', '13_lag_15_median_amoSSTjfm', '13_lag_18_median_stratZ50ndj03', '13_lag_16_median_nhSICsep', '13_lag_21_median_atlSICsep', '18_lag_eapPSLjfm', '18_lag_amoSSTjfm', '20_lag_solFORC']","[5.204390410934552, 5.454364743456836, 1.2744189320164168, 7.675920878438111, 0.1295741649567823, 6.350423953713056, 3.4711077027821524, 0.49167853939173156, 4.0525283589483525, 1.4554732069460101]","22_lag_shSICmar, 13_lag_14_median_stratZ50ndj03, 15_lag_amo2, 13_lag_15_median_amoSSTjfm, 13_lag_18_median_stratZ50ndj03, 13_lag_16_median_nhSICsep, 13_lag_21_median_atlSICsep, 18_lag_eapPSLjfm, 18_lag_amoSSTjfm, 20_lag_solFORC_418_13"
LRforcedPSO,9,10,scpPSLjfm,slow,1523.5,2005.5,0.6,24,14,14,17.393587729223814,-0.08009706172962297,418,"['17_lag_AMOCann', '19_lag_nhSICjfm', '14_lag_17_median_eapPSLjfm', '14_lag_20_median_shSICmar', '16_lag_nhSICjfm', '21_lag_amo1', '14_lag_20_median_amo2', '14_lag_15_median_naoPSLjfm', '14_lag_22_median_eurPSLjfm', '14_lag_15_median_solFORC']","[0.7551465461597768, 3.81797027309576, 4.907710220240931, 0.9450038704833013, 3.829469296540351, 6.009693500265222, 3.283217960996887, 0.3384879701413741, 2.844713573066178, 1.1431956031881185]","17_lag_AMOCann, 19_lag_nhSICjfm, 14_lag_17_median_eapPSLjfm, 14_lag_20_median_shSICmar, 16_lag_nhSICjfm, 21_lag_amo1, 14_lag_20_median_amo2, 14_lag_15_median_naoPSLjfm, 14_lag_22_median_eurPSLjfm, 14_lag_15_median_solFORC_418_14"
