model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,scpPSLjfm,slow,1714.5,2005.5,0.4,15,1,1,42.439819931045236,0.1180261721908066,1755,"['1_lag_3_median_ginwSSTjfm', '4_lag_wnorPRjfm', '1_lag_7_median_ginwSSTjfm', '1_lag_8_median_ismPRjja', '1_lag_2_median_traMC', '1_lag_7_median_traDP', '1_lag_8_median_traMC', '1_lag_5_median_nhSICjfm', '11_lag_nhSICjfm', '8_lag_traEU']","[5.9020766398968405, 4.091626750069035, 6.682612374143622, 3.9891001792692435, 3.373827991852103, 9.754042807236958, 5.692787657554348, 7.518138912991947, 3.916802245964412, 3.7020330516351034]","1_lag_3_median_ginwSSTjfm, 4_lag_wnorPRjfm, 1_lag_7_median_ginwSSTjfm, 1_lag_8_median_ismPRjja, 1_lag_2_median_traMC, 1_lag_7_median_traDP, 1_lag_8_median_traMC, 1_lag_5_median_nhSICjfm, 11_lag_nhSICjfm, 8_lag_traEU_1755_1"
LRforcedPSO,1,10,scpPSLjfm,slow,1715.5,2005.5,0.4,16,1,1,24.97217122997174,0.02881899242825647,1885,"['1_lag_13_median_traWP', '12_lag_tripol2', '2_lag_nchinaPRjja', '15_lag_nhSICjfm', '3_lag_traDP', '1_lag_traEC', '1_lag_10_median_amo1', '4_lag_ginwSSTjfm', '1_lag_13_median_satlSSTjfm', '1_lag_10_median_traDS']","[1.1182312246481079, 7.640653412251904, 1.7006883759738685, 5.387760378684888, 2.93207435433313, 1.6812874803041566, 0.7842017037158371, 2.88740214807466, 3.3644030579102413, 2.2791336603246304]","1_lag_13_median_traWP, 12_lag_tripol2, 2_lag_nchinaPRjja, 15_lag_nhSICjfm, 3_lag_traDP, 1_lag_traEC, 1_lag_10_median_amo1, 4_lag_ginwSSTjfm, 1_lag_13_median_satlSSTjfm, 1_lag_10_median_traDS_1885_1"
LRforcedPSO,2,10,scpPSLjfm,slow,1716.5,2005.5,0.4,17,1,1,25.93643414701553,-0.10589211119674524,2015,"['16_lag_ismPRjja', '1_lag_10_median_nhSICsep', '1_lag_9_median_glomaSSTjfm', '1_lag_4_median_stratZ50ndj02', '1_lag_2_median_mhfATL30', '8_lag_labSSTjfm', '11_lag_tripol1', '1_lag_7_median_nhSICsep', '1_lag_10_median_traFB', '1_lag_16_median_ismPRjja']","[1.681346339902312, 5.3156020844564384, 3.13838819533766, 2.57557568064259, 0.2312304366312805, 2.5511431786608902, 7.55461595294485, 1.0435873563874871, 2.131557842580058, 2.9611456086235073]","16_lag_ismPRjja, 1_lag_10_median_nhSICsep, 1_lag_9_median_glomaSSTjfm, 1_lag_4_median_stratZ50ndj02, 1_lag_2_median_mhfATL30, 8_lag_labSSTjfm, 11_lag_tripol1, 1_lag_7_median_nhSICsep, 1_lag_10_median_traFB, 1_lag_16_median_ismPRjja_2015_1"
LRforcedPSO,3,10,scpPSLjfm,slow,1717.5,2005.5,0.4,18,1,1,19.87241716544765,0.12109203408605618,2145,"['3_lag_traFS', '1_lag_17_median_naoPSLjfm', '1_lag_12_median_traFB', '7_lag_traIFC', '11_lag_samPSLann', '2_lag_stratZ50ndj02', '1_lag_11_median_tripol1', '1_lag_17_median_mhfATL45', '5_lag_labSSTjfm', '1_lag_15_median_traTLS']","[5.018710052431372, 3.1619291555226265, 2.6813729055664854, 0.44342247740807395, 0.19654676881583732, 8.657702519825532, 4.327999138691396, 1.2826105930938763, 3.1038539752011616, 0.06893390991978343]","3_lag_traFS, 1_lag_17_median_naoPSLjfm, 1_lag_12_median_traFB, 7_lag_traIFC, 11_lag_samPSLann, 2_lag_stratZ50ndj02, 1_lag_11_median_tripol1, 1_lag_17_median_mhfATL45, 5_lag_labSSTjfm, 1_lag_15_median_traTLS_2145_1"
LRforcedPSO,4,10,scpPSLjfm,slow,1718.5,2005.5,0.4,19,1,1,21.752362396934725,-0.05516553554783493,2275,"['18_lag_AMOCann', '1_lag_2_median_traTLS', '1_lag_14_median_mhfIP30', '1_lag_16_median_traWP', '8_lag_eapPSLjfm', '5_lag_amo1', '1_lag_9_median_traFB', '3_lag_pdoSSTjfm', '4_lag_arcTSjfm', '1_lag_amo2']","[5.0066568075051965, 5.877371942528045, 4.140812352590886, 3.769114751491303, 2.832680327021066, 1.6815114595839713, 4.562454134846234, 5.006662567737379, 5.594950106805281, 3.0194257099147155]","18_lag_AMOCann, 1_lag_2_median_traTLS, 1_lag_14_median_mhfIP30, 1_lag_16_median_traWP, 8_lag_eapPSLjfm, 5_lag_amo1, 1_lag_9_median_traFB, 3_lag_pdoSSTjfm, 4_lag_arcTSjfm, 1_lag_amo2_2275_1"
LRforcedPSO,5,10,scpPSLjfm,slow,1719.5,2005.5,0.4,20,1,1,17.919948720207543,0.09254027781072183,2405,"['13_lag_traCA', '1_lag_5_median_amo3', '17_lag_tripol3', '1_lag_8_median_nppc2SSTjfm', '1_lag_10_median_amoSSTmjjaso', '7_lag_samPSLann', '1_lag_16_median_traDS', '1_lag_15_median_glTSjfm', '1_lag_9_median_tripol1', '1_lag_16_median_nchinaPRjja']","[8.5250549352468, 2.2352842782267786, 1.2182641002779313, 5.637456836811388, 1.3954687122023461, 6.5065752822150476, 0.058530568358381885, 0.1492494639915165, 2.335485292668631, 2.241314306955264]","13_lag_traCA, 1_lag_5_median_amo3, 17_lag_tripol3, 1_lag_8_median_nppc2SSTjfm, 1_lag_10_median_amoSSTmjjaso, 7_lag_samPSLann, 1_lag_16_median_traDS, 1_lag_15_median_glTSjfm, 1_lag_9_median_tripol1, 1_lag_16_median_nchinaPRjja_2405_1"
LRforcedPSO,6,10,scpPSLjfm,slow,1720.5,2005.5,0.4,21,1,1,25.702619892074633,-0.03204976034544151,2535,"['9_lag_nppc3SSTjfm', '1_lag_15_median_amo1', '1_lag_15_median_amo2', '6_lag_traCA', '20_lag_mhfATL30', '7_lag_stratZ50ndj02', '1_lag_11_median_traBO', '1_lag_15_median_glomaSSTjfm', '1_lag_5_median_mhfATL30', '7_lag_AMOCann']","[1.268831300819663, 2.4443402798255605, 6.858527025699466, 5.8482286960186025, 2.9206082634828334, 1.3996138962153566, 1.2385826491304073, 6.319351396263155, 2.535016802153331, 0.20957797248498977]","9_lag_nppc3SSTjfm, 1_lag_15_median_amo1, 1_lag_15_median_amo2, 6_lag_traCA, 20_lag_mhfATL30, 7_lag_stratZ50ndj02, 1_lag_11_median_traBO, 1_lag_15_median_glomaSSTjfm, 1_lag_5_median_mhfATL30, 7_lag_AMOCann_2535_1"
LRforcedPSO,7,10,scpPSLjfm,slow,1721.5,2005.5,0.4,22,2,2,21.253425139713325,0.056176704675457406,2535,"['2_lag_8_median_amo3', '2_lag_4_median_neurTSjfm', '2_lag_20_median_nppc2SSTjfm', '2_lag_18_median_amo2', '16_lag_arcTSjfm', '2_lag_20_median_stratZ50ndj04', '14_lag_traFSC', '2_lag_9_median_eurPSLjfm', '2_lag_15_median_traDS', '2_lag_13_median_atlSICsep']","[5.009139885918492, 0.04381855741082674, 3.53320321727033, 0.8503947853470315, 0.31502653060617725, 4.191639793242016, 0.42024779450247607, 9.64826059590427, 3.4063878471940505, 1.2556740844892467]","2_lag_8_median_amo3, 2_lag_4_median_neurTSjfm, 2_lag_20_median_nppc2SSTjfm, 2_lag_18_median_amo2, 16_lag_arcTSjfm, 2_lag_20_median_stratZ50ndj04, 14_lag_traFSC, 2_lag_9_median_eurPSLjfm, 2_lag_15_median_traDS, 2_lag_13_median_atlSICsep_2535_2"
LRforcedPSO,8,10,scpPSLjfm,slow,1722.5,2005.5,0.4,23,3,3,49.07913506932592,0.06301196810017262,2535,"['3_lag_19_median_amo1', '6_lag_stratZ50ndj04', '4_lag_AMOCann', '3_lag_20_median_amo3', '19_lag_amoSSTmjjaso', '11_lag_samPSLann', '3_lag_13_median_atlSICsep', '3_lag_8_median_shSICmar', '3_lag_4_median_tripol3', '18_lag_traDS']","[7.97042007950963, 4.248673938548164, 7.000413677194047, 3.573292619714115, 3.901421934742853, 1.2783633646557586, 3.512958439882798, 0.16394277990918305, 6.600370150501348, 7.880379884651532]","3_lag_19_median_amo1, 6_lag_stratZ50ndj04, 4_lag_AMOCann, 3_lag_20_median_amo3, 19_lag_amoSSTmjjaso, 11_lag_samPSLann, 3_lag_13_median_atlSICsep, 3_lag_8_median_shSICmar, 3_lag_4_median_tripol3, 18_lag_traDS_2535_3"
LRforcedPSO,9,10,scpPSLjfm,slow,1723.5,2005.5,0.4,24,4,4,23.298805104353008,0.015937544772975154,2535,"['4_lag_traFS', '4_lag_11_median_traFB', '4_lag_6_median_traDP', '20_lag_amo3', '4_lag_6_median_amo2', '4_lag_10_median_stratZ50ndj04', '4_lag_13_median_traEC', '4_lag_17_median_shSICmar', '10_lag_eapPSLjfm', '22_lag_atlSICjfm']","[0.4404762034919081, 4.13106036158847, 2.3615024029599123, 2.1975659631699695, 0.02631946398681073, 3.3366226192911785, 9.497700380934155, 7.212632748538372, 4.335203088769088, 2.913544545349353]","4_lag_traFS, 4_lag_11_median_traFB, 4_lag_6_median_traDP, 20_lag_amo3, 4_lag_6_median_amo2, 4_lag_10_median_stratZ50ndj04, 4_lag_13_median_traEC, 4_lag_17_median_shSICmar, 10_lag_eapPSLjfm, 22_lag_atlSICjfm_2535_4"
