model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,scpPSLjfm,slow,1514.5,2005.5,0.6,15,1,1,14.794917343257014,-0.07072829070079925,1755,"['7_lag_alpi', '10_lag_traWP', '7_lag_stratZ50ndj02', '11_lag_stratZ50ndj01', '1_lag_scpPSLjfm', '13_lag_stratZ50ndj01']","[0.05934513601974514, 0.030606583972151602, 0.08149845417704157, 0.09583565668517356, 0.019091569712560378, 0.15029794031202706]","7_lag_alpi, 10_lag_traWP, 7_lag_stratZ50ndj02, 11_lag_stratZ50ndj01, 1_lag_scpPSLjfm, 13_lag_stratZ50ndj01_1755_1"
LinearRegression,1,6,scpPSLjfm,slow,1515.5,2005.5,0.6,16,1,1,14.606049925848062,-0.058762199775616225,1885,"['1_lag_traMC', '7_lag_stratZ50ndj02', '10_lag_traWP', '11_lag_stratZ50ndj01', '1_lag_scpPSLjfm', '13_lag_stratZ50ndj01']","[0.0732416879989351, 0.056188715490193664, 0.028303721276299793, 0.0815570565216362, 0.02200099057972778, 0.13935809944729893]","1_lag_traMC, 7_lag_stratZ50ndj02, 10_lag_traWP, 11_lag_stratZ50ndj01, 1_lag_scpPSLjfm, 13_lag_stratZ50ndj01_1885_1"
LinearRegression,2,6,scpPSLjfm,slow,1516.5,2005.5,0.6,17,1,1,14.922695795289574,-0.08723583097303475,2015,"['11_lag_stratZ50ndj01', '10_lag_traWP', '7_lag_stratZ50ndj02', '16_lag_alpi', '1_lag_scpPSLjfm', '13_lag_stratZ50ndj01']","[0.1042214272629722, 0.02010033334524039, 0.06787427327911949, 0.11078609686751392, 0.031032252351153526, 0.1462110688980689]","11_lag_stratZ50ndj01, 10_lag_traWP, 7_lag_stratZ50ndj02, 16_lag_alpi, 1_lag_scpPSLjfm, 13_lag_stratZ50ndj01_2015_1"
LinearRegression,3,6,scpPSLjfm,slow,1517.5,2005.5,0.6,18,1,1,14.206218532852944,0.09991259605445375,2145,"['1_lag_traIT', '1_lag_scpPSLjfm', '7_lag_stratZ50ndj02', '11_lag_stratZ50ndj01', '1_lag_traMC', '13_lag_stratZ50ndj01']","[0.27296037679010804, 0.03040419047152307, 0.07558022927643372, 0.10294439187578847, 0.024036891377079393, 0.13190280489164644]","1_lag_traIT, 1_lag_scpPSLjfm, 7_lag_stratZ50ndj02, 11_lag_stratZ50ndj01, 1_lag_traMC, 13_lag_stratZ50ndj01_2145_1"
LinearRegression,4,6,scpPSLjfm,slow,1518.5,2005.5,0.6,19,1,1,14.41474785174354,0.07723125487497007,2275,"['16_lag_alpi', '11_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_traMC', '1_lag_scpPSLjfm', '13_lag_stratZ50ndj01']","[0.09596595399501776, 0.10708302452334384, 0.25294344140582886, 0.015763110060042433, 0.034725176256546114, 0.12698770403248788]","16_lag_alpi, 11_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_traMC, 1_lag_scpPSLjfm, 13_lag_stratZ50ndj01_2275_1"
LinearRegression,5,6,scpPSLjfm,slow,1519.5,2005.5,0.6,20,1,1,14.27474134346288,0.08171519442467998,2405,"['1_lag_traEC', '11_lag_stratZ50ndj01', '1_lag_traMC', '1_lag_traIT', '1_lag_scpPSLjfm', '13_lag_stratZ50ndj01']","[0.06154255348601843, 0.09760320793317367, 0.01829815636550737, 0.26408500644926824, 0.031513171571078635, 0.127886402453495]","1_lag_traEC, 11_lag_stratZ50ndj01, 1_lag_traMC, 1_lag_traIT, 1_lag_scpPSLjfm, 13_lag_stratZ50ndj01_2405_1"
LinearRegression,6,6,scpPSLjfm,slow,1520.5,2005.5,0.6,21,1,1,14.929643198288856,-0.04803647500648958,2535,"['8_lag_yrvPRjja', '1_lag_traMC', '11_lag_stratZ50ndj01', '1_lag_scpPSLjfm', '20_lag_nchinaPRjja', '13_lag_stratZ50ndj01']","[0.15920231555158187, 0.10212428722356963, 0.08683691454593637, 0.032049807881770545, 0.10637301209670931, 0.1270562919622638]","8_lag_yrvPRjja, 1_lag_traMC, 11_lag_stratZ50ndj01, 1_lag_scpPSLjfm, 20_lag_nchinaPRjja, 13_lag_stratZ50ndj01_2535_1"
LinearRegression,7,6,scpPSLjfm,slow,1521.5,2005.5,0.6,22,1,1,14.173930836767452,0.1571677172907998,2665,"['20_lag_nchinaPRjja', '8_lag_yrvPRjja', '11_lag_stratZ50ndj01', '1_lag_scpPSLjfm', '1_lag_traIT', '1_lag_traTLS']","[0.09411294373222379, 0.18527201825318387, 0.10476354925502027, 0.04164542019179944, 0.2481548791001903, 0.06571307417031562]","20_lag_nchinaPRjja, 8_lag_yrvPRjja, 11_lag_stratZ50ndj01, 1_lag_scpPSLjfm, 1_lag_traIT, 1_lag_traTLS_2665_1"
LinearRegression,8,6,scpPSLjfm,slow,1522.5,2005.5,0.6,23,1,1,14.412427885262867,0.09774651131725225,2795,"['1_lag_scpPSLjfm', '11_lag_stratZ50ndj01', '20_lag_nchinaPRjja', '13_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_traTLS']","[0.03332044041786904, 0.11053961714508795, 0.08851111400127869, 0.1199303618711486, 0.20155263816092012, 0.0938159722843857]","1_lag_scpPSLjfm, 11_lag_stratZ50ndj01, 20_lag_nchinaPRjja, 13_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_traTLS_2795_1"
LinearRegression,9,6,scpPSLjfm,slow,1523.5,2005.5,0.6,24,1,1,14.223155793235215,0.1529827717437161,2925,"['1_lag_scpPSLjfm', '8_lag_yrvPRjja', '11_lag_stratZ50ndj01', '20_lag_nchinaPRjja', '1_lag_traIT', '1_lag_traTLS']","[0.052198580391391435, 0.18571607846227983, 0.1069513727928103, 0.10051238939002198, 0.24823370299404734, 0.07025916208899269]","1_lag_scpPSLjfm, 8_lag_yrvPRjja, 11_lag_stratZ50ndj01, 20_lag_nchinaPRjja, 1_lag_traIT, 1_lag_traTLS_2925_1"
