model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,shSICmar,slow,1714.5,2005.5,0.6,15,1,1,12.98556310916309,0.013911642901213533,594,"['3_lag_AMOCann', '6_lag_amo1', '1_lag_stratZ50ndj03', '8_lag_atlSICjfm', '12_lag_shSICmar', '14_lag_naoPSLjfm', '4_lag_scpPSLjfm', '12_lag_atlSICjfm', '10_lag_stratZ50ndj02', '5_lag_stratZ50ndj01']","[0.1752813728513494, 0.07160657119776898, 0.04573439104137969, 0.07747097889904804, 0.1754366126441003, 0.06063816470314718, 0.009151593981342757, 0.16020868573265393, 0.043523591328161776, 0.13235341609930895]","3_lag_AMOCann, 6_lag_amo1, 1_lag_stratZ50ndj03, 8_lag_atlSICjfm, 12_lag_shSICmar, 14_lag_naoPSLjfm, 4_lag_scpPSLjfm, 12_lag_atlSICjfm, 10_lag_stratZ50ndj02, 5_lag_stratZ50ndj01_594_1"
LinearRegression,1,10,shSICmar,slow,1715.5,2005.5,0.6,16,1,1,12.767223464459905,0.05827816158720295,638,"['3_lag_AMOCann', '14_lag_naoPSLjfm', '6_lag_amo1', '1_lag_4_median_eapPSLjfm', '10_lag_eapPSLjfm', '11_lag_eurPSLjfm', '12_lag_shSICmar', '4_lag_scpPSLjfm', '10_lag_stratZ50ndj02', '5_lag_stratZ50ndj01']","[0.12430115112806472, 0.057739707941140694, 0.035589859430706645, 0.22042551327516888, 0.02691870508015302, 0.0005831653503199918, 0.17424767442777866, 0.03224068060368901, 0.042466888525456624, 0.12784771823913926]","3_lag_AMOCann, 14_lag_naoPSLjfm, 6_lag_amo1, 1_lag_4_median_eapPSLjfm, 10_lag_eapPSLjfm, 11_lag_eurPSLjfm, 12_lag_shSICmar, 4_lag_scpPSLjfm, 10_lag_stratZ50ndj02, 5_lag_stratZ50ndj01_638_1"
LinearRegression,2,10,shSICmar,slow,1716.5,2005.5,0.6,17,1,1,16.093904295926592,-0.09968945419992169,682,"['1_lag_4_median_eapPSLjfm', '16_lag_amo2', '10_lag_nhSICsep', '4_lag_scpPSLjfm', '11_lag_eurPSLjfm', '12_lag_atlSICjfm', '8_lag_atlSICjfm', '5_lag_shSICsep', '12_lag_shSICmar', '5_lag_stratZ50ndj01']","[0.30841082724057817, 0.06058059337054744, 0.2789143909164968, 0.02870665184854286, 0.04152608799888884, 0.15678830715195435, 0.1437917890580514, 0.12450627034129469, 0.1760167888201184, 0.09104393739781097]","1_lag_4_median_eapPSLjfm, 16_lag_amo2, 10_lag_nhSICsep, 4_lag_scpPSLjfm, 11_lag_eurPSLjfm, 12_lag_atlSICjfm, 8_lag_atlSICjfm, 5_lag_shSICsep, 12_lag_shSICmar, 5_lag_stratZ50ndj01_682_1"
LinearRegression,3,10,shSICmar,slow,1717.5,2005.5,0.6,18,1,1,12.923947832584869,0.09063234032133645,726,"['16_lag_shSICmar', '1_lag_4_median_eapPSLjfm', '12_lag_atlSICsep', '4_lag_scpPSLjfm', '5_lag_atlSICjfm', '12_lag_atlSICjfm', '12_lag_shSICmar', '8_lag_atlSICjfm', '5_lag_shSICsep', '5_lag_stratZ50ndj01']","[0.12438675139106131, 0.34237639854928026, 0.06567241989959899, 0.0284246774529339, 0.046939004647314514, 0.2017102652218026, 0.13890322630062077, 0.08652357869546722, 0.12978331409841692, 0.12621632940586155]","16_lag_shSICmar, 1_lag_4_median_eapPSLjfm, 12_lag_atlSICsep, 4_lag_scpPSLjfm, 5_lag_atlSICjfm, 12_lag_atlSICjfm, 12_lag_shSICmar, 8_lag_atlSICjfm, 5_lag_shSICsep, 5_lag_stratZ50ndj01_726_1"
LinearRegression,4,10,shSICmar,slow,1718.5,2005.5,0.6,19,1,4,12.632185436915464,0.04885154446277772,770,"['16_lag_shSICmar', '4_lag_scpPSLjfm', '13_lag_stratZ50ndj02', '8_lag_atlSICjfm', '12_lag_atlSICsep', '12_lag_atlSICjfm', '12_lag_shSICmar', '5_lag_shSICsep', '5_lag_stratZ50ndj01', '18_lag_shSICsep']","[0.07969145159439213, 0.004769772298485277, 0.12455482487827702, 0.040999964362241945, 0.0528065788925622, 0.13716926447601335, 0.14085621500634007, 0.13960383403405457, 0.12384779933745493, 0.1158827366594671]","16_lag_shSICmar, 4_lag_scpPSLjfm, 13_lag_stratZ50ndj02, 8_lag_atlSICjfm, 12_lag_atlSICsep, 12_lag_atlSICjfm, 12_lag_shSICmar, 5_lag_shSICsep, 5_lag_stratZ50ndj01, 18_lag_shSICsep_770_4"
LinearRegression,5,10,shSICmar,slow,1719.5,2005.5,0.6,20,1,5,12.806807193054018,0.09402824534886078,814,"['11_lag_eurPSLjfm', '5_lag_shSICsep', '12_lag_atlSICjfm', '19_lag_atlSICsep', '8_lag_shSICsep', '13_lag_stratZ50ndj02', '18_lag_eurPSLjfm', '5_lag_stratZ50ndj01', '18_lag_shSICsep', '12_lag_shSICmar']","[0.010317149017142778, 0.08874463500848775, 0.07161259716092694, 0.20389635794866656, 0.1858685787308175, 0.10742943629325795, 0.10880924269828328, 0.11470471493069657, 0.12998839913585453, 0.10296233220493362]","11_lag_eurPSLjfm, 5_lag_shSICsep, 12_lag_atlSICjfm, 19_lag_atlSICsep, 8_lag_shSICsep, 13_lag_stratZ50ndj02, 18_lag_eurPSLjfm, 5_lag_stratZ50ndj01, 18_lag_shSICsep, 12_lag_shSICmar_814_5"
LinearRegression,6,10,shSICmar,slow,1720.5,2005.5,0.6,21,1,1,14.89800138711695,-0.0985946246825892,858,"['18_lag_scpPSLjfm', '8_lag_shSICsep', '13_lag_stratZ50ndj02', '20_lag_shSICsep', '1_lag_atlSICsep', '11_lag_eurPSLjfm', '18_lag_eurPSLjfm', '5_lag_stratZ50ndj01', '18_lag_shSICsep', '12_lag_shSICmar']","[0.041613435229312844, 0.17189782248088148, 0.12402127243310045, 0.002972167499652241, 0.27772127335509295, 0.004796068578149214, 0.1069385656968322, 0.12519095865951216, 0.1223102841638214, 0.17026057848633983]","18_lag_scpPSLjfm, 8_lag_shSICsep, 13_lag_stratZ50ndj02, 20_lag_shSICsep, 1_lag_atlSICsep, 11_lag_eurPSLjfm, 18_lag_eurPSLjfm, 5_lag_stratZ50ndj01, 18_lag_shSICsep, 12_lag_shSICmar_858_1"
LinearRegression,7,10,shSICmar,slow,1721.5,2005.5,0.6,22,2,2,15.930440101762446,-0.16612543399975765,858,"['18_lag_eurPSLjfm', '2_lag_nhSICsep', '8_lag_atlSICjfm', '12_lag_shSICmar', '18_lag_scpPSLjfm', '19_lag_atlSICsep', '18_lag_shSICsep', '13_lag_stratZ50ndj02', '2_lag_stratZ50ndj01', '5_lag_stratZ50ndj01']","[0.10945186563937953, 0.2607772693007059, 0.043535500696545784, 0.21380271413708712, 0.08397012437019274, 0.1799558873205524, 0.1119513362292016, 0.10364926548132261, 0.07398384530521937, 0.10993606200936332]","18_lag_eurPSLjfm, 2_lag_nhSICsep, 8_lag_atlSICjfm, 12_lag_shSICmar, 18_lag_scpPSLjfm, 19_lag_atlSICsep, 18_lag_shSICsep, 13_lag_stratZ50ndj02, 2_lag_stratZ50ndj01, 5_lag_stratZ50ndj01_858_2"
LinearRegression,8,10,shSICmar,slow,1722.5,2005.5,0.6,23,3,3,13.21395143689127,-0.0006822017898881309,858,"['22_lag_shSICmar', '21_lag_atlSICsep', '20_lag_stratZ50ndj02', '18_lag_shSICsep', '8_lag_atlSICjfm', '3_lag_amo1', '5_lag_stratZ50ndj01', '17_lag_amoSSTmjjaso', '19_lag_atlSICsep', '12_lag_shSICmar']","[0.008855196897001098, 0.1343343852792983, 0.1317762264993764, 0.07912245322026365, 0.02728130677105578, 0.08970101116732927, 0.09243094187439574, 0.288963187065754, 0.1467162688019135, 0.16544107487621537]","22_lag_shSICmar, 21_lag_atlSICsep, 20_lag_stratZ50ndj02, 18_lag_shSICsep, 8_lag_atlSICjfm, 3_lag_amo1, 5_lag_stratZ50ndj01, 17_lag_amoSSTmjjaso, 19_lag_atlSICsep, 12_lag_shSICmar_858_3"
LinearRegression,9,10,shSICmar,slow,1723.5,2005.5,0.6,24,4,7,13.917024434634138,-0.11312411120218019,858,"['10_lag_eurPSLjfm', '7_lag_AMOCann', '21_lag_atlSICsep', '17_lag_amoSSTmjjaso', '8_lag_atlSICjfm', '12_lag_shSICmar', '22_lag_shSICmar', '19_lag_atlSICsep', '13_lag_stratZ50ndj02', '20_lag_stratZ50ndj02']","[0.1022505738187052, 0.13589326500503357, 0.15275809795736928, 0.2901985857022308, 0.08437649067585623, 0.12496219557327398, 0.005537648290803762, 0.13657352121157756, 0.1341316811750798, 0.1461195546320655]","10_lag_eurPSLjfm, 7_lag_AMOCann, 21_lag_atlSICsep, 17_lag_amoSSTmjjaso, 8_lag_atlSICjfm, 12_lag_shSICmar, 22_lag_shSICmar, 19_lag_atlSICsep, 13_lag_stratZ50ndj02, 20_lag_stratZ50ndj02_858_7"
