model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,shSICmar,slow,866.5,2005.5,0.4,15,1,1,12.948316434481578,0.1912535433123968,1755,"['1_lag_tripol3', '5_lag_traIT', '12_lag_traIT', '10_lag_alpi', '1_lag_shSICsep', '1_lag_traDP']","[0.10351833322083329, 0.02227284518191075, 0.04072224606927151, 0.02709324546924985, 0.59461525314475, 0.062224999654000746]","1_lag_tripol3, 5_lag_traIT, 12_lag_traIT, 10_lag_alpi, 1_lag_shSICsep, 1_lag_traDP_1755_1"
LinearRegression,1,6,shSICmar,slow,867.5,2005.5,0.4,16,1,1,12.998916193017003,0.19071703171853602,1885,"['15_lag_atlSICsep', '11_lag_satlSSTjfm', '12_lag_traIT', '6_lag_stratZ50ndj03', '1_lag_traDP', '1_lag_shSICsep']","[0.07477568965405888, 0.012154009067133265, 0.04808301397105984, 0.1349222079735175, 0.07302700092405459, 0.5962587158221206]","15_lag_atlSICsep, 11_lag_satlSSTjfm, 12_lag_traIT, 6_lag_stratZ50ndj03, 1_lag_traDP, 1_lag_shSICsep_1885_1"
LinearRegression,2,6,shSICmar,slow,868.5,2005.5,0.4,17,1,1,13.011643615660518,0.1800641032179218,2015,"['11_lag_satlSSTjfm', '1_lag_tripol3', '15_lag_atlSICsep', '6_lag_stratZ50ndj03', '1_lag_traDP', '1_lag_shSICsep']","[0.006862004249352686, 0.08532164767715475, 0.07472853258103149, 0.12373656183483707, 0.07681326209975989, 0.6000468799037451]","11_lag_satlSSTjfm, 1_lag_tripol3, 15_lag_atlSICsep, 6_lag_stratZ50ndj03, 1_lag_traDP, 1_lag_shSICsep_2015_1"
LinearRegression,3,6,shSICmar,slow,869.5,2005.5,0.4,18,1,1,12.931357720165922,0.1948524700733927,2145,"['12_lag_traIT', '17_lag_scpPSLjfm', '14_lag_satlSSTjfm', '6_lag_stratZ50ndj03', '1_lag_traDP', '1_lag_shSICsep']","[0.04472309921222442, 0.023776255806341018, 0.02654060696629254, 0.12260360991647486, 0.06775187598304275, 0.5932432049227725]","12_lag_traIT, 17_lag_scpPSLjfm, 14_lag_satlSSTjfm, 6_lag_stratZ50ndj03, 1_lag_traDP, 1_lag_shSICsep_2145_1"
LinearRegression,4,6,shSICmar,slow,870.5,2005.5,0.4,19,1,1,12.891968555641188,0.19164556503664512,2275,"['15_lag_amoSSTmjjaso', '14_lag_satlSSTjfm', '10_lag_alpi', '6_lag_stratZ50ndj03', '1_lag_shSICsep', '1_lag_traDP']","[0.05445307284238234, 0.015108800078827922, 0.023441266460192407, 0.11530568697633863, 0.5901517179149587, 0.07504897225665046]","15_lag_amoSSTmjjaso, 14_lag_satlSSTjfm, 10_lag_alpi, 6_lag_stratZ50ndj03, 1_lag_shSICsep, 1_lag_traDP_2275_1"
LinearRegression,5,6,shSICmar,slow,871.5,2005.5,0.4,20,1,1,12.892101841970433,0.19518251241313414,2405,"['15_lag_amoSSTmjjaso', '7_lag_stratZ50ndj02', '6_lag_stratZ50ndj03', '1_lag_shSICsep', '1_lag_traDP', '10_lag_alpi']","[0.059587410605767284, 0.02128853546438081, 0.11453433817389735, 0.5958246603538845, 0.0768463957630656, 0.017550318963296535]","15_lag_amoSSTmjjaso, 7_lag_stratZ50ndj02, 6_lag_stratZ50ndj03, 1_lag_shSICsep, 1_lag_traDP, 10_lag_alpi_2405_1"
LinearRegression,6,6,shSICmar,slow,872.5,2005.5,0.4,21,1,1,12.892371990317802,0.1955466980728917,2535,"['1_lag_traDP', '15_lag_amoSSTmjjaso', '7_lag_stratZ50ndj02', '6_lag_stratZ50ndj03', '1_lag_shSICsep', '10_lag_alpi']","[0.0747568561698708, 0.06251823321551941, 0.01662570301044866, 0.11308926818370137, 0.595349808976476, 0.016488143564916194]","1_lag_traDP, 15_lag_amoSSTmjjaso, 7_lag_stratZ50ndj02, 6_lag_stratZ50ndj03, 1_lag_shSICsep, 10_lag_alpi_2535_1"
LinearRegression,7,6,shSICmar,slow,873.5,2005.5,0.4,22,1,1,13.046401317484714,0.19483814467321167,2665,"['20_lag_mhfATL30', '7_lag_stratZ50ndj02', '1_lag_shSICsep', '10_lag_alpi', '6_lag_stratZ50ndj03', '21_lag_traEC']","[0.13799658043976032, 0.020158295265878756, 0.5835183275192282, 0.015770571795698213, 0.1128036513947473, 0.053608728816284534]","20_lag_mhfATL30, 7_lag_stratZ50ndj02, 1_lag_shSICsep, 10_lag_alpi, 6_lag_stratZ50ndj03, 21_lag_traEC_2665_1"
LinearRegression,8,6,shSICmar,slow,874.5,2005.5,0.4,23,1,1,12.934213387539023,0.19900592220061633,2795,"['1_lag_traDP', '10_lag_alpi', '6_lag_stratZ50ndj03', '7_lag_stratZ50ndj02', '1_lag_shSICsep', '21_lag_traEC']","[0.06259053511045733, 0.014062365998895987, 0.10996435531195647, 0.027120129852606083, 0.5952700354530396, 0.039957958913893]","1_lag_traDP, 10_lag_alpi, 6_lag_stratZ50ndj03, 7_lag_stratZ50ndj02, 1_lag_shSICsep, 21_lag_traEC_2795_1"
LinearRegression,9,6,shSICmar,slow,875.5,2005.5,0.4,24,1,1,12.932341342697612,0.19778086906246714,2925,"['1_lag_traDP', '7_lag_stratZ50ndj02', '1_lag_shSICsep', '10_lag_alpi', '6_lag_stratZ50ndj03', '21_lag_traEC']","[0.06187184897742858, 0.027399354271979703, 0.5945789343885649, 0.01670142366072777, 0.11154373163171911, 0.041242328386855896]","1_lag_traDP, 7_lag_stratZ50ndj02, 1_lag_shSICsep, 10_lag_alpi, 6_lag_stratZ50ndj03, 21_lag_traEC_2925_1"
