model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,shSICsep,slow,1514.5,2005.5,0.6,15,1,1,14.889938410025692,0.11891072655648655,594,"['1_lag_3_median_stratZ50ndj04', '3_lag_stratZ50ndj01', '1_lag_4_median_atlSICsep', '3_lag_scpPSLjfm', '10_lag_atlSICsep', '1_lag_14_median_atlSICjfm', '1_lag_7_median_stratZ50ndj02', '1_lag_3_median_AMOCann', '1_lag_3_median_atlSICsep', '1_lag_13_median_shSICmar']","[3.7788953785275385, 3.3030608172544484, 1.6198392700262083, 0.5641484903721015, 3.670928894318455, 4.281936632062835, 1.4205820144455465, 1.6808382450887311, 4.972622414343, 4.560505961681171]","1_lag_3_median_stratZ50ndj04, 3_lag_stratZ50ndj01, 1_lag_4_median_atlSICsep, 3_lag_scpPSLjfm, 10_lag_atlSICsep, 1_lag_14_median_atlSICjfm, 1_lag_7_median_stratZ50ndj02, 1_lag_3_median_AMOCann, 1_lag_3_median_atlSICsep, 1_lag_13_median_shSICmar_594_1"
LRforcedPSO,1,10,shSICsep,slow,1515.5,2005.5,0.6,16,1,1,13.501177646155543,0.23195237518264566,638,"['11_lag_stratZ50ndj02', '15_lag_AMOCann', '1_lag_4_median_nppc2SSTjfm', '1_lag_5_median_atlSICjfm', '1_lag_3_median_scpPSLjfm', '8_lag_solFORC', '1_lag_14_median_stratZ50ndj02', '1_lag_stratZ50ndj04', '7_lag_AMOCann', '1_lag_atlSICjfm']","[2.439253535654615, 0.036989353900233723, 6.79025746785949, 2.8453759410575135, 1.5542250073165036, 1.4289622535834727, 1.7729430163026265, 3.3254266745604077, 2.7774100060908395, 2.3907976439443868]","11_lag_stratZ50ndj02, 15_lag_AMOCann, 1_lag_4_median_nppc2SSTjfm, 1_lag_5_median_atlSICjfm, 1_lag_3_median_scpPSLjfm, 8_lag_solFORC, 1_lag_14_median_stratZ50ndj02, 1_lag_stratZ50ndj04, 7_lag_AMOCann, 1_lag_atlSICjfm_638_1"
LRforcedPSO,2,10,shSICsep,slow,1516.5,2005.5,0.6,17,1,1,23.134202325354394,0.0033975629609121474,682,"['10_lag_stratZ50ndj01', '1_lag_8_median_amo1', '1_lag_6_median_nhSICjfm', '10_lag_shSICmar', '1_lag_stratZ50ndj03', '6_lag_amo1', '13_lag_scpPSLjfm', '1_lag_shSICmar', '5_lag_nppc2SSTjfm', '8_lag_AMOCann']","[4.0482260199143045, 0.6769121484668048, 6.555181487260013, 2.830588567573285, 2.4291681401511553, 8.795229902931684, 0.16468451102410242, 3.5567309948344104, 6.9739471788883485, 4.118443256357924]","10_lag_stratZ50ndj01, 1_lag_8_median_amo1, 1_lag_6_median_nhSICjfm, 10_lag_shSICmar, 1_lag_stratZ50ndj03, 6_lag_amo1, 13_lag_scpPSLjfm, 1_lag_shSICmar, 5_lag_nppc2SSTjfm, 8_lag_AMOCann_682_1"
LRforcedPSO,3,10,shSICsep,slow,1517.5,2005.5,0.6,18,1,1,20.3025927645148,0.05199635823841669,726,"['13_lag_atlSICjfm', '1_lag_14_median_nhSICjfm', '6_lag_eurPSLjfm', '14_lag_amo3', '1_lag_7_median_eapPSLjfm', '1_lag_stratZ50ndj02', '15_lag_eurPSLjfm', '1_lag_6_median_amo3', '1_lag_11_median_naoPSLjfm', '17_lag_solFORC']","[1.660404375822445, 8.338773482883074, 2.661306240802408, 3.562350411923198, 8.253147916165325, 2.792423471154171, 6.285614680511145, 2.389465881606478, 1.4828894484279491, 3.765490265931133]","13_lag_atlSICjfm, 1_lag_14_median_nhSICjfm, 6_lag_eurPSLjfm, 14_lag_amo3, 1_lag_7_median_eapPSLjfm, 1_lag_stratZ50ndj02, 15_lag_eurPSLjfm, 1_lag_6_median_amo3, 1_lag_11_median_naoPSLjfm, 17_lag_solFORC_726_1"
LRforcedPSO,4,10,shSICsep,slow,1518.5,2005.5,0.6,19,1,1,31.920300118409937,0.07594501791550164,770,"['1_lag_5_median_shSICsep', '1_lag_6_median_stratZ50ndj04', '1_lag_7_median_amoSSTmjjaso', '5_lag_naoPSLjfm', '16_lag_amoSSTjfm', '1_lag_18_median_nhSICsep', '1_lag_10_median_amoSSTjfm', '17_lag_shSICsep', '6_lag_amoSSTmjjaso', '3_lag_eapPSLjfm']","[9.663555090851695, 3.7842915584915833, 4.955506118592236, 1.2411700242661325, 3.7325014047926786, 7.510711331021991, 2.0788323544498493, 1.283925513372095, 2.1121528771032807, 0.2259859341896604]","1_lag_5_median_shSICsep, 1_lag_6_median_stratZ50ndj04, 1_lag_7_median_amoSSTmjjaso, 5_lag_naoPSLjfm, 16_lag_amoSSTjfm, 1_lag_18_median_nhSICsep, 1_lag_10_median_amoSSTjfm, 17_lag_shSICsep, 6_lag_amoSSTmjjaso, 3_lag_eapPSLjfm_770_1"
LRforcedPSO,5,10,shSICsep,slow,1519.5,2005.5,0.6,20,1,1,21.616270374642564,0.09429538241079029,814,"['1_lag_5_median_nppc2SSTjfm', '10_lag_scpPSLjfm', '1_lag_5_median_shSICsep', '14_lag_scpPSLjfm', '16_lag_nhSICjfm', '1_lag_9_median_stratZ50ndj04', '1_lag_18_median_eurPSLjfm', '1_lag_16_median_shSICmar', '1_lag_12_median_solFORC', '1_lag_19_median_AMOCann']","[3.1428194192412313, 1.5284421109412971, 3.421761264982802, 4.435197199756004, 2.2541216391238805, 9.483521573470654, 3.997136153055372, 0.5040931330158411, 0.9730303683400816, 0.9750253549647994]","1_lag_5_median_nppc2SSTjfm, 10_lag_scpPSLjfm, 1_lag_5_median_shSICsep, 14_lag_scpPSLjfm, 16_lag_nhSICjfm, 1_lag_9_median_stratZ50ndj04, 1_lag_18_median_eurPSLjfm, 1_lag_16_median_shSICmar, 1_lag_12_median_solFORC, 1_lag_19_median_AMOCann_814_1"
LRforcedPSO,6,10,shSICsep,slow,1520.5,2005.5,0.6,21,1,1,17.36978364131105,0.07159775162490115,858,"['12_lag_naoPSLjfm', '1_lag_4_median_nhSICsep', '5_lag_naoPSLjfm', '1_lag_19_median_stratZ50ndj01', '3_lag_nhSICsep', '12_lag_shSICsep', '19_lag_stratZ50ndj04', '14_lag_stratZ50ndj03', '5_lag_shSICsep', '1_lag_7_median_shSICsep']","[2.175426093782832, 2.0741263157360983, 7.20700516999319, 3.6517787228855774, 3.0644224110856406, 1.709009530325039, 1.7362570996861457, 1.9757444084477847, 7.519780046186348, 9.927591435639748]","12_lag_naoPSLjfm, 1_lag_4_median_nhSICsep, 5_lag_naoPSLjfm, 1_lag_19_median_stratZ50ndj01, 3_lag_nhSICsep, 12_lag_shSICsep, 19_lag_stratZ50ndj04, 14_lag_stratZ50ndj03, 5_lag_shSICsep, 1_lag_7_median_shSICsep_858_1"
LRforcedPSO,7,10,shSICsep,slow,1521.5,2005.5,0.6,22,2,2,15.27834513899244,-0.07584133795958757,858,"['10_lag_AMOCann', '3_lag_amo2', '5_lag_stratZ50ndj03', '5_lag_atlSICsep', '4_lag_atlSICsep', '8_lag_nppc2SSTjfm', '2_lag_5_median_nhSICjfm', '2_lag_9_median_solFORC', '2_lag_18_median_eapPSLjfm', '2_lag_8_median_nppc2SSTjfm']","[2.1825039539506648, 1.3449250395799304, 5.5700088381749495, 0.39063371057261875, 4.03626068703669, 2.3282863932151603, 0.8160183147354054, 5.333469360169454, 6.848574331986963, 2.4815461979763604]","10_lag_AMOCann, 3_lag_amo2, 5_lag_stratZ50ndj03, 5_lag_atlSICsep, 4_lag_atlSICsep, 8_lag_nppc2SSTjfm, 2_lag_5_median_nhSICjfm, 2_lag_9_median_solFORC, 2_lag_18_median_eapPSLjfm, 2_lag_8_median_nppc2SSTjfm_858_2"
LRforcedPSO,8,10,shSICsep,slow,1522.5,2005.5,0.6,23,3,3,16.559355089436337,-0.11931193107168082,858,"['3_lag_6_median_scpPSLjfm', '3_lag_7_median_atlSICjfm', '3_lag_4_median_nhSICsep', '3_lag_21_median_solFORC', '21_lag_stratZ50ndj04', '3_lag_4_median_atlSICjfm', '3_lag_17_median_shSICsep', '3_lag_19_median_solFORC', '3_lag_22_median_stratZ50ndj03', '16_lag_eurPSLjfm']","[4.729133907763843, 0.7564427710812556, 2.555572622704167, 0.6158261588696554, 4.272922648965501, 1.0930554738088283, 0.6205507986474235, 3.1968203502137538, 6.224803320842729, 4.353470942531104]","3_lag_6_median_scpPSLjfm, 3_lag_7_median_atlSICjfm, 3_lag_4_median_nhSICsep, 3_lag_21_median_solFORC, 21_lag_stratZ50ndj04, 3_lag_4_median_atlSICjfm, 3_lag_17_median_shSICsep, 3_lag_19_median_solFORC, 3_lag_22_median_stratZ50ndj03, 16_lag_eurPSLjfm_858_3"
LRforcedPSO,9,10,shSICsep,slow,1523.5,2005.5,0.6,24,4,4,18.306766918407597,-0.007422873417060135,858,"['13_lag_amo1', '4_lag_22_median_naoPSLjfm', '10_lag_nhSICsep', '4_lag_13_median_eapPSLjfm', '4_lag_14_median_shSICmar', '22_lag_atlSICjfm', '22_lag_shSICsep', '4_lag_9_median_atlSICjfm', '4_lag_11_median_stratZ50ndj04', '4_lag_12_median_stratZ50ndj04']","[5.842699065113113, 3.3210807022952853, 1.2538091491925378, 0.24322175633425402, 2.570156447933085, 3.018724520263408, 1.734246998280426, 1.4561984697157921, 2.29423438198209, 9.76637589871357]","13_lag_amo1, 4_lag_22_median_naoPSLjfm, 10_lag_nhSICsep, 4_lag_13_median_eapPSLjfm, 4_lag_14_median_shSICmar, 22_lag_atlSICjfm, 22_lag_shSICsep, 4_lag_9_median_atlSICjfm, 4_lag_11_median_stratZ50ndj04, 4_lag_12_median_stratZ50ndj04_858_4"
LRforcedPSO,10,10,shSICsep,slow,1524.5,2005.5,0.6,25,5,5,16.400084089656787,-0.02213952292565669,858,"['5_lag_12_median_amo1', '5_lag_21_median_stratZ50ndj02', '12_lag_stratZ50ndj04', '9_lag_atlSICjfm', '5_lag_20_median_shSICmar', '20_lag_shSICsep', '5_lag_13_median_amoSSTmjjaso', '5_lag_14_median_eapPSLjfm', '10_lag_amoSSTjfm', '9_lag_stratZ50ndj03']","[2.081632283733919, 7.145222698754832, 0.6165508883588107, 1.3345412750062717, 6.810507332108536, 6.353695640230286, 1.5430271608150221, 2.424340475888693, 0.32873647873476486, 1.27305088739182]","5_lag_12_median_amo1, 5_lag_21_median_stratZ50ndj02, 12_lag_stratZ50ndj04, 9_lag_atlSICjfm, 5_lag_20_median_shSICmar, 20_lag_shSICsep, 5_lag_13_median_amoSSTmjjaso, 5_lag_14_median_eapPSLjfm, 10_lag_amoSSTjfm, 9_lag_stratZ50ndj03_858_5"
LRforcedPSO,11,10,shSICsep,slow,1525.5,2005.5,0.6,26,6,6,19.3507452579975,-0.05208861525527228,858,"['20_lag_amo3', '6_lag_9_median_amoSSTmjjaso', '6_lag_amoSSTmjjaso', '9_lag_naoPSLjfm', '6_lag_13_median_amoSSTmjjaso', '6_lag_16_median_stratZ50ndj03', '25_lag_nhSICjfm', '6_lag_18_median_amoSSTjfm', '6_lag_18_median_stratZ50ndj03', '6_lag_19_median_atlSICsep']","[5.330669175832508, 5.949326360778382, 3.7584361340805135, 2.3718483382246625, 3.3508213218631866, 2.722271958649511, 0.18514909074256458, 3.7838534913581583, 5.5757434278310525, 2.8973470616453874]","20_lag_amo3, 6_lag_9_median_amoSSTmjjaso, 6_lag_amoSSTmjjaso, 9_lag_naoPSLjfm, 6_lag_13_median_amoSSTmjjaso, 6_lag_16_median_stratZ50ndj03, 25_lag_nhSICjfm, 6_lag_18_median_amoSSTjfm, 6_lag_18_median_stratZ50ndj03, 6_lag_19_median_atlSICsep_858_6"
