model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,shSICsep,slow,1514.5,2005.5,0.8,15,1,1,13.045267992887725,0.20533843677930602,1755,"['4_lag_mhfATL60', '4_lag_traFS', '4_lag_stratZ50ndj04', '12_lag_ismPRjja', '7_lag_samPSLann', '1_lag_4_median_cetTSjfm', '8_lag_traDS', '6_lag_stratZ50ndj03', '12_lag_nppc2SSTjfm', '12_lag_cetTSjfm', '12_lag_traWP', '5_lag_traDP', '4_lag_ginwSSTjfm', '1_lag_atlSICjfm', '1_lag_stratZ50ndj04', '5_lag_AMOCann', '5_lag_ismPRjja', '5_lag_atlSICsep', '1_lag_eapPSLjfm', '10_lag_mhfATL60', '13_lag_mhfATL60', '4_lag_traBO', '13_lag_yrvPRjja', '12_lag_stratZ50ndj03', '14_lag_traBS', '7_lag_atlSICjfm', '12_lag_tripol3', '8_lag_amo3', '1_lag_shSICmar', '1_lag_traBS']","[0.13221269192285956, 0.06094360515650285, 0.10597066119477919, 0.05703407886135035, 0.09853202573783709, 0.1153087437077216, 0.06692462198288551, 0.06905661142494016, 0.1812580899628357, 0.05217033964772172, 0.03790447461895921, 0.05963597247480063, 0.0851257982781553, 0.042275744889005734, 0.14686436841270356, 0.09592842668747495, 0.037157639679313854, 0.06798288710591492, 0.10687711786967855, 0.06601507832308653, 0.09242130905343306, 0.1759497598406906, 0.0849155619331966, 0.07862862496324306, 0.046560737197278136, 0.12319129673078066, 0.08998935435038455, 0.08357394830821911, 0.33715542053843195, 0.08439759675430131]","4_lag_mhfATL60, 4_lag_traFS, 4_lag_stratZ50ndj04, 12_lag_ismPRjja, 7_lag_samPSLann, 1_lag_4_median_cetTSjfm, 8_lag_traDS, 6_lag_stratZ50ndj03, 12_lag_nppc2SSTjfm, 12_lag_cetTSjfm, 12_lag_traWP, 5_lag_traDP, 4_lag_ginwSSTjfm, 1_lag_atlSICjfm, 1_lag_stratZ50ndj04, 5_lag_AMOCann, 5_lag_ismPRjja, 5_lag_atlSICsep, 1_lag_eapPSLjfm, 10_lag_mhfATL60, 13_lag_mhfATL60, 4_lag_traBO, 13_lag_yrvPRjja, 12_lag_stratZ50ndj03, 14_lag_traBS, 7_lag_atlSICjfm, 12_lag_tripol3, 8_lag_amo3, 1_lag_shSICmar, 1_lag_traBS_1755_1"
LinearRegression,1,30,shSICsep,slow,1515.5,2005.5,0.8,16,1,1,12.590474799380038,0.30698990033845175,1885,"['5_lag_nchinaPRjja', '3_lag_nhSICsep', '5_lag_traDP', '9_lag_traDS', '15_lag_neurTSjfm', '13_lag_yrvPRjja', '12_lag_neurTSjfm', '4_lag_stratZ50ndj04', '9_lag_traBS', '10_lag_mhfATL60', '3_lag_shSICmar', '5_lag_AMOCann', '5_lag_mhfATL45', '4_lag_ginwSSTjfm', '1_lag_eapPSLjfm', '6_lag_stratZ50ndj03', '12_lag_cetTSjfm', '13_lag_ismPRjja', '13_lag_mhfATL60', '15_lag_traEU', '4_lag_traBO', '14_lag_traBS', '15_lag_mhfIP30', '12_lag_nppc2SSTjfm', '8_lag_amo3', '7_lag_atlSICjfm', '12_lag_stratZ50ndj03', '12_lag_tripol3', '1_lag_traBS', '1_lag_shSICmar']","[0.036894605592170907, 0.04382132152501203, 0.05357024877538319, 0.02402501480098863, 0.0104266151692908, 0.11173032610196255, 0.2160448902271022, 0.06786265049046017, 0.028924037352878445, 0.011989841300388106, 0.22932559965341875, 0.057599562350540257, 0.08054532529688903, 0.07607473314479488, 0.09318662474568444, 0.09338805651437916, 0.23388149888288418, 0.09139730414764446, 0.1209973685180224, 0.05913687988052464, 0.10396600973370294, 0.038117650860964476, 0.07269150271899583, 0.17520844161123764, 0.06626512402327672, 0.10076247798378273, 0.0725264544107178, 0.10315782879224607, 0.11630399658301512, 0.24444730250282581]","5_lag_nchinaPRjja, 3_lag_nhSICsep, 5_lag_traDP, 9_lag_traDS, 15_lag_neurTSjfm, 13_lag_yrvPRjja, 12_lag_neurTSjfm, 4_lag_stratZ50ndj04, 9_lag_traBS, 10_lag_mhfATL60, 3_lag_shSICmar, 5_lag_AMOCann, 5_lag_mhfATL45, 4_lag_ginwSSTjfm, 1_lag_eapPSLjfm, 6_lag_stratZ50ndj03, 12_lag_cetTSjfm, 13_lag_ismPRjja, 13_lag_mhfATL60, 15_lag_traEU, 4_lag_traBO, 14_lag_traBS, 15_lag_mhfIP30, 12_lag_nppc2SSTjfm, 8_lag_amo3, 7_lag_atlSICjfm, 12_lag_stratZ50ndj03, 12_lag_tripol3, 1_lag_traBS, 1_lag_shSICmar_1885_1"
LinearRegression,2,30,shSICsep,slow,1516.5,2005.5,0.8,17,1,1,12.989872030067538,0.3235159488560741,2015,"['9_lag_traDS', '3_lag_traEC', '5_lag_nchinaPRjja', '12_lag_nchinaPRjja', '9_lag_mhfIP30', '5_lag_stratZ50ndj01', '12_lag_cetTSjfm', '8_lag_traFS', '3_lag_eapPSLjfm', '12_lag_yrvPRjja', '14_lag_traBS', '11_lag_eurPSLjfm', '10_lag_mhfATL60', '15_lag_mhfIP30', '3_lag_shSICmar', '5_lag_AMOCann', '9_lag_traBS', '6_lag_stratZ50ndj03', '12_lag_neurTSjfm', '13_lag_mhfATL60', '4_lag_traBO', '13_lag_ismPRjja', '13_lag_yrvPRjja', '12_lag_nppc2SSTjfm', '8_lag_amo3', '12_lag_stratZ50ndj03', '12_lag_tripol3', '7_lag_atlSICjfm', '1_lag_traBS', '1_lag_shSICmar']","[0.017823797197631067, 0.08108679705972432, 0.04688335419846315, 0.09582536168032355, 0.12534626790358147, 0.013184742050662755, 0.27564849033790456, 0.016331017187523337, 0.13800381088594368, 0.09633806434126248, 0.04401731853207556, 0.07280627827953785, 0.07034797426043288, 0.06312088447407849, 0.27346962819274223, 0.023293743076529656, 0.04416376215292752, 0.10698776939897842, 0.25139637136635257, 0.13345613178266139, 0.09631224037974995, 0.08121020662674518, 0.09884035267673974, 0.18673114048136175, 0.07954308654685174, 0.08252094139959652, 0.08542683208974648, 0.09495272973164479, 0.10100233676342917, 0.21518482044227405]","9_lag_traDS, 3_lag_traEC, 5_lag_nchinaPRjja, 12_lag_nchinaPRjja, 9_lag_mhfIP30, 5_lag_stratZ50ndj01, 12_lag_cetTSjfm, 8_lag_traFS, 3_lag_eapPSLjfm, 12_lag_yrvPRjja, 14_lag_traBS, 11_lag_eurPSLjfm, 10_lag_mhfATL60, 15_lag_mhfIP30, 3_lag_shSICmar, 5_lag_AMOCann, 9_lag_traBS, 6_lag_stratZ50ndj03, 12_lag_neurTSjfm, 13_lag_mhfATL60, 4_lag_traBO, 13_lag_ismPRjja, 13_lag_yrvPRjja, 12_lag_nppc2SSTjfm, 8_lag_amo3, 12_lag_stratZ50ndj03, 12_lag_tripol3, 7_lag_atlSICjfm, 1_lag_traBS, 1_lag_shSICmar_2015_1"
LinearRegression,3,30,shSICsep,slow,1517.5,2005.5,0.8,18,1,1,13.172102066460722,0.2846788806301724,2145,"['8_lag_traFS', '12_lag_yrvPRjja', '8_lag_stratZ50ndj04', '9_lag_traBS', '3_lag_traEC', '10_lag_mhfATL60', '4_lag_traBO', '13_lag_ismPRjja', '5_lag_stratZ50ndj01', '16_lag_traEC', '12_lag_neurTSjfm', '9_lag_mhfIP30', '14_lag_traDP', '4_lag_ginwSSTjfm', '4_lag_traMC', '5_lag_AMOCann', '12_lag_cetTSjfm', '3_lag_eapPSLjfm', '3_lag_shSICmar', '6_lag_stratZ50ndj03', '13_lag_yrvPRjja', '11_lag_eurPSLjfm', '12_lag_stratZ50ndj03', '13_lag_mhfATL60', '7_lag_atlSICjfm', '1_lag_traBS', '12_lag_nppc2SSTjfm', '12_lag_tripol3', '8_lag_amo3', '1_lag_shSICmar']","[0.0009636080162309145, 0.06697848799478384, 0.016553988919023953, 0.03713549796517246, 0.07378987275015794, 0.07275888702134271, 0.10035556130816763, 0.0981802914295525, 0.011009755926679068, 0.0656814254103391, 0.22421916946633555, 0.1354858056908196, 0.15839975511175913, 0.09296004407912294, 0.09461637457864565, 0.007538713571392876, 0.245195505475672, 0.13839185874068782, 0.28150879016882624, 0.10231359348758853, 0.11434302660518954, 0.07518785003312355, 0.07643218304434328, 0.1317189933267589, 0.11398717476889661, 0.11148055502293158, 0.17595452695496555, 0.06489799951884406, 0.08248072565241975, 0.23113000286677113]","8_lag_traFS, 12_lag_yrvPRjja, 8_lag_stratZ50ndj04, 9_lag_traBS, 3_lag_traEC, 10_lag_mhfATL60, 4_lag_traBO, 13_lag_ismPRjja, 5_lag_stratZ50ndj01, 16_lag_traEC, 12_lag_neurTSjfm, 9_lag_mhfIP30, 14_lag_traDP, 4_lag_ginwSSTjfm, 4_lag_traMC, 5_lag_AMOCann, 12_lag_cetTSjfm, 3_lag_eapPSLjfm, 3_lag_shSICmar, 6_lag_stratZ50ndj03, 13_lag_yrvPRjja, 11_lag_eurPSLjfm, 12_lag_stratZ50ndj03, 13_lag_mhfATL60, 7_lag_atlSICjfm, 1_lag_traBS, 12_lag_nppc2SSTjfm, 12_lag_tripol3, 8_lag_amo3, 1_lag_shSICmar_2145_1"
LinearRegression,4,30,shSICsep,slow,1518.5,2005.5,0.8,19,1,1,10.21996339614149,0.6069744632446072,2275,"['13_lag_gyreSSTjfm', '4_lag_traBO', '1_lag_traEU', '5_lag_atlSICsep', '1_lag_samPSLann', '11_lag_eurPSLjfm', '10_lag_mhfATL60', '8_lag_traFS', '13_lag_ismPRjja', '1_lag_shSICsep', '12_lag_stratZ50ndj03', '13_lag_yrvPRjja', '3_lag_eapPSLjfm', '8_lag_traFSC', '6_lag_stratZ50ndj03', '9_lag_mhfIP30', '12_lag_cetTSjfm', '4_lag_ginwSSTjfm', '5_lag_AMOCann', '7_lag_traEU', '18_lag_traTLS', '18_lag_traIFC', '9_lag_traBS', '3_lag_shSICmar', '12_lag_nppc2SSTjfm', '7_lag_atlSICjfm', '8_lag_amo3', '1_lag_traBS', '12_lag_tripol3', '1_lag_shSICmar']","[0.059126750254541505, 0.08567117006305715, 0.0024279975353807244, 0.04052873414355649, 0.04382606271778838, 0.03457358441410023, 0.08518872347922977, 0.04168895609622973, 0.05195333870111934, 0.41538334042449576, 0.09448090262959101, 0.08494980686367289, 0.0898122084821066, 0.053242115583501566, 0.08187047829998512, 0.07889916415677492, 0.07495223685618849, 0.07540660379697534, 0.06779246550716624, 0.04210272684514496, 0.030985885243051247, 0.05021903122380492, 0.05847142771735707, 0.12958217117917006, 0.16036080136439923, 0.06918264788584924, 0.05866834646436759, 0.0981902727892306, 0.06402263073416574, 0.14612352075736917]","13_lag_gyreSSTjfm, 4_lag_traBO, 1_lag_traEU, 5_lag_atlSICsep, 1_lag_samPSLann, 11_lag_eurPSLjfm, 10_lag_mhfATL60, 8_lag_traFS, 13_lag_ismPRjja, 1_lag_shSICsep, 12_lag_stratZ50ndj03, 13_lag_yrvPRjja, 3_lag_eapPSLjfm, 8_lag_traFSC, 6_lag_stratZ50ndj03, 9_lag_mhfIP30, 12_lag_cetTSjfm, 4_lag_ginwSSTjfm, 5_lag_AMOCann, 7_lag_traEU, 18_lag_traTLS, 18_lag_traIFC, 9_lag_traBS, 3_lag_shSICmar, 12_lag_nppc2SSTjfm, 7_lag_atlSICjfm, 8_lag_amo3, 1_lag_traBS, 12_lag_tripol3, 1_lag_shSICmar_2275_1"
LinearRegression,5,30,shSICsep,slow,1519.5,2005.5,0.8,20,1,1,10.429306753836402,0.5720586626385291,2405,"['12_lag_cetTSjfm', '13_lag_gyreSSTjfm', '17_lag_traBS', '19_lag_atlSICjfm', '4_lag_ginwSSTjfm', '11_lag_eurPSLjfm', '15_lag_traEU', '12_lag_stratZ50ndj03', '3_lag_eapPSLjfm', '8_lag_traFSC', '18_lag_traTLS', '13_lag_ismPRjja', '5_lag_AMOCann', '19_lag_traTLS', '3_lag_shSICmar', '9_lag_traBS', '1_lag_traBS', '6_lag_stratZ50ndj03', '1_lag_shSICsep', '7_lag_traEU', '18_lag_traIFC', '19_lag_traBS', '7_lag_alpi', '9_lag_mhfIP30', '12_lag_nppc2SSTjfm', '19_lag_shSICsep', '8_lag_amo3', '7_lag_atlSICjfm', '12_lag_tripol3', '1_lag_shSICmar']","[0.058084989137976106, 0.06563460542322778, 0.0321327918210333, 0.05251629218327852, 0.06401123362356617, 0.0445635015552227, 0.0681520375777599, 0.09594495186877924, 0.08223458495055007, 0.04920553123691995, 0.024695311925969295, 0.015566645666564159, 0.04577849536470932, 0.11067409570733976, 0.1398454569510129, 0.06814248023207113, 0.10260744144034972, 0.07296647532256113, 0.41869060634644545, 0.054270477765956775, 0.0485533122389007, 0.030592251733682085, 0.04001135084174655, 0.09064582442915349, 0.15854454396999013, 0.06698878082521745, 0.06895837746535093, 0.08865546529804529, 0.04707489910807472, 0.13978207653186395]","12_lag_cetTSjfm, 13_lag_gyreSSTjfm, 17_lag_traBS, 19_lag_atlSICjfm, 4_lag_ginwSSTjfm, 11_lag_eurPSLjfm, 15_lag_traEU, 12_lag_stratZ50ndj03, 3_lag_eapPSLjfm, 8_lag_traFSC, 18_lag_traTLS, 13_lag_ismPRjja, 5_lag_AMOCann, 19_lag_traTLS, 3_lag_shSICmar, 9_lag_traBS, 1_lag_traBS, 6_lag_stratZ50ndj03, 1_lag_shSICsep, 7_lag_traEU, 18_lag_traIFC, 19_lag_traBS, 7_lag_alpi, 9_lag_mhfIP30, 12_lag_nppc2SSTjfm, 19_lag_shSICsep, 8_lag_amo3, 7_lag_atlSICjfm, 12_lag_tripol3, 1_lag_shSICmar_2405_1"
LinearRegression,6,30,shSICsep,slow,1520.5,2005.5,0.8,21,1,1,10.885980157876439,0.5766743973712919,2535,"['20_lag_seurTSjfm', '13_lag_ismPRjja', '19_lag_atlSICjfm', '8_lag_traFSC', '15_lag_traEU', '10_lag_mhfATL60', '13_lag_gyreSSTjfm', '3_lag_eapPSLjfm', '5_lag_AMOCann', '6_lag_stratZ50ndj03', '18_lag_traIFC', '12_lag_stratZ50ndj03', '4_lag_ginwSSTjfm', '20_lag_mhfATL45', '20_lag_nppc3SSTjfm', '1_lag_traBS', '1_lag_shSICsep', '6_lag_stratZ50ndj01', '9_lag_traBS', '12_lag_nppc2SSTjfm', '19_lag_traBS', '3_lag_shSICmar', '7_lag_traEU', '7_lag_alpi', '7_lag_atlSICjfm', '9_lag_mhfIP30', '19_lag_shSICsep', '12_lag_tripol3', '8_lag_amo3', '1_lag_shSICmar']","[0.013141943553620972, 0.009601678530046953, 0.04756472883934944, 0.0885395997067074, 0.06429192880134747, 0.07180529904204648, 0.044119206151201726, 0.07723415821379918, 0.0950645822344692, 0.06933691053599031, 0.03581662292561406, 0.0986700067199215, 0.06311382459748897, 0.1383338025347296, 0.14240216357019186, 0.10429579526817051, 0.3859937186160516, 0.08191615763586516, 0.07510535446568217, 0.11197829975246049, 0.005844174150907683, 0.1591107031139769, 0.052651215893136, 0.03711071045597506, 0.09272135513609946, 0.11973958508308448, 0.06595678372015376, 0.06036966420554703, 0.0192558605744392, 0.16097036339136248]","20_lag_seurTSjfm, 13_lag_ismPRjja, 19_lag_atlSICjfm, 8_lag_traFSC, 15_lag_traEU, 10_lag_mhfATL60, 13_lag_gyreSSTjfm, 3_lag_eapPSLjfm, 5_lag_AMOCann, 6_lag_stratZ50ndj03, 18_lag_traIFC, 12_lag_stratZ50ndj03, 4_lag_ginwSSTjfm, 20_lag_mhfATL45, 20_lag_nppc3SSTjfm, 1_lag_traBS, 1_lag_shSICsep, 6_lag_stratZ50ndj01, 9_lag_traBS, 12_lag_nppc2SSTjfm, 19_lag_traBS, 3_lag_shSICmar, 7_lag_traEU, 7_lag_alpi, 7_lag_atlSICjfm, 9_lag_mhfIP30, 19_lag_shSICsep, 12_lag_tripol3, 8_lag_amo3, 1_lag_shSICmar_2535_1"
LinearRegression,7,30,shSICsep,slow,1521.5,2005.5,0.8,22,1,1,10.83203573566495,0.5964500495868527,2665,"['1_lag_stratZ50ndj03', '1_lag_traEU', '12_lag_stratZ50ndj03', '20_lag_nppc3SSTjfm', '1_lag_traBS', '12_lag_alpi', '5_lag_AMOCann', '1_lag_shSICsep', '21_lag_traWP', '20_lag_mhfATL45', '13_lag_gyreSSTjfm', '3_lag_eapPSLjfm', '20_lag_seurTSjfm', '19_lag_traBS', '9_lag_traBS', '6_lag_stratZ50ndj03', '12_lag_nppc2SSTjfm', '18_lag_traIFC', '5_lag_nchinaPRjja', '6_lag_stratZ50ndj01', '4_lag_ginwSSTjfm', '7_lag_atlSICjfm', '12_lag_tripol3', '3_lag_shSICmar', '19_lag_shSICsep', '7_lag_traEU', '9_lag_mhfIP30', '8_lag_amo3', '7_lag_alpi', '1_lag_shSICmar']","[0.04319069254995457, 0.004262922623156626, 0.09999507688687861, 0.138869572271128, 0.08836858302129771, 0.07844176649750519, 0.07131477089227589, 0.3804695882945728, 0.03700765438178146, 0.10595943372591361, 0.0337287386945169, 0.0848165120239639, 0.02721390836930293, 0.022329629304925307, 0.07145570574916575, 0.08247578314656513, 0.09126373301665212, 0.045785665821560906, 0.04247945507373145, 0.08882893711604932, 0.07541138796120214, 0.1021466096133348, 0.10663935814061462, 0.1427477339181176, 0.07006621680713701, 0.059223522246095305, 0.09685334836507023, 0.005864093416134678, 0.0367506428696832, 0.1725786479976148]","1_lag_stratZ50ndj03, 1_lag_traEU, 12_lag_stratZ50ndj03, 20_lag_nppc3SSTjfm, 1_lag_traBS, 12_lag_alpi, 5_lag_AMOCann, 1_lag_shSICsep, 21_lag_traWP, 20_lag_mhfATL45, 13_lag_gyreSSTjfm, 3_lag_eapPSLjfm, 20_lag_seurTSjfm, 19_lag_traBS, 9_lag_traBS, 6_lag_stratZ50ndj03, 12_lag_nppc2SSTjfm, 18_lag_traIFC, 5_lag_nchinaPRjja, 6_lag_stratZ50ndj01, 4_lag_ginwSSTjfm, 7_lag_atlSICjfm, 12_lag_tripol3, 3_lag_shSICmar, 19_lag_shSICsep, 7_lag_traEU, 9_lag_mhfIP30, 8_lag_amo3, 7_lag_alpi, 1_lag_shSICmar_2665_1"
LinearRegression,8,30,shSICsep,slow,1522.5,2005.5,0.8,23,1,1,10.579594980564675,0.5524191255304802,2795,"['15_lag_traEU', '1_lag_3_median_shSICmar', '4_lag_traBO', '14_lag_alpi', '22_lag_eurPSLjfm', '12_lag_stratZ50ndj03', '5_lag_AMOCann', '1_lag_4_median_shSICmar', '22_lag_atlSICjfm', '4_lag_ginwSSTjfm', '1_lag_shSICsep', '19_lag_shSICsep', '6_lag_stratZ50ndj01', '19_lag_traBS', '20_lag_seurTSjfm', '22_lag_nppc2SSTjfm', '3_lag_eapPSLjfm', '18_lag_traIFC', '7_lag_atlSICjfm', '12_lag_tripol3', '6_lag_stratZ50ndj03', '9_lag_traBS', '5_lag_nchinaPRjja', '3_lag_shSICmar', '8_lag_amo3', '7_lag_traEU', '9_lag_mhfIP30', '7_lag_alpi', '22_lag_stratZ50ndj03', '1_lag_shSICmar']","[0.06547287940516992, 0.24649740816427437, 0.07470246916768054, 0.05583289571795073, 0.013606152676327728, 0.08463746333814498, 0.03987168290343125, 0.06800087293107307, 0.001408765434211658, 0.054912197137092916, 0.3733650807979501, 0.07767640468361542, 0.057442034055455324, 0.021500338508373906, 0.04807281524854628, 0.0684282359346227, 0.0917264286842448, 0.06209120452134409, 0.0696648864586502, 0.07203806525771447, 0.07836075379083382, 0.09560945790499897, 0.04136697602347287, 0.025271047669577214, 0.037531407659120074, 0.04872242993337025, 0.09059728180678102, 0.05273743892585416, 0.07595160590120967, 0.13423798023061165]","15_lag_traEU, 1_lag_3_median_shSICmar, 4_lag_traBO, 14_lag_alpi, 22_lag_eurPSLjfm, 12_lag_stratZ50ndj03, 5_lag_AMOCann, 1_lag_4_median_shSICmar, 22_lag_atlSICjfm, 4_lag_ginwSSTjfm, 1_lag_shSICsep, 19_lag_shSICsep, 6_lag_stratZ50ndj01, 19_lag_traBS, 20_lag_seurTSjfm, 22_lag_nppc2SSTjfm, 3_lag_eapPSLjfm, 18_lag_traIFC, 7_lag_atlSICjfm, 12_lag_tripol3, 6_lag_stratZ50ndj03, 9_lag_traBS, 5_lag_nchinaPRjja, 3_lag_shSICmar, 8_lag_amo3, 7_lag_traEU, 9_lag_mhfIP30, 7_lag_alpi, 22_lag_stratZ50ndj03, 1_lag_shSICmar_2795_1"
LinearRegression,9,30,shSICsep,slow,1523.5,2005.5,0.8,24,1,1,10.68385162562647,0.5224172034362246,2925,"['21_lag_traMC', '13_lag_gyreSSTjfm', '1_lag_4_median_shSICmar', '23_lag_stratZ50ndj03', '1_lag_shSICsep', '19_lag_traBS', '15_lag_alpi', '13_lag_stratZ50ndj02', '17_lag_satlSSTjfm', '4_lag_ginwSSTjfm', '12_lag_alpi', '20_lag_seurTSjfm', '18_lag_traIFC', '6_lag_stratZ50ndj01', '9_lag_traBS', '14_lag_alpi', '20_lag_stratZ50ndj03', '1_lag_3_median_shSICmar', '9_lag_mhfIP30', '3_lag_eapPSLjfm', '5_lag_nchinaPRjja', '12_lag_tripol3', '8_lag_amo3', '7_lag_traEU', '7_lag_atlSICjfm', '3_lag_shSICmar', '6_lag_stratZ50ndj03', '7_lag_alpi', '22_lag_stratZ50ndj03', '1_lag_shSICmar']","[0.035792284686540915, 0.0315848418182922, 0.045808991490882835, 0.04289889317632162, 0.35578551308614625, 0.022438417142129706, 0.014078035037153548, 0.042772834865361216, 0.07969918654906392, 0.044571153587853025, 0.08392664887231474, 0.06085101880600855, 0.08779619035967484, 0.07046266351889367, 0.09421152678384949, 0.04794696013002593, 0.056900830632736224, 0.21923395403291987, 0.08027672694946764, 0.12461783738932379, 0.023593493302587337, 0.11884050246027611, 0.04227730875669237, 0.07754971925768075, 0.08299352312536624, 0.03878909773466786, 0.05101530117326766, 0.06710905728125437, 0.0868968368005086, 0.13185395082248041]","21_lag_traMC, 13_lag_gyreSSTjfm, 1_lag_4_median_shSICmar, 23_lag_stratZ50ndj03, 1_lag_shSICsep, 19_lag_traBS, 15_lag_alpi, 13_lag_stratZ50ndj02, 17_lag_satlSSTjfm, 4_lag_ginwSSTjfm, 12_lag_alpi, 20_lag_seurTSjfm, 18_lag_traIFC, 6_lag_stratZ50ndj01, 9_lag_traBS, 14_lag_alpi, 20_lag_stratZ50ndj03, 1_lag_3_median_shSICmar, 9_lag_mhfIP30, 3_lag_eapPSLjfm, 5_lag_nchinaPRjja, 12_lag_tripol3, 8_lag_amo3, 7_lag_traEU, 7_lag_atlSICjfm, 3_lag_shSICmar, 6_lag_stratZ50ndj03, 7_lag_alpi, 22_lag_stratZ50ndj03, 1_lag_shSICmar_2925_1"
