model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,shTSjfm,slow,1514.5,2005.5,0.6,15,5,5,28.513683748342388,-0.23907757208997177,1235,"['9_lag_eurPSLjfm', '14_lag_ensoSSTjfm', '8_lag_labSSTjfm', '5_lag_13_median_ormenSSTjfm', '10_lag_mhfIP30', '8_lag_nhTSjfm', '5_lag_14_median_nchinaPRjja', '5_lag_13_median_nppc3SSTjfm', '5_lag_10_median_traWP', '8_lag_mhfIP30', '14_lag_traEU', '5_lag_14_median_atlSICjfm', '7_lag_nhSICsep', '8_lag_stratZ50ndj04', '12_lag_traDP', '5_lag_11_median_shSICsep', '9_lag_glTSjfm', '6_lag_amoSSTmjjaso', '5_lag_8_median_ginwSSTjfm', '7_lag_atlSICjfm', '5_lag_traBO', '5_lag_12_median_stratZ50ndj02', '14_lag_neurTSjfm', '5_lag_12_median_glomaSSTjfm', '10_lag_glomaSSTjfm', '5_lag_10_median_ginwSSTjfm', '9_lag_ormenSSTjfm', '6_lag_cetTSjfm', '9_lag_mhfATL60', '10_lag_mhfATL60']","[2.3331811770122517, 2.7018755717109713, 2.990043756201537, 7.373015795328058, 2.67781080090675, 6.8902488076073265, 1.395325596107572, 1.3401497404088847, 2.9077895023969873, 6.028896497500131, 8.345191908617878, 1.8753759759907886, 1.0166153035463807, 6.874561458312005, 0.3938163197455715, 7.17229144122002, 3.0046820439613136, 0.06627564166010913, 0.6164230953955148, 9.192201423903391, 2.3059052530561903, 5.716798321755736, 9.251393378576847, 2.2024645433953633, 0.4296589232707255, 9.313848806028686, 4.359700615713727, 8.645299094862104, 0.5474398846220989, 0.11305357031113061]","9_lag_eurPSLjfm, 14_lag_ensoSSTjfm, 8_lag_labSSTjfm, 5_lag_13_median_ormenSSTjfm, 10_lag_mhfIP30, 8_lag_nhTSjfm, 5_lag_14_median_nchinaPRjja, 5_lag_13_median_nppc3SSTjfm, 5_lag_10_median_traWP, 8_lag_mhfIP30, 14_lag_traEU, 5_lag_14_median_atlSICjfm, 7_lag_nhSICsep, 8_lag_stratZ50ndj04, 12_lag_traDP, 5_lag_11_median_shSICsep, 9_lag_glTSjfm, 6_lag_amoSSTmjjaso, 5_lag_8_median_ginwSSTjfm, 7_lag_atlSICjfm, 5_lag_traBO, 5_lag_12_median_stratZ50ndj02, 14_lag_neurTSjfm, 5_lag_12_median_glomaSSTjfm, 10_lag_glomaSSTjfm, 5_lag_10_median_ginwSSTjfm, 9_lag_ormenSSTjfm, 6_lag_cetTSjfm, 9_lag_mhfATL60, 10_lag_mhfATL60_1235_5"
LRforcedPSO,1,30,shTSjfm,slow,1515.5,2005.5,0.6,16,6,6,31.938126692512533,-0.2943312097547614,1235,"['15_lag_mhfATL60', '6_lag_15_median_nhSICjfm', '6_lag_7_median_labSSTjfm', '14_lag_traFS', '9_lag_traFS', '6_lag_11_median_ensoSSTjfm', '14_lag_neurTSjfm', '15_lag_atlSICjfm', '9_lag_traBS', '8_lag_alpi', '14_lag_glomaSSTjfm', '10_lag_traDS', '6_lag_13_median_stratZ50ndj03', '6_lag_13_median_glomaSSTjfm', '6_lag_11_median_traDP', '14_lag_atlSICjfm', '13_lag_stratZ50ndj03', '6_lag_11_median_amoSSTmjjaso', '6_lag_14_median_mhfATL60', '6_lag_13_median_amo2', '13_lag_traIT', '6_lag_7_median_nchinaPRjja', '6_lag_8_median_glomaSSTjfm', '6_lag_15_median_glomaSSTjfm', '6_lag_10_median_samPSLann', '11_lag_mhfATL30', '7_lag_traBO', '6_lag_12_median_traIFC', '10_lag_glTSjfm', '6_lag_labSSTjfm']","[6.647777293345842, 5.982165370536805, 6.020585591340364, 1.4130610178322573, 1.358065475150859, 2.387798610320509, 4.304924611800692, 9.490988058589291, 6.959921052040613, 6.320482968817551, 6.7632955123488525, 2.1576310270135846, 1.2000452063215725, 6.78706476953208, 1.0269015853030456, 3.0392598621424245, 6.594624536279281, 7.267244983933416, 0.43059514508351526, 1.1980767356968727, 3.0203923627203944, 2.336196745703891, 6.603453068200782, 2.4693882105374794, 6.786263700878202, 2.4412280937747877, 3.3364061043443254, 1.83074129410217, 8.95933779258577, 1.8815257866632802]","15_lag_mhfATL60, 6_lag_15_median_nhSICjfm, 6_lag_7_median_labSSTjfm, 14_lag_traFS, 9_lag_traFS, 6_lag_11_median_ensoSSTjfm, 14_lag_neurTSjfm, 15_lag_atlSICjfm, 9_lag_traBS, 8_lag_alpi, 14_lag_glomaSSTjfm, 10_lag_traDS, 6_lag_13_median_stratZ50ndj03, 6_lag_13_median_glomaSSTjfm, 6_lag_11_median_traDP, 14_lag_atlSICjfm, 13_lag_stratZ50ndj03, 6_lag_11_median_amoSSTmjjaso, 6_lag_14_median_mhfATL60, 6_lag_13_median_amo2, 13_lag_traIT, 6_lag_7_median_nchinaPRjja, 6_lag_8_median_glomaSSTjfm, 6_lag_15_median_glomaSSTjfm, 6_lag_10_median_samPSLann, 11_lag_mhfATL30, 7_lag_traBO, 6_lag_12_median_traIFC, 10_lag_glTSjfm, 6_lag_labSSTjfm_1235_6"
LRforcedPSO,2,30,shTSjfm,slow,1516.5,2005.5,0.6,17,7,7,30.080751072976668,-0.1801922083703193,1235,"['7_lag_13_median_mhfATL45', '12_lag_nhSICsep', '7_lag_10_median_tripol1', '13_lag_traMC', '7_lag_9_median_scpPSLjfm', '13_lag_scpPSLjfm', '7_lag_8_median_traBO', '10_lag_traIT', '7_lag_13_median_neurTSjfm', '7_lag_12_median_tripol1', '7_lag_9_median_shTSjfm', '11_lag_ensoSSTjfm', '7_lag_16_median_cetTSjfm', '7_lag_stratZ50ndj04', '12_lag_wnorPRjfm', '7_lag_8_median_neurTSjfm', '7_lag_arcTSjfm', '7_lag_15_median_cetTSjfm', '7_lag_13_median_amo2', '13_lag_amo2', '7_lag_11_median_traTLS', '7_lag_15_median_traIFC', '7_lag_15_median_amo1', '15_lag_amo3', '14_lag_traTLS', '7_lag_15_median_ensoSSTjfm', '7_lag_16_median_mhfATL45', '16_lag_eurPSLjfm', '10_lag_nppc3SSTjfm', '15_lag_tripol1']","[7.488820254358997, 1.837109867437496, 0.15481092222531245, 3.7229715157894594, 4.099723135926851, 2.5249695234913627, 4.7499606049451835, 6.447238132673531, 1.2224717667432152, 1.1652910396754521, 0.3240930862230389, 4.97252722425463, 9.486499487149203, 6.461077293358317, 1.6054008004758806, 4.648087943357478, 7.362250524913243, 3.4273748021227526, 1.870164256937695, 3.3584572731468363, 2.6631886554717665, 4.83055012739513, 2.566220832504067, 0.05730413865795114, 1.7965362485183771, 0.2165888684778956, 0.8144539105447173, 9.716998858984452, 0.7942639594907934, 6.55886065058443]","7_lag_13_median_mhfATL45, 12_lag_nhSICsep, 7_lag_10_median_tripol1, 13_lag_traMC, 7_lag_9_median_scpPSLjfm, 13_lag_scpPSLjfm, 7_lag_8_median_traBO, 10_lag_traIT, 7_lag_13_median_neurTSjfm, 7_lag_12_median_tripol1, 7_lag_9_median_shTSjfm, 11_lag_ensoSSTjfm, 7_lag_16_median_cetTSjfm, 7_lag_stratZ50ndj04, 12_lag_wnorPRjfm, 7_lag_8_median_neurTSjfm, 7_lag_arcTSjfm, 7_lag_15_median_cetTSjfm, 7_lag_13_median_amo2, 13_lag_amo2, 7_lag_11_median_traTLS, 7_lag_15_median_traIFC, 7_lag_15_median_amo1, 15_lag_amo3, 14_lag_traTLS, 7_lag_15_median_ensoSSTjfm, 7_lag_16_median_mhfATL45, 16_lag_eurPSLjfm, 10_lag_nppc3SSTjfm, 15_lag_tripol1_1235_7"
LRforcedPSO,3,30,shTSjfm,slow,1517.5,2005.5,0.6,18,8,8,24.288685426501235,-0.03051164639150757,1235,"['12_lag_nppc2SSTjfm', '15_lag_satlSSTjfm', '8_lag_11_median_traEU', '8_lag_16_median_mhfATL45', '9_lag_stratZ50ndj04', '13_lag_glTSjfm', '13_lag_shTSjfm', '12_lag_AMOCann', '14_lag_stratZ50ndj03', '14_lag_mhfATL60', '14_lag_pdoSSTjfm', '11_lag_mhfATL30', '8_lag_17_median_nchinaPRjja', '11_lag_atlSICsep', '8_lag_10_median_samPSLann', '8_lag_10_median_mhfATL30', '9_lag_shSICsep', '8_lag_16_median_traBO', '8_lag_13_median_traIFC', '8_lag_14_median_satlSSTjfm', '15_lag_tripol2', '15_lag_traDP', '11_lag_stratZ50ndj02', '8_lag_16_median_traDS', '8_lag_solFORC', '9_lag_nchinaPRjja', '16_lag_traIT', '11_lag_seurTSjfm', '8_lag_16_median_labSSTjfm', '16_lag_tripol3']","[1.5335854628269292, 0.31843756996250683, 3.012611534448652, 6.123616281916895, 3.7295112815227967, 4.225296742635525, 8.194498028231456, 3.4730163669628453, 0.14319723732801748, 0.2990792075957778, 4.505570980301986, 6.812538938588004, 6.14975650368192, 3.708410884525824, 2.300075985714032, 7.623000099084997, 0.13044555748655107, 4.991237292074626, 2.837747435036839, 1.7945522243544865, 0.9752999078617037, 1.7463541151550537, 3.9956745840712333, 5.390034327322358, 4.261738147646511, 6.226154599101527, 2.9252867161428675, 9.552995552396165, 4.477513193286809, 0.5284321956826794]","12_lag_nppc2SSTjfm, 15_lag_satlSSTjfm, 8_lag_11_median_traEU, 8_lag_16_median_mhfATL45, 9_lag_stratZ50ndj04, 13_lag_glTSjfm, 13_lag_shTSjfm, 12_lag_AMOCann, 14_lag_stratZ50ndj03, 14_lag_mhfATL60, 14_lag_pdoSSTjfm, 11_lag_mhfATL30, 8_lag_17_median_nchinaPRjja, 11_lag_atlSICsep, 8_lag_10_median_samPSLann, 8_lag_10_median_mhfATL30, 9_lag_shSICsep, 8_lag_16_median_traBO, 8_lag_13_median_traIFC, 8_lag_14_median_satlSSTjfm, 15_lag_tripol2, 15_lag_traDP, 11_lag_stratZ50ndj02, 8_lag_16_median_traDS, 8_lag_solFORC, 9_lag_nchinaPRjja, 16_lag_traIT, 11_lag_seurTSjfm, 8_lag_16_median_labSSTjfm, 16_lag_tripol3_1235_8"
LRforcedPSO,4,30,shTSjfm,slow,1518.5,2005.5,0.6,19,9,9,41.02040120844774,-0.5228908824701052,1235,"['9_lag_18_median_amoSSTmjjaso', '11_lag_seurTSjfm', '10_lag_neurTSjfm', '9_lag_15_median_traTLS', '9_lag_13_median_traTLS', '16_lag_AMOCann', '9_lag_16_median_mhfATL30', '12_lag_samPSLann', '12_lag_stratZ50ndj03', '9_lag_13_median_naoPSLjfm', '17_lag_traCA', '9_lag_13_median_nhTSjfm', '15_lag_nppc2SSTjfm', '9_lag_10_median_nppc3SSTjfm', '10_lag_traEU', '10_lag_tripol2', '15_lag_gyreSSTjfm', '9_lag_16_median_arcTSjfm', '9_lag_18_median_mhfATL45', '18_lag_atlSICsep', '9_lag_13_median_pdoSSTjfm', '9_lag_17_median_yrvPRjja', '13_lag_glomaSSTjfm', '9_lag_12_median_wnorPRjfm', '17_lag_alpi', '12_lag_traBO', '10_lag_traWP', '15_lag_traWP', '9_lag_12_median_scpPSLjfm', '9_lag_12_median_labSSTjfm']","[4.179362260042567, 1.6417384179918493, 5.841249236827524, 2.8183390199007263, 8.279306406180977, 8.935105967309251, 2.225080079387027, 0.3619162144089074, 2.0806952600386595, 5.655095926658152, 1.6877471036207865, 2.607114951763685, 2.7311833634384257, 5.486079635270224, 3.6323116393630306, 1.8814208436555813, 1.0438217463860013, 3.568003404867575, 4.439919712541885, 2.0625071255475813, 6.14179185461947, 6.705251629442248, 7.732717391198316, 9.690868053911966, 5.130100953779597, 7.41652538258937, 7.5091702331250545, 1.2071876317539605, 0.6002667256752066, 4.562542818007797]","9_lag_18_median_amoSSTmjjaso, 11_lag_seurTSjfm, 10_lag_neurTSjfm, 9_lag_15_median_traTLS, 9_lag_13_median_traTLS, 16_lag_AMOCann, 9_lag_16_median_mhfATL30, 12_lag_samPSLann, 12_lag_stratZ50ndj03, 9_lag_13_median_naoPSLjfm, 17_lag_traCA, 9_lag_13_median_nhTSjfm, 15_lag_nppc2SSTjfm, 9_lag_10_median_nppc3SSTjfm, 10_lag_traEU, 10_lag_tripol2, 15_lag_gyreSSTjfm, 9_lag_16_median_arcTSjfm, 9_lag_18_median_mhfATL45, 18_lag_atlSICsep, 9_lag_13_median_pdoSSTjfm, 9_lag_17_median_yrvPRjja, 13_lag_glomaSSTjfm, 9_lag_12_median_wnorPRjfm, 17_lag_alpi, 12_lag_traBO, 10_lag_traWP, 15_lag_traWP, 9_lag_12_median_scpPSLjfm, 9_lag_12_median_labSSTjfm_1235_9"
LRforcedPSO,5,30,shTSjfm,slow,1519.5,2005.5,0.6,20,10,10,26.132128847413753,0.08420518071610633,1235,"['13_lag_mhfATL60', '10_lag_16_median_traWP', '10_lag_12_median_gyreSSTjfm', '10_lag_11_median_shSICsep', '10_lag_11_median_ormenSSTjfm', '15_lag_glomaSSTjfm', '10_lag_neurTSjfm', '10_lag_18_median_ensoSSTjfm', '11_lag_amo3', '10_lag_13_median_traFB', '16_lag_seurTSjfm', '17_lag_traWP', '12_lag_nppc3SSTjfm', '19_lag_amo2', '10_lag_16_median_traBO', '10_lag_traEU', '19_lag_traTLS', '10_lag_17_median_tripol1', '10_lag_13_median_nchinaPRjja', '10_lag_15_median_eapPSLjfm', '12_lag_mhfIP30', '10_lag_19_median_gyreSSTjfm', '10_lag_13_median_atlSICsep', '17_lag_yrvPRjja', '10_lag_atlSICjfm', '14_lag_traIFC', '10_lag_14_median_mhfIP30', '18_lag_traCA', '13_lag_AMOCann', '10_lag_18_median_seurTSjfm']","[6.903472020943888, 5.785917268378029, 8.706940611396409, 2.5797275038610827, 0.6828969834219905, 6.224894262038642, 3.8530842639443774, 9.443362243957964, 1.0876598347976731, 2.234207619098319, 2.8025931551688483, 4.318935855944583, 5.883887605776479, 4.650512094671379, 7.097723896692557, 8.205521485979336, 1.7262246210293242, 8.410437311660798, 6.185757225357873, 1.7756411503265355, 5.7881342471894275, 1.0021511384147246, 2.187228683106996, 8.66764158097363, 5.294104892821556, 7.419093674530675, 8.684097746775464, 1.2145830749678073, 0.9002380312411482, 2.2947284704066373]","13_lag_mhfATL60, 10_lag_16_median_traWP, 10_lag_12_median_gyreSSTjfm, 10_lag_11_median_shSICsep, 10_lag_11_median_ormenSSTjfm, 15_lag_glomaSSTjfm, 10_lag_neurTSjfm, 10_lag_18_median_ensoSSTjfm, 11_lag_amo3, 10_lag_13_median_traFB, 16_lag_seurTSjfm, 17_lag_traWP, 12_lag_nppc3SSTjfm, 19_lag_amo2, 10_lag_16_median_traBO, 10_lag_traEU, 19_lag_traTLS, 10_lag_17_median_tripol1, 10_lag_13_median_nchinaPRjja, 10_lag_15_median_eapPSLjfm, 12_lag_mhfIP30, 10_lag_19_median_gyreSSTjfm, 10_lag_13_median_atlSICsep, 17_lag_yrvPRjja, 10_lag_atlSICjfm, 14_lag_traIFC, 10_lag_14_median_mhfIP30, 18_lag_traCA, 13_lag_AMOCann, 10_lag_18_median_seurTSjfm_1235_10"
LRforcedPSO,6,30,shTSjfm,slow,1520.5,2005.5,0.6,21,11,11,23.116271695258998,0.027110336583283146,1235,"['14_lag_shTSjfm', '14_lag_gyreSSTjfm', '11_lag_17_median_nppc2SSTjfm', '17_lag_traFSC', '16_lag_satlSSTjfm', '11_lag_17_median_samPSLann', '20_lag_eurPSLjfm', '17_lag_mhfATL30', '11_lag_17_median_amo3', '19_lag_traIFC', '11_lag_12_median_traFSC', '19_lag_shSICsep', '13_lag_traFS', '16_lag_shSICmar', '11_lag_ginwSSTjfm', '17_lag_nppc3SSTjfm', '11_lag_stratZ50ndj04', '18_lag_tripol3', '11_lag_13_median_shSICmar', '12_lag_traTLS', '11_lag_14_median_satlSSTjfm', '11_lag_12_median_traWP', '13_lag_tripol2', '19_lag_traMC', '11_lag_14_median_AMOCann', '11_lag_15_median_glomaSSTjfm', '20_lag_nchinaPRjja', '11_lag_18_median_naoPSLjfm', '11_lag_19_median_traFB', '17_lag_amo1']","[2.369140810696118, 8.71296002720289, 4.491650348386866, 6.778742233586006, 3.711754012641208, 4.829537693749202, 2.4774683189148448, 2.343494336263648, 5.385897746151214, 6.238469656715445, 2.3160402219629024, 3.006558862966826, 4.380509057932889, 5.236313084707653, 2.4866050902563934, 4.837250316882134, 1.0563653366442267, 2.108677506884316, 2.4715887422067055, 0.9563937136292893, 7.617069528434522, 4.755721624204519, 8.821027367119816, 1.8574316990415358, 2.035240830531002, 8.226067827966574, 4.250101392568073, 6.732838595170314, 5.249843796484843, 1.6269082246433904]","14_lag_shTSjfm, 14_lag_gyreSSTjfm, 11_lag_17_median_nppc2SSTjfm, 17_lag_traFSC, 16_lag_satlSSTjfm, 11_lag_17_median_samPSLann, 20_lag_eurPSLjfm, 17_lag_mhfATL30, 11_lag_17_median_amo3, 19_lag_traIFC, 11_lag_12_median_traFSC, 19_lag_shSICsep, 13_lag_traFS, 16_lag_shSICmar, 11_lag_ginwSSTjfm, 17_lag_nppc3SSTjfm, 11_lag_stratZ50ndj04, 18_lag_tripol3, 11_lag_13_median_shSICmar, 12_lag_traTLS, 11_lag_14_median_satlSSTjfm, 11_lag_12_median_traWP, 13_lag_tripol2, 19_lag_traMC, 11_lag_14_median_AMOCann, 11_lag_15_median_glomaSSTjfm, 20_lag_nchinaPRjja, 11_lag_18_median_naoPSLjfm, 11_lag_19_median_traFB, 17_lag_amo1_1235_11"
LRforcedPSO,7,30,shTSjfm,slow,1521.5,2005.5,0.6,22,12,12,25.704368472785713,-0.06775185856222816,1235,"['12_lag_21_median_naoPSLjfm', '21_lag_amo2', '12_lag_21_median_cetTSjfm', '12_lag_14_median_traCA', '12_lag_21_median_glTSjfm', '12_lag_15_median_glTSjfm', '19_lag_amo2', '17_lag_glTSjfm', '12_lag_13_median_amoSSTmjjaso', '13_lag_pdoSSTjfm', '12_lag_13_median_glomaSSTjfm', '21_lag_ismPRjja', '12_lag_13_median_amo3', '12_lag_traFS', '12_lag_20_median_naoPSLjfm', '20_lag_traDS', '12_lag_20_median_mhfATL45', '12_lag_17_median_tripol1', '20_lag_gyreSSTjfm', '12_lag_15_median_nhSICsep', '15_lag_nhSICjfm', '21_lag_amoSSTmjjaso', '17_lag_traFS', '18_lag_tripol3', '12_lag_19_median_atlSICsep', '12_lag_alpi', '12_lag_15_median_AMOCann', '12_lag_14_median_ismPRjja', '21_lag_traEC', '17_lag_nppc3SSTjfm']","[0.8958722918310826, 1.2134225627489421, 1.6623864337353051, 0.4801432176617517, 3.639428992579944, 1.089173683424626, 1.5919053785106065, 0.6300545923821161, 8.298218170281688, 4.050905633724293, 6.5628923862004385, 1.4335862119382412, 1.180442688821234, 6.2377964452571035, 9.22727763814759, 0.2797137217990393, 2.055068175054471, 1.5483175388496697, 1.3693796146165287, 2.8266571279422656, 6.85457770687123, 1.3764987334614638, 5.491846562493681, 0.7928189172657127, 2.2114955469939694, 1.5223462164458965, 5.759746847793076, 2.7858434635376073, 4.98189299094742, 6.008466875556245]","12_lag_21_median_naoPSLjfm, 21_lag_amo2, 12_lag_21_median_cetTSjfm, 12_lag_14_median_traCA, 12_lag_21_median_glTSjfm, 12_lag_15_median_glTSjfm, 19_lag_amo2, 17_lag_glTSjfm, 12_lag_13_median_amoSSTmjjaso, 13_lag_pdoSSTjfm, 12_lag_13_median_glomaSSTjfm, 21_lag_ismPRjja, 12_lag_13_median_amo3, 12_lag_traFS, 12_lag_20_median_naoPSLjfm, 20_lag_traDS, 12_lag_20_median_mhfATL45, 12_lag_17_median_tripol1, 20_lag_gyreSSTjfm, 12_lag_15_median_nhSICsep, 15_lag_nhSICjfm, 21_lag_amoSSTmjjaso, 17_lag_traFS, 18_lag_tripol3, 12_lag_19_median_atlSICsep, 12_lag_alpi, 12_lag_15_median_AMOCann, 12_lag_14_median_ismPRjja, 21_lag_traEC, 17_lag_nppc3SSTjfm_1235_12"
LRforcedPSO,8,30,shTSjfm,slow,1522.5,2005.5,0.6,23,13,13,31.3219880265467,-0.47256376387622073,1235,"['13_lag_22_median_stratZ50ndj04', '13_lag_14_median_traIFC', '13_lag_18_median_traDP', '13_lag_15_median_traEU', '13_lag_19_median_mhfATL45', '13_lag_19_median_atlSICsep', '13_lag_18_median_labSSTjfm', '13_lag_17_median_mhfATL30', '13_lag_20_median_ensoSSTjfm', '13_lag_traDS', '13_lag_nchinaPRjja', '13_lag_22_median_nppc3SSTjfm', '14_lag_solFORC', '13_lag_22_median_cetTSjfm', '13_lag_20_median_nppc3SSTjfm', '13_lag_15_median_neurTSjfm', '15_lag_stratZ50ndj04', '18_lag_shSICsep', '13_lag_14_median_traIT', '13_lag_16_median_labSSTjfm', '17_lag_ismPRjja', '13_lag_15_median_amoSSTmjjaso', '16_lag_satlSSTjfm', '13_lag_15_median_traIT', '13_lag_19_median_tripol1', '13_lag_15_median_traMC', '20_lag_stratZ50ndj04', '13_lag_mhfATL45', '19_lag_mhfATL30', '13_lag_14_median_gyreSSTjfm']","[4.2444627707499, 0.797324240551319, 5.526387282536556, 3.0528043309111252, 0.32603819925597577, 3.3133273779819064, 7.621936395093314, 0.6090802242063269, 6.099182259512212, 1.932561671212822, 7.558394349046548, 0.33746037769432036, 2.183632108611957, 4.352657606357269, 0.7820939010519119, 1.8212497556997107, 3.2450002265549767, 4.667334706123136, 0.6223138672732471, 8.89154620323794, 6.018505144742372, 0.23770548864119512, 3.5466927582216474, 9.379077976768976, 3.0984724564602377, 0.15363734255437933, 1.8963708951857754, 2.6886955632324963, 9.178796732806997, 2.6298149841466234]","13_lag_22_median_stratZ50ndj04, 13_lag_14_median_traIFC, 13_lag_18_median_traDP, 13_lag_15_median_traEU, 13_lag_19_median_mhfATL45, 13_lag_19_median_atlSICsep, 13_lag_18_median_labSSTjfm, 13_lag_17_median_mhfATL30, 13_lag_20_median_ensoSSTjfm, 13_lag_traDS, 13_lag_nchinaPRjja, 13_lag_22_median_nppc3SSTjfm, 14_lag_solFORC, 13_lag_22_median_cetTSjfm, 13_lag_20_median_nppc3SSTjfm, 13_lag_15_median_neurTSjfm, 15_lag_stratZ50ndj04, 18_lag_shSICsep, 13_lag_14_median_traIT, 13_lag_16_median_labSSTjfm, 17_lag_ismPRjja, 13_lag_15_median_amoSSTmjjaso, 16_lag_satlSSTjfm, 13_lag_15_median_traIT, 13_lag_19_median_tripol1, 13_lag_15_median_traMC, 20_lag_stratZ50ndj04, 13_lag_mhfATL45, 19_lag_mhfATL30, 13_lag_14_median_gyreSSTjfm_1235_13"
LRforcedPSO,9,30,shTSjfm,slow,1523.5,2005.5,0.6,24,14,14,24.64318476723047,0.15843875617983844,1235,"['19_lag_shSICsep', '14_lag_21_median_amo1', '14_lag_16_median_traWP', '14_lag_21_median_traFSC', '14_lag_21_median_glomaSSTjfm', '14_lag_22_median_traFSC', '14_lag_22_median_AMOCann', '15_lag_amo1', '21_lag_tripol3', '14_lag_16_median_wnorPRjfm', '23_lag_atlSICsep', '14_lag_tripol1', '21_lag_yrvPRjja', '14_lag_19_median_alpi', '14_lag_16_median_tripol1', '14_lag_18_median_satlSSTjfm', '14_lag_16_median_traMC', '14_lag_23_median_traEC', '18_lag_nhSICjfm', '14_lag_20_median_scpPSLjfm', '15_lag_ensoSSTjfm', '21_lag_stratZ50ndj03', '15_lag_traTLS', '22_lag_satlSSTjfm', '14_lag_19_median_nchinaPRjja', '14_lag_20_median_traDP', '14_lag_22_median_eurPSLjfm', '14_lag_15_median_glomaSSTjfm', '22_lag_ismPRjja', '14_lag_traEU']","[5.600370114616355, 2.168634588504027, 4.101729037770343, 0.04132622759047244, 1.6379087636226135, 2.691295975899431, 0.9350828766817507, 8.798795439455208, 6.000924349747154, 4.774057908254029, 0.5242403495545425, 4.123794910851942, 2.1445257697049414, 0.2881831581937071, 0.43763376521702924, 3.3869655570105124, 1.4104043154316557, 1.6062312096219618, 9.420459552710849, 4.484030265125107, 4.1217694873863735, 5.3725272356710825, 4.306090922815219, 0.27904539748820767, 9.656509150648326, 3.363001132458921, 1.4246813856471725, 2.6676602735292825, 9.539265282760596, 5.391593780581645]","19_lag_shSICsep, 14_lag_21_median_amo1, 14_lag_16_median_traWP, 14_lag_21_median_traFSC, 14_lag_21_median_glomaSSTjfm, 14_lag_22_median_traFSC, 14_lag_22_median_AMOCann, 15_lag_amo1, 21_lag_tripol3, 14_lag_16_median_wnorPRjfm, 23_lag_atlSICsep, 14_lag_tripol1, 21_lag_yrvPRjja, 14_lag_19_median_alpi, 14_lag_16_median_tripol1, 14_lag_18_median_satlSSTjfm, 14_lag_16_median_traMC, 14_lag_23_median_traEC, 18_lag_nhSICjfm, 14_lag_20_median_scpPSLjfm, 15_lag_ensoSSTjfm, 21_lag_stratZ50ndj03, 15_lag_traTLS, 22_lag_satlSSTjfm, 14_lag_19_median_nchinaPRjja, 14_lag_20_median_traDP, 14_lag_22_median_eurPSLjfm, 14_lag_15_median_glomaSSTjfm, 22_lag_ismPRjja, 14_lag_traEU_1235_14"
