model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,shTSjfm,slow,866.5,2005.5,0.4,15,1,1,7.018793680226115,0.30273370917216447,1755,"['7_lag_eurPSLjfm', '6_lag_traEC', '12_lag_shSICsep', '1_lag_AMOCann', '1_lag_traIT', '4_lag_traTLS']","[0.012912636221690163, 0.03469477614682957, 0.2015434330725092, 0.07937597537534193, 0.12403008488776221, 0.0011636025006826062]","7_lag_eurPSLjfm, 6_lag_traEC, 12_lag_shSICsep, 1_lag_AMOCann, 1_lag_traIT, 4_lag_traTLS_1755_1"
LinearRegression,1,6,shTSjfm,slow,867.5,2005.5,0.4,16,1,1,6.989345832604331,0.3668211189061383,1885,"['1_lag_AMOCann', '6_lag_traEC', '1_lag_traIT', '1_lag_traTLS', '4_lag_traTLS', '15_lag_scpPSLjfm']","[0.10261820754846158, 0.032841834814545265, 0.0698045807974925, 0.029273431498415485, 0.005859297049809618, 0.02263571488180297]","1_lag_AMOCann, 6_lag_traEC, 1_lag_traIT, 1_lag_traTLS, 4_lag_traTLS, 15_lag_scpPSLjfm_1885_1"
LinearRegression,2,6,shTSjfm,slow,868.5,2005.5,0.4,17,1,1,7.0717034314470855,0.3662300860826921,2015,"['16_lag_nppc3SSTjfm', '1_lag_traIT', '1_lag_traTLS', '4_lag_traTLS', '15_lag_tripol3', '15_lag_scpPSLjfm']","[0.019688773779112607, 0.0578489166643685, 0.04456689857203165, 0.0018109180626925657, 0.08292261354079382, 0.015200590443776918]","16_lag_nppc3SSTjfm, 1_lag_traIT, 1_lag_traTLS, 4_lag_traTLS, 15_lag_tripol3, 15_lag_scpPSLjfm_2015_1"
LinearRegression,3,6,shTSjfm,slow,869.5,2005.5,0.4,18,1,1,7.031768155416977,0.41049244176341515,2145,"['9_lag_stratZ50ndj04', '1_lag_traIT', '4_lag_traTLS', '1_lag_traTLS', '15_lag_tripol3', '15_lag_scpPSLjfm']","[0.06668742429850401, 0.062401083544166805, 0.0005488128112790397, 0.04265966621531381, 0.07592874880988314, 0.01593637857325783]","9_lag_stratZ50ndj04, 1_lag_traIT, 4_lag_traTLS, 1_lag_traTLS, 15_lag_tripol3, 15_lag_scpPSLjfm_2145_1"
LinearRegression,4,6,shTSjfm,slow,870.5,2005.5,0.4,19,1,1,7.043368961996692,0.40809326364127,2275,"['9_lag_stratZ50ndj04', '1_lag_traTLS', '4_lag_traTLS', '1_lag_traIT', '15_lag_tripol3', '15_lag_scpPSLjfm']","[0.06497021264761658, 0.043486438801653045, 0.00045579824160126015, 0.06467750652715745, 0.07649652070799005, 0.016009147351994428]","9_lag_stratZ50ndj04, 1_lag_traTLS, 4_lag_traTLS, 1_lag_traIT, 15_lag_tripol3, 15_lag_scpPSLjfm_2275_1"
LinearRegression,5,6,shTSjfm,slow,871.5,2005.5,0.4,20,1,1,7.077676253447196,0.389868986066912,2405,"['19_lag_atlSICjfm', '13_lag_stratZ50ndj04', '15_lag_tripol3', '1_lag_traTLS', '1_lag_traIT', '15_lag_scpPSLjfm']","[0.0067177734027314565, 0.07440660546013375, 0.07280649217789639, 0.05217091672263214, 0.055496104084468506, 0.013077980386634033]","19_lag_atlSICjfm, 13_lag_stratZ50ndj04, 15_lag_tripol3, 1_lag_traTLS, 1_lag_traIT, 15_lag_scpPSLjfm_2405_1"
LinearRegression,6,6,shTSjfm,slow,872.5,2005.5,0.4,21,1,1,6.915166977067095,0.43178597782596617,2535,"['1_lag_nppc2SSTjfm', '1_lag_traTLS', '19_lag_atlSICjfm', '9_lag_stratZ50ndj04', '1_lag_traIT', '15_lag_scpPSLjfm']","[0.11197515441811366, 0.04885001894527824, 0.007130446553109536, 0.07402292811556513, 0.05159066589496307, 0.022925896586377982]","1_lag_nppc2SSTjfm, 1_lag_traTLS, 19_lag_atlSICjfm, 9_lag_stratZ50ndj04, 1_lag_traIT, 15_lag_scpPSLjfm_2535_1"
LinearRegression,7,6,shTSjfm,slow,873.5,2005.5,0.4,22,1,1,7.2113598399700125,0.2491271483689287,2665,"['21_lag_traBS', '19_lag_atlSICjfm', '1_lag_traTLS', '9_lag_stratZ50ndj04', '1_lag_traIT', '15_lag_scpPSLjfm']","[0.05494414280487662, 0.0006592767256387577, 0.04153898451641984, 0.07087823719563424, 0.0637370938282537, 0.020282927608588325]","21_lag_traBS, 19_lag_atlSICjfm, 1_lag_traTLS, 9_lag_stratZ50ndj04, 1_lag_traIT, 15_lag_scpPSLjfm_2665_1"
LinearRegression,8,6,shTSjfm,slow,874.5,2005.5,0.4,23,1,1,7.207756301682697,0.25151990674624014,2795,"['21_lag_traBS', '19_lag_atlSICjfm', '9_lag_stratZ50ndj04', '1_lag_traTLS', '15_lag_scpPSLjfm', '1_lag_traIT']","[0.05470970744933221, 0.0009521876778268434, 0.07171659686135957, 0.04100719224904776, 0.020407418683773305, 0.0648479994149671]","21_lag_traBS, 19_lag_atlSICjfm, 9_lag_stratZ50ndj04, 1_lag_traTLS, 15_lag_scpPSLjfm, 1_lag_traIT_2795_1"
LinearRegression,9,6,shTSjfm,slow,875.5,2005.5,0.4,24,1,1,7.052392672324915,0.29705915567754765,2925,"['19_lag_atlSICjfm', '1_lag_nppc2SSTjfm', '21_lag_traBS', '1_lag_traTLS', '1_lag_traIT', '15_lag_scpPSLjfm']","[0.011185139144176348, 0.10872305948960242, 0.05065311392728512, 0.04320761507026136, 0.05119830137174574, 0.023397679075135753]","19_lag_atlSICjfm, 1_lag_nppc2SSTjfm, 21_lag_traBS, 1_lag_traTLS, 1_lag_traIT, 15_lag_scpPSLjfm_2925_1"
