model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,solFORC,slow,1714.5,2005.5,0.8,15,5,5,33.94125107741023,-0.29915748128551395,418,"['14_lag_atlSICsep', '13_lag_eapPSLjfm', '5_lag_8_median_eurPSLjfm', '13_lag_naoPSLjfm', '5_lag_AMOCann', '5_lag_8_median_nhSICsep']","[2.4923053526160692, 2.1587428916731572, 1.871168996576868, 1.872229421242137, 2.494160818317438, 1.870701705702499]","14_lag_atlSICsep, 13_lag_eapPSLjfm, 5_lag_8_median_eurPSLjfm, 13_lag_naoPSLjfm, 5_lag_AMOCann, 5_lag_8_median_nhSICsep_418_5"
LRforcedPSO,1,6,solFORC,slow,1715.5,2005.5,0.8,16,6,6,21.604291493575612,-0.1619541855103332,418,"['6_lag_14_median_nhSICsep', '12_lag_shSICmar', '6_lag_12_median_eurPSLjfm', '8_lag_amo1', '6_lag_13_median_nppc2SSTjfm', '8_lag_nppc2SSTjfm']","[0.4039548496233891, 0.4570939357065633, 0.507997896749794, 3.0663446750745305, 5.781748537288691, 2.9638496280099105]","6_lag_14_median_nhSICsep, 12_lag_shSICmar, 6_lag_12_median_eurPSLjfm, 8_lag_amo1, 6_lag_13_median_nppc2SSTjfm, 8_lag_nppc2SSTjfm_418_6"
LRforcedPSO,2,6,solFORC,slow,1716.5,2005.5,0.8,17,7,7,22.498653580114965,0.43673403800425853,418,"['7_lag_8_median_stratZ50ndj03', '7_lag_14_median_nhSICsep', '7_lag_10_median_shSICsep', '7_lag_13_median_AMOCann', '7_lag_10_median_eapPSLjfm', '16_lag_amo1']","[1.8683888228798724, 2.4224571238699175, 2.3920606587310393, 2.4657524386564957, 2.1915286244068684, 1.8532298719049303]","7_lag_8_median_stratZ50ndj03, 7_lag_14_median_nhSICsep, 7_lag_10_median_shSICsep, 7_lag_13_median_AMOCann, 7_lag_10_median_eapPSLjfm, 16_lag_amo1_418_7"
LRforcedPSO,3,6,solFORC,slow,1717.5,2005.5,0.8,18,8,8,29.143459901086036,-0.22610321897503777,418,"['8_lag_14_median_nhSICjfm', '8_lag_9_median_amoSSTjfm', '8_lag_16_median_nhSICsep', '14_lag_nppc2SSTjfm', '11_lag_nppc2SSTjfm', '8_lag_15_median_AMOCann']","[4.600490276957893, 3.4504925189321995, 4.135537389140605, 3.453809507967669, 3.450370730603903, 3.4526290969154916]","8_lag_14_median_nhSICjfm, 8_lag_9_median_amoSSTjfm, 8_lag_16_median_nhSICsep, 14_lag_nppc2SSTjfm, 11_lag_nppc2SSTjfm, 8_lag_15_median_AMOCann_418_8"
LRforcedPSO,4,6,solFORC,slow,1718.5,2005.5,0.8,19,9,9,18.885045788618847,0.06764287263944635,418,"['9_lag_18_median_nhSICsep', '9_lag_16_median_amo1', '9_lag_11_median_nhSICjfm', '12_lag_shSICsep', '14_lag_naoPSLjfm', '9_lag_11_median_nppc2SSTjfm']","[2.732410903603193, 1.913983314013059, 3.835285975870115, 0.8541198223157771, 4.439978785583206, 2.320044685125488]","9_lag_18_median_nhSICsep, 9_lag_16_median_amo1, 9_lag_11_median_nhSICjfm, 12_lag_shSICsep, 14_lag_naoPSLjfm, 9_lag_11_median_nppc2SSTjfm_418_9"
LRforcedPSO,5,6,solFORC,slow,1719.5,2005.5,0.8,20,10,10,28.512848414692215,-0.36049061708851593,418,"['11_lag_naoPSLjfm', '10_lag_13_median_stratZ50ndj02', '19_lag_atlSICjfm', '16_lag_shSICsep', '15_lag_amo1', '10_lag_16_median_scpPSLjfm']","[0.0691026036812108, 7.2055747222552995, 1.7702396273012404, 4.237951575605989, 3.115451462959056, 7.235549461396311]","11_lag_naoPSLjfm, 10_lag_13_median_stratZ50ndj02, 19_lag_atlSICjfm, 16_lag_shSICsep, 15_lag_amo1, 10_lag_16_median_scpPSLjfm_418_10"
LRforcedPSO,6,6,solFORC,slow,1720.5,2005.5,0.8,21,11,11,19.632079541048896,-0.28257598986933646,418,"['11_lag_20_median_amo3', '19_lag_nhSICsep', '20_lag_shSICsep', '11_lag_19_median_amoSSTmjjaso', '14_lag_amo1', '11_lag_15_median_stratZ50ndj04']","[6.9384400405829965, 1.9858185752539104, 1.0027781770328392, 3.6504461960577395, 0.8022817134069342, 7.745267157086726]","11_lag_20_median_amo3, 19_lag_nhSICsep, 20_lag_shSICsep, 11_lag_19_median_amoSSTmjjaso, 14_lag_amo1, 11_lag_15_median_stratZ50ndj04_418_11"
LRforcedPSO,7,6,solFORC,slow,1721.5,2005.5,0.8,22,12,12,24.530363222607658,-0.3164187393878199,418,"['16_lag_atlSICjfm', '13_lag_stratZ50ndj01', '12_lag_20_median_stratZ50ndj04', '20_lag_naoPSLjfm', '12_lag_13_median_nhSICsep', '18_lag_amo3']","[2.4534965440688388, 1.8401258865982317, 1.8401224084055727, 1.8401259424440337, 1.8450909490366296, 2.447541864327728]","16_lag_atlSICjfm, 13_lag_stratZ50ndj01, 12_lag_20_median_stratZ50ndj04, 20_lag_naoPSLjfm, 12_lag_13_median_nhSICsep, 18_lag_amo3_418_12"
LRforcedPSO,8,6,solFORC,slow,1722.5,2005.5,0.8,23,13,13,20.266069285895256,-0.244384686996859,418,"['15_lag_amoSSTjfm', '16_lag_AMOCann', '13_lag_15_median_shSICmar', '17_lag_atlSICsep', '13_lag_15_median_amo3', '13_lag_18_median_stratZ50ndj01']","[2.8070573409443416, 0.6867448540238623, 4.592918043111361, 3.7136972695856585, 0.43091146724414386, 1.125515252562204]","15_lag_amoSSTjfm, 16_lag_AMOCann, 13_lag_15_median_shSICmar, 17_lag_atlSICsep, 13_lag_15_median_amo3, 13_lag_18_median_stratZ50ndj01_418_13"
LRforcedPSO,9,6,solFORC,slow,1723.5,2005.5,0.8,24,14,14,12.316494846643751,-0.38902378030479384,418,"['22_lag_scpPSLjfm', '17_lag_stratZ50ndj02', '16_lag_amo2', '14_lag_18_median_nhSICjfm', '20_lag_solFORC', '18_lag_solFORC']","[1.6315738783202676, 0.06971851077759617, 4.7713336975693394, 5.542806670191616, 7.974471774525935, 9.759132793481584]","22_lag_scpPSLjfm, 17_lag_stratZ50ndj02, 16_lag_amo2, 14_lag_18_median_nhSICjfm, 20_lag_solFORC, 18_lag_solFORC_418_14"
LRforcedPSO,10,6,solFORC,slow,1724.5,2005.5,0.8,25,15,15,27.168953051433718,0.03629685831012971,418,"['15_lag_23_median_amoSSTmjjaso', '15_lag_23_median_solFORC', '24_lag_naoPSLjfm', '20_lag_amoSSTjfm', '17_lag_stratZ50ndj01', '18_lag_nhSICjfm']","[2.987441716057156, 2.268389344054965, 2.2706861142946173, 2.9357082160430914, 2.2883580621620863, 3.0196613217894916]","15_lag_23_median_amoSSTmjjaso, 15_lag_23_median_solFORC, 24_lag_naoPSLjfm, 20_lag_amoSSTjfm, 17_lag_stratZ50ndj01, 18_lag_nhSICjfm_418_15"
LRforcedPSO,11,6,solFORC,slow,1725.5,2005.5,0.8,26,16,16,14.805435106809986,0.17535069631716965,418,"['22_lag_stratZ50ndj04', '16_lag_22_median_amo1', '16_lag_25_median_stratZ50ndj03', '19_lag_stratZ50ndj04', '21_lag_eurPSLjfm', '22_lag_eurPSLjfm']","[2.2881282041117608, 5.298431421434415, 5.680524997921978, 2.7573090217235716, 5.957612216521273, 0.6384175455074583]","22_lag_stratZ50ndj04, 16_lag_22_median_amo1, 16_lag_25_median_stratZ50ndj03, 19_lag_stratZ50ndj04, 21_lag_eurPSLjfm, 22_lag_eurPSLjfm_418_16"
LRforcedPSO,12,6,solFORC,slow,1726.5,2005.5,0.8,27,17,17,22.862295542453086,-0.07034056578526136,418,"['26_lag_amo2', '17_lag_24_median_atlSICsep', '24_lag_stratZ50ndj01', '23_lag_nhSICjfm', '21_lag_atlSICjfm', '17_lag_naoPSLjfm']","[2.1075362110598324, 1.580652553701016, 1.5806521776219158, 2.0040230459627137, 2.1075362186833053, 1.580652240497174]","26_lag_amo2, 17_lag_24_median_atlSICsep, 24_lag_stratZ50ndj01, 23_lag_nhSICjfm, 21_lag_atlSICjfm, 17_lag_naoPSLjfm_418_17"
LRforcedPSO,13,6,solFORC,slow,1727.5,2005.5,0.8,28,18,18,21.282230285350415,-0.20848956933814075,418,"['18_lag_22_median_atlSICsep', '23_lag_solFORC', '21_lag_eapPSLjfm', '18_lag_23_median_shSICmar', '22_lag_amo2', '18_lag_27_median_solFORC']","[0.419383105462261, 5.138276520687878, 3.7757373940149908, 0.7726132036037754, 6.682623373132937, 6.5359208521373136]","18_lag_22_median_atlSICsep, 23_lag_solFORC, 21_lag_eapPSLjfm, 18_lag_23_median_shSICmar, 22_lag_amo2, 18_lag_27_median_solFORC_418_18"
LRforcedPSO,14,6,solFORC,slow,1728.5,2005.5,0.8,29,19,19,26.51097557854693,0.12537905378162723,418,"['19_lag_21_median_stratZ50ndj04', '19_lag_23_median_eapPSLjfm', '19_lag_25_median_shSICmar', '19_lag_amo3', '24_lag_shSICmar', '19_lag_28_median_atlSICjfm']","[1.6534525183247453, 1.6534525184455628, 1.6535467646906434, 2.1982327433285196, 1.6536008577885375, 2.2046033577662993]","19_lag_21_median_stratZ50ndj04, 19_lag_23_median_eapPSLjfm, 19_lag_25_median_shSICmar, 19_lag_amo3, 24_lag_shSICmar, 19_lag_28_median_atlSICjfm_418_19"
LRforcedPSO,15,6,solFORC,slow,1729.5,2005.5,0.8,30,20,20,17.808469034117365,-0.07096935187922876,418,"['22_lag_nhSICjfm', '23_lag_shSICmar', '20_lag_29_median_atlSICsep', '25_lag_naoPSLjfm', '20_lag_26_median_nhSICsep', '20_lag_21_median_solFORC']","[6.73476332367438, 1.7156105471721368, 6.829645614301079, 4.365670448662284, 6.817992255850809, 0.6018173107323932]","22_lag_nhSICjfm, 23_lag_shSICmar, 20_lag_29_median_atlSICsep, 25_lag_naoPSLjfm, 20_lag_26_median_nhSICsep, 20_lag_21_median_solFORC_418_20"
