model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,solFORC,slow,1714.5,2005.5,0.6,15,5,5,26.452631842790296,-0.30250951684309635,1235,"['5_lag_13_median_traFS', '9_lag_traFS', '5_lag_12_median_stratZ50ndj02', '9_lag_traDP', '5_lag_6_median_ismPRjja', '12_lag_alpi', '5_lag_9_median_tripol1', '5_lag_traTLS', '11_lag_arcTSjfm', '5_lag_13_median_tripol3']","[4.084230501382805, 2.5027345098979445, 1.6035947362407104, 8.259672849147186, 3.4228604439401433, 2.373355469615337, 0.18041380681659014, 5.23857303141601, 2.73032961176062, 4.769018516652848]","5_lag_13_median_traFS, 9_lag_traFS, 5_lag_12_median_stratZ50ndj02, 9_lag_traDP, 5_lag_6_median_ismPRjja, 12_lag_alpi, 5_lag_9_median_tripol1, 5_lag_traTLS, 11_lag_arcTSjfm, 5_lag_13_median_tripol3_1235_5"
LRforcedPSO,1,10,solFORC,slow,1715.5,2005.5,0.6,16,6,6,15.641030941112964,0.6308203614849109,1235,"['6_lag_10_median_traEU', '6_lag_7_median_shTSjfm', '15_lag_traEU', '15_lag_naoPSLjfm', '6_lag_8_median_traTLS', '6_lag_amo3', '15_lag_alpi', '13_lag_amo2', '6_lag_7_median_pdoSSTjfm', '6_lag_10_median_ensoSSTjfm']","[7.404266248555727, 6.799662702066964, 7.4121747446507555, 7.676341183265853, 4.204645763465738, 0.06909879353966097, 5.52401328274617, 1.2487864008309089, 2.165806593689709, 6.337326933498794]","6_lag_10_median_traEU, 6_lag_7_median_shTSjfm, 15_lag_traEU, 15_lag_naoPSLjfm, 6_lag_8_median_traTLS, 6_lag_amo3, 15_lag_alpi, 13_lag_amo2, 6_lag_7_median_pdoSSTjfm, 6_lag_10_median_ensoSSTjfm_1235_6"
LRforcedPSO,2,10,solFORC,slow,1716.5,2005.5,0.6,17,7,7,12.09983966748412,0.5775340304081811,1235,"['7_lag_11_median_pdoSSTjfm', '7_lag_13_median_traIFC', '7_lag_12_median_traBO', '11_lag_traIT', '16_lag_traIT', '8_lag_stratZ50ndj03', '14_lag_ensoSSTjfm', '7_lag_12_median_mhfATL30', '15_lag_amo1', '16_lag_solFORC']","[0.6592640006725343, 6.298852701249196, 5.632670025624558, 1.1708295917259122, 1.7348606117855923, 6.400961249046222, 1.2024505471644638, 1.3463776559837157, 4.38116229541645, 3.40408878451389]","7_lag_11_median_pdoSSTjfm, 7_lag_13_median_traIFC, 7_lag_12_median_traBO, 11_lag_traIT, 16_lag_traIT, 8_lag_stratZ50ndj03, 14_lag_ensoSSTjfm, 7_lag_12_median_mhfATL30, 15_lag_amo1, 16_lag_solFORC_1235_7"
LRforcedPSO,3,10,solFORC,slow,1717.5,2005.5,0.6,18,8,8,23.89814726099558,-0.09558837159398424,1235,"['8_lag_9_median_tripol1', '8_lag_17_median_traIT', '9_lag_shTSjfm', '8_lag_10_median_nhSICjfm', '8_lag_15_median_eurPSLjfm', '8_lag_14_median_traFS', '8_lag_9_median_traDP', '8_lag_11_median_ormenSSTjfm', '12_lag_amoSSTmjjaso', '8_lag_14_median_tripol3']","[6.142333559465758, 9.568468556612576, 5.740126281887527, 5.901797537334579, 2.7498302239202914, 3.0719946422853326, 8.324584434480464, 8.213008813146159, 1.2564633233075817, 2.813519772200374]","8_lag_9_median_tripol1, 8_lag_17_median_traIT, 9_lag_shTSjfm, 8_lag_10_median_nhSICjfm, 8_lag_15_median_eurPSLjfm, 8_lag_14_median_traFS, 8_lag_9_median_traDP, 8_lag_11_median_ormenSSTjfm, 12_lag_amoSSTmjjaso, 8_lag_14_median_tripol3_1235_8"
LRforcedPSO,4,10,solFORC,slow,1718.5,2005.5,0.6,19,9,9,20.78118333871571,-0.1241229134345427,1235,"['9_lag_16_median_traFS', '18_lag_neurTSjfm', '9_lag_17_median_traFS', '14_lag_traFSC', '12_lag_mhfIP30', '9_lag_10_median_stratZ50ndj03', '14_lag_traWP', '15_lag_traIT', '15_lag_traFSC', '16_lag_traEU']","[8.692423087645803, 5.052690158056894, 9.55293410348527, 5.440682216776878, 1.777962938422128, 3.0921317936296884, 1.9490491823805716, 4.024332423591257, 1.6417913017247088, 0.8642288231118034]","9_lag_16_median_traFS, 18_lag_neurTSjfm, 9_lag_17_median_traFS, 14_lag_traFSC, 12_lag_mhfIP30, 9_lag_10_median_stratZ50ndj03, 14_lag_traWP, 15_lag_traIT, 15_lag_traFSC, 16_lag_traEU_1235_9"
LRforcedPSO,5,10,solFORC,slow,1719.5,2005.5,0.6,20,10,10,11.516465624731865,0.6812790033186129,1235,"['10_lag_nppc3SSTjfm', '10_lag_13_median_atlSICjfm', '11_lag_shSICsep', '17_lag_traEC', '13_lag_traFSC', '12_lag_traCA', '19_lag_satlSSTjfm', '15_lag_nppc2SSTjfm', '10_lag_14_median_satlSSTjfm', '15_lag_tripol1']","[1.6176949991528886, 3.514799497108787, 4.015348281323384, 0.6516476337214563, 3.5356116991576965, 8.021982340702309, 4.417263153636338, 3.0134048129709328, 3.471094825659849, 0.9546094589367122]","10_lag_nppc3SSTjfm, 10_lag_13_median_atlSICjfm, 11_lag_shSICsep, 17_lag_traEC, 13_lag_traFSC, 12_lag_traCA, 19_lag_satlSSTjfm, 15_lag_nppc2SSTjfm, 10_lag_14_median_satlSSTjfm, 15_lag_tripol1_1235_10"
LRforcedPSO,6,10,solFORC,slow,1720.5,2005.5,0.6,21,11,11,22.57898966454314,-0.18988636065219125,1235,"['11_lag_13_median_satlSSTjfm', '11_lag_17_median_yrvPRjja', '11_lag_18_median_shSICsep', '14_lag_neurTSjfm', '12_lag_traIFC', '11_lag_16_median_amo1', '19_lag_eapPSLjfm', '11_lag_19_median_nhTSjfm', '17_lag_solFORC', '15_lag_traDS']","[1.6406475555728157, 4.396620827598152, 1.0904182544167647, 3.020694146638294, 7.687554406758355, 9.471559980016014, 0.13681909848027374, 2.343995909582672, 9.69424209119769, 0.1084420794183103]","11_lag_13_median_satlSSTjfm, 11_lag_17_median_yrvPRjja, 11_lag_18_median_shSICsep, 14_lag_neurTSjfm, 12_lag_traIFC, 11_lag_16_median_amo1, 19_lag_eapPSLjfm, 11_lag_19_median_nhTSjfm, 17_lag_solFORC, 15_lag_traDS_1235_11"
LRforcedPSO,7,10,solFORC,slow,1721.5,2005.5,0.6,22,12,12,15.45795595384727,0.27825495936181965,1235,"['12_lag_21_median_traTLS', '12_lag_18_median_tripol1', '18_lag_glTSjfm', '13_lag_traBS', '16_lag_nchinaPRjja', '12_lag_traEU', '20_lag_traFB', '15_lag_nchinaPRjja', '21_lag_traEU', '12_lag_17_median_traIT']","[3.1673830984013573, 1.8383831819427154, 3.4172396682057347, 2.7055080287053883, 5.12492534856134, 0.7774548626604556, 0.36951652242909105, 0.785069076887158, 4.222808346858107, 0.8010465094043759]","12_lag_21_median_traTLS, 12_lag_18_median_tripol1, 18_lag_glTSjfm, 13_lag_traBS, 16_lag_nchinaPRjja, 12_lag_traEU, 20_lag_traFB, 15_lag_nchinaPRjja, 21_lag_traEU, 12_lag_17_median_traIT_1235_12"
LRforcedPSO,8,10,solFORC,slow,1722.5,2005.5,0.6,23,13,13,21.241384714767204,-0.0961177563625579,1235,"['13_lag_21_median_tripol1', '13_lag_22_median_eurPSLjfm', '13_lag_21_median_mhfATL60', '13_lag_21_median_cetTSjfm', '13_lag_17_median_gyreSSTjfm', '13_lag_18_median_nppc2SSTjfm', '13_lag_14_median_traCA', '16_lag_nhSICjfm', '19_lag_shSICmar', '17_lag_traTLS']","[3.10560028686041, 7.2771716696866084, 5.6672307787276885, 1.2369646127019038, 1.1532661188928461, 4.368165534882202, 6.824515016620039, 8.117902228124468, 4.956461688441678, 5.829800309035315]","13_lag_21_median_tripol1, 13_lag_22_median_eurPSLjfm, 13_lag_21_median_mhfATL60, 13_lag_21_median_cetTSjfm, 13_lag_17_median_gyreSSTjfm, 13_lag_18_median_nppc2SSTjfm, 13_lag_14_median_traCA, 16_lag_nhSICjfm, 19_lag_shSICmar, 17_lag_traTLS_1235_13"
LRforcedPSO,9,10,solFORC,slow,1723.5,2005.5,0.6,24,14,14,28.661674302902345,-0.29382582694709786,1235,"['21_lag_seurTSjfm', '14_lag_nchinaPRjja', '14_lag_16_median_seurTSjfm', '17_lag_shTSjfm', '23_lag_wnorPRjfm', '15_lag_traIFC', '14_lag_19_median_neurTSjfm', '14_lag_22_median_eapPSLjfm', '17_lag_traFB', '14_lag_15_median_nhTSjfm']","[5.12704330565869, 0.9420147575197007, 5.299140994026203, 1.7086960210196107, 1.3510142129820206, 1.482549164660039, 0.7076985966372096, 2.362897668351007, 8.732837526837937, 1.1382901749456398]","21_lag_seurTSjfm, 14_lag_nchinaPRjja, 14_lag_16_median_seurTSjfm, 17_lag_shTSjfm, 23_lag_wnorPRjfm, 15_lag_traIFC, 14_lag_19_median_neurTSjfm, 14_lag_22_median_eapPSLjfm, 17_lag_traFB, 14_lag_15_median_nhTSjfm_1235_14"
