model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,solFORC,slow,1514.5,2005.5,0.8,15,1,1,0.3164673118070371,0.9994862224826713,594,"['1_lag_10_median_amoSSTmjjaso', '1_lag_6_median_amo1', '1_lag_8_median_stratZ50ndj01', '1_lag_14_median_atlSICsep', '1_lag_12_median_eurPSLjfm', '1_lag_14_median_nhSICsep', '1_lag_6_median_amo2', '1_lag_5_median_amoSSTjfm', '1_lag_14_median_solFORC', '1_lag_7_median_solFORC', '1_lag_5_median_stratZ50ndj04', '1_lag_11_median_eurPSLjfm', '1_lag_9_median_stratZ50ndj03', '1_lag_13_median_amoSSTmjjaso', '1_lag_10_median_stratZ50ndj02', '1_lag_11_median_amoSSTmjjaso', '10_lag_solFORC', '1_lag_7_median_atlSICjfm', '9_lag_solFORC', '7_lag_solFORC', '4_lag_solFORC', '8_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '1_lag_4_median_solFORC', '3_lag_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.009521739339226025, 0.0004994673350312839, 0.000494603069221157, 0.0011254090467368585, 0.0016811851857783083, 0.0086928898145179, 0.0017929333278726845, 0.002501030580867594, 0.11243683956275195, 0.45727496670315, 0.00014686864084524824, 0.004122238504813415, 0.0004606347302961592, 0.0061528145537371026, 0.001595262847544787, 0.006283343113799569, 0.19513305036830958, 0.004331515658449497, 0.15316194284559137, 0.32131489438775196, 0.40997549706379316, 0.3115408513462257, 0.23238815221083922, 0.659030071265215, 0.6267053217494095, 0.12807777626642394, 0.04041943000364341, 0.2089166362737265, 0.20891663627373885, 1.657450389932352]","1_lag_10_median_amoSSTmjjaso, 1_lag_6_median_amo1, 1_lag_8_median_stratZ50ndj01, 1_lag_14_median_atlSICsep, 1_lag_12_median_eurPSLjfm, 1_lag_14_median_nhSICsep, 1_lag_6_median_amo2, 1_lag_5_median_amoSSTjfm, 1_lag_14_median_solFORC, 1_lag_7_median_solFORC, 1_lag_5_median_stratZ50ndj04, 1_lag_11_median_eurPSLjfm, 1_lag_9_median_stratZ50ndj03, 1_lag_13_median_amoSSTmjjaso, 1_lag_10_median_stratZ50ndj02, 1_lag_11_median_amoSSTmjjaso, 10_lag_solFORC, 1_lag_7_median_atlSICjfm, 9_lag_solFORC, 7_lag_solFORC, 4_lag_solFORC, 8_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 1_lag_4_median_solFORC, 3_lag_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_594_1"
LinearRegression,1,30,solFORC,slow,1515.5,2005.5,0.8,16,1,1,0.34274206194499224,0.999449900550044,638,"['1_lag_13_median_atlSICjfm', '1_lag_12_median_eurPSLjfm', '1_lag_7_median_AMOCann', '3_lag_amo2', '1_lag_amo3', '1_lag_11_median_amoSSTmjjaso', '1_lag_15_median_amoSSTmjjaso', '1_lag_15_median_eapPSLjfm', '1_lag_6_median_amo3', '1_lag_9_median_stratZ50ndj03', '1_lag_10_median_stratZ50ndj02', '1_lag_10_median_nhSICsep', '1_lag_15_median_nhSICsep', '1_lag_7_median_atlSICjfm', '11_lag_solFORC', '7_lag_solFORC', '1_lag_7_median_solFORC', '10_lag_solFORC', '9_lag_solFORC', '8_lag_solFORC', '1_lag_14_median_naoPSLjfm', '1_lag_6_median_solFORC', '4_lag_solFORC', '1_lag_5_median_solFORC', '1_lag_4_median_solFORC', '3_lag_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.004457812997143111, 0.006857474478346837, 0.00014502200236838196, 0.00016720011778862737, 0.0022673341347690247, 0.01854937537787222, 0.012776286579249695, 0.011320441308265079, 0.0011021955971709475, 0.0007334775437513518, 0.0023042221473730997, 0.006083868452151493, 0.0035731054827161674, 0.0023531088208081814, 0.04131581434871496, 0.354650522694969, 0.4449926280333173, 0.10768438707336554, 0.14966364049106196, 0.26082469883551357, 0.0027641795093671373, 0.08391894663526403, 0.32747028829355274, 0.5756020877295602, 0.525453108855498, 0.06737323602750561, 0.05996569569514435, 0.18730462741779683, 0.1873046274177874, 1.6121134729232502]","1_lag_13_median_atlSICjfm, 1_lag_12_median_eurPSLjfm, 1_lag_7_median_AMOCann, 3_lag_amo2, 1_lag_amo3, 1_lag_11_median_amoSSTmjjaso, 1_lag_15_median_amoSSTmjjaso, 1_lag_15_median_eapPSLjfm, 1_lag_6_median_amo3, 1_lag_9_median_stratZ50ndj03, 1_lag_10_median_stratZ50ndj02, 1_lag_10_median_nhSICsep, 1_lag_15_median_nhSICsep, 1_lag_7_median_atlSICjfm, 11_lag_solFORC, 7_lag_solFORC, 1_lag_7_median_solFORC, 10_lag_solFORC, 9_lag_solFORC, 8_lag_solFORC, 1_lag_14_median_naoPSLjfm, 1_lag_6_median_solFORC, 4_lag_solFORC, 1_lag_5_median_solFORC, 1_lag_4_median_solFORC, 3_lag_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_638_1"
LinearRegression,2,30,solFORC,slow,1516.5,2005.5,0.8,17,1,1,0.3265431810317691,0.9994891393887868,682,"['1_lag_16_median_scpPSLjfm', '1_lag_6_median_nppc2SSTjfm', '1_lag_12_median_nhSICsep', '1_lag_10_median_amo2', '1_lag_8_median_shSICmar', '1_lag_11_median_eapPSLjfm', '1_lag_10_median_nhSICsep', '7_lag_solFORC', '1_lag_10_median_shSICmar', '5_lag_solFORC', '12_lag_solFORC', '1_lag_8_median_solFORC', '1_lag_16_median_eapPSLjfm', '1_lag_7_median_atlSICjfm', '1_lag_10_median_eapPSLjfm', '11_lag_solFORC', '8_lag_solFORC', '1_lag_14_median_naoPSLjfm', '9_lag_solFORC', '10_lag_solFORC', '1_lag_7_median_solFORC', '1_lag_6_median_solFORC', '4_lag_solFORC', '1_lag_5_median_solFORC', '1_lag_4_median_solFORC', '3_lag_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.005933847228660528, 6.242672297873675e-06, 0.00010926591843356468, 0.0009645583259014746, 0.0073094382159442145, 0.00837303512274941, 0.004793801574051618, 0.35650760402113424, 0.00251173829465583, 0.1946639326567775, 0.1906459739234355, 0.2255508703309067, 0.00474123395517904, 0.004141340420628751, 0.004552553170396009, 0.34765596576393915, 0.2853660219656998, 0.004015470723351497, 0.19991351950614739, 0.046196737625717445, 0.6954946575277655, 0.3226644244373539, 0.3425652725989497, 1.3978818212888322, 0.8120739748535466, 0.026009896517266727, 0.10768029937382993, 0.18935070223056932, 0.18935070223041606, 1.6376364221853845]","1_lag_16_median_scpPSLjfm, 1_lag_6_median_nppc2SSTjfm, 1_lag_12_median_nhSICsep, 1_lag_10_median_amo2, 1_lag_8_median_shSICmar, 1_lag_11_median_eapPSLjfm, 1_lag_10_median_nhSICsep, 7_lag_solFORC, 1_lag_10_median_shSICmar, 5_lag_solFORC, 12_lag_solFORC, 1_lag_8_median_solFORC, 1_lag_16_median_eapPSLjfm, 1_lag_7_median_atlSICjfm, 1_lag_10_median_eapPSLjfm, 11_lag_solFORC, 8_lag_solFORC, 1_lag_14_median_naoPSLjfm, 9_lag_solFORC, 10_lag_solFORC, 1_lag_7_median_solFORC, 1_lag_6_median_solFORC, 4_lag_solFORC, 1_lag_5_median_solFORC, 1_lag_4_median_solFORC, 3_lag_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_682_1"
LinearRegression,3,30,solFORC,slow,1517.5,2005.5,0.8,18,1,1,0.28425234185608755,0.9995728974311621,726,"['1_lag_10_median_eapPSLjfm', '1_lag_13_median_amoSSTmjjaso', '1_lag_16_median_eapPSLjfm', '1_lag_9_median_solFORC', '1_lag_amo3', '13_lag_solFORC', '5_lag_amoSSTmjjaso', '1_lag_10_median_shSICmar', '8_lag_solFORC', '1_lag_17_median_stratZ50ndj01', '14_lag_amo1', '1_lag_11_median_eapPSLjfm', '1_lag_14_median_naoPSLjfm', '12_lag_solFORC', '1_lag_7_median_atlSICjfm', '9_lag_solFORC', '5_lag_solFORC', '11_lag_solFORC', '10_lag_solFORC', '1_lag_8_median_solFORC', '1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.0026779696862622325, 0.0020274943457426475, 0.006683833208342086, 1.4375756043357453, 0.001987475195590757, 0.1717981557952961, 0.000261101052903523, 0.004601430905436065, 0.1033993967197038, 0.001480419274354205, 0.001719253873563734, 0.0013439479701742778, 0.0025488880878056885, 0.02111704098202431, 0.002606369279802705, 0.014017580862492251, 0.25948688223951044, 0.4882160287081496, 0.1407793117657892, 2.737871605051973, 3.080305832687323, 0.312993524562659, 0.42454005373802717, 1.933486872112431, 0.15155062803808034, 1.168262864359174, 0.04575156737864562, 0.24305376279536053, 0.24305376279537702, 1.6711863539326905]","1_lag_10_median_eapPSLjfm, 1_lag_13_median_amoSSTmjjaso, 1_lag_16_median_eapPSLjfm, 1_lag_9_median_solFORC, 1_lag_amo3, 13_lag_solFORC, 5_lag_amoSSTmjjaso, 1_lag_10_median_shSICmar, 8_lag_solFORC, 1_lag_17_median_stratZ50ndj01, 14_lag_amo1, 1_lag_11_median_eapPSLjfm, 1_lag_14_median_naoPSLjfm, 12_lag_solFORC, 1_lag_7_median_atlSICjfm, 9_lag_solFORC, 5_lag_solFORC, 11_lag_solFORC, 10_lag_solFORC, 1_lag_8_median_solFORC, 1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_726_1"
LinearRegression,4,30,solFORC,slow,1518.5,2005.5,0.8,19,1,1,0.2799571363169943,0.9995933989573718,770,"['10_lag_amo3', '5_lag_nhSICjfm', '1_lag_8_median_stratZ50ndj02', '1_lag_10_median_amo2', '1_lag_11_median_eapPSLjfm', '1_lag_10_median_shSICmar', '9_lag_solFORC', '1_lag_amoSSTmjjaso', '1_lag_7_median_atlSICjfm', '13_lag_solFORC', '1_lag_6_median_atlSICjfm', '1_lag_10_median_eapPSLjfm', '10_lag_solFORC', '1_lag_14_median_naoPSLjfm', '1_lag_9_median_solFORC', '12_lag_solFORC', '11_lag_solFORC', '4_lag_amo3', '5_lag_solFORC', '1_lag_8_median_solFORC', '1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.00043210924398588485, 0.0003006260454637977, 0.00034705596044304175, 0.0024568303450052047, 0.006597491262088222, 0.004000158355797565, 0.10975989273555453, 0.002628955833170728, 0.006575216655061119, 0.18818754683615868, 0.003642752802489928, 0.003836283630473288, 0.20143145463519443, 0.0021442362263191443, 1.4109155854778737, 0.006910260829502516, 0.4925503101850059, 0.000559481905215771, 0.20905517819919167, 2.6428496752611945, 2.930546001997576, 0.21092501483307852, 0.3994997119752992, 1.894330815702582, 0.16429315011439963, 1.1056529862631437, 0.04357712136945514, 0.2514473928530855, 0.25144739285307915, 1.6693635151380528]","10_lag_amo3, 5_lag_nhSICjfm, 1_lag_8_median_stratZ50ndj02, 1_lag_10_median_amo2, 1_lag_11_median_eapPSLjfm, 1_lag_10_median_shSICmar, 9_lag_solFORC, 1_lag_amoSSTmjjaso, 1_lag_7_median_atlSICjfm, 13_lag_solFORC, 1_lag_6_median_atlSICjfm, 1_lag_10_median_eapPSLjfm, 10_lag_solFORC, 1_lag_14_median_naoPSLjfm, 1_lag_9_median_solFORC, 12_lag_solFORC, 11_lag_solFORC, 4_lag_amo3, 5_lag_solFORC, 1_lag_8_median_solFORC, 1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_770_1"
LinearRegression,5,30,solFORC,slow,1519.5,2005.5,0.8,20,1,1,0.2813401695166047,0.9996184402307393,814,"['10_lag_amo3', '5_lag_amo3', '1_lag_10_median_amo2', '17_lag_stratZ50ndj04', '6_lag_stratZ50ndj04', '17_lag_eurPSLjfm', '10_lag_solFORC', '4_lag_amo3', '1_lag_11_median_eapPSLjfm', '1_lag_10_median_solFORC', '11_lag_solFORC', '14_lag_solFORC', '13_lag_solFORC', '12_lag_solFORC', '1_lag_14_median_naoPSLjfm', '1_lag_7_median_atlSICjfm', '1_lag_10_median_eapPSLjfm', '1_lag_9_median_solFORC', '5_lag_solFORC', '1_lag_8_median_solFORC', '1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.00042404794266640895, 0.0018801224285885376, 0.0036038866776438544, 0.00018539258626700192, 0.0007358904987012745, 0.000997940284179035, 0.07835003451215397, 1.0231851702928225e-05, 0.0025656764160166667, 0.23051328633250276, 0.46860271646765533, 0.15421140126492697, 0.05606270643823426, 0.07464078586507215, 0.0013465476250258204, 0.0026395365266775866, 0.0030671306122622604, 0.9476260334823905, 0.25653057347580777, 2.3965843284353157, 2.9093701409190245, 0.28005965490303736, 0.39967789728021313, 1.8237496113928036, 0.18108965870551297, 1.079983746724657, 0.03450741829747543, 0.2501044953002185, 0.25010449530016293, 1.658197444341808]","10_lag_amo3, 5_lag_amo3, 1_lag_10_median_amo2, 17_lag_stratZ50ndj04, 6_lag_stratZ50ndj04, 17_lag_eurPSLjfm, 10_lag_solFORC, 4_lag_amo3, 1_lag_11_median_eapPSLjfm, 1_lag_10_median_solFORC, 11_lag_solFORC, 14_lag_solFORC, 13_lag_solFORC, 12_lag_solFORC, 1_lag_14_median_naoPSLjfm, 1_lag_7_median_atlSICjfm, 1_lag_10_median_eapPSLjfm, 1_lag_9_median_solFORC, 5_lag_solFORC, 1_lag_8_median_solFORC, 1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_814_1"
LinearRegression,6,30,solFORC,slow,1520.5,2005.5,0.8,21,1,1,0.2410748043892023,0.9997168180831771,858,"['6_lag_stratZ50ndj04', '13_lag_stratZ50ndj02', '11_lag_stratZ50ndj02', '7_lag_amo3', '14_lag_stratZ50ndj02', '18_lag_eurPSLjfm', '17_lag_eurPSLjfm', '15_lag_solFORC', '11_lag_solFORC', '1_lag_10_median_eapPSLjfm', '6_lag_amo3', '1_lag_11_median_eapPSLjfm', '6_lag_solFORC', '12_lag_solFORC', '14_lag_solFORC', '13_lag_solFORC', '1_lag_10_median_solFORC', '1_lag_9_median_solFORC', '5_lag_solFORC', '1_lag_8_median_solFORC', '1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.00026808023701091114, 4.879012424838236e-05, 0.0002812925898435033, 0.0018047117553641825, 0.0001591491814360832, 0.0008231803284741127, 0.0003921869722249958, 0.014373767546269466, 0.3896557325302211, 0.0032248401046305625, 0.0010224052531195786, 0.004795998067974413, 0.8434669203519104, 0.041770248596788205, 0.15807408556409905, 0.006489750406541385, 0.2807086120632033, 0.24857383570581237, 0.5021046171956723, 0.02402987253102154, 0.06356400089239858, 0.029363569703776436, 0.08117973826375854, 0.16765186955818134, 0.07444017815117829, 0.1477900913332986, 0.05657298110020506, 0.18758614035160964, 0.18758614035159024, 1.582139284476244]","6_lag_stratZ50ndj04, 13_lag_stratZ50ndj02, 11_lag_stratZ50ndj02, 7_lag_amo3, 14_lag_stratZ50ndj02, 18_lag_eurPSLjfm, 17_lag_eurPSLjfm, 15_lag_solFORC, 11_lag_solFORC, 1_lag_10_median_eapPSLjfm, 6_lag_amo3, 1_lag_11_median_eapPSLjfm, 6_lag_solFORC, 12_lag_solFORC, 14_lag_solFORC, 13_lag_solFORC, 1_lag_10_median_solFORC, 1_lag_9_median_solFORC, 5_lag_solFORC, 1_lag_8_median_solFORC, 1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_858_1"
LinearRegression,7,30,solFORC,slow,1521.5,2005.5,0.8,22,2,2,0.5109955233858511,0.9988213596278045,858,"['2_lag_11_median_solFORC', '7_lag_stratZ50ndj04', '2_lag_10_median_eapPSLjfm', '20_lag_eurPSLjfm', '2_lag_21_median_stratZ50ndj01', '2_lag_5_median_stratZ50ndj02', '2_lag_11_median_eapPSLjfm', '7_lag_amo3', '2_lag_AMOCann', '12_lag_stratZ50ndj02', '15_lag_solFORC', '12_lag_solFORC', '14_lag_solFORC', '18_lag_eurPSLjfm', '13_lag_solFORC', '19_lag_eurPSLjfm', '2_lag_12_median_eapPSLjfm', '2_lag_10_median_solFORC', '6_lag_solFORC', '2_lag_9_median_solFORC', '2_lag_8_median_solFORC', '2_lag_7_median_solFORC', '5_lag_solFORC', '2_lag_6_median_solFORC', '2_lag_5_median_solFORC', '4_lag_solFORC', '2_lag_4_median_solFORC', '3_lag_solFORC', '2_lag_3_median_solFORC', '2_lag_solFORC']","[0.26208283508439645, 0.0006827159754989598, 0.0021649235423264524, 0.0004762148689528514, 0.008026472083132044, 0.001422282964952708, 0.0008528277758647875, 5.707863313703183e-05, 6.598692757834312e-05, 0.0012273228935604414, 0.27016808433989664, 1.0626192364222162, 0.02054604669035199, 0.0007046440671568952, 0.2283653096007772, 0.0016919760460146042, 0.0066943067872182625, 1.429204081674892, 1.2393795733947495, 3.2848578003336892, 4.21475881691699, 0.49841186093437617, 0.9643226255979445, 3.0357619743167024, 1.7084326655980937, 0.22457746424639344, 0.09142447443171785, 0.4074264131078106, 0.407426413107672, 2.201910028870977]","2_lag_11_median_solFORC, 7_lag_stratZ50ndj04, 2_lag_10_median_eapPSLjfm, 20_lag_eurPSLjfm, 2_lag_21_median_stratZ50ndj01, 2_lag_5_median_stratZ50ndj02, 2_lag_11_median_eapPSLjfm, 7_lag_amo3, 2_lag_AMOCann, 12_lag_stratZ50ndj02, 15_lag_solFORC, 12_lag_solFORC, 14_lag_solFORC, 18_lag_eurPSLjfm, 13_lag_solFORC, 19_lag_eurPSLjfm, 2_lag_12_median_eapPSLjfm, 2_lag_10_median_solFORC, 6_lag_solFORC, 2_lag_9_median_solFORC, 2_lag_8_median_solFORC, 2_lag_7_median_solFORC, 5_lag_solFORC, 2_lag_6_median_solFORC, 2_lag_5_median_solFORC, 4_lag_solFORC, 2_lag_4_median_solFORC, 3_lag_solFORC, 2_lag_3_median_solFORC, 2_lag_solFORC_858_2"
LinearRegression,8,30,solFORC,slow,1522.5,2005.5,0.8,23,3,3,0.7867728366084301,0.9974025945416632,858,"['10_lag_stratZ50ndj01', '16_lag_stratZ50ndj02', '12_lag_stratZ50ndj02', '21_lag_eurPSLjfm', '3_lag_22_median_stratZ50ndj01', '12_lag_solFORC', '16_lag_solFORC', '3_lag_12_median_eapPSLjfm', '3_lag_11_median_solFORC', '3_lag_AMOCann', '13_lag_stratZ50ndj02', '8_lag_stratZ50ndj04', '13_lag_solFORC', '15_lag_solFORC', '3_lag_13_median_eapPSLjfm', '14_lag_solFORC', '19_lag_eurPSLjfm', '20_lag_eurPSLjfm', '7_lag_solFORC', '3_lag_10_median_solFORC', '3_lag_9_median_solFORC', '6_lag_solFORC', '3_lag_8_median_solFORC', '3_lag_7_median_solFORC', '5_lag_solFORC', '3_lag_6_median_solFORC', '3_lag_5_median_solFORC', '4_lag_solFORC', '3_lag_4_median_solFORC', '3_lag_solFORC']","[0.0013123165300645968, 0.0015621275509697385, 0.0021524853795608597, 0.0005942528004829856, 0.01549400328794688, 0.9505457127271218, 0.17123280830384777, 0.00781539310713178, 2.0855901001371127, 0.00014467401372119832, 0.0013833282220370485, 0.0005766992479473967, 0.7693123960072683, 0.39792038060456836, 0.017458601723100552, 0.17228400405837, 0.00025785900066728197, 0.002962330423595891, 1.792023542210417, 3.585138726318771, 4.329230024750109, 0.6019784677304996, 0.15612804942054437, 3.2238720491858404, 0.7415127121324726, 1.7588637220274683, 0.07089959554046235, 0.5997135210514621, 0.5997135210514848, 2.794726973791083]","10_lag_stratZ50ndj01, 16_lag_stratZ50ndj02, 12_lag_stratZ50ndj02, 21_lag_eurPSLjfm, 3_lag_22_median_stratZ50ndj01, 12_lag_solFORC, 16_lag_solFORC, 3_lag_12_median_eapPSLjfm, 3_lag_11_median_solFORC, 3_lag_AMOCann, 13_lag_stratZ50ndj02, 8_lag_stratZ50ndj04, 13_lag_solFORC, 15_lag_solFORC, 3_lag_13_median_eapPSLjfm, 14_lag_solFORC, 19_lag_eurPSLjfm, 20_lag_eurPSLjfm, 7_lag_solFORC, 3_lag_10_median_solFORC, 3_lag_9_median_solFORC, 6_lag_solFORC, 3_lag_8_median_solFORC, 3_lag_7_median_solFORC, 5_lag_solFORC, 3_lag_6_median_solFORC, 3_lag_5_median_solFORC, 4_lag_solFORC, 3_lag_4_median_solFORC, 3_lag_solFORC_858_3"
LinearRegression,9,30,solFORC,slow,1523.5,2005.5,0.8,24,4,4,1.1706780839427615,0.9947169895200735,858,"['4_lag_13_median_eapPSLjfm', '17_lag_solFORC', '4_lag_17_median_naoPSLjfm', '4_lag_23_median_stratZ50ndj01', '17_lag_stratZ50ndj02', '4_lag_12_median_eapPSLjfm', '13_lag_solFORC', '13_lag_stratZ50ndj02', '9_lag_amo3', '4_lag_AMOCann', '16_lag_solFORC', '4_lag_14_median_eapPSLjfm', '8_lag_solFORC', '14_lag_solFORC', '14_lag_stratZ50ndj02', '9_lag_stratZ50ndj04', '15_lag_solFORC', '4_lag_11_median_solFORC', '21_lag_eurPSLjfm', '20_lag_eurPSLjfm', '4_lag_10_median_solFORC', '7_lag_solFORC', '4_lag_9_median_solFORC', '4_lag_8_median_solFORC', '6_lag_solFORC', '4_lag_7_median_solFORC', '4_lag_6_median_solFORC', '4_lag_5_median_solFORC', '5_lag_solFORC', '4_lag_solFORC']","[0.005284956217305783, 0.39220597255764195, 0.00044699287378126485, 0.03403035031119229, 0.0024597338225774684, 0.006286113716193309, 1.7139985354594864, 0.002261140604066784, 0.0001175547798739697, 0.0004816849935409303, 0.06988542549607059, 0.03180413563810143, 2.398082320816299, 0.4622306033084778, 0.00133829221856331, 0.0022346401114202706, 0.6478706217011788, 0.3716078731430026, 0.003774499333566231, 0.0012258848956447944, 2.3600467114611274, 0.915554249646883, 1.1514575979326258, 3.8645416855367456, 0.45362516475827824, 2.3533858533217025, 0.03840566467709308, 0.5304364941122757, 0.5304364941122787, 3.530425527080489]","4_lag_13_median_eapPSLjfm, 17_lag_solFORC, 4_lag_17_median_naoPSLjfm, 4_lag_23_median_stratZ50ndj01, 17_lag_stratZ50ndj02, 4_lag_12_median_eapPSLjfm, 13_lag_solFORC, 13_lag_stratZ50ndj02, 9_lag_amo3, 4_lag_AMOCann, 16_lag_solFORC, 4_lag_14_median_eapPSLjfm, 8_lag_solFORC, 14_lag_solFORC, 14_lag_stratZ50ndj02, 9_lag_stratZ50ndj04, 15_lag_solFORC, 4_lag_11_median_solFORC, 21_lag_eurPSLjfm, 20_lag_eurPSLjfm, 4_lag_10_median_solFORC, 7_lag_solFORC, 4_lag_9_median_solFORC, 4_lag_8_median_solFORC, 6_lag_solFORC, 4_lag_7_median_solFORC, 4_lag_6_median_solFORC, 4_lag_5_median_solFORC, 5_lag_solFORC, 4_lag_solFORC_858_4"
