model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,solFORC,slow,866.5,2005.5,0.6,15,1,1,0.1214546140534078,0.9998402940865561,1755,"['1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.007022074610416338, 0.031947244641939876, 0.15576703961821217, 0.14525505810754585, 0.12431855388124495, 0.08138025483758683, 0.15064107642212482, 0.42560070672548056, 0.42560070672548134, 1.9269990167859183]","1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_1755_1"
LinearRegression,1,10,solFORC,slow,867.5,2005.5,0.6,16,1,1,0.12151317535494703,0.9998402971527158,1885,"['1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.00693743780186464, 0.03289780478376342, 0.15554353601085788, 0.14492494753178078, 0.12463871745518061, 0.08356205475181959, 0.15027540953716184, 0.4251895365294922, 0.4251895365294922, 1.9269095452822225]","1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_1885_1"
LinearRegression,2,10,solFORC,slow,868.5,2005.5,0.6,17,1,1,0.12161783928129738,0.9998403138308398,2015,"['1_lag_7_median_solFORC', '1_lag_6_median_solFORC', '4_lag_solFORC', '1_lag_5_median_solFORC', '1_lag_4_median_solFORC', '3_lag_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.00891972085215947, 0.1600064303599888, 0.033006748676524346, 0.14760452188909415, 0.08457488112140635, 0.12519823859572957, 0.1499995364652855, 0.42519731152628326, 0.42519731152628326, 1.9267896055173974]","1_lag_7_median_solFORC, 1_lag_6_median_solFORC, 4_lag_solFORC, 1_lag_5_median_solFORC, 1_lag_4_median_solFORC, 3_lag_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_2015_1"
LinearRegression,3,10,solFORC,slow,869.5,2005.5,0.6,18,1,1,0.12190639832311649,0.9998394133522623,2145,"['1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.008791098620831312, 0.03301780916272612, 0.15963399252331162, 0.14712304363231526, 0.1251052085345569, 0.0843549579228263, 0.14997381137030563, 0.42505283127515037, 0.42505283127515037, 1.9265688720432974]","1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_2145_1"
LinearRegression,4,10,solFORC,slow,870.5,2005.5,0.6,19,1,1,0.12132147314997,0.9998394260878709,2275,"['1_lag_7_median_solFORC', '1_lag_6_median_solFORC', '4_lag_solFORC', '1_lag_5_median_solFORC', '1_lag_4_median_solFORC', '3_lag_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.010427510477328305, 0.16193800377139894, 0.03268619328119471, 0.1489223636307912, 0.08497245502648068, 0.1250865320498984, 0.15020224769703117, 0.4254910274439497, 0.4254910274439498, 1.927561797002745]","1_lag_7_median_solFORC, 1_lag_6_median_solFORC, 4_lag_solFORC, 1_lag_5_median_solFORC, 1_lag_4_median_solFORC, 3_lag_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_2275_1"
LinearRegression,5,10,solFORC,slow,871.5,2005.5,0.6,20,1,1,0.1215469591655656,0.99983859813368,2405,"['1_lag_7_median_solFORC', '4_lag_solFORC', '1_lag_6_median_solFORC', '1_lag_5_median_solFORC', '1_lag_4_median_solFORC', '3_lag_solFORC', '1_lag_3_median_solFORC', '1_lag_2_median_solFORC', '2_lag_solFORC', '1_lag_solFORC']","[0.010462429824135835, 0.03254778499072669, 0.16178262190358814, 0.14860888962759725, 0.08452427100226272, 0.12558301785238313, 0.15024584726076678, 0.42607471237390027, 0.42607471237389916, 1.9280896472607847]","1_lag_7_median_solFORC, 4_lag_solFORC, 1_lag_6_median_solFORC, 1_lag_5_median_solFORC, 1_lag_4_median_solFORC, 3_lag_solFORC, 1_lag_3_median_solFORC, 1_lag_2_median_solFORC, 2_lag_solFORC, 1_lag_solFORC_2405_1"
LinearRegression,6,10,solFORC,slow,872.5,2005.5,0.6,21,1,1,0.12157197394887,0.9998386011847307,2535,"['1_lag_7_median_solFORC', '1_lag_6_median_solFORC', '4_lag_solFORC', '1_lag_5_median_solFORC', '3_lag_solFORC', '1_lag_4_median_solFORC', '1_lag_3_median_solFORC', '2_lag_solFORC', '1_lag_2_median_solFORC', '1_lag_solFORC']","[0.010564619500056036, 0.16169046681497132, 0.033055022199574444, 0.14700613064346374, 0.1217020579865076, 0.07886904570589706, 0.1519653380479435, 0.42563273408236024, 0.4256327340823593, 1.9280497764525875]","1_lag_7_median_solFORC, 1_lag_6_median_solFORC, 4_lag_solFORC, 1_lag_5_median_solFORC, 3_lag_solFORC, 1_lag_4_median_solFORC, 1_lag_3_median_solFORC, 2_lag_solFORC, 1_lag_2_median_solFORC, 1_lag_solFORC_2535_1"
LinearRegression,7,10,solFORC,slow,873.5,2005.5,0.6,22,2,2,0.3238069040092275,0.9992527583197502,2535,"['2_lag_8_median_solFORC', '5_lag_solFORC', '2_lag_7_median_solFORC', '2_lag_6_median_solFORC', '2_lag_5_median_solFORC', '4_lag_solFORC', '2_lag_4_median_solFORC', '3_lag_solFORC', '2_lag_3_median_solFORC', '2_lag_solFORC']","[0.1865629615269209, 0.3557440197334326, 1.8032309994100875, 5.083896411706679, 2.594239473180831, 0.26990499446902966, 0.27767128579003736, 0.8252475660491287, 0.8252475660491339, 2.7928115634540314]","2_lag_8_median_solFORC, 5_lag_solFORC, 2_lag_7_median_solFORC, 2_lag_6_median_solFORC, 2_lag_5_median_solFORC, 4_lag_solFORC, 2_lag_4_median_solFORC, 3_lag_solFORC, 2_lag_3_median_solFORC, 2_lag_solFORC_2535_2"
LinearRegression,8,10,solFORC,slow,874.5,2005.5,0.6,23,3,3,0.5558003867372351,0.9981213288883514,2535,"['3_lag_9_median_solFORC', '6_lag_solFORC', '3_lag_8_median_solFORC', '3_lag_7_median_solFORC', '5_lag_solFORC', '3_lag_6_median_solFORC', '3_lag_5_median_solFORC', '4_lag_solFORC', '3_lag_4_median_solFORC', '3_lag_solFORC']","[1.572746448700032, 0.7071419573309384, 1.3110259821668466, 6.224170423057226, 0.9325217133689048, 3.1778171424033452, 0.16731046034894984, 1.2671426340668066, 1.2671426340668188, 3.6225665447446933]","3_lag_9_median_solFORC, 6_lag_solFORC, 3_lag_8_median_solFORC, 3_lag_7_median_solFORC, 5_lag_solFORC, 3_lag_6_median_solFORC, 3_lag_5_median_solFORC, 4_lag_solFORC, 3_lag_4_median_solFORC, 3_lag_solFORC_2535_3"
LinearRegression,9,10,solFORC,slow,875.5,2005.5,0.6,24,4,4,0.8136740600251012,0.9963542274442534,2535,"['4_lag_10_median_solFORC', '4_lag_9_median_solFORC', '7_lag_solFORC', '4_lag_8_median_solFORC', '4_lag_7_median_solFORC', '6_lag_solFORC', '4_lag_6_median_solFORC', '5_lag_solFORC', '4_lag_5_median_solFORC', '4_lag_solFORC']","[3.0129940266276187, 0.7847644073433593, 1.0488117538389812, 7.46766610376439, 3.885453582191214, 0.33473881640304315, 0.45476850440687566, 1.244275825218223, 1.2442758252182258, 4.418493203792078]","4_lag_10_median_solFORC, 4_lag_9_median_solFORC, 7_lag_solFORC, 4_lag_8_median_solFORC, 4_lag_7_median_solFORC, 6_lag_solFORC, 4_lag_6_median_solFORC, 5_lag_solFORC, 4_lag_5_median_solFORC, 4_lag_solFORC_2535_4"
