model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,stratZ50ndj01,slow,866.5,2005.5,0.8,15,5,5,16.970453195494155,-0.11975725479200308,418,"['5_lag_6_median_stratZ50ndj04', '5_lag_7_median_nppc2SSTjfm', '5_lag_14_median_shSICsep', '12_lag_shSICmar', '5_lag_14_median_nppc2SSTjfm', '7_lag_AMOCann', '8_lag_eurPSLjfm', '6_lag_amoSSTjfm', '10_lag_stratZ50ndj02', '5_lag_13_median_shSICmar']","[3.0598573907408415, 2.35722455011409, 1.0891711924659564, 2.594766998690922, 0.7578457921882649, 5.901255541893593, 1.7064169400074256, 1.4051540747663633, 0.5094125166937005, 2.2428435078829487]","5_lag_6_median_stratZ50ndj04, 5_lag_7_median_nppc2SSTjfm, 5_lag_14_median_shSICsep, 12_lag_shSICmar, 5_lag_14_median_nppc2SSTjfm, 7_lag_AMOCann, 8_lag_eurPSLjfm, 6_lag_amoSSTjfm, 10_lag_stratZ50ndj02, 5_lag_13_median_shSICmar_418_5"
LRforcedPSO,1,10,stratZ50ndj01,slow,867.5,2005.5,0.8,16,6,6,15.46259724328375,0.029089651393912536,418,"['6_lag_15_median_stratZ50ndj02', '6_lag_11_median_solFORC', '8_lag_eapPSLjfm', '6_lag_11_median_atlSICsep', '11_lag_stratZ50ndj01', '6_lag_7_median_scpPSLjfm', '13_lag_shSICsep', '10_lag_scpPSLjfm', '12_lag_naoPSLjfm', '15_lag_amoSSTjfm']","[3.2240541237138736, 5.3397910496106, 3.2005200688922253, 2.0728391131072055, 1.696491330427941, 6.197412112778725, 0.9136322684833118, 2.4287644813671747, 6.12407691155434, 1.1155070341966038]","6_lag_15_median_stratZ50ndj02, 6_lag_11_median_solFORC, 8_lag_eapPSLjfm, 6_lag_11_median_atlSICsep, 11_lag_stratZ50ndj01, 6_lag_7_median_scpPSLjfm, 13_lag_shSICsep, 10_lag_scpPSLjfm, 12_lag_naoPSLjfm, 15_lag_amoSSTjfm_418_6"
LRforcedPSO,2,10,stratZ50ndj01,slow,868.5,2005.5,0.8,17,7,7,16.982425006628624,-0.05323889971514731,418,"['14_lag_nhSICjfm', '8_lag_amo1', '7_lag_16_median_eapPSLjfm', '7_lag_9_median_nhSICjfm', '14_lag_amo2', '7_lag_15_median_amo1', '16_lag_eapPSLjfm', '7_lag_16_median_amo1', '7_lag_10_median_amo1', '7_lag_8_median_eurPSLjfm']","[2.003085347671025, 6.4373006735025795, 2.6379429066188482, 2.199364624521367, 3.187628745428995, 3.545017084643929, 0.8844156133612415, 6.028483168470185, 0.9185619918043049, 0.7120120140605568]","14_lag_nhSICjfm, 8_lag_amo1, 7_lag_16_median_eapPSLjfm, 7_lag_9_median_nhSICjfm, 14_lag_amo2, 7_lag_15_median_amo1, 16_lag_eapPSLjfm, 7_lag_16_median_amo1, 7_lag_10_median_amo1, 7_lag_8_median_eurPSLjfm_418_7"
LRforcedPSO,3,10,stratZ50ndj01,slow,869.5,2005.5,0.8,18,8,8,17.838990280872512,-0.03501739920135145,418,"['8_lag_14_median_amoSSTmjjaso', '12_lag_atlSICjfm', '15_lag_stratZ50ndj02', '14_lag_atlSICsep', '15_lag_shSICsep', '10_lag_stratZ50ndj03', '8_lag_11_median_AMOCann', '10_lag_eapPSLjfm', '13_lag_stratZ50ndj01', '15_lag_nhSICsep']","[4.584695557312381, 1.705896043280413, 6.420996084662067, 9.109291057396142, 1.3194005725937163, 0.875759356036454, 2.230073849486349, 2.6275170370630256, 3.2081936221424385, 6.170629269399406]","8_lag_14_median_amoSSTmjjaso, 12_lag_atlSICjfm, 15_lag_stratZ50ndj02, 14_lag_atlSICsep, 15_lag_shSICsep, 10_lag_stratZ50ndj03, 8_lag_11_median_AMOCann, 10_lag_eapPSLjfm, 13_lag_stratZ50ndj01, 15_lag_nhSICsep_418_8"
LRforcedPSO,4,10,stratZ50ndj01,slow,870.5,2005.5,0.8,19,9,9,15.492793104190744,0.0008072510350229088,418,"['10_lag_stratZ50ndj03', '9_lag_16_median_AMOCann', '10_lag_stratZ50ndj01', '16_lag_nhSICjfm', '16_lag_eurPSLjfm', '9_lag_12_median_scpPSLjfm', '12_lag_atlSICsep', '9_lag_13_median_eurPSLjfm', '9_lag_17_median_scpPSLjfm', '9_lag_14_median_stratZ50ndj02']","[1.1871187264713239, 1.6580302224258432, 2.0817803255389578, 3.525235487733063, 1.280543248279253, 4.751530929751335, 2.2031871714241102, 6.022645297899231, 1.3833339895142682, 0.2534323963582743]","10_lag_stratZ50ndj03, 9_lag_16_median_AMOCann, 10_lag_stratZ50ndj01, 16_lag_nhSICjfm, 16_lag_eurPSLjfm, 9_lag_12_median_scpPSLjfm, 12_lag_atlSICsep, 9_lag_13_median_eurPSLjfm, 9_lag_17_median_scpPSLjfm, 9_lag_14_median_stratZ50ndj02_418_9"
LRforcedPSO,5,10,stratZ50ndj01,slow,871.5,2005.5,0.8,20,10,10,21.934945963730755,0.02454654399295681,418,"['14_lag_amo1', '12_lag_nppc2SSTjfm', '10_lag_13_median_amoSSTjfm', '10_lag_16_median_shSICmar', '11_lag_amo3', '19_lag_naoPSLjfm', '16_lag_atlSICjfm', '10_lag_14_median_amo2', '10_lag_17_median_AMOCann', '10_lag_atlSICjfm']","[6.299330248987185, 5.22011549767819, 3.6113703344043877, 1.9046117501113144, 2.6024116242135653, 3.040053313787734, 3.5310842580062225, 8.090335559485167, 1.3434355328003384, 0.21499139832897285]","14_lag_amo1, 12_lag_nppc2SSTjfm, 10_lag_13_median_amoSSTjfm, 10_lag_16_median_shSICmar, 11_lag_amo3, 19_lag_naoPSLjfm, 16_lag_atlSICjfm, 10_lag_14_median_amo2, 10_lag_17_median_AMOCann, 10_lag_atlSICjfm_418_10"
LRforcedPSO,6,10,stratZ50ndj01,slow,872.5,2005.5,0.8,21,11,11,16.6928011792471,-0.04713899098338365,418,"['11_lag_17_median_shSICmar', '16_lag_stratZ50ndj03', '16_lag_amoSSTmjjaso', '11_lag_19_median_nppc2SSTjfm', '20_lag_nhSICsep', '11_lag_17_median_atlSICsep', '19_lag_AMOCann', '13_lag_nhSICjfm', '19_lag_shSICsep', '11_lag_14_median_amo3']","[1.9737848103993176, 4.858543142112001, 5.129278348876232, 5.14483103630258, 0.3219200903662678, 2.7936279532875137, 0.4465127315542645, 5.8371003665642185, 2.2258889746411903, 3.4578273173250818]","11_lag_17_median_shSICmar, 16_lag_stratZ50ndj03, 16_lag_amoSSTmjjaso, 11_lag_19_median_nppc2SSTjfm, 20_lag_nhSICsep, 11_lag_17_median_atlSICsep, 19_lag_AMOCann, 13_lag_nhSICjfm, 19_lag_shSICsep, 11_lag_14_median_amo3_418_11"
LRforcedPSO,7,10,stratZ50ndj01,slow,873.5,2005.5,0.8,22,12,12,15.837574899877737,-0.016949096427825595,418,"['12_lag_17_median_AMOCann', '12_lag_14_median_amoSSTjfm', '12_lag_19_median_stratZ50ndj03', '19_lag_nhSICjfm', '19_lag_amo2', '12_lag_scpPSLjfm', '12_lag_16_median_shSICsep', '12_lag_amo2', '12_lag_13_median_eurPSLjfm', '12_lag_17_median_stratZ50ndj04']","[2.0071080898028963, 0.08801398483462108, 7.5463837245843735, 0.5419445383379173, 0.9726723439786316, 1.7425354424939403, 3.747931370033049, 4.277359932557921, 1.2805585841959122, 4.773160459914221]","12_lag_17_median_AMOCann, 12_lag_14_median_amoSSTjfm, 12_lag_19_median_stratZ50ndj03, 19_lag_nhSICjfm, 19_lag_amo2, 12_lag_scpPSLjfm, 12_lag_16_median_shSICsep, 12_lag_amo2, 12_lag_13_median_eurPSLjfm, 12_lag_17_median_stratZ50ndj04_418_12"
LRforcedPSO,8,10,stratZ50ndj01,slow,874.5,2005.5,0.8,23,13,13,17.712910920105948,-0.05586744781533574,418,"['15_lag_atlSICsep', '18_lag_scpPSLjfm', '13_lag_21_median_stratZ50ndj04', '15_lag_nppc2SSTjfm', '13_lag_16_median_AMOCann', '14_lag_amo2', '21_lag_amo3', '13_lag_22_median_amoSSTjfm', '13_lag_21_median_naoPSLjfm', '13_lag_16_median_nhSICsep']","[2.8814326727694395, 4.626435511031579, 0.7000001386114629, 4.638490400394348, 3.5986764450380093, 5.674829950958477, 0.22785593457391684, 9.08800745545786, 1.1743880142403267, 3.742025493528045]","15_lag_atlSICsep, 18_lag_scpPSLjfm, 13_lag_21_median_stratZ50ndj04, 15_lag_nppc2SSTjfm, 13_lag_16_median_AMOCann, 14_lag_amo2, 21_lag_amo3, 13_lag_22_median_amoSSTjfm, 13_lag_21_median_naoPSLjfm, 13_lag_16_median_nhSICsep_418_13"
LRforcedPSO,9,10,stratZ50ndj01,slow,875.5,2005.5,0.8,24,14,14,16.457694050093643,-0.07158460235511188,418,"['14_lag_22_median_stratZ50ndj01', '14_lag_22_median_solFORC', '14_lag_17_median_atlSICjfm', '17_lag_stratZ50ndj01', '14_lag_16_median_amo3', '14_lag_19_median_stratZ50ndj03', '21_lag_eapPSLjfm', '15_lag_nhSICjfm', '16_lag_stratZ50ndj02', '14_lag_22_median_shSICmar']","[6.452446479665639, 3.277182065078126, 1.1788446731794835, 3.178018989895433, 0.6367315209748128, 0.7385648903892026, 2.4905445207584513, 5.797254187363825, 3.7194440305000054, 0.44707412228380505]","14_lag_22_median_stratZ50ndj01, 14_lag_22_median_solFORC, 14_lag_17_median_atlSICjfm, 17_lag_stratZ50ndj01, 14_lag_16_median_amo3, 14_lag_19_median_stratZ50ndj03, 21_lag_eapPSLjfm, 15_lag_nhSICjfm, 16_lag_stratZ50ndj02, 14_lag_22_median_shSICmar_418_14"
