model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,stratZ50ndj01,slow,866.5,2005.5,0.8,15,5,5,13.326966655616872,0.1140471660615954,1235,"['13_lag_stratZ50ndj03', '5_lag_12_median_scpPSLjfm', '5_lag_13_median_traTLS', '5_lag_neurTSjfm', '5_lag_ginwSSTjfm', '8_lag_scpPSLjfm']","[0.1642418737952044, 0.16623919977501167, 0.16306152089750275, 0.1698085682300005, 0.1626489352500755, 0.17399990205220509]","13_lag_stratZ50ndj03, 5_lag_12_median_scpPSLjfm, 5_lag_13_median_traTLS, 5_lag_neurTSjfm, 5_lag_ginwSSTjfm, 8_lag_scpPSLjfm_1235_5"
RandomForestRegressor,1,6,stratZ50ndj01,slow,867.5,2005.5,0.8,16,6,6,13.611187982430494,0.06596781067487846,1235,"['12_lag_traBS', '14_lag_traEU', '13_lag_stratZ50ndj03', '6_lag_9_median_scpPSLjfm', '6_lag_mhfATL60', '8_lag_scpPSLjfm']","[0.16250977659268503, 0.1720263280467021, 0.16418395506505198, 0.15838952462688208, 0.17822295112703399, 0.16466746454164485]","12_lag_traBS, 14_lag_traEU, 13_lag_stratZ50ndj03, 6_lag_9_median_scpPSLjfm, 6_lag_mhfATL60, 8_lag_scpPSLjfm_1235_6"
RandomForestRegressor,2,6,stratZ50ndj01,slow,868.5,2005.5,0.8,17,7,7,14.102691569493508,0.006772552087465564,1235,"['7_lag_9_median_stratZ50ndj03', '12_lag_traBS', '14_lag_traEU', '13_lag_stratZ50ndj03', '8_lag_scpPSLjfm', '7_lag_8_median_scpPSLjfm']","[0.19823107974027224, 0.18865786710699087, 0.1980838704952981, 0.20346825457933804, 0.10664632354560936, 0.10491260453249147]","7_lag_9_median_stratZ50ndj03, 12_lag_traBS, 14_lag_traEU, 13_lag_stratZ50ndj03, 8_lag_scpPSLjfm, 7_lag_8_median_scpPSLjfm_1235_7"
RandomForestRegressor,3,6,stratZ50ndj01,slow,869.5,2005.5,0.8,18,8,8,13.108603534408267,0.10512649965838428,1235,"['8_lag_14_median_traTLS', '13_lag_stratZ50ndj03', '14_lag_traEU', '8_lag_12_median_nppc3SSTjfm', '17_lag_eurPSLjfm', '8_lag_scpPSLjfm']","[0.16173349418553434, 0.16400226313336946, 0.16425382271699093, 0.16661972369709946, 0.16712696331119362, 0.17626373295581224]","8_lag_14_median_traTLS, 13_lag_stratZ50ndj03, 14_lag_traEU, 8_lag_12_median_nppc3SSTjfm, 17_lag_eurPSLjfm, 8_lag_scpPSLjfm_1235_8"
RandomForestRegressor,4,6,stratZ50ndj01,slow,870.5,2005.5,0.8,19,9,9,14.193229084616021,-0.0785784158382206,1235,"['13_lag_stratZ50ndj03', '9_lag_17_median_cetTSjfm', '17_lag_eurPSLjfm', '14_lag_traEU', '18_lag_amo1', '9_lag_14_median_traTLS']","[0.162202848422638, 0.17922074758699513, 0.1646055165163389, 0.17674719448574677, 0.1553159522349565, 0.1619077407533247]","13_lag_stratZ50ndj03, 9_lag_17_median_cetTSjfm, 17_lag_eurPSLjfm, 14_lag_traEU, 18_lag_amo1, 9_lag_14_median_traTLS_1235_9"
RandomForestRegressor,5,6,stratZ50ndj01,slow,871.5,2005.5,0.8,20,10,10,13.551498177727513,-0.012748282027789541,1235,"['12_lag_traBS', '13_lag_stratZ50ndj03', '17_lag_eurPSLjfm', '18_lag_amo1', '14_lag_traEU', '10_lag_14_median_traTLS']","[0.15723793356966564, 0.1723056121027796, 0.16680129438041016, 0.15457706742667765, 0.17412400821809346, 0.17495408430237358]","12_lag_traBS, 13_lag_stratZ50ndj03, 17_lag_eurPSLjfm, 18_lag_amo1, 14_lag_traEU, 10_lag_14_median_traTLS_1235_10"
RandomForestRegressor,6,6,stratZ50ndj01,slow,872.5,2005.5,0.8,21,11,11,14.641422027338177,-0.0921322805124519,1235,"['11_lag_14_median_cetTSjfm', '17_lag_eurPSLjfm', '14_lag_traEU', '18_lag_amo1', '20_lag_traTLS', '20_lag_amo2']","[0.1679186388510253, 0.16326309549931234, 0.16430109445513888, 0.1606733770895528, 0.16724362761726722, 0.17660016648770355]","11_lag_14_median_cetTSjfm, 17_lag_eurPSLjfm, 14_lag_traEU, 18_lag_amo1, 20_lag_traTLS, 20_lag_amo2_1235_11"
RandomForestRegressor,7,6,stratZ50ndj01,slow,873.5,2005.5,0.8,22,12,12,13.9603700188872,-0.03730641994108743,1235,"['17_lag_eurPSLjfm', '18_lag_amo1', '14_lag_traEU', '12_lag_14_median_mhfIP30', '20_lag_traTLS', '20_lag_amo2']","[0.1600114422829197, 0.15286065049138634, 0.16475727173074667, 0.16661326595267895, 0.17293751271640773, 0.18281985682586063]","17_lag_eurPSLjfm, 18_lag_amo1, 14_lag_traEU, 12_lag_14_median_mhfIP30, 20_lag_traTLS, 20_lag_amo2_1235_12"
RandomForestRegressor,8,6,stratZ50ndj01,slow,874.5,2005.5,0.8,23,13,13,14.303403279961113,0.001817490460476424,1235,"['18_lag_amo1', '13_lag_15_median_alpi', '20_lag_traTLS', '22_lag_stratZ50ndj04', '20_lag_amo2', '22_lag_traDS']","[0.16166330651191174, 0.1603391549862815, 0.15745424112802678, 0.16299706748740336, 0.17653508847255603, 0.18101114141382058]","18_lag_amo1, 13_lag_15_median_alpi, 20_lag_traTLS, 22_lag_stratZ50ndj04, 20_lag_amo2, 22_lag_traDS_1235_13"
RandomForestRegressor,9,6,stratZ50ndj01,slow,875.5,2005.5,0.8,24,14,14,14.300169620676442,-0.005115637885073592,1235,"['14_lag_traEU', '20_lag_traTLS', '14_lag_22_median_eurPSLjfm', '22_lag_stratZ50ndj04', '20_lag_amo2', '22_lag_traDS']","[0.15746442821030335, 0.16159002967135638, 0.14854136307644858, 0.17326357212974813, 0.17120198442004964, 0.18793862249209392]","14_lag_traEU, 20_lag_traTLS, 14_lag_22_median_eurPSLjfm, 22_lag_stratZ50ndj04, 20_lag_amo2, 22_lag_traDS_1235_14"
RandomForestRegressor,10,6,stratZ50ndj01,slow,876.5,2005.5,0.8,25,15,18,14.093551279690045,0.02527961992180413,1235,"['18_lag_amo1', '20_lag_traTLS', '20_lag_amo2', '22_lag_stratZ50ndj04', '24_lag_ormenSSTjfm', '22_lag_traDS']","[0.1466699969210235, 0.15805930101980245, 0.17366065405871203, 0.16851796312264716, 0.1595145417790441, 0.1935775430987709]","18_lag_amo1, 20_lag_traTLS, 20_lag_amo2, 22_lag_stratZ50ndj04, 24_lag_ormenSSTjfm, 22_lag_traDS_1235_18"
RandomForestRegressor,11,6,stratZ50ndj01,slow,877.5,2005.5,0.8,26,16,20,14.351610361852881,-0.01779517215346877,1235,"['20_lag_traTLS', '20_lag_amo2', '22_lag_stratZ50ndj04', '25_lag_atlSICsep', '24_lag_ormenSSTjfm', '22_lag_traDS']","[0.15930294765643152, 0.18496887941582454, 0.16924221747536178, 0.14636772816931612, 0.1528161161821137, 0.18730211110095224]","20_lag_traTLS, 20_lag_amo2, 22_lag_stratZ50ndj04, 25_lag_atlSICsep, 24_lag_ormenSSTjfm, 22_lag_traDS_1235_20"
