model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,stratZ50ndj02,slow,1714.5,2005.5,0.8,15,1,1,15.94189759276565,0.19074867107566748,1755,"['12_lag_traTLS', '8_lag_ismPRjja', '1_lag_traWP', '14_lag_traBS', '9_lag_AMOCann', '1_lag_stratZ50ndj02', '9_lag_stratZ50ndj03', '9_lag_traMC', '1_lag_ismPRjja', '1_lag_traIT']","[0.006556964256583312, 0.11815806298515394, 0.09936389570431713, 0.18290920870049224, 0.07320632552509002, 0.018328842131308865, 0.07150072981099893, 0.0860764266118374, 0.13789375088965555, 0.21094646141122766]","12_lag_traTLS, 8_lag_ismPRjja, 1_lag_traWP, 14_lag_traBS, 9_lag_AMOCann, 1_lag_stratZ50ndj02, 9_lag_stratZ50ndj03, 9_lag_traMC, 1_lag_ismPRjja, 1_lag_traIT_1755_1"
LinearRegression,1,10,stratZ50ndj02,slow,1715.5,2005.5,0.8,16,1,1,15.713529907639238,0.2099987302431483,1885,"['1_lag_traTLS', '1_lag_eurPSLjfm', '12_lag_traTLS', '14_lag_traBS', '9_lag_AMOCann', '9_lag_stratZ50ndj03', '1_lag_stratZ50ndj02', '1_lag_ismPRjja', '9_lag_traMC', '1_lag_traIT']","[0.11529316605242293, 0.069600084824538, 0.008699027978185458, 0.18483782301508703, 0.07510631283415382, 0.07801771082708932, 0.003316987868792528, 0.11895096938622164, 0.07087310704360175, 0.14645072689202324]","1_lag_traTLS, 1_lag_eurPSLjfm, 12_lag_traTLS, 14_lag_traBS, 9_lag_AMOCann, 9_lag_stratZ50ndj03, 1_lag_stratZ50ndj02, 1_lag_ismPRjja, 9_lag_traMC, 1_lag_traIT_1885_1"
LinearRegression,2,10,stratZ50ndj02,slow,1716.5,2005.5,0.8,17,1,1,15.366581907524592,0.2331629678520036,2015,"['9_lag_AMOCann', '8_lag_stratZ50ndj03', '12_lag_traTLS', '14_lag_traBS', '16_lag_stratZ50ndj02', '1_lag_ismPRjja', '9_lag_stratZ50ndj03', '1_lag_stratZ50ndj02', '9_lag_traMC', '1_lag_traIT']","[0.10356916447223517, 0.13874747776775165, 0.014087266142262394, 0.1367366020689263, 0.1418707074088984, 0.16701608126111225, 0.08022889664812757, 0.011160076005968352, 0.08992397285039759, 0.2209181002707218]","9_lag_AMOCann, 8_lag_stratZ50ndj03, 12_lag_traTLS, 14_lag_traBS, 16_lag_stratZ50ndj02, 1_lag_ismPRjja, 9_lag_stratZ50ndj03, 1_lag_stratZ50ndj02, 9_lag_traMC, 1_lag_traIT_2015_1"
LinearRegression,3,10,stratZ50ndj02,slow,1717.5,2005.5,0.8,18,1,1,15.327626495071412,0.23106435933537225,2145,"['9_lag_AMOCann', '8_lag_ismPRjja', '16_lag_stratZ50ndj02', '1_lag_ismPRjja', '14_lag_traBS', '8_lag_stratZ50ndj03', '9_lag_stratZ50ndj03', '9_lag_traMC', '1_lag_stratZ50ndj02', '1_lag_traIT']","[0.10504504983848438, 0.10980500861956025, 0.14004545895873077, 0.1651716009130875, 0.1299516524063536, 0.13268176532069167, 0.07533581680527816, 0.0912642488931454, 0.017078903270322306, 0.2136276145487065]","9_lag_AMOCann, 8_lag_ismPRjja, 16_lag_stratZ50ndj02, 1_lag_ismPRjja, 14_lag_traBS, 8_lag_stratZ50ndj03, 9_lag_stratZ50ndj03, 9_lag_traMC, 1_lag_stratZ50ndj02, 1_lag_traIT_2145_1"
LinearRegression,4,10,stratZ50ndj02,slow,1718.5,2005.5,0.8,19,1,1,15.906034953241145,0.22615417805515012,2275,"['1_lag_eurPSLjfm', '12_lag_stratZ50ndj02', '8_lag_ismPRjja', '14_lag_traBS', '8_lag_stratZ50ndj03', '9_lag_traMC', '1_lag_ismPRjja', '9_lag_stratZ50ndj03', '1_lag_stratZ50ndj02', '1_lag_traIT']","[0.08434912598608243, 0.08364677331225463, 0.11906979370220272, 0.15856044538093791, 0.10769668401696089, 0.09566904704804786, 0.1474464192238453, 0.06979041234180708, 0.006071191569141727, 0.21030008282057902]","1_lag_eurPSLjfm, 12_lag_stratZ50ndj02, 8_lag_ismPRjja, 14_lag_traBS, 8_lag_stratZ50ndj03, 9_lag_traMC, 1_lag_ismPRjja, 9_lag_stratZ50ndj03, 1_lag_stratZ50ndj02, 1_lag_traIT_2275_1"
LinearRegression,5,10,stratZ50ndj02,slow,1719.5,2005.5,0.8,20,1,1,16.042970906503975,0.19019119173073257,2405,"['8_lag_ismPRjja', '14_lag_traBS', '19_lag_traIFC', '1_lag_eurPSLjfm', '9_lag_traMC', '8_lag_stratZ50ndj03', '19_lag_ismPRjja', '9_lag_stratZ50ndj03', '1_lag_stratZ50ndj02', '1_lag_traIT']","[0.11137520323410557, 0.14361042372505922, 0.09363613358220489, 0.08637644714310215, 0.07829247600014942, 0.08485308409195125, 0.11996995959889976, 0.09701429837629066, 0.015087394808237398, 0.24662182762459117]","8_lag_ismPRjja, 14_lag_traBS, 19_lag_traIFC, 1_lag_eurPSLjfm, 9_lag_traMC, 8_lag_stratZ50ndj03, 19_lag_ismPRjja, 9_lag_stratZ50ndj03, 1_lag_stratZ50ndj02, 1_lag_traIT_2405_1"
LinearRegression,6,10,stratZ50ndj02,slow,1720.5,2005.5,0.8,21,1,1,16.685507150798664,0.07571266413165145,2535,"['1_lag_traTLS', '19_lag_traIFC', '1_lag_eurPSLjfm', '8_lag_stratZ50ndj03', '9_lag_traMC', '19_lag_ismPRjja', '20_lag_shSICmar', '9_lag_stratZ50ndj03', '1_lag_stratZ50ndj02', '1_lag_traIT']","[0.18273943713103033, 0.12062479899758612, 0.0691156543483179, 0.10518226558496457, 0.07700790234005353, 0.13528659553064631, 0.1278942902354758, 0.11913838801832895, 0.0009348021532087115, 0.1363424068414808]","1_lag_traTLS, 19_lag_traIFC, 1_lag_eurPSLjfm, 8_lag_stratZ50ndj03, 9_lag_traMC, 19_lag_ismPRjja, 20_lag_shSICmar, 9_lag_stratZ50ndj03, 1_lag_stratZ50ndj02, 1_lag_traIT_2535_1"
LinearRegression,7,10,stratZ50ndj02,slow,1721.5,2005.5,0.8,22,2,2,21.737343259367222,0.003604085052507861,2535,"['12_lag_stratZ50ndj02', '19_lag_ismPRjja', '19_lag_traIFC', '20_lag_shSICmar', '4_lag_traWP', '2_lag_tripol3', '8_lag_stratZ50ndj03', '9_lag_traMC', '7_lag_neurTSjfm', '9_lag_stratZ50ndj03']","[0.10134594378174479, 0.11657503423554293, 0.09912035280378348, 0.1565434792926758, 0.32798636234308853, 0.1255671662420687, 0.09974983932598736, 0.0818566534529811, 0.07222153651860155, 0.05630341909435121]","12_lag_stratZ50ndj02, 19_lag_ismPRjja, 19_lag_traIFC, 20_lag_shSICmar, 4_lag_traWP, 2_lag_tripol3, 8_lag_stratZ50ndj03, 9_lag_traMC, 7_lag_neurTSjfm, 9_lag_stratZ50ndj03_2535_2"
LinearRegression,8,10,stratZ50ndj02,slow,1722.5,2005.5,0.8,23,3,3,18.34402261321027,0.09589513759774336,2535,"['8_lag_shSICsep', '3_lag_traFS', '19_lag_traIFC', '22_lag_eurPSLjfm', '7_lag_neurTSjfm', '8_lag_atlSICjfm', '19_lag_ismPRjja', '9_lag_traMC', '8_lag_stratZ50ndj03', '9_lag_stratZ50ndj03']","[0.10757894218960033, 0.11034342165054033, 0.16090214305182496, 0.1539011809686023, 0.061810794835324395, 0.004896158392586447, 0.10512720370190087, 0.03514679120704405, 0.07074678953463355, 0.08621138499573724]","8_lag_shSICsep, 3_lag_traFS, 19_lag_traIFC, 22_lag_eurPSLjfm, 7_lag_neurTSjfm, 8_lag_atlSICjfm, 19_lag_ismPRjja, 9_lag_traMC, 8_lag_stratZ50ndj03, 9_lag_stratZ50ndj03_2535_3"
LinearRegression,9,10,stratZ50ndj02,slow,1723.5,2005.5,0.8,24,4,4,20.601425179602927,0.12635617000558674,2535,"['23_lag_scpPSLjfm', '10_lag_amo1', '9_lag_traMC', '7_lag_neurTSjfm', '8_lag_ismPRjja', '4_lag_traWP', '8_lag_atlSICjfm', '19_lag_traIFC', '8_lag_stratZ50ndj03', '9_lag_stratZ50ndj03']","[0.11652588601133673, 0.14588206686488944, 0.06276029874546671, 0.08614104830293783, 0.12682127641568464, 0.3367555717628796, 0.005146190088036878, 0.09886697180121279, 0.11037978722925315, 0.04824807059924815]","23_lag_scpPSLjfm, 10_lag_amo1, 9_lag_traMC, 7_lag_neurTSjfm, 8_lag_ismPRjja, 4_lag_traWP, 8_lag_atlSICjfm, 19_lag_traIFC, 8_lag_stratZ50ndj03, 9_lag_stratZ50ndj03_2535_4"
