model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,stratZ50ndj03,slow,1514.5,2005.5,0.6,15,1,1,15.699702447316781,-0.14818735541598915,594,"['9_lag_AMOCann', '1_lag_6_median_nppc2SSTjfm', '1_lag_4_median_stratZ50ndj03', '9_lag_amo2', '1_lag_6_median_stratZ50ndj02', '10_lag_amo2']","[0.001236402986908984, 0.02268833688145959, 0.1795385922297073, 0.11231949313475725, 0.15517722102831324, 0.2232307464713282]","9_lag_AMOCann, 1_lag_6_median_nppc2SSTjfm, 1_lag_4_median_stratZ50ndj03, 9_lag_amo2, 1_lag_6_median_stratZ50ndj02, 10_lag_amo2_594_1"
LinearRegression,1,6,stratZ50ndj03,slow,1515.5,2005.5,0.6,16,1,1,15.94792279211279,-0.05849967834706759,638,"['1_lag_5_median_amo1', '7_lag_amo2', '11_lag_stratZ50ndj04', '15_lag_amo2', '10_lag_amo2', '1_lag_4_median_stratZ50ndj03']","[0.2226109176510414, 0.2266949025029374, 0.03181177389853246, 0.22662190555323417, 0.15805906140097264, 0.17638702016990182]","1_lag_5_median_amo1, 7_lag_amo2, 11_lag_stratZ50ndj04, 15_lag_amo2, 10_lag_amo2, 1_lag_4_median_stratZ50ndj03_638_1"
LinearRegression,2,6,stratZ50ndj03,slow,1516.5,2005.5,0.6,17,1,1,15.556677080468003,-0.023750757794811294,682,"['1_lag_amo2', '1_lag_stratZ50ndj03', '11_lag_amo3', '15_lag_amo2', '1_lag_4_median_stratZ50ndj03', '10_lag_amo2']","[0.08624229151223892, 0.040881729911398684, 0.15500908944798164, 0.21543790957764414, 0.14222485896845402, 0.18042492284050343]","1_lag_amo2, 1_lag_stratZ50ndj03, 11_lag_amo3, 15_lag_amo2, 1_lag_4_median_stratZ50ndj03, 10_lag_amo2_682_1"
LinearRegression,3,6,stratZ50ndj03,slow,1517.5,2005.5,0.6,18,1,1,15.490279235859227,-0.1308300188164395,726,"['1_lag_amo2', '17_lag_atlSICjfm', '11_lag_stratZ50ndj04', '1_lag_stratZ50ndj03', '1_lag_4_median_stratZ50ndj03', '10_lag_amo2']","[0.0729524502739474, 0.002417079107530265, 0.00876185183297834, 0.07341670405875902, 0.15640587488402063, 0.18005073806859895]","1_lag_amo2, 17_lag_atlSICjfm, 11_lag_stratZ50ndj04, 1_lag_stratZ50ndj03, 1_lag_4_median_stratZ50ndj03, 10_lag_amo2_726_1"
LinearRegression,4,6,stratZ50ndj03,slow,1518.5,2005.5,0.6,19,1,1,15.84467471650924,-0.050408657613256205,770,"['18_lag_amo2', '1_lag_4_median_stratZ50ndj03', '1_lag_stratZ50ndj03', '11_lag_stratZ50ndj04', '15_lag_amo2', '10_lag_amo2']","[0.35083965674723283, 0.1768790467810799, 0.05872895967804635, 0.026930407286721834, 0.2939289351532351, 0.16991729253323762]","18_lag_amo2, 1_lag_4_median_stratZ50ndj03, 1_lag_stratZ50ndj03, 11_lag_stratZ50ndj04, 15_lag_amo2, 10_lag_amo2_770_1"
LinearRegression,5,6,stratZ50ndj03,slow,1519.5,2005.5,0.6,20,1,1,16.00203037913301,-0.06347684374344045,814,"['18_lag_amo2', '19_lag_atlSICjfm', '14_lag_nhSICjfm', '18_lag_stratZ50ndj04', '10_lag_amo2', '1_lag_stratZ50ndj03']","[0.2386115471380496, 0.08339969803931525, 0.040412048603370505, 0.009252313223774313, 0.18233436650704354, 0.08273213539566923]","18_lag_amo2, 19_lag_atlSICjfm, 14_lag_nhSICjfm, 18_lag_stratZ50ndj04, 10_lag_amo2, 1_lag_stratZ50ndj03_814_1"
LinearRegression,6,6,stratZ50ndj03,slow,1520.5,2005.5,0.6,21,1,1,17.602026956471448,-0.05502261082419868,858,"['4_lag_atlSICsep', '18_lag_amo2', '16_lag_stratZ50ndj02', '10_lag_amo2', '1_lag_stratZ50ndj03', '20_lag_atlSICsep']","[0.20958933881131617, 0.2669920607372873, 0.14766281552974667, 0.17655227209467877, 0.09147761499174284, 0.2186142766076632]","4_lag_atlSICsep, 18_lag_amo2, 16_lag_stratZ50ndj02, 10_lag_amo2, 1_lag_stratZ50ndj03, 20_lag_atlSICsep_858_1"
LinearRegression,7,6,stratZ50ndj03,slow,1521.5,2005.5,0.6,22,2,5,16.10183121391491,-0.014750450300515094,858,"['10_lag_amo2', '20_lag_atlSICsep', '5_lag_shSICmar', '21_lag_amoSSTmjjaso', '21_lag_shSICsep', '18_lag_atlSICjfm']","[0.23705935476737536, 0.18452630289655048, 0.021196914920783627, 0.03516054227726882, 0.14466844152341357, 0.1311033701764086]","10_lag_amo2, 20_lag_atlSICsep, 5_lag_shSICmar, 21_lag_amoSSTmjjaso, 21_lag_shSICsep, 18_lag_atlSICjfm_858_5"
LinearRegression,8,6,stratZ50ndj03,slow,1522.5,2005.5,0.6,23,3,3,15.371835549736847,0.020928691581606682,858,"['19_lag_stratZ50ndj04', '3_lag_nhSICjfm', '11_lag_AMOCann', '18_lag_atlSICjfm', '21_lag_shSICsep', '20_lag_atlSICsep']","[0.11728752545765253, 0.06426620094563198, 0.06794907869294561, 0.13739771158018307, 0.1177008360490707, 0.18328865284869858]","19_lag_stratZ50ndj04, 3_lag_nhSICjfm, 11_lag_AMOCann, 18_lag_atlSICjfm, 21_lag_shSICsep, 20_lag_atlSICsep_858_3"
LinearRegression,9,6,stratZ50ndj03,slow,1523.5,2005.5,0.6,24,4,4,15.357294053968053,0.005787441672385169,858,"['22_lag_amoSSTmjjaso', '4_lag_nhSICsep', '21_lag_amo1', '21_lag_atlSICsep', '20_lag_atlSICsep', '21_lag_shSICsep']","[0.08090173943655105, 0.01314720751446885, 0.0331108106180438, 0.11178283094871189, 0.23461510549505266, 0.09547523637849537]","22_lag_amoSSTmjjaso, 4_lag_nhSICsep, 21_lag_amo1, 21_lag_atlSICsep, 20_lag_atlSICsep, 21_lag_shSICsep_858_4"
