model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,stratZ50ndj04,slow,866.5,2005.5,0.8,15,1,1,11.964302051615823,0.5239113253442991,1755,"['1_lag_9_median_glomaSSTjfm', '10_lag_yrvPRjja', '10_lag_arcTSjfm', '11_lag_amo1', '1_lag_6_median_tripol1', '1_lag_2_median_satlSSTjfm', '1_lag_2_median_nhSICjfm', '6_lag_tripol3', '1_lag_5_median_traEC', '1_lag_13_median_mhfATL60']","[3.5246687916062527, 4.2553248000512784, 0.9776365052975837, 1.6500726675870716, 0.03690426511865752, 6.457889612747369, 2.1313822938468396, 4.140999068499243, 2.0804611517870253, 3.0748718881603487]","1_lag_9_median_glomaSSTjfm, 10_lag_yrvPRjja, 10_lag_arcTSjfm, 11_lag_amo1, 1_lag_6_median_tripol1, 1_lag_2_median_satlSSTjfm, 1_lag_2_median_nhSICjfm, 6_lag_tripol3, 1_lag_5_median_traEC, 1_lag_13_median_mhfATL60_1755_1"
LRforcedPSO,1,10,stratZ50ndj04,slow,867.5,2005.5,0.8,16,1,1,14.693822956913436,0.46342765202100117,1885,"['1_lag_traFSC', '11_lag_amo1', '1_lag_15_median_traDP', '6_lag_ensoSSTjfm', '1_lag_10_median_cetTSjfm', '11_lag_alpi', '12_lag_glomaSSTjfm', '1_lag_3_median_tripol1', '1_lag_14_median_mhfATL60', '1_lag_7_median_eapPSLjfm']","[6.728571015196758, 2.17939708661234, 0.7119296959310653, 0.7333369766246314, 5.93636001034373, 5.088874959040346, 5.775077611300263, 0.2905291656742133, 0.47627954634045366, 4.566720448337518]","1_lag_traFSC, 11_lag_amo1, 1_lag_15_median_traDP, 6_lag_ensoSSTjfm, 1_lag_10_median_cetTSjfm, 11_lag_alpi, 12_lag_glomaSSTjfm, 1_lag_3_median_tripol1, 1_lag_14_median_mhfATL60, 1_lag_7_median_eapPSLjfm_1885_1"
LRforcedPSO,2,10,stratZ50ndj04,slow,868.5,2005.5,0.8,17,1,1,14.639957481657415,-0.1360925194756258,2015,"['1_lag_12_median_traTLS', '11_lag_tripol1', '4_lag_ensoSSTjfm', '1_lag_15_median_cetTSjfm', '1_lag_7_median_stratZ50ndj01', '1_lag_15_median_solFORC', '16_lag_yrvPRjja', '1_lag_2_median_labSSTjfm', '16_lag_mhfIP30', '1_lag_16_median_traBS']","[1.8918128569054193, 1.7250604209418068, 3.6215241751081244, 4.033216289015018, 1.81537454542514, 0.19708903988364668, 1.4089719544860095, 0.19551293886501853, 4.477061392240458, 0.05895951092751517]","1_lag_12_median_traTLS, 11_lag_tripol1, 4_lag_ensoSSTjfm, 1_lag_15_median_cetTSjfm, 1_lag_7_median_stratZ50ndj01, 1_lag_15_median_solFORC, 16_lag_yrvPRjja, 1_lag_2_median_labSSTjfm, 16_lag_mhfIP30, 1_lag_16_median_traBS_2015_1"
LRforcedPSO,3,10,stratZ50ndj04,slow,869.5,2005.5,0.8,18,1,1,15.198885984345214,0.16400418367464167,2145,"['1_lag_17_median_nhTSjfm', '1_lag_13_median_nhTSjfm', '2_lag_atlSICsep', '1_lag_3_median_atlSICjfm', '1_lag_14_median_nppc2SSTjfm', '17_lag_ormenSSTjfm', '14_lag_mhfATL60', '1_lag_10_median_labSSTjfm', '1_lag_8_median_alpi', '9_lag_labSSTjfm']","[8.705882938100242, 8.6497723232273, 3.764070307760761, 2.5873887076698487, 1.2136488774293177, 1.4135947224431717, 2.0045603407685153, 7.120723035996484, 2.113368835035711, 9.87170407835422]","1_lag_17_median_nhTSjfm, 1_lag_13_median_nhTSjfm, 2_lag_atlSICsep, 1_lag_3_median_atlSICjfm, 1_lag_14_median_nppc2SSTjfm, 17_lag_ormenSSTjfm, 14_lag_mhfATL60, 1_lag_10_median_labSSTjfm, 1_lag_8_median_alpi, 9_lag_labSSTjfm_2145_1"
LRforcedPSO,4,10,stratZ50ndj04,slow,870.5,2005.5,0.8,19,1,1,14.649628159214714,0.0998861969214362,2275,"['15_lag_nhSICsep', '2_lag_traDS', '1_lag_11_median_seurTSjfm', '10_lag_eapPSLjfm', '1_lag_6_median_AMOCann', '9_lag_atlSICjfm', '2_lag_mhfATL60', '12_lag_traDS', '1_lag_17_median_ormenSSTjfm', '8_lag_nppc2SSTjfm']","[1.129045054700903, 3.0213503444323813, 5.659005525822163, 0.31512585177726216, 5.599111874331646, 5.214489127072886, 2.1163549291208277, 1.9463785396584772, 1.4876764215146725, 2.6457612624305575]","15_lag_nhSICsep, 2_lag_traDS, 1_lag_11_median_seurTSjfm, 10_lag_eapPSLjfm, 1_lag_6_median_AMOCann, 9_lag_atlSICjfm, 2_lag_mhfATL60, 12_lag_traDS, 1_lag_17_median_ormenSSTjfm, 8_lag_nppc2SSTjfm_2275_1"
LRforcedPSO,5,10,stratZ50ndj04,slow,871.5,2005.5,0.8,20,1,1,17.203829502583293,0.40966553117559984,2405,"['15_lag_mhfATL30', '1_lag_2_median_tripol1', '7_lag_traEU', '19_lag_ginwSSTjfm', '1_lag_4_median_tripol3', '1_lag_3_median_neurTSjfm', '13_lag_atlSICsep', '14_lag_tripol2', '1_lag_3_median_traEU', '1_lag_14_median_ensoSSTjfm']","[0.25275872979307223, 2.605794204205165, 4.010941631150344, 2.6214500963935556, 5.567248724977583, 3.5915415336533707, 7.200610460476192, 2.3404847335012153, 3.0608527780894086, 5.728144104827495]","15_lag_mhfATL30, 1_lag_2_median_tripol1, 7_lag_traEU, 19_lag_ginwSSTjfm, 1_lag_4_median_tripol3, 1_lag_3_median_neurTSjfm, 13_lag_atlSICsep, 14_lag_tripol2, 1_lag_3_median_traEU, 1_lag_14_median_ensoSSTjfm_2405_1"
LRforcedPSO,6,10,stratZ50ndj04,slow,872.5,2005.5,0.8,21,1,1,12.476424349166361,0.3998696712576476,2535,"['19_lag_samPSLann', '11_lag_mhfATL30', '3_lag_traFSC', '1_lag_14_median_traFB', '13_lag_nhSICjfm', '1_lag_5_median_mhfIP30', '2_lag_nppc3SSTjfm', '7_lag_nppc3SSTjfm', '18_lag_satlSSTjfm', '1_lag_20_median_eurPSLjfm']","[0.07410084467203859, 3.9647327267735966, 2.61075469102777, 6.8291472977324865, 0.3785933323499453, 4.583781307408669, 4.155200137594868, 6.971673018958516, 0.4091801506328814, 0.6380638077429328]","19_lag_samPSLann, 11_lag_mhfATL30, 3_lag_traFSC, 1_lag_14_median_traFB, 13_lag_nhSICjfm, 1_lag_5_median_mhfIP30, 2_lag_nppc3SSTjfm, 7_lag_nppc3SSTjfm, 18_lag_satlSSTjfm, 1_lag_20_median_eurPSLjfm_2535_1"
LRforcedPSO,7,10,stratZ50ndj04,slow,873.5,2005.5,0.8,22,1,1,15.127488953309342,0.5339113316404758,2665,"['13_lag_traDP', '1_lag_19_median_tripol3', '1_lag_4_median_stratZ50ndj02', '13_lag_amo2', '14_lag_stratZ50ndj04', '1_lag_6_median_traWP', '2_lag_amo2', '1_lag_2_median_traBS', '9_lag_tripol3', '1_lag_3_median_stratZ50ndj01']","[4.915737921332655, 6.292015645591832, 1.793189372694524, 4.6127910325251555, 5.114563293244845, 1.7397923897179464, 0.5371475470309228, 1.415139607902777, 2.333669067645423, 2.293934341271539]","13_lag_traDP, 1_lag_19_median_tripol3, 1_lag_4_median_stratZ50ndj02, 13_lag_amo2, 14_lag_stratZ50ndj04, 1_lag_6_median_traWP, 2_lag_amo2, 1_lag_2_median_traBS, 9_lag_tripol3, 1_lag_3_median_stratZ50ndj01_2665_1"
LRforcedPSO,8,10,stratZ50ndj04,slow,874.5,2005.5,0.8,23,1,1,12.264546591020913,0.4593020304555068,2795,"['8_lag_stratZ50ndj04', '12_lag_scpPSLjfm', '7_lag_shSICsep', '1_lag_14_median_mhfATL60', '1_lag_20_median_nhTSjfm', '1_lag_21_median_stratZ50ndj04', '1_lag_10_median_traFS', '1_lag_17_median_tripol2', '12_lag_glTSjfm', '7_lag_cetTSjfm']","[2.4369758443359686, 0.7173538224917948, 0.3589901350215374, 0.7072443461013105, 6.371982191281763, 3.5490792192896787, 3.19866595843334, 0.9485854652386898, 0.5878933771005439, 6.93704407691021]","8_lag_stratZ50ndj04, 12_lag_scpPSLjfm, 7_lag_shSICsep, 1_lag_14_median_mhfATL60, 1_lag_20_median_nhTSjfm, 1_lag_21_median_stratZ50ndj04, 1_lag_10_median_traFS, 1_lag_17_median_tripol2, 12_lag_glTSjfm, 7_lag_cetTSjfm_2795_1"
LRforcedPSO,9,10,stratZ50ndj04,slow,875.5,2005.5,0.8,24,1,1,15.42644969814987,-0.09234542352272704,2925,"['1_lag_AMOCann', '20_lag_cetTSjfm', '13_lag_traDS', '21_lag_traWP', '1_lag_12_median_atlSICjfm', '1_lag_10_median_nchinaPRjja', '16_lag_nchinaPRjja', '22_lag_traDP', '5_lag_nppc2SSTjfm', '1_lag_14_median_traBO']","[0.23073418680275992, 4.6205485347936275, 1.4440083221851996, 1.5942743804215596, 5.2060148535879165, 4.381586731450399, 5.91209917455934, 3.765345190903595, 2.594943277280219, 2.412357840724484]","1_lag_AMOCann, 20_lag_cetTSjfm, 13_lag_traDS, 21_lag_traWP, 1_lag_12_median_atlSICjfm, 1_lag_10_median_nchinaPRjja, 16_lag_nchinaPRjja, 22_lag_traDP, 5_lag_nppc2SSTjfm, 1_lag_14_median_traBO_2925_1"
LRforcedPSO,10,10,stratZ50ndj04,slow,876.5,2005.5,0.8,25,1,1,16.950035148401614,-0.16294085329267305,3055,"['7_lag_glomaSSTjfm', '21_lag_traWP', '11_lag_traCA', '1_lag_8_median_stratZ50ndj04', '1_lag_2_median_pdoSSTjfm', '6_lag_ensoSSTjfm', '1_lag_10_median_neurTSjfm', '1_lag_18_median_atlSICsep', '13_lag_glTSjfm', '20_lag_traFSC']","[7.288270111843169, 0.4129248323925587, 6.115130575037, 0.5431261947111903, 0.9687568706582201, 1.5993682259385782, 3.5571376234092593, 3.105125721476119, 0.45787342915689067, 3.1230500007683526]","7_lag_glomaSSTjfm, 21_lag_traWP, 11_lag_traCA, 1_lag_8_median_stratZ50ndj04, 1_lag_2_median_pdoSSTjfm, 6_lag_ensoSSTjfm, 1_lag_10_median_neurTSjfm, 1_lag_18_median_atlSICsep, 13_lag_glTSjfm, 20_lag_traFSC_3055_1"
LRforcedPSO,11,10,stratZ50ndj04,slow,877.5,2005.5,0.8,26,1,1,15.302970051517535,-0.37324775864880244,3185,"['1_lag_10_median_stratZ50ndj02', '1_lag_24_median_stratZ50ndj01', '1_lag_eapPSLjfm', '2_lag_nhTSjfm', '1_lag_14_median_amo1', '1_lag_22_median_labSSTjfm', '1_lag_10_median_nchinaPRjja', '1_lag_6_median_seurTSjfm', '1_lag_9_median_arcTSjfm', '14_lag_ensoSSTjfm']","[0.3131037241693271, 0.25853215283929387, 1.3960218677727703, 2.6297769856578057, 1.8454734472035295, 4.740915126194789, 1.1237956999234875, 2.9231754164467816, 0.3727231966030544, 0.020951979404857823]","1_lag_10_median_stratZ50ndj02, 1_lag_24_median_stratZ50ndj01, 1_lag_eapPSLjfm, 2_lag_nhTSjfm, 1_lag_14_median_amo1, 1_lag_22_median_labSSTjfm, 1_lag_10_median_nchinaPRjja, 1_lag_6_median_seurTSjfm, 1_lag_9_median_arcTSjfm, 14_lag_ensoSSTjfm_3185_1"
