model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traBO,slow,1714.5,2005.5,0.6,15,1,1,15.102675463448872,0.1699731797413043,1755,"['8_lag_eapPSLjfm', '5_lag_seurTSjfm', '11_lag_stratZ50ndj01', '12_lag_traIFC', '10_lag_traEU', '7_lag_ginwSSTjfm', '14_lag_shSICmar', '5_lag_stratZ50ndj02', '4_lag_cetTSjfm', '6_lag_seurTSjfm', '6_lag_shSICmar', '12_lag_traFB', '6_lag_ginwSSTjfm', '1_lag_traEC', '7_lag_shSICsep', '8_lag_shSICmar', '1_lag_nchinaPRjja', '13_lag_stratZ50ndj03', '6_lag_traEU', '9_lag_alpi', '11_lag_traFS', '3_lag_yrvPRjja', '3_lag_shSICmar', '13_lag_nchinaPRjja', '10_lag_stratZ50ndj03', '9_lag_ismPRjja', '1_lag_traWP', '6_lag_neurTSjfm', '14_lag_ismPRjja', '8_lag_stratZ50ndj01']","[0.21717699430795487, 0.08143791563333982, 0.16095504270871988, 0.09471660197380664, 0.12730400366185002, 0.015490206960828631, 0.1771738551373189, 0.05469771937818814, 0.20535522950108354, 0.007989073217542587, 0.08757061785332641, 0.06721132635900086, 0.13001675650602004, 0.13542811555131884, 0.05292206923969774, 0.09660052348861267, 0.017696680785754412, 0.03999974576807892, 0.12939066184032996, 0.05452983256857687, 0.22292409289037932, 0.07253211426394417, 0.15751128773929401, 0.15390327775163654, 0.13543759636650662, 0.06982075483417992, 0.07226754733110621, 0.090786428512463, 0.13075298271679592, 0.11419327072106789]","8_lag_eapPSLjfm, 5_lag_seurTSjfm, 11_lag_stratZ50ndj01, 12_lag_traIFC, 10_lag_traEU, 7_lag_ginwSSTjfm, 14_lag_shSICmar, 5_lag_stratZ50ndj02, 4_lag_cetTSjfm, 6_lag_seurTSjfm, 6_lag_shSICmar, 12_lag_traFB, 6_lag_ginwSSTjfm, 1_lag_traEC, 7_lag_shSICsep, 8_lag_shSICmar, 1_lag_nchinaPRjja, 13_lag_stratZ50ndj03, 6_lag_traEU, 9_lag_alpi, 11_lag_traFS, 3_lag_yrvPRjja, 3_lag_shSICmar, 13_lag_nchinaPRjja, 10_lag_stratZ50ndj03, 9_lag_ismPRjja, 1_lag_traWP, 6_lag_neurTSjfm, 14_lag_ismPRjja, 8_lag_stratZ50ndj01_1755_1"
LinearRegression,1,30,traBO,slow,1715.5,2005.5,0.6,16,1,1,16.11497176873512,0.07784445706743212,1885,"['1_lag_traEC', '5_lag_seurTSjfm', '1_lag_nchinaPRjja', '10_lag_traEU', '4_lag_cetTSjfm', '3_lag_yrvPRjja', '6_lag_ginwSSTjfm', '11_lag_shSICmar', '13_lag_shSICsep', '6_lag_traEU', '7_lag_ginwSSTjfm', '9_lag_ismPRjja', '9_lag_alpi', '6_lag_seurTSjfm', '11_lag_traFS', '13_lag_stratZ50ndj03', '3_lag_shSICmar', '13_lag_nchinaPRjja', '15_lag_ormenSSTjfm', '15_lag_ginwSSTjfm', '15_lag_satlSSTjfm', '6_lag_neurTSjfm', '12_lag_traFB', '1_lag_traWP', '10_lag_stratZ50ndj03', '15_lag_traMC', '8_lag_stratZ50ndj01', '15_lag_eurPSLjfm', '14_lag_ismPRjja', '15_lag_stratZ50ndj01']","[0.12255582924010434, 0.08920533178307712, 0.03369675044796725, 0.10373992639317994, 0.1569691520304069, 0.05433537512634818, 0.13403071625917773, 0.15107245181890444, 0.06847779208424287, 0.10689210175758673, 0.07559324056385754, 0.02636042670644636, 0.06341768318026555, 0.051944002763172084, 0.2005878995462716, 0.02052592797440382, 0.12538184006261127, 0.11970528086139783, 0.1893887588168847, 0.008081200515606377, 0.14100448849653135, 0.033888502902964766, 0.07771266547732092, 0.05973779919312981, 0.12570957532789012, 0.14235507978510414, 0.07787710534416095, 0.08225874518198636, 0.10155583991718113, 0.035366085092325486]","1_lag_traEC, 5_lag_seurTSjfm, 1_lag_nchinaPRjja, 10_lag_traEU, 4_lag_cetTSjfm, 3_lag_yrvPRjja, 6_lag_ginwSSTjfm, 11_lag_shSICmar, 13_lag_shSICsep, 6_lag_traEU, 7_lag_ginwSSTjfm, 9_lag_ismPRjja, 9_lag_alpi, 6_lag_seurTSjfm, 11_lag_traFS, 13_lag_stratZ50ndj03, 3_lag_shSICmar, 13_lag_nchinaPRjja, 15_lag_ormenSSTjfm, 15_lag_ginwSSTjfm, 15_lag_satlSSTjfm, 6_lag_neurTSjfm, 12_lag_traFB, 1_lag_traWP, 10_lag_stratZ50ndj03, 15_lag_traMC, 8_lag_stratZ50ndj01, 15_lag_eurPSLjfm, 14_lag_ismPRjja, 15_lag_stratZ50ndj01_1885_1"
LinearRegression,2,30,traBO,slow,1716.5,2005.5,0.6,17,1,1,14.150392044058126,0.1827730917888102,2015,"['15_lag_satlSSTjfm', '15_lag_ormenSSTjfm', '12_lag_traTLS', '1_lag_traEC', '11_lag_stratZ50ndj01', '6_lag_seurTSjfm', '16_lag_traMC', '5_lag_shSICsep', '4_lag_cetTSjfm', '1_lag_traWP', '3_lag_yrvPRjja', '3_lag_shSICmar', '16_lag_traIFC', '6_lag_neurTSjfm', '16_lag_stratZ50ndj01', '16_lag_traFS', '11_lag_traFS', '13_lag_stratZ50ndj03', '15_lag_traMC', '11_lag_ginwSSTjfm', '9_lag_alpi', '13_lag_shSICsep', '13_lag_nchinaPRjja', '15_lag_ginwSSTjfm', '15_lag_eurPSLjfm', '12_lag_traFB', '8_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '14_lag_ismPRjja', '15_lag_stratZ50ndj01']","[0.23848933063919417, 0.14938600311517208, 0.09376272775276534, 0.10903652512781568, 0.035352430737093224, 0.10505840974948231, 0.0015724485096615486, 0.09598931629637802, 0.17047412635200013, 0.13661972890141721, 0.037882079022619065, 0.12334679251752947, 0.05101150255968074, 0.030915436491651505, 0.032820084006839514, 0.19630083131253415, 0.2083206221355006, 0.06254223631885751, 0.08492429872768156, 0.25830238234980596, 0.06111088958507438, 0.07847668146278967, 0.16236821518978975, 0.013003242972716024, 0.06928317096711087, 0.1557981539592561, 0.03817846059765989, 0.1545241675463262, 0.09884927187867971, 0.09479762280426692]","15_lag_satlSSTjfm, 15_lag_ormenSSTjfm, 12_lag_traTLS, 1_lag_traEC, 11_lag_stratZ50ndj01, 6_lag_seurTSjfm, 16_lag_traMC, 5_lag_shSICsep, 4_lag_cetTSjfm, 1_lag_traWP, 3_lag_yrvPRjja, 3_lag_shSICmar, 16_lag_traIFC, 6_lag_neurTSjfm, 16_lag_stratZ50ndj01, 16_lag_traFS, 11_lag_traFS, 13_lag_stratZ50ndj03, 15_lag_traMC, 11_lag_ginwSSTjfm, 9_lag_alpi, 13_lag_shSICsep, 13_lag_nchinaPRjja, 15_lag_ginwSSTjfm, 15_lag_eurPSLjfm, 12_lag_traFB, 8_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 14_lag_ismPRjja, 15_lag_stratZ50ndj01_2015_1"
LinearRegression,3,30,traBO,slow,1717.5,2005.5,0.6,18,1,4,15.209573438206053,0.09809362778043632,2145,"['16_lag_traIFC', '6_lag_neurTSjfm', '10_lag_traEU', '5_lag_shSICsep', '13_lag_traTLS', '13_lag_nchinaPRjja', '6_lag_traEU', '11_lag_stratZ50ndj01', '14_lag_shSICmar', '13_lag_stratZ50ndj03', '6_lag_ginwSSTjfm', '13_lag_shSICsep', '15_lag_ginwSSTjfm', '4_lag_cetTSjfm', '17_lag_traIFC', '15_lag_eurPSLjfm', '15_lag_traMC', '17_lag_traCA', '17_lag_traWP', '11_lag_ginwSSTjfm', '17_lag_traBS', '17_lag_traFS', '16_lag_stratZ50ndj01', '12_lag_traFB', '8_lag_stratZ50ndj01', '9_lag_alpi', '10_lag_stratZ50ndj03', '14_lag_ismPRjja', '15_lag_stratZ50ndj01', '17_lag_scpPSLjfm']","[0.11089036773568628, 0.021995620226834052, 0.04963494028445191, 0.10064086540025488, 0.1530729145101174, 0.13738088617202238, 0.12282279246893492, 0.07060911783835201, 0.12756525498362073, 0.01187130451738628, 0.07970804404084261, 0.11620374724266824, 0.0654443707284729, 0.19872130748752298, 0.038608164883594455, 0.03635127883023426, 0.1573395859632358, 0.04706986892794211, 0.09983842740449239, 0.23228987568958845, 0.1652443437640432, 0.049364481153829035, 0.0010191000621580402, 0.14440119574120447, 0.10933232600790696, 0.04847476177923991, 0.07885356186921152, 0.12465308298603406, 0.0644677836675652, 0.13299654396502147]","16_lag_traIFC, 6_lag_neurTSjfm, 10_lag_traEU, 5_lag_shSICsep, 13_lag_traTLS, 13_lag_nchinaPRjja, 6_lag_traEU, 11_lag_stratZ50ndj01, 14_lag_shSICmar, 13_lag_stratZ50ndj03, 6_lag_ginwSSTjfm, 13_lag_shSICsep, 15_lag_ginwSSTjfm, 4_lag_cetTSjfm, 17_lag_traIFC, 15_lag_eurPSLjfm, 15_lag_traMC, 17_lag_traCA, 17_lag_traWP, 11_lag_ginwSSTjfm, 17_lag_traBS, 17_lag_traFS, 16_lag_stratZ50ndj01, 12_lag_traFB, 8_lag_stratZ50ndj01, 9_lag_alpi, 10_lag_stratZ50ndj03, 14_lag_ismPRjja, 15_lag_stratZ50ndj01, 17_lag_scpPSLjfm_2145_4"
LinearRegression,4,30,traBO,slow,1718.5,2005.5,0.6,19,1,1,16.1509002823089,0.045394306864866736,2275,"['8_lag_shSICmar', '6_lag_neurTSjfm', '1_lag_traDP', '6_lag_seurTSjfm', '15_lag_traMC', '15_lag_ormenSSTjfm', '1_lag_stratZ50ndj01', '11_lag_stratZ50ndj01', '15_lag_ginwSSTjfm', '4_lag_cetTSjfm', '6_lag_ginwSSTjfm', '17_lag_traIFC', '18_lag_traBS', '16_lag_stratZ50ndj01', '1_lag_ginwSSTjfm', '15_lag_eurPSLjfm', '13_lag_stratZ50ndj03', '17_lag_traWP', '12_lag_traFB', '11_lag_ginwSSTjfm', '18_lag_alpi', '8_lag_stratZ50ndj01', '17_lag_traFS', '16_lag_traIFC', '17_lag_traBS', '9_lag_alpi', '10_lag_stratZ50ndj03', '15_lag_stratZ50ndj01', '14_lag_ismPRjja', '17_lag_scpPSLjfm']","[0.1552500480229382, 0.06842233558249734, 0.13012544685389843, 0.008897627706348473, 0.13096987496566057, 0.19053223438736336, 0.042910355383090966, 0.06690936681437307, 0.008676418953395212, 0.15481017303665384, 0.009223024941956991, 0.13033241669841522, 0.10269709740205549, 0.020623819172182575, 0.11210170918720783, 0.07783959620079581, 0.05170748837213447, 0.11130084543782559, 0.19547171216864492, 0.20247054344705578, 0.035803117730926676, 0.08785030807207163, 0.06772059471433658, 0.03513885799270018, 0.20752478845971736, 0.06965399719486891, 0.12288991675978883, 0.026253668464279657, 0.1375735128527358, 0.10928944988936803]","8_lag_shSICmar, 6_lag_neurTSjfm, 1_lag_traDP, 6_lag_seurTSjfm, 15_lag_traMC, 15_lag_ormenSSTjfm, 1_lag_stratZ50ndj01, 11_lag_stratZ50ndj01, 15_lag_ginwSSTjfm, 4_lag_cetTSjfm, 6_lag_ginwSSTjfm, 17_lag_traIFC, 18_lag_traBS, 16_lag_stratZ50ndj01, 1_lag_ginwSSTjfm, 15_lag_eurPSLjfm, 13_lag_stratZ50ndj03, 17_lag_traWP, 12_lag_traFB, 11_lag_ginwSSTjfm, 18_lag_alpi, 8_lag_stratZ50ndj01, 17_lag_traFS, 16_lag_traIFC, 17_lag_traBS, 9_lag_alpi, 10_lag_stratZ50ndj03, 15_lag_stratZ50ndj01, 14_lag_ismPRjja, 17_lag_scpPSLjfm_2275_1"
LinearRegression,5,30,traBO,slow,1719.5,2005.5,0.6,20,1,1,17.8453796704374,-0.190788617948488,2405,"['5_lag_shSICsep', '16_lag_stratZ50ndj01', '15_lag_atlSICsep', '1_lag_2_median_nchinaPRjja', '15_lag_traMC', '2_lag_nchinaPRjja', '17_lag_shSICsep', '8_lag_shSICmar', '3_lag_traTLS', '18_lag_alpi', '6_lag_ginwSSTjfm', '15_lag_ormenSSTjfm', '12_lag_traFB', '1_lag_traDP', '13_lag_stratZ50ndj03', '17_lag_traWP', '1_lag_ginwSSTjfm', '11_lag_ginwSSTjfm', '15_lag_eurPSLjfm', '19_lag_eurPSLjfm', '8_lag_stratZ50ndj01', '13_lag_nchinaPRjja', '17_lag_traFS', '9_lag_alpi', '16_lag_traIFC', '17_lag_traBS', '10_lag_stratZ50ndj03', '15_lag_stratZ50ndj01', '14_lag_ismPRjja', '17_lag_scpPSLjfm']","[0.09115433332936942, 0.03689657451358228, 0.06944503013440069, 1278234332158.5435, 0.10713270784298272, 1278234332158.6475, 0.005420666398539266, 0.09654180994899964, 0.10568840263523956, 0.013216195515493303, 0.05935683914746197, 0.19264119771582824, 0.16302624851434538, 0.17485785048452862, 0.03405373085393043, 0.10831553285993435, 0.08861299825154924, 0.2015122175078494, 0.04100626188852023, 0.0003931746091122201, 0.020998902560314916, 0.07807617753198165, 0.0385406160996796, 0.06897605107515595, 0.012214751814768015, 0.1824915493088438, 0.11830059247734728, 0.07792375171876256, 0.11962672960156191, 0.08358964328998056]","5_lag_shSICsep, 16_lag_stratZ50ndj01, 15_lag_atlSICsep, 1_lag_2_median_nchinaPRjja, 15_lag_traMC, 2_lag_nchinaPRjja, 17_lag_shSICsep, 8_lag_shSICmar, 3_lag_traTLS, 18_lag_alpi, 6_lag_ginwSSTjfm, 15_lag_ormenSSTjfm, 12_lag_traFB, 1_lag_traDP, 13_lag_stratZ50ndj03, 17_lag_traWP, 1_lag_ginwSSTjfm, 11_lag_ginwSSTjfm, 15_lag_eurPSLjfm, 19_lag_eurPSLjfm, 8_lag_stratZ50ndj01, 13_lag_nchinaPRjja, 17_lag_traFS, 9_lag_alpi, 16_lag_traIFC, 17_lag_traBS, 10_lag_stratZ50ndj03, 15_lag_stratZ50ndj01, 14_lag_ismPRjja, 17_lag_scpPSLjfm_2405_1"
LinearRegression,6,30,traBO,slow,1720.5,2005.5,0.6,21,1,1,17.09503566114046,-0.13558390965282413,2535,"['17_lag_shSICsep', '15_lag_nchinaPRjja', '7_lag_traCA', '15_lag_eurPSLjfm', '1_lag_ginwSSTjfm', '1_lag_traDP', '12_lag_traFB', '4_lag_neurTSjfm', '20_lag_stratZ50ndj01', '15_lag_ginwSSTjfm', '15_lag_traMC', '16_lag_stratZ50ndj01', '3_lag_traTLS', '18_lag_alpi', '6_lag_ginwSSTjfm', '8_lag_shSICmar', '15_lag_ormenSSTjfm', '13_lag_stratZ50ndj03', '17_lag_traWP', '8_lag_stratZ50ndj01', '13_lag_nchinaPRjja', '11_lag_ginwSSTjfm', '9_lag_alpi', '17_lag_traBS', '16_lag_traIFC', '17_lag_traFS', '10_lag_stratZ50ndj03', '15_lag_stratZ50ndj01', '14_lag_ismPRjja', '17_lag_scpPSLjfm']","[0.006998237697124466, 0.027606203720817235, 0.16447120587712902, 0.03157040241510396, 0.11909377604212396, 0.15932884939528671, 0.17413546840092053, 0.07804827734182174, 0.10717013714006901, 0.013137315391021817, 0.09637880716151558, 0.05929784136868097, 0.09208263869160253, 0.010530814012194264, 0.11416986495272272, 0.16670352645892955, 0.20092190684015396, 0.007263359719705681, 0.11639842379383598, 0.03054660683372978, 0.047264261512667896, 0.20747332867085994, 0.07709561980915747, 0.19695709981027457, 0.04449188841458025, 0.016441997117200548, 0.13890888918646077, 0.04720092743882797, 0.14406743518915474, 0.09401724855973549]","17_lag_shSICsep, 15_lag_nchinaPRjja, 7_lag_traCA, 15_lag_eurPSLjfm, 1_lag_ginwSSTjfm, 1_lag_traDP, 12_lag_traFB, 4_lag_neurTSjfm, 20_lag_stratZ50ndj01, 15_lag_ginwSSTjfm, 15_lag_traMC, 16_lag_stratZ50ndj01, 3_lag_traTLS, 18_lag_alpi, 6_lag_ginwSSTjfm, 8_lag_shSICmar, 15_lag_ormenSSTjfm, 13_lag_stratZ50ndj03, 17_lag_traWP, 8_lag_stratZ50ndj01, 13_lag_nchinaPRjja, 11_lag_ginwSSTjfm, 9_lag_alpi, 17_lag_traBS, 16_lag_traIFC, 17_lag_traFS, 10_lag_stratZ50ndj03, 15_lag_stratZ50ndj01, 14_lag_ismPRjja, 17_lag_scpPSLjfm_2535_1"
LinearRegression,7,30,traBO,slow,1721.5,2005.5,0.6,22,2,2,16.368285679804956,-0.1582733551252509,2535,"['7_lag_shSICsep', '13_lag_stratZ50ndj03', '4_lag_cetTSjfm', '11_lag_traFS', '17_lag_traCA', '16_lag_nchinaPRjja', '20_lag_stratZ50ndj01', '11_lag_eurPSLjfm', '8_lag_shSICmar', '15_lag_ginwSSTjfm', '8_lag_stratZ50ndj01', '15_lag_ormenSSTjfm', '11_lag_ginwSSTjfm', '15_lag_nchinaPRjja', '16_lag_stratZ50ndj01', '2_lag_traIFC', '7_lag_ginwSSTjfm', '16_lag_traIFC', '17_lag_traBS', '9_lag_alpi', '21_lag_alpi', '2_lag_nchinaPRjja', '6_lag_ginwSSTjfm', '13_lag_nchinaPRjja', '17_lag_traFS', '10_lag_stratZ50ndj03', '21_lag_ismPRjja', '14_lag_ismPRjja', '15_lag_stratZ50ndj01', '17_lag_scpPSLjfm']","[0.11975092617519918, 0.018612721361077382, 0.1483930020058341, 0.16597701095191839, 0.0018839157804620263, 0.09876805589486876, 0.11356476342588398, 0.10823013105177105, 0.05013835557598174, 0.04716556475840106, 0.10221496844945235, 0.12229784503393114, 0.21181532455130325, 0.002739795651308002, 0.02724149428195156, 0.13338795862156366, 0.0380162441380059, 0.004757647630890282, 0.1328424692625138, 0.10133086410099151, 0.04644128880292612, 0.031334060706986404, 0.05439136958624197, 0.13357226730167032, 0.07012465579378672, 0.13154631726106292, 0.15854880642984315, 0.16374679695674213, 0.04253980204509999, 0.08153443330575379]","7_lag_shSICsep, 13_lag_stratZ50ndj03, 4_lag_cetTSjfm, 11_lag_traFS, 17_lag_traCA, 16_lag_nchinaPRjja, 20_lag_stratZ50ndj01, 11_lag_eurPSLjfm, 8_lag_shSICmar, 15_lag_ginwSSTjfm, 8_lag_stratZ50ndj01, 15_lag_ormenSSTjfm, 11_lag_ginwSSTjfm, 15_lag_nchinaPRjja, 16_lag_stratZ50ndj01, 2_lag_traIFC, 7_lag_ginwSSTjfm, 16_lag_traIFC, 17_lag_traBS, 9_lag_alpi, 21_lag_alpi, 2_lag_nchinaPRjja, 6_lag_ginwSSTjfm, 13_lag_nchinaPRjja, 17_lag_traFS, 10_lag_stratZ50ndj03, 21_lag_ismPRjja, 14_lag_ismPRjja, 15_lag_stratZ50ndj01, 17_lag_scpPSLjfm_2535_2"
LinearRegression,8,30,traBO,slow,1722.5,2005.5,0.6,23,3,3,18.47028961497773,-0.21995003582888892,2535,"['9_lag_eurPSLjfm', '20_lag_stratZ50ndj01', '16_lag_traIFC', '9_lag_alpi', '15_lag_nchinaPRjja', '7_lag_shSICsep', '17_lag_traWP', '13_lag_shSICsep', '15_lag_ormenSSTjfm', '7_lag_traCA', '17_lag_traBS', '19_lag_eurPSLjfm', '8_lag_shSICmar', '13_lag_traTLS', '22_lag_stratZ50ndj01', '22_lag_ginwSSTjfm', '3_lag_traTLS', '17_lag_traFS', '11_lag_eurPSLjfm', '10_lag_stratZ50ndj03', '7_lag_ginwSSTjfm', '13_lag_nchinaPRjja', '16_lag_nchinaPRjja', '21_lag_alpi', '14_lag_ismPRjja', '15_lag_stratZ50ndj01', '22_lag_alpi', '6_lag_ginwSSTjfm', '21_lag_ismPRjja', '17_lag_scpPSLjfm']","[0.1424900609996121, 0.14520356475919968, 0.03567016682063767, 0.05038994065218338, 0.05565705016212913, 0.12350136804159467, 0.17319195306761642, 0.12495405501697411, 0.15822600989545493, 0.06418279776458863, 0.08464999282460571, 0.0012561700889438517, 0.14210506351866764, 0.13370769347412212, 0.02131404870484193, 0.002844703593509375, 0.1877523681663267, 0.1204430762984504, 0.04154418828808969, 0.10499790138031594, 0.025358336256697457, 0.07747753361472914, 0.09788985291649731, 0.051607691852646714, 0.10147844363176178, 0.009104466884716143, 0.0851067751048825, 0.18529305958552741, 0.16053875831805403, 0.09771471068759446]","9_lag_eurPSLjfm, 20_lag_stratZ50ndj01, 16_lag_traIFC, 9_lag_alpi, 15_lag_nchinaPRjja, 7_lag_shSICsep, 17_lag_traWP, 13_lag_shSICsep, 15_lag_ormenSSTjfm, 7_lag_traCA, 17_lag_traBS, 19_lag_eurPSLjfm, 8_lag_shSICmar, 13_lag_traTLS, 22_lag_stratZ50ndj01, 22_lag_ginwSSTjfm, 3_lag_traTLS, 17_lag_traFS, 11_lag_eurPSLjfm, 10_lag_stratZ50ndj03, 7_lag_ginwSSTjfm, 13_lag_nchinaPRjja, 16_lag_nchinaPRjja, 21_lag_alpi, 14_lag_ismPRjja, 15_lag_stratZ50ndj01, 22_lag_alpi, 6_lag_ginwSSTjfm, 21_lag_ismPRjja, 17_lag_scpPSLjfm_2535_3"
LinearRegression,9,30,traBO,slow,1723.5,2005.5,0.6,24,4,4,17.13180514573101,-0.12452956616624872,2535,"['14_lag_traEC', '19_lag_eurPSLjfm', '17_lag_traBS', '9_lag_alpi', '7_lag_traCA', '23_lag_stratZ50ndj02', '13_lag_shSICsep', '15_lag_stratZ50ndj01', '8_lag_traTLS', '15_lag_eurPSLjfm', '11_lag_eurPSLjfm', '8_lag_shSICmar', '4_lag_cetTSjfm', '7_lag_ginwSSTjfm', '13_lag_traTLS', '10_lag_stratZ50ndj03', '22_lag_stratZ50ndj01', '22_lag_alpi', '16_lag_traIFC', '22_lag_ginwSSTjfm', '16_lag_nchinaPRjja', '17_lag_traWP', '6_lag_ginwSSTjfm', '17_lag_traFS', '13_lag_nchinaPRjja', '14_lag_ismPRjja', '23_lag_alpi', '21_lag_alpi', '21_lag_ismPRjja', '17_lag_scpPSLjfm']","[0.17503173975906475, 0.007673923105586816, 0.12921437361135044, 0.06330835709461057, 0.12393470844949951, 0.06550095398854862, 0.14427595794552858, 0.049535817478609315, 0.09540094311602716, 0.10036357671066756, 0.04197315266722201, 0.18921326896386745, 0.13993544453426826, 0.01900093572772214, 0.12147297648277369, 0.11536293381892719, 0.005514425209529923, 0.04300178077716343, 0.09996767126488426, 0.06652397584619435, 0.08069649823875277, 0.11594885000213775, 0.1674053519288756, 0.03647333778788778, 0.08100248830504217, 0.14667071975231138, 0.06575067743896608, 0.10659599750271598, 0.08554395414479893, 0.11305376987082827]","14_lag_traEC, 19_lag_eurPSLjfm, 17_lag_traBS, 9_lag_alpi, 7_lag_traCA, 23_lag_stratZ50ndj02, 13_lag_shSICsep, 15_lag_stratZ50ndj01, 8_lag_traTLS, 15_lag_eurPSLjfm, 11_lag_eurPSLjfm, 8_lag_shSICmar, 4_lag_cetTSjfm, 7_lag_ginwSSTjfm, 13_lag_traTLS, 10_lag_stratZ50ndj03, 22_lag_stratZ50ndj01, 22_lag_alpi, 16_lag_traIFC, 22_lag_ginwSSTjfm, 16_lag_nchinaPRjja, 17_lag_traWP, 6_lag_ginwSSTjfm, 17_lag_traFS, 13_lag_nchinaPRjja, 14_lag_ismPRjja, 23_lag_alpi, 21_lag_alpi, 21_lag_ismPRjja, 17_lag_scpPSLjfm_2535_4"
