model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traBS,slow,1514.5,2005.5,0.4,15,1,1,21.243780707927055,0.09251691882907334,1755,"['1_lag_ensoSSTjfm', '14_lag_samPSLann', '1_lag_shTSjfm', '13_lag_stratZ50ndj04', '1_lag_11_median_eurPSLjfm', '1_lag_11_median_ensoSSTjfm', '12_lag_ormenSSTjfm', '5_lag_traFSC', '1_lag_11_median_atlSICsep', '2_lag_naoPSLjfm']","[6.471699315976595, 1.298844338163434, 2.774782031548849, 1.8871508803607906, 8.059817841926108, 0.2631709190286067, 2.977726060802194, 0.4479404753945211, 3.92086028260864, 0.34056667529439544]","1_lag_ensoSSTjfm, 14_lag_samPSLann, 1_lag_shTSjfm, 13_lag_stratZ50ndj04, 1_lag_11_median_eurPSLjfm, 1_lag_11_median_ensoSSTjfm, 12_lag_ormenSSTjfm, 5_lag_traFSC, 1_lag_11_median_atlSICsep, 2_lag_naoPSLjfm_1755_1"
LRforcedPSO,1,10,traBS,slow,1515.5,2005.5,0.4,16,1,1,23.91312364865132,-0.17049923098375258,1885,"['1_lag_7_median_atlSICsep', '1_lag_tripol1', '1_lag_15_median_traFB', '1_lag_8_median_labSSTjfm', '11_lag_stratZ50ndj04', '8_lag_ensoSSTjfm', '1_lag_9_median_traEU', '3_lag_mhfIP30', '1_lag_shSICsep', '1_lag_8_median_traBO']","[3.6669075143262457, 4.47391415045217, 1.5862404834938033, 5.28368032404837, 8.20766016636076, 2.411217795038702, 0.557526243072143, 3.5143779991611908, 2.7543144621242135, 1.7647469742209374]","1_lag_7_median_atlSICsep, 1_lag_tripol1, 1_lag_15_median_traFB, 1_lag_8_median_labSSTjfm, 11_lag_stratZ50ndj04, 8_lag_ensoSSTjfm, 1_lag_9_median_traEU, 3_lag_mhfIP30, 1_lag_shSICsep, 1_lag_8_median_traBO_1885_1"
LRforcedPSO,2,10,traBS,slow,1516.5,2005.5,0.4,17,1,1,24.114521507631576,-0.16668839301482472,2015,"['1_lag_12_median_scpPSLjfm', '1_lag_8_median_solFORC', '1_lag_4_median_eapPSLjfm', '1_lag_8_median_scpPSLjfm', '13_lag_traFS', '5_lag_mhfATL60', '1_lag_12_median_shTSjfm', '9_lag_nppc3SSTjfm', '1_lag_9_median_eapPSLjfm', '12_lag_eurPSLjfm']","[2.5428624269297657, 3.258303797569706, 1.9716234179626007, 2.612408442404628, 3.1394941875011, 1.1521833601532983, 6.284210683451326, 1.7350256447269174, 0.49992980360477013, 2.430131920671988]","1_lag_12_median_scpPSLjfm, 1_lag_8_median_solFORC, 1_lag_4_median_eapPSLjfm, 1_lag_8_median_scpPSLjfm, 13_lag_traFS, 5_lag_mhfATL60, 1_lag_12_median_shTSjfm, 9_lag_nppc3SSTjfm, 1_lag_9_median_eapPSLjfm, 12_lag_eurPSLjfm_2015_1"
LRforcedPSO,3,10,traBS,slow,1517.5,2005.5,0.4,18,1,1,19.94964555266851,-0.10856102732884376,2145,"['8_lag_mhfIP30', '14_lag_traWP', '6_lag_traTLS', '1_lag_5_median_traEC', '3_lag_traEC', '1_lag_naoPSLjfm', '1_lag_3_median_mhfIP30', '1_lag_16_median_amo3', '1_lag_4_median_amo2', '1_lag_traTLS']","[0.7347085873573906, 0.8090404109931182, 1.712618451060333, 6.604647290228986, 6.934346982903728, 3.6163718918365078, 7.214527103780806, 4.617279068704757, 7.23633224274413, 1.5656694988553248]","8_lag_mhfIP30, 14_lag_traWP, 6_lag_traTLS, 1_lag_5_median_traEC, 3_lag_traEC, 1_lag_naoPSLjfm, 1_lag_3_median_mhfIP30, 1_lag_16_median_amo3, 1_lag_4_median_amo2, 1_lag_traTLS_2145_1"
LRforcedPSO,4,10,traBS,slow,1518.5,2005.5,0.4,19,1,1,21.328028015481387,0.14234594418891994,2275,"['1_lag_pdoSSTjfm', '9_lag_mhfATL30', '12_lag_shTSjfm', '1_lag_14_median_amo1', '1_lag_2_median_satlSSTjfm', '16_lag_nchinaPRjja', '3_lag_samPSLann', '1_lag_14_median_traEU', '1_lag_9_median_pdoSSTjfm', '13_lag_traBS']","[0.49305992085258943, 3.9169925889360346, 5.561741176378128, 4.24253169790787, 1.1645423051478083, 5.952211624526424, 3.057801995508278, 4.198121231245335, 3.4152022969507563, 7.695222089175761]","1_lag_pdoSSTjfm, 9_lag_mhfATL30, 12_lag_shTSjfm, 1_lag_14_median_amo1, 1_lag_2_median_satlSSTjfm, 16_lag_nchinaPRjja, 3_lag_samPSLann, 1_lag_14_median_traEU, 1_lag_9_median_pdoSSTjfm, 13_lag_traBS_2275_1"
LRforcedPSO,5,10,traBS,slow,1519.5,2005.5,0.4,20,1,1,16.86006422480106,0.057552759101778914,2405,"['1_lag_traFB', '1_lag_2_median_traDP', '10_lag_wnorPRjfm', '1_lag_ismPRjja', '1_lag_15_median_scpPSLjfm', '1_lag_17_median_amo1', '1_lag_9_median_traEC', '18_lag_nhSICsep', '17_lag_tripol2', '17_lag_nhTSjfm']","[5.388712289513222, 1.4835199511142516, 2.9954909612868406, 1.2261362039407047, 1.556022320783983, 4.040069925763575, 6.501885748184442, 4.007232424262508, 0.6061364319124145, 1.8111113727618644]","1_lag_traFB, 1_lag_2_median_traDP, 10_lag_wnorPRjfm, 1_lag_ismPRjja, 1_lag_15_median_scpPSLjfm, 1_lag_17_median_amo1, 1_lag_9_median_traEC, 18_lag_nhSICsep, 17_lag_tripol2, 17_lag_nhTSjfm_2405_1"
LRforcedPSO,6,10,traBS,slow,1520.5,2005.5,0.4,21,1,1,18.74372964415131,0.13466400604640955,2535,"['1_lag_14_median_stratZ50ndj03', '3_lag_traTLS', '1_lag_19_median_labSSTjfm', '1_lag_traTLS', '2_lag_naoPSLjfm', '1_lag_6_median_glomaSSTjfm', '1_lag_6_median_traCA', '8_lag_yrvPRjja', '3_lag_cetTSjfm', '1_lag_3_median_nchinaPRjja']","[0.5484381089575425, 3.9096335936356965, 0.9023726789456532, 4.82527395911047, 5.218649402260242, 3.543659256694834, 3.463799124822337, 7.963814101519697, 0.15323859456846556, 5.843498531191681]","1_lag_14_median_stratZ50ndj03, 3_lag_traTLS, 1_lag_19_median_labSSTjfm, 1_lag_traTLS, 2_lag_naoPSLjfm, 1_lag_6_median_glomaSSTjfm, 1_lag_6_median_traCA, 8_lag_yrvPRjja, 3_lag_cetTSjfm, 1_lag_3_median_nchinaPRjja_2535_1"
LRforcedPSO,7,10,traBS,slow,1521.5,2005.5,0.4,22,1,1,18.59632578840403,0.11637300295536429,2665,"['1_lag_20_median_stratZ50ndj04', '1_lag_14_median_amo1', '20_lag_neurTSjfm', '4_lag_gyreSSTjfm', '1_lag_7_median_samPSLann', '21_lag_amo1', '1_lag_3_median_tripol1', '12_lag_naoPSLjfm', '19_lag_traWP', '1_lag_10_median_traIT']","[2.5023671623088894, 3.8611875163507854, 2.6165247876103397, 1.8044012525506599, 7.4381881484123795, 0.003262086253224439, 3.165636705111087, 5.146243770978232, 2.379938849229415, 5.203981985764381]","1_lag_20_median_stratZ50ndj04, 1_lag_14_median_amo1, 20_lag_neurTSjfm, 4_lag_gyreSSTjfm, 1_lag_7_median_samPSLann, 21_lag_amo1, 1_lag_3_median_tripol1, 12_lag_naoPSLjfm, 19_lag_traWP, 1_lag_10_median_traIT_2665_1"
LRforcedPSO,8,10,traBS,slow,1522.5,2005.5,0.4,23,1,1,28.292977928242838,0.008070675245108273,2795,"['1_lag_22_median_nchinaPRjja', '3_lag_glTSjfm', '4_lag_traEC', '1_lag_15_median_shTSjfm', '1_lag_9_median_amo3', '11_lag_pdoSSTjfm', '15_lag_traWP', '1_lag_14_median_tripol3', '21_lag_traMC', '4_lag_mhfATL45']","[8.165365148464595, 3.2073162514637126, 6.020402504154056, 6.016412191885717, 9.080057332332355, 4.181728442253457, 1.9700615020166268, 6.349175747061966, 2.8755057917855424, 5.265881178720219]","1_lag_22_median_nchinaPRjja, 3_lag_glTSjfm, 4_lag_traEC, 1_lag_15_median_shTSjfm, 1_lag_9_median_amo3, 11_lag_pdoSSTjfm, 15_lag_traWP, 1_lag_14_median_tripol3, 21_lag_traMC, 4_lag_mhfATL45_2795_1"
LRforcedPSO,9,10,traBS,slow,1523.5,2005.5,0.4,24,1,1,20.69894573205403,0.09309931461170042,2925,"['20_lag_mhfATL60', '1_lag_18_median_mhfATL30', '1_lag_6_median_amo1', '1_lag_6_median_pdoSSTjfm', '17_lag_traFSC', '1_lag_19_median_traDP', '8_lag_mhfATL45', '18_lag_mhfATL30', '10_lag_stratZ50ndj02', '1_lag_13_median_nppc2SSTjfm']","[2.8362725598039322, 1.9255802073779265, 2.9219998715971602, 5.137700288853376, 5.027244116882084, 6.74868174228425, 2.8367978613811324, 7.720257488701719, 0.83355774049644, 7.9854033682851195]","20_lag_mhfATL60, 1_lag_18_median_mhfATL30, 1_lag_6_median_amo1, 1_lag_6_median_pdoSSTjfm, 17_lag_traFSC, 1_lag_19_median_traDP, 8_lag_mhfATL45, 18_lag_mhfATL30, 10_lag_stratZ50ndj02, 1_lag_13_median_nppc2SSTjfm_2925_1"
