model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,traBS,slow,866.5,2005.5,0.8,15,1,1,14.998808586161152,0.07909739485922149,1755,"['1_lag_7_median_alpi', '1_lag_9_median_traIT', '1_lag_7_median_traTLS', '1_lag_traBS', '13_lag_alpi', '1_lag_12_median_mhfIP30']","[0.17007169316697204, 0.16965966458280882, 0.16423931954125254, 0.16502376454816162, 0.1715761730461155, 0.15942938511468951]","1_lag_7_median_alpi, 1_lag_9_median_traIT, 1_lag_7_median_traTLS, 1_lag_traBS, 13_lag_alpi, 1_lag_12_median_mhfIP30_1755_1"
RandomForestRegressor,1,6,traBS,slow,867.5,2005.5,0.8,16,1,1,14.754861381965828,0.1477022304677334,1885,"['1_lag_7_median_alpi', '5_lag_cetTSjfm', '1_lag_7_median_traTLS', '13_lag_alpi', '1_lag_traBS', '1_lag_12_median_mhfIP30']","[0.17178790938815336, 0.18141505429111981, 0.1656227131103987, 0.15253221591211916, 0.16730585948858276, 0.1613362478096263]","1_lag_7_median_alpi, 5_lag_cetTSjfm, 1_lag_7_median_traTLS, 13_lag_alpi, 1_lag_traBS, 1_lag_12_median_mhfIP30_1885_1"
RandomForestRegressor,2,6,traBS,slow,868.5,2005.5,0.8,17,1,1,14.821500243615281,0.1160689927334415,2015,"['8_lag_gyreSSTjfm', '13_lag_alpi', '1_lag_traBS', '1_lag_7_median_traTLS', '1_lag_12_median_mhfIP30', '1_lag_16_median_traIT']","[0.175708880722575, 0.15870567415111894, 0.17419910524169374, 0.1561132721190346, 0.17176967226571233, 0.16350339549986553]","8_lag_gyreSSTjfm, 13_lag_alpi, 1_lag_traBS, 1_lag_7_median_traTLS, 1_lag_12_median_mhfIP30, 1_lag_16_median_traIT_2015_1"
RandomForestRegressor,3,6,traBS,slow,869.5,2005.5,0.8,18,1,1,15.352936014877745,0.05423379300506419,2145,"['8_lag_gyreSSTjfm', '13_lag_alpi', '1_lag_7_median_traTLS', '1_lag_17_median_stratZ50ndj02', '1_lag_12_median_mhfIP30', '1_lag_16_median_traIT']","[0.1850856477200767, 0.1706248101177604, 0.1677655820548949, 0.16182829279940666, 0.1539662976493381, 0.16072936965852316]","8_lag_gyreSSTjfm, 13_lag_alpi, 1_lag_7_median_traTLS, 1_lag_17_median_stratZ50ndj02, 1_lag_12_median_mhfIP30, 1_lag_16_median_traIT_2145_1"
RandomForestRegressor,4,6,traBS,slow,870.5,2005.5,0.8,19,1,1,15.107379623401329,0.05524851805866263,2275,"['13_lag_alpi', '1_lag_7_median_traTLS', '1_lag_17_median_stratZ50ndj02', '1_lag_12_median_mhfIP30', '1_lag_18_median_eapPSLjfm', '1_lag_16_median_traIT']","[0.19347821384644576, 0.1670207974791239, 0.15569543720932436, 0.17170535281017854, 0.1580946376267163, 0.1540055610282112]","13_lag_alpi, 1_lag_7_median_traTLS, 1_lag_17_median_stratZ50ndj02, 1_lag_12_median_mhfIP30, 1_lag_18_median_eapPSLjfm, 1_lag_16_median_traIT_2275_1"
RandomForestRegressor,5,6,traBS,slow,871.5,2005.5,0.8,20,1,1,15.26777477572347,0.00742210665680979,2405,"['13_lag_alpi', '1_lag_7_median_traTLS', '1_lag_16_median_traIT', '1_lag_12_median_mhfIP30', '1_lag_17_median_stratZ50ndj02', '1_lag_19_median_eapPSLjfm']","[0.18988699543313506, 0.1716793463174094, 0.15455033613469019, 0.1585389269283822, 0.15867837651973477, 0.16666601866664837]","13_lag_alpi, 1_lag_7_median_traTLS, 1_lag_16_median_traIT, 1_lag_12_median_mhfIP30, 1_lag_17_median_stratZ50ndj02, 1_lag_19_median_eapPSLjfm_2405_1"
RandomForestRegressor,6,6,traBS,slow,872.5,2005.5,0.8,21,1,1,14.878436657749063,0.09837256347036134,2535,"['1_lag_7_median_traTLS', '1_lag_12_median_mhfIP30', '1_lag_19_median_eapPSLjfm', '1_lag_16_median_traIT', '1_lag_17_median_stratZ50ndj02', '1_lag_20_median_eapPSLjfm']","[0.1916402600966488, 0.18335065609728624, 0.13611628863258846, 0.1644202664760729, 0.17092002745004425, 0.15355250124735934]","1_lag_7_median_traTLS, 1_lag_12_median_mhfIP30, 1_lag_19_median_eapPSLjfm, 1_lag_16_median_traIT, 1_lag_17_median_stratZ50ndj02, 1_lag_20_median_eapPSLjfm_2535_1"
RandomForestRegressor,7,6,traBS,slow,873.5,2005.5,0.8,22,1,1,15.174009493472148,0.0672719438381739,2665,"['1_lag_7_median_traTLS', '1_lag_19_median_eapPSLjfm', '1_lag_17_median_stratZ50ndj02', '1_lag_12_median_mhfIP30', '1_lag_21_median_eapPSLjfm', '1_lag_20_median_eapPSLjfm']","[0.20052369473467266, 0.12289490428035493, 0.17006929355331796, 0.19054304239903078, 0.16067854530814124, 0.1552905197244825]","1_lag_7_median_traTLS, 1_lag_19_median_eapPSLjfm, 1_lag_17_median_stratZ50ndj02, 1_lag_12_median_mhfIP30, 1_lag_21_median_eapPSLjfm, 1_lag_20_median_eapPSLjfm_2665_1"
RandomForestRegressor,8,6,traBS,slow,874.5,2005.5,0.8,23,1,1,15.211772109133967,-0.002552641626494474,2795,"['1_lag_19_median_eapPSLjfm', '1_lag_17_median_stratZ50ndj02', '1_lag_12_median_mhfIP30', '1_lag_21_median_eapPSLjfm', '1_lag_20_median_eapPSLjfm', '1_lag_22_median_eapPSLjfm']","[0.14446978410284433, 0.1924843889921912, 0.20255364561595207, 0.15690349168453194, 0.15068211356827335, 0.1529065760362072]","1_lag_19_median_eapPSLjfm, 1_lag_17_median_stratZ50ndj02, 1_lag_12_median_mhfIP30, 1_lag_21_median_eapPSLjfm, 1_lag_20_median_eapPSLjfm, 1_lag_22_median_eapPSLjfm_2795_1"
RandomForestRegressor,9,6,traBS,slow,875.5,2005.5,0.8,24,1,1,15.13736285443763,0.05619822837329423,2925,"['1_lag_7_median_traTLS', '1_lag_17_median_stratZ50ndj02', '1_lag_12_median_mhfIP30', '1_lag_21_median_eapPSLjfm', '1_lag_20_median_eapPSLjfm', '1_lag_22_median_eapPSLjfm']","[0.20126818039754543, 0.16805639538219755, 0.18783233217782352, 0.1418049826560201, 0.1534480939011286, 0.14759001548528494]","1_lag_7_median_traTLS, 1_lag_17_median_stratZ50ndj02, 1_lag_12_median_mhfIP30, 1_lag_21_median_eapPSLjfm, 1_lag_20_median_eapPSLjfm, 1_lag_22_median_eapPSLjfm_2925_1"
